"NUMBER","PROTO","PRNUM","MEANING","RUSMEAN","AJP","MJP","TOK","KYO","KAG","NAS","SHU","HAT","YON","COMMENTS"
 807,"*tára", 306,"a k. of plant, Aralia manchurica (japonica)","вид растения, аралия","tara","tára","tara(noki)","","","","","","","JLTT 542."
 808,"*tum(u)i", 225,"mulberry","тутовое дерево","tum(j)i","","","","","","","","",""
 809,"*tunkai",2299,"box tree","самшит","tug(j)e","tuge","tsùge","tsúgé","tsugé","","","","","JLTT 553. Tokyo and Kyoto point to *túnkái, but Kagoshima is irregular."
 810,"*təjə-",2420,"to sound, hum, howl","звучать, ворчать, выть","tojom-, tojok-","tojom-","toyom-, doyom-","","","","","","","JLTT 681."
 811,"*dùrù-", 397,"slack, languid, quiet","вялый, расслабленный, спокойный","juru-, jura-","jùrù-","yurú-","yúrù-","yurú-","","","","","JLTT 845."
 812,"*takua",2256,"callosity","мозоль","","","tako","","","","","","",""
 813,"*tànì",2361,"valley","долина","tani","tànì","taní","tánì","taní","","","","","JLTT 541."
 814,"*tuku-nai",2201,"a k. of yam","вид ямса","","","tsukune (imo)","","","","","","",""
 815,"*tákái", 375,"bamboo","бамбук","take","táké","tàke","táké","táke","","","","","JLTT 539."
 816,"*tàtàkaí",2314,"a k. of badger, racoon-dog","вид барсука, енотовидной собаки","tatake","tàtàké","","","","","","","","JLTT 542."
 817,"*dúr-", 374,"to shake, sway","качать(ся), махать","","jur-","yùr-","yúr-","yúr-","","","","","JLTT 788."
 818,"*datua",2576,"snake","змея","jatwo-no-kami","","","","","","","","",""
 819,"*təwə", 240,"ten","десять","towo","","tṓ","\Itō̂\i","tṓ","","","","","JLTT 550. Original accent unclear, as in all numerals."
 820,"*dúwài",2614,"reason","причина","juwe","júwè","yué","yúé","yúe","","","","","JLTT 579. Accent in Kyoto is irregular in Hirayama, but Martin (ibid.) cites it as regular yúè."
 821,"*dəku",2625,"usually, nearly","обычно, часто, почти","joku","joku","yoku","","","","","","","The word is written differently, but the accent is unknown and it may be actually an adverbial form of *də- 'good' (v. sub *di̯òge)."
 822,"*kə̀mpə̀ra-",1011,"to overflow","проливаться, расплескиваться","","kòbòra-","koboréru","kóbóré-","kòbòrè-","","","","","JLTT 711."
 823,"*(d)ìtàtì", 386,"Mustela itatsi itatsi, kolinsky","колонок, ласка","itati","ìtàti\I  \i","ìtachi, itachí","ítàchì","itachí","","","","","JLTT 427. Tokyo reflects a tone variation between *(d)ìtàtì and *(d)ìtátí."
 824,"*(d)ira-",2598,"to be nervous, angry","нервничать, сердиться","","ira-t-, ira-ra-","ira-dát-, íra-ira","írá-dát-, íra-ira","ìràdàt-, ira-íra / ira-irá","","","","","JLTT 698. The original tone is hard to establish, because the root is present only as a reduplication or part of compound, and the RJ accentuation is not attested."
 825,"*ia ~ *ai", 631,"contagious disease","заразная болезнь","\I(j)e,\i (j)e-jamji","e, e-jami","","","","","","","","JLTT 392. Accent is not clear: in RJ both è-jàmì and é-jàmì are attested."
 826,"*ə̀mə̀", 623,"exterior, surface, face","внешняя сторона, поверхность, лицо","om(w)o","òmò-tè","omoté","ómòtè","omoté","","","","","JLTT 506."
 827,"*kápiàru(n)tai",1162,"a k. of maple tree","вид клена","kapjerude","káfèdé","kàede","kàèdé","kaéde","","","","","JLTT 432. Etymologized as 'frog hand', which is most probably a folk-etymology."
 828,"*kàpài ( ~ -ia)", 793,"a k. of cypress or Thuja","вид кипариса или туи","kap(j)e","kàfè","","","","","","","","JLTT 432."
 829,"*dúkì",2609,"snow","снег","jukji","juki","yukí","yúkì","yúki","","","","","JLTT 579."
 830,"*kúpá",1025,"hoe, mattock","мотыга","","kúfá","kùwa","kùwá","kúwa","","","","","JLTT 468. Most dialects reflect *kúpá, but Kyoto points to a variant *kùpá."
 831,"*kàjù-",1038,"itching","зудеть, зудящий","kaju-","kàjù-","kayú-","káyù-","kayú-","","","","","JLTT 831."
 832,"*ìk-",2796,"1 to live 2 breath, life","1 жить 2 дыхание, жизнь","ik- 1, ikji 2","ìk- 1, ìkí 2","ikí- 1, íki 2","íkí- 1, ìkí 2","ìkì- 1, ikí 2","","","","","JLTT 422, 697."
 833,"*i(n)sa-r-", 683,"to fish","ловить рыбу","isar-, izar-","","isari 'fishing'","","","","","","","JLTT 699."
 834,"*ìsuà(n)k-", 586,"to hurry, get ready to go","спешить, готовиться уйти","iswog-","ìswòg-","isóg-","ísóg-","ìsòg-","","","","","JLTT 699."
 835,"*músír-",1343,"to pluck out, pick out","выдергивать, срывать","","músír-","mùshiru","múshír-","mushír-","","","","","JLTT 729."
 836,"*kùr-", 570,"to wind","наматывать, сучить","kur-","kùr-","kúr-","kùr-","kùr-","","","","","JLTT 716."
 837,"*ùruà", 660,"hollow, hollow tree-trunk","дупло, полый древесный ствол","","","uró, ùro","úrò","uró","","","","",""
 838,"*tə̀nká",2687,"guilt","вина","toga","tògá","tóga","tógà","togá","","","","","JLTT 547. Accent in Kyoto is irregular (perhaps influenced by the Tokyo pronunciation)."
 839,"*íná-nak-", 603,"to neigh","ржать","","íná-nak-","ìnanak-","ínánák-","inanák-","","","","","JLTT 697."
 840,"*ùrá", 688,"1 divination 2 to divine","гадание","ura 1, ura-nap- 2","ùrá 1, ùrà-naf- 2","uraná- 2","úráná- 2","ùrànà- 2","","","","","JLTT 563, 779."
 841,"*ə̀tə́(n)kapi", 607,"chin","подбородок","ot(w)ogap(j)i","òtógafi","òtogai","òtógàì","otogái","","","","","JLTT 513. Accent in Tokyo and Kagoshima is irregular (points rather to *ə́tə́-)."
 842,"*útúa-", 689,"alienated, discontent","отчужденный, недовольный","utwo-","útwó-","utó-","útò-","úto-","","","","","JLTT 844. The Tokyo accent is irregular; otherwise all evidence points to *útúa-. Cf. also *útuá(m)p- 'to shun, neglect', MJ utoma-si 'unpleasant, offensive'."
 843,"*utu", 587,"hole, hollow","полость, нора","utu","uturo","ùtsuro","útsúró","utsuró","","","","","JLTT 565. Accent not quite clear: either *ùtú- (Kyoto, Kagoshima), or *útú- (Kyoto, Tokyo). The root seems to be distinct from *útì 'inside' (v. sub *ṓŕì), although the stems certainly tend to contaminate."
 844,"*kùsú",1062,"Cinnamonum camphora Sieb.","камфорное дерево","kusu","kùsú(nò ki)","kusú(no ki)","kùsú(nò kì)","kùsù(nò kí)","","","","","JLTT 466."
 845,"*kusam-", 842,"sneeze","чихание","","kusame","kushámi","kúshàmì","kushámi","","","","","Accent reconstruction is unclear. Cf. also OJ kutut- 'to snore'."
 846,"*kúsài",1094,"bad habit","дурная привычка","","kuse","kusé","kúsè","kúse","","","","","JLTT 466."
 847,"*kàntúa", 824,"angle, corner","угол","","kàdó","kádo","kàdó","kadó","","","","","JLTT 432."
 848,"*ákà",  14,"liquid dirt, filth","жидкая грязь","aka","ákà","aká","ákà","aká","","","","","JLTT 378. The Kagoshima accent is irregular; otherwise all data points to *ákà."
 849,"*kùp-", 566,"to make a nest","делать гнездо","su-kup-","kùf-, sú-kùf-","","","","","","","","JLTT 718."
 850,"*kəkənə-", 995,"nine","девять","kokono-","kokono-","kokóno-","kókònò-","kòkònó-","","","","","JLTT 454. Accent is unclear, just as in all other numerals."
 851,"*kanai", 826,"rule, gusset","наугольник, ластовица","","kane","kane","","","","","","",""
 852,"*kítú-", 697,"strong, brave","сильный, храбрый, суровый","","kitu-","kìtsu-","kìtsù-","kitsú-","","","","","JLTT 832."
 853,"*kák-", 960,"to break off","отламывать","kak(a)-","kák-","kàk-","kàk-","kák-","","","","","JLTT 702. The Kyoto accent is irregular."
 854,"*kapiara", 690,"oar","весло","kapjera","","","","","","","","",""
 855,"*kasipa", 709,"vessel","вид сосуда","kasipa","","","","","","","","","In the earliest texts the word unambiguously denotes some kind of vessel (esp. a wine vessel); its reinterpretation as 'oak leaf' and 'food-wrapping oak-leaf' is certainly a later folk-etymological development."
 856,"*kə̀m-", 496,"to be filled in, stuffed","быть заполненным, набитым","kom-","kòm-","kóm-","kòm-","kòm-","","","","","JLTT 712. Cf. also PJ *kə̀mə̀r- id."
 857,"*kuam-",1163,"to soak","промокать, быть залитым","kwom-","","","","","","","","","JLTT 712."
 858,"*kúm-",1159,"to scoop","черпать","kum-","kúm-","kùm-","kúm-","kúm-","","","","","JLTT 716."
 859,"*kámá", 915,"kettle","котелок","","kama","kàma","kámá","káma","","","","","JLTT 435."
 860,"*kámátí", 876,"door frame","дверная рама","","","kàmachi","kámáchí","kamáchi","","","","","JLTT 431. In OJ kamati is attested only in the meaning 'cheek-bone(s)', while RJ has kàfàti id. This is possibly a specialization of the meaning 'frame, door-frame', additionally (in MJ) influenced by káfó 'face'."
 861,"*kámású", 719,"a k. of bag","соломенный мешок","","","kàmasu","kámású","kamásu","","","","",""
 862,"*kàm-", 716,"to brew sake (from rice)","варить сакэ (из риса)","kam-","kàm-","kamós-","kámós-","kamós-","","","","","JLTT 703. Accent in Kagoshima is irregular (probably under literary influence)."
 863,"*tuku-",2456,"1 to come to an end, be exhausted 2 to exhaust","1 заканчивать(ся), истощать(ся) 2 истощать, исчерпывать","tuku- 1, tukus- 2","túkú- 1, túkús-  2","tsukí-, tsùki- 1; tsukús- 2; tsukare- 'be tired, exhausted'","tsùkì- 1, tsúkús- 2","tsùkì-1, tsukús- 2","","","","","JLTT 773, 774. Accent is very diverse and hardly reconstructable in this root."
 864,"*kuà",1083,"silkworm","шелковичный червь","kwo","kàfí-kò","kái-ko","kàí-kò","kai-kó","","","","","JLTT 433."
 865,"*kuama",1045,"fat, greasy","жирный","kwoma","","","","","","","","",""
 866,"*kàmpú-", 949,"helmet","шлем","kabut(w)o","kàbúto","kábuto","kàbútò","kabutó","","","","","JLTT 431."
 867,"*kə̀pə̀-",1013,"to break","ломать(ся)","k(w)opor-, k(w)opot-","kòfòr-, kòfòt-","kobot-, kowaré-, kowás-","kówáré-, kówás-","kòwàrè-, kòwàs-","","","","","JLTT 710, 714."
 868,"*kùpìnà", 834,"a k. of water bird","болотный пастушок, Rallus aquaticus indicus","kupjina","kùfìnà","kuina","","","","","","","JLTT 462."
 869,"*kíjá-", 803,"to disappear, be extinguished","пропадать, гаснуть","kjĳa-, ka-","kíjá-","kìe-","kíé-","kié-","","","","","JLTT 708."
 870,"*kə̀tàpa-", 545,"to endure","терпеть","","kòtàfa-","kotáe-, kotaé-","kòtàè-","kòtàè-","","","","","JLTT 713: the verb is usually treated as = *kə̀tàpa- 'to answer', but the two forms should be probably separated (because of the difference in meaning and external evidence)."
 871,"*kàmà-pa-", 714,"to arrange, set up","устраивать","kamapa-","kàmàfa-","kamaé-","kámáé-","kàmàè-","","","","","JLTT 703."
 872,"*kìtúnái", 855,"fox","лиса","kjitune","kìtúné","kìtsune","kìtsùné","kitsuné","","","","","JLTT 452."
 873,"*kútí", 790,"falcon","сокол","kuti","kútí","","","","","","","","JLTT 467, Miller 1979."
 874,"*kə̀mpusi", 875,"fist","кулак","","kòbùsì","kòbushi, kóbushi","kóbùshì","kobúshi","","","","","JLTT 453. RJ, Tokyo and Kyoto point to a low tone on the first syllable (although the rest of the word reveals accent variation); only Kagoshima is quite aberrant."
 875,"*kátáma", 889,"bamboo basket","бамбуковая корзина","katama","kátámí, kátámì","katami","","","","","","","JLTT 443."
 876,"*kə̀pə̀rə́nkí ( ~-ua-)",1010,"cricket","сверчок","k(w)op(w)or(w)og(j)i","kòfòrógí","kṓrogi","kō̂rògì","kōrogí","","","","","JLTT 457."
 877,"*kàntuá", 937,"ability, talent","способность, талант","kad(w)o","kàdó","","","","","","","","JLTT 432 (treated together with 'corner')."
 878,"*kə̀rápá- (~-uo-)",2655,"to endure","терпеть, выносить","","korafa-","koraé-","kòràè-","kòràè-","","","","","JLTT 712."
 879,"*kántì", 818,"steering wheel, steering oar","руль, рулевое весло","kadi","kádì","káji","kájì","káji","","","","","JLTT 447. Regular except for the Tokyo accent (*kají would be expected)."
 880,"*kunki",1128,"nail, peg, hook","гвоздь, колышек, крюк","kug(j)i","kùgì, kúgí","kùgi","kúgí","kúgi","","","","","JLTT 462. Accent not quite clear: RJ lists both variants with high and low tone."
 881,"*kínkisí", 502,"pheasant","фазан","kjigjisi","kízí","kĳí","kíjí","kíji","","","","","JLTT 452."
 882,"*kuru-wa", 931,"fortress embankment; quarter","крепостной вал; квартал","","kuru-wa","kùruwa","kúrúwá","kuruwá","","","","","The accent is unclear: either *kúrúwá or *kùrúwá."
 883,"*kə̀rə́- ( ~ -u)", 870,"to be disappointed, distressed","разочаровываться, получать урок","koru-","kòràs- (caus.)","korí-","kòrì-","kòrì-","","","","","JLTT 712."
 884,"*kə́mə́", 899,"straw matting","соломенная циновка, рогожа","komo","kómó","kòmo","kómò","kómo","","","","","JLTT 456."
 885,"*kùm-", 877,"to plait, intertwine, combine","плести, сплетать","kum-","kùm-","kúm-","kùm-","kùm-","","","","","JLTT 716."
 886,"*mútì",1323,"whip","кнут, бич","muti","muti","múchi","múchì","múchi","","","","","JLTT 489. Kyoto and Kagoshima point to *mútì, but the Tokyo accent is irregular."
 887,"*kata-", 948,"to mix, join, unite","смешивать, соединять","kata-","kata-","","","","","","","","JLTT 706."
 888,"*káwə́r-", 537,"to smell, fumigate","пахнуть; дымиться","kawor-","kawor-","kàor-","káór-","kaór-","","","","","JLTT 703."
 889,"*kántuà",2778,"gate","ворота","kadwo","kádwò","kádo","kádò","kadó","","","","","JLTT 431. The Kyoto and Kagoshima accent is quite irregular - obviously, due to a merger with *kàntúa 'corner'."
 890,"*kátú-", 817,"1 tuna fish 2 to become hungry","1 тунец 2 голодать","","kátúwó 1, katuwa- 2","kàtsuo 1, katsué- 2","kátsúó 1, kátsúé- 2","katsúo 1, kàtsùè-","","","","","JLTT 444. Historically a compound with *(d)ibua 'fish'. Despite the difference in accent, the verbal stem seems to belong here etymologically: cf. the verbal meaning 'to weaken, die (after releasing roe)' in most TM languages."
 891,"*pápúr-",1694,"to overflow","переливаться","papur-","áfúr-","afuré-","áfúré-","afuré-","","","","","JLTT 675, 683. The word is rather peculiar phonetically (with both irregular preservation of -p- > -f- and loss of p- > 0-), but there is hardly reason to separate the OJ and the modern Jpn. forms."
 892,"*písà(n)ka-",1715,"to hold in hands","держать в руках","p(j)isaga-","físàga-","hisage-","","","","","","","JLTT 690 (but the derivation < *piki-sanka-, based on the modern expressive variant hissage-, is wrong; the word is attested as p(j)isaga- in OJ)."
 893,"*pintua-",1734,"horrible; extreme","ужасный, чрезвычайный","","hido-","hidó-","hídò-","hído-","","","","","The word is attested late (since Edo) and the accent reconstruction is not clear; however, its Chinese origin (suggested in JLTT 848) is dubious."
 894,"*pátá",1717,"fish fin","рыбий плавник","pata","fátá","","","","","","","","JLTT 401."
 895,"*nàimpà-r- (~-ia-)",1210,"to glue, stick to","приклеиваться, прилипать","","nemar-","nebár-","nébár-","nèbàr-","","","","","JLTT 734."
 896,"*náimpú",1179,"silken acacia, Albizzia Julibrissin Durazz.","шелковистая акация","nebu","nébúrí-ki","nemu-no-ki","","","","","","","JLTT 495."
 897,"*nakatai",1172,"a k. of fish, eel","вид рыбы, угорь","nakate","","","","","","","","",""
 898,"*na(n)ki ( ~ -ui)",   0,"a k. of evergreen tree","вид вечнозеленого дерева","nag(j)i","","","","","","","","","JLTT 491 ("a k. of black pine"). [Cf. Man. nuŋgila 'липа'?]"
 899,"*nə̀rì",1176,"rice starch; coagulated blood","рисовый крахмал; свернувшаяся кровь","nori","nori","norí","nórì","norí","","","","","JLTT 500."
 900,"*nàmì",1187,"wave","волна","namji","nàmì","namí","námì","namí","","","","","JLTT 492."
 901,"*númà",1192,"swamp, marsh","болото","numa","númà","numá","númà","núma","","","","","JLTT 502."
 902,"*nàp-",1167,"1 to wind (a string) 2 string, rope","1 вить (веревку) 2 веревка","napa 2","nàf- 1, nàfà 2","ná- 1, nawá 2","nà- 1, náwà 2","nà- 1, nawá 2","","","","","JLTT 494, 733."
 903,"*núk-",1228,"to break through, pass through","проходить через, насквозь","nuk-","núk-","nùk-","núk-","nùk-","","","","","JLTT 738. Kagoshima has an irregular accent."
 904,"*nə̀muí ( ~ -əi)",1227,"chisel, adze","долото","nomi","nòmí","nómi","nòmí","nomí","","","","","JLTT 500."
 905,"*nuki",2779,"weft thread","уточная нить, уточная пряжа","nuk(j)i","","nuki-íto","","","","","","","JLTT 502."
 906,"*nə̀rì",1191,"sea moss, sea weed","морской мох, морские водоросли","nori","nori","norí","nórì","norí","","","","","JLTT 500."
 907,"*nùk-",1217,"to take off clothes","снимать одежду","nuk-, nukjit-","nùg-","núg-","nùg-","nùg-","","","","","JLTT 738."
 908,"*nùp-",1220,"to sew","шить","nup-","nùf-","nú-","nù-","nù-","","","","","JLTT 739."
 909,"*mi",1238,"protecting spirit","дух-покровитель","mji","","","","","","","","","JLTT 476."
 910,"*múkúrua",1273,"body, dead body","тело, труп","mukur(w)o","múkúro","mùkuro, mukuró","múkúró","mukuró","","","","","JLTT 488. The Tokyo variant mukuró and Kagoshima mukuró point to an accent variant *mùkùruà."
 911,"*sínuá-p-",2039,"to be sad, think with sadness","вспоминать с тоской","sinwo-p-","sínób-","shinób-, shìnob-","shínób-","shìnòb-","","","","","JLTT 751, 752. OJ has a distinction between sinwop- 'think with sadness' and sinob- 'endure' which have been hopelessly confused in modern dialects. We also have OJ sinwog- 'endure'. RJ has sìnòg- (regularly reflected as Tokyo shinóg-, Kyoto shínóg-, Kagoshima shìnòg-), but sínób- 'endure' (by Heian sinwop- and sinob- had already merged), the accent trace of which is the Tokyo variant shìnob-. One should probably reconstruct *sínuá-p- 'think with sadness' opposed to *sìnə̀-(m)p-, *sìnuà-(n)k- 'endure' with subsequent inevitable confusions."
 912,"*mə̀ntì-",1245,"to twist, bend","скручивать, сгибать","m(w)odip-","mòdìr-","mojír-","mójír-","mòjìr-","","","","","JLTT 728. Accent in Kagoshima is irregular."
 913,"*muàmuâ",2706,"thigh, hip","бедро","mwomwo","mòmó","mómo, momó","mòmô","mómo","","","","","JLTT 485. Accent in Kagoshima and the Tok. variant momó are not quite clear."
 914,"*múná-si-",1267,"empty, useless","пустой, напрасный, бесполезный","muna-si-","múná-si-","mùnashi-","múnáshì-","munashí-","","","","","JLTT 835."
 915,"*más-",1261,"1 to become bigger 2 more, again","1 увеличиваться 2 больше, снова","mas- 1, masu(masu) 2","más- 1","màs- 1, masúmasu 2","màs- 1, màsúmásù 2","más- 1, masumásu 2","","","","","JLTT 473, 721. Kyoto màs- is irregular."
 916,"*mániak-",1240,"to call, invite","приглашать","manek-","mánèk-, mànèk-","manék-","mánék-","manék-","","","","","JLTT 720. The accent reveals some variations, but generally points to high tone on the first syllable."
 917,"*mə́rí (~-ua-)",1504,"fish-fork, harpoon","гарпун, острога","","","mòri, móri","mórí","móri","","","","","JLTT 485."
 918,"*mánká-",1301,"to bow, bend","сгибать(ся)","maga-(r-)","mágá-(r-)","màgar-, màge-","mágár-, mágé-","magár-, magé-","","","","","JLTT 719."
 919,"*mə̀(n)tə̀r-",2657,"to come back, return","возвращаться","","mòdòr-","modór-","módór-","mòdòr-","","","","","JLTT 725."
 920,"*mətər-",1306,"1 to bend 2 to deviate","1 изгибаться 2 отступать, расходиться","\Imotor-\i 1","","motór- 2","mótór- 2","motór- 2","","","","","JLTT 727. Accent is not quite clear."
 921,"*mákí ( ~ -ui)",1373,"firewood","дрова","","","màki","mákí","máki","","","","","JLTT 470. The word is not attested in OJ and may be actually = ma-ki 'true wood' (see ibid.)."
 922,"*músásà(m)pì",1243,"flying squirrel","белка-летяга","musasabji","músásàbjì","mùsasabi, musásabi","mùsásábì","musasábi","","","","","JLTT 489."
 923,"*mùnsìnà",1334,"a k. of badger ("badger-bear", anakuma badger)","вид барсука","muzina","mùzìnà","mujiná, mùjina","mújìnà","mujína","","","","","JLTT 489. Accentuation in Kagoshima and the Tokyo variant mùzina are aberrant."
 924,"*mùkuâ",1484,"son-in-law, bridegroom","зять, жених","muk(w)o","mùkó","múko","mùkô","mukó","","","","","JLTT 487."
 925,"*masu-",1368,"square shape, shape with angles","квадратная форма","","masu-gata","masugata","","","","","","",""
 926,"*máná(m)p-",1250,"to learn","учиться","manab-","mánáb-","mànabu","mánábú","manáb-","","","","","JLTT 720."
 927,"*mə́m-",1313,"flying squirrel","белка-летяга","","mómí","momonga","","","","","","","JLTT 484."
 928,"*məmi ( ~ -ua-)",1316,"red cloth, red colour","красная ткань, красный цвет","","momi","mómi","mómí","mómi","","","","","JLTT 484. Tone reconstruction is not quite clear."
 929,"*máp-",1269,"to dance","танцевать","map-","máf-","mà-","má-","má-","","","","","JLTT 722."
 930,"*máká-",1272,"to lose (a game etc.)","проигрывать","maka-","máká-","màke-","máké-","maké-","","","","","JLTT 719."
 931,"*mànsì-(p)-",1275,"to mix","смешивать","mazipa-, maza-","màzìfa-, maza-","majié-, mazé-","májíé-, màzè-","majié-, màzè-","","","","","JLTT 722."
 932,"*munkua-",1327,"horrible","ужасный","","","mugó-","múgò-","múgo-","","","","","JLTT 853. The PJ accent is unclear."
 933,"*múntú-ká-",1366,"difficult","трудный","","mútuká-si","mùzukashi-, muzukashí-","múzúkáshì-","muzukashí-","","","","","JLTT 835."
 934,"*manka",1300,"evil, bad luck","зло, несчастье","maga","","","","","","","","","JLTT 470."
 935,"*nìnkə̀r-",1178,"be dreggy, muddy","быть грязным, с осадком","nigor-","nìgòr-","nigór-","nígór-","nìgòr-","","","","","JLTT 735."
 936,"*nánkì",1407,"calm water, windless weather","штиль, безветренная погода","nagji","","nagí","nágì","nági","","","","","JLTT 491."
 937,"*nàsàkài",1410,"pity, sympathy","сострадание, жалость","","nàsàkè","nasaké, násake","násàkè","nasaké","","","","","JLTT 494."
 938,"*nàs-",1530,"to pay back a debt","возвращать долг","","nas-","nás-","nàs-","nàs-","","","","",""
 939,"*nínkír-",1463,"to hold in the hand","хватать, держать в руке","nigjir-","nígír-","nìgir-","nígír-","nìgìr-","","","","","JLTT 735."
 940,"*mámíra-",1405,"to be smeared","быть вымазанным","","mámíra-","mamiré-","mámíre-","mamiré-","","","","","JLTT 720. The Tokyo accent is irregular."
 941,"*nə́nə́sír-",1469,"to curse, swear","ругать, порицать","","nónósír-","nonoshír-","nónóshír-","nonoshír-","","","","","JLTT 737. The Tokyo accent is aberrant; otherwise all forms point to high tone."
 942,"*mùnkí",1328,"wheat, barley","пшеница, ячмень","mugji","mùgjí","múgi","mùgí","mugí","","","","","JLTT 487."
 943,"*mə̀(n)k-",1472,"to pinch (hair, feathers, etc.)","выщипывать (волосы, перья и т.п.)","","mòg-","móg-","móg-","móg-","","","","","JLTT 726. Accent in Kyoto and Kagoshima is irregular (under Tokyo influence?)."
 944,"*nùkà",   0,"rice screening, bran","рисовые высевки","nuka","","nuká","núkà","nuká","","","","","JLTT 502."
 945,"*nùsà",1427,"paper offerings, paper pieces on a stick","бумажные приношения, бумажки на палочке или веточке","nusa","nùsà","nusa","","","","","","","JLTT 502."
 946,"*muàmuà",1402,"hundred","сто","mwomwo","mòmò","","","","","","","","JLTT 485."
 947,"*mama",1466,"precipice","обрыв","\Imama\i","","","","","","","","",""
 948,"*kamira",1043,"a k. of garlic","вид чеснока","kamjira","","","","","","","","",""
 949,"*túmà",2274,"spouse","супруг, супруга","tuma","túmà","tsúma","tsúmà","tsúma","","","","","JLTT 555. The Tokyo accent is aberrant (*tsumá would be expected)."
 950,"*mani-ma",1416,"in the same state","в прежнем, том же самом состоянии","manima","mámá","mamá","mámá","máma","","","","","JLTT 471 (not mentioning OJ mani-ma). Original accent is not quite clear due to a secondary contraction in all modern dialects."
 951,"*mami-",1406,"a k. of blackbird","вид дрозда","","","mami-jiro, mami-chajinai","","","","","","",""
 952,"*mə́mə́ ( ~ -ua-)",1352,"peach","персик","m(w)om(w)o","mómó","mòmo","mómó","mómo","","","","","JLTT 484."
 953,"*ùsú", 610,"mortar","ступка","usu","ùsú","úsu","ùsú","usú","","","","","JLTT 564."
 954,"*pàk-",1761,"to spit out; to emit","выплевывать; испускать","pak-","fàk-","hák-","hák-","hàk-","","","","","JLTT 684."
 955,"*nà(n)tùki",1457,"brain, marrow","мозг, костный мозг","nadukji","nàdùki","","","","","","","","JLTT 494."
 956,"*mərəkə ( ~ -ua)",1459,"gudgeon","пескарь","","","moroko","","","","","","",""
 957,"*mu-",1511,"six","шесть","mu-","mú-","mù-","mú-","mù-","","","","","JLTT 489. As with other numerals, the accent reconstruction is not clear."
 958,"*nìrà(n)k-",1448,"to put heated metal into water","закалять металл","","nìràg-","","","","","","","","JLTT 736."
 959,"*mə̀ti ( ~ -ua-)",1519,"birdlime made from holly bark","клей для ловли птиц","m(w)oti","mótí","móchi","móchí","mochí","","","","","JLTT 486. The accent in Tokyo must be original, because it differentiates the word from mòchi 'rice cake' ( < *mə́tí); elsewhere the two accent patterns have merged."
 960,"*áná-",  77,"to despise, tease","презирать, насмехаться","ana-tur-","áná-tur-","anador-","","","","","","","JLTT 676."
 961,"*kàpìná",1108,"arm","рука (верхняя часть)","kapjina","kàfìná","káina, kàina","káiná","kainá","","","","","JLTT 433. The Kyoto accent is irregular."
 962,"*pəmuta",1816,"leather armlet (for bow-shooting)","кожаный нарукавник (для стрельбы из лука)","pomuta","","","","","","","","",""
 963,"*u",2495,"hare (as a cyclical sign)","заяц","\Iu\i","\Iu\i","","","","","","","","JLTT 559."
 964,"*ùsuâ",2518,"lie","ложь","","ùsó","úso","ùsô","usó","","","","","JLTT 564."
 965,"*kásípà",1113,"oak-tree (Quercus dentata thunb.)","вид дуба","kasipa","kásípà","kàshiwa","kàshíwà","kashíwa","","","","","JLTT 441. The word has a rare accent type HHL."
 966,"*kusi", 935,"a k. of nut","вид ореха","kusi","","","","","","","","",""
 967,"*kasi",1151,"Quercus acuta Thunb.","вид дуба","kasi","kàsì","káshi","kàshî","kashí","","","","","JLTT 441. The accent is not quite clear: either *kàsì (cf. RJ) or *kàsî (suggested by the Kyoto form)."
 968,"*ə́nkə́-r-",1574,"to live abundantly","жить в роскоши, изобилии","ogor-","ógór-","ògor-","ógór-","ogór-","","","","","JLTT 740."
 969,"*us-", 676,"to lose, get lost, disappear","терять, теряться, пропадать","usa-, usi-nap-","úsá-, úsí-náf-","usé-, ùshina-","ùsè-, úshíná-","usé-, ushiná-","","","","","JLTT 780. Accent reconstruction is not quite clear: for *usinap- 'to lose' the pattern *HHH is more or less secure, but for *usa- it seems best to reconstruct *ùsá- (indicated by Tokyo and Kyoto). We may actually be dealing with two original roots heavily interacting with each other."
 970,"*pítú, *pítú-ki",1697,"1 box 2 coffin","1 ящик 2 гроб","pjitu 1, p(j)ituk(j)i 2","fítú 1, fítúki 2","hìtsu, hìtsugi","hítsú, hítsúgí","hitsú, hitsúgi","","","","","JLTT 411. Accent in Kag. hitsú is aberrant."
 971,"*pí(n)túmai ( ~ -ia)",1700,"hoof","копыто","","fítúme","hìzume, hízume","hízúmé","hizumé","","","","","JLTT 413. Accent in Kagoshima is irregular."
 972,"*pìrù(n)kap-",1812,"to flap, flutter","развеваться","p(j)irugapjer-","fìrùgafer-","hirugáer-","hírúgáér-","hirugaér-","","","","","JLTT 690. Accent in Kagoshima is irregular."
 973,"*púrú-p-",1863,"to shake; to sieve","трясти; просеивать","puru-p-","fúrú-f-","fùru-","fúrú-","furú-","","","","","JLTT 695."
 974,"*púkúrà-",1823,"to swell","пухнуть","pukura-","fúkúrà-","fùkure-","fúkúré-","fukuré-","","","","","JLTT 694."
 975,"*sámpúrap-",1918,"to be hired, serve as samurai","быть на службе","saburap-","sábúraf-","\Isamurai\i (n.)","","","","","","","JLTT 747 (but the assertion that the form with -b- is Heian and later, is wrong; it is certainly attested earlier and precedes the later attested variant samuraf- / sauraf-)."
 976,"*símpí",1880,"tuna fish","тунец","sibji","síbí","shibi","","","","","","","JLTT 522."
