"NUMBER","PROTO","PRNUM","MEANING","RUSMEAN","WMO","MMO","HAL","BUR","KAL","ORD","DUN","BAO","DAG","YUY","MGR","MOGH","REFERENCE"
1258,"*čig",2356,"separately","отдельно","čiɣ, čiɣ čiɣ (L 178-179)","","čig","","","","","","","","","",""
1259,"*tamasu",2341,"coating, hand seam, net string","обшивка, строчка (рукодельная), веревка сети","tamasu (МXTTT)","","tams","tamha","","","","","","","tamu- 'filer, tordre du fil, des cordes' (SM 408)","",""
1260,"*tama- / *tem-",2303,"to gather, collect","собирать","tama- (L 774)","temgu- (SH)","tama- 'стягивать цепь облавы, собирать разбросанное; прочесывать' (БАМРС)","","","","","","","","tuŋgu- 'ramasser, recueillir' (SM 432)","",""
1261,"*tula",2399,"because, for the sake of","потому  что, ради","tula (L 840)","tula (SH, HY)","tul, tuld","tula","tulə","tula","dula","","tualda, tualā(n) (Тод. Даг. 168), tuale (MD 227)","","","","KW 409, MGCD 651, 652."
1262,"*daja-",2214,"1 all 2 big, great","1 весь 2 большой","dajaɣar, dajan 1 (L 223)","dajir 2 (SH)","dajār 1","","dajār 1","dajan 1","","","","dajār 1 (MGCD 192)","","","KW 73. Turkm. dajav 'huge' may have a Mong. source."
1263,"*ölögčin",1568,"female (of animals), bitch","самка (животных), сука","ölögčin (L 634: ölügčin)","","ölögčin","ülegšen","öləgčṇ (КРС)","ölögčin","","","","lögčin","","","MGCD 543."
1264,"*(h)iča-", 588,"to hope, trust, believe","надеяться, верить","iča- (L 397)","","","","icə-","","","","","","","","KW 211-212."
1265,"*ǯimu-",2633,"be deep in thoughts or in work","быть поглощенным мыслями, работой","","","","","ǯum-","","","","","","","","KW 116."
1266,"*aji-su-",2671,"to come close to, come up to","приближаться, подходить","ajisu-, ajisi-, ajis- (L 22)","ajisu- (SH)","ajs-","","āš- 1","","","","","","","","KW 21."
1267,"*togsĳa-",2475,"1 net for catching birds 2 to fish with a net","1 сеть для ловли птиц 2 ловить рыбу сетью","toɣsĳa- 2, toɣša 1 (L 815)","","togšō- 2, togšō 1","","","","","","","","","",""
1268,"*dörseji-",2283,"to shrink, shrivel; be folded","коробиться, ежиться, морщиться","dörsüji- (МXTTT)","","dörsĳ-","","dörsɛ̄- KPC 212","","","","","","","",""
1269,"*čiɣul-", 270,"1 to gather (of public) 2 public assembly, society","1 собираться 2 народное собрание, общество","čiɣul- 1, čiɣulɣan 2 (L 178)","","čūla- 1, čūlgan 2","","","čūl- 1, čūlGan 2","","","","","","","Mong.> Evk. suglān 'gathering', see Аникин 509."
1270,"*ǯulǯa-gan",1386,"young of plants, animals","молодое растение или животное","ǯulǯaɣa(n) (L 1079)","ǯolǯiqan (LH), ǯulǯaɣan (MA)","ʒulʒgan, ʒulʒaga","zulzaga","zulǯiɣən","ǯulǯaGa","ǯunǯuɣa","ǯinǯiGə","ǯilǯig, (Тод. Даг. 143) ǯilǯag","ǯilǯaGan","ʒ́iʒ́iGa 'petits de certains animaux, bourgeon' (SM 86)","","KW 479, MGCD 462."
1271,"*(h)ibawu", 619,"sea shell","морская раковина","ibau, ibaɣu (L 396)","","juvū","jobūn","","","","","","","","",""
1272,"*köw-, *küw-, *köɣe-r", 902,"1 joy, happiness 2 wish 3 proud 4 percent, profit 5 to become excited, boast","1 радость, счастье 2 желание 3 гордый 4 процент, прибыль 5 возбуждаться, хвастаться","köwr, köger  1, köger(e)-, kögeri- 5 (L 479)","","xȫr 1, \Ixǖ\i 4, xȫrö- 5","xȫrǖ 'babbler, gabby; merry', xȫrxǖ 'boastful'","\Ikǖ\i 2, kȫr 3","kȫrö- 's`exalter'","","","","","","","KW 243, 249."
1273,"*kü", 895,"deictic particle","указательная частица","ene \Ikü\i 'exactly this', tere \Ikü\i 'exactly that'","\I-gu\i (SH)","\Ixǖ\i","","","\Ikǖ\i 'a particle'","","","\Ike,\i \Ikē\i (Тод. Даг. 148)","","","",""
1274,"*aralǯi-",  52,"1 to change, exchange, barter 2 exchange, change","1 менять, обменивать, торговать 2 обмен, торговля","aralǯi- 1 (L 48)","aralǯi- 1 (SH), āralǯi 2 (MA 104)","arilǯi- 1","aralža- 1","arcḷdə-, arcḷcə- 1 (?)","arilǯi- 1, arilǯān 2","arunǯa- 1","anǯi-, anǯə- 1","aralǯi-, allǯi-, (Тод. Даг. 120) aliǯi-","arālǯə-, arālʒ́i- 1","rālǯi- (arāʒ́i- (SM 10))","","KW 15, MGCD 118, 319."
1275,"*(h)am-",  36,"1 sudden, quick 2 to be on time","1 внезапный, быстрый 2 быть вовремя","ama-ɣai 1, am-ǯi- 2 (L 41)","","amǯi- 2","amža- 2, amžalta 3","amɣǟ 1,","amǯi- 2","","","","","","","KW 9."
1276,"*temteri-",2343,"to grope, search by feeling","ощупывать, искать наощупь","temteri- (L 800)","","temtre-","temter-; temge 'наугад'","temtṛ- (КРС)","temtere-","čiančiəlu-","","temilē-, (Тод. Даг. 167) temīlē-","","tendili- (SM 415), temdələ-","","MGCD 631. Cf. also *temüči- 'to strive' (KW 391) > Man. temše- etc.; Tel. tämdän-. The Dag. form may be < TM."
1277,"*kala", 962,"1 bitter life experience 2 to decease (rev.)","1 трудность, горький опыт 2 скончаться (почт.)","qala 1, qali- 2 (L 916, 917)","","xal 1, xali- 2","xala","xal (КРС)","xala 'rude or cruel treatment'","","","","","","",""
1278,"*sumun",2079,"arrow","стрела","sumu(n) (L 737)","sumun (HY 19), sumu(n) (SH), sūmūn (Lig.VMI), səmū (IM), sumun (MA)","sum(an)","homo(n)","sumṇ","sumu(n)","sumu","səmoŋ","som (Тод. Даг. 163), \Isome\i (MD 211), somo","səmən","sumu (SM 359)","","KW 337, MGCD 612."
1279,"*(h)aɣa-",1770,"heavy rain","ливень","aɣadar (L 12)","","ādar","ādar","","","","","","","","",""
1280,"*kebe",1007,"husks, chaff","шелуха, мякина","kebe","","","xebe","kewə","","","","","kəwə 'bran'","","","KW 229."
1281,"*kibag", 769,"small pieces of food, rot","кусочки пищи, труха","","","","xibag","","","","","","","kajaG 'son des céréales, robe ou écorce des fèves, pois' (SM 197)","",""
1282,"*kaɣul-",1065,"to peel off, skin","сдирать шкуру, свежевать","qaɣul- (L 909)","qa'ul- (SH)","xūla-","xūla-","xūl- (КРС)","xūl-","","","haule- (MD 158)","","xụ̄li- 'peler, écorcher, écorcer' (SM 180)","","Mong. > Man. qola-, qōla- (Rozycki 142)."
1283,"*kobiki", 882,"a k. of chisel with a grooved blade","вид долота с закругленным краем","qobki (L 949: qobiki)","","xovxi","xobxol- 'to plane, scrape off'","","","","","","","","","WMong. qobqul- 'to tear away' ( > Evk. kopko-, Man. qobqolo- etc., see ТМС 1, 414, Doerfer MT 91, Rozycki 141)."
1284,"*saba-",1917,"to throw, hit against smth.","бросать, ударять о что-л.","saba- (L 653)","saba-  (MA)","sava-","haba-","saw- (KРС)","sawa-","","","","","","saba- (Ramstedt 1906)",""
1285,"*tor-",2444,"1 snuff, tar 2 flying dust; black and blue spot, bruise","1 копоть, гарь 2 пыль в воздухе; синяк","tortag (L 827: tortuɣ) 1, toru 2 (L 827)","","tortog 1","tortog 1","tortəg 1","","","","","","","",""
1286,"*tolbu",2340,"spot","пятно","tolbu (L 821)","","tolbo","tolbo","tolwə (КРС)","tolbo, tolmo","","","","","","","Mong. tolbutai 'spotted' > Manchu tolbotu 'a grey horse with circular markings on its side' (see Rozycki 210)."
1287,"*üril", 446,"plum","слива","üril (L 1013)","","öröl 'wild apple'","","örḷ 'wild pear'","","","","","","","","KW 300. Cf. *ölir (a different root, but liable to merger)."
1288,"*tom-",2464,"1 chief, first 2 to appoint, nominate 3 hat","1 главный, первый 2 назначать (на должность) 3 шляпа","tomi 1 (L 822), tomila- 2 (L 823), tumurliɣ 3, tumulai 3; (L 824: tomurčaɣ 'muzzle for animals')","tumbula- (SH) 2","tomil- 2, tumlaj 3","tomil- 2","tumrləg 3","tomi 1, tumulai 3 (petit bonnet), tomilo- 'to be ahead of'","","","","","tumbu, tombu 'le premier petit qu'un animal met bas' (SM 431)","","KW 410."
1289,"*bor-",1683,"cone","шишка","borɣučuj, borɣučuɣ (L 121)","","borgocoj","borbōsgoj","","","","","","","","","Cf. also bordo- 'to feed (with grain)' (S.-Yugh. bordo-, MGCD 157), possibly derived from the same root."
1290,"*kim",1002,"sausage, offal","колбаса, требуха","kima  (МXTTT)","","xim","xemneg 'womb'","","","","","","","","",""
1291,"*nolig",1546,"long, boring","долгий, скучный","noliɣ (МXTTT)","","nolig","","","","","","","","","",""
1292,"*goli-", 516,"be tall, stately, gross","быть высоким, величавым, тучным","ɣolĳi-","","golĳ-","golī-","ɣoĺɣṛ","","","","","","","","KW 150."
1293,"*dom, *domag",1213,"1 magic 2 legend","1 колдовство 2 легенда, сказка","\Idom\i 1 (L 260), domaɣ 2 (L 261: domuɣ)","domoxči 'blabber, chatterer' (SH)","\Idom,\i domog","\Idom\i","\Idom\i","\Idom\i 1","","","\Idom\i 1, domege 1 (MD 137)","\Idom\i 1, domog 2","","","KW 95, MGCD 224, 225."
1294,"*limbaj",1399,"accurate, strict","аккуратный, точный","nimbai (L 584)","","ńambaj","","","","","","","","lemben 'agile, facile à manier' (SM 223)","",""
1295,"*orai", 670,"evening, late, yesterday","вечер, поздно, вчера","orai (L 621: orui)","","oroj","oroj","orā (КРС)","orȫ","","χoro 'late' (Тод. Бн.) (with a quite inexplicable χ-)","orē (Тод. Даг. 160: oŕē), oŕē (MD 203)","öröi","urē (SM 476), urī","","MGCD 531. Mong. > Evk. oroi etc."
1296,"*sila",2002,"completely, utterly","полностью, целиком","sila (L 748: šal)","","šal","šal","šalə (КРС)","šal","","","šal (Тод. Даг. 182)","","","",""
1297,"*hüŋgü-",1871,"to rub, knead, crumple","тереть, мять пальцами","üŋgü- (L 1010 üŋge-)","hunku-, unku- (MA 191, 277, 382)","ünge-","ünge-","","üŋgü-","fungu-","","","","fuŋgu- (SM 109)","","MGCD 695, SM 109, Most. DO 759."
1298,"*büle-", 164,"to bore, prick, incise (with a knife etc.)","колоть, надрезать (ножом и т. п.)","büle- (L 146)","","büle-","","bül-","","","","","","","","KW 66."
1299,"*haɣu-",1705,"to scoop out, drain","вычерпывать, осушать","aɣu- (L 15)","xa'u-, xa'ut- (SH)","","","","","","","","","","",""
1300,"*siɣa-r",2045,"dreg, sediment","осадок, отстой","siɣaru(n), siɣaruɣ (L 699)","","šār","šāra","šār, šar","","","","","šar","śārō (SM 395), šārō","","KW 353, MGCD 700."
1301,"*süji-",2102,"1 to pant 2 to blow","1 тяжело дышать, задыхаться 2 дуть","süile- 1 (L 742)","","süjle- 1","hüje- 2","sǖkṇ- 1, sǖgə- 2 (КРС)","süjle- 1","","","","","","",""
1302,"*kuj", 810,"whirlwind","вихрь","qui (L 982)","","xuj","xuj","\Ixǖ\i (КРС)","xuj","","","","χui","","","MGCD 386. Mong. > Chag. qujun, Oyr. qujun etc. (see Лексика 43-44, ЭСТЯ 6, 117-118)."
1303,"*humba-",1826,"to walk submerging into water (snow, grass); to swim, bathe","ходить в воде (снегу, траве); плавать, купаться","umba-, ombu- (L 874)","unba- 'to swim' (MA)","umba-","umba-","","","unba-, umba-","mba-","xompā-, (Тод. Даг. 171), unpā- (MD 233), umpa-, xumpa-","umba-, mbā-","xumbā- (SM 182)","umbɔm 'sich waschend' (Weiers)","MGCD 673."
1304,"*amban",  35,"big, large, heavy; minister, official","большой, тяжелый","amban (L 36)","","amban","amba","ambṇ","","","","","","amba 'dignitaire, légat, ambassadeur' (SM 6)","",""
1305,"*saɣar-al",2032,"greyish, ash-grey","сероватый","saɣaral (L 657)","","sāral","hāral 'light-bay'","sāral 'light-bay' (КРС)","sāral","","","sāral, sālal (Тод. Даг. 162), sārele (MD 204)","sāral","","","MGCD 584. Mong. > Man. sarla (see Rozycki 175)."
1306,"*mel- / *möl-",1312,"1 to be full, become full 2 quite, full","1 быть полным, наполняться 2 вполне, полный","melmeji-  (L 534), melmelǯe- / mölmülǯe- (L 535, 546) 1","","melmĳ-, melmelʒe- 1","melmelʒe- 1","melmɛ:- 1, mel 2","melčirme- 1, melǖ, melē","","","","","","","KW 260."
1307,"*belberkej", 133,"pastern, ankle (of horses, animals)","бабка (у лошадей, животных)","belber(e)kei (L 96) belbenčeg (DO 63)","","belberxi, berevxi","berbegei, dial. belhen","belẉrkɛ̄, belẉncəg","belbenčik","","","","","","","KW 42."
1308,"*tergel",2394,"full moon","полнолуние","tergel (L 805)","tergel (SH)","tergel","terged hara","tergel (СЯОС)","","","","","","","","Mong. > Evn. tärkan-."
1309,"*sibag",2012,"Artemisia","полынь","sibaɣ (L 693)","","šawag","","šawəg 'чабрец, тимьян' (КРС)","šawaG 'artemisia campestris'","","","","","","","Mong. > Chag. šibag 'a k. of plant'."
1310,"*kilaɣa", 966,"fine snow falling in the sunlight","мелкий снег, падающий при свете солнца","kilaɣa (МXTTT)","","x́alā","","","","","","","","","",""
1311,"*sibor",2571,"panther","барс","","","šovor","","","","","","","","","",""
1312,"*moli-",1342,"1 to be blunt 2 blunt","1 быть тупым 2 тупой","moli-ji- 1, moluɣur (L 542) 2","","molgor 2","molxi 2","mölī- 1","","","","? mūle- 'loose one`s sharpness' (MD 192)","","","","Mong. moliɣar 'blunt' (Kalm. möĺəgər) > Kirgh. molaq 'animal with a broken horn' (KW 265)."
1313,"*nari-n",1437,"thin","тонкий","narin (L 566)","narin (SH, MA), narən (IM) , nārīn (LH)","narīn","narin","närṇ","narīn","narunni","naroŋ","narin (Тод. Даг. 156), narien (MD 195)","narən","narin (SM 258), narəŋ","nōrin (Ramstedt 1906)","KW 273, MGCD 501, TMN 1, 513. Mong. > Chag. narin (see TMN 1, 515)."
1314,"*söl-",2050,"testicles","testiculi","","","","","sölzɛ̄","","","","","","","","KW 333."
1315,"*mara-",1268,"salty earth","солончак","mara, maraɣan","","marā","marā","marā","","","","","","","","KW 257."
1316,"*moɣum",   0,"plague excrescence","чумной бубон","","","mōm","","mōmə 'сибирская язва' (КРС), 'чума' (KW 265)","","","","","","","","But L 112: boɣuma, bouma, Khalkha bōm. Mong. is perhaps the source of Manchu mama 'smallpox' (ТМС 1, 525), whence probably Kor. mama id. (see Lee 1958, 114) (?)"
1317,"*maji-kaj",1280,"skin covering the head of animals","шкура с головы животных","majiqai (L 523)","","majxaj (БАМРС)","māxaj","","","","","","","","","Mong. > Neg. makī, Nan. maqị etc. (ТМС 1, 522). One can also mention WMong. majaɣ, maiɣ 'appearance, shape' (Khalkha, Kalm. majag, Mongr. majaG (234), Dag. maigal, majge-tej (MD 188, MGCD 477) - although the word is sometimes regarded (see Sukhebator) as borrowed < Tib. mayig, mayiga 'original'."
1318,"*aja-",  62,"journey, travel","поход, путешествие","ajaŋ, ajan (L 23)","ajan (SH)","ajan","ajan","ajan","ajan","","","ajan (Тод. Даг. 118), (MGCD ajin)","","","","KW 4, MGCD 99. Mong. > Kirgh. ajaŋ etc. (ЭСТЯ 1, 106-107)."
1319,"*ǯalga-",2578,"to fasten, join","прикреплять, присоединять","ǯalɣa- (L 1030)","ǯalqa- (SH)","ʒalga-","zalga-","zalɣə- (КРС)","ǯalGa-","ǯanɣa-","ǯalχə-","ǯalga- (Тод. Даг. 142), ǯalegā- (MD 175)","ǯalGaǯab-","ʒ́irGa- (SM 92), ǯalGā-","","MGCD 427. Mong. > Turk. (late attested) jalga- (ЭСТЯ 4, 12-13)."
1320,"*darba-",2224,"1 to gape, open wide 2 width of the palm of the hand, width of the finger","1 зиять, широко раскрывать 2 ширина ладони, пальца","darbaji- 1 (L 232), daruma 2 (L 235)","","darvaj- 1, daram 2","darbaj- 1","darwǟ- 1","darwǟ- 1","","","darbalǯi- 1 (Тод. Даг. 135), darbəi- 1 (MGCD 202)","","","","KW 79."
1321,"*tara-, *tarka-",2315,"to disperse, scatter","рассеивать, разбрасывать","tara-, tarqa- (L 789, 782)","tara 'scattered' (SH), tarxa- 'be scattered' (SH)","tara-","tara-","tarā-","tarā-","","","\Itare-\i (MD 221), tarā-","tarā-","","","KW 380, MGCD 624. Mong. > Chag. tarqa- etc. (EDT 529, see also under *tā̀ro); Evk. tara- (Doerfer MT 126)."
1322,"*döli-",2279,"to bend backwards","наклоняться назад","döli- (L 267: dölügü 'slightly inclined')","dolusgu- (SH)","dölö-","düle-","döli-","","","","","","","","KW 98."
1323,"*budaŋ", 157,"fog","туман","budaŋ (L 129), budun","budan (SH, MA), buduŋgu 'dunkel' (HYt)","budan","budan","budŋ̣","budaŋ","","","","budaŋ","","","KW 57, MGCD 685."
1324,"*(h)ečüg-le-",1759,"to give drinks to spirits","делать возлияния духам","ečügelkül- (МXTTT)","","ecegle-","","","","","","","","","",""
1325,"*borgĳa", 149,"1 river rift 2 hill, mound; frail soil with poor vegetation","1 речной порог, перекат 2 холм, насыпь; рыхлая земля с бедной растительностью","borgĳa 1, 2 (L 121)","","borgio 1, 2","bōri 2, borjo-gor 'неровный, каменистый'","","","","","","","","","Mong. > Evk. borī, Orok bōri. Cf. also bartaɣa (L 89) 'uneven terrain, broken country; hillock, knoll' ( < *bortaɣa ?); Ord. borǯoŋ 'croûte de salpêtre ou de sel mêlés de terre qui se forme à la surface des terrains salpêtreux et sur les bords des lacs de sel', Kalm. borǯəŋ 'быстрина'."
1326,"*ǯa- / *ǯe-",2596,"1 meal 2 to be hungry","1 еда, пища 2 быть голодным","ǯoɣog 1 (L 1067: ǯoɣuɣ, ǯoɣ), ǯemü- 2","","ʒōg 1","ʒōg 1","zōg 1, zöm- 'to be thirsty' (КРС)","ǯōG","","","","ǯūg 1","","","MGCD 448."
1327,"*(n)im",1415,"testicles","testiculi","\Iim,\i nim (L 409: confused with \Iim\i 'mark, sign')","","\Iim\i","em-nī- 'to castrate'","\Iim\i","\Iim,\i \Iem\i","","","","","","","KW 207."
1328,"*bilaɣu",1624,"1 carp 2 a k. of salmon","1 карп 2 таймень, язь, сорога","bilaɣu; buluu, buluɣu  1 (БАМРС)","","bulū cagān 1","bulūsxai 2","","","","","","","","","Cf. also Bur. Okin. baĺuɣan < *baliɣugan, Darkh. baĺus 'гольян, мелкий хариус' (see Аникин 115, but hardly borrowed < Turkic), with a usual vowel variation of the type milaɣa / maliɣa."
1329,"*haji-ǯagan",1775,"ship","корабль","","haiǯaɣa (IM)","","","","","","","","","","",""
1330,"*(h)adaska",1757,"unworked leather","необработанная кожа","adasqa (L 11)","adasqa 'old skin' (MA 402)","adsaga","","adsxə (КРС 28)","","","","","","","","One should mention MMong. (SH) hudesu 'leather' < *hede-sü (?)."
1331,"*(h)udka",2537,"sense, reason, meaning","смысл, значение","udqa (L 862)","","utga","udxa","utxə","udxa","","","","","","","KW 452."
1332,"*de-b-", 377,"1 to lay, put, spread, bed 2 saddle cushion 3 mat, rug","1 класть, подстилать, 2 подушка седла 3 подстилка","debǯĳe 3, debsi 2 (L 239: debse)","debusger (HY 23) 2, däbos- (IM), dibä̆s- 1, dĭbisgä̆r 2 (MA), debsgər 2 (LH)","devǯē 3, devs(en), devsger 2","debdi- 1, debhe(n) 2","dewsə- 1 KPC 191, dewsə 2","dewes- 1","","dēsə- 1","debseg 2, deuse- 1","debse 2, debsger 3","dēsəgu 3, d(w)ēsə- , debse- (Minghe) 1","","KW 90, MGCD 209."
1333,"*ǯad-",2584,"to untie, unleash","развязывать, раскладывать","ǯadaji-, ǯadula- (L 1021: ǯadal-, ǯadala-)","","ʒadla-, ʒadra-","zadal-, zadar-","zadḷ- 'to provoke',  zadər- (КРС)","ǯadara- 'se répandre (secret, nouvelle)'","","","ǯadlā-","","","","MGCD 422."
1334,"*batagana",1626,"fly","муха","bataɣana (L 91)","","batgana","bataganā(n)","batxənə","bataGana","","","","","","","KW 36."
1335,"*hötün",1860,"worm, larva","червь, личинка","ötü(n) (L 646)","","öt","üt","ötṇ","ütü","xodəu","hodəg","xudu (Тод. Даг. 179)","öt ( < lit.)","","","KW 302, MGCD 550."
1336,"*görüɣe-", 572,"antelope, wild steppe animal, game","антилопа, дикое степное животное, дичь","görüge(n), görügesü(n) (L 387)","gore'e, gore'esun (SH), gors[o]n (IM), guräsun (MA)","görȫs(ön)","gürȫhe(n)","görɛ̄sṇ, görɛ̄","görȫs","","","gurēs (Тод. Даг. 133), gurēse (MD 153)","görösən","korosə 'bête féroce, bête sauvage' (SM 215)","ZM gor[ä]sun 'wild ass' (21-1)","KW 138, MGCD 301. Mong. > Sol. gures, Man. gurgu, see Poppe 1966, 191-192, Doerfer MT 137."
1337,"*(h)oroŋgo", 629,"a k. of antelope","вид антилопы","oroŋɣu (L 623: oruŋɣu)","","oroŋgo","oroŋgo","orŋgə  'rhinoceros' (КРС 403)","oroŋgo","","","","","","",""
1338,"*(h)argali",2529,"female (of mountain ram)","самка архара","arɣali (L 52)","","argaĺ","argali","argəĺi","argali","","","","","","","KW 13, Mong. > Man. argali, see TMN 1, 121, Doerfer MT 135, Rozycki 20. The connection with *araɣa 'fang' (see, e.g., Аникин 94), is an obvious folk etymology."
1339,"*(h)ideɣe", 647,"tanning stuff","дубильное вещество","ideɣe (L 399)","","idē(n)","ed́xe- '1 заквашивать (хлеб) 2 дымить (кожу)'","","","","","","","","",""
1340,"*kulunča",1078,"ancestor","предок","qulunča (L 985)","","xulanc","xulinsag, gulinsag - 'потомки в пятом колене'","xuləncəg (КРС)","xulumči, xuluŋči 'trisaïeul paternel'","","","","","","",""
1341,"*tob-",2434,"1 round, convex 2 hill 3 clot 4 button 5 cone (of conifer) 6 heel-piece","1 выпуклый 2 холм 3 комок 4 пуговица 5 шишка 6 каблук","toburuɣu, (L 812) toburuu 1, tobči 4 (L 810)","towči 4 (IM)","towx 3, towč 4","tobogor, tobxogor 1, tobšo 4, tobxo 5,6","towxn  (KW) 2, towčə 4 (КРС)","toworū, tuwurū 1, dobči(n), dobxo 4","tɨǯɨ 4","tobči 4","tuarč, torči (Тод. Даг. 168) 4 tobeči 4 (MD 225)","tobǯə 4","deśʒ́i (SM 54) 4","","KW 404, MGCD 637.  Mong. tobči > Evk. topči, see Doerfer MT 128."
1342,"*dawu-",2235,"sound, voice, song","звук, голос, песня","daɣu(n), daɣuu, duu (L 219, 278)","dau'un (HY 42), dau'u (SH), daulaxči 'singer' (HY 30), da'ū (IM)","dū(n)","dū(n)","dūn","dū(n)","\Idon,\i duan 'voice, song'","doŋ, dun","dau (Тод. Даг. 135, MD 133)","dūn","\Idū\i (SM 62), dau (Minghe)","daun (Weiers), döün; ZM doun (5-6a)","KW 104, MGCD 233. Mong. daɣu-la- > Evk. dawlā etc., see Doerfer MT 61."
1343,"*(h)ekire",2787,"twins","близнецы","ikere, ikire (L 401)","","ixer","exir","ikr","\Ieker,\i ekir","","","","","","","KW 206. Mong. ikire 'twins' > Evk. ikirē etc., see Doerfer MT 99, Rozycki 115."
1344,"*dürbe-", 399,"to run (in panic)","бежать (в панике)","dürbe-, (L 281) dürbi-","durbe- (SH, HYt)","dürve-","","","","","","","","","",""
1345,"*siɣü-",2183,"to filter, strain","процеживать","siɣü- (L 702)","šu- (MA 337)","šǖ-","šǖ-","šǖ- (КРС)","šǖ-","","","","","","",""
1346,"*sabir- / *sibere-",1921,"to sprinkle, trickle","моросить, брызгать, цедить(ся)","sabira-, sibere-, sibsi- (L 695)","","savira-, šivre-, šavši-","","säwr- 'to sprinkle, scatter'","","","","","","","","KW 319. The Mong. form seems to be borrowed in a number of TM expressive forms: Orok sêpēr 'морося', sepitči- / seputči- 'брызгать, выплескивать', Man. šufur se- 'рассыпаться', sabara- 'разливать, разбрасывать'."
1347,"*kürid",1047,"moth larva","личинка моли","kürid (L 505)","","xürd","","","kürit","","","","kureg","","","MGCD 302."
1348,"*kačir", 805,"cheek","щека","qačir, qačar (L 901)","qačar (HY 45, SH), qačər (IM), qačar (LH) Г","xacr, xacar","xasar","xačṛ","\IGačar\i","qɨǯa, qɨča","","xačir (Тод. Даг. 175), (MGCD, Тод. Даг. 148) kačir; kačire (MD 181)","","xaʒ́ar (SM 148), xaǯar","","KW 173, MGCD 336."
1349,"*olo-sun",2508,"hemp","конопля","olosun (L 610: olusu(n))","olosun (HY 22)","ols","ulha(n)","olsṇ (КРС)","ulusu(n)","","","olso (Тод. Даг. 159), olese (MD 201) ; olsu","losən","losə (SM 228)","","MGCD 528."
1350,"*dar-", 578,"to become stiff, hard or solid; to become rough, uneven, hard","затвердевать, огрубевать","daraji-, darsaji- (L 232, 233)","","daraj-, darsaj-","","","","","","","","","",""
1351,"*(h)eɣülder", 411,"breed","порода","egülder (L 300)","","ǖlder","ǖlter","","","","","","","","",""
1352,"*čibda-",2782,"slow, sluggish; thin (of water flow); miserly","медленный, медлительный; тонкий (о потоке воды); скупой","čibdaɣ (L 174)","","čavdag","šabdag","","","","","","","","",""
1353,"*saɣa-",2167,"to diminish","уменьшаться, укорачиваться","saɣa- (L 656)","","sā-","hā-","sā-","sā-","","","","","","","KW 317."
1354,"*honu-",1861,"1 to hit (target), guess 2 to compete in bow-shooting 3 to shoot over the target 4 gist, essence","1 попадать (в цель), угадывать 2 соревноваться в стрельбе из лука 3 стрелять выше цели 4 сущность","onu- 1, ontus- 3, oni-su(n) 4 (L 615)","xontuča- 2, 3 (SH), nu- (IM)","ono-, no- 1, ońs 4","ono- 1","\Ion-\i 1","ono-","","","nō- 1 (MD 200)","","nū- 'regarder; atteindre, le but, toucher' (SM 287)?","","KW 286."
1355,"*čiŋla-", 238,"to listen","слушать","čiŋna-, čiŋla- (L 190)","","čagna-","šagna-","čiŋnə- (КРС)","čiŋna-","čenlie-, čanlie-","čoŋlə-","činčilə-","","ćinla- (SM 452), čiŋla- (Huzu), (MGCD čaŋla-)","","MGCD 559."
1356,"*daɣara-",2273,"to freeze, become cold","замерзать, остывать","daɣara- (L 218)","dara- (MA)","dāra-","dāra-","dār-","dāra- 120","daGara-","dār-","dāra- (Тод. Даг. 135), dāre- (MD 131)","dārā-","dāra- (SM 44)","","KW 82, MGCD 182."
1357,"*(h)örbelge",1830,"feather","перо","örbelge, örbülge (L 640)","","örvölgö","","örwḷgə, örwələg","örwölgö","","","","","","","KW 301."
1358,"*(h)oji-či-",1813,"to fall, tumble","падать, спотыкаться","ojiči- (L 604)","","ojči-","","","","","","","","","",""
1359,"*čeɣel", 278,"1 deep (water) 2 spring, place with springs 3 small pool","1 глубокая (вода) 2 источник, место с родниками 3 пруд, лужа","čegel 2 (L 169)","če'el (SH) 1","cēl 2","sēl 1","cēl 3","","","","čēle (Тод. Даг. 181)","","","","KW 428."
1360,"*kari-", 731,"1 to come back, return; to answer 2 answer; return","1 возвращаться; отвечать 2 ответ; возвращение","qari- (L 937) 1","qāri- (IM), qari- (HY 34, 40, SH) 1, ɣari'ūn 2","xaŕ- 1","xari- 1, xaŕū 2","xäŕ- (КРС) 1","xari- 'retourner, mourir'","qari- 1","χārə- 1","hari- (MD 157), xari- 1; xarō  (Тод. Даг. 174) 2","χarə- 1; χaru 2","xari 'réponse, vengeance' (SM 162), xari- (SM 162), xarə- 1; xarū 2","qari- (Ramstedt 1906) 1","TMN 1, 380, MGCD 332, 333. Mong. > Manchu qaru 'reward, revenge, recompence, retribution'  etc. (see Rozycki 134)."
1361,"*kere-, *kerü-",1015,"to roam, wander","бродить","kere-, kerü- (L 458)","","xere-","","","kere-, kerü-","","","","","","",""
1362,"*kerig",1014,"miserly","скупой","kerig, kireg, kirig (L 471)","","xereg","","","","","","","","","",""
1363,"*čüw", 290,"ring","кольцо","čü (МXTTT)","","\Icǖ\i","süj","","","","","","","","",""
1364,"*daldawu", 224,"lime-tree, linden","липа","daldau (L 226: dalduu)","","daldū","","","","","","","","","",""
