"NUMBER","PROTO","PRNUM","MEANING","RUSMEAN","ATU","KRH","TRK","TAT","CHG","UZB","UIG","SJG","AZB","TRM","HAK","SHR","ALT","KHAL","CHV","JAK","DOLG","TUV","TOF","KRG","KAZ","NOGX","BAS","BLKX","GAGX","KRMX","KLPX","SAL","QUM","REFERENCE"
1157,"*otar",1818,"1 pasture 2 far environs 3 (summer) camp, dwelling place, village 4 herd","1 пастбище 2 дальние страны 3 хутор, деревня 4 отара, стадо баранов","","","","utar 3","","ọtɔr 4","","","","otar 1","","","\Iodor\i 1","","","otor 3","","odar 1","","otor 1, 2","otar 1","otar 1","utar 3","","","otar 1","otar 1","","otar 3","VEWT 367, ЭСТЯ 1, 487-488. Usually derived from \I*ot\i 'grass'  but the morphological pattern is unclear; the word might well be archaic despite lack of ancient attestation. Cf. also Balkan words like Hung. határ etc., most probably of Turkic origin. Turk. > WMong. otar, Kalm. otr (KW 291)."
1158,"*bɨldur (/*buldɨr)", 107,"past time, last year","прошлое, прошлый год","","bɨldɨr (MK)","","bɨltɨr","bɨltɨr (AH), bɨlɨr (Pav. C.)","bultɨr","bultu(r)","pɨtɨr","bildir","bildir","pɨltɨr","","","","","bɨlɨr","bɨlɨr","","","bɨltɨr","bɨltɨr","","bɨltɨr","bɨltɨr","bɨldɨr","bɨltɨr","bɨltɨr","","bɨltɨr","EDT 334, VEWT 74, ЭСТЯ 2, 139-140, Лексика 71, Stachowski 70."
1159,"*üjük",1848,"1 quicksand 2 to sink","1 зыбучий песок 2 тонуть, погружаться","","üjük (MK, KB) 1, üjük- (MK) 2","","","(Xwar.) üjük 'dregs in wine' (Qutb)","","","","","üjk 'slush'","","","","","","","","","","","","","","","","","","","","EDT 271, 272."
1160,"*ujɨ-",1840,"to stiffen","неметь, цепенеть","ujɨrqan- joqurqan- (OUygh.)","","ujuš-","ŭjɨ-, ŭjɨš-","ujuš- (AH)","ujuš-","","","ujuš-","","","","","","","","","","","","","ujɨ-","ŭjŭ-, ŭjŭš-","","ujvaš-","","ujɨ-","","","ЭСТЯ 1, 582, ДТС 608."
1161,"*bokak",1676,"crop, craw","зоб","","boqaq (MK)","boɣak","","boqaɣu (AH)","buqɔq","poqaq","","buxaG","buqaw","poɣo","","boɣoq","","","moɣox","","","","boɣoq","buɣaq","","boɣaq","boɣaq","","","buɣaq","","buɣaq","VEWT 79, TMN 2, 349, ЭСТЯ 2, 202, Лексика 150."
1162,"*ilme",2804,"1 asp-tree 2 elm-tree","1 осина 2 ильм, вяз","","","","elmä 2","","","","","","","","","","","jəʷlme 2","","","","","","","elmen 1","","elme 1","","","","","elme 2","VEWT 338, Егоров 78, Федотов 1, 194, Дмитриева 189, Лексика 126. The word is attested late (like many tree names), but borrowing from Russ. ильм is hardly possible; the Russian word, usually considered a Germanism (MHG ilme etc.), may equally well be explained as a Turkism (see Егоров ibid.). The resemblance of PT *ilme and PIE *l̥mo- / *olmo- is interesting, but probably accidental (if the Turkic word indeed goes back to PA *p`i̯ule."
1163,"*ạlkɨ-",1787,"1 to bless, praise 2 blessing, praise 3 curse","1 благословлять, восхвалять 2 благословение, хвала 3 проклятие, проклинать","alqa- (OUygh.)  1,  alqɨš (OUygh., Yen.) 2","alqɨš 2 (MK)","alkɨš 2","alqɨš 2","alqa- 1 (Pav. C.)","ɔlqiš 2","alqiš 2","alqɨs 2","alGɨš 2","alqɨš  2","","","alqa- 1","","ɨlɣan 3","alɣā- 1, alɣɨ̄ 2 ( < Tuva)","algā- 'to shamanize' ( < Tuva)","a'lɣɨš 3","","alqa- 1, alqɨš 2","alɣɨs 2; alqa- 1 (dial.)","","alqɨš 2","alɣɨš 2","","alɣɨš 2","alɣɨs 2","","alɣɨš 2","ЭСТЯ 1, 137-138, EDT 137-138, Егоров 343, Stachowski 31, Мудрак Дисс. 181 (regarding the Yak. form as borrowed < Tuva because of its vocalism)."
1164,"*öŋeŕ",1827,"1 slime (on dishes) 2 mildew","1 налет, слизь (на стенках посуды) 2 плесень","","","","","","","","","","","","","","","","öŋüs 1","","","","","öŋez 1","","üŋäδ 2","","","","","","","ЭСТЯ 1, 538."
1165,"*öŋi",1804,"other","другой","öŋi (OUygh.)","öŋi (MK)","","üŋgä (dial.)","","","","","","öŋŋe 'the rest'","","","","","","","","","","öŋgö","öŋge","öŋge","","","","öŋge, oŋga","öŋge","","oŋge (dial.)","EDT 170-171, ЭСТЯ 1, 537-538, VEWT 372 ( > Kalm. öŋgɛ̄n, KW 297)."
1166,"*büŕ- / *bür-",1685,"to wrinkle","морщиться","","bür- (MK, KB), büz- (IM)","bür- (dial.), büz-","bör-","bür- (Sangl.)","buriš-","pü(r)-","","büz-, bürüš-","bür-, büz-","pür-","","","","pəʷr-","","","","","bür-","bür-","bür-","bör-","","","bürüš-","bür-","","bürüš-","VEWT 92, EDT 355, ЭСТЯ 2, 294-296 (contaminates with *bür- 'to cover'). Егоров 157, Федотов 1, 421."
1167,"*uruk",1866,"1 rope 2 lasso","1 веревка, бечева, канат 2 аркан","uruq (OUygh.) 1","uruq (MK) 1","urɣan, urgan 1","","orɣan (AH) 1","","","uruq 2","","urGan 1","urux 2","uruq 2","uruq 2","","","","","uruq 2","","","","","","","urɣan 2","","urqan 1","urχan, orχan 1","","EDT 215, VEWT 516, ЭСТЯ 1, 585 (confused with *ukruk), 602-603. Some modern forms reflect a secondary derivative *urkan."
1168,"*erŋek",1750,"finger, thumb","палец, большой палец","erŋek (Orkh., OUygh.)","erŋek, dial. ernek (MK)","","","ernek (Pav. C.)","","","","","","irgek","","ergek","","","erbex","erbek 'peg'","ergek","","","","","","","","","","","","EDT 234, ЭСТЯ 1, 299, Лексика 253-255, Stachowski 47."
1169,"*bugu, -ra",1667,"1 deer (male) 2 camel stallion","1 олень 2 самец верблюда","buɣu 1 (13th c.), buɣura 2 (Orkh.)","buɣra 2 (MK)","buɣur 2, dial. buɣu 1","","buɣu 1, buɣra, buɣur 2 (Pav. C.)","buɣu 1","buɣu 1, (dial.) buɣra, boɣra 2","pɨrɣa 2","buɣur 2","buɣra 2","","","bura 2","","","būr 'male reindeer, male'","būr 'male reindeer'","būra 2, būr 'male elk'","","būra 2","bura 2","bora 2","","\Ibū\i 1","","","buwra 2","","","EDT 317-318, ЭСТЯ 2, 235-238, Лексика 152, Лексика 446-447, Stachowski 67. Turk. bugura > Mong. buɣura (see TMN 2, 296, Щербак 1997, 110). Щербак 1997, 201 considers Turkic *bugu to be borrowed from Mongolian buɣu 'male deer' (which may be true for some Kypchak forms: Kirgh. buɣu, Kaz. bŭɣɨ, Nogh., KKalp. buɣɨ), but in fact one can also think of a loan in the opposite direction: Turk. > Mong. buɣu (KW 58, MGCD 166), further > Evk. buɣu etc., see Doerfer MT 78. Turk. > Russ. Siber.  burá 'female camel';  Mong. (Bur.) būra > Russ. Siber. búra id., see Аникин 142."
1170,"*bAlbal",1628,"a stone pillar erected on a grave","каменная колонна на могиле, истукан","balbal (Orkh., Yen.)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","EDT 333. Borrowed (possibly from an unattested Bulgar source) in Old Russ. bolvanъ, Hung. bálvány 'stone idol' (suggestion of Melioranski, evidently preferable to the hypothesis of Korsch-Dmitriev < Pers. pahlavān, see Шипова 84-85, Аникин 114)."
1171,"*üle-",1851,"1 to divide, distribute, endow 2 lot, endowment","1 разделять, распределять, наделять 2 доля, надел","üle-, üleš- 1, ülüg, ülüš 2 (OUygh.)","üle-, üleš- 1, ülüg, ülüš 2 (MK, KB)","üleš- 1, üleš 2","ü̆läš- 1, ü̆lĭš 2","ülü 2, üle- 1 (AH), üleš- 1, üleš 2 (Pav. C.), ülüš 2 (Abush., Pav. C.)","uläš- 1, uĺuš 2","üläš- 1, ülüš 2","ülis- 2","","üle, ülüš 2, üle-, üleš- 1","üle- 1, ülüs 2","üle-, üleš- 1, üleš, ülüš 2","ülü, ülöš 2, üle-, üleš-, ülöš- 1","","valeś- 1","","","üle- 1, üleš 2","","ülöš, ülüš 2","üles- 1, üles 2","üles- 1, ülis 2","ü̆läš- 1, ü̆lü̆š 2","üleš- 1, üleš, ülüš 2","","üleš-, ülüš- 1, ülüš 2","üles- 1, üles 2","","üleš- 1","ЭСТЯ 1, 627-629, EDT 127, 142, 153, 154, Егоров 46, Федотов 1, 98-99, VEWT 520, TMN 2, 120-121."
1172,"*En",1599,"1 earmark (on domestic animals) 2 to make an earmark 3 to castrate","1 метка на ушах (домашних животных) 2 ставить метку на ушах 3 кастрировать","","ene- 2 (MK), 3 (MK - Kypch.)","enek 1, (dial.) \Ien\i 1, ene- 3","inä- (dial.) 2","\Ien\i (Bud.), \Iin\i (Pav. C.) 1","\Ien\i (dial.) 1","än 1","","\Ien\i (dial.) 1","","\Iin\i 1","","","","","","","","","\Ien\i 1","\Ien\i 1, dial. ene- 2","\Ien\i 1","\Iin,\i inäw 1","","","","\Ien\i 1","","","ЭСТЯ 1, 177-278, EDT 166, 171."
1173,"*čal-", 267,"1 to knock (down), hit, agitate 2 to whet 3 to slaughter 4 to mow 5 scythe 6 to sting, pierce 7 to sweep 8 to chop 9 a k. of broom 10 to sharpen, whet 11 whetstone 12 mowing, hay time 13 to trip 14 blade","1 сбивать, ударять, бить, взбалтывать 2 точить 3 убивать, закалывать 4 косить 5 коса 6 жалить, закалывать 7 подметать 8 изрубить, отрубить 9 вид метлы, веник-голик 10 точить 11 оселок 12 покос 13 дать подножку 14 острие, лезвие","čal- 1 (OUygh.)","čal- 1 (MK, KB)","čal- 1, čalgɨ 9, čalgɨ oraɣɨ 5","čal- 1, 3, čalɣɨ 5","","čal- 1, čalɣi ụrɔq 5","čal- 1, čalɣa 5","čal(ɨ)- 8","čal- 1, 6, 7, čalɣɨ 9","čal- 10, 7, 6, čalGɨ 5, 11","\Isal-\i 1","šalɣɨ 5","čalɣɨ 5","čal- 1, 6","śol- 4, śolъk 9","sālɨn- 'to fall abruptly'","","šalɨ- 10","","čal- 1, 3, čalɣɨ 5, čalɣɨn 12","šal- 13, šalɣɨ 5, šalɣɨn 12","šal- 1, 3, 4, šalɣɨ 5","salɨ- 3","čal- 4, čalqɨ 5","čalɨm 14","cal- 1, 4, calqɨ, calɣɨ 5","šal- 1, 3, 13, šalɣɨ 5, šalɣɨn 12","","čal- 1, 4, čalɣɨ 5","VEWT 97, EDT 417-418 , Егоров 206, Федотов 2, 132, 133. The difference in length between Turkm. and Yak. allows to suppose a merger of at least two roots, perhaps originally distinguished semantically and phonetically as *čāl- 'to knock down' (reflected in Yak., not reflected in Turkm.) - *čal- 'to sharpen, whet' (reflected in Turkm., not reflected in Yak.). Since "Verba des Schlagens" are generally  vague semantically, in most languages it is difficult to draw a line between them."
1174,"*jumra-",1503,"1 gopher 2 ground-squirrel","1 суслик 2 евражка","","","","jomran 1","jumran 'mole' (AH)","jumrɔn 1","jumran 1","","","jumran 1 (dial.)","","","jɨmran, jɨbɨran 2","","","","","","","","","","jomran 1","ǯuburan 1","","","","","","VEWT 210, ЭСТЯ 4, 247-248, Лексика 165-166. Turk. > Mong. ǯurum, ǯurama, Khalkha ʒuram, ʒurma, Dag. ǯombor, (Tod. 145) ǯumbrā (see MGCD 464, KW 481, TMN 4, 220), whence Man. ǯumara etc., see Doerfer MT 102, Rozycki 127. Cf. also *jamlan / *jalman (VEWT 183, ЭСТЯ 4, 97; > Mong. jalman). Turk. > Russ. dial. jevrán and similar forms, see Аникин 195, 199, 205."
1175,"*čib", 326,"1 nail, peg 2 corner 3 penis 4 fir","1 гвоздь, колышек, чека 2 угол 3 penis 4 хвойное дерево","čɨ/iv 2 (OUygh.)","(čiǯ 1 MK - a miswriting instead *čiv?)","čivi 1","čöj 'wedge, cotter'","","čuv 1","čüä 3 (R, by animals), čivä 'space between legs above the knees', čivilän 'back saddlegirth' (fixed with a wooden peg)","","čiv 1","čüj 1","","","čiiš 'wedge'","","","","","","","","","šüj 1","söj 1","čüj 1","čivi 1","čüj, čüw, (K) čivĳ 1","šüj 1","","čüj 1","VEWT 110, 121, EDT 393-394, 396, Лексика 125, 398. Because of well known semantic correlations of the type 'penis': 'thorn': 'fir (needle)' it is tempting to compare also the name of the fir-tree: Tat. dial. (КСТТ) čivi, cɨvɨ, Khak. sɨbɨ, Shor šübe, Oyr. čibi (Tuba čɨbɨ),  Tuva šivi, Tof. šibi. However, the intermediate form meaning 'thorn' is not attested, and the medial consonant here is rather *-p- (unless we suppose interdialectal loans), so it may be unrelated."
1176,"*čɨkanak", 297,"lock, pivot","засов, стержень","","","","cɨɣanak (Sib.)","","","","","","","","","čɨɣanak, dial. čānaq (Верб.)","","","","","","","","","","sɨɣanaq, dial. sɨɣansaq","","","","","","","Дыбо 171. It is also necessary to note Kaz. šege, Kirgh. čege 'nail', possibly going back to the same root."
1177,"*sīĺč-", 323,"1 to swell 2 swelling, tumour","1 пухнуть 2 опухоль","sɨš-, šɨš- 1, šiš 2 (OUygh.)","sɨš  2, sɨšɨl- 1 (MK), šiš- 1 (Tefs., IM)","šiš- 1, šiš 2","šeš- 1","šiš- (Sangl.) 1","šiš-(mɔq) 1, šiš 2","išši-(maq) 1","siz- 1","šiš- 1, šiš 2","čīš- 1, čīš 2","səs- 1, səs 2, (Qyz.) čəǯək 2","šiš- 1, šiš 2","","šɨš- 1","šɨś- 1","\Iis-\i 1","\Iis\i 2","ɨ'š- 1","","šiši- 1","","\Isis-\i 1","šeš- 1","","šiš- 1, šiš 2","šiš-, \Isis-\i 1","","","šiš- 1","VEWT 424, EDT 857, ДТС 524 , Егоров 341, Федотов 2, 467, Stachowski 128-129. Languages display both assimilations and dissimilations (loss) of the first consonant. Loss of length in Yak., Tuva and Tof. is not quite clear (Turkm. clearly demonstrates a long -ī-); if we take into account the Chuv. reflex (-ɨ- corresponding to Common Turkic i/ɨ), we should perhaps reconstruct a PT form *sɨ̆jĺč- (see Мудрак Дисс. 158)."
1178,"*čĀl", 319,"grey, grey-headed","серый, седой","","čal (MK, KB)","čal","čal 'grey hair'","čal 'having grey hair amid black hair' (Abush., Sangl.)","čɔl 'old man'","","","čal","čāl","čal","","čal","","","sālɨr 'light-bay (horse); pepper-and-salt (hair)'","","","","čal","šal 'old man'","šal","\Isal\i","čal","","čal","šal","","čal","EDT 417, VEWT 96, TMN 2, 31, Аникин 640. Turk. > WMong. čal, Kalm. cal, Khalkha cal būral 'grey-haired, roan'; Russ. \Iчалый.\i"
1179,"*s(i)ar-ča",2179,"tethering post","коновязь","","","","","sarča (R)","","","","","","sarčɨn (folkl.)","","","","","","","sarčɨn (R - Soj.)","","","","","","","","","","","","R 4, 336-337, VEWT 403 (suggesting a derivation from sar-, saru- 'to tie round' - which is also not excluded)."
1180,"*čubar", 338,"variegated","пестрый","","","","čuwar","","","","","","","","","","","","","","","","čār","","","","","","","","","","VEWT 118-119. Note however that most of the forms listed in VEWT actually reflect PT *čopur (v. sub *šop`é), so the root *čubar appears to be very late and local."
1181,"*sɨrɨčga",2185,"glass, rock crystal","стекло, горный хрусталь","","sɨrɨčɣa (MK), sɨrɨnčɣa (KB)","sɨrča","","sɨrča (AH, IM), sirčä (Pav. C.)","","","","","sɨrča 'enamel'","","","","","šъrźa 'bead'","","","","","","","","","","sɨrča","","","","","EDT 846, VEWT 419, ЭСТЯ 7."
1182,"*sakak",2160,"1 place between the neck and the chin  2 gills 3 beard, barb (of axe)","1 место между шеей и подбородком 2 жабры 3 бородка (топора)","","saqaq (MK) 1","sakak 1","saɣaq 3","saqaq 1 (Abush., Бор. Бад., Pav. C.)","saqaq 1 (dial.)","","","","saqaq 1","","","saɣanaq 3","","suɣa, saɣa  (Anatri), polъ soɣalъ (Viryal) 2","","","","","saɣaq 1","saɣaq 1","","haɣaq 3","saɣaq 2","","","saɣaq 1, 2","","","EDT 807-808, ЭСТЯ 7, Лексика 220-222, Федотов 2, 68, Ашм. IX, 279, XI, 216. There is some confusion between this root and *saŋak (v. sub *seŋa). Turk. > WMong. saɣaɣ, Kalm. saɣəg (KW 308). PT *sakkal 'beard'  (full list of reflexes see in ЭСТЯ 7) is a probable derivative ( > MMong. (SH) saɣal, WMong. saqal, Kalm. saxəl, KW 308;  > Hung. szakál, see Gombocz 1912; Mong. > Evk. sakal etc., see Doerfer MT 100)."
1183,"*siŋ-",2151,"to sink, submerge","уходить в землю, погружаться","siŋ- (OUygh.)","siŋ- (MK)","\Isin-\i","sĭŋ-","siŋ- (AH, Pav. C.)","siŋ-","siŋ-","sɨŋ-","\Isin-\i","siŋ-","sɨŋ- 'to fit into'","sɨŋ- 'to fit into'","","","šъnъś-","iŋ-","","siŋ-; sɨŋ- 'to fit into'","","siŋ-","siŋ-","siŋ-","hĭŋ-","siŋ-","\Isin-\i","\Isin-\i","siŋ-","siŋ-","siŋ-","EDT 833-834, Мудрак Дисс. 43, ЭСТЯ 7. The Khak., Shor and Tuva forms may have been influenced by *sɨg- 'to fit into' (v. sub *sĭ́gú)."
1184,"*apa", 439,"mother, elder sister, aunt","мать, старшая сестра, тетя","apa (Yen.)","epe ~ apa (Oghuz=Qarluq Türkmen, MK)","aba (Ank.), dial. apa","apa","apa 'elder sister' (Sangl.)","ɔpa","apa","","","apa, afa (dial.)","","abiče (< aba-eče)","abune (< aba-ene)","","","","","ava","aba","apa","apa","aba","apa","aba","","apaj (Q)","apa","","abaj, apaj","EDT 5, ЭСТЯ 1, 158-159, ССЯ 290-291, Лексика 300, 301, TMN 2, 3, Аникин 90. Front row variants (Tur. eve, Kaz. ebej, Yak., Dolg. ebe etc., see ЭСТЯ 1, 220-221, Stachowski 42) are recent and may have a Mong. origin."
1185,"*ēb-", 458,"1 to hurry 2 quick","1 спешить 2 быстрый","evük (OUygh.) 2","ev- (KB) 1, evek 2 (MK, KB)","ev- 1","","ev- (MA, IM, Qutb., Houts.)","","","","","ǟv- 1","ibek 2","ibek 2","","","avaš- 1; avъk 'moment; quick'","","","","","","","","","","","","","","","EDT 4, 8-9, VEWT 34, Егоров 19 (Федотов 1, 25-26 - differently)."
1186,"*Edi", 414,"host","хозяин","edi (idi) (OUygh.)","iδi (MK)","ĳe, ɨs, \Iis\i","ĳä","eje (Бор. Бад., Abush.), ĳe (Pav. C.)","äjä (dial.)","","ise","jĳä","eje","\Iē\i","\Iē\i","\Iē\i","","","ičči","ičči","\Iē\i ( < Oyr. or Khak.)","","\Iē\i","ĭje","ĳe","ĭjä","ĳe","","ĳe, je","ĳe","","jeje","ЭСТЯ 1, 237-241, TMN 2, 176, EDT 41, Лексика 324-325, Stachowski 122. Some forms (Tur. ɨs, is, Yak. ičči etc.) go back to a suffixed *ede-si; the Khak. and Shor forms should be explained as a haplology of the same form."
1187,"*ek-", 420,"1 to decrease, be insufficient 2 common, ordinary, low class; fault, faulty","1 уменьшаться, быть недостаточным 2 обычный, низкородный; недостаток, недостаточный","egsü- 1, egil 2 (Orkh., OUygh.)","egsü- 1 (MK)","eksi-, eksil- 1, eksik 2","","eksü- 1 (Abush.), öksü-, öksül- 1 (Pav. C.), öksük 2 (Abush., Pav. C.)","","ögsü- 1 (dial.)","","äskik 2","egis-, egsil- 1, egsik 2","","","","","iksəl- 1, jəksek 2","","","","","öksü- 1, öksük 2","","","","","jisil- 1","eksil- 1, eksik 2","","","","ЭСТЯ 1, 257-258, Егоров 77, Мудрак Дисс. 199; EDT 106, 117. The Chuv. Anlaut is not quite clear (iksəl- < *jəksəl-?; one of the cases with prothetic j-, so the openness / closedness of the vowel in PT remains unknown); Федотов 1, 193 derives Chuv. jəksik from PT *jek (v. sub *ĺā̀k`è), but this is phonetically impossible."
1188,"*ēĺü-", 459,"1 to cover 2 (door) curtain > door","1 покрывать 2 (дверной) занавес > дверь","","ešü- 1, ešik / ešük 2 (MK)","ešik 2","išĭk 2","išik 2 (AH, IM), išük (IM), ešik 2 (Abush., Pav. C.)","ešik 2","","","ešik 2","īšik 2","īzĭk, ĭzĭk 2","ežik 2","ežik 2","ẹ̄̂šük 2","algъ, alъk 2","","","ežik 2","","ešik 2","","esik 2","išĭk 2","ešik 2","ješik 2","ešik 2","esik 2","","ešik 2","EDT 256, 260, TMN 2, 183-184,  Егоров 24, ЭСТЯ 1, 396-398, Лексика 511-512, 517."
1189,"*Keleŋü", 997,"field mouse","мышь-полевка","","kelegü 'al-yarbū' (MK)","kelen(g)i, geleni, dial. gelenki","","","","keleŋü (IM)","","","","","","","","","","","","","kelemiš, keler, keles","","","","","","","","","","VEWT 249, EDT 718, ЭСТЯ 5, 31, Лексика 181. The root is not widely attested (although mentioned by MK), and may become confused with the root for 'lizard'; in Turkic dialects folk-etymologically influenced by gelin 'bride' (cf. also gelincek 'weasel', see Цивьян 1979), which would explain voiced g- (irregular in the Altaic perspective)."
1190,"*ēl", 460,"1 peace 2 people, country","1 мир 2 народ, страна","\Iel\i 2 (Orkh., OUygh.)","\Iel\i 1, 2 (MK)","\Iil,\i \Iel\i 2","\Iil\i 2","\Iil\i  (AH), \Iel\i (Abush., Pav. C.) 2","\Iel\i 2","\Iil,\i äl 2","","\Iel\i 2","īl 2","\Iil\i 2","","\Iel\i 2","","jal 2","\Iil\i 2","","","","\Iel\i 2","\Iel\i 2","\Iel\i 2","\Iil\i 2","\Iel\i 2","iel 2","\Iel\i 2","\Iel\i 2","","\Iel\i 2","EDT 121-122, VEWT 39, TMN 2, 194, ЭСТЯ 1, 339-343, Егоров 352, Лексика 316. The meaning "peace" attested in MK is probably the most archaic (cf. the external parallels; typologically cf. also Slavic *mirъ 'peace' > 'world'), suggesting a development *'peace' > 'peaceful people, realm, country'."
1191,"*elik", 425,"roebuck, wild goat","косуля (общее назв. и самка)","elik (OUygh. - YB)","elik (KB)","elik (dial.)","","(MKypch.) elik (Houts., AH)","","","","","","ilək","elik","elik","","","elik 'чубарый олень'","","elik","elik","elik","elik","","ilek","","","","elik","","","EDT 142, VEWT 40, ЭСТЯ 1, 265-266, Лексика 153."
1192,"*jẹbe-",1539,"1 cemetery, grave 2 soul of the deceased 3 ghost 4 funeral","1 кладбище, могила 2 душа умершего 3 дух, привидение 4 похороны","","","","","","","","\Iever\i 2","","","nebeg 1, ibərəg 4","","","","śъʷva 1","sibien 3","","čeveg 1","","","","","","","","","","","","VEWT 197."
1193,"*ana / *eńe", 432,"mother","мать","\Iana\i ~ ene (OUygh.)","\Iana\i ~ ene (MK)","\Iana\i","\Iana\i","\Iana\i  (Pav. C.)","","\Iana\i","\Iana\i","\Iana\i","ene","inä","","ene","","ańne","ĳ̃e","ińe","ĳ̃e","","ene","ene, \Iana\i","","inä","\Iana\i","\Iana\i","\Iana\i","ene, \Iana\i","\Iana\i","\Iana\i","EDT 169-170, VEWT 19, 44, TMN 2, 130, ЭСТЯ 1, 278-281, Егоров 28, Лексика 298-299, 300-301, Stachowski 127."
1194,"*ēŋ", 434,"1 cheeks 2 jaw, chin","1 щеки 2 челюсть, подбородок","","\Ieŋ\i 1, eŋek 1, 2 (MK)","enek 2","ĳäk 2","eŋek, enek 2 (Abush., Pav. C.)","engäk 2","iŋäk 2","iŋek 2","äŋ 2","ǟŋ 'lower jaw', eŋek 2","\Iek\i 2","ēk 2","ēk 2","","\Iana\i 2","\Iiŋ\i 2","","","","ēk 2","ĭjek 2","ĳek 2","ĭjek 2","","","","ĳek 2","","","EDT 166, 183, VEWT 45, ЭСТЯ 1, 284-285, Лексика 218-219, Федотов 1, 45."
1195,"*Kạrga-",1024,"to swear, curse","ругать, проклинать","qarɣan- (recipr.) (OUygh.)","qarɣa-, qɨrɣa- (MK, KB)","","qarɣa-","qarɣa- (Qutb, Abush.)","qɛrɣɛ-","qa(r)ɣa-","","","\IGarGa-\i","xarɣa-","","qarɣa-","","xъrrъn (Adv.) 'angrily'","kɨrā-","kɨrā-","qarɣa-","qarɣa-","qarɣa-","qarɣa-","qarɣa-","qarɣa-","","","","qarɣa-","","qarɣa-","EDT 655, VEWT 237, ЭСТЯ 5, 304-305, Stachowski 169."
1196,"*ẹsür-", 451,"to become drunk","пьянеть, напиваться","esür- (OUygh.)","esür- (MK)","esri-","isĭr-","esri- (AH)","äsĭr- (dial.)","","","","esre-","izĭr-","ezir-","ezir-","","üzər-","itir-","itiriktē- 'to rejoice, have a feast'","ezir-","e`siri-","esir-","esĭr-","esir-","iϑĭr-","esir-","","esir-","esir-","","esir-","EDT 251, VEWT 50, ЭСТЯ 1, 309-310, Stachowski 130."
1197,"*es", 468,"1 memory, mind 2 to pity, regret","1 память, рассудок 2 жалеть, сожалеть","\Ies\i 1 (OUygh.)","\Ies\i 1 (KB), esirge- 2 (MK)","","\Iis\i 1","\Ies\i 1 (AH, KW)","\Ies\i 1","äs 1","","äksi (< äs-ki) 'clever'","\Ies\i 1","","","\Ies\i 1","","\Ias\i 1","","","","","","\Ies\i 1","\Ies\i 1","iϑ 1","\Ies\i 1","","\Ies\i 1","\Ies\i 1","","\Ies\i 1","EDT 252, VEWT 49, 50, ЭСТЯ 1, 310, Егоров 33, Федотов 1, 61.  Turk. > WMong. esi, Kalm. \Iiš\i 'allowing, etiquette'."
1198,"*ēt-", 469,"to organize, to make","устраивать, делать","et- (Orkh., OUygh.)","et- (MK)","et-","\Iit-\i","et- (Abush., Pav. C.)","et-","et-, ät-","et-, \Ijet-,\i \Iit-\i","et-","īdeg 'keeping' ('присмотр'), et-","\Iit-\i","","et-","","\Iat-\i","","","et-","","et-","et-","et-","\Iit-\i","et-","et-","et-","et-","","et-","EDT 36-37, ЭСТЯ 1, 312-313, Дыбо Дисс. 56, Федотов 1, 67. Shortness in Turkm. et- is no doubt secondary: cf. the derivative īdeg, and also regular intervocalic voicing -t- > -d- in all Oghuz languages (pointing to original length), see EDT ibid."
1199,"*ạbuč",  47,"handful","пригоршня","","avut (MK), avut-ča, avuč-ča (KB), avuč (Tefs).","avuč","\Iuč\i","avuč (MA, Sangl., Бор. Бад.)","xɔwuč","\Ioč\i","\Ioš\i","ovuč","ovuč, jan-avuč","ōs","\Ioš\i","ūš","","ɨvъś","","","","","ūč","uwɨs","uvɨs","\Ius\i","uwuč","auč","avuč, uvuč, uvuc","uwɨs","\Iuǯ\i","uvuč","EDT 44, VEWT 3, ЭСТЯ 1, 409-410, Егоров 342, Дыбо 179-181, Лексика 25-253. Turk. > MMong. a'uč id. (Щербак 1997, 103)."
1200,"*ạ̄gu",  60,"1 poison 2 musk","1 яд 2 мускус, кабарговая струя","aɣu 1 (OUygh.)","aɣu 1 (MK)","\Iau\i 1","aɣu 1","aɣu 1","ɔɣu 1","aɣi, oɣa 1","aɣa 1","aɣɨ 1","āvɨ 1","\Iō\i 1","","","","","\Iɨ̄\i 2","","","\Iā\i 1 (Рас. ФиЛ 9)","aɣū 2","aɣu dial.","aɣuw","aɣɨw","aɣu","","aɣu","","","aɣuw, aɣu","VEWT 9, 13, ЭСТЯ 1, 67. The Kypch. forms with -ɣ- (not shifted to -w-) and *-uɣ may be borrowed from Chag."
1201,"*čar-", 344,"1 plane tree 2 gooseberry 3 asp tree 4 a k. of poplar","1 платан 2 крыжовник 3 осина 4 вид тополя","","čarun (MK) 1","","","","","čarčaj 2 (?)","","","","","","","","","","","šarlan 3","","čar terek 4","","","","","","","","","","VEWT 110, EDT 430, Дмитриева 1972, 186."
1202,"*egin", 416,"shoulder","плечо","egin (OUygh.)","egin (MK)","eɣin, ejin 'back'","","egin (Abush., Pav. C.), in (Pav. C.) 'back'","egin","","igen","äjin 'body'","egin (dial.)","iŋnĭ","äŋin, egini","ĳin","","avъn, an","ien","","eɣin","","ĳin","ĭjĭn","ĳin","","","","īn, in","ĳin","","","EDT 109, VEWT 37, ЭСТЯ 1, 225-227, Егоров 26, Лексика 239, Федотов 1, 42-43."
