"NUMBER","PROTO","PRNUM","MEANING","RUSMEAN","TURC","TURCNUM","MONG","MONGNUM","TUNG","TUNGNUM","KOR","KORNUM","JAP","JAPNUM","REFERENCE"
1173,"*làk`ù",1424,"to bend, hang, hanger","нагибать, вешать, вешалка","",   0,"*naki-", 433,"*laxu-", 552,"*náks", 406,"*nuki", 406,"The original meaning was probably 'hook or (bent) stick for hanging smth.', which can well explain all the available reflexes. It is also possible to reconstruct a derivative *làk`ù-čV 'smth. bent, curved' reflected in MKor. náks ( < *nák-č) and Evk. laku-ča."
1174,"*ĺak`V ( ~ -e-)", 410,"fur clothes","меховая одежда","*jaku",1749,"*daku",1831,"*leKu (/ *laKu)",2050,"",   0,"",   0,"A Western isogloss. Mong. cannot be < Turk., despite Щербак 1997, 121."
1175,"*la-", 604,"on this side, near","по эту сторону, близко","",   0,"*naɣa-", 243,"*la-kV, *la-ŋ", 183,"*njək", 698,"",   0,"ТМС 1, 488, АПиПЯЯ 293. Originally a monosyllabic deictic root with directive affixes."
1176,"*làlè",   0,"sticky substance","клейкое вещество","*jilik",1029,"*nila-", 966,"*lala",1159,"",   0,"*nə̀rì", 899,"Лексика 264. A rather usual fronting in Turk.: *jilik < *jɨlɨk."
1177,"*lalV", 952,"weak, exasperated","слабый, измотанный","*jalk-",1028,"*nal-, *nalk-", 965,"*lali-",1158,"",   0,"",   0,"A Western isogloss."
1178,"*lằŋi",   0,"dirt, slime","грязь, жижа","",   0,"*laj",2002,"*laŋga",1825,"",   0,"*nìnkə̀r-", 935,"PTM and PJ reflect a suffixed form *lằŋi-kV."
1179,"*ĺábó", 705,"a k. of plant","вид растения","*jaba",1025,"*debeɣe",1636,"*labikta / *lebukte",1155,"",   0,"*náimpú", 896,"Jpn. has one of the rare cases of the Inlaut -ai- (-ia-) diphthong. Otherwise correspondences are regular, although the precise botanical nature of the plant is not quite clear."
1180,"*láp`ì", 374,"flat, broad","плоский, широкий","*jap-", 705,"*labta-", 620,"*lapta-", 759,"*nàp- / *nə̀p-", 658,"*nípá", 585,"SKE 160, Poppe 37, Цинциус 1984, 8. Despite Doerfer MT 97, hardly borrowed in TM < Mong. The root should be distinguished from *li̯ap`e 'leaf'."
1181,"*peńo ( ~ *b-, *p`-, -o-)",1805,"flame, light","пламя, свет","",   0,"",   0,"",   0,"*pằńắ-", 800,"*pənə",1152,"A Kor.-Jpn. isogloss. {Cf. PE *panə-ʁ- 'to burn, ashes, dry out'}"
1182,"*ĺā̀p`o ( ~ -i)",1770,"string, strap","веревка, ремешок","",   0,"*deɣe-sü", 437,"*lāpV-ki",1162,"",   0,"",   0,"A Mong.-Tung. isogloss. Cf. \U*labV.\u Cf. perhaps Karakh. (MK) jabtač 'cloth, handkerchief' (merged with *jap- 'to cover')."
1183,"*laǯV",   0,"heavy, clumsy","тяжелый, неуклюжий","",   0,"*noǯo-",1753,"*laǯu",1956,"",   0,"",   0,"A Mong.-Tung. isogloss. Attested only in Manchu, and could be a loanword from some Mong. dialect preserving *l-, thus rather uncertain."
1184,"*lā̀k`a ( ~ *ĺ-)",   0,"a k. of plant with edible root","вид растения со съедобным корнем","",   0,"",   0,"*lāk-",2033,"*nək-",1143,"*nànkui",1446,"An Eastern isogloss. Cf. perhaps also WMong. naŋgi 'water caltrop, water chestnut' (L 564), although the medial cluster is unclear, or {naɣa, Kh. nag "цветок со стеблем без листьев")."
1185,"*ĺā̀k`è",   0,"bad, evil","дурной, злой","*jek", 556,"*ǯeke-j ( < *ǯike-j)",1529,"*lāK-",1716,"*nək-",1012,"*nəkə",1435,"Martin 227 (Kor.-Jpn.). Turk. -e- instead of expected -ɨ- is probably due to contamination with \U*ĺḕgi\u q.v."
1186,"*lā́mo",1758,"a k. of bag","вид мешка","*jĀmčɨk", 511,"*nambuga", 136,"*lam(b)a", 547,"*nằmằčh", 399,"",   0,"A derivative *lā́mo-č`V (or even *lā́mo-č`V-k`V) can be reconstructed on the basis of PT *jĀm-čɨk and PK *nằmằčh. There seems to have existed a similar root with a medial cluster *-mb- and meaning a k. of vessel, reflected in Evk. lamban `scoop, ladle' and PJ *nampai, OJ nabe `vessel, pan' (probably borrowed into Kor. nampi id.); a merger with this root may explain occasional -b- in TM and -b- in Mongolian."
1187,"*lā̀mò ( ~ -a)",  20,"sea, wave","море, волна","",   0,"*namug", 967,"*lāmu",1160,"",   0,"*nàmì", 900,"ОСНЯ 2, 30, Murayama 1962, 109 (Jpn.-TM). Cf. also Koguryo *nuami 'pond, sea', see Lee 38, Menges 1984, 280-281."
1188,"*ĺā́p`V",   0,"bifurcated pole","раздвоенная жердь","*jāpa(k)",1745,"*daɣaga(n)",1826,"*lap-",2042,"",   0,"",   0,"A Western isogloss."
1189,"*lā́ŕgu",   0,"sloppy job","разгильдяйство, небрежность","*jạ̄ŕ-", 635,"*nargi-", 552,"*largī", 687,"*nòrắs", 555,"*núká-r-", 508,"Cf. also Mong. nerme 'to make worse'. Reason for closed *-ạ̄- in Turkic is not quite clear."
1190,"*lā̀t`á ( ~ ĺ-)", 157,"wave, storm","волна, шторм","",   0,"",   0,"*lāta",2043,"",   0,"*nàntá",1131,"A Tung.-Jpn. isogloss."
1191,"*lā̀blè",   0,"moss, lichen","мох, лишайник","",   0,"*lujilV", 969,"*lālbi-kta / *lelu-kte",1168,"",   0,"*nə̀rì", 906,"The vocalism is somewhat shaky, like in many names of plants (in this case, secondary labialization in Mong. may be due to the medial cluster)."
1192,"*lépù(-nV) ( ~ -b-)", 116,"swamp","болото","",   0,"*labku, *lobku", 968,"*lebē(n)-",1161,"*nɨp(h)", 891,"*númà", 901,"Martin 236, Whitman 1985, 25, ТМС 1, 514. Jpn. *númà < *núbà-n, with normal regressive dissimilation."
1193,"*lebV ( ~ -p-)", 354,"to eat greedily","жадно есть","",   0,"*labsi-",1819,"*lebge-",2032,"",   0,"",   0,"A Mong.-Tung. expressive isogloss. In PTM cf. also *labada- 'to grasp with teeth', *lupku- 'to suck'."
1194,"*ĺekleKV",1735,"a k. of aquatic bird","вид водоплавающей птицы","*[j]eglek",1724,"*deglej",1784,"*leg(l)ek-",2017,"",   0,"",   0,"A Western isogloss; no doubt, onomatopoeic in origin, but interlanguage loans seem to be excluded in this case."
1195,"*li̯ája", 804,"sound, to sound","звук, звучать","",   0,"*najita-", 539,"*leje- / *ńiaja- ( < *liaja-)", 668,"",   0,"*nái", 496,"An onomatopoeic root; seems, however, be well enough reconstructable for PA."
1196,"*lèjk`á", 406,"to intend, demand","намереваться, требовать","",   0,"*neke-", 691,"*leKe-", 844,"*njə̀kí- / *nə̀ikí-", 772,"*niànkà-p-", 670,"KW 274, EAS 76, Poppe 39, 56, АПиПЯЯ 78. Korean has a "verbal" low tone. The medial cluster with *-j- is in this case responsible for some peculiar reflexes: diphthongs both in Jpn. and Kor. and the palatalized initial reflexes (*ĺ-?) in TM languages.  Despite Doerfer MT 51, TM cannot be borrowed from Mong, and - despite Rozycki 150 - Mong. cannot be borrowed from TM. Doerfer (TMN 1, 531) argues fervently against the Mong.-Kor. comparison ("Ramstedt verstößt hier gegen seine eigenen Prinzipien. Man kann das kor. Wort [nəgi-, njəgi- in Ramstedt's transcription] natürlich nicht mit dem mo. vergleichen, wenn man (cf. RAM 85!) ursprachlich -k- = mo. -k- = kor. -k-,-kh- ansetzt."), evidently unaware that modern Kor. -g- is a phonetic variant of -k- in intervocalic position."
1197,"*luko",   0,"wild pig","дикая свинья","",   0,"*nogtu-", 698,"*luke- / *lukte (*lekte)", 854,"*nɨktai (?)", 780,"",   0,"The Kor. match is glossed as "wild boar" by Ramstedt (in SKE), but as "jackal" or "Korean wolf" in modern dictionaries - thus it may be actually the same word as nɨktä < *l[ù]k`V 'lynx'; but the Mong.-TM parallel is still valid. {Cf. PAA *li:k 'pig'}."
1198,"*lélugV",   0,"kerchief, pendant","платок, подвеска","*jaglɨk", 531,"*nolga", 447,"*lelu(ke)", 570,"*nòríkái", 425,"",   0,"In Kor. the word also means 'plaything', and is usually derived < nōr- 'to play'; external evidence shows that the derivation is rather opposite ('to play' < 'to fondle with a pendant')."
1199,"*lemV",1851,"meat, fat (of animals)","мясо, жир (животный)","*jạm-",1059,"*lami-",1003,"*lemuk",1212,"",   0,"",   0,"A Western isogloss. {Turk. *jạmɨŕ should be perhaps rather compared with Mong. sami 'groin' < PA *zamU.}"
1200,"*ĺeŋgV",   0,"a k. of predator","вид хищника","",   0,"*ǯiŋger",1498,"*leŋgur",1681,"",   0,"",   0,"A Mong.-Tung. isogloss. Cf. also *lúŋa."
1201,"*ĺep`a ( ~ -o, -u)", 951,"feather, down, wool","перо, пух","*jAp",1036,"*daɣaki",1434,"*lepu-", 196,"",   0,"",   0,"Владимирцов 208. A Western isogloss. Possibly derived is the Turk.-Mong. name for "foal" ( < "down, hair fading"): Turk. *japak (ЭСТЯ 4, 159-160), Mong. daɣagan ( > Evk. daɣakan etc., see Doerfer MT 99), see KW 81, Poppe 47."
1202,"*lép`ó ( ~ *ĺ-)",1852,"to rise, high","подниматься, высокий","",   0,"",   0,"*lep- / *lupu-",1802,"*nòph-", 782,"*nə́mpə́r-", 231,"Martin 1996, 98. An Eastern isogloss."
1203,"*ĺḕgì",   0,"to hate, abhor","ненавидеть, чувствовать отвращение","*jigren- ( ~ -e-)",1720,"*ǯig-",1803,"*lēgī-",2013,"",   0,"*nìkù-",1161,"Ozawa 270-272, ЭСТЯ 4, 200-201. Cf. \U*ĺā̀k`e.\u"
1204,"*lēmo", 955,"fresh, raw; vegetables","свежий, сырой; овощи","*jẹ̄miĺč", 567,"*lamaɣa", 482,"",   0,"*nằmằrh", 175,"*nàmâ", 215,"Martin 232 (Kor.-Jpn.). The Turkic word is traditionally analysed as 'food' ( < *jē- 'eat' < PA *ǯē q.v.), but this may well be a reinterpretation."
1205,"*leńa",1182,"to incline, sway, shake","наклоняться, раскачиваться","*jAń-ka-",1219,"*naji-(gu)-",1191,"*leŋgī-",1418,"",   0,"",   0,"EAS 75, Владимирцов 369, ОСНЯ 3, 58-60. A Western isogloss. Borrowing in Mong. from Turk. is quite improbable, despite Щербак 1997, 121."
1206,"*ĺip`ú",   0,"dark red, violet","темно-красный, фиолетовый","*(j)ip-",1940,"*ǯibi",2027,"*lipe-",2249,"",   0,"*numpa-",1559,"An interesting common Altaic colour term."
1207,"*li̯àmba ( ~ *ĺ-, -o)",2047,"a k. of big fish","вид большой рыбы","",   0,"",   0,"*liamba-",  43,"",   0,"*nàmà(n)tù", 332,"A Tung.-Jpn. isogloss; but cf. perhaps also Khak. nomza 'dace' ( < *jom-); Tat. jumba, ǯumba 'burbot' (VEWT 210); {WMo nümer 'осьминог'}."
1208,"*li̯ap`V", 815,"spleen","селезенка","*japal", 835,"*niɣalta",1820,"*lipče",2034,"",   0,"",   0,"A Western isogloss. Very scantily represented in Turkic and TM, but probably archaic."
1209,"*li̯àp`[à]", 373,"leaf","лист","*japur-gak",  46,"*labči",  50,"",   0,"*níph",  47,"*nàpài", 453,"EAS 75, KW 272, Владимирцов 369,  Poppe 37, 44, АПиПЯЯ 19, 42, 282, Лексика 112. The Kor. vowel is probably secondary (pointing to a variant *li̯àp`e)."
1210,"*làjp`V", 363,"to glue, stick to","прилипать, приклеивать(ся)","*jạp-ɨĺč-",1023,"*niɣa-", 962,"*labgān-, *lipa-",1154,"",   0,"*nàimpà-r- (~-ia-)", 895,"Владимирцов 209, 369, Poppe 39, 47, 74, ОСНЯ 2, 19, Miller 1986, 203, АПиПЯЯ 75, Мудрак Дисс. 91. Cf. also OJpn. nìbè 'fish glue'; diphthong in Jpn. and vowel variation in Jpn. and TM probably indicates PA *-j-.  Doerfer (TMN 4, 49) denies the Turk.-Mong. parallel - in a hardly plausible way."
1211,"*li̯ŏga",   0,"green, dark","зеленый, темный","*jạgɨŕ",1751,"*nogoɣan",  38,"*ĺog-", 167,"*nò-nắ-", 979,"*nà", 156,"KW 278, АПиПЯЯ 293, Poppe 38, Doerfer MT 56-57 (Tung.-Mong.). Kor. reflects a form with an -n-suffix and has a usual verbal low tone."
1212,"*ĺi̯ŏ̀ki",1423,"to run away","убегать","",   0,"*ǯigutu-",1581,"*luktu-",1768,"",   0,"*nìnká-",1299,"Ozawa 269. The voicing in Jpn. contradicts unaspirated *-k- in PA: it may be secondary, under the influence of the synonymous *nuànkà-ra- (see \U*nŭ̀k`e\u)."
1213,"*ĺi̯ŏ́mo(ŋa)", 186,"name; spell, divination","имя; заклинание, гадание","*jom, *jom(ŋ)ak", 237,"*dom, *domag",1293,"*nim-ŋā-", 206,"*ni'jaki", 914,"*ná(N)",  50,"АПиПЯЯ 69, 110, 276, EAS 51. The verbal correlate for *naN 'name' in PJ is *nəm- 'to pray'. The noun goes back to the suffixed form *ĺi̯ŏ́m(o)-ŋa (note the recurring *-ŋ-suffix in the reflexes: MKor. nì'jàkì also goes back to *nìŋa-ki < *nimŋa-ki with early cluster simplification). Despite Щербак 1997, 124-125, Mong. cannot be < Turk."
1214,"*li̯òmù",   0,"bow","лук","*jüm-", 336,"*lumu", 293,"*liam-", 376,"",   0,"*dùmì", 266,"The Jpn. word is hard to separate; initial d- is probably due to influence of \I*da\i 'arrow'. If this is the case, one would be also tempted to compare PTM *lukī 'arrow' and PJ *duki 'quiver' - with exactly the same Anlaut correlation. {But see also under *dḕgni}."
1215,"*li̯òŋè",1806,"a k. of insect","вид насекомого","",   0,"*newne, *neɣüne",1827,"*loŋ-",2044,"",   0,"*nə̀mì ( ~ -ua-, -ui)",1449,"The root is not well attested and somewhat insecure, denoting some small insect (bug or butterfly). But the correspondences are regular and the match seems possible."
1216,"*li̯ū́k`a ( ~ -u)",   0,"seam, to stitch","шов, стегать","*jīk",1033,"*log-si-",2151,"*luK-",1166,"",   0,"",   0,"A Western isogloss."
1217,"*lùku ( ~ *ĺ-, -o-, -k`-)",1183,"to take off (clothes)","снимать (одежду)","",   0,"",   0,"*luK-",1169,"",   0,"*nùk-", 907,"Miller 1985b, 194. A Tung.-Jpn. isogloss."
1218,"*ĺi̯ul[o]",1769,"to ransom, ask","выкупать, просить","*jul-",1827,"*doli-",1912,"*l[i]l- ( ~ -ü-)",2154,"",   0,"*nai ( ~ *nia)",1505,"KW 94, Poppe 75, Лексика 346 (Turk. *jul- : Mong. *doli-). Despite TMN 4, 315: "das scheint lautlich nicht aufzugehen"), the Turk.-Mong. match is quite satisfactory. The TM and Jpn. parallels are, however, somewhat problematic, because of scarce attestation in TM and phonetic contraction in Japanese (the form may go back to *ĺi̯ul(o)-gV,  cf. Turk. *julɨg)."
1219,"*li̯ŭ̀mo ( ~ ĺ, -e)", 888,"to swallow, drink","глотать; пить","",   0,"",   0,"*lümŋe-", 134,"*nəm-ku-",  74,"*nə̀m-",  16,"SKE 164, Poppe 74, Murayama 1962, 110, АПиПЯЯ 19, 69, 105-106, 274. An Eastern isogloss."
1220,"*ĺi̯ŭ̀p`ù", 953,"to sew, pierce","шить, протыкать","*jɨp / *jip",1035,"*ǯeɣeg ( < *ǯiɣeg)",1637,"*lup-",1170,"*nupi-", 927,"*nùp-", 908,"Martin 241 (Kor.-Jpn.), KW 474 (Turk.-Mong.)."
1221,"*li̯u[k]u",1433,"thick, dense","густой, плотный","*jigi / *jɨgɨ",1031,"*nigta / *lüg / *lug", 971,"*lōgdi, *luku(tu)",1164,"",   0,"",   0,"A Western isogloss. An expressive form with somewhat irregular correspondences; however, despite Doerfer MT 51, TM cannot be explained as borrowed from Mong."
1222,"*lī́gà ( ~ *ĺ-)",   0,"to weep, cry","плакать","*jɨ̄g-(la-)", 299,"",   0,"*ligi-",1803,"",   0,"*nák-", 246,"Cf. Kor. nɨkki-da 'to weep' (with unclear vowel and gemination; see Martin 242)."
1223,"*lŭge ( ~ -i)",1426,"bridle","уздечка","*jügen",1034,"",   0,"*luksi",1167,"",   0,"",   0,"A Turk.-Tung. isogloss."
1224,"*lúke", 642,"to bow, bend","наклоняться, гнуть","*jükün-",1656,"*nugu-",1722,"*loka-",1923,"",   0,"*nə́kí ( ~ -ua-)",1524,"ОСНЯ 3, 64-65 (Turc-Mong). Cf. \U*lak`u.\u"
1225,"*lop`V",   0,"nest (of rodents)","гнездо (грызунов)","",   0,"*nowkai",1828,"*lopi(gi)",2045,"",   0,"",   0,"A Mong.-Tung. isogloss."
1226,"*ĺóre (?)",   0,"a k. of deer","вид оленя","",   0,"*ǯüre", 700,"*lor- (?)", 856,"*nòrằ", 783,"*nərə ~ *nuarua", 675,"The root presents several problems: a) Mong. has ǯ- instead of an expected d-; b) the TM forms are few and rather controversial (it is not really clear whether the Manchu form is related to Evk.); c) the Jpn. form is attested late. There may also have been some confusion with the reflexes of *negre '(female) deer' q.v."
1227,"*lòŋé ( ~ -u-)",1767,"chisel, drill","долото, бурав","",   0,"",   0,"*luŋu",1165,"",   0,"*nə̀muí ( ~ -əi)", 904,"A Tung.-Jpn. isogloss. Cf. perhaps Mong. *düji-le- 'to shave' (WMong. düil-, L 279), which would make us reconstruct *ĺoŋe."
1228,"*lúk`ì ( ~ -o-)", 547,"to break through","прорывать,  проходить через","",   0,"*nüke-", 970,"*lokta-",1163,"",   0,"*núk-", 903,"ОСНЯ 2, 28-29, АПиПЯЯ 75."
1229,"*lúŋa",1670,"a k. of fur animal","вид пушного животного","",   0,"*nagaj",1497,"*loŋ-sa", 441,"*nə̀ŋ'úrí", 272,"*ná-i",1660,"See Лексика 165. Cf. *ĺeŋgV (in Kor. a partial contamination is possible)."
1230,"*lúŋu ( ~ *ĺ-, -o-, -i)",1738,"morning or evening dawn","утренняя или вечерняя заря","",   0,"",   0,"*luŋur",2259,"*nò'ɨ̀r", 998,"*núN- / *núiN- / *núaN-",1568,"An Eastern isogloss."
1231,"*lŭ̀rkV ( ~ *ĺ-, -i̯u-,-i̯o-,-o-)",   0,"to burn; warm","гореть, пылать; теплый","",   0,"",   0,"*lurgi-", 211,"*nòk- / *nuk-", 467,"*nùkù-",  86,"Martin 245, АПиПЯЯ 278. An Eastern isogloss. Korean has a secondary verbal low tone."
1232,"*ĺū̀ńi ( ~ -e)", 544,"snow","снег","",   0,"",   0,"*lūńe", 399,"*nūn", 215,"",   0,"EAS 77, SKE 173, ОСНЯ 3, 34-35, Menges 1984, 281,  АПиПЯЯ 19. A Tung.-Kor. isogloss. Depalatalization in Kor. is probably assimilative (*nūń > *nūn)."
1233,"*l[ù]k`V̀ ( ~ -k-)", 364,"lynx, wild cat","рысь, дикая кошка","",   0,"*nogu-ɣal", 690,"*luKV", 290,"*nɨk-", 779,"*niàkua ( ~ *nàikua)", 669,"The Jpn. vocalism is aberrant; the diphthong may require a reconstruction like *lòjk`V. Cf. also notes to \U*luko\u."
1234,"*ma",1435,"a negative particle","отрицательная частица","*-ma-",  61,"",   0,"*-me", 245,"*mō-t", 629,"*-ma-", 164,"ОСНЯ 2, 57. A monosyllabic root, but, unlike the 1st p. pron. or the accusative particle, it did not undergo denasalization in PA. This may be explained by the fact that it was in most cases already incorporated into the verbal form as a suffix. It is interesting to note Mong. *büi, \I*bu\i 'neg. particle' - which may be originally the same morpheme, but functioning as a separate word and thus subject to the rule *mV > *bV."
1235,"*máč`à",   0,"to fast, hunger","поститься, голодать","*bAča-",1605,"*mačag",1671,"*maču-",1866,"",   0,"*mátúr-",1346,"Mong. mačag cannot be < Turk., despite EDT 293, Clark 1980, 43; it is also difficult to suppose Man. mačixi (especially the verb maču-) < Mong. mačag. The root thus seems to be reconstructable for PA, with the meaning approx. "to fast, hunger with religious purposes"."
1236,"*máč`V̀",   0,"target","цель, мишень","",   0,"",   0,"",   0,"*màč-", 611,"*mátua", 550,"Martin 229; it is not quite clear whether PJ \I*mat-\i 'wait' belongs here as well (or rather to *mude 'finally' q.v.). A Kor.-Jpn. isogloss; cf. perhaps Mong. *möči 'edge' (if not = *möči 'limb')."
1237,"*maja", 641,"to miss, fail, bad luck","не удаваться, неудача","*bAńɨ-",1344,"*maɣu", 608,"*maja-",1534,"",   0,"",   0,"A Western isogloss. ОСНЯ 3, 50-51; Дыбо 13. PT *bańɨ- regularly < *majɨ- (with nasalization not lost completely, but shifted to the *-j-)."
1238,"*maji", 639,"protecting spirit","дух-покровитель","*baj ( ~ -ń)", 651,"",   0,"*maji-n",1172,"",   0,"*mi", 909,"ОСНЯ 3, 51. An interesting common Altaic religious term (although within Turkic it is rather hard to distinguish from *bāj 'rich' < *bēǯu  q.v.)."
1239,"*màjŋì", 101,"temple, forehead, ear","висок, лоб, ухо","*bejŋi",1207,"*maŋlai",1174,"",   0,"",   0,"*mìmì",  18,"Лексика 195-196."
1240,"*májŋV", 517,"go-between","посредник, сват","",   0,"",   0,"*maŋa",1180,"*mjə̀nɨ́rí", 892,"*mániák-", 916,"An Eastern isogloss."
1241,"*mak`é",   0,"to be deceived, perplexed","быть растерянным, обманутым","",   0,"*mek(e)-", 601,"*maka-", 739,"*mə̀k-", 621,"*mənka-r-", 559,"Cf. \U*mék`a\u."
1242,"*mi̯ák`ù",1035,"neck","шея","*bAkan",1958,"",   0,"*muKa",1649,"*mòk", 985,"*múk-",1209,"SKE 150, Martin 233."
1243,"*máĺe",1450,"wild cat","дикий кот","*bɨńĺ(ɨk)",1042,"*malur", 988,"*mala-",1188,"",   0,"*músásà(m)pì", 922,"In Jpn. -u- is irregular (*-ə- would be expected); this is probably a distortion in a long word. Turkic, as in a number of other cases, preserves here some traces of nasalization."
1244,"*màli", 283,"stick, cudgel","палка, дубина","*baltu",1476,"*milaɣa", 439,"*mala", 561,"*már", 415,"",   0,"Cf. also modern Kor. moru 'anvil', moru-čhä 'hammer' (although the vocalism is not quite clear < *maru?). Turk. *baltu 'axe' > Mong. balta (whence Evk. balta etc.), see Doerfer 1, 199, Щербак 1997, 104. Both Iranian and Akkadian origins of Turk. *baltu (see Poppe 1953, Menges 1953) seem improbable and its Altaic origin quite possible."
1245,"*màlt`e",1447,"to bend, twist","гнуть, изгибать","",   0,"*möltür- / *multur-", 977,"*maltu-",1175,"",   0,"*mə̀ntì-", 912,"A derivative *màlt`e-rV is reflected in PM *möltü-r- / *multu-r- and PJ *mə̀ntì-r-."
1246,"*mált`u",   0,"to dig, bury","копать, хоронить","*baĺtar (?)",1288,"*malta-", 470,"*malta-", 595,"*mùt-", 459,"*úntú-m- ( < *múntú-m-)", 439,"Poppe 1966, 196, Doerfer MT 61, Rozycki 155 regard the TM form as borrowed from Mong., which is not excluded (although dubious). The Karakh. word may belong here if its original meaning was 'digging instrument' ( > 'cutting instrument' > 'sickle'), but on the whole it is rather dubious, because of the unique cluster -št- (violating Helimski's rule). The Jpn. form reflects a frequent confusion between *mV- and *V- in front of the following nasal. {AD: from Turkic rather *mal- 'immerse'}"
1247,"*màlù",   0,"room","комната","",   0,"",   0,"*malu",1867,"*maru",1004,"*mùruà",1249,"An Eastern isogloss. See SKE 139 (Kor.-Tung.), Martin 232 (Jpn.-Kor.)."
1248,"*male", 384,"honey, plant oil","мед, растительное масло","*bạl",1813,"*milaɣa-",2109,"*mala",2144,"",   0,"",   0,"A Western isogloss; but cf. perhaps moro- in Jpn. moro-mi 'undistilled sake, soy sauce', moro-haku 'distilled sake'."
1249,"*mana",  24,"many, big","много, большой","*bạnɨ- ~ *bonɨ-",1037,"*mandu- / *mantu-", 978,"*mani",1176,"*mān(h)-",  52,"*manai-",  47,"Ozawa 27-28 (Jap-Mong.); МССНЯ 348, Martin 249, АПиПЯЯ 26, 276."
1250,"*mána (~-o)", 132,"to learn, try","учиться, стараться","",   0,"",   0,"*man-dū-",1196,"",   0,"*máná(m)p-", 926,"A Tung.-Jpn. isogloss. Not quite reliable, since the Jpn. word is usually derived < *mána- 'imitating, similarity' (v. sub *méŋa); but a confusion of two originally different root was possible in Japanese."
1251,"*mànč`u ( ~ -i̯a-)",   0,"swaddling-clothes","пеленки","",   0,"*mančuj",1830,"",   0,"",   0,"*mùtù-kí",1452,"A Mong.-Jpn. isogloss. It is interesting to note PT *beĺčük 'cradle' - perhaps < *benčük, under the influence of *bele- 'to swaddle'."
1252,"*mā́ńa", 789,"paw, hand","лапа, кисть руки","*bĀń-",1038,"",   0,"*mańa",1177,"",   0,"",   0,"A Turk.-Tung. isogloss; cf. perhaps also Mong. (dalnɨ) majā 'шейка лопатки'."
1253,"*măndo",1934,"a k. of elk","вид лося","*botu",1744,"*manǯi",1824,"*manda-ksa",2039,"",   0,"",   0,"A Western isogloss."
1254,"*mańu(k`V)", 706,"a k. of fish","вид рыбы","*bańak-", 429,"*munig", 341,"*māńgu / *mańma", 458,"*mə̀ĳùkí", 289,"*mùná(n)kí", 331,"Cf. also Kalm. manǯə(g) zaɣəsn 'Plötze; Kaulbarsch' (KW 255, 256); WMong. montuwqai, Khalkha montōxoi 'a k. of fish', maj 'herring'. Like in many other fish names, there are phonetic problems, probably due to interdialectal borrowing."
1255,"*maŋi ( ~ *meŋa)",2032,"joy","радость","*beŋi",1843,"*maɣa-",1925,"",   0,"",   0,"",   0,"A Turk.-Mong. isogloss."
1256,"*maŋga (~-o)",  25,"big, strong","большой, сильный","",   0,"",   0,"*maŋga", 228,"",   0,"*manki-", 151,"АПиПЯЯ 113, 280. A Tung.-Jpn. isogloss (within Jpn. preserved only in the Ryukyu dialects, where it is the basic word for 'big'). Cf. perhaps Khak., Oyr. maŋ 'success, luck' (if not < OUygh. (Suv.) maŋal < Sanskr. maŋgala). In TM a possible derivative is *maŋ(g)ī 'giant; evil spirit' (ТМС 1, 530) - which brings us to Mong. maŋgus id. (which, despite Doerfer MT 39, can hardly be the source of Tungus words)."
1257,"*mála",   0,"far, rare","далекий, редкий","",   0,"",   0,"*mali-",2425,"*mə̄r-", 104,"*márá", 620,"Whitman  1985, 128, 192, 238. An Eastern isogloss."
1258,"*màra (~-ŕ-)", 707,"to refuse, quarrel","отказываться, ссориться","",   0,"*margu-", 679,"*mari-", 836,"*mār-", 760,"*màtuàp-", 663,"SKE 138-139, PKE 103, Menges 1984, 277. Despite Doerfer MT 144, hardly borrowed in TM < Mong. In Turk. the root has probably merged with *boŕ- / *buŕ- 'damage, oppress' (cf. also *burul- ~ *borul- 'to be angry', ЭСТЯ 2, 269). The Korean form may be alternatively compared with Mong. melǯe- 'to refuse, refrain'."
1259,"*máro (~-ŕ-)",   0,"to roll, bend","вертеть, гнуть","",   0,"*marĳa-, mirĳa-",1594,"*mari-", 837,"*mằr-", 761,"*mát(u)áp-", 664,"The Mong. form is somewhat dubious semantically ('creep up' < 'coil up'?); otherwise the root seems quite reliable."
1260,"*maru ( ~ -ŕ-)",1052,"heap, crowd, many","толпа, куча, множество","",   0,"",   0,"*mar(b)u", 217,"*muri, *múr", 132,"*mə́rə́, *múrá", 111,"Martin 229, Whitman 1985, 127, 194, 239, SKE 153, АПиПЯЯ 279. An Eastern isogloss. In MKor. cf. also mɨrɨs 'all, in general'. In Jpn. low tone would be expected; high tone here was probably induced by the similar *mə́r- 'to heap up' (see under *mi̯alo), which also influenced the vowel in *mə́rə́."
1261,"*mása", 958,"more, stronger","больше, сильнее","*bAsa",1039,"*masi", 980,"*masi",1179,"",   0,"*más-", 915,"EAS 79, KW 257. TM may be borrowed from Mong. (see Doerfer MT 144)."
1262,"*mi̯ā̀sò",1440,"a cutting or grinding tool","орудие для резания или перетирания","",   0,"*mese", 449,"*mōsa",2431,"",   0,"*màsà-",1644,"Cf. also Orok masāri `axe' (probably < Jpn.)."
1263,"*ma[k`]o",   0,"to wind, twist, bend","вить, крутить, гнуть","",   0,"*makĳi-", 976,"*makti-",1174,"*mằi-",1030,"",   0,"Cf. \U*múk`e.\u Loss of *-k`- in Kor. is unclear."
