NUMBER|PROTO|PRNUM|MEANING|RUSMEAN|EVK|EVN|NEG|SIB|MAN|CHU|ULC|ORK|NAN|ORC|UDE|SOL|REFERENCE
1085|*ul-|2771|to sew|шить|ullī-||uli-|ifi- (271)|ufi-, ifi-||urpi-|ulpi-|ulpi-|ippi-, uppi-|ulihi-|uldi-|ТМС 1, 322, 2, 261-262.
1086|*xir-|1061|1 wild deer 2 to rub horns 3 *'newborn animal' > 'new'|1 дикий олень 2 тереться рогами 3 *'новорожденное животное' > 'новый'|irki, irē 1, irkekīn (dial.) 3|irče-, irkъ- 2|ĳun 1, iskekin 3|ičē 'new' (2544)|iren 1, iče 3|hi(i̯)če (85) 3|suru(n) 1, sičeu(n) 3|sitče- 2, sitče- 3|sirũ 1, śiku(n) 3|ĳu 1, ikken 3|||ТМС 1, 327, 328. Evk. sirū and Neg. xịra (ТМС 2, 96) must be loanwords from Southern TM, where *x- > x- and s-; in any case, these forms have nothing to do with Turk. *sɨgɨr 'cow' (see s.v. *si̯ŭku), despite Sinor 1962, 320.
1087|*irki|607|gums (of teeth)|десны|||irxi||||irxi(n)|irki|ilxĩ|ixi|||ТМС 1, 327.
1088|*īrme-|688|to ask|просить||īrmu-|||||iremesi-|ireme-|ireme- (On.)||||ТМС 1, 328.
1089|*ire(n)te-|689|to be ashamed|стыдиться||||irətə- 'to be bashful, to feel shy' (1969)|jerte-||||irente-||||ТМС 1, 329.
1090|*kibē|793|birch bark|береста|kiwe, kiwē, kīwe|kīwe|||||||||||ТМС 1, 390. Cf. also Nan. dial. koerẽ 'ash tree' (ТМС 1, 420).
1091|*xisi-|1062|1 larch 2 cypress|1 лиственница 2 кипарис|ismama 1|ịsъ̣ɣ 'forest'|ịs, ịsma 1||isi 1|hisi (105) 2|sisi 1|sịsị 1|sịsị 1|isi 1|ihi 1||ТМС 1, 331.
1092|*xüse-|1095|to vomit|тошнить, рвать|ise-|\Iis-\i|ise-||||xuse-|xuse-|xuse-|ise-||iš́irī-|ТМС 1, 332.
1093|*itiknĳa|616|1 owl 2 crane|1 сова 2 журавль|itiknĳa 1|ịtịqńa 1|ịtịŋna 1||||||jatɛ̄nia 2||||ТМС 1, 333.
1094|*xǖnčē-n|1103|elbow|локоть|īčēn|iečen|īčēn||||unče(n)|ūite|xujčẽ|īčo(n)||īnčē̃|ТМС 1, 336. TM > Dag. inčēn, jinčēn, īčēn (Тод. Даг. 146). Loss of *x- in Ul. and Orok is not quite clear: perhaps borrowing from some archaic South. Tung. dialect (before the change *ǖ > ī).
1095|*iaKu|620|1 swamp, ditch 2 brook|1 болото, лужа, канава 2 ручей|jaku 1, jakta 2|||johərən, johurun 1 (2084)|jōꭓon 1||||jaqčịra 2||jakpa` 2 (Корм. 240)||ТМС 1, 339.
1096|*iapu-|624|to break, spoil, broken|ломать, портить, сломанный|ē̂p- (Sym.)||jewus||||jepu-||jepu-||||ТМС 1, 291, 352.
1097|*ńiabe-|638|to strew, pour|рассыпать||ńū-|||||jeweri-|jeweri-|jeweri-||||ТМС 1, 352, 644.
1098|*xegün|995|nine|девять|jeɣin|ujun|ĳeɣin|uin, ujun (2743)|ujun||xuju(n)|xuju(n)|xujũ|xuju(n)|jeji|jegĩ|ТМС 1, 352-353.
1099|*pete-n|1758|fate|судьба|||||feten||||||||ТМС 2, 305. Attested only in Manchu, with possible external parallels.
1100|*kende|760|shoulderblade|лопатка|kendekē|kēndъt|kendexe|||||kende|||||ТМС 1, 448.
1101|*kadara-ku|697|courageous, diligent|смелый, храбрый, старательный|||||qadaraqu||qāda-|qadaraqu|qadaraqo||||ТМС 1, 360.
1102|*kaKi|706|1 angry 2 hasty|1 сердитый 2 торопливый|kaki 1||||ꭓaxi 2||||||||ТМС 1, 363.
1103|*xaK-|960|1 to cut off 2 to tear off, separate|1 подрезать, перерезать 2 отделять, отрывать|||akị- / kakị- 1||||ꭓaqpa-lụ- 2|ꭓaqpa- 2|ꭓāGa- 1, ꭓaqpā- 2||akpinda- 1, kakpaligi- 2||ТМС 1, 25, 363. {Cf. also the root for "beak" in South. TM < *xaKu(-ban)}.
1104|*kabri-kī|690|sledge pole|остол (палка для торможения нарт)|kawrikī||kawrịxị̄||||qaụrị|qawrē|kaorị̄|\Ikauri\i|||ТМС 1, 358.
1105|*kala-n|709|1 kettle 2 bag|1 котел 2 сума|kalan 1|qalā-was 2|||||qala(n) 1||qalã 1||kala(n) 1||ТМС 1, 364-365. Cf. also *kalbi- 'flat, broad' (ТМС 1, 365; hardly < Mong., despite Doerfer MT 51, 69 - although some forms, notably Evk. kalbaɣa 'spoon', Man. ꭓalbaꭓa 'crooked part of a flat spoon', are probably borrowed, see Rozycki 100).
1106|*kalma-gda|711|rich bride|богатая невеста (за которую брали большой калым)|||kalmagda||||qalmaǯa|||kamaǯa|||ТМС 1, 367.
1107|*xum-|1163|1 to soak 2 to besmear (face)|1 мочить 2 пачкать (лицо)|umī- 1|umi- 1|||ꭓumara- 2||||||||ТМС 1, 477, 2, 267.
1108|*gemu|506|a utensil for cleaning river bottom|снаряд для очистки дна реки|||||||||gemu 'a long cord with attached stones and hooks for cleaning river bottom', gemude- (v.)||||ТМС 1, 179. Attested only in Nanai, but having possible external parallels.
1109|*kōmba|915|scoop, ladle|ковш, черпак|kōmba|kȫmeŋe|kombo||||qombo|qombo|qombo||||ТМС 1, 408, 420.
1110|*komta-n|876|cover, box|крышка, коробка|||komtaxan||||qōmta(n)||qomtã|kumta(n)|||ТМС 1, 409.
1111|*kamiču|719|box, bag (made of birch-bark)|чуман, берестяной короб|kamit||||||qamčụ|||kamiči|kamisi||ТМС 1, 370.
1112|*kamnu- / *kamdu-|716|fish glue|рыбий клей|kamnun|kanmo|kamnun||amdun||qamdu(n)|qamdụ(n)|qamdõ|kamnu|kamnu||ТМС 1, 370.
1113|*kamur-|714|together, gather|вместе, собирать|||||||qamụr|qamụr|qamor||||ТМС 1, 371. Modern forms like Evk. kamu- 'to gather' may be considered borrowed < Mong. (see Doerfer MT 111), but it is hardly possible for all forms, especially for those with an -r-suffix.
1114|*xāri-|990|border, hem|кайма, обшивка|||||||ꭓārịča||ꭓāri-, ꭓāriča||||ТМС 1, 371.
1115|*kānta-|747|to attain, reach (by hand)|доставать, дотягиваться|||||||qanta-||qāndačị-, (On.) qāntačị-||||ТМС 1, 373.
1116|*kāŋgu|721|a k. of duck|вид утки|kan-dirā, dial. koŋor|qōŋāl|kaŋgụ, kōŋalān, koŋodō||ꭓoŋGo(lo)n||qaŋGụlị|qoŋGolo|qāŋGọ||kaŋgu (Корм. 245)||ТМС 1, 373-374, 410. Because of recurring long vowel in Evn., Neg. and Nan. shortness in dialectal Evk. forms should be probably regarded as secondary (misrecorded length?).
1117|*kap-|725|1 together 2 to press, squeeze together 3 couple 4 gripe 5 trap|1 вместе 2 давить, прижимать 3 пара 4 тиски, зажим 5 капкан|kapkal- 2||kap 1, kapel 5|havirəhun, h́avirəhun (2619) 'narrow, tight'|qab(a) 3, ꭓafira- 2, ꭓafiraqu 4||qap 1, qapụra- 2, qapụraqụ 4, qapalị 5|qap 1, qapịra 4|qap 1, qapịra- 2, qapịraqo 4, qapalị 5|kapali 1|käfi- 2 (Корм. 247),  kab`au 3||ТМС 1, 376, 378-379.
1118|*kup-|949|1 to cover 2 cloth 3 sheath, boxing 4 sack 5 knee covers 6 hat 7 cover (n.) 8 wadded coat|1 покрывать 2 одежда 3 футляр 4 мешок 5 наколенники 6 шапка 7 покрышка 8 ватный кафтан|kuptu-, kupu- 1, kupu 7, kupō 5, kupe 2|kupke 4, kubi 5, qụptụ 6, köbǯe 2|kuptin- 1, koptịn 7||xubtu 8||kup 1 (expr. adv.)|qụptụ- 1, qōpomị 2|koptȫ 3||||ТМС 1, 434, 476. Evk. kupe > Dolg. kopō, see Stachowski 153. Manchu xubtu has variants xukdu, xuktu ( > Nan. xuktu, Neg. xuktu etc.) - which is probably a secondary merger with a Mong. loanword (Mong. kügdü, v. sub *kugi).
1119|*kab-|724|1 to break, destroy, press 2 to squeeze, knead|1 ломать, разрушать, давить 2 мять||qawъ̣q-, qawъ̣l- 1|kawjụ- 2||||||||||ТМС 1, 357, 358. The root is expressive and has several variants: *kab- (see above); *kapu- reflected in Man. qafur 'crackling', Nan. qapo-qapo id., Ul. qapụ(r) id., Orok qapụli- 'to break', Evn. qabъr-, Evk. kapu- id. (see ТМС 1, 377-378); *kupu- in Manchu kufujen 'fragile'.
1120|*kara-|727|1 to guard, protect 2 to watch|1 беречь, защищать 2 наблюдать|karama-, karma- 1, kara-m-na- 'to envy'|qarɣụs-  1 (Arm.), qarqị- 'to wait'||qarmə- (797) 1|qarma- 1 (perhaps also ꭓarša-, ТМС 1, 380)||qarGa-čụ- 2|qarGa- 2|qarGa-čị- 2||||ТМС 1, 381-382. The Evk. form kar(a)ma- is cited from Lee 1958 (quoting Shirokogoroff 1944 which was unavailable to us).
1121|*kiaba-|825|pale|бледный|kē̂wama|kē̂makụ|kē̂m-dị, kē̂r||||qē̂m-ǯị|qêmo-tto-|qịa-gǯa, qịa-m|kǟm|keäl-keäl||ТМС 1, 386.
1122|*kiab-|834|sea gull|морская чайка|||||||qē̂wara|qē̂wu|||||ТМС 1, 386.
1123|*xelde-gde ( -gǯe)|804|a k. of fox|лиса-крестовка|||xeldegde ( < South. Tung.)||||xeldegǯie(n)|xeldegde, xeldekte|xeldegǯẽ||||ТМС 1, 481.
1124|*kidu-|856|1 to respect 2 to think, remember|1 уважать, почитать 2 думать, вспоминать||||kidu- 'to have affection for' (1870)|kidu- 2||||kidu- 1||||ТМС 1, 391. Cf. also Man. kedere- 'to guard' (1, 443) > Dag. kedereg 'police' (Тод. Даг. 148).
1125|*kim-|797|1 to prepare, arrange 2 to check, investigate, to concentrate on|1 готовиться, собираться 2 исследовать, проверять||qịm- 1||kiməči- (1852) 2|kimči- 2||||||||ТМС 1, 394.
1126|*kitiri|855|a k. of fox|лиса-крестовка|||kịtịjị|||||kitčiri|kičiri (On.)|kiti|||ТМС 1, 400.
1127|*komba-|875|wrist, hand, spoke-bone|запястье, кисть, плюсна|||komboxị̄|||||qomụ̄|qombịo||komugu (Корм. 249)||ТМС 1, 408.
1128|*kor-, *kormaki|889|1 sheath 2 dish made of birch bark|1 ножны 2 берестяная посуда|kor 2||||ꭓomꭓon 1||qōmaị 1|qolmoj 1|qormị̄ 1|kommoi 1|komigi 1||ТМС 1, 409, 414. Despite Doerfer MT 239, Evk. kor is hardly < Mong. (because of a significant semantic difference).
1129|*kōta|857|1 debt 2 miserly, greedy|1 долг 2 скупой, жадный|kōta 1|qōt 1|||||qota 2|qụta 2|qota 2||||ТМС 1, 417, 439.
1130|*koša|891|river bend, cape, angle|излучина реки, мыс, угол|kočo|qoč|kočo||ꭓošo||ꭓočụ|||kočīmdi 'curved'|koso(n)||ТМС 1, 419. A complicated case: Manchu has also qočo (borrowed from some Amur language?).
1131|*kude|818|1 stern 2 steering oar|1 задняя часть судна, корма 2 рулевое весло|||||xude 1, 2||||kude 2||kude 'носовая переборка бата (большой долбленой лодки)' (Корм. 252)||ТМС 1, 424.
1132|*kudē|844|1 shore, land 2 to land|1 суша, берег 2 причаливать|kudē 1||||kude- 2||||||||ТМС 1, 424.
1133|*kuje|810|whirlwind, snow storm|метель, пурга|||kuje|||||||kue, kuwe|kue (Корм. 253)||ТМС 1, 425.
1134|*kuk-pun|866|rubbish, dirt|мусор, грязь|||||xukun||kukpu(n)||kukpũ||||ТМС 1, 426.
1135|*kūkta|1128|rowlock|уключина|kūkta|kukte|||||||||||ТМС 1, 426.
1136|*disu-|385|to guard, preserve|защищать|disut-|disut-|disut-||||||ǯīsun-||||ТМС 1, 208.
1137|*kul-|870|1 to be frightened 2 stupid 3 stiff, silent, sullen|1 цепенеть (от страха) 2 глупый, несмышленый 3 вялый, угрюмый, оцепеневший|kululi 3|qụldam- 2, qụlụńa 3|kolo-kolo 3||quli- 1||qol-qol 3||qol-qol 3||||ТМС 1, 428, 429.
1138|*kuma-lān|899|a small carpet (made of skins)|коврик (из шкур)|kumalān|qụ̄mnan|komalan|||||qụmala(n)||kumala|||ТМС 1, 430. Evk. > Dolg. kumalān (Stachowski 160).
1139|*kumpe(ke)|874|breast ornaments|нагрудные украшения|||kumpken||||kumpe(n)|||kumpe|||ТМС 1, 431.
1140|*kurgi-|808|to burn, catch fire|гореть, вспыхивать|kurgi-; {dial. korō-, korowkān- 'to burn down'}||kurgi-sin-||ꭓur-še-||kurǯi-|||||xudǯi-|ТМС 1, 435.
1141|*kušu|934|1 touchwood 2 dandruff, soot|1 гнилушка, труха 2 перхоть, ушная сера, сажа|kuču 1|kuč 1|kutin 1 [ = kučin]||ꭓosori, ꭓusuri 2||||kuči (On.) 'uneven surface of birch-bark'||||ТМС 1, 441, 479.
1142|*keber-|749|plain, steppe, meadow|равнина, степь, луг|kewer, kewe-kte|kēr-ke||||||||||xeber|ТМС 1, 443.
1143|*koja|809|secretion of a musk deer|струя кабарги|||||||qoja||qoja||||ТМС 1, 404.
1144|*kēńe-|786|1 be superstitious 2 to praise, flatter 3 to speak, tell 4 to curse, rebuke 5 to doubt, suspect|1 быть суеверным 2 хвалить 3 говорить, объяснять 4 ругать 5 сомневаться, подозревать|kēńe- 2|kēńew- 1|kēńe- 2||xendu- 3, kenexunǯe- 5|xen-du-ru (467) 3||\Iken-\i 3, kene- 2|||keni- 4|xēnī- 2|ТМС 1, 448, 449-450.
1145|*kende-|2778|1 threshold 2 to hinder, obstruct|1 порог 2 загораживать, отгораживать|||kende 1||||kenderxi(n) 1, kenǯi- 2||kenderxĩ 1, kēnǯi- 2|kenderku, kenderxi 1, kēndi- 2|kondopti 1 (Корм. 250)||ТМС 1, 448.
1146|*kēnde|785|harnessed deer|упряжной олень||kēnde|||x́anči-la- 'to gather in herds (of deer in summer)'||||||||ТМС 1, 448, 461.
1147|*ketem|779|barren (of a female deer)|бесплодная (о важенке оленя)|ketem|ketъm|ketem||||||||||ТМС 1, 456.
1148|*keŋ-tire|766|1 breast, chest 2 side (of body)|1 грудь 2 бок|keŋtire 1|kēntъre 1|||||||keŋtere 1||keŋte 2||ТМС 1, 451.
1149|*kiata|817|1 salmon 2 dead fish (after releasing roe) 3 to weaken|1 лосось 2 мертвая рыба (после икрометания) 3 слабеть|kē̂ta 1|qǟta 1|kē̂ta 1||ḱata 1, ḱatu- 3||kē̂ta 2|qē̂ta 2|qǟta- 3|kiata 2, kiata- 3|||ТМС 1, 389. TM > WMong. kete, Kalm. ketə (KW 228); Russ. \Iкета.\i
1150|*pasi-|1715|to hang|повисать, повесить|||||fasi-|||pasị-|pasị-|xasi-|||ТМС 1, 464.
1151|*pede|1734|swift, energetic|быстрый, энергичный|||xeden||||||pede|xidus (adv.)|||ТМС 1, 480.
1152|*KVlm-|1116|shadow|тень||||xeləmən (2047)|xelme||||||||ТМС 1, 481. Attested only in Manchu (thus the reconstruction is not quite secure), but having probable external parallels.
1153|*pati(ke)|1717|1 tail fin 2 fish tail|1 хвостовой плавник 2 хвост рыбы|||xepkī 2||fetxe 1, fetxeku 2||patị 2|pačị, pačịkke 1,2|pačị̄ 1, pačqị 2||||ТМС 1, 482; 2, 35.
1154|*labgān-, *lipa-|1210|1 to glue, stick 2 to smear, poach in mud|1 прилипать 2 мазать, вязнуть в грязи|labgān-, lamba- 1, lipa- 2|labgan-, nabgan- 1|labgān- 1||lifa- 2||lịpa- 2|lamba- 1|lịpa- 2||lagbamu- 1||ТМС 1, 484-485, 490, 498-499. PTM *labgān- is probably a contraction < *lipagān-.
1155|*labi-kta / *lebu-kte|1179|1 a k. of moss (cudbear) 2 lichen, moss 3 root of edible plant|1 ягель 2 лишайник 3 корень съедобного растения|lawikta 1, lewukte 2|nāwtъ̣ 1|lawụkta 1||||lepču(n) 3|lawịqta 1, lewikte 2||laukta 1|labuga 1, leukte 2||ТМС 1, 485, 514, 518. Evk. > Dolg. labɨkta, labukta (see Stachowski 172).
1156|*laka|1172|name of a fish, goby|назв. рыбы, бычок|laka||laxana||laqačan nisiꭓa, laqča nimaꭓa||laqa|lāqqa 'herring'|lāqa|laka|la`sā (Корм. 256)||ТМС 1, 487, 488.
1157|*laKa-|1170|1 elm 2 a k. of oak|1 вяз 2 вид низкорослого дуба|lakamawun 1||||laꭓari 2||||||||ТМС 1, 488.
1158|*lali-|1177|be hungry, weak, exasperated|быть голодным, слабым, изнемочь|||lal-||lala-|||lallụ-|lalị-|lali-|lali-||ТМС 1, 489.
1159|*lala|1176|1 gruel 2 (fish) slime|1 каша 2 слизь (на рыбе)|nilli, ńalliɣ, ńallikta 2||lala 1|lala 1 (357)|lala 1||lala 1|lala 1|lala 1|lala 1|lala 1||Cf. also Nan. lala- 'to be smeared in blood'. ТМС 1, 489, 593.
1160|*lāmu|1187|1 sea 2 wave|1 море 2 волна|lāmu 1|nām, lām 1|lām 1||namu 1||namụ 1|namụ 1, lamu 2|namụ, lamụ 1|nāmu 1|namu 1||ТМС 1, 490-491. Shortening in Nanai is not quite clear (for historical length cf. also Yak., Dolg. lāmɨ  < TM, see Stachowski 173).
1161|*lebē(n)-|1192|1 swamp, marsh 2 to poach (in a swamp)|1 болото, топь 2 вязнуть (в болоте)|lewē 1, lewē- 2|liwin 1|lewē 1, lewē- 2||lebeŋgi 1||liwe- 2|lemu(ne) 1, lemu-, liwe- 2|liwe- 2||||ТМС 1, 514.
1162|*lāpV-ki|1182|tiers, straps (for skis)|крепление, ремень (у лыж)|||||||lāxị|lāpụ|lāpị|lappi|||ТМС 1, 494.
1163|*lokta-|1228|to pass through, break through|проходить насквозь, протыкать насквозь|||loktol-||||luktu-lu-|lokto-|luktu-|lokto(n)-|lotogo-||ТМС 1, 502-503.
1164|*lōgdi, *luku(tu)|1221|thick, dense|густой, плотный|lōgdi, luku|nōɣ, nụqtị|logdị, loxo|lukə (2078)|loqdi, luqdu, luku||loGdo, lugdi, loko|lugǯi, lukku|loGdị, lugǯi|loko, luku|logbo-logbo, luktu||ТМС 1, 501, 508, 509, 609.
1165|*luŋu|1227|drill|сверло|||loŋo||||lūŋu||luŋu|loŋo, luŋu|loŋo||ТМС 1, 504.
1166|*luK-|1216|1 to sew in (ornaments) 2 to prick|1 вшивать (полоски меха для украшения) 2 вкалывать, вонзать|luktu- 1||||nuqa- 2||||||||ТМС 1, 508, 608.
1167|*luksi|1223|traces, central belt in a yoke-team|постромка, потяг (центральный ремень в оленьей упряжке)|lukšipka||nusku, nuksi||||nusku|nusku|luksur|nuksu|nuki||ТМС 1, 509.
1168|*lālbi-kta / *lelu-kte|1191|moss, lichen|мох, лишайник|lālbikta, lelukte, ńalbakta||lēlixe||||lelikte|||nāpka, nabuxa|||ТМС 1, 489, 516.
1169|*luK-|1217|to take off (clothes)|снимать (одежду)|luk-, lukti-|nụq-|lok-||||||||lukta-|loko-|ТМС 1, 507.
1170|*lup-|1220|1 to prick 2 to pierce, pass through|1 колоть 2 протыкать, проникать, проходить через|lupa- 1, lupū- 2|nụbas an- 1|lepu- 2||||loqpa- 1|lụqqa- 1|lopqa-, loqpa- 1||||ТМС 1, 511, 512.
1171|*majā|1265|1 food rests 2 food store|1 остатки пищи 2 запас продовольствия, припасы|majā 1|māja 2|||||||||||ТМС 1, 521.
1172|*maji-n|1238|protecting spirit|дух-покровитель|majin|majịs|majịn||||||majin||||ТМС 1, 521.
1173|*meKile|1273|fat under bird's skin|жир (птичий подкожный)|||mexile||||||||||ТМС 1, 565. Attested only in Neg., but having probable external parallels.
1174|*makti-|1263|1 to wind (ropes) 2 to wrap up (cloth) 3 to bend, wrap|1 вить (веревки) 2 закручивать (платье), подбирать края внутрь 3 сгибать, загибать|||makčị-nda- 1||mači- 2||maqtị-la- 1, moqpụlị- 3|mụqpụri- 3|maꭓčị-ra- 1|makči-nda- 1|maktigi 'a device for winding ropes'||ТМС 1, 523, 544.
1175|*maltu-|1245|to bend|сгибать, складывать|maltu-|maltъ̣-|maltị-|||||māltịma 'folding knife'||||malta-|ТМС 1, 524-525.
1176|*mani|1249|crowd, flock, herd|толпа, стая|\Iman\i||\Iman\i||||mandụ|mandị|mandụ|mańi|mani||ТМС 1, 526.
1177|*mańa|1252|paw (of an animal)|лапа|mana, mańa|māna|mańa||||mańa, maị̄||māja|māńaka|mana||ТМС 1, 526. Length in Nan. is not quite clear (perhaps compensatory < *majā < *mańaka).
1178|*mana-|1267|to be spent, exhausted, worn out|израсходовать(ся), истощить(ся), износить(ся)|mana-|\Iman-\i|mana-|manə- (276)|mana-|man-na-lar (839)|mana-|mana-|mana-|mana-|||ТМС 1, 526-527. Cf. also a variant *mene 'few; in vain' (ТМС 1, 569).
1179|*masi|1261|hard, strong, strongly|крепкий, сильный, сильно|||masị||masi-la- 'become stronger'||masị|masị|masị|masị|mahi||ТМС 1, 528.
1180|*maŋa|1240|go-between, matchmaker|посредник, сват|maŋa|maŋnaǯ|maŋga-n||||maŋGa|maŋGa||maŋa|maŋa||ТМС 1, 530.
1181|*mul-|1363|1 deer 2 young of elk, small deer 3 deer herd|1 олень 2 детеныш лося, маленький олень 3 стадо оленей|mulkān 1; dial. mêlêlê, Nep. mē̂lan 2; multa 3|mụlqan 1|molkān 1||||||||||ТМС 1, 534, 555.
1182|*miata|1307|skin from animal's head|шкура с головы животного|mē̂ta|mǟt|mē̂ta||||mē̂ta|mē̂ta|mịata|miata|mäta (Корм. 260)|ḿē̂ta 'face'|ТМС 1, 535.
1183|*miŋnī- ( ~ -ü-)|1327|to nag (of joints, heart)|ныть (о суставах, сердце)|miŋnī-||||||||||||ТМС 1, 537. Attested only in Evk., but having probable external parallels.
1184|*miaxu-|1301|to bow, kneel|кланяться, становиться на колени|||mixeret-|jaqurə-, jaquru- (1447)|ńaqura-|mia-ku-ru- (466)|ḿêxoron-|mē̂ꭓoran-|mịꭓoran-, mịaqora-|mäxurava-|mäula-||ТМС 1, 536. Cf. also *mekč- 'hump' (ТМС 1, 565-566).
1185|*m[i]rV|1382|1 arrow 2 cross-bow|1 стрела 2 самострел||mīr 1|||||||moralị 2||||ТМС 1, 537.
1186|*mita-|1306|1 to bend over 2 to go back|1 перегибаться, разгибаться 2 отскакивать обратно|||||mita- 1|mi-ta-buje- 2 (539)|||||||ТМС 1, 539.
1187|*mōgdi|1373|instrument for obtaining fire|огниво|mōgdi|mōdgị|mōgdị||||||moduli|mōdi|||ТМС 1, 541-542.
1188|*mala-|1243|wild cat; steppe hare|дикая степная кошка; степной заяц|||||malaxi||||||||ТМС 1, 523. Novikova (Новикова 1972, 122) quotes Mong. maluqai (from "Пятиязычный словарь", Пекин 1957, III, 4919) as the source of the Manchu word.
1189|*mō[nǯ]ika|1334|bear eating ants|медведь-муравьед|mōdikā||monoqo||moǯix́an, močinǯi||monoko(n)||monoqo 'Tibetan bear' (On.)||||ТМС 1, 542.
1190|*mux-|1338|1 to fart 2 bad smell|1 портить воздух 2 вонь|mukē- 1, mukēn 2|mukē- 2|muke- 1||||||moxan mońi  'elder' (Bik.) ("stinking tree", cf. Mong. ömgĳ xovol) (Сем 143)|moki 2|muakta- 1||ТМС 1, 552.
1191|*moKo(lV)-|1299|1 bat 2 chipmunk|1 летучая мышь 2 бурундук|mokoločī 1|mokotoj 2|||||||||||ТМС 1, 544.
1192|*moŋla|1368|1 measure of length (distance between the thumb and the index finger) 2 finger|1 мера длины (расстояние между большим и указательным пальцем) 2 палец|||||||mowgolo 2|momgụ, moŋbo 1,2||moŋlo 1|||ТМС 1, 545. The Orok and Ul. form are probably dissimilative developments of *moŋglo < *moŋla.
1193|*ŋūjelse|1545|1 hair under the neck 2 tie, scarf|1 волосы под шеей 2 шарф, шейный платок|mujālle, mūjēlle 1|ŋöjelrъ ~ möjelrъ 1, ŋȫjeke 2||||||ŋīwelte 1|||||ТМС 1, 551, 665.
1194|*mula-|1310|to pity|жалеть|mulān-|mụlān-|molān-||||munalsị-|mụnālị-|monịalsị-|muńalisi-|muńali-|mụlān-|ТМС 1, 554.
1195|*mul-|1343|1 to swallow 2 jaw|1 глотать 2 челюсть|||||muĺa- 1, muĺan 2||||||||ТМС 1, 554.
1196|*man-dū-|1250|to try, strive|стараться, стремиться|mandūw-|manru-||||||mandụ-|||||ТМС 1, 528.
1197|*mundu-kān|1313|hare|заяц|mundukān|mụnrụqan|monoxān||||||||||ТМС 1,  556.
1198|*muŋsi|1316|1 red (as blood) 2 clot of blood|1 красный (как кровь) 2 сгусток крови|munŋi 1|munsъ 2|||||||||||ТМС 1, 556.
1199|*mebu-|1269|to shamanize, dance|камлать, танцевать|||||||mewu-|mewu-|meu-|mewu-|meu- (Корм. 264)||ТМС 1, 562.
1200|*megdī / *mugdī|1358|steep bank|берег (террасовый, крутой)|megdīn|meɣdin|megdin||mudun||megdi(n)|megǯi(n)|megǯĩ (dial. mudũ 'meadow', possibly < Manchu)|megdi(n)|mogʒo` (Корм. 260)||ТМС 1, 550, 563.
1201|*meK-|1272|to be beaten|быть избитым, поколоченным|||||mekere-||||||||ТМС 1,  566.
1202|*melbi-|1275|1 to row 2 oar|1 грести 2 весло|melbike 2||melbixen 2||melbi- 1, melbiku 2||melbi- 1, melbike(n) 2|melbi 2|melbi- 1, melbiẽ 2|mebbu(ku) 2|megbu, mebu 2||ТМС 1, 566.
1203|*meli-|1274|1 neck joint 2 back part of neck 3 sinciput 4 fish skeleton 5 skeleton|1 шейный позвонок 2 задняя часть шеи 3 темя 4 рыбий костяк 5 скелет||melimki 1|īxej-melin 5||||mugǯe 3|melimu 2|mulgikte 4|muggikta 5|||ТМС 1, 302, 549, 550, 567.
1204|*moŋ-nV- (*mon-ŋV-)|1366|1 stupid 2 inconvenient|1 глупый 2 неудобный|moŋnon 1||||||monị 2||monịã 2||||ТМС 1, 544, 545.
1205|*mian-|1308|to be confused, wonder|тревожиться, растеряться, удивляться|mēmbe-|mǟn-|||||mē̂n-||mịan-|mǟn-|||ТМС 1, 567.
1206|*lakti- / *legdi-|1169|1 to be burnt (of food) 2 soot|1 пригореть (о пище) 2 сажа, нагар|nakti-mu-, negdi- 1||naktị 2||||||||lakti- 1||ТМС 1, 576.
1207|*niama|1466|1 lowland 2 low 3 overfall 4 shallow place, isthmus|1 равнина 2 низкий 3 быстрина 4 отмель, перешеек|namŋa 1, nemkēn 2, ńami 3||||ńamašan 4||||||||ТМС 1, 582, 621, 631.
1208|*ńaŋa|1407|quiet, slow, easy|тихий, неторопливый, спокойный||ńāŋa|ńāŋakkān||||ńan-ǯa|nandị||||nandaxānǯ|ТМС 1, 583. TM > Dag. nandākan 'quietly' (Тод. Даг. 156).
1209|*nasa-|1410|to regret, grieve|скорбеть, горевать|||||nasa-||||||||ТМС 1, 586. Attested only in Manchu, with a possible parallel in Jpn.
1210|*nāŋsa|1530|debt|долг||nān|nāŋna|nasəhun 'opportunity, chance' (2652)|nasꭓun 'favourable occasion'||naŋda|naŋda|naŋda|naŋna|naŋda||ТМС 1, 582-583, 586. Man. > Dag. nasgun (Тод. Даг. 156).
1211|*nurga|1463|fist|кулак|dial. nụrka||nojga, nelga|nuǯan (79)|nuǯan||ńụGǯa|||nugga||norɣa, nuruga|ТМС 1, 590.
1212|*lemuk|1199|fat (under the skin of animals)|сало (под кожей у животных)|lemuk|nemъk|lemux||||nemu|nemu|||leme 'in pieces (of fat)' (Корм. 257)||ТМС 1, 516-517.
1213|*nim(u)kse|1454|1 stomach (of animals) 2 intestine fat|1 желудок животного, содержимое желудка 2 кишечный жир, животное сало|nimne 1|nimne 2|nimtumu 'smell of fat'|niməŋə 'grease, fat; vegetable oil' (340)|nimeŋgi 2|||numiśe 1|||||ТМС 1, 314, 594, 595.
