"NUMBER","PROTO","PRNUM","MEANING","KET","SYM","KOT","ARI","PUM","NOTES"
 487,"*poqɨĺ- (~-ō-)",   0,"a k. of duck (чирок)","hɔ:ĺ / hɔʁɔĺ\H5\h, pl. hɔ:ń / hɔʁɔń\H5\h","fɔxɨĺa\H5\h / fɔxča\H5\h, pl. fɔxɨĺan\H5\h","","","","ССЕ 251. Werner 1, 327 *p\Hh\hoqəl. Perhaps connected with *pōqe 'deep' ('deep-diving bird')."
 488,"*pōqe",   0,"deep","hɔʁu\H4 \h(Kur.), South. hɔʁ\H4\h / hɔuʁ; pl. hɔqŋ\H5\h","fɔ:hx, pl. fɔqŋ\H5\h","fōge, phōge","","foźbaǵ (Срсл.) "depth" ?","ССЕ 251. Werner 1, 326 <*p\Hh\hoʔəGə>."
 489,"*pɔʔɔĺe",   0,"fat","hōĺe (North.), South. hōĺ; pl. hɔĺeŋ\H5\h","fouĺ\H3\h / fōĺ, pl. fɔĺiŋ\H5\h / fouĺiŋ\H3\h","fāli, phāli, *fāĺe "fat"; fāligākŋ "to become fat"","","","ССЕ 251. Werner 1, 327 <*p\Hh\holə>. Perhaps related (through old Ablaut) to *pɨʔɨĺ 'intestine(s)' q.v."
 490,"*pɔx-", 270,"to clean","á-b-bɛt 'abwischen, abtrocknen' ? (Werner 1, 13)","fɔgət\H5\h, (Werner 1, 280) fɔ́-bet́","ōpajaŋ, praet. ōlapajaŋ, pass. ōlāpi; ši-pi "cleaning"","","","ССЕ 251. Werner 1, 280 *p\Hh\ho-."
 491,"*p[u]-", 271,"intestines","hū, pl. hu: / hu:n 'heart'; hɨ̄j, pl. Kur. hʌ:ji\H4\h, Bak., Sur. hʌ:jə\H4\h / hʌjə\H4\h, South. hʌj\H4\h 'belly'","fu, pl. fu:n 'heart'; fɨj, pl. fʌ:\Hh\hj 'belly'","fui (fūi), phui, pl. fūjaŋ 'inside, intestines'; fa, *pha, g. fai, pl. fajikŋ "breast"; Ass. pa (М., Сл., Кл.) "breast"","ṕhiáŋ (М., Сл., Кл.), apĳen (Лоск.) "breast"","pfu (Сл., Срсл.) "heart"","ССЕ 251-252. The forms listed above are hard to separate (although the vocalism is not quite clear). Werner (1, 332, 348) tries to make the picture clearer by reconstructing *p\Hh\hu 'heart' and *p\Hh\həj 'belly' respectively - but the relationship between Ket hū and Kott. fa is still unexplained. It still seems to me that we are dealing with a single root separated into later variants through old Ablaut."
 492,"*puʔb",   0,"son","hɨʔp / hɨp, pl. hɨbaŋ\H5\h / hɨba:ŋ\H3\h","fɨʔp / fɨp, pl. fɨbe:ŋ\H3\h / fɨfɨn\H5\h","fup, pl. fupan; Acc. (М., Сл., Срсл., Кл., Ф.) pup; Koib. (Ф.) pup","","","ССЕ 252. A formation with the "male" suffix from the root *puʔ-, see *puʔn. Werner 1, 348 <*p\Hh\həʔp>. Werner's idea that in the case of *puʔb (not *pVʔp!) and *puʔn we are dealing rather with compounds with some obscure second elements, does not seem to have any ground; the element *puʔ- cannot be identified with *pəń- 'small' in any way known to us."
 493,"*puʔj", 272,"owl, eagle-owl","hɨʔj, pl. hɨkŋ\H5\h / hɨ̄kŋ\H1\h","fɨʔj, pl. fɨkŋ\H5\h","kéŋa-fuj (Ass. - М., Сл., Кл.) "owl"","ṕhié (М., Сл., Кл.) "owl"","","ССЕ 252. Werner 1, 348 <*p\Hh\hɨʔj>."
 494,"*puʔl- (~-ū-)",   0,"round, to twirl","dit́āppɨl (Кастр.) "to twirl", praet. dit́ōbenfɨl, imp. it́anfɨl; hɨ̄ĺem\H1\h, pl. hɨĺemn\H5\h // hʌĺemn\H5\h 'spindle'","mɨmpɨl\H6\h 'round'; fɨlɨm\H1\h, pl. -ɨn\H5\h 'spindle'; (Werner 1, 161) č...fɨĺ 'drehen, aufwickeln'","ōfūlaŋ "to twirl, bore", praet. ōnafūlaŋ, ōlafūlaŋ, imp. anful, anful, pass. anāful; šiful "twirling, boring"","","fɨlɨm (Срсл.) "circle"","ССЕ 252. Werner 1, 161 <*p\Hh\hɨl>."
 495,"*puʔn", 273,"daughter","huʔn, pl. hunəŋ\H5\h","fuʔn, pl. fɔnɨŋ\H5\h / funɨŋ\H5\h","fun, pl. fūnan(ŋ); Ass. pun (М., Сл., Срсл., Кл.)","","","ССЕ 252. Werner 1, 331 *p\Hh\huʔn. See also *puʔb."
 496,"*puʔr", 274,"clear (of weather)","hɨʔĺ","fɨʔr","fur, phur "light, clear"","","","ССЕ 252. Werner 1, 348, 2, 57 (without reconstruction)."
 497,"*puʔs",   0,"berry (bilberry, черника)","huʔś","fuʔs","","","","ССЕ 252-253. Werner 1, 331 *p\Hh\huʔs."
 498,"*puʔs", 275,"mould","huʔś","fuʔs","","","","ССЕ 253. Werner 1, 331 *p\Hh\huʔs."
 499,"*puʔuĺ",   0,"hammer","hu:ĺ, pl. hūĺiŋ\H1\h","fu:ĺ, pl. fūĺiŋ\H1\h / fu:ĺiŋ\H3\h","ful, *phul, pl. fūlaŋ, phūlaŋ "Schaft (Messer, Axt)"","","","ССЕ 253. Werner 1, 331 <*p\Hh\hugəl>."
 500,"*puGVʒ", 276,"tail","hu:t, pl. hūŕəŋ\H1\h (Bak., Sur. hūdəŋ\H1\h)","fu:t, pl. fūdiŋ\H1\h / fu:diŋ\H3\h","fugai, phugai, *fukai, pl. fugajaŋ, *fukajaŋ; Ass. (М., Кл.) pugáj","ṕhugáj (М., Кл.); isbugej (Лоск.)","","ССЕ 253. A certain derivative is Kott. fugaʔiše, *fukajaše, Ar. pogejši (Стр.), ṕhúgajši (М., Сл., Кл.) "sable". Werner 1, 332 <*p\Hh\huk-at / *p\Hh\huk-aj>. The root contains a frequent body part suffix *-Vʒ - which, despite Werner ibid., has nothing to do with Ket aʔt 'bone'; nothing like *huk 'flaumig, wollig' is ever attested in any Yenisseian language. Werner's statement that "dem ket., jug. aʔt 'Knochen' entspricht in Komposita das kot. -ai" is inexplicable phonetically and plainly wrong: in a few cases of attested compounds of this type Kottish has not -ai, but -ar: cf. *χɔb-aʔd 'back(bone)' > Ket qɔvət, Yug xɔfat, Kott. hapar, *kas-aʔd 'foot sole' > Ket. kassat, Kott. hačar - quite consistently with the Kott. reflex of *ʔaʔd 'bone' which is Kott. ar-aŋ, ar-ša q.v."
 501,"*p[u]GVm-",   0,"soft","hɔm-ɨĺəŋ\H6\h","fɔm-ɨĺiŋ\H6\h","fūgam, phūgam, *fūkam; Ass. (Бол.) pugama "softly"","puma (Лоск.) "softly"","","ССЕ 253. Werner 1, 324 <*p\Hh\hogəm->."
 502,"*p[u]jm-",1065,"neck","","","fuimur, *phuimur, pl. phuimuraŋ","pemä (Лоск.)","","ССЕ 253. Werner 1, 283."
 503,"*-pun",1187,"without, -less (a suffixed morpheme)","-ań (Werner 1, 38)","-fan (Кастр.), -fan / -pan (Werner 1, 38)","-fun, -phun","","-fun in hitifún (Сл.) "to be silent" [cf. Kott. atpifunākŋ id., lit. 'be without hearing').","ССЕ 253. Werner 1, 38 *-p\Hh\hun."
 504,"*p[u]χV ( < *m[u]χV)", 277,"nephew","hɨ́-tet 'nephew', hɨ́-tam 'niece' (Werner 1, 347), hɨ́am 'younger sister of wife' (Werner 1, 342)","","fu, phu, pl. fuan "nephew", alīt fua (phua) "niece"; Ass. (Бол.) puga "nephew, grandson", alippugi "niece", alitpuga "grand-daughter"","amagel (Стр.) "brother", bamagál (М., Сл., Срсл., Кл.) id.; (Стр.) bamagel "sister", bamagaĺā (М., Сл., Срсл., Кл.) id.; (Лоск.) amagildu "nephew"; mamagili "сестренич"; mamagil "братенич"","","ССЕ 253-254. The Ket and Kott. languages point to PY *puχV  (Werner 1, 347 <*p\Hh\hɨ>, not taking into account the Kott. -g-). The Arin matches are difficult in two respects: a) the word means both "nephew" and "brother/sister" - the latter must be a secondary semantic expansion of "brother's son" to "brother" in general, having replaced the original PY *b[i]s "brother / sister"; b) the -m- in Arin must reflect an original nasal, preserved after the prefixes a-, ba- and replaced by *p- elsewhere in Yenisseian. Phonetically the case is similar to the root for 'brain' *nɔʔŋ > *dɔʔŋ, which is preserved as *nɔʔŋ in the compound *goʔ-nɔʔŋ, but has regularly changed to *d- in independent position (Ket, Yug dɔʔŋ). Werner's objection: "die letztere Rekonstruktion [*m[u]χV] bleibt fraglich, weil sie sich auf ar. bamagal 'Bruder' stürzt, wo das anlautende b- eigentlich das Possessivpräfix der 1 P.Sg. ('mein') darstellt" - is rather strange: of course b- is a 1 p. prefix (as in numerous other cases), but the reconstruction is based not on it, but on the following -m- - which cannot be a prefix of any kind. Elsewhere (1, 32) Werner attempts a different approach to the Arin form, analyzing it as am "mother" + agel (?), cf. Pump. akil "older brother, sister". Pumpokol indeed has such a word (see under *ʒVl 'child'), but Arin has it too, namely Arin akel 'son', akelä 'daughter' (see ibid.). Whereas "brother" is of course "mother's son", "nephew" definitely is not: the compound am  + akel 'mother's son' could have helped Arin amagel (amakel) to shift its meaning to include both "nephew" and "brother", but it cannot explain the meaning "nephew" in any reasonable way."
 505,"*pVʔń",1109,"dandruff","","fɔʔń, pl. fɔńiŋɨn 5","fini, *fińi, fin, pl. finaŋ "scab"","","","ССЕ 254. Werner 1, 282 *p\Hh\həʔn."
 506,"*pVʔV", 278,"to wind (rope etc.)","hʌ:\H3\h","fъ:\H3\h","fo-fūjaŋ (pret. fōna-fūjaŋ, imp. fan-fui)","","","ССЕ 254. Werner 1, 342 <*p\Hh\həp\Hh\hə>."
 507,"*pVg-", 279,"hand","hʌŋn\H5\h, pl. -eŋ\H5\h","","","ṕhiaga (М., Сл., Срсл., Кл.) "hand (manus)"; upega (Лоск.) "hand"","","ССЕ 254. Ket. hʌŋn is probably an assimilation < *hʌg-n (originally a plural form). Werner 1, 338 <*p\Hh\həŋ / p\Hh\həngə>."
 508,"*pV(j)", 280,"to blow","ugĳ (Werner 2, 375: úɣĳ, dúɣap / du:p\H3\h, North. duɣáp-pej 'I blow')","duap-pē (Кастр.) "blasen", praet. duabīr-fē, imp. uar-fē (Werner 2, 375: fɨ 'blow', duappɨ / dugapfɨʔ 'I blow')","śifu "to blow (inf.)"; bafujaŋ "blow", praet. balafujaŋ, imp. alfu, pass. balāfu","","","ССЕ 254. Werner 2, 375 *p\Hh\hi / *p\Hh\hʌʔ."
 509,"*pVk-", 281,"morning","hɨ́gem (М., Сл.) 'morning', -ɔk-ś in an-ɔkś 'tomorrow' (see *ʔen), qɔ́n-ɔkś 'morning' (М., Кл., Сл.) xonno-hokse","pɨg-anes (M.) 'morning', an-bɔksɨ\H5\h 'tomorrow'","","","cɨ́l-paga (Сл.)","ССЕ 254. Werner 1, 343 *p\Hh\hək."
 510,"*pVl- (~-ŕ-,-r\L1\l-)", 282,"child","","","","alpolát (М., Сл., Срсл., Кл.), ol-polat (Стр.) "child"","phálla (Сл.), falla (Кл., Срсл.) "boy"; phála (Сл.), fala (Кл.), falla (Срсл.) "son"","ССЕ 255. Werner 1, 26-27."
 511,"*pVnt- (?)",   0,"to grind","hien-sigit, praet., imp. hien-ligit (Кастр.); híń-git (Werner 1, 315)","fiente-sgīt, praet., imp. fiente-rgīt (Castr.); fín-git, di-finte-sgit (Werner 1, 315: fin-t...git)","šifut "to grind (inf.)"; bafutaŋ "grind", praet. balafutaŋ, imp. alfut, pass. balāfuti","","","ССЕ 255. The etymology is not quite reliable. The status of -t- in Yug is unclear (in Ket this consonant could have been dropped within a cluster): if it is not a part of the root, the Ket-Yug and Kott. forms can be hardly related, and one could only reconstruct two different roots: *pVn- for Ket-Yug and *put  for Kottish. The latter solution is perhaps preferable, since the correspondence Ket-Yug -nt- : Kott. -t- is irregular (the cluster  *-nt- should be simplified in Ket-Yug, but preserved in Kottish). The stem may be connected with *pənVŋ 'sand, ashes' ("grind" = "reduce to sand"), although derivational details remain unclear. Werner 1, 315-316 also prefers to reconstruct *p\Hh\hin- and leave Kott. -fut aside."
 512,"*pVr (*ʔas-pVr)", 283,"cloud","aśpuĺ\H5,6\h, pl. aśpuĺəŋ\H5\h","asfɨl\H5,6\h, pl. asfi:ĺ\H3\h","ašpar, *ašpoŕ, pl. *ašparaŋ, *ašpóraŋ "cloud"; tī-par "fog" (see *tVx-)","ejš paraŋ (Стр.) "sky"; esperaŋ (М.) "cloud"","","ССЕ 255. The component *ʔas- is evidently the old Ablaut variant of *ʔes 'sky' q.v. Werner 1, 71 <*p\Hh\həλ, *es-p\Hh\həλ>."
 513,"*qa-",   0,"a modal stem","qāń 'let' (particle)","xan 'let'; xala\H5\h 'really?'","","","","ССЕ 255. Werner 2, 81 *qa-."
 514,"*qad- (~χ-,-ʒ-)",   0,"wool","qāŕe\H1\h (Kur.), Bak., Sur. qādə\H1\h, South. qāŕ","xāt","","","","ССЕ 255. Werner 2, 82 *qadə."
 515,"*qaĺVŋ (~χ-)",   0,"gull","qaĺəŋ\H5\h, pl. qaĺeń\H6\h","xaĺiŋ\H5\h, pl,. -ɨn\H5\h","","","","ССЕ 255. Werner 2, 65."
 516,"*χak- / *χək-",   0,"to overtake, catch up with","qāgde\H1\h (Kur.); qʌk-śń\H5\h 'to hurry'","хagdɛ-saŋ\H1\h 'in order to catch up with'; (Кастр.) xaks, xoks 'quicker'; xʌkśiń\H5\h 'to hurry'","hičīn 'hurry'","","","ССЕ 255-256. Werner 1, 313-314 <*qəksin>, 2, 80, 142-143. The addition of the Kott. form by Werner allows to modify the reconstruction from *qaq- to *χak- (*χək-sin)."
 517,"*qaq (~χ-)",   0,"a k. of fish (елец)","qāq","xax","","","","ССЕ 256. Werner 2, 82 *qaq. See also notes to *xes."
 518,"*qar(\L1\l)- (~χ-)", 284,"grandchild","qal\H4\h // qalɔq\H5 \h(South.), North. qaləq\H5\h; pl. qalɨn\H5\h","хarɔх\H5\h, pl. хarɔхn\H5\h","","","","ССЕ 256. Werner 2, 64 <*qaλoq>. Ar. biḱal 'son', biḱaĺa 'daughter', Pump. pikola id. should be rather derived from PY *ʒVl 'child' (although a contamination due to phonetic convergence in Arin and Pumpokol was possible)."
 519,"*qatVn", 285,"trap (for a squirrel)","","","χatn, qatn, pl. χatnaŋ","","","ССЕ 256."
 520,"*qaǯi- (~χ-)",   0,"after(ward)","qariɣə\H5\h (Bak., Sur. qadiɣə\H5\h)","xāt́kej\H1\h","","","","ССЕ 256. Pump. (Срсл.) xačgej 'after' is most likely a Yug form. Werner 1, 72 <*qat'i- / *qad'i->."
 521,"*qä-",   0,"five","qāk (attr.); pred. inanim. qaɣən\H6\h, anim. qa:ŋ\H3\h","xak (attr.); pred. inanim. xajɛ\H6\h, anim. xajeŋ\H5\h","xēgä, khēgä, (Бол.) kejče; Ass. géjǵaŋ (М., Сл., Срсл., Кл., Ф.), kega (Кл.); Kam. (Стр.) qagä; Koib. (Мес) qagä","qaga (Ф.), qala (М., Сл., Срсл., Кл.) id., xala (Стр.), kala (Лоск.); -kala in qoa-kala (М.) "fifteen"","xej-laŋ (Сл., Срсл., Кл.) "five"","ССЕ 256. One can reconstruct the stems *qä-ka and attrib. *qäjV- (see КС 161). Werner 2, 80, 81 (without reconstruction and with a rather strange idea that the numeral "five" goes back to the word for "thumb" - see under *χVʔ-gVĺ; even if we reconstruct *qVʔĺ 'thumb' (which I think is incorrect) the forms without -l- like Ket qaɣən, Yug xajɛ etc. cannot be explained by deriving them from 'thumb')."
 522,"*qäʔG", 286,"word","qaʔ, pl. qa:n","xā, pl. xa:n","xēg, khēg, pl. xēgan","","","ССЕ 256. Werner 2, 78."
 523,"*qäʔj", 287,"mountain (wooded)","qaʔj, pl. qaŋńeŋ\H5\h","xaʔj, pl. xaŋńeŋ\H5\h; xaj-tɨl\H5,6\h 'small hill'","xei, khei, pl. xējaŋ "Axtrücken, Messerrücken"; xēlēx, khēlēg, pl. xēlētn "Bergrücken" ( = Koib. (Мес.) gĳlin 'mountain')","ena-háj (М., Сл., Срсл., Кл.) "forest" [pine-forest?]","kónnoŋ (Сл., Срсл.) "mountain"","ССЕ 256-257. For Yug Castren also gives (together with xai, qai ( = xaʔj) 'косогор') xei, qei 'mountain ridge': it is most likely a Kottish form misplaced. Similarly, in the "Сравнительный Словарь" we find an obviously Yug form xaj, together with the Pumpokol proper kónnoŋ 'mountain'  (originally a plural form, cf. Ket  qaŋńeŋ).  Pump. kónnoŋ  (despite Helimski КС 249) should be distinguished from Kott. hanaŋ 'shore', which - as rightly pointed out by the author - is a Uralism (Selk. qanɨŋ, Khant. χonəŋ 'shore'). Werner 2, 78-79."
 524,"*qä(ʔ)p (~-b)", 288,"boat (made of birch bark)","qaʔp, pl. qa:ŋ\H3\h (Werner 2, 79)","xaʔp / xap","xep, *xēp, khep, pl. xapaŋ; Ass. (М.) xajp","","","ССЕ 257. Werner 2, 79 <*qap\Hh\h>."
 525,"*qäm", 289,"arrow","qām, pl. qaməŋ\H5\h (кур. qamen\H5\h)","xam, pl. xamɨn\H5\h","xem, *khem, pl. xamaŋ "стрела" (hata-gē̆m "ружье")","","","ССЕ 257. Werner 2, 81 <*qam>."
 526,"*qǟŋa", 290,"kite; owl","qa:ŋə\H4\h (Kur.), Bak., Sur. qa:ŋə\H4\h / qaŋə\H4\h, South. qaŋ\H4\h; pl. qāŋen\H1\h "kite"","xa:\Hh\hŋ, pl. xaŋen\H1\h (cf. also М., Сл. xáhaŋa 'hawk')","kéŋa-fuj (Ass.) "owl"","","","ССЕ 257. Werner 2, 68 <*qaʔəŋə>.  The roots *qǟŋa and *kVg- (q.v.) are actively contaminating; the former must have originally meant a hawk or kite, while the latter - some kind of owl."
 527,"*qeʔs (~χ-)", 932,"sand, sandy shore","qɛʔś, pl. qɛŕeŋ\H5\h  (Bak., Sur. qɛdəŋ\H5\h)","xɛʔs, (Werner 2, 84) pl. χɛ́d́iŋ","","","","ССЕ 257. Rather strange is the plural form pointing to *qeʔʒ- (~χ-,-ǯ-): a suppletive stem? or a compound *qeʔs+ *ʔeʔǯVŋ (see *ʔeʔǯ- 'damp sand')? Werner 1, 84-85 <*qeʔs / *qeʔt'>: relates here Arin kes, Pump. kit 'stone', despite the fact that these forms completely regularly reflect a different root, PY *čɨʔs 'stone'. He also tries to connect Kott. hanaŋ 'shore', on the Uralic origin of which see under *qäʔj."
 528,"*qeʔt- (~χ-) ?", 291,"pregnant","qässej\H5\h , North. qɛssej\H5\h","хɛtes\H5\h","","","","ССЕ 258. Werner 2, 83-84: suggests that the first element may be *χ[e]ʔ 'big', supporting this idea by the separability of the root in Ket t-qä-ŋ-tas-dʌŋdʌjen 'we are pregnant' etc. If this is not a secondary insertion of -ŋ-, we should rather think of a root *tis 'belly' (?)."
 529,"*qepVn- (~χ-)", 456,"to close (door)","qeńgej\H6\h; Werner 2, 85: qɛ:ńĳ\H3\h, qɛ:ńgĳ\H3\h, qänĳ, qanĳ; t-qɛ́b-bit 'I close it'","di-χɛ́fɨnābdi ʔ 'ich mache es zu', imper. χɛ́fɨne (Werner 2, 85)","","","","Werner 2, 85 *qep\Hh\hən: the addition of the Yug forms allows to change the reconstruction from *qeń- ( ~ χ-) in ССЕ 258 to *qepVn- ( ~ χ-). Cf. Kott. (Werner 1, 325) hōp(e)tal 'Satteldecke, Teppich'?"
 530,"*qēǯ- (~χ-)", 917,"pole","qɛ:\Hh\hŕi\H5\h (Kur.), Bak., Sur. qɛ:də\H4\h / qɛdə\H4\h, South. qɛŕ\H4\h; pl. qēŕeŋ\H1\h, Bak., Sur. qēdeŋ","xɛ:\Hh\ht́, pl. xed́iŋ\H1\h / xɛd́iŋ\H5\h","","","","ССЕ 258. Werner 2, 83 <*qɛʔəd'ə>."
 531,"*qəʔń", 294,"flea","qʌʔń (КРС, Werner 2, 148)","","imgara-xon (Бол.) 'flea', xon 'beetle'","","","ССЕ 258. The Kott. compound contains imgara 'little' in the first part. Werner 2, 148."
 532,"*qəʔt (~χ-,-c-,-č,-ʒ,-ǯ)", 846,"trash, refuse","qʌʔt","","","","","ССЕ 258. Werner 2, 148."
 533,"*soʔg-",   0,"noise","sɔɣej-bɛta (South.) 'ein Lärm (Geräusch) ist zu hören' (Werner 2, 168)","sɔgaj\H5\h "noise, to make noise" (Werner 2, 168 sɔ́gej)","","","","Werner 2, 168 (without reconstruction); correctly separated from PY *saga- 'say, speak' in Werner 2, 165."
 534,"*qək- (~χ-)", 295,"spoon","qъ̄kt// qъ̄ktə\H1\h , pl. qʌktəŋ\H5\h (Werner 2, 149: qʌ́ktaq / qʌ́ktaqŋ)","xъkči\H1\h, pl. xʌkčakŋ\H5\h","","","","ССЕ 259. Werner 2, 149 *qək-t'ak (altes Kompositum). The word may indeed be an old compound, but the second component should be rather reconstructed as *čaq, and is probably the same as in *čaq-pəm q.v."
 535,"*qənte (~χ-)", 296,"ant","qъ̄nt / qъ̄nte\H1\h, pl. qъ̄nten\H1\h / qъ̄ntenəŋ\H1\h","xъntɨ\H1\h, pl. xъntɨnɨŋ\H1\h","","","","ССЕ 259. Werner 2, 149."
 536,"*qər- (χ-)", 297,"bad-tempered, angry","","xʌrɨń\H5\h","","","","ССЕ 259. Werner 2, 398 <*qəλən>."
 537,"*qəǯ- (~χ-)",   0,"to give, give away","qʌŕem\H5\h, Bak., Sur. qʌdəm\H5\h","xʌd́iŋ-fɨt\H5\h","","koja-penä (Лоск.) "I give" ?","","ССЕ 259. The comparison with Arin is possible if the form is correctly segmented. Werner 2, 146."
 538,"*qɨʔ (~χ-), pl. *qəʔǯVŋ",1213,"skewer, spit; (sun-)beam","qɨʔ, pl. qʌŕeŋ\H5\h, Bak., Sur. pl. qʌdəŋ\H5\h","xɨʔ, pl. xʌdɨŋ\H5\h (Werner 2, 152-153: χʌ́d́iŋ)","","","","ССЕ 258-259. Werner 2, 152-153 <*qɨʔ / *qəd'ə>. The roots for "bow" and "skewer / beam" (**"arrow"?) tend to contaminate in Ket-Yug.; perhaps they should be even united historically, but morphological details are not clear."
 539,"*χɨʔǯ", 298,"bow, cross-bow","qɨʔt, pl. qʌʔŋ","xɨʔt́, pl. xъʔŋ (Werner 2, 153: xʌʔŋ / xɨ́d́iŋ)","hī, pl. hījaŋ, hĳan, (Бол.) xii; Ass. hii (М., Сл., Кл., Ф.), huj (Кл.); Koib. xii (Ф.)","qoj (М., Сл., Кл., Ф.), koi (Лоск.)","kaj (Сл.) "bow, cross-bow"","ССЕ 259 (erroneously given as *qɨʔǯ). Werner 2, 153 <*qɨʔt'>. The roots for "bow" and "skewer / beam" tend to contaminate in Ket-Yug. [Not quite clear is the relationship of Yug χʌkŋ / χɔkŋ, Ket qɔkŋ 'weapons', listed in Werner 2, 398 - erroneous recordings or a different root?]"
 540,"*qɨĺiŋ (~χ-)", 771,"amoral, adulterous","qɨĺiŋ\H5\h","xɨĺiŋ\H5\h","","","","ССЕ 260. Werner 2, 150 <*qɨləŋ>."
 541,"*qɨń- (~χ-)", 299,"to tremble, be afraid","","xɨń-čej\H5,6\h","","","","ССЕ 260. Werner 2, 398."
 542,"*qɨńe (~χ-)",   0,"current, stream","qɨ̄ńe\H1\h, South. qɨ̄ń","xɨ̄ń","","","","ССЕ 260. Werner 2, 154 *qɨn'ə."
 543,"*qɨte (~χ-)", 300,"wolf","qɨ̄t, Kur. qɨ̄ti\H1\h; pl. qʌtn\H5\h","xɨ̄t // xɨt, pl. xʌtn\H5\h // xɨtn\H5\h","","kut (М., Сл., Кл.), kūt (Стр.), kot (Лоск.)","xótu (Сл.)","ССЕ 260. Werner 2, 155 <*qʌt\Hh\hə>."
 544,"*qɨ̄ǯ- (~χ-)", 754,"to dig","qɨŕ\H4\h (South.), Kur. qɨ:ŕi\H4\h, Bak., Sur. qɨ:də\H4\h","xɨ:\Hh\ht́\H4\h","","","","ССЕ 260. Werner 2, 151 <*qɨʔəd'ə>."
 545,"*qo (~χ-)", 301,"ice","qō","xō","","","","ССЕ 260. Werner 2, 126 <*qogə>. Kott. ušōx 'ice' is hardly comparable with the Ket form (see under *čəG-), and Ket qɔgdɔ 'to break ice' hardly justifies a reconstruction *qogə: it is rather a compound of qo + k...dɔ 'to clear the way" (or perhaps a component = Yug k-duk 'to break')."
 546,"*qoʔč (~χ,-ɔ-)",   0,"to weep, weeping","qɔʔt","qɔʔt́","","","","ССЕ 260. Werner 2, 123."
 547,"*qoʔl (~χ-,-r)", 302,"river (Подкаменная Тунгуска); bay, backwater","qɔʔĺ "Подкаменная Тунгуска", Sur. qäʁɔĺ\H5\h "Подкаменная Тунгуска during flood" (lit. "big qɔʔĺ); qɔʔĺ, pl. qɔĺiń\H5\h, Kur. qɔ:ĺi\H4\h; South. qɔĺ\H4\h "bay, backwater"","xɔʔl "Подкаменная Тунгуска"; xɔʔl, pl. xo:ĺ "bay, backwater"","","","","ССЕ 260. The South.-Imb. and Kur. forms reflect a plural *qōl ( = Yug xo:ĺ).  Cf. perhaps also Ar. kalgun-il-sat (М., Сл.) "river" - although this compound may in fact mean "small river" (kalqona "small", see *ʒVl). Werner 2, 122 (doubts the relationship of the river name and the word for "bay", but gives no reasons)."
 548,"*qoʔoj (~χ-,-G-,-χ-)", 303,"neighbouring","qɔ:j\H3\h (cf. also qɔ́namś 'foreign')","","","","","ССЕ 260. Werner 2, 124 <*qogoj>."
 549,"*qoʔp (~χ-,-ɔ-)", 304,"part of leg","qɔpku\H6\h, pl. -n\H5\h 'calves of legs'; Werner 2, 110: qɔ́pqu","χɔʔp, pl. χɔfɨn 'sole'","","","hep ( = χep) 'trousers' (Сл)","ССЕ 261. In HGC 24 the Ket and Yug forms are separated; but phonetically they are quite identical (the component -ku or -qu in Ket is unclear, though). The relationship to *qobǯV 'palm of hand' is not quite clear, although the latter may have influenced the meaning in Yug."
 550,"*qoʔq (~χ)", 221,"flotsam","qɔʔq","χɔʔχ (Werner 2, 123)","","","","ССЕ 261. Werner 2, 123."
 551,"*qoʔt (~χ-)", 306,"way, road","qɔʔt, pl. qɨ̄nəŋ\H1\h","xɔʔt, pl. xɨneŋ\H1\h","","kat (Сл.) "road"; kut (М., Кл., Ф.) id.; kol-kut (Лоск.) id.","koat (Сл.) "road"","ССЕ 261. The plural forms in Ket and Yug in fact belong to the paradigm of a different word - *χ[ɨ]χ q.v. Werner 2, 123 *qɔʔt."
 552,"*qo(ʔ)ŋ (~χ-)", 307,"fog","","χoaŋ (Кастр.)","","","","ССЕ 261. Werner 2, 390."
 553,"*qobǯV (~χ-,-ɔ-)",   0,"palm of hand","qɔbdi\H5\h, qɔpt","χɔbd́i\H5\h","","","","ССЕ 261. Werner 2, 111 *qopd'i 'Handfläche': Werner regards it as an old compound with an unclear second component and with *qoʔp > Yug χɔʔp 'foot sole' as the first component - but see under *qoʔp "part of leg"."
 554,"*qod- (~χ-,-ɔ-)",   0,"to be afraid, fright","qɔŕen\H5\h, Bak., Sur. qɔden\H5\h","хɔdan\H5\h","","","","ССЕ 261. Werner 2, 112 *qodən."
 555,"*qoK- (~χ-)", 308,"hail","qɔgdəm\H5\h; South. qɔgdəŋ\H5\h id.","xɔksl\H5\h / xɔksɨl\H5\h","","","xoxdámon (Сл., Срсл., Кл.)","ССЕ 261-262. Werner 2, 391."
 556,"*qoʔK(V)ŋ (~χ-)", 309,"pine forest","qɔkŋ\H5\h","χɔkŋ\H5\h","","","","ССЕ 262. Werner 2, 96."
 557,"*qoĺ- / *qəĺ-", 310,"armpit; to tickle","qɔĺtəŋəj\H6\h, pl. qɔĺtəŋɨn\H5\h 'armpit', (КРС, Werner 2, 143) qʌlaśej 'to tickle'","xɔĺčaŋ\H6\h / xɔĺčaŋfɨj\H5,6\h, pl. xɔĺčaŋɨn\H5\h "armpit", xʌĺčakŋ\H5\h "to tickle"","","","","ССЕ 262. Werner 2, 101 - with a completely folk-etymological analysis ("cheek"+"heads"??)."
