NUMBER|PROTO|MEANING|PRNUM|KUR|MLT|NOTES|ADDITION|DEDNUM
408|*kūg-|to slumber|713|kūgnā "to doze, slumber (out of time)"|kūge|||1902
409|*kūk|to call out|0||kūkre|||1868
410|*kūl/*kōl|belly, abdomen|2053|kūl "belly, stomach, womb"|kōli "abdomen"||Also KUR \Ikūlas\i offspring, descendant.|2244
411|*kūm|a k. of basket|0|kūm "a large cylindrical basket in bamboo-work for catching fish"|kūme "a fishing coop"|||1896
412|*kūr-|to wrap up, roll up|741|kūrnā "to put on and tie a sāri round one's waist"|kurge "to roll up, wrap up"|||2684
413|*kūṭ|the hoop or spring of a kind of mouse-trap|0||kūṭgle|||1883
414|*lauṭ-ō|lips, chin|1063|lauṭō||||3596
415|*lāp|a measure|0|lapnā "(Hahn) to measure with the hollow of the hand"|lāpe "a measure, as much as is contained in two hands put together"||Also KUR \Ilapp\i a handful; (Gr.) \Ilaph\i the quantity of grain, etc., that one can hold upon the flat of the hand, the fingers being very slightly curved upward; MLT \Ilāpye\i to measure out with two hands put together.|290
416|*lipī|skylark|0|lipī-oṛā|lipi|||5189
417|*?|to put down; to lay (eggs)|0|uinā (uyyas) "to put down; retain, keep back"|oje "to keep; lay eggs, bring forth young"|||5549
418|*maG-|boy|761||maqe||Also MLT \Imaqi\i girl; \Imaqo\i small, little, young; \Imaqmaqo\i small ones; \Imaqu\i young one (animal)|4616
419|*maḍ-j-|to trample, tread|766||maḍye|||5057
420|*mai- (?)|upper, above|869|maitā, maitlā, maīyyantā, maŋyantā "uppermost, topmost, placed above, higher, highest; the higher regions, heaven"|mece "above, up"||Also KUR \Imaitantā\i coming from above; \Imaitī\i from above; \Imaitlē\i from the top, from above; \Imańyā̃\i on, upon, above, overhead; \Imeccā\i high, tall, lofty; \Imēn-ērnā\i to look up, raise the eyes; MLT \Imecge\i height; \Imecgetre\i to raise, lift up; \Imecten\i superficially; \Imen̲ye\i up, above; \Imēmere\i to look upwards (\Iēre\i to see); \Imēmetre\i to lift up (as the countenance).|4841
421|*makā|the sal tree, Shorea robusta|0|makkā|make|||4621
422|*mal|no, not|777|mal "not"|mala||Also KUR \Imalā\i not, no; \Imalnā\i not to be (so); \Imalʔā\i not (when the negation falls on one single word which is being opposed to another word); no; \Imalkā\i deprived of, lacking; \Imal-\i (past \Imall-\i) to be not.|4743
423|*mali|a kind of reed of which arrow shafts are made|0||mali|||4984
424|*mam-|a k. of maternal relation|821|mamus "maternal uncle, father's sister's husband"|mama "mother's brother, aunt's husband"|||4813
425|*man|tree|789|mann|manu|||4711
426|*man-|to become|782|mannā (mańjas) "to become, come off, result, be, turn out to be, be in appearance, act as if, behave as though, be abundant, amount to"|mene "to be or become, grow or be produced"||In Kurukh maybe mańjas < man-y-as? In Malto - mene < man-y-e?|4778
427|*mandr|medicine|795|mandar|mandru|||4719
428|*manḍī|cooked rice; ricewater|0|maṇḍī "cooked rice, meal"|manḍi, menḍi "ricewater"|||4679
429|*manǯ-|vegetable poison|983|mãńj "any vegetal poison used for intoxicating and catching fish"|manjraha "benumbed"||Also MLT \Imanjrare\i to be benumbed, be sickly.|3580
430|*manǯ-ī|seed in general|784|mãńjī||||4639
431|*manqā|swing-basket, used for irrigating or fishing|0|manxā||||4837
432|*manq-|buffalo|0|manxā "male buffalo"|mang̣u|||4747
433|*marcā|waste land|0|marcā||||4726
434|*marg-|horn|792|marAg "horn, antler"|margu "horns"||Also MLT \Imargo\i male deer.|4720
435|*maṛ/*maṇḍ|to stay, dwell; to love|0|maṛnā (maṇḍcas) "(animals) stay habitually in a certain place"|maṛe "to will, wish, love"||Also MLT \Imaṛ-mene\i to be pleased with, love.|4722
436|*maṛ-q-|dirty; black|800|maṛxnā "to get dirty, soiled, lose brightness or freshness, be ashamed, grow exhausted, be spent"|maṛg̣e "to become black"||Also MLT \Imaṛg̣ro\i black; \Imaṛg̣tre\i to blacken, cause sorrow, make sad; \Imaṛg̣ru\i name of a tree, the bark of which is black|4750
437|*mas-|axe|802|massā ṭongʔe "a large kind of axe"|masu|||4749
438|*mas-g-|to vanish, disappear (as a person)|752||masg̣e||Also MLT \Imasekāre\i to vanish (as an illness)|4760
439|*mādg-ī|mahua|748|madgī "mahua flower"|māthgi "Bassia latifolia"|||4695
440|*māk|antelope, deer|813|māk "antelope, red deer"|māku "stag"|||4780
441|*mānḍ-|to roast|822|mānḍrnā "(Hahn) to roast in hot ashes"|mānḍe "to roast in hot ashes"|||4801
442|*mānḍā|the hollow haunt of any animal, den, any hollow place, cavern, grotto|0|mãṇḍā, mãṛā||||4832
443|*mānḍ|(Hahn) to select|0|mān̲ḍnā||||4807
444|*mānḍ?|to bury|0|mā̃ṛnā (maṇḍyas) "to intercept from view, hide away from sight, bury"|mande (?)|The Malto form may not belong here.||4836
445|*māG-|night|814|māxā|māqu||Also KUR \Imāxnā\i to grow dark, be overtaken by night; \Imōxārō\i black, dark-complexioned; MLT \Imāqti\i of the night.|4781
446|*maj-nca|malt; beverage|763|mãyã "malt prepared for making beer, malt refuse, beer in its preparatory stage"|mēca "an intoxicating beverage prepared of corn"|A very complicated case. The PDR root is *maj-; however, in order to explain both the nasalization in Kurukh and the strange form in Malto, we have to suppose at least a specific suffix (probably modifying the original meaning 'intoxication' into 'intoxicating beverage'). And only a unique sound combination, like *-jnc-, could account for the unique correspondence Kur. -ãy- - Mlt. -ēc-. If this is the case, then in Kurukh *majnc- > *mãjc- > *mãj-, while in Mlt. *majnc- > *mēnc- > *mēc-. The problem is: what is the nature of this *-nc-?|Also KUR (Hahn) \Imāyā\i, \Imā̃yān̲\i arrack made of rice.|4706
447|*meCK|to sprain; to dislocate|0|mejxaʔānā, mējxnā "to sprain, inflict a sprain; strain (e.g. by sleeping in an uncomfortable position)"|mackare "to be dislocated"||Also KUR \ImējxErkā\i a sprain; \ImējxErnā\i to sprain oneself, get sprained.|5089
448|*meG?|to bake, toast|0|mekkhnā (mikkhyas) "to bake bread, vegetables, fruit, fish, in a leaf wrapper\I\i"|meqe "to toast bread or eggs"||Also KUR (Hahn) \Imēkhnā\i (\Imikkhan\i) to bake bread.|5053
449|*med-ō|brain|828|meddō, (Hahn) meḍḍō, neddō, (Tiga) meddō|medo|||5062
450|*medq-|discoloured by bruise|0||medg̣o||Also MLT \Imedg̣re\i to discolour, blacken|5063
451|*melGā|throat, neck|0|melkhā|melqe|||5080
452|*melGō|a wife|0|melkhō "husband's brother's wife, (Hahn) a concubine"|melqo, melqor "contemporary wives"||Also MLT \Imelqaler\i two or more contemporary wives; \Imelqo-oji\i polygamy.|5081
453|*men-j-|to hear|1805|mennā (meńj-) "to hear, listen, obey, question, ask"|mene (menj-) "to hear, ask"||Also KUR \Imendnā\i to tell, inform; MLT \Imendre\i to be heard, be rumoured|5516
454|*menǯ-|tidbit (meat, fish, etc.) cooked together with meal to impart relish or flavour to it|1015|meńjan||||3581
455|*menǯq|to incubate, shelter|0|meńjxnā "(Hahn) to incubate, shelter as the hen shelters her chickens"|men̲g̣je|||5055
456|*mer-qā|sky, heaven|839|merxā|merg̣u, merg̣e||Also KUR \Imerxantā\i heavenly; MLT \Imerg̣ani\i heavenly; \Imerg̣e\i to thunder|5074
457|*mer-q-|to act furiously|840||merg̣tre|||4875
458|*mesgā|roof|0|mesgā "roof, esp. thatched roof"|mesg̣e "thatched roof"|По-видимому, производное от ПСД *bens- 'крыть соломой'; ПСД *bens-gā > *mes-gā (с ассимиляцией b > m и утратой инлаутного носового).||5532
459|*meṭ|chatty, pitcher|0||meṭa|||4651
460|*mēd|body, womb, back|851|mē̃d, mēd|mēth|||5099
461|*mēq-|to call|848|mēxnā (mīxyas) "to call, call after loudly, hail"|mēqe "to bleat"|||5087
462|*mēr|thread, twine, thin cord|0|mē̃r, mēr|mēru|||5095
463|*mēt|adult man, husband|824|mē̃t, mēt|||Also KUR \Imaī̃\i female child; way of addressing girls younger than the speaker.|4791
464|*min-j-|to eat, graze|850|mennā (mińy-) "to eat grass, graze"|mine "to eat (as bread), graze, browse, feed on straw"||Also KUR \Imentaʔānā\i to graze, i.e. supply with grass or pasture; MLT \Imede\i to eat food with something to give a relish.|5093
465|*minǯ|eel|0|mińj||||4737
466|*minq|to close the eyes|0|mīŋxnā "to close the eyes, weigh down the eyelids (as one feeling drowsy); (eyes) to be closed"|minqe "to close or shut the eyes, sleep"|||4877
467|*mic-ī|moustache|871|micī, misī, mechā|miśī (pl. miśā)|||4879
468|*nitl-|crown of head|1009|mitIl, mitil, (Hahn) nitil "fontanelle"|nitlu "crown of the head"||Also maybe MLT \Inepe\i forehead, brow.|3759
469|*miṭ-k-|to wink, blink|854|miṭkaʔānā|||Also KUR (Hahn) \Imiṭkī\i a twinkling of the eye.|4845
470|*mīn-|fish|870||mīnu|||4885
471|*mocā?|mouth (not said of men unless in joke or abuse)|0|moccā||||5031
472|*moǯq-|smoke|893|mōjxā, mōsgā|mog̣e "to smoke, emit smoke"||Also KUR \ImojOxnā\i, \Imosgaʔānā\i, \ImosOgnā\i to create smoke, smoke anything, fumigate; \ImōjxOrnā\i, \ImosgOrnā\i to smoke, emit fumes; MLT \Imog̣je\i to fumigate; \Imog̣tre\i to cause to smoke; \Imog̣are\i charcoal, soot.|5131
473|*mōX-|to eat|891|mōxnā (pass.refl. mōxrnā) "to eat (anything except cooked rice)"|mōqe "to eat (as meat or fruit)"||Also KUR \Imōxtaʔānā\i to cause or allow someone to eat.|5127
474|*mōc|to cut|0|mōcnā "to cut up into convenient pieces any object too large for use, give a cut in or through"|mōce "to cut (as meat)"|||5130
475|*mōdr|to forget|0|mōdhrnā|mōthre|||5137
476|*mōṛā|grain bale|0|mō̃ṛā||||5037
477|*muc-|to close|911|muccnā "to close door or lid, shut"|muce "to close or shut up"||Also KUR \Imuccō\i a fishing basket; \ImusUgnā\i to envelop, wrap in, pack into a bundle; MLT \Imusge\i to pack up, tie into a bundle; \Imusgre\i to be closed.|4915
478|*muḍā|bone|0|muḍḍā||||5050
479|*mu-|three persons|953|nubb|||Also KUR \Imūnd\i three things.|5052
480|*mug-ā|baboon|912||muge|||4910
481|*mukā|wife, woman|0|mukkā||||4944
482|*mul-G-|to turn upside down, overturn, capsize (tr.)|859|mulUkhnā|||Also KUR \ImulUkhrnā\i to get upturned, capsize (intr.).|4870
483|*mul-|to tie the hair|955|mulnā (refl. mulrnā) "to tie the hair into a chignon"|mulure "to gather up one's hair into a cue"||Also MLT \Imulutre\i to gather up another's hair into a cue.|5045
484|*mulgVṭā|wrist|2070|mulguṭā||||4673
485|*mulg|to cover, protect|0|mulgaʔanā||||5002
486|*mul-g-|to dip in, draw water|0||mulge|||5124
487|*mul-q-|to sink, founder|970|mulUxnā (mulxyas), munUxnā "to sink, walk or fall into, be submerged, founder, go to the bottom, (sun or moon) sets, get hopelessly lost"|mulg̣e "to dip in, draw water"||Also KUR \Imulxaʔānā\i to precipitate, plunge, let sink, submerge, engulf, wreck, ruin; \ImulUxtaʔānā\i to cause (somebody or something) to be sunk through the agency of a third person, swallow up; MLT \Imulg̣re\i to dive, be dipped in.|4993
488|*mul-q-|to kneel down|886|mulkhrnā "to kneel down with head bowed in the ground"|murg̣re "to lie with the face downward"||Also MLT \Imurg̣tre\i to turn upside down, put under a cover; \Imoqtre\i to bend (head).|5123
489|*mund|first; former|920|munddh, mund "first, ahead of, previous to, before that time, ago"|mundi "formerly, in ancient times"||Also KUR \Imuńjā\i the extremity, beginning, headpoint, end; MLT \Imundoti\i ancient.|5020
490|*mungā|a shrub, the fruits and leaves of which are eaten as curry|0|muŋgā||||4982
491|*munǯ|to finish off, come to the end of, consume, spend completely|0|muńjnā|||Also KUR \ImuńjUrnā\i to come to an end, be completed, die.|4891
492|*munq|(Hahn) to devour|0|munxnā||||4866
493|*munj-ā|hare|922|muńyā̃|mun̲ye|||4968
494|*munj-ī|nose|960|muī̃|mun̲yu|||5024
495|*munjī|the minute pedicle (in pulse grains) which is to develop when sprouting|0|muī̃|||Also KUR \Imuī̃muī̃rnā\i to germinate, either in soil or spontaneously.|4997
496|*mur-|to thunder; to threaten; to speak|926|murrnā "to thunder, esp. with repeated peals, utter threats, threaten"|mure "to speak, say yes or no"|||4973
497|*murā|tail of a beast cut short, tail stump, dock|0|murrā||||5125
498|*mur-|to singe the feathers of a bird preparatory to roasting it|929||murye||Also Malto \Imuthre\i to be scorched; \Imuthrtre\i to scorch|4980
499|*mur-d-|to become perfectly dry, be dried to excess|930|murdnā|||Also KUR \Imurdaʔānā\i to dry to the inside, dry to excess; \Imurjhārnā\i to get quite dry; (Hahn) dry up, wither; \Imurjhaʔānā\i to scorch, parch.|4972
500|*mur-c-/-k-|to twist; to cut up|961|murcnā "to twist and break"|murke "to cut into bits, cut across, cross (as a river)"||Also KUR \Imurcrnā\i to get broken, not to come off or out entire; \ImurUknā\i to abscind, amputate, cut in twain by hacking, cut in small pieces, damage by cutting off a part, mangle, mutilate; MLT \Imurkre\i to be cut to pieces|4975
501|*mur-kā|a k. of tree|933|murkā "Butea frondosa"|murko "name of a tree"|||4981
502|*mur-k-|to sprain|932|murkaʔānā|||Also KUR \Imurkārnā\i to sprain oneself.|5012
503|*mur-mā|marrow|957|murmā||||5051
504|*muṛs-|man|788||muṛse||Also MLT \Imuṛs-maqe\i male child; \Imuṛsoti\i, \Imuṛsti\i of man, belonging to man; \Imuṛso\i male, with reference to plants|4756
505|*mus-|to smile|942|muskārnā, musmusUrnā||||4904
506|*mus-ō|snot|924|mussō "running from the nose"|muso "snot; the nose"|||4909
507|*muṭ-ā|crop-eared; tiger|883|muṭā||||5114
508|*muṭ-k-|to deal a heavy blow with the fist|945|muṭgaʔānā|||Also KUR \Imuṭgā\i, \Imuṭkā\i clenched hand or fist, hammering with the fist; \Imuṭkaʔānā\i to hit or hammer at with the fist.|4932
509|*mūG-ā|frog|2152|mūxā|mūqe|||5023
510|*mūǯ|to liquidate a debt|0||mūje|||5121
511|*mū-kā|knee, elbow|941|mūkā, mū̃kā|mūke||Also KUR (Hahn) \Imukā\i elbow; (Hahn) \Imūkā\i, \Imūkul\i knee; MLT \Imuki\i cubit.|4990
512|*mūnḍ|to strike; to gore|0|mū̃ḍnā (muḍḍyas) "to strike or dash in one's course against some obstacle, stumble"|mūnḍe "to gore"|||5039
513|*mū-nǯ-|to wash the face|868|mūjnā "to wash the face of"|mūnje "to wash another's face"||Also KUR \Imū̃jhrnā\i to wash one's face; MLT \Imūnjre\i to wash one's own face.|4878
514|*mūqā|edge, brink, margin|0|mūxā||||4898
515|*nV̄q-|to breathe, rest, recover oneself|1018|nāxnā|nēg̣ye||Also KUR \Inī̃xcārnā\i to experience a convulsive and somewhat prolonged heaving of the breast, sigh, sob, draw in a long breath; MLT \Inēg̣e\i breath.|3765
516|*naX-|to deal with another|0|nakhrnā (nakkhras) "aux. vb. with idea of reciprocity, dispersion or severance"|naqe "to act or be one to another"|||3571
517|*naḍ-|to caress|0||naḍre|||3787
518|*nal-b-|to clean by rubbing a little water or a moist cloth on|976|nalAbnā|||Also KUR \Inalbrnā\i to rub oneself with oil; (?) \InilIbnā\i to crease, crumble, crush by rubbing between both hands, rub roughly|3611
519|*nal-/*naḍ-|to dance, skip or jump about, bound up (as running water amidst boulders)|979|nalnā (caus. naltaʔānā, naldaʔānā, nalAdnā)|lale (laḍa)||Also MLT \Ilalde\i to make to dance, lead about.|3612
520|*nam-|to reproach|2075||name|||3598
521|*nan|other|0|nannā|nan||Also KUR \Inantarā\i elsewhere, in another direction; MLT \Inane\i another; \Inandu\i again|3628
522|*nan-j-|to do, prepare, harm|984|nannā (nańjas)|nane (nanya)||Also KUR refl.pass. \InanArnā\i, \Inantārnā\i; caus. \Inantaʔānā\i; \InalAkh\i work, action, labour, carrying out, use, efficiency|3589
523|*naql-|uvula|84||naqlu|||33
524|*nar-|flame|0||nare||Also MLT \Inarg̣e\i to rise up in flames; \Inarg̣tre\i to blow up a fire, reproach severely.|2929
525|*nā̆r-|pulse; veins|985|narī "pulse"|nāru "the veins"|||2903
526|*nark-|to claw, scratch|988||narke|||3625
527|*nar-m-|to soften down, render less acute or vehement, render thinner, reduce in point of stoutness|2061|narmaʔānā|||Also KUR \Inarmārnā\i to decrease, diminish; abate; (Hahn) \Inarmaʔanā\i to become less, give way, waste|3608
528|*naṛg-ā|bug|980|naṛgā|naṛge|||3621
529|*naṛ-ī|fever|972|naṛī||||3585
530|*nas-|to cause men or cattle to sicken, languish, or die|989|nasnā|||Also KUR \Inasrnā\i to be ill or pine away.|3575
531|*nāb-|(Hahn) to thresh rice, winnow; (Grignard) tread as paddy, trample, throw down, beat|1080|nābnā||||3769
532|*nād|devil; spirit; idol|0|nād "devil, evil spirit; idol"|nāde "a stone set up in the name of a deity"||Also KUR \Inādas\i devil-worshipper; rascal, rogue, knave; \Inād-xall\i any field where an idol has been set up; MLT \Inādo\i relating to \Ināde\i, or a deity; \Inādo-māku\i the intestines of a slaughtered animal, such as the liver, heart, etc., which are supposed to belong to the gods.|3645
533|*nā-|four things|996|nāx|||Also KUR \Inaib\i four (Grignard, used with animals and things; Hahn, indefinite masc. or fem.)|3655
534|*nāl|low fields, terraced fields|1079|nāl||||2913
535|*nām (obl. nam-)|we (inclusive)|999|nām (obl. nam-, naŋg-)|nām (obl. nam-)|||3647
536|*nānḍ|to rescue, help|0|nā̃ṛnā (naṇḍyas), lā̃ḍnā (laṇḍyas) "to rescue, free, redeem"|nāḍe, lānḍe "to help out of danger"||Also KUR (Hahn) \Inā̃ḍnā\i, \Ilā̃ḍnā\i to set free, rescue, deliver.|3643
537|*nānj-|cold season|997||nān̲ye|||3630
538|*nāsg-|elder brother's wife|1000|nāsgo||||3644
539|*nedg|to fall off, shake off|0|nedEgnā "to fall off (of leaves and fruits), fall through rottenness"|nethge "to shake off (as fruit from a tree)"||Also KUR refl.pass. \InedgErnā\i to dry up (of dew), evaporate; MLT \Inethgre\i to fall in showers (as fruit from a tree).|2923
540|*nek-|to get well|1005||neke|||3735
541|*nen-|grease, fat|1955|nē̃tā "grease, fat, lard"|nen̲ya "fat of an animal"|||3746
542|*ner|snake|1075|nerr|neru|||3752
543|*n-ē|interr. base|457|nē "who (sg.)"|nēreh "who/which man"|One of the three NDR interrogative bases, serving for masc. and fem. forms of the pronoun 'what'; see also *ek-, *endr-.|Also KUR \Inē nē\i who; MLT \Inērith/nēth\i, \Inērer\i which man, woman, thing.|5151
544|*nēg|ceremony, sacrificial rite, received custom|0|nēg||||3763
545|*nēl-ā|tomorrow|998|nelā, (Hahn) nēlā|lēle|||3656
546|*nēr-|to get dry|1020|nērnā (nīryas) "to get dry, lose moisture"|nēre "to get somewhat dry"||Also KUR (Hahn) \Inirnā\i to dry up.|3777
547|*nēj|to ask for, beg, pray (Pfeiffer)|0|nēʔenā (nēcas)||||3602
548|*nind-|to fill|1025|nīndnā, nindrnā "to be filled, (river) is full, (bees) spread over (body)"|ninde||Also KUR \Inindnā\i to fill, pour in up to the brim; MLT \Inindg̣re\i to be filled|3682
549|*nisaṇḍ|core or hard wood of a tree|0|nisaṇḍ||||3736
550|*nisg|to smooth, smooth|0|nisIgnā (nisgyas) "to overlay with a coating of earth carefully smoothed down, stop a hole with earth, besmear with any adhesive substance"|nisg̣e "to smooth"||Also KUR refl.pass. \InisIgrnā\i; MLT \Inisg̣ro\i smooth; \Inīsye\i to shampoo|3666
551|*nijur|embers, live coals, wood glowing with fire, brand|1024|niyū̃r||||2929
552|*nīm (obl. *nim-)|you (pl.)|1034|nīm (obl. nim-)|nīm (obl. nim-)|||3688
553|*nīn (obl. *niŋ-)|thou, you (2sg.)|1035|nīn (obl. niŋg-)|nīn (obl. nin̲g-)|||3684
554|*nīṛ|to rub down, powder, scrape into bits (as medicinal rock, kitchen nuts, etc.)|0|nīṛnā|||Also KUR \IniṛIgnā\i to besmear, soil with dirt, rub; (Hahn) \Iniṇḍnā\i to mark with chalk|3691
555|*nīṛ|sunshine, heat|0||nīṛu|||2910
556|*nol-|to draw out, scoop out|1038|nollnā "to draw out (with a semicircular motion), scoop out as paddy with a winnowing basket, soup with a ladle"|lole "to take out with a spoon"||Also KUR \Inollō\i fishing net, much like the English butterfly net.|3790
557|*nōl|pumpkin|0|nōl|lōlu "pumpkin, gourd"|||3798
558|*nōṛ-|to wash|1087|nō̃ṛnā (nū̃ṛyas)|nōṛe "to wash anything"||Also KUR \Inō̃ṛhOrnā\i to wash oneself, one's own hands, feet, etc.; MLT \Inōḍre\i to wash one's hands and feet.|3783
559|*nōj|to wind or twist anything flexible, twist grass or creeper into rope|0|nō̃ē̃nā||||3726
560|*nuḍ-|to hide, conceal, screen from sight, veil, mask off|1048|nuṛnā (nuḍḍas)|nuḍe||Also KUR \Inūxrnā\i to hide oneself, be kept secret; \InulUgnā\i to insert a thing into another by a sliding push, thrust or slip into or under lengthwise; \InulgUrnā\i to enter into or under, head foremost, creep into; MLT \Inuḍg̣re\i to hide (intr.), disappear; \Ilulqe\i to thrust in; \Ilulqre\i to disappear (as in a crowd or jungle); \Ilulg̣re\i to hide oneself|3714
561|*nuk|to shake, cause to oscillate, esp. up and down|0|nuknā (refl.pass. nukUrnā)|nuke||Also KUR \Inukrū\i shaky, tottering; \Inuktaʔānā\i to cause another to shake something; MLT \Inukre\i to swing, rock, be shaken|3696
562|*nul-q-|to swallow without chewing, gulp hastily, devour|1039|nulxnā||||3791
563|*nu-nǯ-|pain|1089|nuńjnā (nuńcas, nuńjcas) "to smart, pain"|nunje "to pain; n. pain"||Also MLT \Inunjuwre\i to be hurt.|3793
564|*nunq-|to swallow without chewing, gulp hastily, devour|1052|nunUxnā (pass. nunUxrnā)|nung̣e|||3697
565|*nurg|to push, drag|0|nurUgnā "to push back into the fire unburnt ends of logs protruding"|nurge "to drag or draw (as a net)"||Also KUR (Hahn) \Inurgnā\i to shove in, insert, put fuel or half-burnt sticks into the fire; MLT \Inurgre\i to move onward or slide|3711
566|*nusg|to rub, clean|0||nusge||Also Malto \Inusgre\i to rub oneself|576
567|*nut|a kind of very small gnat|0||nuto|||3715
568|*nūt-|to touch|0|nūtnā "to plunge the hand into, touch, defile"|nūte "to touch, meddle"|||3724
569|*nūd|to make straight|0||nūde|||2922
570|*nūq-|to bow, droop|2150|nūxnā, nū̃khnā "to bow (the head), keep down (the eyes); silence, defeat, put down"|nūg̣e "to droop, walk or behave without energy"|||3723
571|*nūtr|to stretch out the legs|0|nūtUrnā "to stretch out one's legs in sitting or lying down"|nūtre "to stretch out the legs when lying down"||Also KUR \I\Inūtur okknā\i\i to stretch out one's legs while sitting|3725
572|*od-|to burn|2110|odnā (oddas) "to kindle a fire by means of straw or shavings"|ode "to burn (as fuel)"|||978
573|*odq|to render less tight, detach, get rid of|0|odOxnā (odxas)||||5243
574|*oḍ-|shelter, refuge|1114||oḍe||Also Malto \Ioḍye\i to screen, shelter|969
575|*oḍ-en-|a shield|1102||oḍen̲ṛe|||963
576|*ogoṛ|to tumble down, be rolled down|0||ogoṛe||Also Malto \Iogoṛtre\i to roll down|562
577|*ok-|to sit|1106|okknā (ukkyas) "to sit down, seat oneself, alight, perch, hold a session, come to a standstill, acquire steadiness, reside"|oke "to sit, be situated"||Also KUR \Iokkrnā\i to sit down in order to breathe or recover oneself; \Ioktaʔānā\i to invite to sit down, give firmness to, settle; MLT \Iokete\i to sit down, settle; \Ioktre\i to place, put down, make to sit|930
578|*ok|to be exactly adapting to, fit in well, agree with, tally together|0|okknā (ukkyas/okkos)||||924
579|*ol-q-|to cry|1109|olOxnā (ulxyas) "in phrase \Icīxnā olOxnā\i to bewail, lament"|olg̣e "to cry, weep"|||996
580|*ond|one|1113|ōn, ōnd "one whole, one full"|ond "one (thing)"||Also KUR \Iōndkitā\i at one time, once; MLT \I-ononti\i one by one (things)|990
581|*on-|sharp|0|onʔnā "(Hahn) to be sharp, cut"|onke "sharp; blade of a knife"|||1024
582|*on-|once|0|oŋghon|||Also KUR \Ioŋghonum\i at the same time, together; \Ioṇṭā\i one thing.|990
583|*op-|to wet; soft|2131|opnā (refl.pass. oprnā) "to wet, soak (with a view to softening and preparing for work)"|oprare "to become soft (as earth by water)"|||981
584|*orb|to fall in showers|0||orbe|If not borrowed (a strange \I-rb-\i in Malto).||761
585|*or-d-|to support|1122|ordnā||||721
586|*ord-|to take shelter|0|ordrnā||||969
587|*orq|nail|1103|orOx|orgu|||561
588|*ort|one|1119|orOt "one man or woman"|ort "one (adj., of persons)"||Also KUR \IotOx\i, fem. \Iutxī\i alone, lonely; \Iorāsari\i equal, at the same time; \Iormā\i all; \Ihormā\i, fem. \Ihurmī\i id.; (Hahn) \Ihormar\i, (Bleses) \Iormar\i id. (masc.pl.); MLT \Iorte\i one man; \Iorti\i one woman; \Iortg̣e\i alone; \Iortononti\i one by one (persons); \Iorme\i all.|990
589|*oṛg-|to press; to blunt|1101|oṛOgnā (oṛg-/oṛgc-), oṛgaʔānā "to press, flatten, trample out of shape, kill by crushing throttle"|oṛge "to blunt"||Also KUR \IoṛOknā\i (\IuṛUkhyas\i) to crush out of shape, cause to wither, kill (plant); MLT \Ioṛgre\i to become blunt|954
590|*oṛ-k-|bark|1667|oṛOk, oṛok "bark of tree"|oṛku "bark, husk, peel, scale"||Also KUR \IoṛOknā\i (\IuṛUkyas\i) to strip a tree of its bark; MLT \Iōṛye\i to peel, unveil, drive away (as wind does the clouds)|757
591|*oṛm-ā|ashes|1099|oṛmā "lampblack"|oṛme|||995
592|*osgā|rat, mouse|0|osgā "rat"|osge "mouse"|||941
593|*otā|burden; heavy|1970|otthā "burden; heavy, difficult, hard to suffer, important"|ote "heavy, important"|||977
594|*ot-r-|to take out, bring out, expel|0|otthOrnā (otthras)|otre||Also KUR \IondOrnā\i (\Iondras\i) to bring, take along, take for wife; MLT \Iondre\i to bring.|976
595|*oṭ-ā|shore|1093|oṭṭā||||965
596|*oṭqā|joint; ankle|0|oṭṭā "joint in a bamboo stem, knot in a plank, bony protuberance of limbs; (Hahn) a joint of the limbs or fingers"|oṭg̣e "ankle"|||955
597|*oj-|to take; take away|1104|hoʔonā (occas/hoccas) "to take, receive, transport, conduct"|oye (oc-) "to take away"||Also KUR refl. \Ihoʔornā\i; pass. \Ihōtārnā\i; caus. \Ihōtaʔānā\i.|984
598|*oŋG|to be drunk|0|oŋgkhnā, uŋgkhnā (uŋgkhyas) "to get drunk, be intoxicated"|onqe "to be under the effect of drink or poison, be intoxicated"||Also KUR \Ioŋgkhtaʔānā\i to make drunk, produce loss of sensibility (as cold or chloroform), turn the head of; MLT \Ionq-male\i drunkard; \Ionqtre\i to take effect (as poison)|936
599|*ōg-|to swim, float|1131|ōgnā (ūgyas)|ōge||Also KUR \Iōgrnā\i to be swum across, (tank or stream) supports; \Iōgtaʔānā\i to make swim, float (trees, etc.)|1031
600|*ōǯ|to twist|0|ōjnā "to spin, twist"|ōje||Also KUR \Iojjnā\i to sew, stitch together; MLT \Iōjg̣re\i to be twisted|1012
601|*ōl-|to be on fire, (crop) is scorched by excessive heat|1141|ōlnā|||Also KUR \IolOdnā\i to set fire to, scorch.|1001
602|*ōl-|to hide|1111|ōltā nannā|||Also KUR \Iōlā\i resting-place of a wild beast, hiding-place or lair.|1015
603|*ōn-ḍ-|to drink|1651|ōnnā (oṇḍas) "to drink, eat (rice)"|ōne (onḍ-) "to drink, be coloured"||Also KUR \Iōnkā\i thirst; \Iōntaʔānā\i to give a meal, make drink; MLT \Ionde\i to drink, colour, dye.|600
604|*ōr-|warm, hot|1139|ōrnā "to be warm weather, be heated (e.g. iron, body with fever)"|ōrtre "to make red-hot"||Also KUR \Iōrtaʔānā\i to warm, heat; MLT \Iōthre\i to become red-hot.|1064
605|*ōr-|(Hahn) to suffer willingly|1138|ōrnā||||1063
