NUMBER|PROTO|MEANING|PRNUM|KOLAMI|KOL̲KIN|KOL̲SR|NAIKRI|NAIKI|PARJI|OLLARI|SALUR|POYA|S̲3|ADDITION|NOTES|DEDNUM
394|*ǯer- (*-r̲-)|centipede|1848||||||jerri, (S) cerri|||||||2797
395|*ǯēn-|span|0|zēna "span (measurement)"||||||||||||2444
396|*ǯēr-|sp. snake|1824||jērigag||||jēri|||||||2816
397|*ǯiṬ-|to stick to|1850||||jiṭkip- "to stick to (tr.)"||cin- "to stick, adhere"|||||Also Parji caus. \Icinip-\i (\Icinit-\i)|Parji \Icin-\i probably does not belong here.|2516
398|*ǯiḍŋ-|cattle-bell|0|ziḍŋga|||||jinna|||||||2515
399|*ǯilal|small bell|0|zilal "small bell (one of a string) on strap on bullock's neck"||||||||||||2572
400|*ǯiṭ-|lightning|0|||||||||jiṭki||||2759
401|*ǯok-|slowly|1853|||jokāḍ||||||||||2871
402|*ǯol|saliva|276|zoll "(Pat.) saliva"||||||||||||2862
403|*ǯom-|broth|0||jomma|||||||||||2851
404|*ǯon-|juwar, maize|1851|sonna (pl. sonnal) "great millet"||||sonna "juwari"|jenna (pl. jennel) "small maize, juwar"|jōnel "maize"|jonnēl "cholam, millet"|||||2896
405|*ǯuṭ-|tuft of hair|1854|juṭṭi "(Br) tuft of hair"||||||||||||2655
406|*ǯuv|pipal|1855||juvi "pipal, Ficus religiosa"||||jū meri "sp. Ficus"|||||||2697
407|*ǯuŋ-|cloth|0||juŋne "dhoti"|juŋe||||||||||2648
408|*ǯūral|cricket|0||||jūrol||jūral|||||||2732
409|*kac-|to bite, sting|531||kacc- "to bite"||||kacc-|kas- "to bite"|kacc- "to sting"|||||1097
410|*kac-|sword|0|||kaccī||||||||||1096
411|*kaḍas|sambur|719|kaḍas "sambur deer"|||kaṛas "sambur deer"|||||||||1114
412|*kad(u)r|a k. of spindle|468||||||||||kadur "an instrument used to spin threads from cotton"|||1195
413|*kaḍ-|bitter|471|keḍed "(Pat.) severe"|||kaṛu "bitter, sour"|||||||||1135
414|*kaḍ-|to cross; to go beyond|718||||||kaḍa (pl. kaḍel) "end, side"|karp- (kart-) "to cross"|karr- "to yean"|kar- "to give birth to"|kar- (kaṭ-) "to drop, give birth to"|Also Parji \Ikaḍp-\i (\Ikaḍt-\i) to cross; \Ikaḍ-\i (\Ikaṭṭ-\i) to throw (normally used as aux. verb)|More often used with the causative meaning 'to throw out, bear' \I*kaḍp-\i.|1109
415|*kaḍ-|sod|0||||||kaḍu|||karu ḍela "a clod of earth"||||1363
416|*kadl-|to move|467||||kadal- (-t-)||gadl- "to shake, tremble"|||||||1188
417|*kaḍjak|tiger, panther|476|keḍiak "tiger"|||khaṛeyak "panther"|||||||||1132
418|*kaǯ-|itch|541|||||khaj|kajra|||||||1104
419|*kakar-|partridge|0||kakkare||||kākral|||||||1078
420|*kak-|to vomit|482||||||||||kak-|||1079
421|*kaḷ|liquor|490||kal||kaḷ|||||||||1374
422|*kal- (*-e-)|to dig|0||||||kelc- "to dig holes (as rats)"|||||Also Parji \Ikeloŋg el\i bandicoot||1319
423|*kal-|to do; to be|483|kal- (neg.), kalt- "(present-future paradigm, present-future or past in meaning) possibly be, may be"||kall-, kal- "to do"||||||||||1300
424|*kal-|to dream|503|kala "dream"|||kala "dream"||kelay-|kirk- (?)||||Also Kolami \Ikars-\i (\Ikarast-\i) to see a dream; Parji \Ikelaykuḍ\i dream|Ollari \Ikirk-\i most certainly does not belong here.|1407
425|*kaḷ-|threshing floor|491|kalave "workshed in field"|kalave||kaḷave|kalay|kali|kalin||||||1376
426|*kal-aj-|to be mixed|721|kalay- (kalayt-) "to be mixed (liquids, fluids)"|||kalay- "to mix (intr.)"|||||||Also Kolami \Ikalp-\i (\Ikalapt-\i) to mix (tr.); Naiki \Ikalap-\i id. (tr.)||1299
427|*kal-|noise|485|||||kalla||||||||1302
428|*kaḷ-|a k. of plant|0||||||kalla "Dillenia aurea"|||||||1316
429|*kal\L1\l|stone|488||||khalbada "stone slab for pounding"||kel|kanḍ|kanḍu (pl. kanḍkil)|||||1298
430|*kam-|nose-ring|496|||||||||kami||||1245
431|*kamp|a smell|497|kam||kamp|kap "smell, odour"||||||kampu "bad smell"|||1247
432|*kamp-|thorn hedge|0||||kappa|||||kampa "thorny bushes used for fencing"||||1235
433|*kaṇ|eye|505|kan (pl. kanḍl) "eye, small hole in ground, cave"|||kan (pl. kanḍḷ) "eye, spot in peacock's tail"|kan (pl. -l)|kan (pl. kanul) "(S only) eye"|kaṇ (pl. kaṇkul)|kanu (pl. kankul)|||Also Ollari \Ikaṇul maṭṭa\i eyebrow; \Ikaṇa\i (pl. \Ikaṇul\i) hole||1159
434|*kanḍ-|to see|558|kanḍt, kanḍakt "seen, visible"|||kank er- "to appear"||kanḍp- (kanḍt-) "to look for, seek"|kanḍp- (kanḍt-) "to search"||||||1443
435|*kanḍ-|flesh|500||||khaṇḍe "piece, piece of flesh"||||||kaṇḍa "muscle"|||1175
436|*kand-|beads|0||||||kandi (pl. -l) "necklace, beads"||kandiṭ "bead"|kandi (pl. -l) "bead, (pl.) necklace"||||1215
437|*kanḍ-|joint|0||||kanḍe "joint in bamboo"|||||||||1946
438|*kaṇ-nīr|tears|0||||||kan nīr "(S) tears"|kanīr||||||1159
439|*kanc-|to yoke|366||||||kañcip- (kañcit-) "(S) to fasten bullock to yoke"||kanuyk- (kanuyt-) "to yoke bullocks to cart or plough"|kanuyk- (kanuyt-) "to yoke bullocks to cart or plough"||||1099
440|*kap(a)ṭ-|cricket|510||||kapaṭe "cricket (or a kind of bird; meaning not certainly recorded)"|||||||||1216
441|*kap-|to cover|723||||||kapp- "to cover, overspread"|||||||1221
442|*kaṛ|field|560|vē-gaḍ (obl. vēgaṭ-)|vē-gaṛ "burnt field for shifting cultivation"|||||||||||1438
443|*kaṛad̲-|(lightning) to strike|0|karadil- (karadilt-) "lightning strikes (subject \Iabar\i sky)"||||īj kaṛalil- "lightning strikes (\Iīj\i < IA)"|||||||In Naiki assimilation \I*-d̲-l-\i > \I-l-l-\i.|1354
444|*kard-|pigeon pea|0||||||kerdi|||kardi (pl. -l)||||1213
445|*kar- (*-r̲-)|to learn|489|karp- (karapt-) "to learn, teach"||karāp-|karap-|||||||Also Kolami̲SR \Ikarīl-\i to understand||1297
446|*kar-|black; to burn|517||kārī "black"|||karan, karen, kareyan "black"|ker-, (S) kerv- "to burn (intr.)"||karid- "to burn away as rice"|||Also Parji \Ikerip-\i (\Ikerit-\i), (S) \Ikervip-\i (\Ikervit-\i) to burn (tr.); Salur (P) \Ikarv-\i to burn (intr.); \Ikarup-\i id. (tr.); \Ikarup din\i summer||1278
447|*kar-|to call; to shout|516|||||karug-/karuk- "to call, crow, invite, summon"|kerip- (kerit-) "(S) to cackle"|||||Also Naiki \Ikarup-\i to cause to summon (a physician)||1291
448|*kaṛ-|stick|371||||||kaṛcid (pl. kaṛcil) "wood for fuel"|kaṛsid (pl. kaṛsil) "wood for fuel"|kaḍcil "wood for fuel"|kaṛmeṭ||Also Parji \Ikaṛpa\i thin stick, twig, beanstick; Salur (P) \Ikanve\i stick; \Ikanḍven\i (pl. \Ikanḍvēl\i) id.||1165
449|*kar-|rust|0||||||kernḍa|||kari||||1395
450|*kar-|salty|514|karoṭ "(Pat.) salty"||||||||||||1466
451|*kark-|mango|0|||||||karke "unripe mango"|karke|||||1281
452|*kaṛl-k-|bamboo|0|||||karrka|karri (pl. karrul) "bamboo shoot"||||||Reconstruction confirmed by external data. Inlaut \I*-ṛ-\i is suggested by Parji (no development \I*-a-\i > \I-e-\i).|1353
453|*kar̲nḍ-|cloth|524||khanḍva|kandvā "dhoti, garment"|khanḍa, khanḍva||ganḍa|garnḍa||||||1180
454|*kar̲v (*-r-)|hunger|525|karu|||karu||||||karuvu "famine"|||1286
455|*karv-|cold|0|karvun "(Pat.) cold"||||||||||||2168
456|*kar̲|sapling|502||||||kar (pl. -kul)|||||||1411
457|*kar̲- (*-r-)|necklace|0|||||kara "silver necklace"||||||||1506
458|*kar̲-|quill, tooth|521|garr "(Wagh.) quill of porcupine"|||||karra "(S) quill of porcupine, tooth of comb"||||||Kolami \Igarr\i contaminated with \I*gar̲\i 'feather'.|1389
459|*kar̲k-|myrobalan|526||||||karka "chebulic myrobalan"|||||||1134
460|*karŋ-|to melt|515||||||||||karŋ-ēr- "to be melted"|||1292
461|*kasur||0|kasur "(SSTW) cart"||kāsul, kāssul "cart"||||||||||1092
462|*kaṭ|soup|536||||||kaṭ|||||||1150
463|*kat-|to cut down|532|katk- (katakt-) "to strike down (man), break down (tree)"||||katuk-/katk- "to cut with axe"|katt- "to cut down (tree), slaughter, sacrifice"|kat- "to cut, sacrifice"||||||1208
464|*kaṭ-|to tie, bind; platform, dam|534|kaṭ- (kaṭt-) "to tie, build"|kaṭṭa "bund of field"|kaṭṭā "platform"|kaṭṭ- "to tie, build"|kaṭ-/kaṭṭ- "to bind, tie hair, build, attach bowstring"|kaṭṭ- "to tie, build"|kaṭ- "to tie, build"|kaṭṭ- "to bind"|||Also Naikri \Ikaṭṭa\i bund of field, dam, dike; \Ikaṭṭe\i necklace; Parji \Ikaḍk-\i to tie, fasten, bind; \Ikaṭṭa\i bund of field; Salur \Igaṭṭu\i bank|Salur \Igaṭṭu\i is probably (if it is not borrowed) the only surviving form of \I*gaṭ-\i 'dam', which has become totally contaminated with \I*kaṭ-\i in PKG.|1147
465|*kav-ḍ-|to curse|539||||||kavḍ- "to curse, abuse"|||||Also Parji \Ikavḍukud\i, \Ikavḍa kavḍi\i abuse||1341
466|*kavŋ-|armpit|540||||||kavkor, kavkoḍ|kalgil "lap"||||Also Parji \Ikavŋgil\i, \Ikaŋgil\i lap||1234
467|*kavv-|tortoise|0|kavve|||kavve||kavva||kavve|kavve||||1342
468|*kajar|fear, anger|478||||||kayri "an enemy, talebearer"||||kayar "anger, sorrow"|||1089
469|*kāj-|to bear fruit|547|kay- (kayt-) "(fruit) is produced"|||kāyk (pl. kāykuḷ) "fruit"|kayek "unripe"|||kekin (pl. kekil) "fruit"|||Also Kolami̲Hislop \Ikeik\i unripe fruit|Derivative \I*kayk\i 'fruit'.|1459
470|*kaj-|a k. of fish|480|kaye "fish"|||kayye "fish"|kayye (pl. -l) "fish"|key "sp. fish"|||||||1252
471|*kaj-|to defecate|530||||||kay- (kañ-)|||||||1356
472|*kajŋ-|to laugh|0|kayŋg- (kayaŋkt-)|||kayŋg-|kayŋ(g)-||||||Also Kolami \Ikayŋgekan\i man who is in a jesting relationship with female (essentially, cross-cousin); fem. \Ikayŋgekad\i; Naiki \Ikayŋga\i wife's younger sister, husband's younger sister; \Ikayman\i (pl. \Ikaymar\i) husband's younger brother, wife's younger brother||1256
473|*kāḍ|weed|544||||||kāḍ|||||||1439
474|*kād̲ (*-ē-)|broth|0||||||kēd|||||||2484
475|*kā-|to graze; to herd|546|kay- (kayt-) "to graze (cattle)"|kay- (kayt-) "to watch (crops)"||kay- "to graze (cattle)"||kāp- (kāt-) "to wait"|kāp- (kāt-) "to wait, watch, keep awake"|kā- "to herd (cattle)"|||||1416
476|*kāk-|crow|549|kāka|||kākal||kākal (pl. kākacil)|kākal (pl. kākasil)||||||1425
477|*kāk-|shell-fish|1916||kāke||kāke "shell-fish, snail"|||||||||1423
478|*kāk-|brinjal|0||||||kākanḍi (pl. kākacil)|kākal (pl. kākasil)||||||1422
479|*kāk-|abuse|0|kākl āḍ- (aṭṭ-) "to abuse"||||||||||||1426
480|*kāl|leg, foot|551||kāl||||kēl (pl. kēlul) "leg"|kāl (pl. kālgil) "leg"||||Also (Glasfurd) Parji \Ikaloo\i id.||1479
481|*kāḷ-|to smart|555||||||kāl-|||||||1500
482|*kānǯ-, *kāv-, *kāS-|to carry; carrying yoke|562||kāvaṛi "carrying yoke"||||kāñ- "to carry with carrying yoke"|kā̃j-, kāñ- "to carry with carrying yoke"|kānj- "to carry on the shoulders"|||Also Parji \Ikācal\i carrying yoke; Ollari, Salur \Ikāsal\i carrying yoke|Several roots; see also the corresponding PGn forms.|1417
483|*kāp|diaper|0||||||kāp "small piece of cloth covering the privities"|||||||1452
484|*kāṛ|a k. of grain|0||||||kāṛ "kind of grain called in Halbi kōdon"|||||||1493
485|*kāt-|anger|0|kāti (? kaati) "anger, hate"||||||||||||1186
486|*kāj-/*kāŋ-|to be hot|548|kāŋg- (kāŋkt-) "to become hot"|||kāŋg- "to become hot"|kāp- "to heat, boil"|kāpip- (kāpit-) "to heat"|kāyp- (kāyt-) "to boil (tr.; water, etc.)"|kāykil "fever"|||Also Kolami \Ikāŋgip-\i (\Ikāŋgipt-\i) to heat (tr.); \Ikāp-\i (\Ikāpt-\i) to boil (tr.); Naikri \Ikāp-\i to fry, boil; Naiki \Ikāy-\i to be hot; \Ikāyta\i hot; Parji (S) \Ikā̃ka\i heat of boiling water; Ollari \Ikāykir\i fever||1458
487|*kāŋ|butt of axe|0||||||||||kāŋ|||1454
488|*ked̲-|to shut|564|get- (gett-) "to close (door) firmly, lock up"|||||kedp- (kedt-) "to shut (door), lock up"||keṭ-||||Voiced \I*-d̲-\i is seen from Parji \Ikedp-\i; in other cases there has been secondary devoicing due to causative conjugation.|1980
489|*ked̲ub|knife|0||||||kedub, (S) kerub, (NE) keḍub|kiyub|kiyyūb (pl. kiybūl)|||||1984
490|*kel- (*-a-)|side|574||||||kela "side (in: \Iā kela\i, \Iakla\i that side; \Iī kela\i, \Iikla\i this side)"|||||||1969
491|*kelŋam|yoke|0||||||kelŋgam|kelmaŋ, kelman|||||Metathese in Ollari.|1974
492|*ker-|to lean|588|sēr- (sērt-) "to lean (intr.)"||||||||kerŋ- "to lean (intr.)"||Also Kolami \Isērp-\i (\Isērept-\i) to lean (tr.); Salur (P) \Ikerp-\i (\Ikert-\i) id.|Kolami forms are borrowed from Telugu.|2012
493|*ker-|side|577||||||keri|||||||2008
494|*ker-|story|587|||||||||keral "story, tale"||||2006
495|*ker-, *kir-|to shave; to scratch|579|kerk- (kerekt-) "to shave"||kerreŋ "to sharpen"||ker- "to shave"|kir-, kirv-, kirc- "to scratch"|||||Also Parji \Ikirp-\i (\Ikirt-\i) (fowl) scratches|We probably have to deal with two different roots here, since there is no way to explain the correspondence Kolami, Naiki \I-e-\i - Parji \I-i-\i (and there are differences in semantics as well).|1564
496|*keriǯ|umbrella|0||||||kerij (pl. kerjil) "leaf hat-umbrella"|kerij (pl. kerjil) "leaf hat-umbrella, mushroom"||||||1968
497|*ker-ǯ- (*-a-)|to warm oneself|578||||||kerj- "to warm oneself by the fire"|||||Also Parji \Ikercip-\i (\Ikercit-\i) to warm somebody else||1967
498|*k̂erp-|shoe, sandal|731|kerri "shoe"|||kerri "shoe, boot"|keri (pl. -gu), kerig "shoe, slipper"|cerup, cerpu "sandal"|||||||1963
499|*kev-|ear|581|kev|||kev|kev (pl. -ul/-ulgu)|kekol (pl. kekocil)|kekol (pl. kekosul)|kekkōl||||It is not quite clear whether we should trace \Ikekol\i, etc., back to \I*kev-kol\i or if it is just an assimilation, i.e. < \I*kev-ol\i.|1977
500|*kej|hand|567|kī (pl. -l), (Haig) kīy, (Hislop) kiyu "hand, arm"|key "hand, arm"|key "hand, arm"|kī (pl. kīḷ) "hand, arm"|kī (pl. kīlku, kīkul)|key|ki (pl. kil)|kiyyū (pl. kiyyūl, kiykīl)||kiy|Also Gadba̲S3 \Ikiy\i hand||2023
501|*kej|red|568||||||key "dark red, reddish brown"|||||||1931
502|*kej-|to do|570|kak- (kakt-; also ka- instead of kak- in the present) "to do, make; have sexual intercourse"||||kak-||key- (ked-, ken-)|key-||||Kolami and Naikri forms contaminated with forms like Naikri \Iakk-\i, see \I*ā-\i.|1957
503|*kejl-|to be understood|572|kel- (kelt-)|||kayil-, keyil-, kēl|||||||Also Kolami \Ikelip-\i (\Ikelit-\i) to make to be understood||2017
504|*kēd̲-|to winnow|734|kēd- (kētt-) "to winnow with up-and-down motion"|||kēd-|kēd- (kētt-)|kēd-, (NE) kēḍ-|kēy-|kēy-|||Also Kolami \Ikēt\i, Naikri \Ikēt\i, Naiki \Ikēt\i (pl. \I-ku\i), Parji \Ikēti\i, (NE) \Ikēṭi\i, Ollari \Ikēṭi\i, \Ikēṭin\i, Salur \Ikēṭen\i (pl. \Ikēṭkil\i), Gadba̲S3 \Ikēṭiŋ\i winnowing basket|The derivative is \I*kēt̲\i 'winnowing basket'.|2019
505|*kē-|bitter|477|sēnd|||||kēp- (kēt-) "to be sour or bitter"||kēmbur, keymbur|||Also Parji (S) \Ikay-gaṭṭa\i bile|Kolami \Isēnd\i probably borrowed from Telugu.|1249
506|*kē-|to sleep|583|kēp- (kēpt-) "to make (child) to sleep"||||||||||||1990
507|*kēn|field|569||kēn|keṇ|kēn||kēn "(S) field for shifting cultivation"|||||||1958
508|*kēnd-|feather|585||||||kēndid (pl. kēndil)||kenduṭ (pl. kendukul)|kendiṭ|kendiṭ "hair"|Also Salur \Ikendī\i (pl. \Ikendikīl\i, \Ikendikūl\i) hair||2002
509|*kēr-|to shout|586|kēri "noise, shout"|||kerkiṛ- (kerkiṭṭ-)|||||||||1960
510|*kēs-|to shave|2020||||||kēc-|kēs-||||Also Parji \Ikēma\i razor; Ollari \Ikēsal\i razor||1995
511|*kēt̲-|widow|0||||||kētal, (NE) kēṭal|kēṭal||||Also Parji \Ikētub\i widower; \Ikētub cind\i orphan||2028
512|*kēj-|snipe|582||||||kēya "(S) snipe or similar bird"|||||||1994
513|*kic|fire|178|kis|||kicc|kic|kic|kis|kiccu|kismul "fireplace"||||1514
514|*kickic-|disgust|0||||||kickica||||||Expressive.|1511
515|*kiḷ- (*-l-)|parrot|593||||||kil (pl. kilkul)||killiŋ (pl. kilkīl)|||||1584
516|*kiLŋ-|verdigris|594||||||||kiluŋu|||||1586
517|*kind-r-|to revolve|0|||||||kindrap- (kindrat-) "to make to revolve"||||||1554
518|*kin-|cold|2024||kinani|kinām||||||||||1601
519|*kini-|to break|0|kini- (kinit-) "to break into pieces (intr.)"||||kinup- "to break, crack knuckles"||||||Also Kolami \Ikink-\i (\Ikinikt-\i) id. (tr.)||1604
520|*kipr-a|shell|597||||||kipra "a snail's shell"|||||||1555
521|*kiṛ-|root, tuber|0|||kirre "roots"|kirre|||||||||1578
522|*kiṛ-|below|602||||||kiṛi|||||||1619
523|*kir-v-|to grope|0|kivar- (kivart-) "to feel for in darkness"||kirāv- "to search"|kiray- "to seek"|||||||||1561
524|*kiṛ-i-|to pluck|603|||||ki-||||||||1581
525|*kis-k-|to pinch|604|kīseng "(Pat.) to pinch"||kism-||kis-/kicc-|kīk-|kisk-|kicc- "to pluck"|||Also Parji \Ikicc-\i to pluck (strings of instrument with finger)||1513
526|*kiṭ-|waist|0||||||kiṭṭa "hip"|kiṭṭe||kiṭe pūn "hipbone"||Also Parji \Ikiṭa guññi\i hip, waist||1537
527|*kiṭ-k-|to be silent|0||||||kiṭk-||kiṭke er-|||Also Parji \Ikiṭukre\i silently||1533
528|*kijal-|bad|0||||||kiyalto|||||||1250
529|*kijb-|a k. of yam|571||||||kībi (pl. kībul) "Arum colocasia"|||kiyub "Colocasia antiquorum"||||2004
530|*kīk- (*-r̲k-)|boy|599|||kīke|kīke "son"|kīken (pl. kīker) "son"|||||||Since there are no contradicting data from Parji-Gadba (where the resonant is usually preserved), an inlaut *-r̲- can be supposed.|1594
531|*kīp-id|comb|608||||||kīpid "a comb"|||||||1610
532|*koḍ-val|sickle|617|koḍval (pl. koḍvasil)|koṛva||koṛval|||||||||2054
533|*koǯ-|cup|0|||kojā||||||||||2191
534|*kok-|cloth|0|||||kok(k)e "cloth (for women)"||||||||2181
535|*kokl-|to cough|0||||||kokl-|||||Also Parji \Ikōkli\i a cough||2127
536|*kol-|horse gram|626||||||kol (pl. kolkul) "Dolichos uniflorus"||kolut||kolup|||2153
537|*kom|branch, horn|628|kom "branch of tree, horn"|||komm "horn"||||kommu "horn"|||||2115
538|*komb-aḍ|distant|627|||||kombaṛ, (LSI) khōmbāḍ "far"|komaḍ|||||||2116
539|*kom-|to cough|0||||||kom-||kodm-|||Also Salur \Ikodumkur\i a cough, coughing||1964
540|*konḍ-|a k. of ant|0||kanḍa "a big ant"||||||konḍkī, (S2) konḍke "large black ant"|||||2096
541|*konḍ-|hook|632||||||kũḍaŋgey "elbow"|konḍke "billhook"||||Also Parji \Ikoḍka\i billhook||2054
542|*kond-|dumb|630||||||kondal, kōndal|||||||2097
543|*kond̲-|hill, mountain|631|||||kod "hill"|kondi (pl. kondkul) "mountain"||konḍekor "the Gadbas near Salur"||koṇḍavān "a hill-man"|||1864
544|*kop-/*kup-|to fill; heap, stack|686|||kupp kal- "to gather"|||kuppa "stack, mound"|kop- "to be full, (river) overflows"|kuppā "heap"||kop- "to be full"|Also Parji \Ikopp-\i to be full; \Ikopip-\i (\Ikopit-\i) to fill up; \Ikopa\i full; \Ikoppa\i small hillock; Ollari \Ikope\i hill, forest; Gadba̲S3 \Ikopup-\i to fill (tr.); \Ikoppen\i full|Evidence for two roots here, indeed, confirmed by external data.|1731
545|*kopl-|mouth|0|kopli|||kopli||kuploŋg "cheek"|||||||2114
546|*koṛd-|bandicoot|0||||||koṛdel el, (S) kōḍel|||||||2068
547|*koṛ-|young|661|kovve "young of bird or animal"|||kovve "young of bird or animal"|komma "daughter"|koṛ "very young"|koṛal "son's wife, younger brother's wife"|koḍus-, koḍc- "to sprout"|koṛuŋ "young shoot"||Also Kolami \Ikoral\i younger brother's wife; \Ikommal\i (pl. \Ikommasil\i) daughter; Naikri  \Ikoraḷ\i daughter-in-law, bride; \Ikommaḷ\i (pl. \Ikommaśil\i) daughter; Naiki \Ikola\i bride,  son's wife, younger brother's wife; Parji \Ikoṛuŋg\i new shoot, sprout; \Ikoṛc-\i to sprout;  \Ikoṛol\i bride||2149
548|*koṛ-, *ko-|to bring|640|kor-/ko- (kott-; imper. kota, kotar) "to bring (imper. \Ikō\i, \Ikor\i give!)"|||koy- (kor-)|kor-/ko- (kott-)||||||Also Kolami \Ikos-\i (\Ikost-\i) to carry away, take; \Ikosi-\i (\Ikosit-\i; < \Iko-sī\i-, with \Isī-\i to give) to take and give to someone; Naikri \Ikos-\i to take; ? Parji \Ikonṭub\i a hook||2151
549|*kork- (*-r̲-)|to bite|615|kork- (korokt-) "to bite, sting"|kork- (korokt-) "to nibble"||kork-||kork- "to cut with the teeth or scissors, gnaw, nibble"||||kork- (koruk-) "to gnaw"|||2164
550|*koṛv-|fat|641||koru "fat (n.)"||koru "fat (n.)"||koṛ-, (S) koṛv- "to be fat"||koḍukuṭ|koṛkut|koḍukuḍ|Also Parji \Ikoṛukuḍ\i fatness, fat||2146
551|*kor̲|hen|614|kor (pl. koḍl)||kor (pl. koḍl) "cock, fowl"|kor (pl. koḍḷ)||korr (pl. -ul) "cock, hen, fowl"|kor "cock"|korru (pl. korgūl) "cock"|||||2160
552|*kor̲-k-|to itch|658||kōk-|kok- "to itch, scratch"|kokk- "to itch, scratch"|||||||||2257
553|*koṭ-|small stick|0|koṭṭe "small stick, match"|koṭṭe "arrow"||koṭṭe|||||||||2071
554|*koṭ-|to strike|0||||||koṭṭ- "to strike with axe"|koṭ- "to strike with axe"||||||2063
555|*koṭ-k-|shed|645|konṭoḍi "(Pat.) henhouse"|koṛka "cowshed"|korkā "cowshed"|khoṭa "cowshed"|koṛka "cowshed"||||||||2058
556|*koṭ-k-|to peck|644||||koṛk-||koḍk-|koṭ- "to dig, (fowl) to peck"|koṭ- "to bite (as a snake)"|||Also Parji \Ikoṭṭ-\i to peck, dig; \Ikoṭal\i hoe; Ollari \Ikoṭal\i hoe, spade||2064
557|*koḍ-|point, edge|618||koṛi "point"||||kūṭor "cock's comb"|||||||2049
558|*kovanc-|spider|646|||||||||kovãse||||2195
559|*kov-|red-faced monkey|0||||||kovva|||kove||||2142
560|*kov-|to jump|0||||||||||kovk- (kovuk-)|||1736
561|*koj-|to reap|621|||kayīpeŋ "to cut (hair)"|||koy- (koñ-) "to reap, harvest"|koy- (kod-, kon-)|koy- "to cut"|||Also Parji \Ikōval\i stubble||2119
562|*koj-|stick, stalk|622||||koyya "stalk of jowar"||koyya "stick, drum-stick, thorn, sting"||koyya "quill of porcupine"|||||2120
563|*koj-|lean|0||||||koyyal|||||||2041
564|*kojl-|a k. of millet|616||||||koyla "Panicum italicum"|||||||2163
565|*koŋ-/*kok-|crane|638||koŋga||||kokkal (pl. kokkacil)||kokkāle (pl. kokkāsil) "heron"||kokalin|Also Salur \Ikoŋalin\i (pl. \Ikoŋasil\i) crane||2125
566|*kōḍ|horn|649||||||kōḍ (pl. kōḍul)|kōr (pl. kōrgul)||||||2200
567|*kōḍ-|bull, calf|648|kōḍē "(Haig) bull"|||khoṛe "male calf"|||||||||2199
568|*kō-|to string|651|kōnz- (kōnst-), (Pat.) gōnzeng "to string, thread"|||kōnj- "to string, thread"||kōp- (kōt-)|||||||2176
569|*kōl-|stick, shaft|653||kōla "stick"|kolā "stick"||kōl "pestle"|kōl "shaft of arrow"|||||||2237
570|*kōmṭ-|man of the trader caste|0|||||kōmṭi (fem. kōmṭigra)||||||||2220
571|*kōnd-|bull, bison|654||kōnda "bullock"|kondā "bull"||kōnda "bullock"|kōnda "bison"|kōnde "cow"|kōndē "bullock"|||||2216
572|*kōnd̲-|marking-nut tree|0||||||kō̃di||kōndu maren||kōṇūn|||2217
573|*kōn- (*-ṇ-)|corner|656|||||||||kōne||||2209
574|*kōnṭ-|corner|0|||||kōnṭa|kō̃ṭa|||||||2054
575|*kōnt-|a k. of monkey|655|kōti "red-faced monkey"||||kōti "red-faced monkey"|||kōnti "monkey"||kōti "red-faced monkey"|||1769
576|*kōp-|to tend (cattle)|657||||||kōp- (kōt-)|kōp- (kōt-)||||||2218
577|*kōs|king|652||||||kōc||kōsu|||||2177
578|*kucr-|vegetables, curry|703|kucce "(Br.) curry"|||kucce "cooked vegetables"|kucce "cooked vegetables"|kucca "vegetables, greens"|kuse "vegetables"|kucce "vegetables"|||||1760
579|*kud(u)r|lizard|0||||||kudur ḍokka "a kind of lizard"|||||||1712
580|*kuḍ-|to knock|0|kuḍk- (kuḍukt-) "to pound (grain)"|||kuṛk- "to pound, knock"||kuṭip- (kuṭit-) "to punch, knock (door)"|||||Also Kolami (Pat.) \Ikuḍkeng\i to knock on door; Parji (S) \Ikuṭṭ-\i to strike foot against stone||1671
581|*kuḍ-|to weave, spin thread|0||||||kuḍp- (kuḍt-) "(S) to weave baskets, etc. out of bamboo"|kuruṭp- (kuruṭt-) "to spin thread"|kuruṭk- (kuruṭt-) "to spin thread"|kurp- (kurt-) "to plait split bamboos to make baskets"|kuruḍp- "to spin thread"||Gadba forms are rather strange, pointing to \I*kur-ḍ-\i rather than simple \I*kuḍ-\i. They may not belong here, or there may have been some sort of contamination (what with?).|1653
582|*kudaḷ|spade|421||||kudaḷ|||||||||1722
583|*kud̲-|to cut|668|||||kutuk-/kutk- "to cut (meat)"|kud- (kutt-), (NE) kuḍ- (kuṭṭ-) "to cut; to kindle fire by bamboo stick"||||kuy-|||1859
584|*kud̲g-|thigh|669|kudug (obl. kudg-)|||||kudu (pl. kudul), (NE) kuḍu|kuyug (pl. kuygul)||||||1840
585|*kukonḍ-|leopard|0||||||kukonḍi, (S) kukanḍi|||||||1626
586|*kul-|to measure|0|kul- (kult-) "to count"|||kull-|kul-||||||Also Kolami (Pat.) \Ikulleng\i to measure||1827
587|*kulur|crane|676||||||kulur "a kind of crane"|||||Also Parji \Ikolor\i a kind of crane or heron||1808
588|*kulŋ|stalk|1923||||||kuluŋ (pl. kuluŋgul) "stalk of leaf, handle of spoon"|||||||1807
