NUMBER|PROTO|MEANING|PRNUM|TEL̲1|TEL̲2|TEL̲3|TEL̲4|TEL̲5|TEL̲KR|TEL̲INSCR|MEROLU|ADDITION|NOTES|DEDNUM
1220|*cī-|to gash, rend, tear, cut in slices|184|cīru||||||||Also \Icīruḍu\i tearing; [1] \Icirũgu\i, [2] \Icinũgu\i to be torn or rent; n. a tear or rent; [1] \Icincu\i, [2] \Icimpu\i to tear, rend; [1] \Icimpi\i, [2] \Iciŋki\i ragged, tattered; a rent, tear||2491
1221|*cikil-|to cry tenderly or fondly, as a child|0|cikilu||||||||||2494
1222|*cik-|small, little|242|cikiciki||||||||||2495
1223|*cikkuḍ-|the bean called Dolichos lablab|0|cikkuḍu||||||||||2496
1224|*cikkanṭ-|a sort of long comb with a few big teeth|0|cikkaṇṭu|cikkaṇṭe|||||||||2497
1225|*cikk-|to be entangled, ensnared, be obtained, got, come to hand; n. a tangle, intricacy, difficulty, trouble|179|cikku||||||||||2498
1226|*sigg-|shame, disgrace, dishonour, bashfulness, shyness, coyness, modesty|1423|siggu||||||||Also \Isiggari\i one who is ashamed, bashful or shy (masc. or fem.); fem. \Isiggarikattiya\i (\I-tte\i); \Isiggaritanamu\i bashfulness, shyness, shamefacedness; \Isiggar̲u\i to have no shame; \Isiggīḍi\i a shameless or brazen-faced person||2500
1227|*siŋ-|the great black monkey|0|siŋgilīkamu (B)||||||||||2502
1228|*cikk-|to become lean or thin|0|cikku||||||||||2503
1229|*ǯiŋk-|antelope|1935|jiŋka||||||||||2504
1230|*ciṭ-ik-|a pinch, as of snuff|0||||||ciṭike|||||2507
1231|*ciṭ-il-|to break, snap, crack, burst, etc.|249|ciṭlu|||||ciṭilu|||Also \Iciṭlincu\i id. (tr.)||2510
1232|*ciṭ-|a snap of the fingers|0|ciṭika|||||ciṭuku "to snap the fingers; n. a snapping sound"|||Also \Iciṭikarincu\i to produce a sound by a snap of the fingers; \Iciṭikarinta\i a snap of the fingers; (K) \Iciṭṭa\i a snap of the fingers||2511
1233|*ciṭṭ-|one fourth of the measure called sōla|0|ciṭṭi||||||||||2512
1234|*ciṭṭ-|small, little, young|250|ciṭṭi||||||||Also \Iciṭṭ-eluka\i mouse||2513
1235|*ciṭṭ-|a coloured border or edge of a cloth|0|ciṭṭe||||||||||2514
1236|*ǯiḍḍ-|oiliness, grease or greasiness, unctuousness|1850|jiḍḍu||||||||||2516
1237|*ǯil-|fine cloth; small, slight, fine, delicate|0|jilũgu|jiluvu|||||||||2519
1238|*cin-|a drop, a thin or drizzling rain, drizzle, sprinkle of rain; vb. to fall in drops|182|cinuku||||||||||2520
1239|*cit-|dampness, moisture|0|citacita||||||||Also \Icittaḍi\i damp, moisture, wetness; damp, wet, moist; \Icittar̲i\i the rainy season||2525
1240|*cid-|to be crushed, broken or smashed; break, burst|240|cituku|ciduku|||||||Also \Icidiyu\i to be broken, smashed or crushed, break; \Icidupa\i a bit, fragment, piece; \Icidupu\i to crush, smash, squeeze, break; \Icidumu\i to pinch, nip; [1] \Icidura\i, [2] \Icidurupa\i, [3] \Icidrupa\i a piece, bit, fragment||2526
1241|*cint-|tamarind|1424|cinta||||||||||2529
1242|*cind-|dancing|0|cindu||||||||Also \Icindilu\i to shake, move; [1] \Icindu-drokku\i, [2] \Icindulu-drokku\i to dance (see 3522)||2530
1243|*cipp-|the fragrant grass Andropogon schoenanthus|0|cippa-kasavu|cippa-gaḍḍi|||||||||2533
1244|*cipp-|a bundle or parcel|0|cippamu||||||||||2534
1245|*cipp-a|a shell|214|cippa||||||||Also \Ikobbari cippa\i coconut shell; \Imōkāli cippa\i knee-pan, patella; \Itala cippa\i skull; \Imuttepu cippa\i mother-of-pearl||2535
1246|*sibb-|a sort of discoloration and spots formed on the skin|0|sibbiyamu|sibbemu|sōbiya|sōbe|||||Also \Iciḍumu\i itch, scabies||2536
1247|*sibb-|lid, dish|0|sibbi||||||||||2537
1248|*cem-|moisture, damp; moist, damp|0|cemma|||||cemaru "to melt, become wet in sweat"|||Also [1] \Icemmagincu\i, [2] \Icemmagilu\i, [3] \Icemmagillu\i to become damp or moist, sweat; [1] \Icemmaṭa\i, [2] \Icemaṭa\i, [3] \Icemaru\i sweat; [1] \Icemarcu\i, [2] \Icemarucu\i to melt; \Itemma\i wetness, moisture; \Itemm-era\i cool breeze, zephyr (for \Iera\i see 810); \Itemaḍa\i phlegm, mucus||2539
1249|*cim-Vṭ-|the grave cricket that destroys clothes; moth, bookworm, cockroach|245|cimaṭa (B)|cimiṭa (B)|cimmaṭa (B)|cimmeṭa (B)|||||||2541
1250|*imuḍ-|to be contained within|0|imuḍu||||||||Also [1] \Iimuḍcu\i, [2] \Iimuḍucu\i to put in, thrust in||2542
1251|*civ-ar-|end, point, tip, extremity|262|civara||||||||||2544
1252|*cim-uṭ-|to wink|213|cimuṭu||||||||||2545
1253|*cimm-|to throw, cast, fling, toss, spurt, squirt, thrust, butt as with the horns; n. a spurt, thrust, butt|0|cimmu||||||||Also \Icimmuḍu\i throwing, flinging, casting; [1] \Icippilu\i, [2] \Icippillu\i to gush, flow, overflow, well forth, rise; \Icimmanamu\i spurting, squirting||2548
1254|*cij-|flesh, muscle|0|ciyya||||||||Also \Ijigili\i plump, fleshy||2549
1255|*irV-|darkness, shades, shadows|1446|irulu||||||||Also \Iirulu konu\i to become dark or obscure; \Irēyi\i (in cpds. \Irē-\i) night||2552
1256|*lē-|be not|1445|lē- (\Icomplete neg. paradigm; 3 sg. non-m.\i lēdu)||||||||Also \Ilēka\i without, not having; or, else; \Ilēdu\i no, none; \Ilēni\i absent, wanting, not having, having nothing, poor, needy; \Ilēbaramu\i nothing; [1] \Ilēmi\i, [2] \Ilēmiḍi\i absence, non-existence, not being, want, poverty, neediness; \I-iḍi\i he who has not||2559
1257|*cill-|clearing-nut tree, Strychnos potatorum|0|cilla||||||||||2560
1258|*cil-Vk-|a padlock, the bolt or hasp of a door|0|cilaka|ciluka|ciluku||||||Also (B) \Icilakaṭa\i, (also Śaŋk.) \Icilukaḍa\i a saddle buckle, a ring at the end of a rope used as a girth through which the other end is passed to fasten the saddle||2561
1259|*cel-[andi]|spider|173|celãdi|celagamu|||||||||2562
1260|*celid-|a kind of skin-disease|0|celidi|||||celidi "a skin rash with small boils (also \Iceldi\i)"|||||2563
1261|*sil-ug-|mischief, trouble|0|silugu|siluvu|||||||||2567
1262|*cill-|lance, javelin|0|cillakōla||||||||Also [1] \Iciluku\i, [2] \Isela\i arrow; \Iselagōla\i goad; \Iselapandi\i porcupine||2568
1263|*cil-|to sprinkle (tr.), spirt, shed; be spilled|243|ciluku|||||cilacila "imit. of flowing"|||Also [1] \Icilikincu\i, [2] \Icilukarincu\i to sprinkle; \Icilupu\i a pond; \Iciŋka\i a small water-channel||2569
1264|*cil-uk-|to churn|0|ciluku||||||||||2570
1265|*ǯil-|itching, itch|0|jila||||||||Also \Ijilajila\i tingling, tickling, or titillation of the skin; (B) \Ijilajilam-anu\i to itch, be prurient, tingle, tickle||2573
1266|*cillar-a|small, unimportant, insignificant, trifling, of no note or consequence, minor, non-essential, sundry, miscellaneous, odd, extra, additional; sundries, odds and ends, miscellaneous articles, change, small coins|244|cillara||||||||||2574
1267|*cill-|small hole as in a pot, paper, etc.|0|cilli||||||||||2575
1268|*ǯill-|to feel or be very cold or chill|1849|jillum-anu||||||||||2576
1269|*civ-|hyaena|1870|civãgi|civvaŋgi|civvãgi|sivãgi|sivaŋgi||||Also [6] \Isivvaŋgi\i, [7] \Isivvãgi\i id.||2579
1270|*sīvir-|a chowrie|0|sīviri||||||||||2580
1271|*ciḷḷ-|bifurcated|180|ciḷḷa (B)||||||||Also \Iciḷḷu\i a fork (as that formed by two branches)||2587
1272|*cir̲ut-|leopard, cheetah|248|cir̲uta||||||||Also \Icir̲u puli\i leopard||2590
1273|*er̲ak-/*r̲ekk-|wing|1391|er̲aka|r̲ekka|rekka|ner̲aka|ner̲i||||||2591
1274|*ǯen-|yolk of an egg|0|jena||||||||||2592
1275|*cinn-|small, little, young, younger, petty, mean, trifling, trivial|246|cinna||||||||Also \Icinnãdanamu\i smallness, childhood, youth; \Icinnadi\i girl, lass; \Icinnavā̃ḍu\i boy, young man, one who is younger; \Icinni\i small, little, pretty||2594
1276|*cinn-|gold|181|cinnidamu|cīnamu|||||||Also \Icinnamu\i a weight (of gold) equal to 1/30 of a tola||2596
1277|*ī-|to give, allow, permit|1447|iccu (ī̆-, iyy-, ivv-)||||||||Also [1] \Iīgi\i, [2] \Iīvi\i giving, donation, charity, a gift; [1] \Iīgikā̃ḍu\i, [2] \Iīvikā̃ḍu\i, [3] \Iīvari\i a liberal, bountiful person||2598
1278|*cī(p)-|a broom|1459|cī̃kili|cī̃puru|||||||||2599
1279|*ci-vv-|to cut, shave, pare, mend or sharpen (as a quill pen or pencil)|251|civvu||||||||Also (B) \Icivva\i thin strip or shaving of wood; [1] \Icuvaka\i, [2] \Icuvva\i twig, small flexible stick or cane||2600
1280|*cīr-|to scratch|264|cīru||||||||Also \Icīruḍu\i scratching||2601
1281|*cīkaṭ-|darkness, obscurity, gloom, dark|185|cī̃kaṭi||||||||Also \Icī̃jī̃kaṭi\i twilight; \Icīku\i a blind person; blind||2604
1282|*cīkur-|bat, cricket|0|cīkuru-vāyi|cīkurāyi|||||||Also \Icivuka-piṭṭa\i a bat||2606
1283|*sī- (*c-)|Acacia concinna|1426|sī-kāya||||||||Also \Icīkirēnu\i, (B also) \Icīkirēṇi\i a certain medicinal tree, the leaves of which are ground and used as a soap||2607
1284|*īl-|a whistle|0|īla|ūla|||||||Also \Iīla koṭṭu\i to whistle||2610
1285|*cīḍ-|a skein which is seven times the quantity called punjamu (p. = a skein of sixty threads)|0|cīḍu||||||||||2611
1286|*ǯīḍ-|a sort of sweetmeat|0|jīḍiya|jīḍe|||||||||2612
1287|*cīdar̲-|disgust, dislike, abhorrence, trouble, vexation, annoyance|0|cī̃dar̲a||||||||||2615
1288|*īnt-|the wild date tree|736|ī̃ta|ī̃du (SAN)|||||||Also (B) \Iīdāḍi\i, (SAN) \Iī̃dāḍu\i the marshy date tree, Phoenix or Elate paludosa||2617
1289|*cīnd-|to blow the nose|187|cī̃du||||||||||2618
1290|*cī-|to smack, suck, place (as fruit or the like) partly in the mouth and draw in the juice|263|cī̃ku|||||cīku|||Also (B) \Icīpu\i to make a sound with the lips; (Śaŋk.) \Icibuku\i, (K also) \Icivuku\i to smack, suck||2621
1291|*cīm-|ant|252|cīma||||||||||2623
1292|*īr-|nit|1448|īru|īpi|||||||Also [1] \Iīrcu\i, [2] \Iīrucu\i to comb out nits; \Iīr(u) pena\i comb for removing nits||2625
1293|*cīraṇa-m|a small chisel|0|cīraṇamu||||||||||2627
1294|*cīr-|female's garment, any cloth in general|0|cīra||||||||||2629
1295|*cīl-|ankle|0|cīlamaṇḍa||||||||||2633
1296|*cīl-|a pet name for a cat, puss, pussy|0|cīli||||||||||2634
1297|*cīr-|to hiss like a serpent|188|cīru (B)||||||||||2639
1298|*cir̲-um-|to fling, throw|0||||||cir̲umu|||||2640
1299|*suk-ij-|a kind of sweet cake or bun|0|sukiya||||||||||2643
1300|*cukk-|star, spot, dot, drop|196|cukka||||||||||2646
1301|*cuŋ-|the end(s) of a garment|0|cuŋgulu||||||||Also (B) \Icuŋgu\i a skirt, the end of a cloth||2648
1302|*cuŋ-uḍ-|small balance of money due|0|cuŋguḍu||||||||||2649
1303|*cunc-|an overhanging tower or turret|0|cuncu-midde||||||||||2650
1304|*cunc-|a small lock of hair left upon the crown of the head|266|cuncu||||||||||2651
1305|*ǯunǯur̲-|dishevelled hair|0|junjur̲u||||||||||2652
1306|*Cū̆ḍ-|to burn, brand with a hot iron or the like; n. burning, branding, a brand|738|cū̃ḍu|||||suḍiyu "to burn (intr.)"|||||2654
1307|*ǯuṭṭ-|long lock or tuft of hair, crest of a bird such as a peacock|1854|juṭṭu||||||||||2655
1308|*sūṭ-i|clearheadedness, method, orderliness|1438|sūṭi||||||||||2656
1309|*sūṭ-|aim|1437|sūṭi||||||||Also \Ijuṭṭa-vrēlu\i forefinger||2658
1310|*cunḍ-|dandruff, scurf|0|cuṇḍu||||||||||2659
1311|*ǯuṇ-|to lurk, slink|0|juḍũgu|juṇũgu||||junũgu "id., shrink, withdraw"|||||2660
1312|*cunc-|mouse, musk-rat|198|cuncu||||||||Also [1] \Icunc-eluka\i, [2] \Icuṇḍ-eluka\i mouse; \Icūr-eluka\i species of mouse||2661
1313|*cunḍ-|to be evaporated or dried up|2095|cuṇḍu||||||||||2662
1314|*cunḍ-|to be flicked, as water from the finger|0|cuṇḍu (B)||||||||||2663
1315|*cull-|penis|0|culla|culli|||||||||2666
1316|*ut-uk-|to wash (as clothes), drub, thrash|1452|utuku|uduku|||||||||2667
1317|*sutt-e|hammer|1435|sutte||||||||||2668
1318|*upp-|salt|218|uppu||||||||Also \Iuppana\i saltness, salt taste; \Iuppani\i saltish, brackish; \Iuppaḷamu\i salt-pan, salt-works||2674
1319|*ogar-|astringent taste; having an astringent taste|1451|ogaru|vagaru|||||||||2674
1320|*cum-|carrying pad (\Ipāta\i cloth)|739|cumma|cumpāta|||||||||2677
1321|*cūr-|in: \Ipoga cūru\i smoke to coat walls, roof, etc. with soot|201|cūru (TVB)||||||||||2686
1322|*sur-uŋ-|to disappear, flee, (B) shrink, fade|740|surũgu||||||||Also \Isrukku\i to shrink, fade, become weak; \Isorugu\i a dead or dry leaf||2687
1323|*sor-|bottle gourd, Cucurbita lagenaria|192|sora (B)|sorra (B)|sōra (B)||||||||2690
1324|*ǯuvv-|Ficus tsiela|1855|juvvi||||||||||2697
1325|*suḍ- (?)|a whirl, circlet, whirlpool, whirlwind, curl or twist in the hair, esp. in the hair of horses, mark|257|suḍi||||||||Also \Isuḍiyu\i to turn round, blow in a wind; \Isuḍivaḍu\i to turn round, be puzzled, confused, entangled||2698
1326|*ḍoll-|to roll (intr.)|0|ḍollu||||||||Also [1] \Iḍolcu\i, [2] \Iḍolucu\i, [3] \Idolupu\i to roll (tr.)||2698
1327|*il-uk-|a sprain|437|iluku|||||iluku "sprain, to be sprained"|||||2702
1328|*cul-uk-|lightly, with slight or disregard, easily|0|culuka|culukan|||||||Also \Iculukana\i lightness, easiness, disregard, slight, contempt; \Iculukani\i light, easy, unimportant, insignificant; \Isuḷuvu\i easy; easiness, facility||2703
1329|*toḷ-|a division in an orange or other similar fruit, a carpel|0|tona||||||||Also \Itola\i a carpel as of jack-fruit, etc.||2704
1330|*cor̲-|shark|0|cor̲a|sor̲a|cōr̲a||||||||2710
1331|*ǯur̲r̲-|a sup of liquid or semi-liquid food|1927|jur̲r̲a||||||||Also \Ijur̲r̲u\i to drink, sip or sup with a noise, as a liquid or semi-liquid food||2712
1332|*cur̲uk-|activity, briskness, agility, alacrity, quickness, intelligence, smartness, hotness, sharpness, sharp pain, smart, burning sensation or pain; sharp, hot|256|cur̲uku||||||||Also \Icur̲ukkuna\i sharply, so as to cause a burning or sharp pain||2713
1333|*cuṭṭ-|to roll as a mat, etc., pass round, wrap (as thread, cloth, turban), wind, encircle, encompass, go round, circumambulate; n. a round, circuit, a going round, ring; circuitous, roundabout; adv. all around, on all sides|202|cuṭṭu||||||||Also \Icuṭṭa\i a roll of anything, loop, coil, ring, cheroot; \Icuṭṭamu\i relation, kinsman; \Icuṭṭarikamu\i relationship, kinship||2715
1334|*don-|a pool on a hill|0|dona (B)||||||||||2716
1335|*son-|juice that exudes from plants|0|sona||||||||||2717
1336|*sūḍ-|enmity, pique, spite; an enemy|0|sūḍu||||||||Also \Isūḍukā̃ḍu\i an enemy; \Iuḍuku\i to be annoyed, vexed, or pained, feel jealous or envious; [1] \Iuḍikilu\i, [2] \Iuḍikillu\i to feel hurt or annoyed; \Iuḍikincu\i to annoy or vex (one) for amusement||2722
1337|*cūr-|eaves, the edge of a roof, cornice|204|cūru||||||||Also \Imunjūru\i eaves||2729
1338|*cūl-|pregnancy; child, offspring|203|cūlu||||||||Also \Icūli\i child, offspring; \Icūlālu\i a pregnant woman; \Icū̃ḍi\i pregnancy||2733
1339|*cūḍ-|to see, observe, behold, look at, view|258|cūcu (cūḍ-; \Iimperative\i cū, cummu)||||||||Also \Icūḍiki\i vision; [1] \Icūpu\i, [2] \Icūpincu\i to show, point at; \Icūpu\i sight, vision, look, glance; [1] \Icumī\i, [2] \Icũḍī\i take care!||2735
1340|*sur-|whirlwind|1434|surakaruvali|suragāli (B)|||||||||2743
1341|*cūr̲-a|plunder, loot|1436|cūr̲a||||||||||2744
1342|*sas-|straight, right, good, proper, well, healthy; straightness, good order or condition, soundness|1407|sasi||||||||Also \Isasigā\i straightly, well, properly||2747
1343|*cekk-|to pare, cut the side or rind of, sharpen (pencil), engrave, carve; n. the rind or parings of fruit, etc.|235|cekku||||||||Also \Icekka\i piece, chip, slice; \Icakku-cēyu\i to chop, cut to pieces, mince||2748
1344|*ceŋ-|near, close by|1972|ceŋgaṭa|ceŋgaṭan|||||||Also \Iceŋgali\i nearness, neighbourhood||2753
1345|*ceḍ-|to be rotten|1417|ceḍu||||||||Also [1] \Iceḍḍa\i, [2] \Iceḍu\i rotten||2760
1346|*siḍ-|a hook or goad; (B also) the hook machine|0|siḍi||||||||||2761
1347|*ǯiṭṭ-|the generic name of several birds|0|jiṭṭa||||||||||2763
1348|*ceṭṭ- (*-a-)|wing|1456|ceṭṭupa|caṭṭupa|||||||||2764
1349|*cenḍ-|ball to play with, cluster of flowers, bouquet|238|ceṇḍu||||||||||2766
1350|*cett-|rubbish, dirt, trash, refuse|177|cetta||||||||Also \Icedāramu\i trash||2770
1351|*cemb-|goblet, pitcher, ewer|0|cembu||||||||Also \Itambuga\i a sort of drinking-vessel||2775
1352|*ēd-|porcupine, hedgehog|1443|ēdu|ēdu-pandi|||||||||2776
1353|*ser-|calamity, misfortune|0|seragu||||||||||2777
1354|*cerk-|to set (as a precious stone), thrust, tuck up|1549|cekku||||||||Also (K. B.) \Iceruvu\i to insert, stick in; \Icoccu\i (\Icor-\i) to enter, penetrate, pierce; begin (or cf. 2876); [1] \Icoccillu\i, [2] \Icottencu\i to enter; [1] \Iconpu\i, [2] \Iconupu\i to insert, introduce, thrust, put or send in; \Icoppincu\i to insert; \Icorãbaḍu\i to enter or rush into, intrude, trespass, encroach; \Icorãbār̲u\i to enter or rush into; \Icorava\i entrance, introduction, commencement, beginning||2778
1355|*cell-/*can-|to pass as time, be over or exhausted as money, die or pass away, come to pass, be accomplished, be current, pass (as coin), be valid, be successful, prevail, be paid or liquidated (as money or a debt), be possible, be proper, fit or becoming; n. payment, return, compensation, equivalent|1395|cellu||||||||Also \Icanu\i (\Icaṇṭ-\i) to go, depart, pass, be fit, proper, becoming; \Icanupa\i a caravan, a company of travellers; [1] \Icalupu\i, [2] \Isalupu\i to pass (as time), do, perform, (K also) drive (boat, etc.); \Iselavu\i order, leave, permission, expense, expenditure; \Iselaviccu\i to order, permit, allow, give leave, give a holiday||2781
1356|*celav-|corner of the mouth|0|celavi||||||||||2782
1357|*cel-|female friend or companion, woman|236|celi||||||||Also \Iceliya\i woman; \Icelimi\i friendship; \Icelimari\i male or female friend or companion; \Icelikā̃ḍu\i friend, companion; \Icelikatte\i female companion; [1] \Icelli\i, [2] \Icelliya\i, [3] \Iceliyalu\i, [4] \Icelliyalu\i, [5] \Icelle\i, [6] \Icellelu\i younger sister||2783
1358|*sel-|waterfall, cascade|0|sela|selayēr̲u|||||||Also \Ijela\i a spring of water||2785
1359|*celuv-|beauty, loveliness|237|celuvamu|celuvu|||||||Also \Iceluva\i a beautiful woman, a woman||2786
1360|*ǯell-|a fish resembling the dragonet|0|jella||||||||||2788
1361|*sel-|twig|0|sela (B)||||||||||2790
1362|*cel-uk-|to pull out (as the eyes)|0||||||celuku|||||2791
1363|*cer̲ak-|in: \Ivaṇṭacer̲aku\i firewood for cooking|175|cer̲aku||||||||||2794
1364|*cer̲ak-|sugarcane|51|cer̲aku||||||||||2795
1365|*cIr̲-aŋ-|the skirt, hem, end or corner of a garment or cloth; direction, quarter|176|cer̲ãgu||||||||Also \Iceŋgu\i skirt, border, edge (of a cloth)||2796
1366|*ǯer̲-|centipede|1848|jer̲i|jer̲r̲i|||||||||2797
1367|*enn-|ear of corn|210|ennu|vennu|||||||||2798
1368|*sēkar-|saving, collecting, collection, amassing|0|sēkaramu||||||||Also \Isēkarincu\i to save, collect, amass, obtain, procure||2801
1369|*cēg-|essence, core, pith, substance, strength, courage|0|cēga|cēva|||||||||2802
1370|*cē(m)p-|the breasts to become full with milk, the milk to be secreted, flow, rush or spring forth; let the milk flow; n. the becoming full with milk (of breasts), the secretion or flowing forth of milk|239|cē̃pu|||||cēpu|||||2803
1371|*ǯēnḍr-|a caste of weavers|0|jēṇḍra|dēṇḍra|||||||||2809
1372|*sēd-|fatigue, weariness|0|sēda|śāda (B)|||||||||2810
1373|*sēd-|cultivation, farming|0|sēdyamu||||||||||2811
1374|*cēnd-|to draw up as water from a well, draw or pull as a string|1461|cē̃du|||||cēdu|||Also \Icē̃da\i, (K) \Icēda\i bucket; \Icē̃-trāḍu\i rope used in drawing up water from a well with a small bucket or vessel||2812
1375|*cēr-|to join, unite or combine with, approach, draw near or close to, reach, arrive at, enter or join as a class, etc., form a part or portion of, be attached to, be connected or related to, assemble, be received, come to hand, be included or added, belong, appertain|1421|cēru||||||||Also \Icērika\i union, junction, contiguity, nearness, proximity, familiarity, access; \Icērugaḍa\i nearness, proximity; refuge, asylum; \Icērupu\i nearness; [1] \Icērcu\i, [2] \Icērucu\i to put, place or bring together, join, unite, combine, mix, add, include, enclose, admit, enrol, add or sum up, reach, cause to reach or be delivered; \Icēvāṭu\i near; ? \Icendu\i to get, obtain, suffer, feel, enjoy, happen to, befall, belong, refer to, (K also) reach, meet; ? \Icenta\i neighbourhood, proximity||2814
1376|*ēr-|plough with draught oxen made ready for ploughing|211|ēru||||||||||2815
1377|*ǯer̲- (*z-)|a species of rock-snake|1824|pen-jera||||||||Also \Ijer̲r̲i-pōtu\i whipsnake; \Ijerri goḍḍu\i a kind of snake||2816
1378|*ēr-|husband's brother's wife|1444|ērālu||||||||||2819
1379|*cēr-|the hand held so as to contain anything|275|cēra||||||||Also \Icērẽḍu\i handful||2821
1380|*sān-|(modern) a lot|0|śāna||||||||||2824
1381|*aj-|five (things)|1439|ayidu|ēnu|||||||Also [1] \Iayidu-guru\i, [2] \Iēguru\i, [3] \Iēvuru\i five persons; [1] \Iē̃badi\i, [2] \Iyābhai\i fifty; \Iē̃baṇḍru\i fifty persons; \Iē-nūr̲u\i 500; \Iē̃-dumu\i five tūmu measures; \Iē̃-balamu\i five polam measures||2826
1382|*sog-|beauty, handsomeness, elegance, grace, prettiness, niceness, attractiveness|189|sogasu||||||||Also \Isogiyincu\i to be happy, enjoy; \Isogiyu\i to be agreeable or pleasant; [1] \Icokkamu\i, [2] \Icokkaṭamu\i beautiful, lovely, fine, clear, pure, bright||2829
1383|*socc-|a small remainder or balance|0|soccemu||||||||||2833
1384|*ǯuṭṭ-|the small span|0|juṭṭili||||||||||2834
1385|*coṭ-|onom. of the action and sound of any liquid leaking or falling in drops|265|coṭa coṭa||||||||Also \Itoṭṭu\i to flow, ooze||2835
1386|*soḍḍ-|defect, fault; blame, imputation|0|soḍḍu||||||||||2837
1387|*coṭṭ- (*s-)|lame, crippled, crooked, withered; lameness, crookedness; dent, depression, dimple, small pit or hollow|194|coṭṭa|soṭṭa|||||||||2838
1388|*tonṭ-|loins, hip|1925||||||toṇṭi|||||2840
1389|*copp-|straw|190|coppa||||||||||2847
1390|*somp-|beauty, elegance, grace, prettiness, niceness; glee, delight|0|sompu||||||||Also [1] \Isompāru\i, [2] \Isompillu\i to be lovely, pretty or pleasant||2850
1391|*cokk-|ecstasy, trance, state of being beside oneself, swooning, fainting, intoxication, intense or inordinate affection or love, passion; vb. to be beside oneself, be intoxicated|193|cokku|||||sokku|||Also \Isogayu\i to be beside oneself||2853
1392|*ǯoḷḷ-|a tire formed by weaving the tresses in chains and then coiling them up at the back of the head; a wreath of mangrove flowers|1933|jollemu (B)|joḷḷemu (B)|||||||||2858
1393|*ǯoll-|slaver, saliva drivelling from the mouth|276|collu|jollu|coŋga||||||||2862
1394|*soḷḷ- (*z-)|empty|1826|soḷḷu (B)||||||||||2864
1395|*dur-|itching|253|durada||||||||||2865
1396|*sōk-|to touch, come in contact with, be communicated by contagion, affect, be caught as a disease, (K also) be possessed (by evil spirits); possess (devil); n. touch, contact, possession by an evil spirit, an evil spirit|1430|sō̃ku|sōku||||cō̃ku|||||2870
1397|*ǯōk-|manner, way, grandeur, prettiness; duly, properly|1853|jōka||||||||||2871
1398|*cō-p-|to dissipate or scatter, scare away, strike off, do away, send away|216|cōpu (B)|||||cōpu|||||2878
1399|*zōm-|swoon, fainting, faintness, torpidity|1829|somma||||||||Also \Isōma\i fatigue; [1] \Isōmari\i, [2] \Isōmāri\i an idle person, idler, sluggard; (B) \Ijōmu\i torpidity, stupefaction or silliness with pride|Two roots?|2882
1400|*tor-|to flow, gush, run, burst out, fall|1592|torãgu|torũgu||||tor̲ãgu|||Also ? \Ijobbillu\i to flow, issue, drop, ooze||2883
1401|*sōl-|to be faint, swoon, reel, stagger|1431|sōlu||||||||Also \Isōlinta\i fainting; \Isorugu\i to faint, swoon; n. fainting, swoon; \Isolayu\i to faint, swoon, languish; \Isolapu\i fainting, swoon; \Isolimiḍi\i fainting, swooning;(??)  \Icolayu\i to hesitate, shrink||2884
1402|*ǯōl- (*z-)|lullaby, cradle song|1828|jōla||||||||||2889
1403|*ǯonn-|great millet|1851|jonna|jonnalu|||||||||2896
1404|*sōn-|rain, drizzle, thin but long|1432|sōna||||||||||2899
1405|*enḍr-|crab|1086|eṇḍri|eṇḍrika|eṇḍrakāya||||||||2901
1406|*nam-il-/*nem-il-|peacock|1058|nammi|namili|nemali|nemili|nemmi, nemmili, nevili||||||2902
1407|*naram-|vein, artery, nerve, tendon|985|naramu||||||||||2903
1408|*nar-ag-|a drum|1061|naraga||||||||||2904
1409|*nāŋel-|plough|1070|nā̃gali|nā̃gelu|nā̃gēlu||||||||2907
1410|*nān-|a sort of necklace|1069|nānu||||||||||2908
1411|*nēl-|earth, land|1079|nēla||||||||||2913
1412|*nēreḍ-|the newel fruit, Syzygium jambolanum|1081|nēreḍu|nērēḍu|||||||||2917
1413|*net-|fragrance|1065|nettāvi||||||||||2918
1414|*nār̲-|young sprouts or plants which are to be transplanted|1066|nār̲u||||||||||2919
1415|*nēnḍ-|today|1078|nē̃ḍu||||||||||2920
1416|*nen-aḍ-|bone marrow|0||||||nenaḍu|||||2921
1417|*niv-uḍ-|to extend, stretch, spread, become erect, rise, increase, swell|1083|niguḍu|nivuḍu|||||||Also [1] \Iniguḍcu\i, [2] \Iniguḍucu\i to stretch, extend, make erect||2922
1418|*negg-|to become weak, droop|1071||||||neggu|||||2923
1419|*negaḍ-|large fire lighted for warmth in cold weather or to keep off wild beasts|0|negaḍi||||||||||2924
1420|*ner-|to rub or grind with force or pressure so as to produce partly the effect of rolling or displacing the particles|1074|nerumu|||||naggu "to be powdered (?)"|||Also ? \Ineccu\i rice flour, small rice grits (or with 3782); ? [1] \Iner̲iya\i, [2] \Iner̲e\i, [3] \Iner̲r̲iya\i, [4] \Iner̲r̲e\i crack, slit, split, hole or crack in the ground||2927
1421|*nipp-|fire|1024|nippu|nippuka|||||||||2929
1422|*ner̲-|beauty, custom, justice, propriety, order, arrangement|2062|ner̲i||||||||||2934
