NUMBER|PROTO|MEANING|PRNUM|KUI|KUTTIA|KUWI̲F|KUWI̲S|KUWI̲SU|KUWI̲P|KUWI̲T|KUWI̲D|KUWI̲MAH|KUWI̲ISR|ADDITION|NOTES|DEDNUM
684|*mṇīj-|a k. of tree|466|||||||mṇīya "Anogeissus latifolia"|||mṇīya "name of a tree"|||4855
685|*mṛog-la|shoot (of bamboo, potato, etc.)|467|||||mṛogla "shoot of bamboo"|||||mṛogla "eye, shoot of potato, etc."|||4997
686|*moṛ-ng-|to bow, crouch|468|mrōnga (mrōngi-) "to crouch over"|||bonginai "to bow, bend down"|boŋg- (-it-) "to bow, bend down"|||||boŋg- (-it-) "to bow, bend down"||Although the regular development of PK \I*mṛ-\i is far from the one as shown here, the difference may lie in vocalism. External data shows that both \I*m\i and \I*ṛ\i are original.|5123
687|*mucʔ(i)-ṛi|a k. of ant|1428|muraṛi "large red ant"|muci trāku "a kind of ant"|||||muh'iri "a kind of ant"||||Also Kui̲P \Imujoṛi\i large red ant|In Kui \I*mucʔ-ṛi\i > \I*musṛi\i > \I*murṛi\i.|4906
688|*muc-|to cover, bury|469|musa (musi-) "to cover (a drum with skin or an umbrella with cloth)"|mucc- "to shut"|mūssali "to bury"|muh'nai "to bury"|muh- (must-) "to bury"|||||muc- (-it-) "to cover up"|Also Kui \Imunja\i (\Imunji-\i) to be covered, buried; \Imuspa\i (\Imust-\i) to cover, bury; n. burying|Kui \Imunja\i is probably secondary, contaminated with \Imunja\i 'to sink, be immersed'.|4915
689|*muc-|to surround, besiege|1346|||mūcali "to surround, enclose"|muccinai "to besiege"||||||muc- (-it-) "to lay siege"|||5018
690|*mucu|to chuckle, grin, smile|0|musu/musuk inba||||||||||||4904
691|*mudul-|possessions, stock in trade, store|470|muduli||||||||||||4950
692|*muḍ-|rump, anus|471|moḍengi, moḍenji "rump of a bird or fowl"||mūddi "anus"|||||||muḍi "anus"|||4942
693|*muḍ-|cloud, sky|472|muḍengi||||||||||||5033
694|*muk-|to swallow, gobble|0|muka (muki-) "to cast food into the mouth with the hand"|||||||||buk- (-it-) "to gobble, swallow"|Also Kui \Imukal\i mouthful; \Imukal giva\i to rinse out the mouth, take a mouthful, gargle|Kuwi̲Isr \Ibuk-\i probably influenced by Telugu \Ibokku\i (or just an expressive irregularity).|4897
695|*mul-|a species of rat (molova musa)|0||||||||mulenḍi or'i|||||5022
696|*munḍ-|post, pillar|473|||||munḍa||||munḍa|muṇda|||4948
697|*munḍ-|tank, reservoir|474|munḍa||||||||||||4945
698|*munḍr-|cucumber|0|munḍru||||munḍra|munḍra|munḍra||munḍra|munḍra|||4949
699|*mun-|point (of needle, etc.)|475||||||||||munu|Also Kuwi̲Isr \Imunu kut-\i to bow head||5020
700|*munǯ- (caus. *muc-)|to sink, be immersed|476|munja (munji-) "to be immersed, submerged, immerse oneself; n. submersion"||mūnjali "to sink partly"|munjinai "to sink"|munj- (-it-) "to be immersed"|||||munj- (-it-) "to drown, sink"|Also Kui \Imuspa\i (\Imust-\i) to immerse; n. immersing; Kuwi̲Su \Imuh-\i (\Imust-\i) to immerse||4993
701|*munǯ-u|forehead|477||munju|monjū|munju|munju|||||mūnju|||4917
702|*muṇ-|area of work|478||||||||||muṇmbu|||4943
703|*mur-ʔenji|spine, back-bone|479|muḍrenji "spine"|murenji|mūressi "back-bone"||mur'esi pṛēnu "back-bone"|||ṭuḍu mur'eni "back-bone"||murʔesi "back-bone"|Also Kui \Imusali\i presenting the back, at the back of; \Imusali āva\i to be at the back of; \Imusali giva\i to turn the back on||4955
704|*mur-c-|to be reckless, dare|0|mursa (mursi-)||||||||||||4971
705|*mur-l-|deformed ear|480||||||||||murli kriyũ|||4977
706|*murm-u (pl. *murpka/*mrupka)|nose-ring|481|||mūrmū (pl. mrūpka)||murmu (pl. murka)||||||||4979
707|*muru|to growl, mutter|0|muru inba "to mutter, grumble, growl"||mūrū kīali "to growl"|||||||muru muru ā-\i "to grumble, complain"|||4973
708|*muṛdg-|to sink completely in, penetrate; be of such consistency that one sinks into it|482|bṛuḍga (bṛuḍgi-)|||||||||||In Kui \I*mṛ-\i > \Ibṛ-\i probably because of assimilation to two stops.|4993
709|*mus-|to munch, chew, grind the teeth|483|muhpa (muht-)||||||||||||4901
710|*musk-/*muk-|to bark|484|muska (muski-) "to bark; n. barking"||mōkhali|mukh'nai|musk- (-it-)|||||muk- (-h-), musk- (-it-)|||5013
711|*mut-ʔenji|pimple, wart|0|mūtenji "mole, birthmark, wart, corn"||mūt'esi "pimple"|||||||mutʔesi "wart"|||4961
712|*muṭ-|to complete|485||||muth'nai||||||muṭ- (-t-) "to complete; be finished"|||4922
713|*muṭ-la|hammer|486|||||muṭla||||||||4932
714|*muŋel-i|nose|487|mungeli|muŋgi|mūngelli|mungeli|muŋgeli (pl. muŋgelka)|muŋgeli (pl. muŋgelka)||||muŋgeli|||5024
715|*muŋ-i|mongoose|488||||||muŋgi orli|||||||4900
716|*mūc-i|phlegm, mucus|489|mūsi "mucus of nose"|mūci|mūci "phlegm"|mūci "cold (i.e. in the nose)"|mūci "mucus of nose"|||||mūci "cold (in the nose), mucus"|||4909
717|*mū-|old|490|||mūssela "old man"|mū'nai "to outgrow"||||||mudr- (-it-) "to become matured, ripen"||Kuwi̲Isr \Imudr-\i borrowed from Telugu.|4954
718|*mū-nǯ-|(Letchmajee) three; (K) three (fem.-neut.)|491|munji|mūnji|||||||||Also Kui \Imu pattu\i three times twelve dozen; (Friend-Pereira; Gūmsar dialect) \Imū̃\i three; \Imūnji\i three things; Kui̲K \Imu'ar\i three men; \Imū kōṛi\i 60; \Imū dina\i three days||5052
719|*mū-[g-]|able; complete|0|mūga (mūgi-) "to be completed, terminated, accomplished; n. completion, accomplishment"|||mū- (-t-) "to be able, sufficient"||||||mūʔ- (-t-) "to be able"|Also Kui \Imūpka\i (< \Imūk-p-\i; \Imūkt-\i) to complete, finish, accomplish; \Imūpa\i (\Imūt-\i) id., succeed, be able, have power; n. ability; \Imugse\i completely, entirely||4891
720|*mūh-u|monkey|492|mūsu (pl. mūska) "sp. monkey or ape"||mūhū (pl. mūska) "monkey (hanuman)"|mūhu|muhu (pl. muska) "black-faced monkey"|||||mūhu (pl. mūska) "black-faced monkey"||In Kui the singular form "restored" from the plural. In Kuwi̲Su the singular form is probably short by analogy with the plural one.|4910
721|*mūl-|corner|493|muju, mudgu (?)||mūla||mūla|||||mūla||Kui \Imuju\i cannot belong here; it hhould go back to \I*muygu\i.|5044
722|*mūḷ-a (*-l-)|brain|494|kāḍa-mūla|mūla|||||||||Also Kui \Inīli\i bone marrow||5051
723|*mūḷk-|to urinate|495|mūlba (mūṭ-)||mṛūkali|mūnkinai|mūṇk- (-it-)|mūṇk- (-it-)|||||Also Kui \Imūlka\i urine; Kuwi̲F \Imrū'ka\i urine; Kuwi̲S \Imunka\i urine; \Imurkinai\i to piddle, piss; Kuwi̲Su \Imṇūka\i, Kuwi̲P \Imūṇka\i urine|Kuwi̲S \Imurkinai\i is somewhat unclear (and note the usual crazy differentiation of meanings).|644
724|*mūnǯ-|to smell|496|mūnja (mūnji-) "to sniff, smell; n. act of smelling"||mūnj-|mūnjinai|||mūnj-|||mūnj- (-it-)|||4886
725|*mūr-mbu|face|497||mrūmbu|mūmbu|mūmbū|mūmbu|mūmbu|||mūkā|mūmbu||The suffixed form certainly dates back to CDR. Inlaut \I-r-\i was preserved only in Kuttia by means of a metathese. Kuwi̲Mah \Imūkā\i probably borrowed from SDR.|4889
726|*mūr-i|parched rice|498|mūri||||||||||||5019
727|*munt-|a small pot|499|mūta "small brass pot"||mūnta "water pot of brass"|||||||mūnta "small metal jug, pot, vessel"|||4965
728|*mūt-|snout, beak|500|muḍra||mūti "beak"||mūti "beak, snout of pig"|||||mūti "beak, snout of pig"|||5031
729|*mundur-i|snout|501|munduri||||||||||||5031
730|*mūṭ-a|bundle|502|||mūnta "bundle (clothes, etc.)"|||||||mūṭa "a bundle of grass"||The nasal cluster in Kuwi̲F is irregular (external data confirms PK \I*-ṭ-\i).|5037
731|*nac-|to press, crush; n. act of crushing; (K) to press|0|nasa (nasi-)|nacc-|||||||||Also Kui \Inahi\i, \Inahiki\i destroyed, ruined, demolished|Either the form with \I-c-\i or with \I-s-\i is borrowed from SDR.|3574
732|*nak-a|jackal|503|||nakka|nakka|nakka|nakka||||naka|||3606
733|*nal-ŋ-|rubbing, massage|504|||||nalŋu|||||||Maybe borrowed from Telugu; however, there is Konda \Inalŋi-\i.|3611
734|*nam-|to believe|505||nam-|nāmali|nā̆mminai "to believe, trust"|nam- (-it-) "to believe, trust"|||||||Vowel length is probably secondary (external data).|3600
735|*nanḍ-|to go underneath, hide|0||||||||||naṇḍ- (-it-)|||3620
736|*narmb-u|nerve, sinew|506|ḍrāmbu "tendon, sinew"|||naromi "nerve"||||||naromi "nerve"||In Kui \I*narmb-\i > \I*nramb-\i > \Iḍramb-\i, while in Kuwi \I*narmb-\i > \I*naromb-\i, etc.|2903
737|*naṭk-a|bug|507|||nukta (i.e. nakṭa)|naṭka|nakṭa|||naṭ'a||nakṭa||The metathese is \I*-ṭk-\i > \I-kṭ-\i (cf. PNDR \I*naṛgā\i id.); the mark "i.e. \Inakṭa\i" in Kuwi̲F belongs to B&E - they are probably right, although I don't know why.|3621
738|*naŋ-|to lop off branches|0||||||||||naŋg- (-it-)|||3625
739|*nāʔṇ-i|fire|992|nāṇi, nāṛi||||na'ni|nāṇi|||nāṇi|naʔni "hot coal"|||3640
740|*nāg-u|earring, brass wire (worn by females only)|508|||nāgū||||||||||3635
741|*nāguṛ-i|river|509||||||nāguṛi|||||||3636
742|*nāk-|to lick|510|nāka (nāki-) "to lick, lap"||nākali||nāk- (-it-)|||||nāk- (-it-) "to lick, lap"|||3570
743|*nāl-|(Letchmajee) four; (K) four (non-masc.)|511|nālgi|nālgi|||||||||Also Kui \Ināl pattu\i four times twelve dozen; (Friend-Pereira; Gumsar dialect) \Inal\i four; \Inalgi\i four things; Kui̲K \Inālur\i four men; \Ināl dina\i four days||3655
744|*nāl-ʔaŋ-|night|512|nāḍangi|ḍā'aŋa|la'anga|lāanga|la'aŋa|la'a||lāl'aŋa||lāʔa|Also Kui \Iḍāangi\i night; \Ināḍisi\i morning||3621
745|*nānǯ-|sister-in-law|513|nānja "younger sister-in-law"||nanjo|||||||nānjo "wife's younger sister"|||3644
746|*nājkuṛ-i|dog|514|nakuṛi (pl. nakuṛaka, nahuṛka), nahoṛi (pl. nahoṛka, nahka)||neh'ūri (pl. neska)|nehuḍi (pl. neska)|nih'uṛi (pl. neska)|||||nehʔuṛi (pl. -ka/neska)||The inlaut \I-y-\i is reconstructed: a) because of the vocalism (\I*-āyC-\i > Kui \I-aC-\i, Kuwi  \I-eyC-\i); b) because Kuwi \I*-h-\i sometimes < \I*-ɣ-\i (cf. \I*neɣi\i > Kuwi \Inehi\i). The plural,  which was often formed without the \I*-ṛi\i suffix, went like this: \I*nāykVka\i > \I*nehka\i >  \I*neska\i (in Kuwi, where the combination \I-hk-\i does not exist); > \I*nahka\i (in Kui).|3650
747|*nāj-u (pl. *nāska)|village|515|nāju (pl. nāska) "village, town, hamlet"||naiyū (pl. nāska)|nāyu|nāyu (pl. nāska)|||||nāyu (pl. nāska)|Also Kui \Ināṭo\i village as contrasted with the fields or forest, home; \Inḍo\i at, in, at the place of, in the country of; \Ināṭoki\i towards home, to the village|The forms with \I-ṭ-\i are derived from the former oblique base \I*nāṭ-\i (cf. other CDR languages).|3638
748|*nāŋel-i|plough|516|nāngeli||nangelli "ploughshare"|||||||nāŋgeli|||2907
749|*nā̆pa|tuber|0|nāpa "tuber, edible bulb"|||||||||napa "forest food; edible tuber"||It is impossible to determine the exact quality of the vowel.|3646
750|*neh-|to put in|0|||neh-||||neh-|||||A strange entry, considering the "nakedness" of Kuwi stems (no past tense or derivatives).|3764
751|*nel-i|tamarind|517|neḍi||lelli|lelli||||||leli|||3755
752|*nemb- (caus. *nep-)|to be finished, ended, used up, come to an end|0|nemba (nembi-)||||||||||Also Kui \Ineppa\i (\Inept-\i) to finish, complete, use up, bring to an end; n. act of finishing|B&E put this together with \I*nenj-\i 'to fill', but these are certainly two different roots.|3682
753|*nenǯ- (caus. *nec-)|to be filled|518|nenja (nenji-)||nenjali "to become full"|nenjinai "to become full"|nenj- (-it-)||||||Also Kui \Inehpa\i (\Ineht-\i) to fill in, load up; n. act of filling in; \Inespa\i (\Inest-\i) to fill, load; Kuwi̲F \Inessali\i (\Inest-\i; future \Ineh-\i) to load; Kuwi̲S \Ineh'nai\i, \Inespi kīnai\i to plenish; Kuwi̲Su \Ineh-\i (\Inest-\i) to fill|The form \Inehpa\i probably does not belong here (see \I*neh-\i).|3682
754|*neh-|to interweave, fence|519|nehpa (neht-) "to build a fence"|||neh'nai "to interweave"|||||||||3745
755|*neɣ-i|good|520|negi "good, well, fine, noble, splendid"|nehi|nihi|nehi|nehi|||||nehi, nehī|||3735
756|*nej-tori|blood|521|nederi "balance word with \Iraka\i blood (which is Or.)"||netori||neteri|||||neteri/netori||The suggested PK protoform is almost similar to the Tamil form for blood (\Ineyttōr\i), but it has to contain an inlaut \I-y-\i, since otherwise it is impossible to explain the unusual correspondence Kui \I-d-\i - Kuwi \I-t-\i. The forms with second \I-e-\i are secondary.|3748
757|*nēʔl-a|field|522|nēla, nēda "a plot of high ground for cultivation"||nē'la "field (for ordinary cultivation)"|nēla||||||neʔla "field (dry)"|Also Kui \Inēḍe\i ground.|Is it due to the glottal stop that Kui has \Inēda\i, not \Inēḍa\i? Unlikely; it's probably misspelled.|2913
758|*nēk-|customary, usual; usually|0|nēkeri||||||||||||3763
759|*nēnǯ-|to breathe|523|nēnja (nēnji-) "to breathe; n. breathing"||nenjali "to breathe, gasp"|nēnjinai "to breathe, gasp"||||||nēnj- (-it-) "to breathe, moan with pain"|Also Kuwi̲F, Kuwi̲P \Inesteri\i, Kuwi̲Isr \Inēsteri\i breath||3765
760|*nēr-|to rub, stroke, polish, massage; n. act of rubbing|0|nēra (nēri-)||||||||||||3691
761|*nēj-|to sprout, grow|524|nēja (nēji-) "to sprout up out of the ground, germinate and shoot up; n. sprouting"||kūliŋa nēyā'ū "paddy will not grow"|nēyine "springs up"||||||ney- (-it-) "to sprout"|Also Kuwi̲F \Inēyinū\i will grow; Kuwi̲S \Inēini\i upspringing||2919
762|*nilc-/*nlic-|to stand|525|nisa (nisi-) "to stand, stand still, be set; n. act of standing still"||nīcali|nīnai|ni'- (nit-)|||li- (-t-)||niʔ-/liʔ- (nit-/lit-) "to stand up"|Also Kui̲P \Inilpa\i (\Inilt-\i) to stand, be set up; Kuwi̲F \Iniphali\i, Kuwi̲S \Iniph'nai\i to cause to stand; Kuwi̲Isr caus. \Inip-\i (\I-h-\i)|The seemingly unexplainable mess of correspondences eventually can be satisfactorily explained by the cluster \I*-lc-\i. In Kui \I*-lc-\i > \I*-c-\i, which regularly > \I*-s-\i. The causative form \I*nilc-p-\i > \I*nil-p-\i. In Proto-Kuwi the causative form has taken over the simple one, which explains the t-conjugation. Besides that, the following changes have happened: a) the final cluster \I*-lc-\i was lost in all dialects, so that the root has received a vocalic auslaut; b) in some dialects traces of this cluster were preserved in the reduced variant \I*nilc-p-\i > \I*nīl-p-\i > \I*nlī-p-\i > \I*lī-.\i On the external level this cluster is proved by forms like Gondi \Inilsp-\i 'to make to stand' and, more significant, by NDR.|3675
763|*ninǯ-a|heart, kernel|526|ninja "heart of a tree, pith; solid, sound, uncracked, strong"||linja "kernel, yolk of egg"||linja "pulp of fruit"|||||linja "yolk of egg"|||3736
764|*nip-|shoulder; back of neck|527|nipi "back of the neck"|nippiŋa "(pl.) shoulders"||||neppu "shoulder"|nipu "shoulder"|||nipu "shoulder"|||3671
765|*niŋ- (caus. *nik-)|to rise|528|ninga (ningi-) "to rise, arise, stand up; n. act of rising, standing up"||ningali "to arise"|ninginai|niŋg- (-it-)|niŋg- (-it-)||||niŋg- (-it-) "to get up, wake up"|Also Kui \Inipka\i (< \Inik-p-\i; \Inikt-\i) to raise, cause to stand up; Kuwi̲F \Inikhali\i to arouse; Kuwi̲S \Inikkh'nai\i (?) to rouse; Kuwi̲Su, Kuwi̲Isr \Inik-\i (\I-h-\i) to lift up, to awaken||3665
766|*nī- (?)|to live|0|nīmba (nīmbi-) "to live, survive, revive; n. life, survival"||nīdali "to live, be alive"|nīḍinai "to live, be alive"|nīḍ- (-it-) "to live, be alive"||||nīṛeyyu "alive"|nīḍ- (-it-) "to live, be alive"|Also Kui \Inīppa\i (\Inīpt-\i) to cause to live, give life to; \Inīṛe\i living, alive; Kuwi̲Isr \Inīṭ-\i (\I-h-\i) to make alive|That the element \I-mb-\i in Kui can be an old suffix is doubtless; but there are no other cases of a suffixal \I*-ḍ-\i. Therefore, either both forms are really different roots, or Kui \Inīmba\i is somehow developed from \I*nīḍ-mba\i.|3689
767|*nīl-[nǯ-]|to stand; long|529|nīlba (nīṭ-) "to be standing (corn), stand, be set up"|||niluwu "long (in measuring)"|||||||Also Kui \Iḍrīnja\i (\Iḍrīnji-\i) to be elongated, lenghtened; adj. elongated, lengthened; pl. action \Iḍrīska\i (\Iḍrīski-\i); \Iḍrū inba\i, \Iḍrūsu inba\i to be lengthened, stretched, drawn out, opened out; \Iḍrūnja\i long, lengthened, stretched out, drawn out; \Iḍrūna\i in a long-drawn-out manner|With the addition of the suffix \I*-nj-\i (probably a Kui innovation, but may as well be a PK form), \I*nīl-nj-\i > \I*nlī-nj-\i > \I*ḍrī-nj-\i.|3692
768|*nīj-u|oil|530|nīju||nīyū||nīyu|nīyu||||nīyū|Also Kui \Ipūki nīju\i honey||3746
769|*nmīr-u/*mīmb-u|you (pl.)|531|īru (obl. mī-)|mīru (obl. mī-)|mīmbū (obl. mī-)|mīmbu (obl. mī-)|mīru (obl. mī-)|mīmbu (obl. mī-)||||mīmbu (obl. mī-)||It is hard to say which form was primary in PK. Both have fairly wide distributions, and both have external parallels. Probably both are archaic, maybe dialectal.|3688
770|*noR-|to wash|532|nobga (< nog-b-; nogd-) "to wash; n. act of washing"|||nōrh'nai|nor- (-h-)||||||||3783
771|*noḷ-|to ladle; draw out|533|nolpa (nolt-/noṭ-) "to ladle out"||||noṇ- (-h-) "to draw water"|||||noṇ- (-h-) "to draw water"|||3790
772|*nonḍ- (caus. noṭ-)|to kiss|534|nonḍ- "(Mah) to kiss, caress"||notkali|lonḍinai|||nonḍ-|||noṇḍ- (-it-) "to kiss, embrace"|Also Kui̲W \Inonja\i (\Inonji-\i) to kiss; n. a kiss; Kuwi̲T intens. \Inoṭk-\i; Kuwi̲Isr \Inoṭk-\i (\I-it-\i) to kiss (=sexual intercourse)||3787
773|*nō- (caus. *nōt-)|to pain|535|nōva (nōt-) "to be painful, ache; n. pain, aching, suffering"|noppo "ache, pain"|||nō- (-t-) "to pain, ache"|nō- (-t-) "to pain, ache"||||nō- (-t-) "to pain, ache"|Also Kui \Inospa\i (\Inost-\i) to give pain to; \Inōmeri\i fever, sickness, illness; Kuwi̲F, Kuwi̲S, Kuwi̲Su, Kuwi̲Isr \Inōmeri\i fever, sickness, illness; Kuwi̲F, Kuwi̲Isr \Inōhi\i pain; Kuwi̲Isr \Ilunj-\i (\I-it-\i) to ache, throb with pain; \Iluh-\i (\Ilust-\i) to cause pain|The added forms probably all have suffixes; however, the forms \Ilunj-\i and \Iluh-\i may well be different (from \I*nunj-\i, \I*nus-p-\i).|3793
774|*nōk-|to precede, advance|536|nōka (nōki-) "to precede, go ahead of"||nōkali "to advance"|nōkhee hannai "to precede"|||nōk- "to precede"|||nōk- (-it-) "to go ahead, precede"|Also Kui \Inōki\i ahead, in front of, in the van, in advance; \Inōkiṭi\i ahead, in front of; Kuwi̲F \Inōki\i ahead; \Inōkiti\i in front; \Inōkigattasi\i the first one; Kuwi̲S \Inōkita\i in front of, before; Kuwi̲Isr \Inōkita\i, \Inōkeʔe\i in front of; Kuwi̲S \Iōkhee\i \Ihannai\i to precede||3799
775|*nōṇ-u|string, rope|537|nōṇu, nōṛu, nōsu "string, cord made from a forest climbing plant"|||||nōṇo "rope"|||||||2908
776|*nūc-u (*-s-)|soft, smooth, fleecy|1351|nūsu||||||||||Also Kui \Inūsu nūsu inba\i to be soft, smooth, fleecy||3779
777|*nūl-/*nōl-|thread|538|nūḍu (pl. nūṭka) "cotton yarn, thread"||lūlū|lōlu|lūlu|||||lūlu|Also Kui \Inōlba\i (\Inōṭ-\i) to twist strands together, spin thread; n. spinning||3726
778|*nūj-|to grind|539|||nuiyali|nūinai "to mill"||||||nūy- (-it-)|Also Kuwi̲S \Inurpinai\i to thresh with oxen; Kuwi̲F \Inūṛpali\i to thresh out with cattle; Kuwi̲Isr \Inōrp-\i (\I-it-\i) to thresh driving cattle over grain, Kuwi̲Su \Inōrp-\i (\I-it-\i) to thresh|The roots \I*nūy-\i and \I*nur-p-\i have clearly become different roots on the PK level and even earlier, although they obviously have been developed from a single protostem (which is \I*nūr̲-\i).|3728
779|*nūk-|broken rice|540|||nūkaŋa||||||||||3728
780|*nūj-i|a well|541||||nūyi|||||||||3706
781|*njēnǯ-u/*njāc-u|today|542|nēnju||ninjū|nīnju|nīnju|nēnju||||nīnju|Also Kui \Iro-nisi\i, (K) \Iro-nese\i one day; \Iri-nisi\i, (K) \Iri-nese\i two days; Kuwi̲Su \Iro nēcu\i one day; Kuwi̲S \Inācu\i day|A tough case. It is obvious that a) we deal with at least two different forms, one meaning 'today', the other simply 'day'; b) the correspondences in vocalism are too complex for us to suggest a simple solution. Both forms seem to begin with a yot-cluster, which accounts for changes in vocalism. The form \I*nyēnj-\i is reconstructed on the basis of Kui and Kuwi̲P as well as external data; the variant \I*nyīnj-\i is less probable. The other form is reconstructed as \I*nyāc-\i, with the development similar to that of initial \I*yā-\i. In Kui we could expect \I*naci\i; however, if the accent in Kui falls on the first syllable (\Iró-nisi\i), the development is regular because of reduction (see 5151 on the subject).|2920
782|*āR-|we (incl.)|543|āju "we (incl.; obl. mā-)"||mārrō|māro||||||māro||The PK inclusive 1st p. pronoun has to be reconstructed with an inlaut \I*-R-\i. As we know, in Kuwi it has the usual reflex \I-r-\i (although geminated \I-rr-\i in Kuwi̲F is strange). In Kui the usual reflex \I-g-\i before consonants (which shows that PK \I*-R-\i has merged with PK \I*-ɣ-\i in this position) alternates with \I-s-\i after consonant clusters and \I-j-\i after vowels (which shows that in this position it has merged with PK \I*-y-\i).|5154
783|*ñām-u (obl. mā-)|we (excl.)|544|āmu "we (excl.) (obl. mā-)"|māmu|māmbū|māmbu|māmbu|māmbu||||māmbu|Obl. for all \Imā-\i||5154
784|*ñān-u (obl. *nā-)|I|545|ānu (obl. nā-)|nānu (obl. nā-)|nānū (obl. nā-)|nānu (obl. nā-)|nānu (obl. nā-)|nānu (obl. nā-)||||nānu (obl. nā-)||Different initial consonants will not seem strange if we recall that \I*nā-\i < \I*Vnā-\i, which most probably < \I*ñǝnā-\i (the process was in fact older than PK, since \I*nā-\i is the Proto-Khond form for the oblique stem).|5160
785|*ñīn-u (obl. *ñī-)|you (2 sg.)|546|īnu|nīnu (obl. nī-)|nīnū (obl. nī-)|nīnu (obl. nī-)|nīnu (obl. nī-)|nīnu (obl. nī-)||||nīnu (obl. nī-)|||3684
786|*ṇak-[p-]|sweet|0|napka (< nak-p-; nakt-) "to be sweet"||rakhni|lakne|ṛak- (-h-) "to be sweet"|||||ṛak- (-h-) "to be sweet"|||5180
787|*oʔḷ-i|bear|547|oḍi, oli|||ouḍi|o'ṛi|||||||NB: the correspondence Kui \I*l\i (represented by \Iḍ\i or \Il\i) - Kuwi \I*ṛ\i points to PK \I*ḷ\i.|857
788|*oc-|to sew; to wear|1148|osa (osi-) "to sew, weave"|||oh'nai "to mesh"||||oc- (-it-) "to put on, wear (loincloth)"|||Also Kui pl. action \Ioska\i (\Ioski-\i)|This root has been confounded by B&E with PK \I*suc-\i. There certainly has been a little contamination between these two roots in different dialects; however, it is nothing compared to the way this root has been treated by B&E. They managed to insert it into THREE different items (sic!), with the forms horribly mixed-up. See DED 1012, 2715 and 2895 for detail. In Kuwi̲S, strangely, we have a \It-\iconjugation form.|1012
789|*oc-|to pronounce, guess|0||||||||||oc- (-it-)|Also Kuwi̲Isr \Ioconi\i riddle||937
790|*oḍ- (caus. *oṭ-)|clear, pure|548|oḍa (oḍi-) "to be clear, pure, bright"||odi(ti) "clear (of water)"|oth'nai "to purify, refine, heal"|||||oḍḍamne "beautiful"|oḍ- (-it-) "to grow well, recover"|Also Kui \Ioṭka\i (\Ioṭki-\i) pl. action; Kuwi̲S \Iothpinai\i to heal; \Iotpinai\i to cleanse; \Iotpi kēpinai\i to clean; Kuwi̲Isr \Ioṭ-\i (\I-h-\i) to strain, filter; \Ioṭpi ki-\i to make clean, cause to be clean||967
791|*oḍ- (*-ṭ-) (?)|to swear|0|oḍa (oḍi-) "to swear an oath; n. swearing"||ō̆tali "to take an oath"|ottinai||||||oṭu "proof"||The inlaut consonant is impossible to determine. Some of the forms may be borrowed from Telugu, or all of them may be.|959
792|*oḍ-u|bank of river|549|||||oḍu|oḍu||||oḍu|||965
793|*og-|trap; noose|550|oga (ogi-) "to trap, snare"||ūṛū ogali\i "to noose"|||||||og- (-it-) "to set a trap"|||934
794|*ok-|backyard|0|okol, okoli, ekoli "backyard, rear of the house"||okkopara "the space at the back of a house"|||||||okopāṛa "backyard of house"|||928
795|*ok- (-g-)|to remove; cart|551|opka (okt-) "to remove in loads, cart"|||okh'nai "to remove"|||||||||931
796|*oḷ-p-|to think|552|||oṛpali|onpinai||||||oṇp- (-it-) "to think, remember"|||698
797|*onḍa|cooked rice|0|||onda|onḍa "cooked rice, food"|onḍa "boiled rice"|onḍa "boiled rice"||||||Putting this root together with \I*uṇ-\i 'to drink' is difficult from the phonetical as well as the semantical point of view, at least on the PK level.|600
798|*orl-i|rat|553|oḍri|ori'i|oṛli|orli|orli|orli||||||In Kui \I-rl-\i > \I-lr-\i > \I-ḍr-\i, while in Kuttia \I-l-\i probably > \I*-y-\i.|994
799|*oṛ-|(Letchmajee) seven; (K) seven|554|odgi|oṛi|||||||||Also Kui \Iodi pattu\i seven times twelve dozen; (Friend-Pereira; Gumsar dialect) \Ioḍ\i seven; \Ioḍgi\i seven things; Kui̲K \Ioṛiŋ gōṛi\i 140||910
800|*oṛ- (*-ṭ-)|to pine for, lust after; n. desire, lust|0|oṛpa (oṛt-)||||||||||||691
801|*ot-|to fetch (persons)|0|ota (oti-)||||||||||||976
802|*ōc-|side; step-|0|osan āba, osan tanji "stepfather"|||ōca tanji\i "stepfather"||||||ōca "to one side"|Also Kui \Iosan aja\i, \Iosan ṭaḍi\i stepmother; Kuwi̲S, Kuwi̲Isr \Iōca talli\i stepmother|The vowel is irregularly short in Kui, probably because of contraction of two words and possible reduction of the first one.|938
803|*ōḍ-a|goat|555|ōḍa|||||||ōḍa|o'ḍā||||5152
804|*ō-|to take away, remove|556|ōva (ōt-)|to take away (things), take, receive|oiyali (ō-)||||||||Also Kui \Iopa\i (\Iot-\i) to lead away, take away (persons); n. act of leading away|An interesting interpretation of the causative form: 'take away' - 'lead away' instead of 'make to take away'. The form itself is slightly irregular (\I*ōppa\i < \I*ōv+pa\i would be expected); this suggests that it is somewhat more archaic than the regular innovations, maybe dating from a Proto-Kui period when there was no epenthetic \I-v-\i in the verbal noun.|984
