NUMBER|PROTO|MEANING|PRNUM|GONDI̲TR|GONDI̲W|GONDI̲PH|GONDI̲G|GONDI̲MU|GONDI̲MA|GONDI̲S|GONDI̲KO|GONDI̲Y|GONDI̲M|GONDI̲L|GONDI̲LU̲S|GONDI̲MND|GONDI̲CH|GONDI̲A|GONDI̲D|GONDI̲CHD|ADDITION|NOTES|DEDNUM|VOC̲NUM
781|*musur|rain|1103||||||||musur, musuṛ||musur||||||||||4914|2933
782|*mut-|woman|0||||mutte|mutte "old woman"|mutte|mutto "wife"|mutte "woman, wife"||mute "wife"|muṭo "old woman, mother, wife"|||||||||4954|2886
783|*muṭ-|hammer|486|||||muṭ|||muṭiya||||||||||Also Gondi̲Mu \Imuṭka\i a blow||4932|2874
784|*muṬ-onǯi|buttock|471||||||muṭonji|||||||||||||External data shows *-ḍḍ- to be primary. Maybe in Maria *-uḍ- > *-uṭ-?|4942|2876
785|*mujd-o|husband|0|moidō|moidō|moidō|mujo|mudiyo|mujjo|muido|mudpal||mudiyāl||||muido||||Also Gondi̲Mu \Imudiyal\i old man||4954|2860
786|*muj-|old|490|||muiānā, muitānā "to grow old"|muytor "old man"|muytor "old man"|muv- "to grow old"||muytonḍ "old man"||muytor "old man"||||||||Also Gondi̲Ma \Imuytor̨\i old man; Gondi̲G, Gondi̲Mu \Imuytaṛ\i, Gondi̲M \Imuytāṛ\i old woman; Gondi̲Ko (Su.) \Imuy-\i (fruit) to become mature; \Imukkāl\i old man; \Imukkād\i old woman||4954|2894
787|*muj-ā|bell|1105|||||muya "wooden cowbell, dancing-bell"|muya "dancing-bell"||||||mooya "a small metal bell"||||||||5025|2893
788|*muŋ-|to be more angry than sulky|0|mungsāng yētānā|||||||||||||||||||5021|2871
789|*muŋus|mongoose|488|mungus||||||muŋsi||muŋgus||||||mugus, (Su.) muggūs|||||4900|2870
790|*mūk-|dumb man|0||||||||mūkāl (Su.)||||||||||||5026|
791|*mūl-ā|corner|493||||||||mūla||mūla|||||mūla "(SR) horizon"|||||5044|2945
792|*mūnḍ|three (non-masc.)|0|mūnd|mūnḍ|mūnd||mūnḍ||||mūnd|mūnḍ|muṇḍ|||mūnd|mūnd||muḍu|Also Gondi̲Ph \Imuhk\i \Imuhk\i, Gondi̲Mu \Imuhk-muhk-ṭan\i three each; Gondi̲Chd (Pat.) \Imuhk\i three each; \Imuor\i, \Imudror\i third (masc.); \Imudane\i id. (fem.)||5052|2941
793|*mūnǯ|monkey|492|mūnj (pl. mūsk) "langur monkey (female)"|mūnjāl "ape"|||mūnjal "black-faced monkey"|mūnji "black-faced monkey"|mūnju "black-faced monkey"|mūnj "black-faced monkey"||munj||||||mūnjal "black-faced monkey"||||4910|2937
794|*mūṛam|misty, cold|472|||||||mūṛam "mist"|mūṭām "(Su.) cold"||||||||||||5033|2943
795|*mūṛ|beginning|1345|||||mūṛ|||||||||||||||5035|2942
796|*mūr-|cow|1376|||mūrā|mure||mure ponda "milch cow"|||mura||murri|moore||mūṛā|mura, (Su.) mūrā|||||5041|2898
797|*mūṛ-|to ripen (of a boil)|0|mūṛānā|||||||||||||||||Also Gondi \Imuṛkstānā\i to cram achar berries into a pot, to rot them before extracting the chironji kernels|The exact dialect is not specified.|5046|
798|*mūt-eR|mucus, snot|489|||||mūter "mucus of nose"|mūter̨ "mucus of nose"||mūter "mucus of nose"||||mootyagai "running discharge from the nose"||||||||4909|2939
799|*mūṭ-ā|bundle|502||||||||mūṭa||mūṭa "a pack"||||||||||5037|2938
800|*mū-vur|three (masc.)|491||||mūvur||mūvur|mūvur|mūvur|mūvir|||||||||||5052|2941
801|*naRk-ā|night|1273|narkā|narkā|narkā|narka||nah̲ka||narka|narka|narkā||||narka|narka|narka||||3613|1932
802|*naḍum|middle|1109|naḍḍum "middle, among"|naḍum "among"|naḍḍum "middle, among"||naḍḍum|naḍum|naḍum|naṛmita "internal"||naḍum "middle, between"||||naḍḍum "middle, among"|naḍum "(SR) middle"|||Also Gondi̲Mu \Inaḍum narka\i midnight; Gondi̲Ko \Inaḍ narka\i midnight; Gondi̲M \Inaṛimursūl\i waist; \Imursulnaṛī\i loins; Gondi̲A (Su.) \Inaṭpē\i middle (adj.); \Inaḍḍī\i waist; \Inaḍḍūm\i centre, middle||3584|1919
803|*nalm-|to chew|0||||||||nalm- (Su.)||||||||||||3595|
804|*naṛ|bug|507|naṛ|nar|nar||naṛ|naṛ(i)||||||narè||||naṛ||||3621|1941
805|*naṛam|penis of animals|0|naṛam||||||||||||||||||The dialect is not specified.|3681|
806|*nar-[am]|vein, nerve|506|||||||naral (pl. -ku)|naram (pl. narask)||||||||||||2903|1928
807|*nak-|jackal|503||||||narkal (pl. narkasku)||nakka|||darkā "fox"||||||||The form \Inarkal\i is probably influenced by SDR \Inari\i.|3606|1930, 1842
808|*nark-|to cut, chop|1106|narkānā "to cut (but not of meat nor of crops, generally of wood)"|narkānā "to chop"|narkānā "to chop"||naṛk- "to cut with axe"|naṛk- "to cut (firewood)"|nark- "to cut (fuel)"|||naṛkānā "to cut"|narkanā "to cut"|||nark-, naṛk- "to cut (wood)"||||||3625|1931
809|*nas|toad|0|nas pannē||nas pannē||||||||||||nas panne (SR)|||Also Gondi̲Tr, Gondi̲Ph \Inas vēlī\i a creeper used to poison fish||3580|1951
810|*nat-|to calve; to throw out|0|nattānā "to dash or throw down, discard, throw away, abandon (esp. a habit)"|nattānā "to give birth to, calve"|nattānā "to give birth to, calve"|||||||||||natt- "to throw down"||||Also Gondi̲W \Inaccānā\i, Gondi̲Ph \Inaccānā\i, \Inacchānā\i to cast, fling||3760|1921
811|*nāR|village|515|nār (obl. nāṭ-, pl. nāhk)|nār (obl. nāṭ-, pl. nāhk)|nār (obl. nāṭ-, pl. nāhk)||nār (obl. nāṭ-, pl. nāhk)|nār̨ (obl. nāṭ-, pl. nāh̲ku)||||||nagoo|||nār (obl. nāṭ-, pl. nāhk)|||||3638|1964
812|*nāhk-|to open eyes|0||||nāhk-||nāʔk-||||||||||||||3642|1974
813|*nāk-|to lick|510|nākānā|nākīnā|||nāk-|nāk-|nāk-|nāk-||||||||||||3570|1952
814|*nāl-uŋ/*nāl-vur|four|511|nālung|||nālvur "four (men)"|nālvur "four (men)"|nālvur "four (men)"|nālgur "four (men)"||nālvir "four (men)"||||lālur (jhan) "four (men)"|||||Also Gondi̲Tr \Inālk\i four each; Gondi̲Y, Gondi̲Mu, Gondi̲Ma, Gondi̲S \Ināluŋ\i, Gondi̲A (SR) \Inālung\i, Gondi̲W, Gondi̲L \Inālūng\i, Gondi̲Chd \Inalung\i, Gondi̲Mnd \Ilālũ\i four (non-masc.)||3655|1972
815|*nān-ci|Bambusa arundinacea|1427||||||||||nānci||||||||||2909|1959
816|*nānd- (caus. *nāh-)|to be or get wet|1182|nāndānā|nāndānā|nāndānā||||nānd-|nānd-|nān-|nāndānā||||||||Also caus. Gondi̲Tr, Gondi̲W, Gondi̲Ph \Ināhtānā\i, Gondi̲Tr \Ināndstānā\i, Gondi̲A (SR) \Ināhānā\i to wet, soak; Gondi̲Y, Gondi̲G, Gondi̲Mu, Gondi̲Ma (S), Gondi̲S \Ināh-\i, Gondi̲MA \Ināʔ-\i, Gondi̲Ko \Inā/h/-\i to make wet||3630|1960
817|*nāṛ|crack in a pot|0|nāṛ||nāṛ|||||||||||||||||2927|1967
818|*nār|anjan tree (from which rope is prepared)|1108|||||||nār ēpa|||||||||||||3651|1965
819|*nār-|a k. of fish|0|nāṛī "the eel-like bām fish"||||nār "sp. fish (H. bāmī)"||||||||||nārī "(Su.) a kind of fish"|||||3654|1963
820|*nāṛ-|to see, look at|0||nāṛ-|nāṛ-|||||||||||||||Also Gondi̲W \Inād-\i to gaze||3637|1971
821|*nāṛ-i|tomorrow|1176|nāṛī|nāṛi "yesterday"||nāṛi|nāṛ(i)|nāṛ(i)||nāṛ|nāṛi|nāṛ, nāṛī|||||nāṛi|||||3656|
822|*nāŋel|plough|516||nāŋgēl||nāŋgel|nāŋgel|nāŋgili (pl. nāŋgisku)||nāŋgel, (Su.) nāŋēl, nāyŋēl|nāŋgal|nāŋgel|||||nāngyal, (Su.) nāynāl|||||2907|1956
823|*neh-nā|good|520||nahnā "well (of health)"|nahnal "excellent, good"||nehna|neʔna||||nehnā "good, handsome"|nihnā|||||||||3735|2041
824|*nelenǯ|moon|389|nalēnj "moon, new moon"|nalenj|nalenj|nelenj|nalenj (pl. nalesk), lalenj, lelenj "moon, month"|lēnj||lēnj||nelenj|||||lelenj, (SR) nelenj|||Also Gondi̲M \Ilenj\i month||3754|2036
825|*nel-ā|good|0||||||||||nelā||||||||||3610|2035
826|*nel-i|Phyllanthus emblica|517|nallī|nallī|nallī|nelli|||||nelli|nelli|||||nelli|||||3755|2037
827|*nervānǯ|earthworm|1111|narwānj||nārvānj|nervonj||nervunji|||||||||nāḍvānj "(SR) water worms"|||||2906|1938
828|*net-k-|snail|0||||||||netka||||||||||||3591|2026
829|*neṭk-|to cut (wood)|0|||||||||neṭk- "to cut by splitting"|||||naṭk-|neṭk- "to cut (firewood)"|||||3586|2025
830|*netur|blood|521|nattur|nattur|nattur||nattur||nettur|nettur|nettur|netur||||nattur|nettur|||Also Gondi̲Ch \Inattur raŋ\i red; Gondi̲Mu \Inatral\i blackish red; Gondi̲Hislop \Inetral\i red||3748|2027
831|*nij|oil, ghee|530|nī "oil"|nī "oil"|nī "oil"||nīy, ney "oil"|nīy(i) "oil"|nīy(y)u "oil"|nīy "ghee"||neī "oil"|||||nī, (SR) neyi "oil"|||Also Gondi̲Tr \Ipāl nī\i ghee; \Iphukī nī\i honey||3746|2001
832|*nej|dog|514|nai|nāi||||ney||ney||nāī|||||ney|||Also Gondi̲M \Irac nāī\i, Gondi̲Ko \Irasi ney\i wild dog||3650|2030, 3010
833|*nej-|smooth|0||||||neyp- "to make smooth"||||nēm||||||||||3602|2032, 2052
834|*nēc|the crown of the head|1112|nēc (talā)|||||||||||||||||||3759|2045
835|*nēc-|to weave|519||||||||nēcc- (Su.)||||||||||||3745|
836|*nēk-|to sound|0|nēkānā "to sound (of a pot, gong, bell)"|||nēk- "(musical instrument) to sound"|nēk- "(musical instrument) to sound"|nēk- "(bell) to sound"||||nēkānā "to ring"|||||nēkānā "(SR) to sound (of a pot, gong, bell)"||eksānā "to beat (drum)"|Also caus Gondi̲Tr \Inēkstānā\i, Gondi̲A (SR) \Inēksānā\i, Gondi̲Mu \Inēkih-\i; Gondi̲Chd \Ieganta\i (spelled \Iyeganta\i) o'clock (= 3sg. neut. pres.)||3762|2042, 331, 332
837|*nēl-i|ground; field|522|nēlī (gen. nēdā, pl. nēlk) "field"|nēl, nēlī "field"|nēl, nēlī "field"|nēl "ground, earth"|nēl, nēli "ground, earth"|nēl "ground, earth"|nēli "field"|nēl "land, flat land, ground, plain"||nēl "ground, earth"||nèlee "ground, room, place"|lēli "field"|||||||2913|2056
838|*nēnḍ|today|542|nēnḍ (gen. nēṭā)|nēr|nēnḍ (gen. nēṭā)|nēnḍu|nēnḍ|nēnḍu|nēnḍu|nēnḍ|nēnḍ|nēnḍ|||||nēnḍ|nēnḍ||Also Gondi̲FH \Ineṭal\i from today; Gondi̲Ko \Inēṭke\i for today; Gondi̲Tr \Inēṭi\i a day (only as a suffix); Gondi̲Ph \Iitwār-nēṭ\i Sunday||2920|2048, 2049
839|*nēnǯ-|to breathe; to pant|523|nēskānā "to breathe heavily, pant"||nēskānā "to breathe heavily, pant"|nēsk- "to breathe"|nēsk- "to breathe"|nēnjkaṛ(i) "breath, pulse which throbs in a child's head"||nēj- "to breathe"||nēskānā "to breathe"|||||nēsk- "to breathe"|||Also Gondi̲Ko \Inēs\i breath; Gondi̲A (SR) \Inēskānā\i to pant||3765|2046
840|*nēr-s-|to learn|1352||||||||nars-||||||||||Also Gondi̲Ko \Inarsp-\i to teach; (T) \Inērs-\i to learn||3770|1939
841|*nēŋ|custom|0||nēng|nēng|||||||||||||||||3763|2044
842|*nēŋ-|to enter|993||nengānā "to intrude"|nengānā||nēŋ-|nēŋg-|nēŋ- "to enter, pierce"||||||||nēŋ-, (SR) nēngānā|||Also Gondi̲A (SR) \Inēngusānā\i to thrusst, pierce; Gondi̲Ph \Inecahtānā\i to make to enter; \Inehtānā\i to shut in (cattle); Gondi̲Mu \Inēh-\i to push in, thrust in||3764|2043
843|*niRnǯ-al|an internal organ|0|niran̲jal "an internal organ, possibly the sweetbreads"|||||nar̨njaṛi||||||||||||Also Gondi̲Tr \Iniṛjaṛ\i the spleen of animals||3751|1983, 1995
844|*nik-|to stretch forward|0||||||||nikk-||||||||||||3662|1975
845|*nil-|to stand|525|nittānā, nillānā|nitānā|nittānā (2sg. imper. nillā)||nit-||nil- (nitt-)|nil- (nitt-)||nitānā, nilānā||||||||Also caus. Gondi̲Tr \Inilehtānā\i to make to stand, set up (a tent); Gondi̲W \Inilahtānā\i, Gondi̲Ph \Iniccahtānā\i, Gondi̲Mu \Initih-\i, Gondi̲S \Inipcah-\i, Gondi̲Ko \Inilsp-\i to make to stand||3675|1977
846|*nilk|mould on leather|0|nilk|||||||||||||||||||3713|1998
847|*nind̲- (caus. *nih-)|to be filled|518|nindānā "to be filled (of pots, of a bazaar or assembly)"||nindānā|nind-|nind-|nind-||ninḍ-, nenḍ-||||||nind-|nind-|||Also Gondi̲Tr, Gondi̲W, Gondi̲Ph \Inihtānā\i, Gondi̲A, Gondi̲G, Gondi̲Mu, Gondi̲S, Gondi̲Ko \Inih-\i, Gondi̲Ma \Iniʔ-\i to fill (tr.)||3682|1999
848|*nin-e|yesterday|683|ninnē (obl. ninnēṭ-)|ninnē|ninnē|||ninne||ninne|ninne||||||ninne|||||3758|1980
849|*nirgul-|Vitex negundo|0|||||||||||||||nī̆rguli|||||3781|2007
850|*niril|pulse in child's head|0|niṛil||niril|||||||||||||||||3759|1984
851|*nirp-|thin (man or woman)|0||||||nirpal||||||||||||||3771|1989
852|*nir-|to burn (intr.)|117|nirwānā|||||||||||||||||Also Gondi̲Tr caus. \Inirustānā\i||2929|1991
853|*nīR|ashes|994|nīr (gen. nītā, pl. nīhk)|nīr|nīr||nīr|nīr̨(i) (obl. nīṭ-)||||||||||||||3693|2004
854|*nīṛ-|shade, shadow|704|||||||nīṛa, nīṛka "shade"|nīṛka "shade"|||nīrā "shadow"|||||||||3679|2009
855|*nīr-e|last year|1115|nīrē|nīre|nīre||nīre|nīre||||||||nīre, nīṛe||||||3674|2006
856|*nīṭ-|true, right|1113|||||||||||nīṭum, nītum "indeed, truly"||||nīṭ "(SR) right, proper"|||||3739|2002
857|*noR-|to wash|532|norrānā "to wash (hands or feet)"|nurrānā|nurrānā|nor- "to wash (hands, etc.)"|norr- "to wash (hands, etc.)"|nor̨- (noh̲t-) "to wash (hands)"|nor- "to wash (hands, etc.)"|norr- "to wash (hands, etc.)"||||||||||||3783|2061
858|*nok-|to writhe|0|nokkānā "to writhe in death, or in a fit"||nokkānā "to writhe in death, or in a fit"||||||||||||nohkānā "(SR) to writhe"|||Also Gondi̲A (Su.) \Inoṛk-\i to crawl on stomach; \Inoṛkūs-\i to make (child) crawl on stomach||3789|2058
859|*nōR-|to grind|539|nōrānā "to grind grain"|norrānā|nōrānā "to grind grain"|nōr-||nōr̨-, (S) nōhk-|nōr-|nōr-|nōr-|||||nōr-|nōr-||nor-, nohk-|||3728|2065
860|*nōṇ-e|rope|537|nōnē (pl. -hk)|nōne|nōne|||nōne, nōṇe, nōnḍe|nōnḍe|nōṛe|nōḍe|nōnḍe|noṇe||||nōḍe|||Also Gondi̲S \Inōṭ-\i to twine (rope); Gondi̲A (Su.) \Inōṛe\i rope, bowstring; \Inōṭ-\i to entwine||2908|2064
861|*nōj-|to hurt; pain|535|noiyānā "to hurt, pain, ache"||||nō- "to pain (intr.)"|nōy- "to hurt, pain (intr.)"|nō- "to hurt, pain (intr.)"|nōy- "to hurt, pain (intr.)"|||nosanā "to ache, pain"||||nō- "(Su.) to pain"|||Also Gondi̲Mu \Inōyh-\i, \Inōph-\i, \Inōh-\i to pain (tr.); \Inōykaṛ\i pain; Gondi̲L \Inosī\i pain; Gondi̲Ko \Inoppu\i pain||3793|2057
862|*nul-e|a k. of insect|0|nullē "a flea, esp. one which damages kodon and kutki flowers"|nulle "gnat"|||nulle "a small insect which bites in the rainy season"|nulle "a small insect which bites in the rainy season"||||nūle "mosquito"|nulē "mosquito"|||||||||3715|2015
863|*nuj|a well|0||||||||nuy||||||||||||3706|2012
864|*nūk-|broken rice|540|nūkāng "(pl.) broken chironji kernels"|nūkā "rice broken in grinding"||nūka (pl. nūkaŋ)|nūka (pl. nūkaŋ)|nūka (pl. nūkaŋ)||||||||||||||3728|2017
865|*nūs-|weevil, mosquito|1327|nūsī "flour-weevil"|nūsī "weevil"|nūsī "weevil"|||nusme "mosquito"|||||||||nusi "(SR) crop rust"|nusme "mosquito"||||3699|2021
866|*ñam-āṭ (obl. *mā-)|we|544|ammaṭ (obl. mā-)|mammāṭ (obl. mā-)|ammāṭ, ammoṭ, mammāṭ, mammāṛ (obl. mā-)||mamma, mammoṭ (obl. mā-)|||mamma (Su.)||mamāṭ, māṭ (obl. mā-)|māmaṭ (obl. mā-)||||mamoṭ, mamo, marāṭ (obl. mā-) (SR)|||Also Gondi \Inamoṭ\i we||5154|2707
867|*ñan-ā (emph. *ñann-ā; obl. *nā-)|I|545|anā, (emph.) annā|nannā||||nana|||nana|nanā (obl. nā-)|nanā, nannā (obl. nā-)||||nana (SR)|||||5160|1923
868|*ñim-āṭ (obl. *mī-)|you (pl.)|531|immaṭ (obl. mī-)|immāṭ (obl. mī-)|immāṭ (obl. mī-)||nimaṭ (obl. mī-)|mīṭ (obl. mī-)|nimeṭ (obl. mī-)||imeṭ (obl. mī-)||nīmaṭ (obl. mī-)||||nimeṭ (obl. mī-) (SR)|||||3688|178
869|*ñim[m]-ā (obl. *nī-)|thou|546|immā (obl. nī-)|immā (obl. nī-)|immā (obl. nī-)|nima, nimma (obl. nī-)|nima, nimma (obl. nī-)|nima (obl. nī-)||||nima (obl. nī-)||||ima (obl. nī-)|nime (obl. nī-) (SR)|||||3684|177
870|*oḍ-u|raised bank of river|549|||||||oḍu|oḍu||||||||||||965|403
871|*og-|to set a trap|550|||vaggānā, vakkānā "to set snare"|||og- "to set (fishtrap)"||||||||||||||934|399
872|*oh-|to see; to appear|0|||||oh- "to see"|oʔ- "to appear, be seen"||||||||||||||987|434
873|*olc-|to sew|0|walcānā|walcānā|valc-|||olc-||ols-|||olcanā "to repair, mend"|||valc-||||||1007|431
874|*oḷ-|to bend down|1226|||||ol-|ol-, oḷ-||||||||||||||1015|429
875|*onḍ-e|leech|0|||||onḍe|onḍe||||||||||onḍe||||600|407
876|*onḍ-i|elephant's trunk|0|||||||||||onḍī|||||||||3311|406
877|*op-|to please, be good|558|appānā "to be pleasing"|||||||op- "only in negative 'to be bad'"||opo "ugly"||||||||||924|412
878|*orc-|the tree Cleistanthus collinus|0||||||||||orcha||||||||||951|
879|*or-|one; together|691|wōṛul "a certain man"|warpne "at one place"|varpane "together"||orpan "at one place"||||oror "one (masc.)"||||oṛe "one (masc.)"|||||Also Gondi̲Y \Iorone\i alone; Gondi̲Ph \Iarpā āyānā\i to assemble; Gondi̲Tr \Iwārsanē\i all at once or together|The form \Iwōṛul\i can only be traced back to a form with \I*ō-\i, although the reasons of such a lenghtening are unclear. Initial \I*w-\i is strange too (maybe it is due to some specific sandhi). In \Iwārsanē\i original \I*ō\i is assimilated to following \I-a-\i.|990|418, 420
880|*or-|aside|0||||||ori- "to move aside"|||||||||vorke "(SR) aside"|||||993|415
881|*oṛu-ŋ- (caus. *oṛu-s-)|to peel, flay|708|urumānā (Gramm. uṛumānā) "to be scraped or skinned, esp. of a head of maize"|||oṛh-|oṛŋ- "to be peeled, flayed"|oṛʔ-||||||||||||Also Gondi̲Tr \Iuruhtānā\i (Gramm. \Iuṛuhtānā\i) to skin, flay, peel; \Itōl urhuttānā\i to take off (skin, bark); Gondi̲Mu tr. \Ioṛih-\i||757|264, 426
882|*oj-/*ō-|to carry, to take away|556|woiānā "to take away"|woīnā "to take away"|voitānā, voiānā "to take away"|oy-/ō- "to take, take away, carry"|oy-/ō- "to take, take away, carry"|oy- "to carry"||oy- "to carry"|oy-/ō- "to take, take away, carry"|oyānā "to carry"|||||oy-/ō- "to take, take away, carry"|||Also Gondi̲A (SR) \Ioyānā\i to take; Gondi̲Ph caus. \Ivosahtānā\i||984|414
883|*ōR- (caus. *oR-s-)|to burst, break|560|wōṛānā "to burst of an egg or pot"|ohtānā "to break (tr.)"|orsahtānā "to break (tr.)"|ōr- "to break (intr.)"|orih- "to break (tr.)"||||ōr- "to break (intr.)"|||||ōr- "to break (intr.)"|ōr- "to break (intr.)"|||Also Gondi̲Tr \Iwōhtānā\i to burst (tr.), (chicks) hatch out; Gondi̲A \Iōh-\i to break (tr.)||946|442
884|*ō-nR (pl. *ō-ṛ)|he, that man|1|ōr/ōl (obl. ōn-), pl. ōṛ/ōṛk "he, that man, those men"|ōr (pl. -k) "he, that man, those men"|ōr (pl. -k) "he, that man, those men"|||ōr̨ (pl. ōr) "he, that man, those men"||ōnḍu||||||ōl||||||1|441
885|*ōk-|one each|0|ōkō, ōkōrē|||||||||||||||||||990|398
886|*ōl-|to hatch eggs|0||||ōl-||ōl-|||||||||volānā (SR)|||||1067|446
887|*ōṛ-|to dry|1117|||||ōṛ- "to dry (clothes, etc.)"|||ōṛ- "to dry (clothes, etc.)"||ōṛānā "to dry (tr.)"||||||||||1073|443
888|*ōṛ-ā|boat|1300|||||||ōṛa|ōṛa||ōḍa|||||||oda (i.e. ōḍa) "donga"|||1039|437
889|*paRas-|gourd|234|parās|parās|parrās, porrās "gourd vessel"||paras "gourd vessel"|par̨as "gourd vessel"||||||pugashee "a bitter gourd"||paras "gourd vessel"||||||4021|2128
890|*paR-|to be able, be well|1230||paṛkīnā "to be able"|purrānā, porrānā|par-|par(r)-, paṛ-|par̨-||par-||par-|||||parānā|||Also Gondi̲Mu, Gondi̲M \Iparvor\i ill man||3853|2126, 2153
891|*paRi-|to fly (of birds)|1229|parītānā|porītānā||pari-|parrī-|par̨i-|pari-|pari-|pari-|pharhānā|||||pari-|||Also Gondi̲Mu caus. \Iparrih-\i; Gondi̲Tr \Iparēnḍlī\i, \Iparānḍlī\i, \Ipharāngul\i flying squirrel; \Ipark jiānā\i to overflow banks (of a river)||4020|2136
892|*pac-|to stick|0||pacihtānā||||||||||||||||||3827|2074
893|*pad|ten|1201|pad|pad|||||||||||||||pad (pl. patk), (Pat.) padi|||3918|2105
894|*paḍ-ā|calf|1118|paḍḍā "cow-calf"|paḍḍā "female calf, heifer"|paḍḍā "female calf, heifer"||paḍḍa, peḍḍa "female calf, heifer"|paḍa piya "female calf, heifer"||paḍa pila "calf of buffalo"|paḍḍa "female calf, heifer"|paḍḍā "cow-calf"||puda "heifer"||paḍḍa "female calf, heifer"|paḍḍa piya "female calf, heifer"|paḍa peyya "female calf, heifer"||||3881|2091
895|*padn-|sharpness|565|||||||||||||||padnā (Su.)|||||3907|
896|*pad-i|hog, pig|568|paddī|paddī|paddī||paddi|paddal "swineherd"|paddi||paddi||||||paddi|||||4039|2111
897|*paj-|to split|587|paiyānā "to be split (of wood, with axe)"|paiyānā "to split (intr.)"|paiyānā "to split (intr.)"||paŋ- "to split (intr.)"|paʔ- "to split (tr.)"|pay- "to be split"|pay- "to be split"||||pukee "a portion split from a bamboo"||||||Also Gondi̲Mu \Ipayih-/pah-,\i Gondi̲W \Ipaiyatānā\i, \Ipaihatānā\i, Gondi̲Ph \Ipaiyahtānā\i, \Ipaisahtānā\i, Gondi̲Ko \Ipah-\i to split (tr.); Gondi̲Tr \Ipakkī\i, Gondi̲W, Gondi̲Ph \Ipahkī\i, Gondi̲Mu \Ipaki\i, Gondi̲Ko \Ipak\i split bamboo||3808|2071, 2069, 2121
898|*pah-n-|wet, raw; green|997||pāhnāl "raw, wet"|pāhnāl "wet"|pahna "unripe, green"|pahna "unripe, green"|||pahna "green"||pāntā "green"|||||pahānā "(Su.) wet; raw, green, tender"|||Also Gondi̲Tr \Ibaccī\i green slime on stones||3821|2172
899|*pahur|camel's foot creeper|562|pahur "camel's foot creeper, Bauhinia vahlii"|pāūr "Bauhinia vahli, siyāri"|||paur, paurjap "Bauhinia vahli, siyāri"|||||pāūr "Bauhinia vahli, siyāri"||||pāhur "a creeper having large leaves used for plates"||||||3801|2171
900|*pal|tooth|570|pal|pal|pal, val||pal|||||||||||||||3986|2159
901|*Pal|lizard|1042||||||||bal ḍok(k)e "house lizard"|pal|||||||||||3994|2160
902|*pal-a|plain, meadow|0||||||palla "plain, maidan"|||||palla "meadow, plain"|||||||||4016|2164
903|*palkār|toothwig|0|||palkār|parkal|parkal|pelkiar̨||parkal||||||||||||3986|2137
904|*panḍ-|to make, build|1119||||panḍ- "to build (house)"|panḍ- "to make, build, repair"|panḍ- "to make, construct"||paṛi "work"|||pandānā "to make, repair"|||||||||3884|2092, 2093
905|*panḍ-|to become ripe|575|panḍānā|panḍīnā|||panḍ- "to become ripe, (hair) to become grey, (leaf) to become yellow"||panḍ- "to become ripe, (hair) to become grey"|panḍ- "to become ripe, (hair) to become grey"|panḍ- "to become ripe, (hair) to become grey"|||||panḍ- "to become ripe, (hair) to become grey"||||Also Gondi̲W \Ipaṇṛtal\i, Gondi̲M \Ipanḍta\i ripe; Gondi̲A, Gondi̲Mu, Gondi̲Ma, Gondi̲S, Gondi̲Ko \Ipanḍ/i/\i ripe fruit; Gondi̲Tr \Ipandīng\i sweet, ripe achar berries||4004|2094, 2095
906|*panḍ-om|holiday|1120|||||||||||panḍom|||||||Also Gondi̲Elwin \Ibandum\i festival, (Grigson) a first-fruit or new-eating ceremony||3899|2097
907|*pan- (*-ṇ-)|to acquire|595||pannānā|pannānā|||||||||||||||Also Gondi̲Hislop \Ipatus-\i to kindle||4034|2117
908|*panǯ-|to be satisfied, replete, filled|576|panjānā||panjānā||panj-|panj-|||||||||panj-|panj-||Also Gondi̲Mu caus. \Ipanjih-\i||3837|2080
909|*pant-i|bowstring|998|||||panti|||pant||||||||||||3923|2115
910|*paṛan-ā|old|632||||paṛana|paṛana|paṛna||||||padna|||paḍana (SR)|||||3999|2148
911|*par-|drum|1228||||parra|par(r)ay||||||||||para|||Also Gondi̲A (SR) \Ipharā\i small drum||4032|2125
912|*paṛ|to break (intr.)|566|||||paṛa han-|||||||||||||||3854|2149
913|*park-|to search|579|paṛkānā, parkānā, pirkānā||||park-|park-|||||parkanā, parahkanā||||parrānā (SR)||parkānā, (Pat.) pāhakānā|||3956|2142
914|*parnḍ-e|frog; muscle|572|pannē "frog"|pannē "frog"|pannē, pangāl "frog"||panne "frog"|panḍe "frog"||panḍe "frog"|penne "muscle"|||||panne "muscle"|pannē "(SR) frog"|||Also Gondi̲Ch \Ipanne\i, Gondi̲A \Ipenne\i muscle; Gondi̲A (Su.) \Ipennē\i frog||3955|2118, 2119
915|*part|cotton|580||||||||part||||||||||||3976|2138
916|*pasaṛ|bank of river|0|||||||||pasaṛ|||||||||||3823|2167
917|*paṭ (*-t)|to sleep on one's back|583|phat waṛēngānā|||||||||||||||||||3863|3294
918|*paṭ-|to lie down; to crouch|1231|paṭṭānā "to sit, crouch (of men or animals), (buffaloes) to wallow"|paṭṭīnā "to lie down (of animals)"|paṭṭānā, poṭṭānā "to lie down (of animals)"||||||||||||paṭṭ- "to lie down"|||Also Gondi̲A (SR) \Ipaṭṭānā\i to rest (of cattle); Gondi̲A (Su.) \Ipharāyīŋ\i west||3852|2087
