NUMBER|PROTO|MEANING|PRNUM|STEMS|TAM|TAMMEAN|TAMDER|MAL|MALMEAN|MALDER|KAN|KANMEAN|KANDER|KOD|KODMEAN|KODDER|TUL|TULMEAN|TULDER|KT|KTNUM|IRU|IRUMEAN|IRUDER|KAS|KASMEAN|KASDER|MISC|NOTES|DEDNUM|CHECKED
2065|*Caḷ-i|catarrh, mucus|0||caḷi|catarrh, mucus blown out of the nose, phlegm|(\I-pp-, -tt-\i) to catch cold; \Icaḷippu\i catarrh|caḷi|mucus; semen||||||||||||0|||||||||2409|N
2066|*aḷi-|son-in-law, brother-in-law|1440|||||aḷiyan|brother-in-law, wife's brother or sister's husband||aḷiya|son-in-law|\Iaḷiyatana\i state of being a son-in-law||||aḷiya|son-in-law, nephew||*aL-ĭ|1184|||||||||2410|N
2067|*aḷ-ai|buttermilk|1455||aḷai|curds, curdled milk, buttermilk, butter|\Iaḷḷi\i butter||||aḷe|buttermilk|||||alè, aḷè|buttermilk|||0|||||||||2411|N
2068|*čaḷ-|mud; bog|0||caḷḷal|mud, slush|\Icaḷacaḷa\i (\I-pp-, -tt-\i) to be wet, muddy, sloppy; \Iaḷḷal\i, \Iaḷakkar\i, \Iaḷar̲u\i mud, mire|caḷḷa|bog, sludge|\Icaḷi\i, \Iceḷi\i, \Iceḷḷa\i mud, mire; \Icaḷumpu\i bog, slush|caḷiya|state of growing muddy|\Iaḷḷa-nela\i bog, morass||||||||0|||||||||2412|N
2069|*Saḷ-|to slacken|0||caḷḷu (caḷḷi-)|to slacken, abate||caḷḷuka|to slacken||||||||||||0|||||||||2413|N
2070|*saḷ-|trouble; bad|0||caḷḷu, caḷḷai|trouble, annoyance|\Icaḷḷu-ppuḷḷu\i quarrel, trouble, worry|caḷḷu|bad, rude|\Icaḷḷakkan\i a very passionate man; \Icaḷḷattam\i meanness||||||||||*saḷ-ǝ|99|||||||||2414|N
2071|*ӡaḷ-|tender, young, unsubstantial|0||caḷḷu-kkāy|tender and undeveloped green fruit||caḷḷu|unsubstantial, unripe||jaḷḷu|unsubstantiality, emptiness, hollowness, worthlessness, defect|\Ijaḷḷuga\i a weak, feeble man; \Ijāḷu\i wothlessness, emptiness, hollowness; ? \Ijaraḍu\i unsubstantiality, uselessness; (Coorg) \Isaḷke\i lean||||callụ, (\IB-K\i) caḷḷụ|stupid, dull, timorous, imbecile, weak, useless|\Icallāpini\i to get weak, become useless; \Icalle\i a weak or timid man||0|||||||||2415|N
2072|*sar̲-i|paste, gum|0||||||||sar̲i|paste, gum, glue|||||||||0|||||||||2418|N
2073|*ǯar̲-|to rebuke|0||||||||jar̲e, jar̲i, jer̲e, jer̲i|to rebuke, abuse, jeer at; n. an imprecation or term of abuse|\Ijar̲aha\i rebuke, censure; \Ijarvu\i, \Ijabbu\i, \Ijabarisu\i, \Ijabbarisu\i to chide, scold, abuse, rebuke||||jaripuni, jarepuni, jarpuni|to insult, jeer, despise|||0|||||||||2422|N
2074|*čan-|beauty|0||||||||cannu, cennu|straightness, beauty, grace, niceness, properness, elegance|\Icanna\i, \Icenna\i a man of beauty, a handsome man; fem. \Icanni\i, \Icanne\i, \Icenne\i; \Icannage\i handsomely, nicely, properly; \Icanniga\i a handsome, fine man||||canna|handsome, well|||0|||||||||2423|N
2075|*san-ai|lever|0||can̲n̲ai|timber used as a lever to help the movement of temple car|||||sanne, sonne|a lever|||||sanne-kōlụ|a lever|||0|||||||||2425|N
2076|*sā- (*c-)|to die|728||cā (cāv-/cākuv-, cett-)|to die, be spoiled or blighted (as crops), be exhausted|\Icāvu\i death, ghost; \Icākkāṭu\i death; \Icettal\i dying; ? \Iceku\i (\I-pp-, -tt-\i) to destroy, kill|cāka (catt-)|to die|\Icākku\i death, mortality; \Icāvu\i death, case of death, mourning feast; \Icatta\i dead|sāy (sattu)|to die|\Isāvu\i death, a corpse|cāḷ- (cāv-, catt-)|to die|\Icāvu\i corpse|saipini, taipini|to die, be starved|\Isailè\i ghost; \Isāvu\i, \Itāvu\i death, mourning feast|*sā/*saj-|105||||||||Toda speaks in favour of *s-, but the form might be borrowed.|2426|N
2077|*sāŋk-|to foster, rear|1415||||||||sāku|to bring up, foster, rear, nurse, keep, protect, preserve; n. bringing up, fostering, etc.|\Isākisu\i to cause to bring up, etc.|cāk- (cāki-)|to rear (child, young animal)||sāŋkuni|to foster, nourish, nurse, bring up, take care of, protect, shelter|caus. \Isāŋkāvuni\i; \Isāŋkaṇè\i fostering, nursing, nourishing, bringing up, adoption|*sāk-|101|||||||||2427|N
2078|*sāk-|excuse|0||cākku|excuse, pretext|||||sāku|excuse, pretence, palliation|||||||||0|||||||||2428|N
2079|*sā-|to go, proceed|727||cāy (-v-, -nt-)|to march in crowds, happen, succeed|||||sāgu|to go, move forward, proceed, advance, continue in time, last, come upon with grievous effect (as trouble), be brought about, achieved, or accomplished|\Isāgu\i, \Isāga\i advance, improvement, cultivation, tillage; \Isāgavaḷi\i, \Isāguvaḷi\i cultivation; \Isāgisu\i to cause to go or go on, carry on, cause to proceed or advance, perform or do, conduct, carry on, manage, convey, sustain, maintain, foster, nourish, cultivate||||sāguni|to proceed, progress (as work), be dispatched (as goods), move forward, advance|\Isāgu\i prosecution, progress, as of work; \Isāgāvuni\i to expedite (as work), send, dispatch (as goods), do a thing perfunctorily; \Isāguvaḷi\i, \Isāgoḷi\i, \Isāgvaḷi\i farming, tillage, cultivation of land|*Sāg-|1221|||||||||2430|N
2080|*Sāk-|a k. of kaste|0||cākkaiyan̲|member of a caste whose profession in ancient times was to sing and dance in temples and palaces|\Icākkaikkūttu\i dance performed by Cākkiyan̲|cākki, \Ipl. hon.\i cākkiyār, cākyār|a caste of half-brahmans who sing and dance before gods and brahmans||||||||||||0|||||||||2432|N
2081|*Cā-|to stretch|170||cāṭu (cāṭi-)|(?) to stretch out as the arms and legs from lassitude||cāmpu|length, stretch||cācu|to stretch out, hold out, extend, stretch forth, put out as the hand, etc.|\Icāpu\i stretch, length, extent; \Ijambu\i length; \Ijāgisu\i to stretch or raise (the body to its full extent); \Ijāpu\i the measure of a long stride; \Isāgu\i to lengthen, extend; \Idāpu\i stretch, etc.; the measure of a stride|cāc- (cāci-)|to stretch out (hand), straighten|\Icāñjë\i (past verbal adj. of \I*cāy-\i, \Icāñj-\i to be straight) straight|cācuni|to stretch out, hold out|||0|||||||||2433|N
2082|*čāc-|breast, breast milk|2093||cāci|mother's milk (nursery)|||||cāci, tāci|a childish word for the female breast|||||||||0|||||||||2436|N
2083|*ǯāǯ- (?)|red ochre|0||||||||jāju, jādu|colour of red ochre, red colour|||||||||0|||||||||2437|N
2084|*sāṭ-i|likeness|0||||||||sāṭi|likeness, similarity; like, equal|||||||||0|||||||||2438|N
2085|*ǯāḍ-|to throw|0|||||cāṭuka, cāṇṭuka|to throw|\Icāṭṭuka\i to throw darts, hurl; \Icāṭṭu\i a hurl|jāḍisu|(?) to throw|||||cāṇḍuni|to fling a spear|||0|||||||||2439|N
2086|*Sāṭ-|to jump|0||cāṭṭam|(NTD) jumping||cāṭuka|to leap|\Icāṭikka\i to make to leap; \Icāṭṭam\i a leap; \Icāṭṭu\i jumping|||||||||||0|||||||||2440|N
2087|*čāṭ-|refuge, shelter|0||||||||cāṭu|a refuge, shelter, anything that screens from rain, wind or heat of the sun|||||||||0|||||||||2441|N
2088|*ǯāḍ-ai|appearance, trace, sign|1845||cāṭai|appearance, feature, similarity, inclination, tendency, temperament, hint, significant gesture, trifle, slightness||cāṭa|faint notice of something, a trace||jāḍu, jāḍe|mark of a footstep or of a carriage wheel, track, trace, a slight or faint notice, wink, hint||||||||*ǯāḍ|1318|||||||||2442|N
2089|*ǯāṭ-i|whip|0||cāṭṭi, cāṭṭai|whip, string to spin top||cāṭṭa|whipcord, whip||cāṭi|whip||||||||*ǯāṭ|1319||||||||Kannada \Icāṭi\i borrowed from Tamil.|2443|N
2090|*ǵēṇ- (?)||0||cāṇ|span (measurement)||cāṇ|span||gēṇ, gēṇa, gēṇu|span||cāṇɨ|span||gēṇụ, gēṇa|span||*gjāṇ (?)|198|||||||||2444|N
2091|*čāṇ-|chisel|1977||||||||cāṇa, cāna, cēṇa|a small chisel|||||cēṇụ, cēnụ|awl, chisel|||0|||||||||2445|N
2092|*Sāṇ-|a caste name|0||cāṇān̲|member of the Shāṇār caste whose occupation is toddy drawing|\Icān̲r̲ār\i Shāṇārs|cāṇān, cānnān|a caste of palmyra cultivators in Travancore||||||||||||0|||||||||2446|N
2093|*Sānḍ-|menstrual discharge; semen|2094||cāṇṭu|menstrual discharge||cāṇṭu|semen||||||||||||0|||||||||2447|N
2094|*sānd-|to smear, rub into paste; substance|171||cāttu (cātti-)|to daub, smear, anoint|\Icāntam\i sandal; \Icāntu\i sandal tree, sandal paste, black pigment made of burnt rice or ragi used as tilaka, sacred ashes, paste, mortar, plaster; \Icantu\i sandalwood; \Icatur\i (\I-pp-, -tt-\i) to daub, besmear|cāntu|compound ointment of sandal, camphor, musk and saffron; cement; tar||sādu, sāndu|a fragrant substance, perfume, the black colour made of burnt rice or ragi with which females and children mark their foreheads||cāndɨ|sandalwood||sādikè|smearing|||0|||||||||2448|N
2095|*Sāt-|to put on|0||cāttu (cātti-)|to put on, adorn (idols, great persons), wear as a caste mark; n. wearing as a garland|||||||||||||||0|||||||||2449|N
2096|*Sāt-|to beat, thrash|0||cāttu (cātti-)|to beat, thrash; n. beating, thrashing||||||||||||||*Sāt-|1223|||||||||2450|N
2097|*ǯāṇ-|a k. of small tree|0||||||||jāni-giḍa|a small tree, Grewia abutilifolia|(Lush.) \Ijāna\i Grewia asiatica; \Itaḍa-jāṇa\i Grewia tiliaefolia; \Ikari-jāṇa\i G. orbiculata||||||||0|||||||||2451|N
2098|*čāp-ai|mat|234||cāppai|mat made of grass or rushes||cāppa|hut, shed of leaves||cāpa, cāpe, sāpe|mat||||||||*sāp- (?)|1088||||||||Kannada \Isāpe\i either dialectal or borrowed from Telugu.|2452|N
2099|*čāmb-|to wither; ashes|233||cāmpu (cāmpi-)|to wither, droop, perish, pine away, close up as flowers, decline, shrink, lose consciousness, grow dim as the eyes|\Icāmpal\i, \Icāmpar\i ashes, withered flower, old age; \Icāy\i (\I-v-, -nt-\i) to grow thin; \Icāyvu\i deficiency|cāmpuka|to contract itself, shut, blink as eyes|\Icāmpal\i contracting, closing; ashes|||||||cāmbuni|to close, shut, shrivel as a flower|||0|||||||||2453|N
2100|*čāmb-|to pull up, lift|0||cāmpu (cāmpi-)|to pull in by jerks, haul, draw in, pump|||||||||||cāmbuni|to lift with a lever|\Icāpaṇè\i a lever||0|||||||||2454|N
2101|*čā-|a k. of grass|0||cāy|sedge|||||||||||cā|(?) Andropogon schoenanthus|||0|||||||||2455|N
2102|*čāj-|to incline|232||cāy (-v-, -nt-)|to incline, hang down, decline as a heavenly body, bend, turn down as the ear, recline, lie down, give way, break, flee, be partial, biased, deviate, lean|(\I-pp-, -tt-\i) to cause to incline, bend or stoop, turn in a new direction, drive, steer, prejudice, spoil, defeat; \Icāyvu\i slope, declivity, etc.; \Icāyppu\i slope, slant, side or declivity of a mountain, sloping roof, etc.; \Icāyal\i inclining, etc.|cāyka|to incline, lean to one side, rest or lie on, settle down, disappear|\Icāyal\i, \Icāccal\i bending sideways as a falling tree, side, inclination; \Icāykka\i to lean against, bend, put one on the other, lower, level the ground by beating, lie down to sleep; \Icāyvu\i, \Icāyippu\i inclination; \Iāyka\i to bend as for an exertion; \Iāñcuka\i to bend forward, incline, bow||||taye- (-p-, -t-)|to level field and break up clods with a plank drawn by bullocks; n. plank thus used||cācuni|to bow|||0|||||||||2456|N
2103|*Sāj-|brilliance, beauty|1887||cāy|brilliance, light, beauty, colour, fame, reputation|\Icāyam\i colour, tinge, tint, dye, true colour, real nature; \Icāyal\i beauty, gracefulness, colour, likeness, resemblance, reflected image, shadow; \Iāy\i (\I-v-, -nt-\i) to be or become beautiful; n. beauty; \Iai\i beauty; \Iaitu\i that which is beautiful, beauty; \Iaiya\i beautiful|cāy|beauty|\Icāyam\i colour, dye, paint; \Icāyal\i shape, figure, resemblance, beauty, colour||||cāy|beauty|\Icāylɨ\i well (adv.); \Icāykārë\i handsome man; fem. \Icāykarati\i||||*Sāv-ĭ|1224|||||||||2457|N
2104|*taj-|to give the slip to|0|||||||||||||||||*taj- (*c-)|1120|||||||||2458|N
2105|*ǯāvil-|dog|1934||||||||jāyila|dog|||||jāvaḷa-nāyi|wolf-dog|||0|||||||||2459|N
2106|*sār-|to reach; to rely on|1971||cār (-v-, -nt-)|to reach, approach, depend upon, take shelter in, be near to, be associated or connected with, unite, be related to, resemble, lean on, recline against; n. joining, uniting, place, situation, side|\Icārpu\i place, side, help, support, refuge, shelter, attachment, birth, bias, partiality, friendship, approximation, nearness; \Icārvu\i place, residence, pial, refuge, basis, help, support, means, attachment, vicinity, partiality; \Icārntōr\i relatives, friends; \Icārttu\i (\Icārtti-\i) to cause to lean, support, join, unite, connect; \Icārcci\i leaning, uniting, connexion, approach, support; \Icārppu\i sloping roof; \Icāral\i drawing near, side, slope of mountain; \Icāri\i side, wing, row, series; \Icāttu\i (\Icātti-\i) to close as a door (= \Icārttu\i); \Iār\i (\I-v-, -nt-\i) to combine with, belong to|cāruka|to lean against, rely upon, be attached to, be shut, place against, put on|\Icāra\i bending sideways, nigh, close; \Icāral\i leaning against, inclination, side, declivity of hill, support; \Icārikka\i to lay aginst in order to support, shut the door; \Icārnnavar\i kinsmen; \Icārcca\i relation by blood; \Icārttu\i joining, assemblage; \Icārttuka\i to join as wood, put on dress, adorn, throw on (see DEDR 2449); \Icārttikka\i to adorn as an image with flowers|sār|to come or go near or to, approach, be or become near, join, associate oneself to, come to hand, be obtained, come about, come or go, be applied or used|\Isāraṇ\i nearness, proximity; \Isāre\i being near, nearness, proximity, union; \Isārke\i approach, nearness, proximity; \Isārcu\i to make oneself come or go near or to, go near, approach; make go or come near or to, apply to, put to, on, or in, put; \Iār\i to be united|cāce|relationship, kinship||sārti|encountering, meeting, happening, occurring||*sārĭ|104|||||||||2460|N
2107|*Sāraṇ-ai|a k. of flower|0||cāraṇai|purslane-leaved trianthema, Trianthema decandra||cāraṇa|Trianthema monogyna; (B) Boerhavia diffusa||||||||||||0|||||||||2462|N
2108|*sār-|scaffold|0||cāram|scaffolding, sticks tied to the smaller branches of a flower-tree as a scaffold for picking flowers|||||sāra, sārave|scaffolding||||||||*Sār-|1636|||||||||2463|N
2109|*sār-i|time, turn|1414||cāri|time, turn||sāri|time, turn||sāri, sāre|time, turn|||||sāri, sarti|time, turn|||0|||||||||2464|N
2110|*ǯārig-ai|a k. of tree|0||||||||jārige-huḷi-mara|Mysore gamboge tree, Garcinia morella Desr.|||||jārigè|Garcinia pictoria|||0|||||||||2467|N
2111|*sāl-|abundant, full|1412||cāl (cālv-, cān̲r̲-)|to be abundant, full, be suitable, fitting, be great, noble; be sufficient; n. fullness, abundance|\Icālpu\i excellence, nobility; \Icān̲r̲ōr\i the great, the noble|cāla|richly, fully||sāl, sālu|to be sufficient or enough, suffice|||||||||0|||||||||2470|N
2112|*sāk-|sufficient|0||||||||sāku|he, she, or it is, they are sufficient or enough; n. sufficiency; sufficient, enough|||||sākụ|to suffice||*sāg-|100|||||||||2470|N
2113|*sāl|furrow|1411||cāl|furrow in ploughing, track of a sower while passing and repassing in sowing|\Icālai\i street, avenue, road|cāl|furrow, channel, track, line, direction||sāl|a continuous line, a furrow||cāllɨ|line, furrow, one complete ploughing of a field, people related in any way by descent||sālụ|line, row, furrow||*sāl|102|||||||||2471|N
2114|*sāl-|debt|0||||||||sāl, sālu|to be bound to, become indebted, be placed under a debt, be obliged or under obligation, be required, fit or proper|\Isāla\i debt; \Isāliga\i debtor, creditor; \Isālaŋguḷi\i person who is wont to contract debt|sāla|a loan||sāla|debt||*sāl-|103|||||||||2472|N
2115|*ǯālār-|a k. of plant|0||||||||jālāri|Shorea talura Roxb., S. laccifera Wall.|||||||||0|||||||||2473|N
2116|*ǯāl-i|babul tree|0||cāli|umbrella-thorn babul, Acacia planifrons; elephant thorn, Acacia tomentosa; buffalo-thorn cutch, A. latronum|||||jāli|thorny babool tree, Acacia arabica Willd.; A. Farnesiana|||||||||0|||||||||2474|N
2117|*sāl-|a caste of weavers|0||cālikan̲, cāliyan̲|a caste of weavers||cāliyan|a weaver||sāliga, sāliya|a weaver|||||tālye|weaver; spider|(Shanmugam) \Isālye\i caste of weavers; fem. \Isālyetti\i||0|||||||||2475|N
2118|*ǯāḷ-ig-|money-bag|0||cāḷikai|money-bag||cāḷika|money-bag||jāḷige|money-bag, purse|||||||||0|||||||||2477|N
2119|*sāḷ-v-|a hunting bird|0||||||||sāḷuva, sāḷva|a kind of bird, a hawk used in hunting|||||||||0|||||||||2478|N
2120|*Sāḷ-|sardine|0||cāḷai|oil sardine, sp. of Clupea||cāḷa-mīn|sardine||||||||||||0|||||||||2479|N
2121|*čār̲-ai|line, stripe|0||cārai|stripe|||||cār̲a|line, streak|||||||||0|||||||||2481|N
2122|*ǯār̲-|to slip|1846||cār̲u (cār̲i-)|to slip off, slip down as from a tree, slant, incline as a post, deviate, flow, issue|\Icāral\i drizzling rain; \Icar̲ukku\i (\Icar̲ukki-\i) to slip or slide, go astray; n. slipping, sliding; \Icar̲uku\i (\Icar̲uki-\i) to slip, slide, fail; \Icar̲ukkal\i slipperiness, slipping, slippery place|cār̲uka|to run off or out, drizzle|\Icār̲r̲uka\i to drizzle; \Icār̲al\i, \Icār̲r̲al\i, \Imaṛa cār̲r̲al\i, \Icār̲r̲u maṛa\i drizzling rain|jār̲u|to slip, slide, slip away, steal away, withdraw, retire, shrink, go off or start swiftly, run, drop or ooze out, flow, (knot) slips or becomes loose; n. slipping, etc.|\Ijār̲isu\i to make to slip, go away, etc.; \Ijār̲a\i, \Ijār̲ike\i, \Ijār̲uvike\i slipping, sliding, slipperiness, flowing, trickling|jār- (jāri-)|to slip, be slippery|\Ijārike\i slipperiness, slippery|jāruni|to slip, slide down, be slippery or smooth, tumble, fall down, be dislocated, shrink, hesitate, backslide, flee, flay, lop off as branches of a tree|\Ijāraŋgelụ\i slipperiness, glibness, smoothness; \Ijārunāye\i an unsteady man, a backslider; \Ijārele\i a runaway, an unsteady man, a backslider, coward; \Ijārupaḍi\i, \Ijārpaḍi\i running away, decampment, retreat; \Iiḷi-jārụ\i a slope, slipperiness||0|||||||||2482|N
2123|*Sār̲-|to sweep|0||cār̲u (cār̲i-)|to sweep the threshing-floor and gather scattered grain|||||||||||||||0|||||||||2483|N
2124|*Sār̲-|juice, sap|260||cār̲u|juice, sap, water in which aromatic substances are infused, pepper water|\Icēr̲u\i sap, juice, sweetness, tastiness, toddy, honey, treacle|cār̲u|sap as of a palm tree, broth or soup, infusion, decoction||cār̲u, sār̲u|sap, juice, broth, relish in a liquid state, well-seasoned sauce, pepper water|||||cārụ|a kind of pepper water|\Isārụ\i sap, soup, broth||0|||||||||2484|N
2125|*ār̲|six|1441||ār̲u|six|\Iar̲u-patu\i sixty; \Iar̲u-nūr̲u\i 600; \Iar̲umai\i six; \Iar̲uvar\i six persons; \Iavv-ār̲u\i by sixes|ār̲u|six|\Iar̲u-patu\i sixty; \Iar̲u-nnūr̲u\i 600; \Iar̲uvar\i six persons|ār̲u|six|\Iar̲a-vattu\i, \Iar̲u-vattu\i, \Iar-vattu\i sixty; \Iar̲u-nūr̲u\i, \Iār̲u-nūr̲u\i 600; \Iar̲uvar\i, \Iārvaru\i six persons|ārɨ|six|\Iārane\i sixth; \Iaru-vadɨ\i sixty; \Iār-nūrɨ\i 600|āji|six|\Iājane\i sixth; \Iajipa\i, \Iajippa\i, \Iājipa\i, \Iājpa\i sixty|*ār̲|44|||||||||2485|N
2126|*sāt̲- (*c-)|to announce, speak loud|172||cār̲r̲u (cār̲r̲i-)|to publish, announce, explain in detail, speak, mention, praise, beat as a drum; n. proclaiming, declaring, sound||cār̲r̲uka|to speak loud, call on gods and sing (as astrologers)|\Ikur̲r̲am cār̲r̲uka\i to declare guilty, impute a fault to|sār̲u|to cry out, proclaim aloud, publish|\Isār̲isu\i to cause to proclaim aloud, etc.; \Isār̲uha\i proclaiming aloud, etc.||||sāriyuni|to proclaim, publish, preach, warn|\Isāriyāvuni\i to cause to proclaim or publish|*Sār̲- (*-r-)|1222|||||||||2486|N
2127|*ǯig-|thick, sticky|1926||cikkan̲avu|hardness, firmness|||||jigaṭu, jigaṭe, jibaṭu|stickiness, gumminess, gum, birdlime|\Ijigi\i, \Ijibi\i thickness, viscidity, glutinousness, gum; \Icigil\i, \Ijigil\i to be sticky, gummy, viscid, glutinous, adhesive, adhere, stick fast; \Ijibbu\i stickiness, sap that issues from the stalk of the mango after it is cut from the tree; \Icikaṇi\i hard, substantial, thick, rich, fat||||||||0|||||||||2488|N
2128|*śiguṛ-|to sprout|212||imiṛ (-v-, -nt-)|to sprout, shoot forth|||||igaru, cigur, cigaru|to sprout, shoot forth; n. a sprout, shoot, young leaf|\Icigi\i to sprout, shoot||||igaruni, iguruni|to bud, germinate, shoot up|\Iiguru\i bud, germ, tender shoot; \Icigụrụ\i sprout, bud, germ; \Icigụruni\i, \Iciguruni\i, \Isiguruni\i, \Itigụruni\i, \Itiguruni\i, \Itigruni\i, \Itiguluni\i to sprout, shoot, germinate; \Itegụluni\i to sprout, shoot, bud; \Itegụlụ\i a sprout, bud; (B-K) \Iegụlụ\i, \Iege\i a tender shoot||0|||||||||2489|N
2129|*čigaḷ-i|a k. of oilcake|0||||||||cigaḷi, ciguḷi|a ball made of fried gingilli-oil seed mixed with jaggery|||||||||0|||||||||2490|N
2130|*cī-|to tear|184|||||cīntuka|to tear (as paper, leaves)|\Icīttu\i a shred, strip; \Iīruka\i to saw, split (or with DEDR 542)|sigi|to split (as wood), tear or rend with the teeth as sugar-cane|\Isigasu\i, \Isigisu\i to have split; \Isiguḷu\i to be split, cleft; split (tr.); \Isigur̲\i, \Isigur̲u\i, \Isibar̲u\i, \Isivar̲u\i, \Isivur̲u\i a splinter, a shiver (cf. DEDR 2600); \Isību\i bamboo-slit||||tigipuni, tigupuni, (\IB-K\i) sigipu|to split, slit, cut, saw, tear|\Itiguruni\i, \Itigruni\i, \Itiguluni\i, \Isiguruni\i to split; \Itigụtè\i, \Itigtè\i, \Itigitè\i a split, splinter, slip, piece; (B-K) \Itiburu\i a crack, split||0|||||||||2491|N
2131|*čik-|small|242||cikka|in brief, in a nutshell||cikkiṇi|young, small (said of girls)||cikka, ciga|little, small, young|\Icīku\i smallness, littleness of size, used of grain and pulse; \Icikkatana\i childhood, youth|cikk-aḍake|very young, tender areca-nut||cikka|little, young, small, short|\Icikini\i tender, young, small; \Icikkè\i a dwarf; (B-K) \Icikkeli\i a small variety of mouse|*Sik-|1229|||||||IRU \Icikkeḍu\i mosquito||2495|N
2132|*Sikaṭ-i|field-bean|0||cikkaṭi|field-bean|||||||||||||||0|||||||||2496|N
2133|*sik-|a comb|0||cikkam|comb|\Icikkar̲u\i (\Icikkar̲i-\i) to disentangle; \Icikkar̲ukki\i a kind of comb|cikkuka|to disentangle, dry and dress the hair after bathing|\Icikkar̲ukkuka\i to disentangle, comb out; \Icikkar̲ukki\i a comb|sikkaṭi, sikkaṭige, sikkaṇige|a comb|||||||||0|||||||||2497|N
2134|*cilk-|to be entangled|179||cikku (cikki-)|to become entangled, complicated, be caught, ensnared, be obtained; n. tangle, twist, intricacy, snare, entanglement|\Icikk-en̲a\i firmly, tenaciously, tightly, closely; \Iciŋku\i (\Iciŋki-\i) to be caught; \Iikal\i intricacy, obscurity, involvedness; ? \Iciṭukku\i a tangle|cikku|being entangled, intricacy|\Icikkuka\i to be entangled|sikku, sigu (sikk-), sirku, siliku, siluku, silku|to become entangled, be caught, fall into the hands of, be got|\Isikku\i, \Isirku\i, \Isilku\i state of being entangled, entanglement, intricacy, impediment, obstacle, trouble|cikk- (cikki-)|to become entangled||sikkuni, tikkuni|to be ensnared, caught, seized, obtained|\Isikkāvuni\i, \Itikkāvuni\i to ensnare, entangle, button; \Isikkụ\i, \Itikkụ\i entanglement, intricacy, perplexity, distress; \Isikkaṭṭụ\i, \Itikkaṭṭụ\i labyrinth, intricacy; \Itikkaṭuni\i to be matted, be entangled, intricate; \Isilkuni\i to be entangled, be perplexed; \Isalkuni\i to be entangled; \Isalkāvuni\i to entangle; (B-K) \Itirkụ\i, \Isirkụ\i entanglement, difficulty|*cik-|115|||||||||2498|N
2135|*čik-|quickly|0||cikk-en̲a|quickly, promptly||cikk-ennu, cikkanē|resolutely, quickly||cekkane, jaggane|quickly, speedily|\Icakkane\i quickly, fast, suddenly; \Icāga\i, \Icēga\i, \Icēgi\i, \Ijīga\i, \Ijegga\i, \Ijēgi\i quickness; quickly||||cakka|quickly, at once||*cig- (*t-)|1102|||||||||2499|N
2136|*sigg-|shame|1423||cikku|modesty, shame (loc.)|||||siggu|shame, decency, modesty, bashfulness, timidity, disgust|\Isiggāḷi\i a person who is ashamed, a bashful person|||||||*sigg|114|||||||||2500|N
2137|*siŋ-|plantain|0||ciŋka-vāṛai, ciŋkan̲-vāṛai|a variety of plantain introduced from Ceylon (said to be < \ISiṃhala-\i Ceylon)||ciŋŋan|a sort of plantain|\Iciŋŋa-ppaṛam\i, \Iciŋŋa-vāṛa\i its fruit||||ciŋgë bāḷe|sp. plantain||siŋga-bārè|sp. plantain|||0|||||||||2501|N
2138|*Siŋal- (?)|a k. of ape|0||||||||siŋgan̲ika, siŋgaḷīka|a black monkey|||||ciŋglike|a large kind of ape|||0|||||||||2502|N
2139|*sir-ŋ-|to diminish|0||ciŋku (ciŋki-)|to diminish, wane, decrease, faint, fail, droop, decay, perish, elapse, pass away (as time)|\Icikku\i (\Icikki-\i) to become lean or emaciated (< Te.); \Icikal\i (\Icikalv-\i, \Icikan̲r̲-\i) to diminish, decrease, perish; n. want, ruin|||||||cikk- (cikki-)|to become tired|\Icikkɨ\i numb sensation of mouth produced by areca-nut|tirkuni|to be lean, weak|\Isirkuni\i to fade, shrivel, become weak, lean, fall off; \Itirkụ\i, \Isirkụ\i fading, weakness, faintness; \Itirkoṭè\i a lean or weak man||0|||||||||2503|N
2140|*ǯiŋk-ai|antelope|1935||||||||jiŋke|antelope|\Icigari\i, \Icigare\i black buck or antelope; (Bellary; U.P.U.) \Ijimke\i deer||||jiŋkè|antelope|||0|||||||||2504|N
2141|*Suŋk-|to pinch|0||||||||||||||||||0|||||||KOR (O) \Icuŋku\i to pinch||2505|N
2142|*Sig-|a fly|0||||||||cigḷa|(Tipt.) a fly|||||||||0|||||||||2506|N
2143|*čiṭik-|a pinch|0||||||||ciṭike, ciṭaki, cuṭike|a pinch, as of snuff|||||ciṭụkụ, ciṭiki, ciṭka|a pinch, as of snuff|||0|||||||||2507|N
2144|*čiṭ-i-|to throb|0||||||||ciṭi ciṭi hoḍe|to throb, as the head from ache|||||ciṭiciṭi|the throbbing pain of a boil when suppurating or forming|||0|||||||||2508|N
2145|*čiṭ-čiṭ-|a crackling noise|0||ciṭuciṭuppu|onom. expr. of hissing noise, as of a burning wick when it contains particles of water|||||ciṭa ciṭa|the sound produced when water touches burning oil; the snapping sound of corn in being parched|\Iciṭiciṭi\i the sound of sparks or flames bursting forth and crackling; \Iciṭil\i the crackling of flames||||ciṭiciṭi|a crackling noise|||0|||||||||2509|N
2146|*čiṭ-Vl-|to break, snap|249||||||||ciṭlisu|to break, snap, crack, burst, etc.|||||||||0|||||||||2510|N
