NUMBER|PROTO|MEANING|PRNUM|PENGO|MANDA|ADDITION|NOTES|DEDNUM
604|*suk-|star|788|huka (pl. -ŋ)|hukeriŋ "stars"|Also Pengo \Ihukeraŋ\i, \Ihukeriŋ\i (pl. only recorded) stars||2646
605|*sunǯ-|to sleep|789|hunj- (hunc-)|hunj-|Also Manda \Ihūskanke\i sleepiness, sleepy eyes||3291
606|*suṛ-|to see|793|huṛ- (-t-)|huṛ-|||2735
607|*sūc-i|leech|791|hūci||||2746
608|*sūr-|to wind, wind round, roll up|790|hūr- (-t-)||||2684
609|*sūrk-a|aonla tree|245|hūrka mar|jūrka|||574
610|*svƆr|salt|726|hōr "salt (\Isōr\i in DED is erroneous; \Ihōr\i in the index is correct)"|jār|||2674
611|*ta-|to bring|796|ta- (tat-)|ta-|||3098
612|*tap-|suddenly|0|tapp inji||||3069
613|*taṛ-|to strip off (bark)|0||taṛ- (-t-)|||3124
614|*taṛ-i|mother|797|taṛi||||3136
615|*tān|he, himself|810|tān (gen. tā, acc.-dat. taŋgeŋ)||||3196
616|*tār|ant|811|tār (pl. -ku), dār (pl. -ku)|tār (pl. -ke)|||3166
617|*tāṛ|toddy palm|814|tāṛ mar||||3180
618|*tāṛ-|to scrape off (bark)|812||tāṛ-|||3122
619|*tāŋ-|to walk|806|tāŋ(g)- (tāŋt-)|tāŋ-|||3151
620|*ter-|hair|1022|temul|trey|Also Pengo (Kalahandi) \Itremul\i hair||3279
621|*ters-|to scrape, shave|802|treh- (trest-) "to scrape, plane, cut with adze"|teh- (-t-) "to shave"|||3146
622|*tӓs- (*-e-)|to strike|1023||teh- (-t-)|||3138
623|*tēr- (caus. *trēp-)|to lay down|819|trēp- (-t-) "to lay down, put (child) to sleep"|trēp- (-t-)|Also Manda \Itēr-\i (\I-t-\i) to lie, lie down||3425
624|*tig-|to push|1024|tig- (tikt-)|tig-|||3205
625|*tig-|wire|0|tiga||||3269
626|*tin- (caus. *tīc-)|to eat|822|tin- (tic-/cic-)|tin- (tic-)|Also Pengo \Itīc-\i (\Itīcc-\i), \Itīcpa-\i to feed||3263
627|*tīd- (*-t-, *-nd-)|to get well, be cured|0|tīdba-||||3251
628|*tīr-|to sprinkle|110|tīr- (-t-)||Also Pengo intens. \Itīrpa-\i||3280
629|*tog-|to tread, trample|834|tog- (tokt-) "to tread, step on"|tug- (tukt-) "to trample"|||3539
630|*tōg-ā|Ficus glomerata|833|tōga mar|tūge|||3537
631|*tōl|skin|835|tōl||||3559
632|*tōnǯ- (caus. *tōc-)|to appear|836|cōnj- (cōnc-)/tōnj- (tōnc-)|hūnj-|Also Pengo \Icōc-\i (\Icōcc-\i)/\Itōc-\i (\Itōcc-\i) to show; Manda \Itūc-\i to show||3566
633|*trēz-|to cut|0|trēz- (trēst-) "to cut (e.g. crops)"|trey- "to cut (paddy)"|||3437
634|*trīg-|to tremble|840|trīg- (trīkt-)|trīg-|Also Pengo \Itripka-\i (< \Itrik-pa-\i) to be startled||3253
635|*trī-mb-|to go round, revolve|823||trīmba-|||3246
636|*tṛāk-ĭŋ|(pl.) liver|842|tṛākiŋ|ṭṛākeŋ|||3120
637|*tṛīm-|to turn round|826|tṛīm- (-t-)||Also Pengo intens. \Itṛīmba-\i; \Itṛīp-\i (\I-t-\i) to turn round (tr.)||3258
638|*tuz-|to wear|844|tuz- (tust-) "to wear, put on"|tuy-|||3482
639|*tuker|dirt|847|tuker||||3346
640|*tulv-|earth, soil|0||tulve|||3283
641|*tum-|to sneeze|846|tum- (-t-)|tum-|||3336
642|*turn-|animal called in local Oriya \Ikebṛa\i|1025||turne|||3348
643|*tus-|to throw away|848|tuhī-, tussī- "to throw away (combination of \Ituh-\i and \Ihī-\i < \Isī-\i to give, which is used as an auxiliary; \Ituh-\i appears not to be used by itself)"|tuh- "to throw away, (cow) to calve"|||3365
644|*tūb-|to blow with the mouth|1026|tūb- (tūpt-)||||3388
645|*tōk-u (*-ū-)|feather|1027||tūku|||3393
646|*Tūr-|to shake down (mangoes)|0|tūr- (-t-)|dūr-|||3391
647|*tūr-ŋ- (caus. *trūk-)|to hang|851|tūŋ(g)- (tūŋt-) "to hang (intr.)"|trūŋg- "to swing (intr.)"|Also Pengo \Itūk-\i (\I-t-\i) to hang (tr.); \Iḍūg-\i to hang down, (head) to nod; Manda \Itrūk-\i to swing (tr.)||3376
648|*tūt-|to crouch down|852|tūt- (-t-)||Also Pengo \Ihenḍru tūt-\i to lower the buttocks||3382
649|*ṭāḍg-|gourd spoon|0||ṭāḍge|||3411
650|*ṭānḍ-i|pot|1028|ṭānḍi||||2946
651|*ṭāṭ-i|mat|804|ṭāṭi||||3036
652|*ṭil-k-|squirrel|857||ṭilka|||2959
653|*ṭīnḍ-|to sharpen|0|ṭīnḍ- (-t-)||||3273
654|*ṭoḍ-|to bow|1417|ṭoḍ- (ṭoṭt-)|ṭuḍ- "to bow head"|||3525
655|*ṭonḍ-en|brother|837|ṭonḍen||Also Pengo \Itoṛndel\i sister||3563
656|*ṭoṭ-|mango grove|1029|ṭoṭa||||3549
657|*ṭoṭr-a|neck|839|ṭoṭra|ḍūṭra|||2984
658|*ṭoj-el-|stringed instrument for music|1030|ṭoyela||||2987
659|*ṭōṛ-|fruit of mahua|0|ṭōṛa||||3561
660|*ṭrak-|to beat, strike|0|ṭrak- (-t-)|ṭrak- (-t-)|||2992
661|*ṭoṭ- (*-u-)|side of body|831||ṭuṭe|||3040
662|*ṭūṇ-|to cut, slaughter, sacrifice|849|ṭūṇ- (ṭūṭ-)|ṭūṇ-|||3305
663|*ṭūṭ-|to sprinkle, winnow|853|ṭūṭ- (-t-) "to winnow with wind"|ṭūṭ- "to sprinkle (e.g. salt on food)"|||3402
664|*uc-|to fix|0|uc- (-c-) "to fix (e.g. net), set (trap), put (pot on fire)"|uc- "to fix (net), set (trap)"|||582
665|*uz-|to gore|858|uz- (ust-) "to butt, gore; to crush (lice)"|uy- "(cow) to gore; to crush (lice)"|||706
666|*uǯ-|to suck|0|uj- (ucc-)||||709
667|*uk-|to strip off (bark)|871|uk- (-t-)||||757
668|*uṛ-i|onion|860|ūṛi|uli||Manda \Iuli\i is probably either borrowed from or influenced by \I-l-\ilanguages.|705
669|*uṇ- (p.t. *uṭ-, caus. *ūṭ-p-)|to drink|863|uṇ- (uṭ-)|un- (uc-) "to drink, smoke"|Also Pengo \Iūṭpa-\i to give to drink; Manda \Iūṭ-\i to give to drink||600
670|*ur-|to boil up, effervesce|865|ur- (-t-)|ur- (-t-)|||666
671|*ur-|to wash face|697|ur- (-t-)||||670
672|*us-|to husk|870|uh- (ust-) "to husk (rice)"|uhka- "to pound"|||583
673|*us-pa-|to put on, wear (waistcloth)|1031|uspa-|uhpa-|||587
674|*ūc-|to rub on (oil on hair, etc.)|877|ūc- (-c-)||||686
675|*ūd-|wet|872|ūd- (ūtt-) "to become wet"|ūd- "to get wet"|Also Pengo caus. \Iūdi ki-\i; \Iūt-\i (\I-t-\i) to urinate||743
676|*ūk-|breath|874|ūkuṛ|ūk- (-t-) "to kindle fire by blowing"|||741
677|*ūm-|to fly, swim|875|ūm- (-t-)||Also Pengo \Iūp-\i (\I-t-\i) to cause to fly||748
678|*ūnd-|to pull off|1032|ūnd- "to take out, take off (hat)"|ūnd- "to pull"|||745
679|*ū-ŋ-|flesh, meat|878||ūŋge|||728
680|*vezg-u|firewood|903|vezgu (pl. vesku) "firewood, fuel"|viyke "(pl.) firewood, fuel"|||5440
681|*vVj|mouth|1033|vey|vay||Also Pengo \Ivey-oṭi\i lip|5352
682|*vac-|to dry up, wither|879|vac- (-c-)|vac-|||5320
683|*vanǯ-|to cook|881|vanj- (vanc-)|vanj-|||5329
684|*vas-|to cook, fry|890|vah- (vast-) "to fry"|vahpa- "to cook, bake (bread, cakes)"|||5325
685|*vas-iŋ|(pl.) intestines|880|vahiŋ|vahiŋ|||5259
686|*vat-|a trap for peacocks and hares|889|vata||||5229
687|*vӓt-us (*-a-)|finger ring|1034|vatus (pl. vatuhiŋ)||||5247
688|*vaṭ-|unmarried|891|vaṭa||||5219
689|*vā-|to come|895|vā- (-t-)|vā-|||5270
690|*vāk-|to pour|900|vāk- (-t-)|vāk-|Also Manda \Ivāŋ-\i to leak||5334
691|*vāṇ-|to pare, slice|897|vāṇ- (vāṭ-)||||5378
692|*vāṇ-i|wife|0|vāṇi|vāṇi|||5348
693|*vār-|to pour|898|vār- (-t-)||||5356
694|*vāṛg-|to become tired|0||vāṛag ā-|||5293
695|*vās-|to be or become tired|896|vāh- (vāst-)||||5215
696|*vāŋ-|brinjal|1035|vāŋga||||5301
697|*vӓc-k-|finger|886|vacka|vehpe||Manda \I-p-\i is strange, but suffixal anyway.|5409
698|*vӓr-|empty|887|vari "bare, empty"|veru|||5513
699|*vӓt-|(fowl) to scratch the ground|0|vat- (-t-)|vetki ki-|Also Pengo intens. \Ivatpa-\i; \Ivatki ki-\i id.||5248
700|*vec-|to speak|901|vec- (vecc-)|veh- (-t-) "to tell, say"|||5514
701|*ve-[s-]|hot|902|ve- (-t-) "to be cooked"|veh- "to be hot"|Also Pengo \Ivēza\i sweat; Manda \Ivehen\i hot; \Ivēja\i sweat||5517
702|*veig-|to thatch|914|vig- (vikt-)|vēk-|Also Pengo \Ivikha\i thatch||5532
703|*vel-|thorn|0||vele|||5306
704|*vendul|tongue|893|vendul|vendul|||5470
705|*venḍ-|to taste|885|venḍ- (-t-)||||5240
706|*ven- (p.t. *vec-)|to hear|906|ven- (vec-)|ven- (vec-)||Also Pengo \Ivenba-\i (\I-t-\i), Manda \Ivenba-\i to ask, inquire|5516
707|*veṭ-|to crack (fingers)|0||veṭpa-|||5473
708|*vēg-|sickle|910||vēgu|||5518
709|*vēnǯ-|to take out|908||vēnj- (vēnc-)|||5523
710|*vidg-|cucumber|0||vidge|||5076
711|*vi(ŋ)g-|to dawn|911|vig- (vikt-)|viŋg- (viŋkt-)|Also Pengo \Iviga\i, \Ivigaliŋ\i tomorrow; Manda \Iviŋge\i tomorrow||5554
712|*viz-|all|1249|vizu|vija|Also Pengo \Ivizar\i, Manda \Ivijar\i all men, all people||5387
713|*vil|bow|918|vil (pl. -ku) "bow, bowlike instrument for carding cotton"|vil (pl. -ke)|||5422
714|*vir-|to fall down|928|vir- (-t-) "to collapse, fall in ruin"|virā- "to fall down, collapse (house)"|Also Pengo \Ivirpa-\i (\I-t-\i) to demolish||5411
715|*vis-|to trample, thresh with feet (men)|919|vih- (vist-)||||5420
716|*vīǯ- (caus. *vīs-)|to finish|916|vīz- (vīst-) "to be finished"|vīj- "to finish (intr.), be finished, completed"|Also Pengo \Ivīh-\i (\Ivīst-\i), \Ivīspa-\i to finish||5444
717|*vīz-ā|fly|915|vīza|vīje|||5451
718|*vīs-kuṛ-|youngest child|1036|vīskuṛa||||5385
719|*vīt-|to sow|921|vīt- (-t-)|vīt-|||5401
720|*jam-|interrogative base|930|ime "where"|amnan "who (masc. sg.)"|Also Pengo \Iimenakan\i a man belonging to where; \Iimeni\i (attrib.); \Iimṇakan\i who; fem. \Iimṇakadel\i; \Iimṇi\i what (attrib.); Manda fem. \Iamdel\i, neut. \Iamdi\i, masc. pl. \Iamnar\i, neut. pl. \Iamne\i||5151
721|*zē- (*ǯ-)|to descend|235||hē-, jē-|Also Manda caus. \Ihēpa-\i, \Ijēpa-\i||2456
722|*lēṛ|kite|393|lēṛ, ṛēl||||349
723|*mṛag-|to fall on the face|407|mṛag- (mṛakt-)||||4754
724|*manḍ-|cooking pot|410|manḍi||||4678
725|*mī-|to bathe|446||mī- (-t-)|||4878
726|*mrƆl (*-ō-)|hare|462|mrōl||||4968
727|*mūṛ-|brain|494||mūṛa|||5051
728|*nōṇ-|to spin, twine|538|nōṇ- (nōṭ-)|||Pengo \Inōṇ\i- is certainly not related to \Inūl\i 'thread', as Burrow and Emeneau put it.|3726
729|*ās|we|543|ās, āseŋ, āheŋ (incl.)||||5154
730|*pṛis|a small bird|619||pṛih puṭi|||4190
731|*puṭ-|to set fire to, kindle|674|puṭ- (-t-)||||4260
732|*sēip-oz|broom|742|hipos|hēpur|||2599
733|*sirkol-|squirrel|750|hirkoli||||2518
734|*sirs-|bird's crop or gizzard|751|hirha||||2558
735|*siṛ-|a kind of bird|1037|hiṛa||||2582
736|*tin-|right hand|820|tina key||||3263
737|*kūl-|to suppurate|1086|kūl- (-t-)||Also Pengo \Ikūlpenj\i pus||1814
738|*sisir-|whistling|1147|sisiri||||2610
739|*ic-|a little|1244|icuṭ(i), \Ipl.\i icuṭiŋ|icuk|Also Pengo \Iicuṛiŋ\i = \Iicuṭiŋ\i; \Iicki\i, \Iicke\i little, small, tiny||410
740|*rī-|to be torn|1304|rī- (-t-)||Also Pengo \Irip-\i (\I-t-\i) to tear||2416
