NUMBER|PROTO|MEANING|PRNUM|STEMS|KOTA|TODA|ADDITION|NOTES|DEDNUM
593|*ol̲-ĭ|waterfall|873||oyḷ "waterfall in channel or river"|was̲y|Also Toda \Iwas̲f-\i (\Iwas̲t-\i) to defecate (of adults); \Iwāl pɨɫ̣\i drainage hole in wall (cf. 4317)||999
594|*oḷ-ĭ-|to hide|887||oyḷ- (oḷc-) "to hide (intr.)"|wɨɫ̣y- (wɨɫ̣c-) "to hide (intr., tr.)"|Also Kota \Ioyḷ\i machan in tree for tiger-shooting||1015
595|*ōd-|to read|918||ōd- (ōdy-) "to read, pronounce (charms), learn"|wӯϑ- (wӯϑy-)|Also Kota \Iōt\i a charm; Toda \Iwӯt\i incantation||1052
596|*ōg-|to listen|902||ōgarv- (ōgard-) "to listen without speaking, be silent when called, keep silent (\I*ōg-\i + \I*karv-\i to lie hidden)"|ōx- "to hear (a song-word)"||Toda \Iō\i preserved in an expressive form.|1032
597|*kar-ǝv-|to hide|1104||ōgarv- (ōgard-) "to listen without speaking, be silent when called, keep silent (\I*ōg-\i + \I*karv-\i to lie hidden)"|kar- (karϑ-) "to steal, hide (tr.)"|Also Toda \Ikar naṛ-\i (\Inaṛϑ-\i) to have sexual intercourse stealthily (for \Inaṛ-\i, see 3582)||1258
598|*ōk-|to aim|903||ōk- (ōyk-) "to raise (hand to strike, corpse on to fire)"|wӯk- (wӯky-)|||1033
599|*ōl-ӓ|palm leaf; writing|932||ōl "palm leaf, ornaments worn on body"|wāl "writing, education"|||1070
600|*ōriḍ-|to listen (this form is of the perseverative aspect: to listen in spite of all difficulties)|925||ōriḍ- (ōriṭ-)|wӯrɨḍ- (wӯrɨṭ-)|||1059
601|*ōḍ|tile; skull|909||ōṛ (\Iobl.\i ōṭ-) "shell, tile, potsherd, skull"|wӯṛ (\Iobl.\i wӯṭ-) "tile, skull, shell (of snail)"|||1042
602|*ōḍ-|to run|908||ōṛ- (ōc-)|wӯḍ- (wӯḍy-)|Also Kota \Iōṭ\i act of running; Toda \Iwӯṭ\i act of running; \Iwӯt̲-\i (\Iwӯt̲y-\i) to drive calf from udder by hitting it under the chin (\I*ōṭt-\i to cause to run; for \Iṭ\i, MBE 1974b, p. 44, n. 20)||1041
603|*-ōḍ|with, after|823||-ōṛ|-wɨṛ|Also Toda \Iwɨṭk\i together, undivided||945
604|*paṛ-ӓ|old|3353||pay- (\Ibefore vowel\i), pa- (\Ibefore consonant\i)|pāw, pā- (\Ibefore consonants\i)|Also Kota \Ipayd\i that which is old, which is of old, that was here always up to now; Toda \Ipāfn\i old (of things); \Ipoṛy\i stink (of a corpse) (or with 4312)||3999
605|*pac|green|3201||pac "green, raw (of meat), unboiled (of water), unbaked (of pots)"|poč|Also Kota \Ipāty\i moss; \Ipacāl\i open grassy ground in front of Kolmēl temples; Toda \Ipašt\i lichen-covered flat rock or shelf on cliff; \Ipōϑy\i moss||3821
606|*pac-|puffed millet|3209||pacēk|počišky|||3829
607|*pard|bird of prey|3336||pad "kite"|paϑ "bird of prey (including kite, eagle, vulture)"|||3977
608|*pad-|green|3273||padm (\Iobl.\i padt-) "temper of iron"|poϑ, poϑɨl "green (not dead; of tree, grass)"|Also Toda ? \Ipoϑ fōs̲\i pure milk||3907
609|*pad-ǝn|Celtis tetranda|3279||padn|poϑn|||3913
610|*pad̲-ĭ|hog, pig|3388||paj|pody, (\Ionce in a story\i) pod̲y|||4039
611|*panǯ-m|famine|3205||pajm (\Iobl.\i pajt-)|poӡm, oӡm (< \IBadaga\i hañja)|Also Toda \Iosf-\i (\Iost-\i) hunger is (to a person); \Iosf\i hunger||3825
612|*paṛǝk-|to lie down|3361||pak "act of lying down, act of lying down and chewing cud"|oky "sleeping place, bedding (< Badaga)"|Also Kota \Ipak vaṛ-\i to lie down and chew cud (\Ipaṛ-\i to lie); \Ipak mēkī-\i to rise up from chewing cud||4007
613|*pal̲|tooth|3343||pal|pas̲|||3986
614|*palāv|jack-fruit|3346||palāv|pas̲of||Irregular *-s̲- in Toda?|3988
615|*par̲c (?)|Hypericum mysorense|3348||palc|par̲c||Unclear correspondence, and no external parallels.|3993
616|*pagal|daytime|3189||pōl "daytime; time (\Iod̲ pōlk\i at one and the same time)"|poxol "daytime, day (as opposed to night)"|Also Kota \Ipalmārm\i daytime; ? \Ivōl\i day, daytime||3805
617|*paṛ-ǝg-|to use; to tame|3354||paḷg- (paḷgy-) "to become tame, become used to a person's ways, become amenable to suggestion for sexual intercourse"|pāg- (pāgy-) "to use (things, path)"|Also Kota \Ipaḷk-\i (\Ipaḷky-\i) to tame; \Ipaḷkm\i (obl. \Ipaḷkt-\i) being on intimate terms; \Ipoḷŋg-\i (\Ipoḷŋgy-\i) to be on intimate terms with, have interdining intercourse with; Toda \Ipāk\i path, track||4000
618|*paḷ-ӓ|valley, plains|3367||paḷ im "buffalo from the plains"|paɫ̣ "valley"||The ending can only be *-ӓ, although external data speaks against it.|4016
619|*pand-|race|3283||pandīgm (\Iobl.\i pandīgt-) "race, contest"|padym (\Iobl.\i padyt-, padym-, pady-)|||3921
620|*paṇ-ĭ|dew|3384||payṇ "dew, frost"|pony|Also Kota ? \Ipany-\i (\Ipanc-\i) only in phrase: \Iunyād panyād\i (to act) without thought; Toda \Ipony-\i (\Ipons-\i) (place) is full of fever; \Ionk-\i (\Ionky-\i) (rain) drizzles||4035
621|*paṛ-ǝp-|ripe|3358||paṛv- (paṛd-) "(fruits) become ripe, (boil, sore) opens"|pošf- (pošt-) "to ripen"|Also Kota \Ipaṇ\i fruit; Toda \Ipum\i, (in song) \Ipan\i fruit; \Ipōṣf-\i (\Ipōṣt-\i) to yield fruit, (fruit) ripens||4004
622|*paṇ-|work|3253||paṇyn "man of a caste at Gudalur in Wynad"|poṇy|Also Kota fem. \Ipaṇc\i; ? \Ipaṇ\i anvil||3884
623|*par̲-|drum|3381||par|par̲|Also Kota \Iparn\i Pariah; fem. \Iparc\i||4032
624|*par̲n-|to fly|3371||parn- (parnd-) "to fly, run fast without stopping; become helpless because of sudden fright"|pōr̲- (pōr̲y-)|Also Kota \Iparaṇ\i birds (pair-word in: \Ipaky paraṇ\i); Toda \Ipōt̲-\i (\Ipōt̲y-\i) to teach (young) to fly; \Iōr̲c-\i (\Iōr̲č-\i) to throw in air and catch (jackstraws, coins)||4020
625|*par-ǝc-|to pray|3311||parc- (parc-)|part- (party-)|Also Kota \Iparkym\i (obl. \Iparkyt-\i) vow to a god, prayer; Toda \Iarkym\i (obl. \Iarkyt-\i) vow||3951
626|*par-|wide; to spread|3309||pard- (pardy-) "(small objects) spread over large space, (news) spreads"|par- (parϑ-) "to open wide (an entrance; in songs)"|Also Kota \Ipart-\i (\Iparty-\i) to spread (grain, chillies) in sun to dry||3949
627|*paḍ-|to experience|3231||paṛ- (paṭ-) "to experience (emotion), be caught, seem good"|poṛ- (poṭ-) "to suffer, experience"|Also Kota \Ipāṛ\i (obl. \Ipāṭ-\i) work, concern; Toda \Ipōḍ\i suffering, affair, concern; ? \Ipar̲y-\i (\Ipar̲s-\i) to be possible; to endure||3853
628|*paḍ-|to lie down|3230||paṛ- (paṭ-) "to lie down, sleep"|poṛ- (poṭ-) "to lie down; lose (teeth; of children)"|Also Kota \Ipaṛc-\i (\Ipaṛc-\i) to make to lie, lay; Toda \Ipoṛy\i sleeping-place (in song)||3852
629|*paḍ-ĭ|a measure of grain|3227||paṛy "a measure (\Ioḷk\i) of grain given to a Toda when he comes to a village"|poṛy "rice given at funeral; contribution given to Badagas at a two-day funeral"|Also Kota \Ipayṛ\i bazaar measure of grain (= \Ioḷk\i); quantity of food that one person eats at a meal||3849
630|*pag-|to divide|3192||patīr- (patrc-) "to divide (? < \Ipat-ayr-\i, \Ipat-arc-\i, or \Ipat-tayr-\i, \Ipat-tarc-\i)"|pax- (paxϑ-) "to be divided, be estranged"|Also Toda \Ipax-\i (\Ipaxt-\i) to distribute, divide; \Ipaxy\i division; \Iax\i hostility; \Iaxōr̲n\i, (in songs) \Iaxexōr̲n\i enemy|Kota \Ipatīr-\i < \I*pag-t-\i; Toda \Ipax-\i < \I*pag-ӓ-\i.|3808
631|*paṭ|flat; site|3250||paṭ "flatness (of piece of iron, of head)"|poṭ "site of dairy or house"|Also Kota \Ipaṭm\i (obl. \Ipaṭt-\i) ground for house||3878
632|*paṭ-|daylight|3240||paṭār in- (id̲-) "(country, \Ināṛ\i) becomes fully light at dawn"|oṭ oxol "broad daylight (in song)"||Toda form dialectal? borrowed?|3867
633|*paṭ-ĭ|Badaga village (< Badaga \Ihaṭṭi\i)|3241||paṭy|oṭy|||3868
634|*paj|house; kinship|3308||pay "house"|poy ōɫ̣ "male affinal relatives (e. g. wife's father and brother, daughter's husband, sister's husband)"|||3948
635|*pāb|snake|3429||pāb|pōb|Also Toda \Iōf\i snake (in songs; < Badaga \Ihāvu\i)||4085
636|*pāt-|to spread|3432||pāt- (pāty-) "to spread (cloth, mat; intr., tr.)"|pōt- (pōty-) "to spread (bedding, mat)"|Also Kota \Ipāy\i mat used as seat; \Ipātveyṛ\i sleepnng mat; \Ipāc\i id.; level ground||4088
637|*pāc-|to suit|3405||pāc- (pāc-) "to be suitable (dative of person)"|pōc- (pōč-) "(dress, hairdressing) suits"|||4059
638|*pād-ĭ|half|3419||pādy|pōϑy|||4074
639|*pāl̲|milk|3440||pāl|pōs̲|Also Toda \Ipōl fīr̲\i stomach full of milk (\Ipīr̲\i stomach); \Ipōl fēɫ̣\i middle finger (\Ipēɫ̣\i finger)||4096
640|*pāl-|portion, share|3441||pālm (\Iobl.\i pālt-) "portion, division"|pōlm (\Iobl.\i pōlt-) "share; subdivision of patrilineal sib"|||4097
641|*pāl-|bridge|3442||pālm (\Iobl.\i pālt-)|pōlm (\Iobl.\i pōlt-)|||4099
642|*pāl̲-ӓ|a k. of tree|3443||pāl marm "an unidentified tree, prob. identical with To. \Ipās̲\i"|pās̲ "a timber tree (Rivers; ? Sideroxylon)"|||4100
643|*pāḷ|buffalo calf|3460||pāḷ "buffalo calf between one and two years old"|pōɫ̣ "female buffalo calf between one and two years old"|||4118
644|*pāṇ-ĭ|a measure|3466||pāṇy "a measure (= eight oḷk)"|pōny "Badaga contribution to Toda (four oḷk a house)"|||4124
645|*pār-ӓ|crowbar|3437||pār|pār|||4093
646|*pārv-ǝn|brahman, Badaga of Harva subcaste (< Badaga \Ihāruva\i)|3435||pārvn|ōrfn|Also Kota fem. \Ipārvty\i||4091
647|*pāḍ-|level ground (< Badaga \Ihāḍa\i open, grassy ground in village)|3408||pāṛm (\Iobl.\i pāṛt-)|ōḍ|||4062
648|*pāḍ-ǝv-|to make noise|3411||pāṛv- (pāṛd-) "to make noise (crow, bees, gun)"|pōṛ- (pōṛy-) "to sing (the song called \Ipōṭ\i)"|Also Kota \Ipāṭ\i song; Toda \Ipōṭ\i a particular type of song; \Ipōṭ-\i (\Ipōṭy-\i) to shout||4065
649|*pin|after; other|3527||pin "again, other"|pɨn "afterwards, younger (son), second (wife)"|Also Kota \Ipind-\i (\Ipindy-\i) to walk behind; \Ipibal\i afterwards, behind; \Ipibār\i (obl. \Ipibāt-\i) behind, backwards; \Ipitl\i, \Ipitēl\i the back; \Ipigār\i (obl. \Ipigāt-\i, \Ipigāt̲-\i) place behind, time after; \Ipebī\i following along with (\Ipī-\i going); ? \Ipirk\i a fart; Toda \Ipɨd̲-es̲p\i heel (\Ies̲p\i bone); \Ipɨr̲n bӯx-\i (buffaloes) follow dead man to afterworld; \Ipüdāl\i behind, later on; \Ipügōl\i hind leg of animal (\Ikōl\i leg); \Iper̲nēr̲\i day after tomorrow; ? \Ipɨr̲k ɨḍ-\i to break wind noisily; ? \Ipem\i waist, hip; \Iidk\i too late (< Badaga \Ihindega\i)||4205
650|*pUg-ӓ|smoke, tobacco|3558||peg|pax|Also Kota \Ipog\i, \Ipō\i tobacco|Kota \Ipog\i is regular; Kota \Ipeg\i probably is a dialectal form due to umlaut.|4240
651|*pUṇ-ӓ|bamboo milkpot|3583||peṇ|pɨṇ|||4271
652|*piṇ-|to entwine, entangle|3496||pīṇ- (pīṇḍ-) "to become entangled (of ropes, wrestlers' legs)"|pɨṇ "surety"|Also Kota \Ipīṇḍ-\i (\Ipīṇḍy-\i) to entwine (ropes), tangle up (someone's legs); ? \Ipeṇ gāl ov-\i (child) waves arms and legs|Unclear vowel length in Kota.|4160
653|*peṇ-|corpse|3493||peṇm (\Iobl.\i peṇt-)|ɨṇ "the dead (\Iɨṇōṛ\i the world of the dead [\Inōṛ\i place]; \Iɨṇ ṭӧw\i the god of the dead [ = \Iȫn\i])"||Toda forms should be borrowings.|4157
654|*per̲-|to curdle|3710||pep "solidified, curdled milk"|pep "coagulant agent put in fresh milk"|Also Kota \Ipev-\i (\Ipevd-\i) (ghee) solidifies, (butter) forms in churning; (\Ipevt-\i) to make (ghee) solidify, make (butter) form; \Ipet-\i (\Ipety-\i) (liquid) solidifies; Toda \Iper̲f-\i (\Iper̲t-\i) (milk) solidifies; \Ipešf-\i (\Ipešt-\i) (ghee or milk) solidifies; \Ipēry\i watery buttermilk|The verbal forms are not quite clear: *perv- (Kota) and *per̲- (Toda) should be expected.|4421
655|*per̲-ǝv-|to be born|3711||perv- (perd-)|per̲p, pēr, pērf "act of birth (in songs)"|Also Kota \Iperp\i birth, personal appearance; \Iper\i new moon; Toda \Iper̲\i days from the third to the eighth after new moon; \Ipērf-\i (\Ipēd-\i) to be born; \Iper̲-\i id. (only \Iper̲oϑ\i 'he is not born' in a story phrase; TGT, text 32); \Iped\i, in: \Ienwɨṛ fed\i my younger sibling, \Inɨnwɨṛ\i \Ifed\i your younger sibling, etc. (lit. one born after me, you, etc.)||4422
656|*porḷ-|to roll, tumble|3592||porṇ- (porḍ-), pōṇ- (pōṇḍ-) "to roll backwards and forwards (intr.)"|pӯḷ- (pӯḍ-) "to tumble over or down"|Also Kota \Iporṭ-\i (\Iporṭy-\i), \Ipōṭ-\i (\Ipōyṭ-\i) to roll backwards and forwards (tr.); \Iporḍ\i, \Iporṇḷ\i act of rolling backwards and forwards; \Iperṇ-\i (\Iperḍ-\i) to turn upside down (intr.), (person) does opposite of what he promised; \Iperṭ-\i (\Iperṭy-\i) to turn upside down (tr.); Toda \Ipӯṭ-\i (\Ipӯṭy-\i) to push over or down||4285
657|*pēc-|to talk|3715||pēc- (pēc-) "to talk to oneself"|ӧšt- (ӧšty-) "to say, tell (story, lament) (or with 4003)"|Also Kota \Ipeṛc-\i (\Ipeṛc-\i) to give irrelevant answers, talk nonsense, talk with impropriety in presence of holy man||4430
658|*poṛ-ӓ|river|3622||pey|pāw|Also Kota \Ipeyv-ēr\i (obl. \Ipeyv-ēt̲-\i) river (see 5159); Toda \Ipā top\i the river's noise of waves beating (for \Itop\i, see 3069)||4318
659|*pej-, *pē-|to wear; to wrap|3698||pēv- (pēt-) "to wear"|pɨy- (pɨs-) (?) "to wrap up (someone)"|Also Kota \Ipēc-\i (\Ipēc-\i) to put clothes on (someone else)||4408
660|*pēn|louse|3730||pēn "head-louse"|pȫn|||4449
661|*pēn|demon; spirit|3721||pēn, pēnm "possession of woman by spirit of dead"|ȫn "the god of the dead"|Also Kota \Ipēy\i demon|Toda influenced by Badaga.|4438
662|*pēr|name|3700||pēr|pȫr|Also Toda \Ipȫšf-\i (\Ipȫšt-\i) to name (with \Ipȫr\i as object)||4410
663|*pēr̲|cliff; slope|3729||pēr "steep slope"|pȫr̲ (\Iobl.\i pȫt̲-) "cliff"|||4448
664|*piḍ-|to seize, clench|3487||piṛc- (piṛc-) "to clench (hand)"|iḍy- (iḍt-) "to seize, cling to (< Badaga)"|Also Kota \Ipiṛy\i handful of anything but cooked rice; \Ipic\i handful of boiled rice||4148
665|*piḍ-|penis; vagina|3489||piḍ "pudendum muliebre"|pɨḍy "penis"|||4273
666|*puḷ|way, road|3621||piḷ "way, road, entrance to path through thicket"|pɨɫ̣ "way through thicket"|Also Kota \Ipuḷ\i crevice, crack, lane between houses; Toda \Iwāl pɨɫ̣\i drainage hole in wall (cf. 999); \Ipɨḷ\i hole in wall, esp. for leading off bath-water||4317
667|*piḷ/*puḷ|small stick|3623||puḷ, piḷ "small stick used in tipcat"|pɨɫ̣ "bird"|||4319
668|*pil-ĭ/*pul-ĭ|sorcery|3512||piḷy, puḷy "Toda witchcraft put on buffaloes; Kurumba witchcraft"|pily "sorcery practiced by Todas"|Also Toda \Ipilyxōr̲n\i Toda sorcerer||4181
669|*pir-|to separate; to demolish|3509||piry- (pirc-) "to separate part from part (intr., tr.), demolish (building)"|pɨry- (pɨrs-) "to be demolished"|Also Kota \Ipirc-\i (\Ipirc-\i) to separate (persons; tr.); \Ipirnj-\i (\Ipirnj-\i) to separate oneself from; \Ipiryv\i a place separate from another's place; Toda \Ipɨry-\i (\Ipɨrc-\i) to demolish; ? \Ipüry-\i (\Ipürs-\i) to disappear from sight (man over hill, etc., god dying and body is not found, sun setting); ? \Ipürc-\i (\Ipürč-\i) to make (daytime, sun) to disappear (i. e. spend the day from morning until evening)||4176
670|*pīl-|weakling|3547||pīl "weakly"|pūly "good-for-nothing fellow"|Also Kota \Ipīl(n)\i a weakling; fem. \Ipīly\i||4228
671|*pod-|lungs|3774||podn|pɨϑ|||4510
672|*pog|foam (on river)|3742||pog, pogl|pɨg|||4463
673|*pog-|to boil over|3745||pog- (pogy-)|pɨg- (pɨgy-) "to bubble up, boil over, (stomach) swells or heaves with exertion"|Also Kota \Ipoŋg-\i (\Ipoŋgy-\i) to increase (intr.) magically in number, (water) springs forth magically, anger increases; \Ipoŋgc-\i (\Ipoŋgc-\i) to increase (tr.) magically in number||4469
674|*pog-|blister, bubble|3736||pogl "blister"|pɨg "bubble"|Also Kota \Ipoglc-\i (\Ipoglc-\i) (hand) becomes blistered from heat; Toda \Ipɨg-\i (\Ipɨgy-\i) (hand) gets blistered by friction; \Inī pɨkwɨḷy\i water-blister (for \Inī\i, see 3690)||4455
675|*pol̲g|a k. of tree|3805||polg "Elaeagnus latifolia"|pɨs̲x "Rhododendron arboreum"|Also Toda \Ipum bɨs̲x\i, \Itȫn bɨs̲x\i E. latifolia||4553
676|*por̲-|outside|3636||poranj "the outside, place outside"|pɨr̲-mun "the outside"|Also Kota \Ipor kay\i the right shoulder bare (e. g. at ceremonies); \Ipor pal\i teeth that grow irregularly and crooked; Toda \Ipɨr̲ nōṛ\i the southwestern area of the Nilgiris that is hilly/jungly; \Iwɨr̲oc fȫr\i nickname, name used in abuse or ridicule (< Badaga)||4333
677|*poḍ-|to winnow|3567||poṛc- (poṛc-) "to winnow (rice) with long up-and-down strokes to remove the husks after pestling"|puṛf- (puṛt-) "to winnow, flap (a branch of leaves in cleaning house, in wiping off Kurumba witchcraft), (waterfall) dashes down, (fever) attacks"|Also Toda \Ipuṛ\i beating; \Itomk/tobk waḍ-\i (\Iwaḍϑ-\i) to beat drum, publish by drum (< Badaga; see 3082)|Irregular *-u- in Toda.|4252
678|*poṭ|stupidity|3759||poṭ "stupidity, foolishness"|pɨṭ|Also Kota \Ipoṭṇ\i fool; fem. \Ipoṭy\i; Toda \Ipɨṭṇ\i fool||4487
679|*poṭ|husks of grain|3761||poṭ "husks of grain, outside bark of tree"|wɨṭ "empty husk of grain"|Also Kota \Iuḷ poṭ\i inside bark of tree|Toda form - borrowed?|4491
680|*poṭ-|to burst|3760||poṭ- (poc-) "to burst noisily"|pɨṭ- (pɨṭy-)|||4490
681|*poṭ-|blister|3766||poṭ- (poc-) "(hand) blisters from friction or hard work"|pɨṭ- (pɨṭy-) "(hand) blisters by friction"|Also Kota \Ipoṭḷ\i a blister||4496
682|*pUṭ-ĭ|bottle|3578||poṭy|puṭy|||4265
683|*poj-|to lie, deceive|3788||poy "a lie"|pīk- (pīky-) "to lie"|Also Toda \Ipīkɨṭēr\i a lie||4531
684|*poḍ-ĭ|dust|3755||poyṛ "powder, dust"|pɨr̲y|Also Toda \Iwɨd̲y\i powder, ground spice|Irregular -r̲- in Toda.|4481
685|*pōr|fight, quarrel|3794||pōr, pōr āṭ, pōr āṭm "a fight"|pӯr "quarrel, fight"|Also Kota \Ipōr āṛ-\i to fight; Toda \Ipӯr ēr̲\i grown-up male buffalo; \Iōr-\i (\Iōϑ-\i) to dash against, attack; \Iwӯr-\i (\Iwӯry-\i) to emulate, vie with||4540
686|*pōt|flesh, meat, muscle|3836||pōt|pӯt|||4588
687|*puc|anger|3480||puc "madness"|püc|||4142
688|*puṛ-|to hide|3675||pug-/puṛv- (puṛt-) "to hide (tr.)"|pūϑ "in: \Iɨrfūϑ\i, \Iōɫ̣fūϑ\i n. pr. places at the end of the road to the world of the dead 'where the buffaloes, the people sink into the ground' (cf. 647)"||Toda \Ipūϑ\i < \I*pūṛ-d-\i.|4376
689|*pul̲-ĭ|tiger|3611||puj|püs̲y, üly (< \IBadaga\i huli)|||4307
690|*pukū|navel|3740||pukū|pikū||Dissimilation in Toda?|4460
691|*pul|grass|3604||pul "grass, thatching grass"|pul "thatching grass"|Also Toda \Iul\i grass (in songs; < Badaga)||4300
692|*puḷĭc|a k. of plant|3629||puḷc "various Oxalis species"|püɫ̣c "Oxalis corniculata"|||4326
693|*puḷ-ĭ|sour|3626||puḷy|püɫ̣y "tamarind"|Also Kota \Ipuḷy-/puḷc-\i (\Ipuḷc-\i) to be sour, (mouth) tastes sour; Toda \Ipüɫ̣y-\i (\Ipüɫ̣c-\i) to be sour||4322
694|*puṛ|worm|3616||pū "worm, maggot"|puf "worm, intestinal worm"|Also Toda \Iū\i worm in skin, brain, or body (not intestinal) (< Badaga \Ihū́\i; Emeneau, Language, 15.45); \Ipoṛy\i stink of a corpse (or with 3999)||4312
695|*pūp|flower|3648||pū "flower, wire edge on tool"|pūf|Also Toda \Ipūf-\i (\Ipūt-\i) to blossom||4345
696|*pūc|blue|3657||pūc "blue, green"|pūč "blue-grey"|||4356
697|*pūd-ĭ|ashes|0||pūdy|pūϑy|||4316
698|*pūṇ-|to yoke|3662||pūṛ- (pūṛy-) "to yoke, prepare smithy by getting ready bellows"|pūḷ- (pūḍ-) "to wear around neck"|Also Kota \Ipūṭ-\i (\Ipūṭy-\i) to fit (tr.) into sheath (at smithy); Toda \Ipūṭ-\i (\Ipūṭy-\i) to tie around someone else's neck; ? \Iūṭm\i vow (in songs); ? \Ipūf-\i (\Ipūt-\i) to wear (cloak); \Ipūtxuɫ̣y\i cloak; \Ipūc-\i (\Ipūč-\i) to put (garment) on someone else|Kota \Ipūṛ-\i is secondary, probably developed out of the past stem.|4361
699|*tab-|drum|2572||tabaṭk "a big, flat drum"|tomk/tobk waḍ- "to beat drum, publish by drum (< Badaga; for \Iwaḍ-\i, see 4252)"|||3082
700|*taḍ-ĭ|shaft, pole|2523||tayṛ "wooden shaft of plough"|toṛy "pole used at funeral"|Also Kota \Itac\i stick, walking stick, hitting stick in tipcat||3030
701|*tac-|to kill|2578||tac- (tac-) "to kill (animal)"|toc- (toč-) "to beat (or with 2322)"|||3089
702|*taṇḍ|stem, trunk|2549||taḍ, taṇḍ "stem of plant, trunk of tree"|toḍ "trunk of tree"|||3056
703|*taṛ-ǝg-|to lower, humble, subdue|2653||tag- (tagy-) "to draw back from fight, (ground) is hollowed by thunderbolt, (grain) settles when shaken, become physical wreck from beating"|tōy- (tōs-) "to be lowered"|Also Kota \Itā kāl\i instep of foot; Toda \Itōy-\i (\Itōc-\i) to lower; (in songs) to humble; ? \Itȫšt-\i (\Itȫšty-\i) to close (the tī dairy); \Itog-\i (\Itogy-\i) to be humbled; have dent made in itself; \Itok ōx-\i to be worn out, subdued; \Ito(k) kɨy-\i to subdue, wear out; \Itōšt nās̲-\i (\Inās̲y-\i) (monsoon) comes slanting with gusts of rain and mist (\Inās̲\i to play)||3178
704|*tak|Berberis tinctoria|2583||tak|tok|||3096
705|*tār-|to give to 1st or 2nd person or reflexive|2585||tār- (ta-, tā; tad̲-)|tōr- (ta-, taš-, tō; tod-)|Also Kota \Itakc-\i (\Itakc-\i) to make to give to 1st or 2nd person or to oneself||3098
706|*tak-|prepared, suitable|2499||takl "preparation of half the village lands for sowing while the other half is under crops"|tokoϑ "suitable"|Also Kota ? \Itev-\i (\Itevt-\i) (woman) has anticipatory menstruation ceremony before village festival; Toda \Itaxf\i endurance, patience||3005
707|*tal[-ӓ]|head|2589||tal "head, top, above, superior"|tal "head, end, edge"|Also Kota \Italp\i end (of stick, branch, rope, etc.); Toda \Itas̲\i superior division of tī dairy; \Itas̲m\i top; \Itas̲t\i which is on top; \Italp\i tip (of stick, horn, penis); \Itaš-tɨṇ\i platform (\Itɨṇ\i) against inner wall of house, where vessels, etc., are kept; \Ites̲amf-\i (\Ites̲amt-\i) to perform child's hair-cutting and naming ceremony (lit. to prepare head; for \I-amf-\i, see 162)||3103
708|*taḷ-|to push|2619||taḷ- (tayḷ-) "to push, outcaste"|toḷ- (toḷy-)|||3135
709|*taŋ-/*tak-|to spend, last|2506||taŋg- (taŋgy-) "to spend time in a place away from home"|tok- (toky-) "to last long (money, situation), (child) lives long"|Also Toda \Itoӡ\i other, different (i. e. the remaining one, the other one)||3014
710|*tap-|to err; to escape|2562||tap- (tapy-) "to make mistake, be lost, escape"|top- (topy-) "to postpone, fail to come; escape, give slip to"|Also Kota \Itapc-\i (\Itapc-\i) to make to escape; \Itap\i mistake, a fine; \Itavr-\i (\Itavry-\i) to make mistake, transgress against, omit, be absent; Toda \Itops-\i (\Itopsy-\i) to fail (to do); make to escape; \Itopc-\i (\Itopč-\i) to escape; deliver from danger; \Itop\i a fine; sin||3071
711|*tar̲g- (?)|lean|2666||targ aṛ- (aṭ-) "to become lean (for \Iaṛ-\i, see 79)"|tōx- (tōxy-) "to become lean, slender"|||3192
712|*tar̲-ǝv-|bald|2628||tarv- (tard-) "(head) becomes bald"|tar̲- (tar̲ϑ-) "to become bald"|Also Toda \Itar̲f-\i (\Itar̲t-\i) to make bald, pluck (hair, fowl); \Itar̲ maḍ\i bald head||3145
713|*taḍ-ӓp-|to obstruct, delay|2524||taṛv- (taṛt-) "to obstruct, stop"|taṛf- (taṛt-) "to delay, prevent, screen"|Also Kota \Itaṛ\i, \Itaṛv\i obstruction; Toda \Itaṛ\i prevention, screen; \Itaḍgɨl\i hindrance, obstruction, delay||3031
714|*taḍ-|to grope, feel way|2518||taṛmbaṛ- (taṛmbaṭ-) "to make one's way in the dark by groping"|tōḍboṛ- (tōḍboṭ-) "to feel way in dark"|Also Kota \Itaṛvāt-\i (\Itaṛvāty-\i) to explore with hand something out of sight or in dark; \Itaṛk-\i (\Itaṛky-\i) to search for|Metathese of length in Toda?|3025
715|*taḍ-ĭ-|mark, to mark|2521||taṛv- (taṛd-) "to become marked with itching spots by irritant plant"|toṛy- (toṛc-) "mark comes on skin (from blow, bite)"|||3028
716|*taṭ-ӓ|a k. of pot|2520||taṭ "big clay pot into which milk is collected at milking"|taṭ "churning vessel"|||3027
717|*taṭ-|to slap, strike|2532||taṭ- (tac-) "to pat, strike, kill, (curse) affects, sharpen, disregard (words)"|toṭ "a slap"|Also Kota \Itaṭ āṛ-\i (\Iāc-\i) to stagger from fatigue; Toda \Itoṭ-\i (\Itoṭy-\i) to strike (with hammer), pat, (sin) strikes; \Itoṛ-\i (\Itoṭ-\i) to bump foot; \Itoṭxn\i, \Itoṭxɨn\i goldsmith; fem. \Itoṭty\i, \Itoṭxity\i; \Itoṭk ɨn-\i (\Iɨd̲-\i) to be tired, exhausted||3039
