NUMBER|PROTO|PRNUM|MEANING|STPRO|CHU|KOR|PAL|ALU|CHFUNC|KOFUNC|ALFUNC|IM|BOG|RKS|NRS|YFA|PAK|COMMENTS|NIOD|NIODNUM|EXT
896|*Re-q|0|ладно, хорошо|*n-ǝRe-qǝn|nǝ-rɛˊq-ǝn, rɛ-rɛˊq-ǝm  desid.|nǝ-jeq-ǝn (I)||||||1655|100, 129|||||||0|
897|*niškǝ-|0|мест. "некто, тот" (заместительное, личное)|*niškǝ-|niˊrkǝ-|nijkǝ-|nitkǝ-|nitkǝ-, nitka-na-||||1629|100|||358||разобрать||985|
898|*nute "|762|земля, страна 1, земля, почва 2, тундра 3|*nute "|nutɛˊ-nut " 1, nutɛˊ-sqǝ-n 2|nuteˊ-nut " 1, 3, nˊuce-lqǝ-n 2, nuceˊ-lqǝ-n* 2, 3|nute-nut " 3, nute-lqǝ-n 2|nuta-nut ", nuta-n 1, 3, nuta-lˊqǝ-n, nˊuta-lˊqǝn 1, 2|nutɛˊ-lʔǝ-n, nutɛˊ-sqǝ-n|nˊuceˊ-lqǝ-n|nuta-lˊqǝ-n, nˊuta-lˊqǝ-n, nuta-lqǝ-k (20)|1661|101, 102|165|146|361|32, 262|Чук. Nutɛ-ŋɛˊut 'сказочное имя лисицы'. Из советских новообразований: чук. Sovet-nota-jeˊkwen 'Страна Советов'||0|!
899|*ǝkmǝ-|1007|купаться 1, нырнуть головой вниз 2|*kǝm-|kǝmǝ-tkuˊ- (I) 1, kǝm-l(ʔ)ekaˊt- 2||||||||73, 72|||||В чук. в kǝm-l(ʔ)ekaˊt- вторая часть из *ạlʁịk-ạt- 'нырять' (24).||0|
900|*ъnbat-, *š-bat-|905|завернуть, заворачивать 1, возвращаться 2, сгибать 3, складка на одежде 4, разворачивать 5|*š-ъvat-, *nъvat-|nuwaˊt-, -nvat-, (АБ) nǝwat- 2, nuwaˊt-ɣǝrɣǝ-n 4, nuwaˊt-tora- 5|n(ǝ)vat-, jǝvat-, -nvat- 1, j-vatǝ-tko-, j-vanˊ-ŋǝvo- 3, nǝvaˊt-ɣǝjŋǝ-n 4||||||1663|102|517|147|||||246|
901|*ǝnbiɫ-|633|остановиться (при движении)|*nǝviɫ-|nuwiˊl-, -nvil-, nǝwil-|n(ǝ)vil-|nvil-ǝk|n(ǝ)vil-ǝk, nˊǝvic-cǝku- intens.|||nˊǝvic-cǝku-|1664|102|||362|261|||0|
902|*ŋe(l)-|0|находиться на, в 1, сесть верхом на, сесть в лодку (о людях) 2|*ŋe-|ŋɛ-lqiˊw-, ŋa-tva- 2|ŋeˊ-kkǝ (I) 2|ŋeˋ-kkǝ 1, 2, ŋe-lqiv- 2|ŋaˋ-kki 1, ŋa-lqiv-, ŋa-tva- 2||u-ŋel-ujetik 'дровни' (114)|ŋa-lqiv-|1679|103|522|164|362, 363|265, 70, 136|Образование 'дровни' указывает на возможное конечное -l-, переосмысленное как часть аффикса в форме ŋe-lqiv-.||429|
903|*ŋacŋъ|0|левый, слева|*ŋaɫъŋ, *ŋaɫŋъl|ŋaˊcǝŋ-ken, ŋaˊcɣǝ-|ɣacǝŋ, ɣacǝˊŋ-qal*, ɣacŋ-eˊtǝŋ* dir.|ɣacǝŋ-, ɣac̨(ǝ)ŋ-qal|ɣanˊŋǝ-kin(a), ɣanˊŋǝ-ŋ-qal|ŋaˊcǝŋ-ken, ŋaˊcɣǝ-, ŋacɣǝŋ-qac-ken (АБ)|ɣacǝ-ŋ-qal|ɣanˊŋǝ-ŋ-qal|1666|102, 103||47, 46|311|221, 247, 62, 137|Вторичная метатеза редуцированного из-за недопущения последовательности -ŋǝk- внутри слова (ср. образование инфинитивов на -(ǝ)k/ -ŋ-kǝ).||0|
904|*-ɫeŋ|0|аффикс числительных - -жды, раз (столько-то раз) 1, косвенная основа собирательных числительных 2||-ca 1|-ceŋ 1, -ǝcɣǝj-lˊeŋ 2|-ceŋ, -c̨eŋ 1|-caŋ 1|||am-ŋica-caŋ 'два раза' (364)|||||442, 364|71|||0|
905|*ŋelbǝ #|54|стадо оленей, табун|*ŋelvǝ #|ŋɛˊlvǝl, ŋɛˊlvǝ-|ŋeˋllǝ, ŋelvǝ- (I)|ŋeˋlla, ŋeˋllǝ, ŋelvǝ-|ŋaˋllǝ(ŋ), ŋal-ti du., ŋal-uwwi pl., ŋalvǝ-|ʔoptǝ-ŋalvǝl (109)|ŋelvǝ-lhǝ-n, ŋelvǝ-lhǝ-cit-|ŋalvǝ-lʔǝ-n|1684|103|556||363|31, 265, 87|||1120|
906|*ǝŋl-et- "|871|пламя 1, пылать, гореть 2, дымить, гореть 3, жечь, зажечь 4|*ŋǝlet "|ŋǝlɛˊn-ŋǝlɛt " 1, ŋ(ǝ)lɛˊt- 2, r-nlɛˊw- 4|ŋ(ǝ)leˊt- 1, 3, ŋ(ǝ)leˊ-lhet-, ŋǝleˊc-ǝcku- (I) 2, 3, j-ŋleˊv- 4|ŋ(ǝ)let-ǝk 2, t-ŋlev- 4|ŋ(ǝ)lat- 2, t-ŋlav- 4||||1704|103, 132||161, 93|364|264, 47|||0|
907|*ŋъL ", *ъŋLъ-|59|дым 1, дымовой 2, дымиться 3, дымок 4, пахнуть дымом 5|*ŋъL "|ŋǝˊl-ɣǝl, -nlǝ- (II) 1, ŋǝlɣǝl-aˊt-, ŋǝl-aˊt- 3, ŋǝˊc-vaj 4, ŋǝcǝ-tkeˊ- 5|ŋǝl-ŋǝl " (II) 1, ǝŋlǝ- 2|||ŋǝˊc-vaj, ŋǝcǝ-tkeˊ-, ŋǝtlǝˊ- 'стать дымным'|||1705|105|116||||Чук. ŋǝlǝ-nt-aŋaˊt-lǝŋǝn 'комета' (звезда, испускающая дым).||0|
908|*ŋъcbъn-|833|тешиться 1, гневаться 2, ласка 3|*ŋъcvъn-|ŋǝcwǝnaˊt- 1, am-ŋǝcvǝnaˊt- 2, ŋǝcvǝn-ɣǝrɣǝ-n (АБ) 3|ŋǝcvǝnat- 1|||||||105, 3|||||Основа может быть родственна *uʒicbǝ- 'играть' (967) как *ъŋT-.||0|
909|*ŋocʁъ- (~ -tʁ-)|0|медлительный, неуклюжий|*ŋochъ- (~ -th-)|ŋoˊtǝ-, ŋotǝ-cʔat-|ŋoche-|||ŋotǝ-cʔat-|||1711|107|||||||0|
910|*ŋelpǝ (~ ạ)|719|спусковой крючок самострела1, пята стрелы 2|*ŋelpǝ|ŋɛˊlpǝ= 1|||ŋalpǝ-, ŋalpa 2||||1683|103|||310||||0|
911|*ŋo-ɫqъ-, *ŋo-t-|67|лед на реке 1, покрыться тонким льдом 2|*ŋoɫqъ-n|||ŋolˊqǝ-n, nolˊqǝ-n 1|ŋulˊqǝ-n 1, ŋu-t- 2|||ŋulˊqǝ-n, ŋulˊqǝ-lˊqǝ-n 'верхняя поверхность льда', ŋut-ɣǝrŋǝ-n 'лед на реке' (73)|1734||||366|212, 264|||0|
912|*ŋiLŋǝ-n, *-iLŋǝ-n|414|ремень, веревка|*ŋiLŋǝ-n, *-iLŋǝ-n|ŋiˊlɣǝ-n, -ilɣǝ-n, (-icɣǝ-n)|ŋilŋǝ-n, -ilŋǝ-n|ŋilŋǝ-n, ɣilŋǝ-n|ɣilŋǝ-n, -ilŋǝ-n, -inˊŋǝ-n|-ilɣǝ-n, (-icɣǝ-n), un(ʔ)ɛc-icɣǝ-n 'лахтачий ремень' (111)||ilŋǝp-inˊŋǝ-n 'веревка для повешенного', tiɣ-ilŋǝ-n 'лыжный ремень', r-ilŋǝ-n 'тетива' (380)|1695|107|||312, 319|264, 247|Связан с корнем 'привязать' *ilŋǝ- (428). Ср. чук. ʔiˊlɣǝ-n 'правый постромок оленьей упряжки' (Богораз 49).||0|
913|*ŋoʁъ-|0|нуждаться, бедствовать|*ŋohъ-|ŋʔoˊ-|ŋohǝ-||ŋuhǝ-, ŋuʔǝ-|ŋʔoˊ-cʔǝ-n 'бедняк'|ŋohǝ-chǝ-n||1716|107|24, 275|160|367||||1102|
914|*ŋaʒ-ɨn(a)|0|тот, вдали|*ŋajɨn-|ŋaˊan(en)|ŋajen(a)|ŋanen(a), ŋanen-ǝna-, ŋan-, ŋajen(a), ŋan-ka-kin adj.]|ŋan-in(a), ŋan-ka-kin adj., ŋan-ǝk loc.||||1667|102, 103|||363|77, 263, 234|В пал. ассимиляция -j- между двух носовых в основной форме, есть также варианты с -j- и стяжением. Ср. чук. ɣʔaˊnqan 'там вдали (на самом далеком расстоянии)' (Богораз 40).||0|
915|*ŋeʒ "|53|гора 1, скала 2|*ŋej "|ŋɛˊɣnǝ, ŋɛj-, -ŋɛj 1, 2|ŋeˊj-ŋej " (I) 1|ŋej-ŋej ", ŋej-, -ŋej 1|ŋaˋjjǝ(ŋ), ŋe-ti, ŋajǝ-t du., ŋaj-uwwi pl. 1|ŋɛˊɣ-cǝqǝ-n, ŋaˊjǝ-tqǝn 'верхушка горы'||ŋajǝ-cwǝn, ŋajǝ-lˊqǝ-ŋ loc.|1680|103||164|363|211, 14, 264|||0|
916|*ŋeʒu-|760|наесться, прожорливый|*ŋeju-|ŋɛˊju-|ŋeju-|ŋeju-|ŋaju-||||1682|103|||363|265|||34|
917|*ŋuʒ-|0|слабый, слабосильный 1, ослабевать 2|*ŋuj-|ŋuj-, ŋoj-eˊtǝ va-lʔǝ-n 1|ŋuj- 1|ŋuj- 1|ŋuj- 1, ŋujlˊuq-av- 2|||ŋuj-lˊuq-av-|1735|, 107|||366|263, 220|||1081|
918|*ŋụʒ "|0|шерстинка 1, сор, мусор 2, мутная вода 3, подметалка 4|*ŋūj "|ŋǝjŋǝw=lǝŋǝn 1, ŋuj " 2, ŋoj-maleˊ-cɣǝ-n 4|ŋuj " (III) 2|ŋuj " 2|ŋujta- 2, muˋjju-mimǝl 3||||1736|108, 107|||366, 352|26|Чук. 'подметалка' = 'инструмент для подметания мусора'. В алют. в слове 'мутная вода' ассимиляция по второму носовому перед губным гласным.||0|
919|*ŋạʒqǝ̣-|763|мусор 1, грязный 2, плохой, скверный 3|*ŋājqǝ̄-||ŋajqǝ-ŋaj " 1, ŋajqǝ-ɣiŋ-kin adj. 2, ŋajqǝ- (III), (+II*) 3(*), 2*|ɣejqi-, ɣajqǝ- 3|ŋeqǝ- 3||||1681|||159, 153|364|263, 84, 58|КРРКС  66. В НРС отмечено ŋajqǝ-tvi- inch. (III), но прилагательное nǝ-ŋajqǝ-qen (II). В алют. в приведенном примере "плохая погода".||1086|
920|*ŋoʒŋъ-n|66|хвост 1, зад, таз, круп 2|*ŋojŋъ-n|ŋoˊjŋǝ-n 1, 2|ŋoˊjŋǝ-n 1, 2|ŋojŋǝ-n, ŋojŋ-pe dim. 1|ŋujŋǝ-n|ŋojŋǝ-lʔǝ-n, ŋojŋǝ-sqǝ-ntaˊt- 'падать поскользнувшись', nalɣǝ-ŋojŋǝ-n, a-ŋojŋǝk-emcacokaˊ=lɣǝn 'ласка (бесхвостый горностай)'|||1712|107||159|366|26, 209, 264|||988|
921|*ŋạn-|0|тот, далекий|*ŋen- ~ *ŋan-|ŋɛn-(in), (ŋɛˊn-ku, ɣɛˊn-ku loc., ŋɛˊn-ri adr.), -ŋan (ŋaˊn-qo(rǝ) 'оттуда сюда')|ŋan-(ka-)|ŋan-ka-|ŋan-|ŋaˊnen-qac 'послезавтра' (103)|||1671|103, 104, 41||||219|Сюда же кор. ŋǝkǝje 'туда, к этому месту' (Муравьева 1668).||0|
922|*ŋin-|64|молодой, младший 1, мальчик, ребенок 2, молодой, небольшой 1, дешевый, малый (о цене) 3, новорожденный теленок 4, полого уходящий вверх 5|*ŋin-|ŋiˊn-, ŋiˊn-cʔɛ-n 1, ŋiˊn-qɛj 2, ŋenca-caˊkǝɣet 'младшая сестра', ~ ŋen-etǝ va-lʔǝ-n 5|ŋin-, niŋ- 1, niŋ-vil- 3|ŋin-qaj-ujulˊhu pl. 4|ŋinˊ-vilˊ- 3|ŋin-cʔɛ-n, ŋinǝ-lʔǝ-n (АБ)|||1696|107, 7, 45||||140|||1083|
923|*ŋun- (~ ụ)|68|тот, в стороне, там|*ŋun-|ŋun-(inɛ), ŋuˊn-qu loc., ŋuˊn-qurǝ abl., ŋuˊn-ri adr.||ŋon-(ǝ)k loc.|||||1736|107, 108||||222, 264|Еще чук. ŋoon(ena), ŋoˊon-qǝn 'тот (вдали находящийся)', ŋoˊon-re 'вон туда', ŋoˊon-qo 'вон оттуда', ŋooˊnen-qac 'вон с той стороны', ŋoˊon-re 'вон туда', ŋoˊtǝn-qǝn, ŋoˊten-qan 'вон  тот (при указании в сторону или назад от говорящего)', ŋotǝ 'указательная частица с тем же значением', ŋoˊtǝn-kǝ loc., ŋoˊtǝn-ko abl., ŋoˊtǝn-re adr. (Богораз 107, 108).||0|
924|*ъnŋъl, *ъŋnъl (*nъŋl-, *ŋъnl-) (~ *ǝ)|80|корень 1, мочка корня 2, мелкий корень растения 3|*ŋъnъl (~ ǝ)|nǝˊnǝl (nǝtleˊ-pǝ abl.) (I), (АБ) nǝnǝl (nǝnlǝt pl.) 1|nǝn(n)ǝl 2, ŋǝllǝ-, nǝˊllǝ-nǝl* " (II) 3|nǝˋnlle, nǝnnle 2|||||1706|100||151||202, 262, 130|На второй велярный носовой -ŋ- указывает пал. развитие, где -nl- может быть только из *-ŋl-, вариант множественного числа в чук. nǝnlǝt (АБ) тоже может происходить только из *-ŋl-. Кор. ŋǝllǝ- только из *ŋǝnlǝ-. Ср. *ŋъnŋъ-n/l 'копыл нарты' (926), чук. paɣɣaˊ-nnǝl-ǝn 'олень с развилистыми рогами' (Богораз 115).||0|
925|*paRa "|0|масло, птичий жир||paˊra-par "||||||||116|||||Происхождение из англ. butter сомнительно.||0|
926|*ŋъnŋъ-n/l|0|копыл нарты|*ŋъnŋъ-n|ŋǝˊnŋǝ-n (II)|ŋǝnˊŋǝ=lŋǝn (II)|ŋǝnnǝ=lŋǝn|||||1707|105||||263, 264|По-видимому, тот же корень, что и *ъnŋъl, *ъŋnъl (*nъŋl-, *ŋъnl-) 'корень' (924) и отражает переразложенный редупликат *ŋъl-ŋъl.||0|
927|*ŋъŋbъq|0|много 1, несколько 2|*ŋъŋvъq|ŋǝˊnv-oq, ŋǝˊnv-(ʔ)aw 1|ŋǝˊnvǝ-q (II) 1||ŋǝnvǝ-q, ŋǝnvǝ- 2, 1|ŋǝˊnvǝ-ca 'много раз'||ŋǝnvǝc-caŋ|1708|105|||364||||0|
928|*ŋoŋmъ-|0|смирный, строгий, замкнутый 1, застенчивый 2|*ŋoŋmъ-||ŋoˊnmǝ- 1, 2, n-onmǝ- 2|n-onmǝ- 2|ŋunmǝ- 1|||nǝ-ŋunmǝ-|1713|||153|366|221|||0|
929|*ǝŋpe-|75|сходить, слезать с (катера, саней, крыши) 1, выходить на берег 2|*ŋǝpe-|ŋǝpɛˊ-, -mpɛ- 1, 2|ŋ(ǝ)peˊ- 1, 2|ŋǝpe-k 2, 1|ŋ(ǝ)paˋ-jjǝ aor. 1, 2|||ŋǝpa-lʔat- (55)|1718|105||162|365|264|||1085|
930|*ŋer "|0|осень 1, заморозки, начало осени 2|*ŋer "|ŋɛˊrɣɛr " (ŋɛˊrɣɛr-ǝk loc.) 2|ŋeˊjŋej ", ŋejŋej-* (I) 1, 2*|ŋer-ŋer " 1|ŋarŋar ", ŋarŋar-kin* adj. 1||||1689|104||164|363|213, 265, 231|Чук. ŋɛrɣɛc-jʔiˊlɣǝ-n 'месяц заморозков с начала августа, до начала сентября' (63).||727|
931|*ŋir(e)-|0|считать невозможным, сомневаться 1, потерпеть неудачу 2, неаккуратный, неряшливый 3|*ŋire-|ŋirɛt-, nirɛˊt- (ɣɛ-niˊt-lin part.) 1|ŋjet-qiv-, ŋjat-qev- 2||ŋira- 3||||1700, 1701, 1702|100|||364||Молл 92.||1082|
932|*ǝŋre(t)=|855|колено|*ŋǝre=|ŋǝˊrɛ=, (АБ) ŋǝrat=lǝŋǝn|ŋǝje= (I)|ŋre=|ŋ(ǝ)ra=, ŋǝraˋ-tti du., ŋǝraˋ-wwi pl.|ŋǝrɛˊ-sqǝ-plɛkǝt|||1723|105|||365|210, 26|||0|
933|*ŋiš(š)e-q|71|два|*ŋiše-q|ŋiˊrɛ-q|ŋicce-q, ŋǝcce-q, ŋije-|ŋi/eta-q, ŋite-, ŋic̨e-c̨eŋ 'дважды'|ŋita-q|||am-ŋica-caŋ 'два раза'|1693|107|||364|26, 70, 71, 234|Геминация рефлекса *-š- отмечается в счетной (наречной форме), в качестве композита и при аффиксации идет нормальный вариант с обычным рефлексом -j- < *-š-. Колебания в рядности второго гласного в пал. связаны с обычным переходом ударного -e- в -a- рядом с увулярным и последующим вторичным выравниванием по второму гласному.||0|(нивх. mi!). =š показатель двойственного числа ?
934|*ŋiše- (-ъŋ)|1012|до свидания 1, тогда, потом, ладно 2, отделяться, уходить в сторону 3|*ŋɨša-ŋ|ŋ(ǝ)rɛˊt- 3|ŋejaŋ adv. 1, 2||ŋetaŋ 1, 2||||1678|105, 106|111||364||Возможно это экспрессивное (?) образование от *ŋiše- 'два' (933).||0|
935|*ъŋra-q|72|четыре|*ŋъra-q|ŋǝraˊ-q|ŋ(ǝ)ja-q|ŋraˋ-qqa|ŋ(ǝ)raˋ-qqǝ, ŋraˋ-qqa*|||ŋra-caŋ|1722|105|||365|264, 234|||0|
936|*ъŋro-q|73|три|*ŋъro-q|ŋǝroˊ-q|ŋǝjo-q|ŋruˋ-qqa|ŋ(ǝ)ruˋ-qqǝ, ŋruˋ-qqa*||||1726|106|||365|264, 234|||217|
937|*ъŋr(ɨ)- (~ *ǝ̣ŋr(ị)-)|0|мягкий, рыхлый снег 1, проваливаться в снег выше колен 2|*ŋъr-|ŋ(ǝ)r-ǝp- (II), (АБ) ŋǝre-p- (II?) 2|ŋ(ǝ)jǝ- (II), a-ŋji-ka* adv., ŋ(ǝ)ji-* (I) 1||ŋ(ǝ)rǝ- 1|||nǝ-ŋrǝ-|1727, 1720|||20|365||Молл 92. В чук. вторая часть основы значит 'протыкать'. Кор. наречная форма (НРС) указывает на III ряд сингармонизма.||154|
938|*ŋъRfъ-|65|поссориться и уйти 1, досада 2|*ŋǝrve- (~ ā)|ŋǝrvaˊt- (II) 1|ŋǝcwǝn (II) 2||||||1719|106|111|162|||Возможно родственен *ŋir(e)- 'невозможный' (931).||0|
939|*ŋǝškiš|62|мешок для рухляди|*ŋǝškiš|ŋǝˊrkir|ŋǝtkit|ŋǝtkit|ŋǝtkit, ŋǝtkit(u)-||||1676|106|||366|264|||0|
940|*ŋǝrʁǝ-, *ŋъš-kъɫ|0|стеснительный 1, стесняться, дичиться 2, стыд 3, сердиться 4|*ŋǝrhev-, *ŋъškъɫ|ŋǝˊrʔǝ- ~ ŋǝˊrʔɛ- 1, ŋǝrʔɛˊw- 2, ŋǝˊrkǝl (II) 3|ŋǝjkǝl-at- 2, ŋǝjkǝl- (II) 3||ŋǝrhav- 4, ŋǝckǝc, ŋǝtˊkǝc 3|ŋǝrkǝˊcǝ-rɣǝ-n 'предмет стыда', ŋǝrkǝc-vaˊj- 'платить выкуп за невесту'|nǝ-ŋǝtˊkǝc-, ŋǝtˊkǝcǝ-cʔat-|ŋǝckǝc, ŋǝtˊkǝc|1677, 1728|105, 106|103||366, 365||||17|
941|*-ŋǝrtǝ-|63|добывать зверя|*-ŋǝrtǝ-|-ŋǝttǝ- (I)|-ŋǝjtǝ- (I)||-ŋǝrtǝ-|||tǝtkǝ-ŋǝrtǝ-cqivǝ-lʔat-ǝk (84)|141|106|||441||Только комплексно.||0|
942|*ŋarŋъno|70|снаружи 1, природа, погода 2, вселенная, дух вселенной 3|*ŋarŋъno|ŋaˊrɣǝn(o) 1, 2, ŋaˊrɣǝnen(a) (qole-ŋaˊrɣǝnena-k loc.)|ŋajŋǝn(o) 1, 2|ɣarɣǝno-k  loc. 1, ɣarɣne-n 2|ɣarɣǝn(u) 1|ŋarɣǝnoˊ-lʔǝ-n 'человек снаружи полога', ŋarɣǝnoˊ-cʔǝ-n 'наружный, по полю ходящий (преимущественно - волк)'||||103|||311|213, 48, 247|||0|
943|*ŋenŋet < *ŋet-ŋet|56|выдра|*ŋet "|nɛˊnnɛt|ŋenŋet (I)|ŋenˊŋet|||||1686|99||||26|Этимологически это редупликат из *ŋet-ŋet с закономерным переходом *t > *n перед носовым в никогда неразбиваемом сочетании.||0|
944|*ǝŋtǝ-  (-ŋ-)|842|отрываться, отделяться 1, опадать 2, оторвать, отделить 3, ломаться и уходить (о льде) 4|*ŋǝtǝ-|ŋǝtǝˊ-, -ntǝ- (I) 1, (АБ) 2, r-ntǝ-ŋ-ɛt- 3, ŋǝt-ɛˊt- 4|ŋǝt- (I) 1|-nt-iwini-|-ŋ(ǝ)t- 1|cɛci-ntɛˊt- 'отделяться, расшатываться' (9), ŋǝt-vilɣǝˊ- recipr. 'расходиться в стороны' (106), im-ŋǝtɛˊt- 'опревать, сходить (о шерсти на шкурах)' (51), aŋqa-ntaˊt- 'ломаться и уходить (о льде на море)', pɛlqɛ-nt-ɛˊt- (118), pɛlqǝntɛt- (АБ) 'возвращаться, вернуться'|||1730, 142|106||||52|В пал. -nt-iwini- 'оторвав унести (на льдине в море)'.||0|
945|*ъŋta-|113|отправляться за чем-либо, приезжать с какой-либо целью|*ŋъta-|ŋǝtaˊ-, -nta-|ŋ(ǝ)ta-|ottǝ-ŋta- 'ходить за дровами'|ŋ(ǝ)ta-|||kǝtvǝlˊ a-wiwnˊǝ-ŋta-lˊʔal-la-ka 'не отправляйтесь в Вывенку' (315)|1731|106|||365|31|Часто используется как комплексная вторая часть глаголов и обозначает цель поездки.||971|
946|*ъŋto-|74|выходить, выйти наружу, родиться|*ŋъto-|ŋǝtoˊ- -nto-, T-ŋǝto- (caus. r-ǝŋto-ŋ-at- (АБ))|ŋ(ǝ)to-, -ŋ(ǝ)to-|ŋtoˋ-kka, ŋǝto-k|ŋ(ǝ)tuˋ-kki, -ŋ(ǝ)tu-|ŋъto-cʔat- (45)||ŋǝtu-lqiv-, ŋǝtu-lʔat- (366), a-ŋtu-lˊʔat-ka (43)|1733|106|||366|264, 238|Ср. чук. ŋǝto-lʔat- 'рассыпать' (Богораз 106).||436|
947|*ŋebʁe-n, *ŋeb-|57|женский 1, жена 2|*ŋevhe-n, *ŋev-, *-ŋevǝt|ŋɛw-, -ŋɛw 1, ŋɛˊwʔǝn 2|ŋev- 1|ŋev- 1, ŋewhan, ŋewe 2|ŋav- 1, ŋavʔan 2|vetca-ŋaut 'Плеяды (стоящая женщина)', ŋɛw-ɛrmɛ-cʔǝ-n, ŋɛwǝˊn-lǝqǝl 'невеста'|||1691|104, 105|120|158, 163, 164||264, 47|||0|
948|*ŋebǝ-cqet, -ɫŋъ-n|58|женщина 1, девушка, девочка 2, рабыня 3, жена 4|*ŋevǝ-cqet|ŋɛˊusqʔǝt, ŋaˊul voc. 1, ŋaˊucɣǝ-n 3|ŋevǝtqet (I) 4, ŋavǝcŋǝ-n (II) 1, 3||ŋavǝcqe pl., ŋavǝcqat-pilˊ dim. 2, ŋavǝcŋǝ-n 1|||ŋavǝcqat-pilˊ, ŋavǝcŋǝ-lwǝn, ŋavǝcqaj(u) coll.|1691|104, 105|120|163, 164|363, 364, 314, 42||Первая часть значит 'женский'. В чук. созвездие Плеяды ŋausqatjoˊ-mkǝ-n ('группа женщин').||423|
949|*ŋebe-q|0|хотя, если|*ŋeveq|ŋɛwɛq|ŋeveq|ven, wen|ŋavaq||||1692||||364|244|Основа оформлена как числительные.||0|
950|*ǝ̣ŋbạɫ-|77|проснуться, очнуться|*ŋǝ̄vāɫ-|ŋ(ǝ)wɛˊc-, mǝɣɛc-|ŋ(ǝ)vaˊc-, ŋǝvaci- (III)|ŋvel-ǝk|ŋ(ǝ)val-|ŋ(ǝ)wɛˊc-, mǝɣɛc-|ŋ(ǝ)vaˊc- (III)||1739||341||367|263|Инэнликэй 287.||0|
951|*ъŋbo-|76|начать, начинать|*ŋъvo-|ŋoˊo-, -mɣo-, moo-|ŋ(ǝ)vo-|ŋvoˋ-kkǝ, -ŋvo-|ŋ(ǝ)vuˋ-kki||||1740|107|||367|263|Инэнликэй 239. Активно используется как аспектуальный аффикс во многих глаголах, занимая постпозитивное после основы положение.||973|
952|*ŋešku- (~ ạ)|55|лебедь|*ŋešqu-|nɛˊrkuq, nɛrquq|||||||1624|99|||||Эским. чапл. заимствования ŋīqāq (t) 'goose, гуменник', ŋǝɫqaˊq (t) 'cormorant' указывают на исторический начальный ŋ- в чук., тем более, что по эскимосской  фонотактике запрещен начальный ŋ- за редчайшими исключениями.||0|
953|*(š)u-|51|есть, употреблять в пищу 1, есть (в композитах) 2, продукты про запас 3|*š-u-|r-uˊ-, -n-u- 1, -u- 2|j-u-, -n-u- 1, -u- 2|t-uˋ-kke, -n-u- 1, -u- 2|t-uˋ-kki, -n-u- 1, -u- 2, tuju-tuj " 3|ruˊ-pǝt 'объедок'||tu-lʔǝ-n 'съедаемое', kǝrɣǝ-nˊu-ta 'съев сухим' (413), jǝha-nˊu-, juha-nˊu- 'есть без ничего' (413)|374|138, 130|||, 407|272|||0|
954|*oɫ-|0|прислониться, опереться, облокотиться 1, посох 2|*oɫ-|oˊl- 1|oɫ- 1, ocǝmŋǝ-n, oceˊmŋǝ-n* 2|ol-ǝk 1|ul- 1||||1757, 1745|108||168|415|265|Пал. os-qav-at- 'прилечь' ? (ЯПК 265).||0|
955|*(ʁ)ulu "|0|сивуч|*(h)ulu "|[ʔotleq]|ulu-ul "|(h)ulu-hul, ulu-hul|ulu-ul "||||2584||523|200|415|24, 205, 31|Молл 97.||0|
956|*ụɫbǝ̣-|0|постоянный на месте, неподвижный 1, поведение 2, медлительный 3, стать неподвижным 4, спокойно 5|*ūɫvǝ̄-|uˊlwu-, ulvǝ-cʔɛˊt-, ucvǝ-cʔɛˊt- 1, ulv-ɛˊt- 4|ulvǝ-, ucvǝ- (III) 1, nˊ-ucvaˊhaw(*) 5|olva-ɣǝrŋǝ-n 2|uɫvǝ-, ulˊvǝ-lˊʔat- 1, n-ucvǝ- 3|ul/cvǝ-cʔɛˊt-, uˊlvǝ-lʔǝ-n|nˊ-ucvaˊhaw*|ulˊvǝ-lˊʔat- 1, n-ucvǝ- 3, t-ulˊvǝ-lˊʔan-ŋǝ-k desid. (30)|2587|110|551|157|415, 417|265|||0|
957|*ulɣǝb|0|яма, могила 1, выкапывать яму 2, зарывать (его) 3, засыˊпать 4|*ulɣǝv|uˊlu, uluw- 1, uluˊw- 2, 3, (АБ) 4|ulɣǝv 1|ulɣǝv 1|ulɣǝv 1|||ulˊɣǝv-julˊɣǝ-n 'внутренность могилы', ulɣǝv-jucɣǝ-n 'кладбище'|2583|110|||415|275|В чук. 'неглубокая яма для хранения моржового и китового мяса, которая сверху закладывается китовыми костями, дерном'. Ср. чук. uluˊkkɛ-n 'ловушка из ледяных глыб для ловли песцов на льду' (Богораз 110) < 'завал'.||0|
958|*ulʁib-|882|подпирать|*ulhiv-|uliˊw-, ul-, ulwiw-|ulhiv-(ǝtku-)||||||2588|110|382||||||1010|
959|*(ʁ)ucqǝ-t "|0|мост 1, прыгнуть, перепрыгнуть 2|*(h)ucqǝ-t "|~ ʔǝsqaɣtǝ- (АБ) 2|uˊtqet, uˊcqet 1|huc̨qǝ " 1|ucqat 1||||||229|201|417|31|||0|
