NUMBER|PROTO|PRNUM|MEANING|CHUK|CHUKNUM|ITEL|ITELNUM|COMMENTS|NIOD|NIODNUM
492|*ŕəme- (~ *š-)|0|сок|*ъRma-ftъ|1509|*śmə-m|500|||0
493|*'ərnə-|0|сучок, колышек|*əRn-uttə|1510|*č'in-q'|501|||0
494|*rɨpă- ( *š-)|0|шкура|*Rɨpa-lɣъ-n|1602|*śap|502|||634
495|*'rəshʷə|0|морошка, брусника|*rə̣ttə̣ "|1193|*čełf "|503|||0
496|*'ər'mi|0|куст, ветвь|*ərbi-|1199|*fizwŭ-m|504|лат. rami?||0
497|*'nɨš-|0|искать, охотиться|*-rɨš-: *ɨna-rɨš-|1174|*niśi-|64|||0
498|*rĳit|0|пояс|*rịʒʒịt "|1144|*śi(s)t, *csit-|506|||202
499|*rkəła-|0|бежать мимо, убегать|*škъłab-; *škəłe-|597|*śxila-|507|||0
500|*rkəĺə-|0|спешить; уезжать|*ъrkъc-ab- (< -ł́-)|1150|*śxezi-|508|||0
501|*rolъ-ŋ|0|другая сторона моря, реки|*roł-ъŋ|1115|*salăŋ-|509|||0
502|*'əɣʷrə-nik|1|зверь|*ɣə̣rnịk|392|*wirnik|972|Историческое сложение, где вторая часть *nike 'нечто. это, что-то (заместительное)' (879).||0
503|*ɣajmъ-|0|веселиться|*ɣaʒmъ-|360|*[q]ajm-|510|||0
504|*ɣasɣʷa|0|топор|*ɣạtɣạ #|393|*kʷăśxʷ|511|||0
505|*'ɣelmə-|0|кривой; крюк|*ɣelmə- (~ -ạ-)|346|*xilh-č (~ -ł-č)|513|||0
506|*ɣъlɣъ-|0|кожа|*ɣъlɣъ-n|345|*kilɣi-|514|||0
507|*-əlɣə-|0|кожа, шкура, покрытие|*-əlɣə-n|1773|*-łx|516|||0
508|*'ъ̆šɣʷъ-|0|шерсть, перо|*ъšɣъ ", *(š)ɣъšɣъ-, *-šɣъ-|388|*če-łx "|515|||1067
509|*ɣъtɣă-|0|осень|*ɣъtɣa-n "|400|*(kə)tx-le|517|||0
510|*ɣъsɣʷъ|0|озеро|*ɣъtɣъ-n|402|*kăłxʷ|518|||217
511|*ɣъ̆tka-|0|нога|*ɣъtka=|404|*(k)txa-ŋ, ~ *(q)tha-ŋ|519|||111
512|*ъɣt́a-|0|беречь,  оставлять пищу|*Ra-ʒta-ŋ-, *ъɣta-m- (397)|1145|*'an-xča-|520|||0
513|*qaś-|0|сторона, положение|*-qac < *qał|1657|*kasŏ-ŋ|521|||0
514|*ɣъva-|0|застревать, попадаться; заикаться|*ъɣba-|407|*ka'-|522|||0
515|*ɣъv, *-ъvɣъ-|188|камень|*ɣъbɣъ-n, *ɣъb ", *-ъɣbъ-n|409|*wa-, *koɣʷ(a), -wăn|523|||0
516|*ɣəĺɣi-|0|нуждаться|*ɣəcɣi-|1943|*ksxi-, *ksx-lit-|529|||0
517|*ɣəmə|1436|мест. "я"|*ɣəm|363|*kəma, *kmi-|525|||0
518|*ɣənŭ-|0|середина, центр|*əɣnu-n|367|*kăn-|526|||0
519|*keĺhi|0|шея, загривок|*kạĺʁịʒ "|379|*k'źi-k-|527|||0
520|*ɣəšə, *ɣən-|1583|ты|*ɣəš, *ɣən-|378|*kəźa, *kni-|528|||839
521|*'ъɣʷto-|0|бок, ребро|*ъɣto-l-|398|*fto-|973|||0
522|*'əɣjiv-|1808|известный; имя|*əɣʒib-|355|*hẹla-ŋ|530|Сюда же *'əjɣul- ~ *'əɣjul- 'узнавать' (608).||0
523|*ɣĭl|675|лед, льдина|*ɣil "|338|*kăl-, *-wŏl|532|||0
524|*ɣin'mə, *-ɣini(v)-|0|собирать|*-ɣinib|365|*kĭŋ'ʷa-lo-z|1056|Сюда же ПК *'iɣni-, *'n-ɣəni- 'толпа, собирать людей' (533) и ПЧ *ɣəŋmə- 'быть заодно, в одной группе с кем-нибудь' (376).||0
525|*ɣičji|0|лестница|*ɣiši "|381|*kič|534|||0
526|*ɣʷĭtĕ-|1762|искать, смотреть|*ɣite-|395|*in-xt- (~ *-ft-)|535|В камч. префикс интранзитива *'ine=.||0
527|*ɣ(ʷ)ĭt(ə)ŋi-|0|вечер, вечерняя заря|*ɣitŋi-|1464|*xtəŋ-|536|||0
528|*hała-mša|0|муха|*ʁạłạ-mš(ạ)|3|*klă-mł|537|     Буквально 'грязный (говняный) комар'.||0
529|*'əmšĕ|715|насекомое|*əmše-n, *-əmšə|859|*-mł|538|||454
530|*harɨ- (-e-)|0|тормозить|*ʁarɨ-|102|*qes-p 1|539|||0
531|*hĕłe|0|говно, помет|*ʁạłạ "|2|*kəla-|540|||0
532|*hĳhə-|0|небо|*ʁiʒʁə-n|440|*qish-|541|||0
533|*həl-həl "|265|снег|*ʁə̣L "|250|*qăl'al|542|||0
534|*həlhə|0|тундра|*ʁəlʁə-|1462|*qułh|543|||0
535|*hənen-|1196|один|*(ʁ)ənnen|302|*kniŋ|544|||148
536|*həshʷə-|0|прежде; впереди|*ʁətʁə-ʒu-ła|326|*kłxʷănč-|545|||393
537|*hə̆thəm (*thəm-)|1824|кость|*ʁə̣tʁə̣m, *ʁə̣m-, *-ə̣tʁə̣m-|327|*kthʷəm, *-t(h)əm|546|||37
538|*həshə|1793|собака|*ʁə̣tʁə̣-n|325|*qŏsh|547|||0
539|*məš(e)|0|ягоды, съедобные корни|*əmše ", *əmš-ini-|858|*meł-(qewə)|548|||955
540|*heɣʷə-|0|ягоды|*(ʁ)ə̣b-ə̣ŋʁə̣-n|333|*-qef|549|||0
541|*pъhona ~ *hъpona|1865|гриб|*ъpʁona "|1038|*qpon-om|550|||0
542|*ɣʷapaqa|0|мухомор|*fapaqa|1404|*x(k)pa-n|551|||1156
543|*qeŋərə|0|ноздря|*qeŋrə ~ *qeʁrə|1522|*kŋazə-ŋ|552|||0
544|*-hiłĭ-|52|пить|*ʁici-: *if-ʁici-|489|*'əɣil-|553|||0
545|*'əjhə|0|облако, туча|*ə̣ʒʁə̣-|274|*ja-ja ", *ja-t-|0|||0
546|*hĳhə'm|0|крапива|*ʁiʒʁəb|438|*qaźwŭm|555|||0
547|*'iw-ʁinLu|0|берег, коса|*ʁin(n)u- "|457|*'iw-'nłu-n|556|||0
548|*ŋʷəqłə-|0|спать|*əŋʁel-|1704|*ŋʷikł-, *ŋʷiksi-|1238|||0
549|*hĭsu|0|гусь|*ʁiʒtu "|478|*qs-as|558|||0
550|*hojla-|0|парень, мужчина|*ʁoʒla|970|*qola ~ *hola|559|Ср. *'ъqlaɣʷol 'муж' (272).||160
551|*qʷujemsevə- ~ *'əqʷjemsevə-|0|человек|*ʁuʒemtefi-łʁə-n|964|*kč'amza-n-łh|560|Ср. прачук. *ʁuʒe-qułi 'муж'. Далее идет показатель *-əmtə- 'подобный (какому-либо роду-племени)', который используется в образованиях типа алют. həthə-mtə-lʔə-n 'карагинец', witwitə-mtə-lʔ-ətək 'к тюленьему народу' (ЯФА 440). Далее идет показатель множественного числа *-fi, а потом, что нетривиально, показатель человека-деятеля *-əłʁə-n. Камчатская модель аналогична qč'a-, -mza-, другой показатель pl. -(')n и -łh.||0
552|*'at́t́Vq-|0|кашлять, чихать|*accɨq-la-  (~ *accaq-la-)|32|*'a[čk]ł-|870|||0
553|*'ăłt́ъ-H-|0|лечь, полежать|*accъʁat-|35|*'ełč-|562|||0
554|*val|0|около, рядом|*-bał|1682|*'olla|563|||1029
555|*'ajta-|0|гнать, погонять|*aʒtat-|52|*'ajtat-|565|||0
556|*'ajvă|0|мозг (головной)|*aʒfa # "|40|*jajsu ", *'ajuw "|566|||443
557|*'ajvăĺ-|0|*утро (завтра, восток)|*aʒbaL-|1444|*'aźoś-k|567|||0
558|*'ejłe-|0|искра|*aʒLV #|44|*'eče-miŋ|568|||0
559|*'amɨła-|0|исчезать|*amɨcat-|67|*'ameła-|569|||0
560|*'ano-|0|весна|*ano-n "|78|*'ano-k|570|||0
561|*'aŋaŋša-|0|петь шаманские песни|*aŋaŋša-|87|*'anansa-|571|Похоже на сложение *'aŋ=aŋša= 'воспевать бога'.||0
562|*'aŋja-|0|хвалить(ся)|*aŋʒa-|92|*'aŋja-|572|||0
563|*'ejiɣʷ-|0|нанизывать на нитку|*eʒʒib- (~ -ʒH-)|110|*'iźuɣ-at-|602|||0
564|*'aɣʷa-|0|распахнуться, разлиться|*afa "|124|*'aɣ(ʷ)a-|1144|||0
565|*'aɣʷtă|0|разделывать (рыбу)|*afta (~ ạ) #|129|*'ax(ʷ)t-|575|||0
566|*'ajvɨ|0|вечером, вчера|*aʒbɨ|36|*'ači-|576|||56
567|*'het́ki-|0|плохой|*ʁạtkị-ŋ-|120|*'ečk'e-|577|||0
568|*hĕt́u|0|вид лосося, чавыча|*ʁecu "|14|*č'u "|578|||0
569|*'ejməq|0|соус, бульон|*ạʒmə̣q|57|*'emk'|579|||0
570|*'ejpə-|0|закрывать|*ạʒpə̣-|51|*'ejp-|580|||0
571|*-t́əɣʷ: *'ẹkəm-t́əɣʷ|0|мошкара, гнус|*ekəm-cəb|63|*'ikŭm-čh(u)|581|    Первая часть = *ekmə= 'прилипать' (709), вторая = 'кусающее насекомое'.||0
572|*'heqe-|0|плохой, злой|*ʁeqe-, *ʁạqạ-m-|66|*heqe-, *heqe-n-|582|||0
573|*'ŭjŋ̣V-|1301|отрицательная частица|*uʒŋə #|969|*'ə̆za-q|583|||999
574|*'əlqət- ~ *'ələqt-|0|избегать, убегать|*lqət-; *š-ləqt-et-|789|*'əl'ẹ(t)-|584|||164
575|*'ĕle|0|лето|*ạlạ|1|*la-mł|585|||402
576|*'əsqʷəl-|0|сова|*ətqəł #|1257|*'əs[q]əli-n|586|||1050
577|*'əlɣe-l-|0|узнать, подобный|*ə̣lɣạl-|164|*'alɣa-lə-|587|||0
578|*'elhiqə-|0|нырять|*ạłʁịk-ạt-|24|*'əl'e-k-|588|||0
579|*'elk-ŭl-|0|заметить, удивлять(ся)|*ạlkə̣l-|28|*'ĕlk-ŭ'l-|589|||6
580|*'e'lu-|0|собирать (ягоды)|*elu-|13|*'ahł-|591|||0
581|*'ẹlɣʷə-|0|потрошить, свежевать|*elbə- (~ ạ)|21|*'ĭlxʷłi-|592|||1144
582|*'ĕłɣʷetə-|0|ползать|*elfetiŋ-et- (~ ạ)|18|*'lx(e)te-|593|||0
583|*'em-|0|только|*em-|76|*'em|594|||0
584|*'i̯nkə-|0|ловить, хватать, сжать|*ʒənkə(t)-|1528|*'ĭnk-k-, *'ĭnk-ət-|595|||0
585|*'ĕnkə-|0|сжирать; приманка 1|*enkeb- (~ *ạ)|1603|*-ənkwa-|596|||0
586|*'ĕnqiɣʷə-|0|сила|*enqib-|82|*q'ef "|597|||0
587|*bəlpŭ'ne|0|зять, невестка|*fəlpəre: *'əntə-fəlpəre|300|*'i[l]pun|598|Ср. *č-əlpə'n- 'провожать' (1010).||0
588|*'ĕŋer|109|звезда|*eŋer(ʒə) (~ ạ)|88|*'əŋeź-əm|599|||0
589|*'ĕŋ[q]ə-ĺɣə-|0|болеть, мучиться|*eŋ(ʁ)ə-ĺɣə-|90|*'əŋqă-sx-|600|||0
590|*'əqjə-|0|нанизывать, вдевать нитку|*əqʒe "|740|*sč'a-|601|||0
591|*'ĕɣʷet́u|0|вид лосося|*efecu|130|*fač-k-|603|||0
592|*'evĭt́'u|0|корзинка, сумка|*eficu (~ -b-)|1448|*'ač'-al|604|||0
593|*'ĭjik|0|макарша|*iʒʁik ~ (-ị-, -ʒ-)|1457|*'əsk|605|||0
594|*'eɣʷikĕ|0|сарана|*ạfʁịkạ|133|*'efk|606|||0
595|*'ъjpъ-, *'ъpjъ-|0|одеть; оболочка 1|*ъʒpъ-|275|*-p(s)i-nŏ-m 1|607|||0
596|*'ečɣə- (~ *-čj-)|0|одежда, кухлянка|*išɣə-n|473|*'eč'ĭ-|608|||0
597|*'əsve-|0|снять с себя, стянуть|*-ə̣t́bạ-, *ə̣ʒtə̣(bạ)-|1313|*'ajł-(ət-)|609|Сюда же ПЧ *ъtbɨt= 'тянуть, растягивать, стягивать с, пялить, дергать'||1054
598|*'ъmčъ-kъł (~ *mъr'-kъł)|0|мерзкий, надоевший|*mə̣škə̣c-|864|*'əmč'k'el-|620|||0
599|*'ъɣro-|0|родить|*ъɣroʁъ-, *-ъɣro-|384|*ro-sx-|930|||885
600|*'ъjvъklъ-|0|ударить|*ъʒbъkłъ-|272|*'uzil-|612|||0
601|*kъtъ-|0|крепкий, твердый|*ъktъ-|278|*ktă-|613|||0
602|*(h)ъlha-|514|солнце|*ʁъlʁa "|249|*'lač ~ *qlač|614|||0
603|*'ъlahъ|0|мать|*'ъllaʁъ|260|*lah-sx > *lahsh|615|||0
604|*łaj (~ *l-)|0|тетя|*'ъcca-ʒ(u) (< -ł́ł́-)|261|*łisx < *łi-sx|616|||0
605|*-əŋju|0|брат младший|*'ə̣łłạ-ŋʒụ|262|*-ns: *ki-ns|820|||0
606|*'ələɣʷju (~ *l-)|0|племянник|*'ъllъbʒo|264|*lufś-sx > *lufśx|618|||994
607|*'ъm-|0|глубокий|*ъm- "|285|*'am-|619|||0
608|*'əjɣule- ~ *'əɣjule-|0|узнавать|*əɣʒułe-t/b-, *-əʒɣułe-t/b-|356|*ɣl(e)-: *'ən-ɣl(e)-|769|Производное от *'əɣjiv- 'известный; имя' (522).||0
609|*(ĺ)ъm'jъ-|0|горький|*(c)ъmʒъ-|290|*'ămč'-|621|||0
610|*mъlъ-v-  (~ *-'l-)|0|играть, плясать|*ъmlab-|808|*ma'ł(w)-|622|||0
611|*mъłъ-|0|ловкий, умелый; освоить|*ъmłъ-, *(ъ)mъł-ro-|288|*məli-: *'ən-məli-|623|||0
612|*'ъŋma-|0|таз (анатом.), бедро|*ъŋma=|306|*'aŋa-|624|||379
613|*'əpəɣ-'əpəɣ-|0|варить, кипеть|*əpɣ-əpɣ-et-|1036|*p'ax-p'a-|625|||0
614|*'əpɣə-|0|всплыть; поплавок|*ъpɣъ- (~ ə); *əpɣə ~ *pəɣ "|313|*p(')ox "|626|||332
615|*'ihet-|0|пух, мех|*(i)ʁət "|1531|*'exe-nəm|628|||0
616|*'əjis-|0|приготовить|*ə̣ʒịt-|266|*łin-ŋaził-|629|    В ител. каузативный пpефикс łin=.||0
617|*'ə'ju-|0|таять|*əʒu-|267|*čo-|630|||0
618|*'əq-ke-|0|палящий, горячий|*əkkè- (~ *-qk-)|1556|*xka-|631|||0
619|*qe-mlə-|0|горячий источник|*(əq)qe-mle|281|*[q]enl-k|632|     Старое сложение 'горячая вода' для гейзера.||0
620|*'ə̆qłĭk|0|мужчина, самец|*əqLik|726|*'ihłh|633|См. производное *'ъqlaɣʷol (< 'ъqlahʷola) 'муж' (272).||0
621|*'ə̆lq(v)i-|0|грязный|*ləqbe-, *luqi-|191|*'əlk'si-, *'əlk'u-|634|||0
622|*'əł́əɣ-|0|отец|*'əlləɣ-ən (~ -ʁl-)|263|*'izx|636|||0
623|*('ə)lpə-l-|0|щека|*əlpə(l)-|256|*p'ălhaŋ|637|||0
624|*('ə)lpəjŭ (~ *-r-)|0|грызть|*(l)pəʒu-t- (~ -R-)|1538|*'əlpiz-|638|||0
625|*'əlɣʷẹ|628|олень (дикий)|*'əLfe "|253|*'lɣʷi "|639|||184
626|*'əm'jə|0|рябина|*ъmʒъ ~ *mъʒ "|291|*'əmč' "|640|||0
627|*'ъmŋъ-|0|все|*'ъm-ъŋ|283|*mŋi-(ł)|641|много||0
628|*'ə̆mərku-|0|легкий|*mišku- (~ -ə-)|863|*'əmsxu-|642|||0
629|*mivi|0|мгла, облако|*mibit (~ -f-)|873|*mizə-|644|В прачук. исторически форма множественного числа.||0
630|*'əmqə̆-|0|маленький; мальчик|*əmqə-|293|*'əmx-č|645|||1001
631|*'ъnъ|0|он|*'ъnno, *ən-|295|*'əna|646|||0
632|*'ən'jə-|1743|рыба|*'ənnə-n " (~ *-nʒ-)|303|*'ənč|647|||0
633|*'ŭn'mĭ-|0|останавливаться|*ənbił-|901|*'unmi-|648|См. также общее производное от этого глагола *'ŭnmĭ=n'mə 'поселок' (865).||0
634|*punŋ̇i-|0|повернуть, рикошетить|*punŋi- (~ ụ)|1584|*pn(e)-: *'ən-pne-'ł-|1653|||1106
635|*'əpə-|0|малыш, сын|*'ə̣ppə̣-(lʒụ-), *pɨ-|315|*p'e-č|650|||781
636|*'əčɣə̆|0|они|*əš, *əšɣə-|316|*'ith, *th-|651|||843
637|*'əhre|0|тальник|*ə̣ʁrạ "|317|*č'e "|652|||1021
638|*'ə(ʁ)rət (~ *-s)|0|лук (оружие)|*əʁrət ~ *'ərət|318|*č'it, *č's-|653|||0
639|*t́ъtă-|0|ранить, пускать кровь|*ъcca-|1527|*čət-|654|||0
640|*'əju-|0|класть, засунуть|*ʒo-t-|494|*'əzu-|655|||0
641|*'eke|649|сын, дочь|*ạkkạ #|60|*'eke-čh|656|||24
642|*'ɨlɣɨr-|0|поворачивать назад|*ɨcbɨrV-|413|*'ilɣ(ʷ)iźi-|657|||0
643|*'ɨłhă|0|подруга, сестра|*ɨĺʁa, *-ʒɨlʁa|421|*'iĺɣa, *-(i)xł|1009|||165
644|*'ɨp(ɨ)-|0|обрызгивать|*ɨp-|465|*'ipi ", *'ip-stu-|659|||0
645|*'ɨčɣъ-|1819|белый, светлый|*ɨšɣъ "; *ɨšɣat|471|*'atx- "|660|||0
646|*'ətŋ̣e-|0|свет, светать|*ətŋe-|1775|*'ătx "|661|||0
647|*jiš-|0|уходить|*ʒiš-: *š-ʒiš-|558|*'ił-|662|В ПЧ каузативная основа 'посылать' с префиксом š-/ -n- < *'n-.||1146
648|*'əleɣʷət|0|лодка-долбленка, рыбачить|*'ə̣lạftə̣|1607|*'elwent-|663|||0
649|*'ĭt́kə-|0|сырой, мокрый|*icqəʒ-; *ịckạ-łqə̣-n|423|*čk'ə- "; *'ičk-|664|||0
650|*'ĭɣəč-ŋə-|0|такой|*iɣəš-ŋə (~ -t-ŋ-)|437|*xəŋnin|665|||0
651|*'ĳvə- (~ *ĳɣʷ ə)|1719|глубокий, низкий|*iʒbə-|492|*'izu-|686|Ср. *ew- 'долина' (666).||998
652|*'ikə̆m- (*l-)|0|короткий|*(c)ịkmə̣-|443|*'ikŭm-|667|||0
653|*'iłə̆-qəlɣə|0|кора|*ịł-qə̣lɣə̣-n|425|*'il'al|668|    Вторая часть прачук. *qułɣə= 'шкурка, рыбья кожа'.||0
654|*'imčĕ|0|мутный|*ịmRạ- " (~ -mʒ-)|1530|*'inču-|669|||0
655|*'imłə-|626|жидкость, вода|*m-imłə, *-imłə|840|*'imł-|670|||962
656|*'imsi|0|груз, ноша (заплечная)|*imti #|446|*'imł|671|Ср. также ПЧ *impə- 'грузный, тяжелый на подъем, опрокинуть' (1962), ПК глагольные формы с *-p- отражают или контаминацию, или являются прямым соответствием этого корня.||1098
657|*'ĭneŋe-|0|нагружать, складывать на нарту|*ineŋe|1461|*'niŋ(i)-|672|||0
658|*'iŋlət-|1718|вплетать|*iŋlit|459|*'iŋlət-|673|||0
659|*'is-|0|быть|*it-|476|*'ił-, *'is-|675|||0
660|*čəL-|0|превращать|*šəccə-, *-ccə-|1130|*til-k-|676|||1068
661|*'ithe-|0|дергаться, корчиться|*itʁeʒ-u-|1608|*'it(z)-|1013|||0
662|*tĭte|0|когда|*tite|1299|*'it'e|678|||1077
663|*'is-|0|кипеть; бульон, суп 1|*(ʁ)iti-t-; *(ʁ)itə-ruʁə-|477|*'iłq 1|679|Сюда же и ПИ *'is- 'обвариться' (853).||0
664|*'ishʷə-|0|скользкий|*itʁ(u)-|481|*'iłh-|680|||0
665|*'itmə-|0|шершавый, шероховатый|*ịm-|445|*'itəm-|681|||0
666|*'iv-|62|вода|*if-: *if-ʁici-, *if-ini-|1609|*'i'(j)|682|||770
667|*'iɣʷə-|1823|высокий|*iffə-|1460|*'eɣʷ-s-, *t-eɣʷ-(s-)|683|||0
668|*'ivhe-|0|приплыть|*ịbʁạt-|488|*'eweŋe-|684|Возможно первая часть восходит к *iv= 'вода'.||0
669|*'iɣʷlə-|0|длинный|*ifLə-|486|*'iwl-|685|||0
670|*'ivtə-l (~ *ĺivtə-l)|223|низкий|*(c)iftə-(ł)|490|*t-nŭ-m|1130|Сюда же ПК *'i(ʷ)təl-m-ən 'нижний, ительмен' (1015).||0
671|*'ot́hə-|0|звать|*ocъ(ʁa)|1569|*'oč'-|687|||0
672|*'om-|1764|теплый|*om "|981|*'om- "|688|||0
673|*'omăt-|0|вязать|*ɨn-omat(a)-|982|*'omt-|689|||0
674|*pъ̆tho- (~ * -tv-)|1062|много|*pъttoŋ-|1101|*pto-|690|||1178
675|*'hoptъ-|1801|весь, полный|*ʁoptъ-|997|*hopt'ə-|691|||0
676|*'utĕ-|0|не мочь; запрет|*otab-|1002|*'utu-|692|||0
677|*'ŭqe-|0|ждать|*uʁet-|961|*'ŭqi-, *qʷ-zu-|1151|||0
678|*'uj- ~ *'uv-|0|дерево, древесина|*uʒ-, *uH-|1004|*'u'(w)|694|     См. дериват *'ujtə ~ *'uvtə (679).||0
679|*'ujtə ~ *'uvtə|0|дерево, лес|*(ʁ)uttə "|1005|*'uxʷt|695|Производное от *'uj- ~ *'uv- 'дерево, древесина' (678).||0
680|*'uji-|0|жечь костер|*uʒi-|966|*'uji-|696|||159
681|*'ŭlju-|0|маленький|*ə̣lʒụ-|1605|*'ulu-|697|||1000
682|*'unŭj|0|малыш, детеныш, младший брат|*uʒnu(ʒ) "|975|*'uńa-|698|||0
683|*'utɣə|0|мягкий, слабый, топкий|*utɣə-|1003|*'utx- "|699|||0
684|*'uvə-, *'əvə-|1789|пестрый, темный|*'əb-/ *ub-|330|*'uźa-, *'əźa-|700|Сюда же камч. *kt-ɣ(ʷ)ə- 'черный' < 'совсем, крепко черный' (1072), см. *kt- (613).||0
685|*'uɣʷiki|0|тело, туша|*ubiki|1006|*'uwik|701|||0
686|*'uɣʷe-s-|0|целовать|*ụffạt-|1008|*'owa-|702|||0
687|*'aṕhă-|0|неуклюже шагать|*apʁa(ʒ)-|1610|*'ap'əs- "|703|||0
688|*'ĕheq-|0|узнать, заглянуть|*eʁequ-|1449|*haq til-k-|704|||0
689|*'el|1193|нет, отрицание|*ellə|8|*'il-|873|||141
690|*'ɨtъ-nъ'm|0|хозяин, дом|*ɨtъ-nbъ #|480|*'atno-m|706|||0
691|*-ъlvъna|0|он, сам|*'ъllona|1463|*-lwin, *-lun|707|См. *lɣʷen- 'сам, отдельно' (1057).||1005
692|*vaŋ-ɣъrŋ̣ъ-|876|устье|*baŋ-ɣъrŋъ-n|1548|*'anxsx|708|||43
693|*ɣʷĭr-|1059|веревка; волосы|*fir "|678|*făsxt|709|||0
694|*t́iŋ-|0|завидовать, мстить|*ciŋ-, *ł́iŋ-|214|*čiŋz-|193|||1072
695|*vəĺtə-|0|густой, твердый|*bəltə-|1347|*stə-|711|Из прачук. заимствовано зап.камч. 'in-viĺtɨ-tɨz 'contendere',  n-viĺt-kin 'densus, crassus' (Дыбовский 1 109,140).||0
696|*kʷełhi-|0|лагуна, мыс|*falʁɨ-n|1549|*k'ełxə-n (~ *q-)|712|||0
697|*qʷeŋvə|0|яма, нора|*fanbъ #|1383|*qe'm|713|||0
698|*həłqe|0|гвоздь, стрела|*ʁə̣łqạ-p|258|*kałx|714|||0
699|*ḿəlɣʷəl|0|открытая поляна; поле|*mъlbal (~ *ъmlъbal)|1536|*mślelw/ŋən|715|||0
700|*'iłit́i- ~ *'isit́i-|0|дремать от усталости; успокоить 1|*icicib-|1458|*'iłči-|716|||0
701|*kъlɣъ-|0|запоминать, понять|*kъcɣъ-ʒpъ-|1472|*kalɣat-|717|||0
702|*qĕphə-|346|зуб, пенек|*qep[ʁ]uru|1484|*k'əp ", *pk'i-|718|||0
703|*'ъmča-ŋ|0|правый|*ъmra-ŋ|749|*[f]toŋan|830|      В ител. вторичное оглушение m= перед глухим смычным в анлауте.||0
704|*qĕŋjẹ-'m|0|берег реки, ущелье|*qạŋʒạb|766|*knizĭ-m|720|||0
705|*(')hanъ-|597|зима, иней|*ʁano-ʒpъ-|1446|*haŋ-k, *qaŋ-k|721|||0
706|*łem-|0|мелководье, остров|*cemə-|197|*łem-č|722|||1059
707|*ĺəɣʷĕĺŋe-|0|повернуться, обернуться|*əłɣəŋłe- ~ *əłɣeŋłə-|166|*śxozŋa-|723|||0
708|*tqĕŋu-|0|темный, грязный|*tqeŋu-|1253|*t(')xun-|416|||0
709|*'ekmə-|0|клеить(ся), клей|*ekəm-|62|*'ikəm- ~ *'ətməl-|725|Ср. *=t́əɣʷ: *'ẹkəm=t́əɣʷ 'мошка' (571).||0
710|*'ilɣə-|514|белый, блестящий|*ilɣə-|416|*'ẹłɣe-|726|||0
711|*pɨča-|0|казаться, выглядеть|*pɨša-|1090|*pəśa-|727|||0
712|*'it'ke-|0|отрубить, отнять|*icke-|424|*'itke-|728|||0
713|*'ĕknə-|1370|иной, чужой|*əŋŋ-ine|308|*'ek'n- ~ *'e[ŋ]n-|729|||0
714|*'ajkŏlă|0|постель, ворох вещей|*aʒkoLa|54|*'ekelə-m|730|||0
715|*'hem'jir-|0|растягивать|*ʁemʒir-|72|*hamčzə-|731|||35
716|*'anŋɨ, * 'anqɨ-|0|характер, гнев|*anŋɨna|83|*'ankin|732|||0
717|*'ărkarə|0|чехол, колчан|*aškaRa|113|*śxaz-t-|733|||9
718|*'ejehŭ-|0|удить|*eʒeʁu- < *eʒəʁu-|41|*'o'ə-, *'a'n-|734|||0
719|*ŋelpə|0|пята стрелы, пучок (перьев и т.д.)|*ŋelpə|910|*ŋəlpə-n|1019|||0
720|*'el[əɣʷ]te-|0|этноним|*ạlụtạ-lʁə̣-n|19|*'eleɣut|736|Возможно 'чужак', ср. чук. ɛcvɛ́=c(ʔ)ə=n.||0
721|*'e-'əlɣʷe-|628|телка|*(e)ł́fe-k|254|*ja(l)wə-|737|По-видимому, 'нетель' с отрицанием *'e-...(-kV).||0
722|*'ĭm-|0|стриженый, лысый|*ịm-|1612|*'əm(i)-|738|Из пал. или кор. заимствовано с добавлением своего префикса k- ('имеющий ~') или в результате контаминации с k'im 'волосы' зап. камч. k-imlevt 'calvites, calvus; łysina, łysy; лысина, лысый' < im-lewət 'лысая голова' (Дыбовский 1, 120).||0
723|*'untə-|1198|отдыхать; спокойный|*untəm-|989|*'unxtə- (~ *'o-)|739|||0
724|*'umeke-|0|вместе|*um(e)ke-|984|*'om(a)ka-n|740|||0
725|*'ut́kə-|0|воевать, ударять|*ucku- (~ -tk-)|1503|*'učke-|741|||0
726|*'ъhmɨ-(nɨ-)|0|переходить через|*ъʁmɨ-|286|*xăm'nẹ-|742|||0
727|*məčə-|0|гадость; отрыгивать 1|*əmRə-, *məRə "|1495|*'ən-mẹt- 1|743|||0
728|*'əlĭthə-|0|жимолость|*ə̣ʁlịcʁə̣-n, *(l)ʁə̣lị-|251|*ləlthə-|744|||0
729|*mełhʷə-|0|чесать, царапать|*meLu-|131|*'ĭmtx-, *tx-ĭmtx "|745|||0
730|*'ənkə-|0|теперь, тогда|*'ənkə (-ʒep)|301|*'inki|746|||983
731|*'əLvi-|0|резать, рубить|*əcbi-, *-əłbi-|241|*'olws-|747|||0
732|*'eḿvu|0|сухостой|*emu "|1447|*'emś|748|||0
733|*'eppĕ-|652|дедушка, старший родственник|*ạppạ #|95|*'ap(a)|749|||0
734|*ɣʷeqə-nvə|0|навага|*feqnə #|1378|*fekə-m|750|||0
735|*val-|182|зуб|*bal-nъ "|1323|*-jal|751|||0
736|*ɣʷeru-|0|лекарь, шаман|*ta-faRo-ŋ-|1408|*ɣʷəzu- Ю|752|||1041
737|*tamă-|0|куча|*tama-ʁъŋ|1801|*tam|753|||0
