NUMBER|PROTO|PRNUM|MEANING|ICOST|WCOST|ITE|ITRUSL|STBIT|ITEMEA|WIT|WITMEA|WITMEP|SIT|SITMEA|SITMEP|VOL|IRSLOV|VZHU|STEB|WDYB|SDYB|COMMENTS|NIOD|NIODNUM|EXT
694|*'u'(w)|678|дерево|üH(F)-i|üF, üH|'u'(f) ('u'i'n pl.) 1, 2, 'u-psx 3, 'u-'əlɣiŋ** 4|'u' ('u'-i'n pl., 'u'-in poss., 'u'e voc.) 1, 2, 'u-psh ('u-psh-e'n pl.) 3|'u'-aj хайрюз., 'u-'a'j напан. magn. ('u-ən poss.)|дерево, ствол 1, бревно, полено 2, черенок 3, морда (рыбол.) = деревянная сеть 4|'uu̯ ('u'-in pl., 'u'-al coll., 'u'-in, 'uɣ-in poss.), 'uk ('uk-in pl.) 1, 'u'in pl. 2, 'u-'ilɣin 3|arbor (arbores) 1, lignum, silva 2|drzewo (drzewa) 1, las, drwa 2, więcierz pleciony z łoziny 3|'uu̯-t pl. 1, 'uu̯-mau̯č 2|ligna 1, capsa, arcula 2|drwa 1, (drzewiesna ?) skrzyneczka, pudło 2|36, 129, 29|94, 84, 61, 70, 93|348|86|162, 163|121|||0|нив. uzi 'чаща, тайга'
695|*'uxʷt|679|лес|ü̲FT-e||'uft ('uft-e'n pl.)|'uxt ('uxt-e'n pl., 'uxt-'in poss., 'uxt-enk loc., 'uxt-anke adr.)|'uxt-anke adr.|лес, березняк|||||||26|94, 97||104|||||0|
696|*'uji-|680|топить печь, жечь костер|üJï=, oJe-LaT=|oHə=, oJə=, N-ụRJạ-ŚəNĹ=|'uji-kes, 'oje-lat-kes mult. 1, 'uji-k-nen part. 2|'oje-kas (q-'uji-xč 2sg. imper., k-'uji-knen 3sg. perf.) 1, 'uji-knen part. 2, 'uji-rit 3, 'oje-lat-no-m ('ojelatno-'n pl.) 4||топить печь, жечь костер 1, дрова, топливо 2, костер 3, очаг, печь 4|'o'ə-kaz 1, 'ojəj-z 2, n-uŕ'ja-šənĺ-kaz 3, 'ajpə-z 4|urere, calefacere 1, incendere lignum in fornace 2, perure 3, calefacere 4|palić (w piecu), ogrzewać 1, palić w piecu 2, przepalać 3, nagrzewać 4|vĳa-kazač|mons vulcanius|wulkan|37, 214|67, 93|||141, 140, 82|121|В зап. камч. слове 'протапливать' первая часть значит 'костер', а вторая 'гореть, искриться'.||159|
697|*'ulju-|681|маленький|üLü-, üLü-Se̲=, N-ụ̈Lụ̈-Ha̲=|üĹü-, oĹe-, NoĹe-Śa-ĹaT=|'uĺĺu-ĺah 1, 'uĺĺu-se-kes 2, n-oĺĺo-wa-s 3|'uĺu-ĺah (xi-, 'uĺu-q adv., 'uĺu-č-q dim. adv.) 1, 'oĺo-se-kas 2, n-oĺo-'a-s (t-'n-uĺu'a-čen 1sg.3sg. perf., q-'n-uĺu'a-xi'n 2sg.3pl. imper.) 3, kł-uĺu 4|'olo-lax-ən ('ulu-)|маленький 1, уменьшаться 2, уменьшать 3, совсем мало 4|'uĺĺu-leɣ (xe-'oĺĺe-ĺah superl., 'uĺĺu-k adv.), 'uĺĺu-lex 1, 'oĺĺe-'ans-ĺax 2, n-oĺĺe-ša-ĺat-əz 3|parvulus 1, parvus, non magnus, medius 2, minuere 3|maleńki 1, mały, niewielki, średni 2, umniejszać 3|čin-uĺ|parvus, parvulus|mały, maleńki|30, 49|93, 67, 62, 30||86, 91|162, 142, 139|106|В юж. камч. сложение с основой 'кpасивый'.||1000|
698|*'uńa-|682|птичка|ụNạ-CX||'uńńa-čh ('uńńačh-en poss. personal.) 1|'uńńa-'ń-č pl. 2||птичка 1, маленькие тундровые птички, на которых не охотились 2||||ki-ns|frater minor natu|brat młodszy|31, 132, 166|93||||112|В юж. камч. ki- < *qa/i- 'родственник, брат' (118).||0|
699|*'utx- "|683|топкий|uTX "|üTə̈Jẹ̈X, üTɨ̈X|'utx-'utx 1, 'utx-q adv.|||топь 1, топко 2|'utəjẹx-in, 'utɨɣ-in|qui, quae sub pedibus est, sunt|będący, znajdujący się pód nogami, podnożny||||35||||163||||0|
700|*'uź'a-, *'əź'a-|684|пестрый, синий||ụŚHạ̈-|||||'uź'a-lex, 'iź'a-leɣ|variegatus, caesius|pstry, błękitny||||||||163, 111||||0|
701|*'uwik|685|тело, туша|üFïK-e -eCX|üFïK|'uwik 1|'uwik ('uwik-e'n pl.) 1, 2, 'uwike-čh 3||тело, туша 1, сам, себя (возвратное действие) 2, ласкательное обращение к ребенку 3|'uvik-nəkaz|se beare, se salvare|zbawić się||||27, 177|93|||163||||0|
702|*'owa-|686|целовать|o̲Fa̲=, o̲Fa̲-SXe̲N=, o̲Fa̲-HL=|oF́a-L=, o̲F́a̲-Li̲T=|'ow(w)a-s (ow(w)a-ɣen 3sg. perf.) 1|'owa-s sing. (q-'owa-miŋ 2sg.1sg. imper.), 'owa-sxen-es mult. 1, 'owa-'ł-kas med. 2||целовать 1, целоваться 2|'ov́al-kaz 1, 'ov́alit-kaz 2|osculari 1, oscula jungere 2|całować 1, całować się 2||||26, 200, 28|66|||142||||0|
703|*'ap'əs- "|687|шаги (отдельные, неуверенные)|a̲P'e̲Sə=|aPS "||'ełh-ap'es-kas ('iłhap'esɨ-zɨn 3sg. pres., t-'iłhap'es-kičen 1sg. perf.)||скользить, поскользнуться|'aps-aps|passus comminutus|kroki drobne|||||119|||87||В глаголе 'поскользнуться' первая часть - *'iłh- 'скользкий' (680).||0|
704|*haq til-k-|688|знать, узнать|XạK ~ XịK|XiK|haq til-k-es SO 1, haq 'ełes SO 2|xiq tel-k-as SO (q-tɨl-xčik 2sg.3sg. imper., t-tɨll-as-čen 1sg.3sg. desid., k-tɨl-knen 3sg3sg. perf.) 1, xiq 'eł-es 2||знать, узнать, понимать 1, знать (кого-либо, что-либо), уметь 2|xik=tɨl-kaz 1, 'ik=tɨĺ-kaz 2, 'ik=əle-z 3, xikə-lex(-in) 4|cognoscere 1, animadvertere 2, scire 3, aestosus, mirus, insignus 4|poznać 1, spostrzegać 2, wiedzieć 3, osobliwy, dziwny, znakomity 4||||102, 205, 216|97|||91, 105||||0|нив. q`oʁa 'душа, мысль, разум'
705|*'e'l-|0|редкий|eHL-|ə̲L=, ə̲Ĺ=||'e'l-ah ('e'l-q adv.)||редкий|'əĺ-kan, 'əl-lax-in|rarus|rzadki|||||124|||100||Ср. *'il- отрицание при императиве (873).||375|
706|*'atno-m|690|дом, родина|aT-No̲-M|a̲T-No̲-CX|'atno-m|'atno-m ('atno-'n pl., 'atno-'an poss., 'atno-ke dat.) 2, 'atno-lan ('atno-la'n pl.) 3|'atənu-m (хайpюз.), 'atno-m (седанк.)|дом, родина 1, поселок, деревня, село 2, житель поселка 3|'atno-čɣ dim. [atinum*] ('atno-nč pl., 'atno-k loc.) 1, 'atno-'an poss. 2|arx, castellum, oppidium 1, suus, domesticus 2|gród, miasto, wieś 1, swój, domowy, bliski 2||||149|16, 84||86|88||||0|
707|*-lɣʷin, *-lun|691|сам|-LFiN, -LuN|ĹXʷi-N|-lwin, -lun|-lwin|-lun|сам|ĺɣi-kiman, -lɣun, -lɣu̯in|proprius|własny||||175||||130, 128||||1005|
708|*'anxsx|692|устье|a̲NXS(X)-a|aNXSX|'anxs|'anhsh ('anhsh-a'n pl.)||устье|'anxs̲k, 'anxsx|ostium fluminis|ujście rzeki|'au̯sxad|ostium fluminis|ujście rzeki|61|14|||84|104|В публикации матеpиалов Дыбовского непpавильное пpочтение pус.  pукописного "с" = [s] как "е" = [e].||43|
709|*făs-fs " (~ xʷ)|693|веревка|Fä̆S-XT́-e|XʷaSXT|făsxt|făsht (făshs-e'n pl.)||веревка|fasxt, xo̯asxt|funis, funiculus|powróz, sznur, sznurek||||40|95, 73|||93, 102|120|Исторический редупликат с последующей заменой конечного -s на -t под влиянием регулярного чередования основ на конечный -t.||0|
710|*łi[ŋ]ł-|191|завидовать, ревновать||Lɨ̈NĹ=|||||lenĺ-kaz 1, lɨńĺ-kin[-kin] part. 2|invidere 1, invidiosus 2|zazdrościć 1, wzbudzający zazdrość 2||||||||130, 132||В причастии в зап. камч. скорее всего ошибочно два раза выписан показатель -kin.||495|
711|*stə-|695|твердый, плотный, густой||STə̲=|||||stə-knan|durus, coaeretus|twardy, zsiadły, gęsty||||||||149||Ср. *śt'w-at- 'топтать' (442).||0|
712|*k'ełxə-n (~ *q-)|696|мыс, побережье|KeLXeN|KẹLXeN|kełxe-n (kełxe-'n pl.)|||мыс|kẹlxe-n|promontorium|przylądek||||125||||118||Использование Дыбовским знака "ять" = [ẹ] указывает на абруптивный или увулярный характер заднеязычного.||0|
713|*qe'm|697|яма|Kë'M-e||qe'm|qe'm (qe'm-e'n pl.) 1, qe'm-sato-s  ( ̊n-qe'm-satu-čen 4sg.3sg. perf.) 2, qe'm-satu-no-m ( ̊qe'msatuno-'n pl.) 3||яма 1, хоронить 2, могила 3|||||||27|45|||||Слово 'хоронить' представляет собой сложение 'яма'+'рыть'.||0|
714|*kałx|698|стрела|Ka̲LX-a, KaLX-L=|Ka̲ĹX-, KiĹX|kałx, kałx** 1, kałx-ł-kes** 2|kałx (kałx-a'n pl.)||стрела 1, делать стрелы 2|kaĺx [kaĺx*] (kaĺx-an poss.) 1, kiĺx 2|segitta 1, acus ad rete nectendum 2|strzała 1, igła do wiązania sieci 2||||395|27|344||112, 120||||0|
715|*mślelɣʷ/ŋən|699|поле, мир вокруг|MSLe-LNəN|MŚLë-ĹFïN||msle-lŋə̆n||мир, вселенная|mšle-ĺvɨn (mšle-ĺvin-č dim.)|ager|pole|||||58|||136||||0|
716|*'iłči-|700|успокоиться, замолчать|ïLC(i/e)=, N-ïLCë̲=, N-ïLCï=||n-iłče- SO 2|'ełč-kas (t-'iłče-skičen 1sg. pres., 'iłči-zɨn 3sg. pres., q-'iłč-kas 2sg. pres., k-'iłč-'in part. act.) 1, n-ełče-s (q-'nɨłči-xi'n 2sg.3pl. imper., k-'nɨłči-'in 3sg.3sg. perf.) 2, n-ełče-no-m 3||молчать (молчаливый) 1, успокоить, утешать 1, утешение 2|||||||120, 38, 68|120, 64|||||||0|
717|*kalɣat-|701|учить наизусть||KaĹXa-T=|||||kaĺɣat-əz|memoriam agitare|uczyć się na pamięć||||||||113||||0|
718|*k'əp ", *pk'i-|702|зуб|Kə̈P ", KPə̈=, PK̈=|KïP ", (i)K̈P-i|kəp-kəp** 1, pk-'in poss. 2|kə̆p-kə̆p (kp-ə̆n pl.) 1, pk-'in poss. 3||зуб 1, с зубами 2, зубной 3|kip-kip (kp-in pl.) 1, 'ixp-kin 2|dens 1, dentatus 2|ząb 1, mający zęby 2|kəp-kəp (kəp-əd, kip-ud pl.)|dens|ząb|217|37, 70|336||121, 104, 115|111|||0|
719|*k'ol-|226|ломать|K'ö̲L=, K'oL-SXeN=, N-K'ö̲L=|Ko̲Ĺ=, Nə-KəĹ=, ïN-KëĹ=, a̲N-Ka̲Ĺ=|k'ol-kes, k'ol-sxen-es mult. 1, 'ə̆n-k'ol-es, 'ə̆n-k'ol-sxen-es mult. 2|k'ol-kas (k-k'ol-knen 3sg. perf.), k'ol-sxen-kas. mult. 1, 'ə̆n-k'ol-es ('ə̆nk'ol-en 2sg.3sg. perf., 'ə̆n-k'ol-nen 3sg.3sg. perf.), 'ə̆n-k'ol-sxen-es mult. 2||ломаться 1, ломать 2|koĺ-k-nan 1, koĺ-no-kan pl. 2, nə-kəĺ-kaz, 'ań-kaĺ-z (k-an-kaĺ-sxań-'an part. pass. dur.) 3, 'in-keĺ-sxin-z mult. 4, koĺɣat-əz 5|fractura 1, fragilis 2, frangere (perfractus) 3, obtruncare 4|złamanie 1, kruchy 2, łamać, złamać 3, rozłamywać 4, obrąbać 5||||60, 200, 56, 202, 207|39, 112|||125, 138, 84, 107||Возможно сюда зап. камч. 'an-gaĺ-kaz 'punctio, dolor acutus; kłocie (w ciele, ból; колики в теле, боль' (Дыбовский 1, 84), или же это следует относить к *'əŋqă- 'боль, болеть' (600).||0|    А не сравнить ли здесь  орех для nəkl=?
720|*kniźĭ-m|704|берега, ложе (реки)|KʷNi̲̣Si̲̣-M -e|KNi̲Sï-M|| ̊knɨzɨ-m ( ̊knɨz-e'n pl.,  ̊knɨzɨ-k loc.,  ̊knɨz-ake adr.)||берег|knizim kiɣ-in 1, knizə-kẹ adr. 2|ripa 1, ad ripam 2|brzeg rzeki 1, na brzeg 2|kanasi-d 1, ~ kunad, kunəd pl. 2|spectus, latebra 1, rupes, scopuli 2|nora, jaskinia, łożysko 1, skały, skały podwodne, porogi 2||31|||124|111, 114|||0|
721|*haŋ-k, *qaŋ-k|705|зима|XaNK-Le, XäNK=, XäNK-LeT=|XaNK-Le|(h)aŋk-le** 1, (h)ank-let-kəs** 3|xaŋk-le 2, kank-kas (t-kank-qzu-kičen 1sg. imperf., k-kank-kičen 3sg. perf.) 3||зима 1, зимой 2, зимовать 2|xańk-le|hiems|zima|kai̯č-kizix|hiemare|zimować||97, 27|344||89||Основа оформлена наречным аффиксом -le после суффикса местного падежа. В диалекте ИРС анлаутные велярные варианты, по-видимому, вторичны. В юж. камч. возможно особое сочетание -ŋk- > -ńḱ- > -i̯č-, или, что более вероятно, неправильное прочтение рус. рукописного "г" = [g] как "ч" = [č], тогда kai̯g- < "kaŋk-.||0|
722|*łem-č|706|остров|Lʷe̲MC -e?|Śə̈M-C -i|łemč (łemč-e'n pl.)| ̊łemč ( ̊łemč-e'n pl.,  ̊łemč-anke adr., łemč-x'al abl.)||остров|səm-č 1, kasxeĺ-səmin, kasən-səmin 2|insula 1, peninsula 2|wyspa 1, półwysep 2|šam-at pl.|insulae|wyspy|127|53, 34|||147, 115|117|||1059|
723|*śxozŋa-|707|поворачиваться, оборачиваться|SXo̲SNa̲=, N-SXo̲SNa=|ŚXo̲SNa̲-T=, a̲N-SXo̲SNa̲-T=|sxozŋa-kes 1, 'ə̆n-sxozŋa-s 2|sxozŋa-kas (q-sxozŋa-xč 2sg. imper.) 1, 'ə̆n-sxozŋa-s (q-ə̆n-sxozŋa-x 3sg.3sg. imper.) 2||поворачиваться, оборачиваться 1, поворачивать 2|šxozna-t-an part. 1, 'an-sxozna-t-az 2|ad reditum pertiens 1, flectere (currum) 2|tyczący się powrotu 1, zawracać (wóz, sanie) 2||||62, 209, 36|81, 114|||150, 86||||0|
724|*'ləlHi-łč|408|лодыжка||ĹạĹXịĹ-C|||||ĺaĺɣiĺč|sura|łydka|nəddəl|sura|łydka|||||129|115|Разобраться со всеми икрами.||0|
725|*'ikəm- ~ *'ətməl-|709|приклеиться, прилипать|ïKüMCX-e, N-e̲TMə̲N-L=, TMə̲L=|ïKïMCX-, KəMTəX, N-ẹTMẹN-Ĺ=|'ikum-čh ('ikumčh-e'n pl.) 3|n-etmə̆ń-ł-es (t-'netmə̆ńł-če'n 1sg.3pl. perf.) 1, tmə̆l-kas (k-tmə̆l-'an part.) 2, 'ikum-čh ('ikumčh-e'n pl., 'ikumčh-al coll.) 3||клеить 1, липнуть, прилипать (липкий) 2, мошка 3|kəmtəx/k 1, n-ẹtmẹn-ĺ-kaz 2, 'ikim-čx-in pl. 3|gluten 1, glutinare 2, muscae, musculae 3|klej 1, kleić 2, muchy, muszki 3|kamš́č́u-d pl.|muscae|muchy|130|64, 161, 85, 34, 24|||118, 138, 105|110|Глаголльные формы с сочетанием -tm- происходят из -km- между двумя гласными. В слове 'мошка' это сочетание разбито вставочным гласным и поэтому сохраняется.||0|
726|*'ełɣe-|710|блестеть, сверкать|e̲LXe̲-RCo̲=, e̲LXe̲-RCo-M|ə̲ĹXa̲-PəŚa-T=||'ełwe-rčo-kas 1, 'ełwe-rčo-m 2, k-'ełwe-rčo-'an 3||блестеть, сверкать 1, блеск 2, блестящий 3|(kix) 'əĺɣa-pəšatə-zən|(mare) nitet|(morze) błyszczy, lśni|||||119, 40|||120||Втоpая часть в зап. камч. значит 'казаться, выглядеть', а в ИРС -rčo- - вариант интенсива -jčo-.||0|
727|*pəśa-|711|блестеть (=видно блеск)||̲-PəŚa-T=|||||(kix) 'əĺɣa-pəšatə-zən|(mare) nitet|(morze) błyszczy, lśni||||||||120||Пеpвая часть значит 'быть белым'.||574|
728|*'itke-|712|отрезать, отделять||ïTKə̈-|||||k-itkə-'in part.|sectus, absassus|ucięty, odcięty||||||||122||||0|
729|*'ek'n- ~ *'e[ŋ]n-|713|иной, чужой|e̲K'Ne̲N-|ə̈KNɨ̈N|'eknen 1|'ek'nen ('ek'ne'n pl., 'ek'nen-ke adr.) 2, 1||иной, чужой 1, другой 2|'əknɨn, 'əgnɨn 1, 'əgən 2, 'aknə-nkẹ, 'ajnə-nkẹ adr. 3|alius, aliens 1, prater 2, trans, per, in partem, na secessu 3|inny, cudzy 1, oprócz 2, przez, za, na bok, na stronę 3||||170|118|||99, 82||||0|нив. ena- 'другой, чужой'.
730|*'e(s)kelə-m|714|постель, ворох вещей|NaK-o̲Ka-CX|ə̈Kə̈Lɨ-M, NaK-aKaĹ|ŋak-oka-čh|||постель (пуховая)|'əkəl-ɨm 1, nak-akaĺ 2|conditorium, granarium 1, nidus murinus 2|skład na rzeczy, śpichrz 1, gniazdo mysze 2|skadu-d pl., ? kinu-d pl.|stragula ex junco facta|plecionki z sitowia w rodzaju dywanów|246||||99, 137|118, 112|В слове 'постель, гнездо мыши' первая часть происходит от глагола *ŋek-ł- 'спать'.||0|
731|*hamčzə-|715|растянуть|XạMTSị=|i̲N-aMCSə-T=|hamtzi-kes|||растянуться (о человеке)|'in-amčz-ət-əz mult.|extendere|rozciągać||||409||||106||Ср. *'amčze- 'учащать, делать часто' (1281).||35|
732|*'ankin|0|яростный, неистовый||ạNKịN|||||'ańkin|rabiosus|wściekły||||||||85||||0|
733|*śxaz-t-|717|чехол из кожи для топора||ŚXaST-No-M|||||šxazt-no-m||worek skórzany na topór||||||||150||||9|
734|*'o'ə-|718|ловить рыбу, удить||oHə-ĹX-Co=|||||'o'ə-ĺx-čo-kaz|piscari hamo|łowić rybę wędką||||||||141||Развитие в ител. отражает, по всей видимости, слово 'удочка', см. чук. параллель к данному слову в пракамчатской этимологии. В зап. камч. втоpая часть означает законченность действия, этимологически из глагола *łx(w)i- 'закончить'(370), а  суффикс -čo- обозначает интенсивность действия.||0|
735|*'əlh(ʷ)ə-|422|сосать|əLXHe=|i̲ĹHë=, i̲ĹXë=||'ə̆lx'e-s||сосать|'iĺ'a-kaz, 'ilxe-zin 1|sugere|ssać|no-čič dim.|lac|mleko||109|||105|116|||0|
736|*'eleɣut|720|алеут||əLeXuT|||||'əleɣut||aleut||||||||100||||0|
737|*ja(l)wə-|721|корова||JaFə-NaN|||||javənan|vacca, equus|krowa, koń||||||||111||||0|
738|*'əm(i)-|722|стричь (волосы)|N-Mï=|əM=, ïN-Mɨ̈=||'ə̆n-me-s (m-ə̆nmɨ-win 1sg.2sg. imper., q-ə̆nmɨ-x 2sg.3sg. imper.) 1, 2||стричь, брить 1, ощипывать (птицу) 2|'əm-kaz 1, k-in-mɨ-'in part. pass. 2|tondere comas, erines 1, initiatio 2|strydz włosy 1, postrzyżyny 2|||||114|||100, 121||||0|
739|*'unxtə- (~ *'o-)|723|отдыхать||oŃXT=|||||'ońxt-əz|quiescere|odpoczywać||||||||142||||0|
740|*'om(a)ka-n|724|вместе, между|o̲Ma̲Ka̲-N|oMaKa-N, KịSH-ạMKə̣-||'omakaŋ||вместе|'omakan 1, kiź'-amkə-'in 2|una, inter 1, obvolutus 2|razem, między 1, obwity, obwinienty 2|||||67|||142, 123||||0|
741|*'učke-|725|воевать||oCKa=|||||'očka-z|bellare|wojować||||||||141||||0|
742|*xăm'ne-|726|переходить, переваливать|XəHMNë=, T-əHMNe̲=|XaMNẹ=, T-ɨMNə=||xə̆'mne-kas (t-xə̆'mne-kičen 1sg. perf., k-xə̆'mne-knen 3sg. perf.) 1, t-ə̆'mne-s (q-t-ə̆'mne-xi'n 2sg.3pl. imper.) 2||переезжать через горы, переваливать через хребет 1, перелезать через 2|xamnẹ-kaz 1, t-ɨmnə-z 2|transire 1, transjicere, transferre, transtrahere 2|przechodzić 1, przerzucić, przenieść, przeciągnąć 2|||||89, 99|||89, 161||||0|
743|*met-: *'ən-met-|727|рыгать||aN-MẹT=|||||'an-mẹt-əz|ructare|rzygać||||||||85||||0|
744|*'ləlthə-|728|жимолость|Lə̈LTX-e|La̲LTX-a, LaLTa-No-M||lə̆lth (lə̆lth-e'n pl.)||жимолость (ягода)|lalta-no-m 1, laltx-an pl. 2|lonicera (frutex) 1, lonicera (baccae) 2|wiciokrzew (krzak) 1, wiciokrzew (jagody) 2|||||49|||129||||0|
745|*'ĭmtx-, *tx-ĭmtx "|729|чесать, царапать|TX-M̈TX-e ", MTX-Lä̲=, MTX-La̲=|TX-eMT, i̲MT(X)-La(-T)=, aMT(X)-La=|tx-ə̆mtx 1, 'ə̆mtx-la-kes 3|tx-ə̆mtx (txə̆mtx-e'n pl.) 1, 'ə̆mtx-la-s (t-ə̆mtxla-čen 1sg.3sg. perf., q-ə̆mtxla-x 2sg.3sg. imper., k-ə̆mtxla-'an 3sg.3sg. perf.) 2, 'ə̆mtx-la-kas (t-ə̆mtxla-skičen 1sg. pres., q-ə̆mtxla-xč 2sg. imper., k-ə̆mtxla-knen 3sg. perf.) 3||гребень, расческа 1, причесывать 2, причесываться 3|tx-emt 1, 'imt-la-z 2, 'imt́x-la-t-kaz 3, 'amtɣ-la-z 4, 'amt́-ĺa-kaz 5|pecten 1, pectere 2, depectere 3, scabere 2, se scabere 3|grzebień 1, czesać 2, rozczesywać 3, drapać 4, drapać się 5|'imtxil(-an)|pecten|grzebień|214|88, 110|||155, 106, 83|108|В имени 'расческа' представлена редупликация по модели слова 'огонь', 'шкура', 'жир'.||0|
746|*'inki|730|теперь|iNKNeL|ïNKï||'inkneł||или|'inki|jam, nunc|już, teraz|||||24|||107||||983|
747|*'olws-|731|резать, рубить||OĹFS=|||||'oĺvs-kaz|caedere, secare|rznąć, rąbać||||||||142||||0|
748|*'emś|732|березовый стланник|ïHMëMə-M|əMŚ-HaL||~ 'i'memə̆m sg. tant.||березовый сок|'əmś-'al coll.||brzóska drobna, krzewiasta|||||26|||100||||0|
749|*'ap(a)|733|отец, кум||aP-LaT=|||||'ap-lat-kaz|necessitudine baptismi testandi jungi|kumać się|'apa-č ['apa-č*]|pater|ojciec|||||87|104|||0|
750|*fekə-m ~ *xʷ-|734|вид рыбы (для вяления)||XʷẹKaM, FạKi-̣N|||||xo̯ẹkam, fakin (pl. ?)|gadus aeglifinus|ryba z gat. sztokfisza||||||||93||||0|
751|*-jal|735|коренной зуб||KaT-JaL|||||kat́-jal kpin|dentes molares|zęby trzonowe||||||||115||В сложении пеpвая часть значит 'кpепкий'.||0|
752|*ɣʷəzu- Ю|736|шаман, лекарь||üRïLë|||||urile|praefectus millium|tysięcznik, urzędnik|vɨzud|muneri praefectus, medicus|urzędnik, lekarz|||||163|122|||1041|
753|*tam|737|куча, груда||TaM|||||'oj-tam|rogus|stos||||||||141||Пеpвая часть значит 'дpевесный'.||0|
754|*čikm-et-|738|обвязывать, обвивать||Ci̲KMa-T=|||||čikmat-əz|obvolvere, obligare|obwĳać, obwiązywać||||||||96||||0|
755|*te[ŋ]e-|739|одетый, снаряженный, натягивать (на себя?)||TəNə=, TNə-T-Sə=|||||tənə-k 1, tnət-zəj 2|calceatus, vestitus 1, tendere, extendere 2|obuty, ubrany, przygotowany 1, naciągać 2|tinak||kuklanka, odzież futrzana z dwóch skór uszyta, na obie strony włosista|||||157, 158|119|В юж. камч. описание: "кухлянка, сшитая из двух шкур одежда с мехом на обе стороны".||0|
756|*tə[q]ə-|740|блестеть||Tə̈Kə̈=|||||təkə-sin|fulminare|błyskać||||||||156||||0|
757|*txlo-n|741|ива (черная)||TXa̲Lo̲N|||||tx(a)lon|salix nigra|łoza czarna||||||||155||||0|
758|*tanɣal-|0|слава||Ta̲NXa̲Lə̲N|||||tanɣalən|fama|sława||||||||156||||0|
759|*tʷəmə-|743|сарана (лилейное растение)||TʷəMʷəK|||||təmək, to̯əmo̯ək|lilium tenuifolium|sarana, gat. lilii||||||||156, 158||||0|
760|*thĭ- ~ *kti-|744|глотать|TẌ-LïT=|||th-let-es||глотать||||ktiɣax|haurire, absorbere|połykać||89||||113|В записи Дыбовского юж. камч. глагол 'глотать' дан в форме императива 2sg.||0|
761|*čĕre-m, čĕne-|473|сажа, слизь, выделения|CRe-CRə-M ", əL=Ce̲RFa̲|CNe-CRə-M|'ə̆ł-čerwa 2|čre-črə̆-m (čre-'n pl.) 1||сажа 1, слизь, глазные выделения 2|čńe-črə-m|fuligo|sadze||||212||||98||Слово 'сажа' является редупликатом, оформленным отпадающим -m. Форма с -r- происходит из *-'n-, а форма с -n- из *-n-.||980|
762|*txsət-: *'an-txsət-|746|стащить, cворовать||aN-TXSəT=|||||'ań-txsət-kaz|subtrahere|wyciągać, wykradać||||||||86||Ср. *tsxi-'l- 'ошибаться' (1625).||0|
763|*tawal-: *'ən-tawal-|747|метать икру||i̲N-TaFaL=|||||'in-taval-ez|ponere ova (de piscibus)|składać (ikrę)||||||||109||||0|
764|*-nən-|748|сражаться, биться||Lü-NəN=|||||lo-nən-kaz|certare, pugnare|bić się, walczyć||||||||132||Пpефикс - показатель pефлексива.||0|
765|*čunu- ~ *čono-|749|годный для использования||CoNo=|||||čono-kan|utilis|pożyteczny||||||||98||||0|
766|*stał- (~ -ś-)|750|слать, посылать||STaŚə-L|||||stašə-l inf.|mittere, dimittere|słać, posyłać|k-sitp-ax 2sg.3sg. imper.|duc (eum)|wiedź, przeprowadź (go)|||||149|113|||0|
767|*penk(')e|751|шапка||PəNKẹ|||||pənkẹ|velamen capitis|czapka||||||||144||||0|
768|*peqe-čh|752|щавель|PeKKeCX||peqqečh|||щавель|||||||56||||||||606|
769|*ɣl(e)-: *'ən-ɣl(e)-|608|узнавать, выведывать||əNXL(e)-|||||'ənɣle-z|exquirere|wybadować||||||||100||Похоже на производное от *hẹla-ŋ 'имя, название' (530) и *'əl'ił- 'объяснять, советовать' (1652).||0|
770|*pk'ə-|754|наслоение|PK'L=, PLK=|PKa-T-Nɨ-M, i̲N-PKẹ̲̈=|pk'ł-es (k-płk-nen 3sg. perf.), pk'ł-ala-s insuff.|||надставлять (=наслаивать)|pka-t-nɨ-m 1, 'in-pkẹ-z 2|pellis 1, colorem inducere 2|futro 1, farbować 2||||207, 53||||108||В зап. камч. первоначальное значение основы 'наслоение, слой', отсюда отглагольное имя от основы pk-at- '(на)слоить' получает значение 'шкура', а каузативный глагол 'создавать слой' - значение 'красить'. Ипользование Дыбовским знака "ять" = [ẹ] указывает на абруптивный или увулярный.||0|
771|*pəzɣən|755|насморк||PəSXəN|||||pəzɣən, kəjloj pəzɣən, kinaj pəzɣən|catarrhus|katar||||||||144, 117, 121||||0|
772|*płe-|756|немного|PLe-FeR|||płe-wer||немного, чуть-чуть||||||||71|||86, 143||||0|
773|*paka-ka|757|птенец, цыпленок|PʷạKụK-a|PaKaKa-C|| ̊pakuk ( ̊pakuka-'n pl.)||птенец, цыпленок|рakaka-č dim. (рakaka-n-č pl.)|pullus|kurczę|||||69|||143||Конечные -ka/ -qa - частотный аффикс в названиях животных и птиц.||1170|
774|*pučx-č|758|горловина затона||PuCX-C|||||pučx-č|collum retis|szyja u więcierza||||||||145||Юж. камч. pa'aɣan < pălɣan.||0|
775|*pəzɣən-|759|пораниться|Pə̲S-No-M|PəSXeN=||pə̆z-no-m (pə̆z-no-'n)||рана, порез|pəzxen-kaz|se vulnerare|poranić się|||||73|||144||||0|
