NUMBER|PROTO|PRNUM|RUSMEAN|MEANING|GRU|GRMEAN|EGRMEAN|MEG|MGMEAN|EMGMEAN|SVA|SVMEAN|ESVMEAN|LAZ|LZMEAN|ELZMEAN|NOTES
669|*mal-|1450|лиса|fox|mela-|||mela-|||māl-, ma(l)w-, mal-|||mel-|||ЭСКЯ 125-126, Климов 1994, 124-126 (с реконструкцией *mēl-). Сравнение с ПИЕ *mēlo- 'мелкое животное' (Климов ibid.) несколько сомнительно, поскольку в индоевропейских языках корень обозначает прежде всего домашнее животное (см. Walde 2, 296).
670|*mam-|0|отец, самец|father, male|mama-, mamal-|||muma-, mumul-|||mū-|||mumul-, mamul-|петух, самец|cock, male|ЭСКЯ 126, EWK 229. Универсальное "детское" слово.
671|*ma(n)čw-|0|барсук|badger|mačv-|||munčkv-|||minčkw- ( < Megr.)|||munčk(v)-, munčx-, munč̣q̇-|||ЭСКЯ 129-130, EWK 233. Скорее всего, заимствование из ВК источника, ср. ав.-анд. *mamač:V 'барсук', восходящее к ПВК *bHărVnć̲V id. (NCED 299).
672|*ma(n)g-|0|сильный, крепкий|strong, sturdy|mag-ar- (adv. mng-r-ad)|||mangar- ( < Georg.)|||||||||См. ОСНЯ 2, 42, где основа сопоставляется с ПИЕ *men(ə)gh- 'обильный, многочисленный', алт. *maŋka- 'большой, сильный' < ностр. *manga.
673|*maq̇w-|0|ежевика|blackberry|maq̇v-al-|||muʔ-|||muq̇w|||muq̇-|||ЭСКЯ 129, EWK 232. Ср. ПВК *niwG̲V 'земляника, ежевика' (с вторичным *m- ср. ав.-анд. *muq̇:V > ахв. muq̇:ali 'ежевика'), см. NCED 854.
674|*mar-|59|влага|moisture||||mere ( > West Georg. dial. mere 'ploughed lowland')|озеро|lake|mare, märe|облако|cloud||||См. ОСНЯ 2, 60, где основа сопоставляется с ПИЕ *mor- 'болото, море', драв. *mar..-ai 'дождь', алт. *miūri 'вода' < ностр. *mäŕä.
675|*marc̣q̇w-|614|земляника|wild strawberry|marc̣q̇v-|||murɣ- ( < *marʔ- < *marc̣q̇(w)-)|||basq̇-i, bäsq̇||||||ЭСКЯ 127, EWK 230. Иллич-Свитыч (ОСНЯ 2, 43-44) предлагает рассматривать основу   как преобразование сложения *mar-cinq̇wa- (см. *cinq̇wa-). Компонент *mar- он   возводит к ностр. *marja 'ягода' (ср. урал. *marja, ПИЕ *mor-, алт. *miarV).
676|*martw-|0|потомок, детеныш|offspring, youngling|martv-e|детеныш|youngling|mot-a|Enkel|grandson||||mot-a|Enkel|grandson|EWK 229-230. Ср. ПЛ *moto-l 'козленок'.
677|*mas-|1702|сеть|net|mas-e|||mos-a||||||mos-a|||ЭСКЯ 128, EWK 230.
678|*masx-|0|месх|meskh (?)|mesx-|||*mosx- ( = греч. Móskhoi)|||||||||EWK 230-231.
679|*maṭ-|956|быть достаточным|to be enough|maṭ-; meṭ-i 'more'||||||mṭ-|добавлять|to add||||EWK 231. Ср. алт. *miat`V 'самый, больше всего'.
680|*maṭq̇l-|0|шерсть (овцы), руно|skin (of sheep), fleece|maṭq̇l-|||monṭq̇or-|||mäṭq̇, maṭq̇|||monṭḳo(r)-|||ЭСКЯ 129, EWK 231-232. ?Ср. алт. *miate 'шкура с головы животных'.
681|*max- (~-q-)|0|вид пшеницы|a k. of wheat|maxa||||||(?) maxar|||moxa|||ЭСКЯ 130, EWK 233. Ср. ПВК *mūqV 'ячмень' (к вокализму ср. косв. формы типа ПН *māqi-, ПЛ *moꭓa-), см. NCED 835; см. Климов 1972, 355.
682|*mcir-|1245|маленький|small|mcir-, mcr-|||cir-a|девочка|girl|||||||EWK 249.
683|*mcxwed-|0|поздний|late|mcxved-|||cxad-|опаздывать|to be late|||||||EWK 249. ? Ср. алт. *ŋoč`V 'вечер, поздний'.
684|*mc̣iḳu-|0|пачкать, загрязнять|to dirty, befoul|mc̣iḳ-|||c̣iḳ(w)-|||||||||ЭСКЯ 142.
685|*mc̣q̇at-|0|кислый, соленый|sour, salty|na-mc̣q̇at-o|Lake zum Aufbewahren des Käses|Lake zum Aufbewahren des Käses|c̣q̇ət-ə|соленый|salty|||||||EWK 251. Ср. алт. *čiōta 'сладкий, вкус'; ПИЕ *swā̆d- 'сладкий'.
686|*mc̣q̇aw-|957|лавровишня|a k. of cherry tree|mc̣q̇av-|||c̣q̇ol-, c̣q̇e-, c̣q̇i-|||c̣q̇aw-, c̣q̇ew-|||mc̣ḳo(l)-, c̣u-|||ЭСКЯ 247 (*c̣q̇aw-), EWK 250-251 (*mc̣q̇aw-). Ср. алт. *mes(k)V 'дикая яблоня, виноград'. Ср. также *msxal-.
687|*mć̣er-|715|насекомое, муха|insect, fly|mc̣er-|насекомое|insect|(?) č̣anǯ-, č̣and-|муха|fly|mēr-|||mč̣aǯ-|||ЭСКЯ 141. Климов (ibid., а также 1969, 290) сравнивает с СК (ср. NCED 823-824: *miʒ̲Ă 'кусающее насекомое'); интересно  отметить, однако, также ПИЕ *mous- 'муха' (ср. также алт: др.-яп. musi 'насекомое, червь').
688|*mć̣q̇-|0|обучать, приучать|to teach, accustom|mc̣q̇-|||nč̣q̇-|||nč̣q̇- ( < Zan.?)|||mč̣ḳ-, č̣ḳ-|||EWK 252. Интересно отметить ПАК *c̣ʡa- 'знать, учить(ся) (ад., каб. ṣ́a-, шапс.  ṣq̇a-), восходящее к ПСК *=ămc̣Ĕ 'знать' (NCED 262) с каким-то поствелярным  суффиксом  (ср. также хурр. anzan-uɣ- 'объявлять, обещать').
689|*mć̣q̇eś- / mc̣q̇ś-|0|сторожить, пастух|to guard, herdsman|mc̣q̇es-, mc̣q̇s-, mc̣q̇ems-|||č̣q̇eš-, č̣q̇iš-||||||mč̣ḳeš-, č̣eš-|||ЭСКЯ 142, EWK 253.
690|*mć̣wiś-|0|поспевать, вырастать|to ripen, grow up|mc̣vis-|||č̣iš-|поспевать, достигать|to ripen, to reach||||č̣iš-|достигать|to reach|EWK 251-252.
691|*mč̣ad-|0|хлеб из проса|millet bread|(m)č̣ad-|||č̣ḳid-|||č̣ḳid-, č̣ḳəṭ- ( < Zan.)|||(m)č̣ḳud-, mč̣ḳid-|||ЭСКЯ 142-143, EWK 253-254. Ср. ПВК *č̲wăṭi 'хлеб' (NCED 349-350, с литературой).
692|*č̣max-|877|кислый|sour|mč̣ax-e|очень кислый|very sour|||||||mč̣ox-a|||EWK 254. Членение типа *m-č̣ax-e, видимо, вторично (по аналогии с mḳwaxe, mc̣are etc.); основа с m- весьма напоминает ПСК *ɦmVjć̣̲wĂ 'кислый' (NCED 521). Dolg. (ND 423) suggests *m-č̣ax- < *m-č̣max-, discovering the prefixless stem in Georg. č̣max- 'sour (wine)', 'become sour (of wine).
693|*me-|1436|я|I|me(n)|||ma|||mi|||ma(n)|||ЭСКЯ 132, EWK 233-234. Хорошо известная ностратическая основа (ностр. *mi > ПИЕ *me-, урал. *mi, алт. *bi, см. ОСНЯ 2, 63-66; Бомхард 1996, 199).
694|*meć-|958|старый, старший|old, elder|||||||meč-i|||u-mč-ane|старейшина|elder (n.)|EWK 237. ?Ср. алт. *masa 'больше, сильнее'.
695|*mec̣ḳad-|0|перстень, кольцо|ring||||marc̣ḳind-|||məsḳad-|||mac̣ḳind-|||EWK 237-238.
696|*men-|561|жилище|dwelling|men-a||||||||||||В ОСНЯ 2, 51 основа сравнивается с ПИЕ *men- 'оставаться на месте', драв. *man- id., ТМ *mēne- 'жить оседло' < ностр. *mAnV.
697|*me-(r)čed-|0|пеpстень|ring|||||||||||||Доп-я
698|*me-rčx-e|0|мелкий (о воде), pедкий|shallow (water), scarce|mečxer|pедкий|scarce|marčxa|мелкий (о воде)|shallow||||mančxa|желоб (pодника)|gutter (of stream)|Кл; EWK 441 (с реконструкцией *čxer-).
699|*meser-|0|частокол|palisade|meser-|||masar-|||meser-, masēr-|||masar-|||ЭСКЯ 133, EWK 237.
700|*mgel-|0|волк|wolf|(m)gel-|||ger-||||||mge(r)-, gwer-, mǯwer-|||ЭСКЯ 130. Ближайшая параллель налицо в арм. gayl 'волк' (если gayl все же < *wlkʷo-, то нужно думать  о старом арменизме в картв.). Альтернативное сближение с ПЗК *baga- 'лиса, шакал' (Климов 1969,  290) проблематично как фонетически, так и семантически.
701|*mɣ-|0|насекомое, личинка, моль, оса|insect, larva, flea, wasp|mɣil-|моль, личинка|moth, larva||||muɣul|насекомое, жук, оса|insect, beetle, wasp||||EWK 246-247.
702|*mḳerd-|526|грудь|breast|mḳerd-|||ḳədər-, ḳidir-|||məč̣wed-, muč̣od-||||||ЭСКЯ 135-136, EWK 241. В ОСНЯ 1, 324-325 сопоставляется с ПИЕ *ḱerd- 'сердце' < ностр. *ḳErdV.  Предположение о заимствовании картв. < ПИЕ (Климов 1994, 57-59) ни на чем не основано;  картвельская и индоевропейская праформы прекрасно соответствуют друг другу (см. Иллич-Свитыч...),  вопреки утверждению Климова.
703|*morgw-|638|клубок, моток|roll, coil (n.)|morgv-|||murgr-||||||murg-|клубок, ком|coil, clod|Кл. Сложный случай. Возможны три этимологические трактовки: a) < ностр. *muri   'скручивать' (ОСНЯ 2, 74-75, в качестве картв. рефлекса приводится груз. mor- "за "закруглять (дерево при обработке)"; ср. особенно формы с велярными   суффиксами типа ПИЕ *merəgh-); b) ВК происхождение - ср. формы типа авар.   mergó, ботл. murgʷa 'веретено', восходящие к *mingʷa < ПВК *ʔwōngū, см. NCED   234; c) внутрикартвельская деривация *morgw- < *mo-grgw- (или *m-gorgw-), см.   *grgw-. Не исключена контаминация различных по происхождению основ.
704|*mos-|959|покрыть, одеть|to cover, to dress|mos-||||||msw-||||||EWK 244. Ср. драв. *muj-S- 'to cover'.
705|*mqar-|1031|плечо|shoulder|mxar- (Old Georg. mqar-)|||xuǯ-|||məqär, meqar, meqär|рука (до локтя)|lower part of arm|(m)xuǯ-, pxuǯ-|||ЭСКЯ 144, EWK 256. Ср. алт. *miūre 'плечо' (и ПИЕ *ma-r- / *ma-n- 'рука'?).
706|*mqw- (*nqw-)|118|валить(ся), опрокидывать(ся)|to fall, fall over|mx- (Old Georg. mqw-)|||xu-, xv-|||nqw-|||xu-|кидать, выливать|to throw, pour out|ЭСКЯ 149 (*nqw-), EWK 256-257.
707|*mq̇an- / mq̇n-|197|прививать (что-либо на чем-либо)|to graft|mq̇en-, mq̇n-|||ʔon- 'to graft'; ṗon- 'to attach, put against'|||mq̇in-, lq̇in- ( < Georg.?)|||mṗon-|||ЭСКЯ 139, EWK 247. Мегр. ṗon- Иллич-Свитыч (МССHЯ 344) сравнивает с урал. *pane- 'класть'.
708|*msxal-|0|груша|pear|(m)sxal-|||sxul-|||icx, wicx, ucx|||mcxul-|||ЭСКЯ 137, EWK 244-245. Форма чрезвычайно напоминает ПИЕ *(a)masl- 'яблоко',   восстанавливаемое в Старостин 1988, 126 - где, однако, предполагается СК   происхождение ИЕ формы (см. под *wašl-). Нельзя, однако, исключить и   ностратического происхождения: в этом случае картв. *msxal- = ПИЕ *(a)masl- =   алт. *mes(k)V; возможно, тот же корень содержится и в *mc̣q̇aw- ( < *ms-q̇aw-?)   'лавровишня' q. v. ПСК *qHǖrV 'груша' (NCED 893-894) вряд ли имеет сюда  какое-либо отношение (а вот вопрос о связи с ПСК *ʕämćō 'яблоко' заслуживает  специального рассмотрения).
709|*mš-|0|быть голодным|to be hungry|ši-, Old Georg. mš-|||škir-, škər-||||||(m)šk-, (m)šḳ-|||ЭСКЯ 139, EWK 247-248. Ср. ПВК *mV̆[c]V 'голод' (с не вполне ясной реконструкцией, см. NCED 837).
710|*mšwil-|0|лук (оружие)|bow|mšvil-d- (Old Georg. mšwil- 'to throw, shoot')|||škvil-, škvin-|||||||||ЭСКЯ 140, EWK 248-249.
711|*mt-|1455|зима|winter|za-mt-ar-|зима|winter|tonǯ-|зима|winter|li-ntw, lu-nt|зима|winter||||ЭСКЯ 134, EWK 239. ?Ср. алт. *motV 'сезон' (омонимично с "коленце бамбука").
712|*mtil-|0|суффикс терминов родства (равен англ.-in-law)|in-law|-mtil-|||-ntil-, -ntir-||||||mtir-|||ЭСКЯ 134, EWK 239-240.
713|*mtxw-|0|ударить|to hit|mtxv-|ударить; встретить|to hit; to meet|ntx-|упасть (на)|to fall (on)||||ntx-|ударить; упасть|to hit; to fall|EWK 240.
714|*mṭil-|0|зелень, овощи|green, vegetables|mṭil-|огород|vegetable garden|o-rṭwin-, o-rṭil-|огород|vegetable garden|(l)arṭam, lerṭäm|||o-nṭul-e-|огород|vegetable garden|ЭСКЯ 138.
715|*mṭḳaw-|960|пядь|five fingers|mṭḳav-el-|||ṭḳo-u, ṭḳu|||ḳaməl, ḳamin ( < Georg.)|||mṭḳo|||ЭСКЯ 138, EWK 246. Ср. алт. *t`ogi 'пядь'.
716|*mṭwe[r]-|222|пыль, пылинка|dust, speckle of dust|mṭwer-|||ṭwer-|||ṭwi|земля|soil|mṭwer-|пыль, зола|dust, ashes|ЭСКЯ 138, EWK 245-246. Ср. алт. *t`owuŕV 'земля, пыль'. Предположение Климова (1994, 125-127) о  заимствовании основы из ПИЕ *twer- 'крутиться, завихряться' крайне сомнительно.
717|*muql-|0|колено, угол|knee; angle|muxl- (Old Georg. muql-)|колено|knee|muxur-|угол|angle|||||||ЭСКЯ 138-139, EWK 246. Интересно сходство с абх. *-məqA ' в *š́a-məqA 'колено' (š́a 'нога'),  отмечаемое Климовым (1969, 289). Речь, однако, может идти только о старом заимствовании из  протоабхазского - поскольку абх. *-məqa надежно сближается с уб. -māša в λa-māša 'колено' (λa  'нога') и позволяет выделить корни *mV 'рука, конечность' + *Sq́Ia 'голова' (абх. -qa / -qə, уб. ša), см. NCED 802.
718|*mor-|492|ломать|to break|mor- 'to trim (fallen trees)'||||||mur-in-||||||В ОСНЯ 1, 75-76 основа сравнивается с ПИЕ *mer- 'дробить, крошить', урал. *mura 'хрупкий, ломкий', драв. *murV / *muṟV 'ломать, разбивать', алт. *miuŕu 'повреждать' < ностр. *murV.
719|*mxal-|1461|овощи|vegetables|mxal-|||xul-|кормовая репа|turnip|||||||EWK 254.
720|*mxar-|0|утро|morning|sa-mxar-|вечеря (*'завтрак')|supper (*'breakfast')||||məxär|завтра|tomorrow|(?) mxor-|есть|to eat|ЭСКЯ 143 (*'есть'), EWK 255.
721|*mxul-|1449|ящерица|lizard|xvl-iḳ- (Old Georg. mxwliv-)|||xvil-ar-, xvel-ar-, xol-ar-, xvi-ar-||||||(m)xol-ur-, pxor-ul-|||ЭСКЯ 144, EWK 255-256. Ср., может быть, ПСК *mHilaGwV (/*GHwimalV) 'червь' (NCED 817-818).
722|*mźe-|280|солнце|sun|mze 'sun'; mzv-ar-e 'sunny place'|||mža, bža|||miž, məž|||mža, bža; mžo-ra, mžu-ra, mžu-a, mǯo-ra, bžo-ra|||ЭСКЯ 133-134, EWK 238, 151-152. В рамках ностр. интересно отметить сходство с  ПИЕ *mē̆n(ə)s- 'луна'; ср. также ПСК *wə̆mc̣̲ŏ 'луна'. Отметим, что  непосредственное сближение картв. *mźe- и ПЗК *maza 'луна' вряд ли возможно,  вопреки [Климов 1969, 288].
723|*mźɣw-|0|растоптать, обвалиться|to trample; to collapse|mzɣv-||||||mžɣ-||||||EWK 238.
724|*mʒaɣ-|0|пpогоpклый|rank (of nuts, etc.)|mʒaɣ-e|пpогоpклый (оpех и т.п.)|rank (of nuts, etc.)|ʒuɣe|||məʒiɣ||||||Кл, EWK 473 (*ʒaɣ-)
725|*mʒ́ewal-|0|заложник|hostage|mʒewal-|заложник; высиживаемое яйцо|hostage; hatched egg|ǯal-|яйцо, оставленное в гнезде|egg left in nest|||||||EWK 250.
726|*(m)žɣR-|0|вянуть, блекнуть|to wither, fade|mžɣr-|блекнуть (цветам)|to fade (of flowers)|(b)žɣər-, (b)žɣir-|вянуть|to wither||||ǯɣir-|гнить|to rot|ЭСКЯ 137. СК параллель: *čVꭓV / *ǯVʁV 'вянуть' (NCED 349; не исключено *-r, ср. ПЛ *čoꭓar / *č:oʁar-).
727|*mǯiɣ-|1441|кулак, горсть|fist, fistful|mǯiɣ- (Old Georg. mǯiɣ-, Middle Georg. mǯiɣ-, mʒiɣ-)|||ǯix-||||||mǯix-, nǯix-|||EWK 257, ЭСКЯ 142 (*mʒ́iɣ-).
728|*n-|961|хотеть, желать|to wish|n-||||||n-|||n-|||ЭСКЯ 145, EWK 257-258. См. Долгопольский 1971, 237 (сближение с ПИЕ *nē- 'помогать', монг. *nai- 'надеяться, желать').
729|*naj|1462|мы|we|||||||näj||||||В ОСНЯ 1, 7 основа сопоставляется с ПИЕ *ne- / *nō- 'мы', драв. *nām 'мы'; ср. аналогично Бомхард 1996, 201.
730|*nad-|1463|помощь миром (в сельском хоз-ве)|common aid (in agriculture)|nad-|||nod-|||nad, ned|||nod-er-|||ЭСКЯ 145, EWK 260. Повидимому < сем. (ср. араб. nād 'объединение, собрание').
731|*na-qšir|0|уголь|coal|naxšir-, našxir-; Old Georg. naqšir-|||nošker-, noškver-|||(?) šix|||noške(r)-|||EWK 261-262, Кл (AG); от šwer/šwr `сохнуть' (?)
732|*naṭ-|124|желать|to wish|naṭ-, neṭ-|||noṭe, niṭe|если бы|if only|naṭ-iel-u|если бы, даже если|if only, even if||||EWK 261.
733|*naʒw-|0|сосна, ель|pine-tree, fir-tree|naʒv-|||nuʒu, nuzu|||nezw||||||EWK 261. Повидимому, иранизм (ср. перс. nōǯ, осет. naz(u), näzə < иран. *nauča-).
734|*neb-|962|ладонь|palm of hand|neb-||||||neb-är|пеpчатки|gloves||||Кл. Ср. алт. *niap`e 'расстилать'.
735|*neḳerčxa-|1118|клен|maple|neḳerčxal-|||laḳinčxa-|||||||||Кл, EWK 263.
736|*neḳw-|1477|сгибать|to bend|||||||neḳw-, nḳw-||||||В МССHЯ 355 сравнивается с ПИЕ *knek- 'шея', алт. *nikV 'шея, шейный позвонок', урал. *ńɨk(k)V 'позвонок, затылок'.
737|*neḳ(w)-|0|мизинец|little finger|neḳ-|||naḳ-u|||||||||EWK 262-263. Ср. ПА *ʔi-miḳV 'мизинец' ( < ПВК *miḳwV 'маленький', см. NCED 821-822).
738|*nen-|862|язык|tongue|ena-|||nina-|||nin, nən|||nena-|||ЭСКЯ 147, EWK 264. В МССНЯ 373 сравнивается с урал. *ńaŋkćem, ПИЕ *-nǵhu- < ностр. *ńan[g]V (?).
739|*nena-|0|мама|mother|nena (dial.)|||nana||||||nana|||ЭСКЯ 146, EWK 264. "Детское" слово, ср. ПСК *nǟnV 'мать; женская грудь' (NCED 845).
740|*nepxw-|0|мороз, холод, ключевая вода|frost, cold, spring water|Old Georg. nepxw-|замерзать|to freeze|||||||c̣a-mapx-a|источник (*'холодная вода')|spring (*'cold water')|EWK 265.
741|*ničw-|615|морда, губа|mug, lip|ničv-|морда, губа|mug, lip|ničkv-|морда; (?) ni(n)ʒgw- 'клюв'|mug; (?) ni(n)ʒgw- 'beak'|Lent. ničw-|лицо ( < груз.?)|face (< Georg.?)||||ЭСКЯ 148 (*niǯw-); EWK 266. Ср. ПИЕ *nas- 'нос', алт. *ŋiakča 'нос, часть носа'.
742|*niḳ-|0|выступ на лице|facial protrusion|niḳ-el-|нос, рыло|nose, snout|niḳ-u|подбородок|chin||||nu(n)ḳ-u|подбородок|chin|EWK 265-266.
743|*ninw-el-|0|отpок|adolescent|ninvel-|||ninnua|||||||||Кл
744|*nisl-|53|туман|mist|nisl-|||nirs-, nərs-|||||||||EWK 266.
745|*noɣ- (?*noq̇-)|1473|низменное место|lowland|noɣa|||noɣ-a, noɣ-o||||||noɣ-a|||EWK 266-267. Климов (ЭСКЯ 148) сравнивает занскую основу с груз. noq̇a-, noq̇o-  'топкое место, болото'; Сарджвеладзе и Фенрих (ibid.) приводят груз. noɣa.  Основа имеет интересные соответствия как в ностратических (алт. *nek`u  'низина'), так и в СК языках (ПВК *nĕq̇wɨ 'земля, грязь', см. NCED 848).
746|*noɣr-|387|||Gur. noɣr-|молодая трава|young grass||||||||||В МССHЯ 349 возводится к ностр. *ń[o]ɣrV (ПИЕ *iēr- 'молодое животное, весна', алт. *ńēŕa  'молодой, молодое животное', урал. *ńōre 'молодой', драв. *ńāṟ- 'молодое растение, прорастать').
747|*nu-|1197|не (запретительное)|not (prohibitive)|nu|||nu; numu, nəmə|||no-, nu-; nōma, nōm||||||ЭСКЯ 148-149, EWK 267. См. ОСНЯ 1, 17 (: урал. *ne, ПИЕ *ne; добавим также алт. *ana).
748|*obol-|0|сирота|orphan|obol-|||ombol-|||||||||ЭСКЯ 149-150. Корень несомненно связан с ПСК *HubV̆ 'сирота; пасынок /  падчерица / отчим / мачеха' (NCED 609-610), см. ЭСКЯ ibid. Сравнение с ПИЕ  *orbho- 'сирота' более проблематично (из-за неясности срединного -r-).
749|*oc-|0|удивляться|to be surprised|oc-|||oc-, orc-|||||||||EWK 270-271.
750|*oć-|0|двадцать|twenty|oc-|||eč-||||||eč-|||ЭСКЯ 151, EWK 271.
751|*od-|864|лишь, пока|only, yet|ode-n|||od-o|||wod-e||||||ЭСКЯ 150, EWK 268-269. Долгопольский (1969, 300-301) сближает с фин.-уг. *ükte 'один', драв. *ut- 'тот, кто составляет пару к этому' и и.-е. (слав.) *edh- 'некоторый, один' < ностр. *ʔVXdV.
752|*om-|0|воевать|to make war|om- (Old Georg. hom-)|война|war|li-m-|воевать|to make war|||||||Кл
753|*opl-|0|пот|sweat|opl-|||upu, up-|||wop, wep|||up-|||ЭСКЯ 151, EWK 270.
754|*opop-|0|удод|hoopoe|opopa-, opop-|||opop-||||||opampe-|||Экспрессивная основа, несомненно, связанная с соответствующим ПИЕ *opop- / *epop- 'удод' (см. Климов 1994, 129-130).
755|*o(ś)tx(w)-|0|четыре|four|otx-, dial. otxo|||otx-|||woštx(w)|||o(n)txo-|||ЭСКЯ 150, EWK 269 (*otxo-). Основа считается заимствованной из ПИЕ *oḱtōu- 'восемь' (см. Климов 1994, 59-63).
756|*pRć-wn-|0|очищать от шелухи, лущить|to husk, to scale|prckwn- (with a secondary -k-?)|очищать от шелухи|to husk|purčon-; (also. purckon- < Georg.?)|||||||||Кл, EWK 360 (*prckwen-).
757|*pac-|963|суетиться|to fuss|pac-ur-, pac-a-puc-|||poc-, puc-|||||||||ЭСКЯ 188, EWK 352. Ср. алт. *p`ečV 'уставать' (? или *baša ~ pača 'бежать'?)
758|*pać-|0|тереть рукой|to rub with the hand|pac-un-|||puč-on-|||||||||EWK 352.
759|*pačw-|477|волосы на теле|body hair|pačv-||||||||||||В МССHЯ 358 сравнивается с ПИЕ *pous- 'пух, волосы на теле', урал. *puča 'пух, перья'.
760|*pakl-|1484|парша, чесотка|scab, scabies|pakl-|Krätze, Räude, Grind|Krätze, Räude, Grind|||||||pukur-, pukir-, purk-, purḳ-|Blattern, Pocken|Blattern, Pocken|EWK 351-352.
761|*pal- / pl-|741|прятать|to hide|pal-, pl-|||pul-||||||(m)pul-|||ЭСКЯ 187, EWK 347-348. Бомхард (1996, 148-149) сближает с ПИЕ *pel- 'кожа, шкура' (Walde 2, 58-59), что довольно сомнительно.
762|*papar-|0|грива|mane|papar-|||popor-|||papal-||||||ЭСКЯ 187-188, EWK 349. Возможно, СК происхождения: ср. ПСК *pabE 'мягкий; мягкие волосы, грива, борода' (NCED 865).
763|*par- / *ṗar-|350|летать|to fly|pr-in-; pr-te 'wing' (also ṗar- 'to escape')|||pur-in-|||ṗer-|||pur-t-in-|||ЭСКЯ 152, 190, EWK 348-349. В МССНЯ 346 сравнивается с ПИЕ *(s)per-, драв. *parV- / *paṟV- и др. < ностр. *ṗarV; аналогичная этимология в Бомхард 1996, 147); ср. также ПСК *pɨrV 'летать'.
764|*par-|238|покрывать|to cover|par-|||por-|||par-, pr-||||||ЭСКЯ 187, EWK 348. Ср. алт. *p`iōŕV 'верх' (или *buri 'покрывать').
765|*parcx-|0|боpона|harrow|parcx-|боpона; pocx- 'грабли, сгребать граблями' < мегр.?|harrow; pocx- 'rake, to rake' < Megr.?|bucx-|боpона, гpабли; сгребать граблями|harrow, rake, to rake|pacx-, pcx-|сгpебать гpаблями|to rake|bucx-|||ЭСКЯ 189, 190. Основа, возможно, связана с *prcx- 'ноготь, коготь, чесать'. Ср.  также СК формы: ав. puruc:, карат. peric: 'соха', абх. a-pəza 'лемех' etc.;  в NCED 877 они возводятся к ПСК *pVrVc̲Ĕ 'соха', но возможно, что в данном  случае речь идет о картвельском заимствовании в СК.
766|*parpaṭ-|0|медленно махать крыльями|to flap the wings slowly|parpaṭ-|||porpoṭ-|||||||||EWK 350.
767|*partx-/prtx-|0|трепетать|to quiver|partx-, prtx-|||(p)ntx-, tx-|||pə(r)tx-ən-|||putx-|лететь, взлетать|to fly, soar up|ЭСКЯ 190, EWK 349-350, 359 (ср. *par-).
768|*parx-|378|хвалиться|to boast|parx-un-|||purx-on-|||||||||EWK 350. ?Ср. алт. *p`iro 'молиться, благословлять' etc.
769|*pasw-|643|корень|root|pesv-|корень; фалда|root; flapper|pos(v)-||||||pos-o|||ЭСКЯ 187, EWK 350. Ср. алт....
770|*paṭ- / *puṭ-|0|дупло; полый; дырявить|hollow in tree; hollow (adj.); to hollow|paṭ-ar- 'hollow in tree', piṭ- 'to hollow', puṭ- 'rotten tree, trough of tree bark', puṭuro 'rotten'|||puṭ-ur-el-|пустой, полый; puṭ- 'трухлявая, червивая часть дерева, растения'; puṭur-ua 'гнить'|empty, hollow; puṭ- 'rotten, worm-eaten part of tree or plant'; puṭur-ua 'to rot'|peṭ-|дырявить, piṭ 'дыра' (тж. puṭu)|to hollow; piṭ 'hole' (also puṭu)|puṭ|тpухлявое деpево (мандаpина); punṭura 'гнилой, пустой' (об орехе)|rotten tree (tamarind); punṭura 'rotten, hollow (of nut)'|Кл, EWK 351. Ср. МССНЯ 340 (ностр. *ṗu[ṭ]V 'дыра' > урал. *putV 'rectum', алт. *p`[u]t`e 'дыра'). Изолированное сопоставление Климовым (1994, 145-146) картв. *puṭur- с лат.-кельт. *pu-tro- 'гнилой' вряд ли оправдано.
771|*peć-|428|раскрывать|to uncover||||pač-|||||||||В МССHЯ 360 сравнивается с урал. *päče 'раздвигаться, расширяться'.
772|*peć̣w-|0|волосок|hair (one)|bec̣v-|||pač̣v-, pič̣u; do-pač̣v- 'mit den Wimpern zucken'|||||||||EWK 357.
773|*pek- / pk-|744|молоть|to grind|pk(v)-; pkv-il- 'flour'|||k(v)-; k(v)-ir- 'flour'|||pek|мука|flour|mk(v)-; mk-ir-, mkv-er-, pkv-er- 'flour'|||ЭСКЯ 193-194, EWK 355-356. ?Ср. алт. *p`iāk`V 'тереть, пилить, полировать'.
774|*pen- / pin-|0|стлать|to lay down|pen-, pin-|||pin-|||pīn-|||(m)pin-|||ЭСКЯ 189, EWK 353-354.
775|*per-|225|серый|grey|per-o|||pär-w|||||||||EWK 354. ? Ср. ностр. *boŕa 'серый, бурый' (ПИЕ *bher, алт. *boŕa, см. ОСНЯ 1, 183-184); или ПВК *būrV id. (NCED 313-314).
776|*pertx-|965|трясти|to shake|pertx-|||partx-|||ptx-, pətx-|||patx-|||ЭСКЯ 188, EWK 354-355. Ср. алт. *p`[ia]ru 'трясти(сь)', драв. *piṟ- 'дрожать'.  Картв. и драв. формы сопоставлены в Бомхард 1996, 149 (автор привлекает также  ПИЕ *perk- ~ *perg- 'бояться', что весьма сомнительно). Неясна суффиксация в  картвельском.
