"NUMBER","PROTO","PRNUM","MEANING","LAK","COMMENT"
473,"ꭓ:ulū",1337,"hay","ꭓ:ulū","    Gen. \Iꭓ:ala-l.\i"
474,"sūra",1327,"mint","sūra","    Old Lak. (\I*subra\i or \I*surba\i) > Arch. \Isarba\i 'mint'."
475,"lač:i",1328,"garlic","lač:i","    Lak. > Arch. \Ilač:i\i id."
476,"-x:-",2233,"suffix of the series Ad (""close to"")","-x:-","    Used in cases like \Ič̣ira-x\i 'at the wall, close to the wall', \Ič̣ira-x:-un\i 'towards the wall' etc. Possibly the same morpheme can be found in Lak. \Ix:i-č̣,\i Khosr. \Ix:ʷi-č̣\i 'front, in front'."
477,"jawš",1329,"caraway","jawš","    Gen. \Ijawš:-ul.\i Cf. also Khosr. \Ijašʷ\i id."
478,"q̇aIža",1330,"goose-foot","q̇aIža",
479,"muč:uč",1333,"a k. of field grass (бодяк полевой)","muč:uč","    Old Lak. > Arch. \Imeč:uč\i id. The Lak. form is partially reduplicated (which is common for plant names)."
480,"č̣aħa",1339,"reed, cane","č̣aħa","    Cf. Khosr. \Ič̣aIha\i id. The same root (in a contracted shape \Ič̣a-\i) is present in the compound \Ič̣a-ṭaraḳ\i 'arrow'. [The component \I-ṭaraḳ\i is probably assimilated from \I-t:arak:\i and may be borrowed from Darg.: cf. forms like Kait. \Iderek:a\i 'bow', for which the genuine Lak. parallel is \Ik:urt:a\i 'arc, bow' q.v.].     It is probable that the Lak. word was borrowed into Darg. dialects: cf. Chir. \Ič̣aIħa,\i Tsud., Kub. \Ič̣iħaI,\i Ak., Ur. \Ič̣iʕaI\i 'reed, cane'."
481,"q̇aja",1341,"horse radish","q̇aja",
482,"šaIra",1342,"street","šaIra","    Cf. also \IšaIra-walu,\i Khosr. \IšʷaIra-balu\i 'village'."
483,"maš:i",1345,"farmstead","maš:i","    Cf. Khosr. \Imaš:i\i id."
484,"lamu",1349,"bridge","lamu",
485,"maʁi",897,"roof, ceiling","maʁi","    Cf. Khosr. \Imaʁu\i id."
486,"q̇aj",1355,"thing(s), ware(s)","q̇aj","    Cf. Khosr. \Iq̇ʷaj\i 'thing'."
487,"q̇aq̇a",1351,"crevice; ravine","q̇aq̇a","    Cf. Khosr. \Iq̇aq̇a\i 'pit'."
488,"q:at:a",1356,"house, room","q:at:a","    Cf. Khosr. \Iq:at:a\i id. The Lak. derivate \Iq:at:alalu\i 'verandah' > Darg. \Iq:adaula.\i"
489,"č̣ʷa",1357,"hut, shanty","č̣ʷa","    Gen. \Ič̣ʷat:i-ral.\i Cf. Khosr. \Ič̣ʷa,\i \Ič̣ʷat:i-ral\i id. Cf. also (with another variant of meaning) \Ič̣ʷa dan\i 'to scatter about, throw about'."
490,"c̣ĳa-lu",1358,"earthen roof","c̣ĳa-lu","    The root \Ic̣i(j)-\i is also present in \Ic̣i-w\i 'onto the roof', \Ic̣ĳa-tu\i 'from the roof'. Cf. also Khosr. \Ic̣ĳalu\i 'earthen roof'."
491,"uInq̇u",293,"fumes, stink","uInq̇u",
492,"ꭓ:anu",1362,"perch","ꭓ:anu",
493,"č̣ira",1367,"wall","č̣ira","    Cf. Khosr. \Ič̣ira\i id."
494,"c̣un",1370,"spout (of a vessel)","c̣un",
495,"murc̣u",695,"corner, angle","murc̣u","    Khosr. \Imurc̣u\i id."
496,"wilaꭓ",1373,"hearth, fireplace","wilaꭓ",
497,"murč̣i-",300,"blind","murč̣i-s:a",
498,"nuz",1379,"door (one-folded)","nuz",
499,"q̇unq̇ula",783,"lock","q̇unq̇ula","    Cf. Khosr. \Iq̇unq̇ula\i id."
500,"q:iča",1382,"bolt, door-bolt","q:iča","    Cf. Khosr. \Iq:iča\i id."
501,"ḳula",1385,"key","ḳula","    Cf. Khosr. \Iḳula\i id."
502,"kuInṭa",1387,"small pit","kuInṭa","    Cf. Khosr. \IkuInṭa\i 'stone trough; a hollow in stone'. Lak. \Ikurṭ-\i 'deep' probably belongs here, too ( < \I*ku(n)ṭV-rV-\i)."
503,"hanu",1393,"foundation","hanu","    Cf. Khosr. \Ihanu\i id."
504,"š:aI",1394,"down, below","š:aI",
505,"raṭ",1396,"ravine, river-bed","raṭ","    Cf. also Khosr. \Iraṭ\i 'brook, stream'."
506,"č̣an",1397,"bottom; sole; horseshoe","č̣an",
507,"maI",1399,"hook, bolt","maI",
508,"uIrči-lu",1400,"rolling-pin; corn-cob","uIrči-lu",
509,"t:arc̣",460,"post, pole","t:arc̣","    Cf. also Khosr. \It:arc̣\i id. Lak. \It:arc̣\i > Arch. \Idarc̣\i id."
510,"č̣ula",1402,"beam, girder, log","č̣ula","    Cf. also Khosr. \Ič̣ula\i 'stone girder'."
511,"ula",1410,"board; shelf","ula",
512,"marq",1254,"poles for planking the ceiling","marq","    Cf. also Khosr. \Imarqʷ\i id."
513,"zunḳlu",1416,"a stone plate for fastening roof edges","zunḳlu","    Cf. Khosr. \Izunḳlu\i id."
514,"ʁuni",1417,"(stone) plate","ʁuni","    Cf. Khosr. \Iʁun-č̣i\i id. (a suffixed form)."
515,"ha=a-",1420,"to grind","ha=a-n","    G. pr. \Iha=(u)nu.\i Cf. Khosr. \Iha-ja-\i (aor. \Iha-jun-di\i) id. The root is also preserved without vowel reduction in Anlaut: \IuI-ꭓ:a-\i 'to eat with appetite' (*'to grind). These two verbal stems reflect the usual Lak. variation ꭓ: / h (having probably a dialectal origin) and the old verbal Ablaut (in this case \I*Hĕmꭓ̲wV-\i > \IuIꭓ:a-,\i \I*Hĭmꭓ̲wV-\i > \I*ꭓ̲ʷV-\i > \Iha-\i).    Lak. also reflects old nominal derivates: \Ihara-qalu\i (Khosr. \Iharaqalu\i) 'mill', \Inih\i (Khosr. \Inih\i) 'mill-stone, wheel'."
516,"ḳič̣u",1423,"slop-basin, basin","ḳič̣u","    Cf. also \Iḳič̣ala\i 'scoop'."
517,"ḳʷara",1425,"big vessel for flour, bread; bread oven","ḳara","    Cf. also Bartkh. (Хайдаков 1966) \Iḳʷara\i 'big vessel for flour', Khosr. \Iḳʷara\i 'bread oven'."
518,"ṭunu",1427,"feeding-trough, manger","ṭunu",
519,"nuꭓ",1428,"cave, cavern","nuꭓ","    Gen. \Inuꭓ:u-l.\i Cf. also Khosr. \Inuꭓ,\i Gen. pl. \Inuꭓ:a-rdil\i id. Lak. > Darg. Chir. \Inuꭓ,\i Arch. \Inoꭓ\i 'cavern'."
520,"su",1554,"granary","su",
521,"xulu",545,"gate, entry","xulu","    Cf. Khosr. \Ixulu\i id."
522,"naq̇",1438,"soup, broth","naq̇","    Cf. Khosr. \Inaq̇\i id."
523,"xama",1439,"foam","xama","    Cf. Khosr. \Ix:amā\i (a misspelling instead \I*xamā?\i)."
524,"nac̣u-",1440,"sweet","nac̣u-s:a","    Cf. Khosr. \Inac̣u-s:a\i id. The old derivate \I*hwmĭʒ̲ū\i 'honey' is reflected in Lak. as \Inic̣\i (Khosr. \Inic̣\i)."
525,"ha",510,"fat (n.)","ha",
526,"naḳ",1449,"milk","naḳ","    Cf. Khosr. \Inaḳ\i id."
527,"lic̣i-",1451,"to settle (of liquid)","lic̣i-n","    G. pr. \Ili=c̣unu.\i"
528,"muha-li",1452,"stream, rapid brook","muhali",
529,"š:aj",1453,"whey","š:aj-ini","    The root is attested only in the compound \Iš:aj-ini\i ""oat flour in whey"" (\Iini\i 'oat flour'."
530,"tanta",365,"body dirt","tanta",
531,"ta=ta-",1458,"to curdle, coagulate","ta=ta-n","    G. pr. \Ita=tun.\i Cf. Khosr. \Itata-n\i id. A derivate is Lak. \Itartala\i 'sour (clotted) milk'. The non-reduplicated root is reflected in an old derivate: \Iwit\i (gen. \Iwitu-l\i) 'milk whey'."
532,"bart",1459,"top; cream, sour cream","bart","    Gen. pl. \Ibart-urdil;\i cf. Khosr. \Ibart\i id."
533,"-arḳ",370,"men, people","čiw-arḳ","    The root is present only in a compound with \Ičiw-\i 'man, male' q.v."
534,"nis",1460,"cheese","nis","    Gen. \Inisi-ral;\i cf. Khosr. \Inis,\i \Inisira-l\i id."
535,"k:ur",379,"to roll","k:ur učin","    A compound verb. With the same root cf. also \Ik:uru -an\i 'to roll down', \Ik:ur-an\i 'circle', (with reduplication) \Ik:urk:ur ṭun\i 'to roll'.         An immediate derivate from the same verb is Lak. \Ik:uručaj\i (Khosr. \Ik:urunčaj\i) 'round stone, roof roller'. Since PEC *ḳ in tense words > Lak. k:, it is possible, however, that this Lak. word is a result of contamination of PEC \I*gwērV\i 'round' and \I*mVḳ̲ɨ̆rV\i 'roller' q.v.          Lak. \Ik:uručaj\i > Arch. \Igoroꭓči\i 'rolling stone'. Arch. \Igoro-ꭓ:ʷas\i 'to roll (intr.)', \IgoIroI atis\i id. (trans.), \IgoIroI\i 'ball-shaped substance' are also most probably borrowed from Lak. (sometimes with expressive pharyngealization)."
536,"ḳut",1462,"malt","ḳut","    Gen. \Iḳut:a-l;\i cf. Khosr. \Iḳut,\i \Iḳut:a-l\i id."
537,"-ḳma",375,"flour","ini-ḳma","    A compound word; the first part is \Iini\i 'oat flour'. The second part, \I-ḳma\i (cf. also Khosr. \Iiniḳma\i) is not analyzable within Lak., but probably (with a metathesis) goes back to \I*mVḳa\i < PEC \I*wɨ̄nƛ̣̲V.\i"
538,"č:aṭ",1466,"bread","č:aṭ","    Cf. Khosr. \Ič:aṭ\i id."
539,"burki",1469,"cake","burki","    Cf. Khosr. \Iburki\i id."
540,"šʷa",428,"mown crops","šʷa",
541,"sun",1472,"straw","sun","    Gen. \Isuma-l.\i Cf. Khosr. \Isun\i id."
542,"hawk:u-ri",391,"dumplings","hawk:u-ri","    Cf. also Khosr. \Ihawk:uri\i id. The Proto-Lak. form must have been \I*hIamk:uri,\i as seen from the Arch. loanword \IhaInk:ur(i\i) id."
543,"ati-l-",390,"wet","atil-s:a","    With reduplication (and expressive pharyngealization) cf. also \ItaItu\i 'pool'."
544,"maId",392,"sperm","maId (Bartkh.)","    Cited from Хайдаков 1966."
545,"ħan",1475,"alcoholic drink (vodka, wine, bouza)","ħan","    Cf. Khosr. \IhaIn\i id."
546,"k:urt:u",400,"quilted jacket, caftan","k:urt:u",
547,"huqa",1477,"shirt","huqa","    Cf. Khosr. \Ihuqa\i id."
548,"=u=ꭓ:a-",401,"to enter","=u=ꭓ:a-n","    G. pr. \I=u=ꭓ:u-n.\i Cf. Khosr. \I=u=ꭓ:a-n\i id. In the imperative mood (\I=uꭓ:u\i) the root is also used with the meaning 'to come'."
549,"harč:ala",429,"cuff; trouser's leg","harč:ala",
550,"qa",1478,"carpet, rug","qa",
551,"=u=ta-",404,"to throw, to pound, to chop","=u=ta-n","    G. pr. \I=u=tu-n.\i Cf. Khosr. \I=u=ta-n\i id., and also the durative \Ita-la-n\i 'to fight'."
552,"muħlu",1485,"belt","muħlu","    Cf. Khosr. \ImuIhlu\i id."
553,"ḳič̣",1489,"button","ḳič̣","    Cf. Khosr. \Iḳič̣\i id."
554,"ħaṭ",1494,"knot, loop","ħaṭ","    Cf. Khosr. \IhaIṭ\i id. Cf. also Lak. \Iħaṭ-int\i 'leathern fetters for tamed birds of prey'."
555,"q̇Iarži",997,"top (of boot)","q̇Iarži","    Cf. also Khosr. \Iq̇Iʷarži\i id.; Bartkh. (Хайдаков 1966) \IaIrži\i 'leg below knee'."
556,"ḳi=a-",422,"to catch fire","ḳi=a-n","    G. pr. \Iḳi=nu.\i Cf. Khosr. \Iḳĳa-\i id.; also, with reduplication, Lak. \I=aj-ḳiḳi-n\i 'to catch fire, start burning'. A derived adjective is Lak. \Iḳiri-s:a,\i Khosr. \Iḳiri-s:a\i 'hot'."
557,"=a=č̣i-",1499,"to full, felt (wool)","=a=č̣i-","    G. pr. \I=a=ḳu-nu.\i"
558,"za",2306,"thing","za",
559,"aImu",1503,"wooden tub, trough","aImu",
560,"c̣iqa",1506,"floor-cloth, door-mat","c̣iqa","    Cf. Khosr. \Ic̣iqa\i id."
561,"dahani",1508,"mirror","dahani","    Cf. Khosr. \Idahani\i id."
562,"č:ič:i",444,"meat (nursery word)","č:ič:i",
563,"q̇ač̣a",1513,"wineskin","q̇ač̣a","    Cf. Khosr. \Iq̇ʷač̣a\i id. The Lak. form is a probable source of Av. \Iq̇:ʷač̣á,\i Chad. \Iq̇uč̣á\i id. (not genuinely related because of irregular correspondence) and Andian forms (borrowed from Av.): Akhv. \Iq̇:ač̣a,\i Tind. \Iq̇:ʷač̣a\i 'wineskin', Cham. (Leksika) \Iq̇:oč̣e.\i"
564,"č̣aṭa",1514,"wooden shovel","č̣aṭa","    Cf. Khosr. \Ič̣aṭa\i id."
565,"uInṭa",1516,"small earthenware vessel","uInṭa",
566,"q:usa",1521,"spoon","q:usa","    Cf. Khosr. \Iq:usa\i id."
567,"his",1524,"a prick (by some sharp object)","his","    The original meaning was obviously 'sharp object, thorn, prick'; cf. also the derivate Khosr. \Ihis:ilu\i 'fork' (pointing to *s:, neutralised in his in the final position), and the Archi loanword \Ihis\i 'fork'."
568,"xula",1525,"pitchfork","xula","    Cf. Khosr. \Ixula\i id."
569,"č̣uṭi",450,"lead","č̣uṭi",
570,"č̣ila",1528,"knife","č̣ila",
571,"t:-i=si-",1530,"to cut out","t:isi-n","    G. pr. \It:i=su-nu.\i Cf. also Khosr. \It:isi-n,\i and, with another morphological formation, Lak. \I=urusi-n\i (\I=urusu-nu\i), Khosr. \I=urusi-n\i 'to chop, cut in small parts'. Lak. \It:isi-\i also goes back to *\It:ir(i)si-\i, as seen from an old Archi loanword: \Idiris-kes\i 'to cut out'."
572,"ḳunḳur",1533,"cauldron","ḳunḳur","    Cf. Khosr. \Iḳunḳur\i 'cylinder-shaped cauldron'."
573,"waraq:i",1536,"a copper jug for water","waraq:i","    Cf. Khosr. \Iwaraq:i\i id."
574,"q:Iač̣i",1537,"a flat earthenware vessel (for filtering milk)","q:Iač̣i","    Cf. Khosr. \Iq:Iʷač̣i\i 'jar, jug'."
575,"k:up:i",1539,"earthenware jug with a narrow mouth","k:up:i",
576,"q̇ucuru",1541,"a small sack made of sheepskin","q̇ucuru","    Cf. Khosr. \Iq̇ucuru\i id."
577,"šašal",1542,"sack","šašal (Khosr.)",
578,"x:ʷi-c̣i-",1543,"to wring out, squeeze out","x:i=c̣i-n","    G. pr. \Ix:i=c̣unu.\i"
579,"=ihi-",1545,"to filter","=ihi-n","    G. pr. \I=i=hu-nu.\i"
580,"q:Iac̣a",1546,"tongs, pincers","q:Iac̣a","    Cf. Khosr. \Iq:Iac̣a\i id."
581,"kʷac̣",1551,"armful, bundle","kac̣","    Cf. Khosr. \Ikʷac̣\i 'bundle'."
582,"c:u-",468,"female","c:u-s:a",
583,"q̇ali",1558,"barrel","q̇ali",
584,"luꭓč:i",514,"earth, land","luꭓč:i","    Cf. also Khosr. \Iluꭓč:i\i '(mountain) pasture'."
585,"musi",1559,"gold","musi","    Cf. Khosr. \Imusī\i id."
586,"arcu",1560,"silver","arcu","    Cf. Khosr. \Iarcu\i id."
587,"nuwč̣a",520,"flint","nuwč̣a","    Cf. Khosr. \Inūč̣ʷa\i id."
588,"muħ",1561,"sickle","muħ","    Cf. Khosr. \ImuIħ\i 'crooked sickle'."
589,"nuwc̣i",521,"iron or stone plate for roasting grain","nuwc̣i",
590,"duk-ni",1564,"brass","duk-ni","    Cf. Khosr. \Idukni\i id. Originally a plural form; without the suffix -ni the root is attested in the old Archi loanword: Arch. \Iduk\i 'brass, copper'."
591,"ḳuIj",1569,"handle","ḳuIj","    Cf. Khosr. \IḳuIj\i id."
592,"anḳa-ṭun",525,"to doze, slumber","anḳa-ṭun","    A compound verb (with the nominal part \Ianḳa-\i and the auxiliary verb \I-ṭun\i)."
593,"ṭurš:i",1570,"small clay balls for a sling (put on sticks)","ṭurš:i",
594,"ḳunu",1573,"wire","ḳunu","    Cf. also Khosr. \Iḳunu\i 'knitting needle'."
595,"=uruꭓ:a-",1574,"to sew","=uruꭓ:a-n","    G. pr. \I=uru=ꭓ:u-nu.\i Cf. Khosr. \I=uruꭓ:a-n\i id."
596,"marqʷ",842,"a woolen thread of high quality","marqʷ (Khosr.)","    Gen. \Imurqa-l.\i"
597,"ḳuṭ",1576,"skein, hank","ḳuṭ","    Cf. Khosr. \Iḳuṭ\i id."
598,"ħis",1529,"to cut, clip, trim","ħis učin","    Cf. \Iħis dan\i id., \Iħisi-lu\i 'scissors'; Khosr. \IhiIsilu\i 'scissors'."
599,"quwqu",1580,"wheat groats","quwqu",
600,"t:aral",1581,"comb","t:aral",
601,"q:ʷaṭa",1552,"comb","q:ʷaṭa (Khosr.)",
602,"zuk:a",1584,"spindle","zuk:a","    Cf. Khosr. \Izuk:a\i id."
603,"=uꭓ:ii-",1587,"to spin","=uꭓ:ii-N (khosr.)",
604,"=a=ħi-",1588,"to tie, bind, fasten","=a=ħi-n","    G. pr. \I=a=ħu-nu\i (Khosr. \I=aI=hi-n\i). Cf. also (with a preverb) \It:iri=ħi-n\i (g. pr. \It:iri=ħu-nu\i), Khosr. \It:iriI=hi-n\i 'to untie, unbind'."
605,"zuru-q:aIni",547,"icicle","zuru-q:aIni","    The meaning and origin of the component -q:aIni is not clear."
606,"q̇uIṭi-lu",1591,"hammer","q̇uIṭilu","    Khosr. \Iq̇Iuṭilu\i id."
607,"riḳ",1594,"axe","riḳ","    Cf. Khosr. \Iriḳʷ\i id."
608,"=u=č̣a-",562,"to go down","=u=č̣a-n","    G. pr. \I=u=č̣u-n.\i Cf. Khosr. \I=u=č̣a-n\i (\I=u=č̣undi\i) 'to come, arrive ('приезжать' as opposed to \I=u=č̣a-n,\i \I=u=ḳundi\i 'приходить' q.v.), to put in'."
609,"apiṭa",1596,"mushroom","apiṭa (Bartkh.)",
610,"bajlaꭓ:i",1598,"whetstone, grindstone","bajlaꭓ:i","    Cf. Khosr. \Ibajlaꭓ:i\i id."
611,"=a=č̣i-",574,"to divide, to be divided","=a=č̣i-n","    G. pr. \I=a=č̣u-nu.\i The original meaning must have been 'to get split', preserved in Khosr. \I=ač̣i-n\i (\I=a=č̣-undi\i), which also means 'to be divided'."
612,"t:arx",1599,"stick","t:arx","    Obl. base \It:urša-.\i Cf. Khosr. \It:arx\i (\It:urša-\i) id."
613,"ꭓ:ara-č̣ani",1600,"saw","ꭓ:arač̣ani","    Cf. Khosr. \Iꭓ:arač̣ani\i id. The second part (-č̣ani) is not quite clear; for \Iꭓ:ara-\i cf. also \Iꭓ:ara-č̣aṭa\i 'metallic scraper'.     Lak. \Iꭓ:ara-\i reflects the nominal derivate \I*ʔVrꭓ̲wVrV;\i the original reduplicated stem \I*ꭓirꭓ̲wV-\i is preserved in \Iꭓ:uꭓ:u-ṭi\i 'file'.     It is interested to note Tind. \Ič̣araꭓ:un\i 'saw' - which is very probably a later metathesis of a loanword from Lak. (\Ič̣araꭓ:un\i < \I*ꭓ:arač̣Vn\i)."
614,"q:aṭa",1603,"trap","q:aṭa","    Cf. Khosr. \Iq:ʷaṭa\i id."
615,"ꭓ:unu",1604,"diaphragm","ꭓ:unu",
616,"q:iIri",1608,"net","q:iIri","    Cf. Khosr. \Iq:Iiri\i id."
617,"=u=ꭓ:i-",1611,"to carry away, take away","=u=ꭓ:i-n","    G. pr. \I=u=ꭓ:u-n\i / \I=u=ꭓ:u-nu.\i Cf. also dur. \Iꭓ:i-la-n\i 'to carry, bear'; Khosr. \I=u=ꭓ:i-n,\i dur. \Iꭓ:i-lla-n\i id."
618,"hi",1612,"bundle","hi","    Cf. Khosr. \Ihi\i 'bundle (of brushwood')'."
619,"q:aq-la",964,"burden, load","q:aqla (Khosr.)",
620,"hiwu",1614,"pack, burden","hiwu","    Lak. \Ihiwu\i < \Ihiʔu;\i in Khosr. \Ihibu\i -b- is obviously secondary in this case."
621,"xumū",1032,"rope, string","xumū",
622,"x:uri",1620,"bridle","x:uri","    Cf. Khosr. \Ix:uri\i id."
623,"ja",1623,"wheel","ja",
624,"naIḳ-",1624,"blue","naIḳ-s:a","    Cf. Khosr. \InaIḳ-s:a\i id."
625,"ḳili",1625,"saddle","ḳili","    Cf. Khosr. \Iḳili\i id."
626,"hallibilli",1627,"a wooden device for transporting stones on donkeys","hallibilli","    The word stems from the Bartkh. dialect (cited from Хайдаков 1966)."
627,"č̣aIpṭi",1630,"whip","č̣aIpṭi",
628,"qu",628,"field","qu","    Obl. base \Iquni-,\i pl. \Iquru.\i Cf. Khosr. \Iqu,\i \Iquni-,\i \Iquru\i id."
629,"q:ur",1631,"1 arable field 2 fallow","q:ur 1, q:uruqu 2","    In the Khosr. recordings the word \Iq:ur\i is characterized as 'poetic' (as opposed to \Iqu\i 'field' < \I*qwɨ̆ʔrV̄\i). The literary form \Iq:uru-qu\i 'fallow' is actually a compound of the two roots."
630,"ꭓ:a",1634,"line","ꭓ:a",
631,"qa-ras",1635,"wooden plough","qaras","    Obl. \Iqurs:u-;\i cf. also Khosr. \Iqaras,\i \Iqurs:u-\i id. The Lak word is probably a compound of \Iqu\i 'field' + \I*(HV)ras:\i ( < \I*Hrājc̲ū\i) 'plough'."
632,"niḳa",1380,"a leathern noose connecting the plough to the yoke","niḳa","    Lak. \I*niḳʷa\i (\I*miḳʷa\i) > Arch. \Imuḳa\i id."
633,"ruḳ",1639,"yoke","ruḳ","    Cf. also Khosr., Bartkh. \Iduḳ\i id. (the forms with d- may be actually borrowed from Dargwa)."
634,"k:ac:a",1641,"hoe (for digging graves)","k:ac:a","    The parallel form \Ik:aza\i 'hoe, mattock' is probably borrowed from Av. or Darg."
635,"ꭓ:aIlaꭓ:i",1642,"harrow","ꭓ:aIlaꭓ:i","    Cf. Khosr. \Iꭓ:Iilaꭓ:Ii\i 'rake, harrow'. Cf. also a verbal stem: Khosr. \Iꭓ:Iiꭓ:Ii-n\i (dur. \Iꭓ:IiꭓIla-n\i) 'to scrape'."
636,"mirx",1646,"sickle","mirx","    Cf. Khosr. \Imirx,\i \Imirx:ira-\i - pointing to a strong *x: in Proto-Lak."
637,"=uca-",662,"to mow; break off, tear off","=uca-n","    G. pr. \I=u=cu-n,\i dur. \Icu-lu-n.\i Cf. Khosr. \I=ucʷa=n,\i \Icʷu-lu-n\i id. (with secondary labialisation)."
638,"q:aw",893,"sheaf","q:aw","    Cf. Khosr. \Iq:aw\i id. The Proto-Lak. form was \I*q:ʷab,\i as seen clearly from the Archi loanword: Arch. \Iqʷab\i 'sheaf'."
639,"lizu",1653,"a heap of sheaves (stacked as a pyramid for drying)","lizu","    Cf. Khosr. \Ilizu\i  'bundle of sheaves'."
640,"qIu",1654,"sheaves stacked in a semicircle","qIu",
641,"t:arac̣a-lu",1657,"threshing-floor","t:arac̣alu","    Cf. Khosr. \It:arac̣alu\i id., Bartkh. (Хайдаков 1966) \It:arc̣.\i"
642,"č:in",1658,"threshing board","č:in","    Khosr. \Ič:in\i id. Lak. \Ič:in\i goes back to \I*muk:i-n\i (with a regular loss of the initial syllable containing a labial resonant + a narrow vowel), which is an exact match for forms like PA \I*bili-mV,\i PTs \I*mɨLə\i etc.     Another derivate from the same archaic verbal root is Lak. \Ič:ar\i ( < \I*k:ar,\i with metathesis < \I*rak:\i) 'threshing', used also in the compound verb \Ič:ar d-a-n\i 'to thresh'."
643,"nax",1659,"chaff","nax","    Obl. \Inux:a-.\i Cf. Khosr. \Inaxʷ,\i \Inux:ʷa-\i id."
644,"c̣inna",1661,"dry stalks as fuel","c̣inna","    Cf. also Khosr. \Ic̣ajnda\i ( < \I*c̣indV-ja\i) 'straw'."
645,"baḳu",1669,"hill; heap, pile","baḳu","    Cf. Khosr. \Ibaḳu\i id."
646,"sun",1670,"sunny side; sunny slope of a hill, mountain","sun","    Cf. Khosr. \Isun\i id."
647,"uInṭa",2072,"hollow","uInṭa","    Cf. Khosr. \IuInṭa\i 'hollow (in ground)'."
648,"niIꭓ",1674,"river","niIꭓ","    Gen. \IniIꭓ:a-l;\i cf. also Khosr. \IniIꭓʷ,\i \IniIꭓ:ʷa-l.\i"
649,"aItara",1675,"mountain stream","aItara","    Cf. also Khosr. \IaItala\i id. There exists also an Archi loanword: Arch. \IhaItəra\i 'river', pointing to a variant with *ħ- in Old Lak. or some Lak. dialect."
650,"baIr",1676,"lake, pond","baIr","    Cf. Khosr. \IbaIr\i id. Lak. > Arch. \IbaIri\i id."
651,"x:iri",1679,"sea","x:iri","    Cf. Khosr. \Ix:iri\i id."
652,"q:ubi",151,"deep pit","q:ubi (Khosr.)","    In Lit. Lak this root regularly changed to \Iq:uj,\i thus coinciding with a Turk. loanword \Iq:uj\i 'well' (which has nothing to do with the present root)."
653,"haw",1682,"grave","haw","    Obl. base \Ihat:a-.\i Cf. Khosr. \Ihaw,\i \Ihat:a-\i id. With pharyngealisation (expressive?) cf. also Lak. \Iħat:a-lu,\i Khosr. \IhaIt:a-lu\i 'graveyard'."
654,"ga",2307,"that (below)","ga","    Cf. Khosr. \Igʷa\i id. (with secondary labialisation < \I*gV-wa\i). Cf. also \Igi-lu\i (Khosr. \Igi-lu\i) 'there (below)'."
655,"ma",2272,"a prohibitive particle","ma",
656,"č̣uč̣a",1684,"small stone","č̣uč̣a","    Cf. Khosr. \Ič̣ʷuč̣ʷa\i id. (Khaidakov spells the lit. form: \Ič̣uč̣ʷa\i)."
657,"ʁaIwʁa",1685,"gravel, road metal","ʁaIwʁa",
658,"č̣uIn",1686,"bead(s)","č̣uIn","    Cf. gen. \Ič̣uImu-l.\i"
659,"ꭓ:it",1688,"dust","ꭓ:it","    Gen. \Iꭓ:it:u-l.\i Cf. Khosr. \Iꭓ:it,\i \Iꭓ:it:u-l\i id."
660,"č̣iInṭ",1690,"spray","č̣iInṭ",
661,"ḳanṭ",1691,"pip (on cards, dice)","ḳanṭ",
662,"čaIwqa",1696,"shower, heavy rain","čaIwqa",
663,"marꭓ:ala",1698,"snow","marꭓ:ala","    Cf. Khosr. \Imarꭓ:ala\i id."
664,"burul",1742,"crystal","burul",
665,"miḳ",1703,"ice, hail","miḳ","    Cf. Khosr. \Imiḳ\i id."
666,"bark",78,"a high cloud","bark (Khosr.)","    Gen. pl. \Ibark-urdil.\i"
667,"ꭓ:urt",1704,"scum","ꭓ:urt",
668,"q̇it",1706,"soot; flour dust","q̇it","    Gen. \Iq̇it:u-l.\i Cf. Khosr. \Iq̇it\i (\Iq̇it:u-l\i) 'soot'. Lak. > Arch. \Iq̇it:i\i id."
669,"čani",1707,"light (n.)","čani","    Cf. Khosr. \Ičani\i id."
670,"s:u-t",1709,"autumn","s:ut","    Historically -t is a suffix. Cf. also Khosr. \Is:ut\i id., \Is:ut:i-l\i 'in autumn'."
671,"ʁʷi",1711,"summer","ʁi","    Gen. \Iʁin-tni-l.\i Cf. Khosr. \Iʁʷi,\i \Iʁʷin-tni-l\i id."
672,"ḳʷi",369,"winter","ḳi","    Gen. \Iḳin-tni-l.\i Cf. Khosr. \Iḳʷi,\i \Iḳʷin-tni-l\i id."
673,"q̇ini",1713,"day","q̇ini","    Cf. Khosr. \Iq̇ini\i id.; \Iħa-q̇inu,\i Khosr. \IhaIq̇inu\i 'today'."
674,"hant:a",1714,"24 hours, day","hant:a","    Cf. also \Ihunt:ī,\i Khosr. \Ihunt:ī\i 'tomorrow'. Lak. \Ihant:a\i > Arch. \Ihant:i\i 'some time, a certain amount of time'."
675,"aIra-l",1720,"army, troops","aIral","    An old plural form. The original suffixless form is reflected in Arch. \IaIri\i 'army', an old Laki loanword."
676,"q̇uIq̇a",1721,"group (of people), company","q̇uIq̇a","    Cf. Khosr. \Iq̇Iuq̇Ia\i id."
