NUMBER|PROTO|PRNUM|MEANING|CHE|ING|BCB|COMMENT
241|*ṭāṭi|839|freckle, spot|ṭēda|ṭäd||    *ṭɦ- also possible.
242|*maʁu|842|1 line 2 line, row|moʁa 2|muʁ 1||    Initial *mɦ- also possible. In Chech. the word has two obl. stems: \Imaʁara-\i 'row' (cf. Ing. \Imuʁaro\i) and \Imoʁana-\i 'line'; the latter is obviously secondary.
243|*maꭓu|845|stripe (on a cloth)|moꭓa|||    Isolated in Chech., but with probable external parallels. Initial *mɦ- also possible.
244|*mēʔ|848|young hen|meʔ|||    Chech. obl. \Imēʔa-.\i
245|*poppVr|850|1 clay 2 clay mortar|poppar 2|toppar 1||    Initial t- in Ing. is obviously a result of dissimilation. The root contains an expressive medial geminate. It belongs to the 5th class in Ing. and 6th class in Chech.
246|*peṭ|854|tub||ped||    Isolated in Ing., but with probable external parallels.
247|*mos|242|down, feather 1 tuft of hair|mas|mos||    4th class in Chech. and Ing. For PN a paradigm \I*mos,\i \I*masi-\i should be reconstructed (with vowel levelling in Chech.; cf. Chech. obl. \Imesa-\i).
248|*paꭓ|856|lung|paꭓ|peꭓk||    6th class in Chech., 4th class in Ing. The PN obl. form was \I*paꭓu-\i (to judge from Chech. \Ipoꭓa-\i); Ing. \Ipeꭓk\i goes back to a secondary diminutive \I*paꭓ-iḳ.\i
249|*ʔīp|857|mill kennel|āpari|ip||    PN paradigm: \I*ʔīp,\i \I*ʔāp-ar-\i (cf. also Ing. erg. \Iaparo\i); in Chech. the former oblique base became direct (a doublet form \Iapar\i exists also in Ing.). Chech. 4th class, Ing. 3d class.
250|*mutta (~-ṭṭ-)|858|juice|mutta|||
251|*pop|860|plane-tree|pop|pop||    Obl. base \I*popa-\i (cf. Chech. \Ipopa-,\i Ing. \Ipopo\i). 6th class in Chech., 3/5th class in Ing.
252|*patVr|245|down  1 goat's down|patar|petar||    3d class in Chech., 4th class in Ing. -r is originally a suffix (plural).
253|*hu(:)p|862|to blow, blowing|hup āla|||    Attested only in Chech., but with probable external parallels.
254|*par-lu (~-ō-,-ā-)|863|butterfly|polla|||    Since there is no Ing. form, several vocalic reconstructions for PN are possible. We assume that the final -la is a suffix, thus the original Inlaut resonant may have been -r- or -l-.
255|*puš|865|bump, lump|||puš|    Isolated in Bacb., but having reliable external parallels.
256|*lēp-|868|to glitter, to blaze|lēp-a|lep-a|lep-ar|
257|*baǯo|872|horned cattle|baža|bežan|bžã|    PN paradigm \I*baǯo,\i \I*baǯi-:\i cf. Chech. \Ibaža,\i \Ibeža-.\i For the direct base \I*baǯo\i cf. also Chech. Cheb., Khild., Shar. \Ibožo,\i Itumk. \Ibožu;\i Bacb. (with metathesis) \Ižabŏ\i 'horned cattle, herd'. There was also a PN derivate \I*baǯi-n(a\i) 'horned cattle', whence the Ing. form and Bacb. \Ibžã\i ( < \I*bažan\i), and also Chech. \Ibežana\i id.
258|*b(ɦ)ōl-ik (~-ʕ-)|875|grove|bȫlak|||    Isolated in Chech., but having probable external parallels (cf. even a similar suffix formation in Chech. and Darg.).
259|*ʁam-maʁa|1268|1 peach 2 apricot|ʁammaʁa 1|ʁamaʁa 2||
260|*buṭ ( ~ -ū-)|879|vulva|bud|bud||
261|*bāp-iḳ|887|bread (made of wheat, barley)|bēpig|||    Cf. also Cheb. \Ibāpig,\i Chech. obl. \Ibäpka-\i (pointing to *-ā-).
262|*ʔab-|890|to sew|||ʔab-|    Chech. and Ing. have not preserved the verb, but cf. in Chech. \Iew-na,\i Ing. \Iow\i 'seam'. Cf. also the PN derivate \I*jub\i (obl. \I*ʔabrV-\i) 'awl' (Bacb. \Ijub,\i Chech. \Ijū,\i pl. \Iʔāraš,\i Ing. \Ijuw,\i erg. \Iowro,\i pl. \Iowraš\i).
263|*p(ʕ)ott (~-ō-,-ṭṭ)|891|wooden bar|pott|||    Isolated in Chech., but having probable external parallels.
264|*pisV|853|pussy-cat|pisū|||    Isolated in Chech., with possible cognates in PL.
265|*č(ʕ)apu|892|foam, scum|čopa|||    Isolated in Chech., but with probable external parallels.
266|*b(ɦ)ārʒ|301|hillock|barz|bɔrz||    Obl. stem \I*bārʒu-\i (cf. Chech. \Iborza-\i and the Ing. \Ibɔrz,\i erg. \Ibɔrzo\i with vowel levelling in the direct stem). Cf. also Shar., Khild., It. \Ibārʒ.\i 6th class in Chech. and Ing.
267|*b(ɦ)eq̇V (~ -a-)|897|pole||beq̇a||    Isolated in Ing., thus the PN reconstruction is tentative. Nakh > Osset. (Dig.) \Ibäqä\i 'pole', see Abayev 1958, 250.
268|*b(ɦ)aḳa|899|1 pine-tree 2 resinous root of pine-tree|baga 1|baga 2||    3d class in Chech., 6th class in Ing.
269|*barVg|900|pick-axe|berg||brag|    In literary Chech. the root is present only as a compound element of \Izʕok-berg\i 'pick-axe'; cf., however, Itumk., Khild. \Iberg\i id. For Bacbian Matsiyev adduces also a form \Ibarg\i 'hammer for incising the mill-stone' which is probably a variant of the same root.
270|*buq̇|902|back|buq̇|buq̇|buq̇|    Obl. stem \I*buq̇a-\i (cf. Chech. \Ibuq̇a-,\i Ing. \Ibuq̇o\i), plur. \I*baq̇-bV-\i (Bacb. \Ibaq̇bi,\i Ing. \Ibowq̇a-š,\i Chech. \Ibaq̇a-š\i). 6th class in all languages.
271|*borc|898|millet|borc|borc|borc|    Obl. base \I*barci-\i (Chech. \Iberca-,\i Ing. \Iberco\i). 6th class in all languages.
272|*barλ (~-ā-)|2323|eight|barh|barh|barλ|
273|*bar-iḳ|906|hoof|berg|barg||    4th class in Chech., 6th class in Ing. *-iḳ is a common diminutive suffix.
274|*bar(Ł)am|907|funeral stretcher|baram|||    Isolated in Chech. (thus *-rŁ-, *-rλ- or *-r- are equally possible), but having very probable external parallels.
275|*b(ɦ)ač̣Vn (~-ʕ-,-ǯ-)|908|rye|božan|||    In Uslar's notation: \Ibažaŋ.\i Since there are no Bacb. forms, both *-č̣- and *-ǯ- are possible in PN.
276|*čim|291|1 ashes 2 snow-flake|čim 1,2||čim 1|    Obl. base \I*čima-\i (Chech. \Ičima-\i). 5th class in Chech., 6th class in Bacb.
277|*ħub (~-ū-)|910|wound inflammation, caused by cold, dampness|ħū|ħuw||    4th class in Chech. and Ing. The original vowel length is impossible to establish.
278|*kamu-r / *kumV-l|911|1 raspberry 2 mulberry|komar 2|komar 1,2|kumel 1|    Cf. also Chech. \Ic̣ēn komar\i 'raspberry' (lit. 'red mulberry'). In Ing. the word also means 'strawberry'. The word contains different suffixes in Chech./Ing. and Bacb.; in Bacbi there was, additionally, a vowel metathesis.
279|*bumba-r- (~-ū-)|919|1 bumble-bee, hornet 2 beetle|bumbari|bumbarg||    Both form contain suffixes: Chech. \Ibumbari\i < \I*bumbar-Vj,\i Ing. \Ibumbarg\i < \I*bumbar-iḳ.\i 4th class in both languages.
280|*bēq|921|fur-coat|beq|beq||     Obl. base \I*bēqa-\i (Chech. \Ibēqa-,\i Ing. \Ibeqo\i). 4th class in Chech., 6th class in Ing.
281|*ħadV (~-ā-)|922|brain|ħē|ħɔ|ħad(a)|    6th class in all languages.
282|*ħaḳ́(a)|925|forehead|ħaž|ħaža|ħaḳ|    Obl. base \I*ħaḳ́i-,\i cf. Chech. \Iħäža-.\i 3d class in Chech. and Bacb., 4th class in Ing.
283|*bʕāl|257|set (in a game)|bal|bʕal||    Obl. stem \I*bʕālu-,\i cf. Chech. \Ibōla-.\i 6th class in Chech. and Ing.
284|*=uħ|929|1 face 2 edge,blade 3 end 4 beginning|jüħ 1,3|juħ 1, duħ 4|juħ 1, duħ 2|    In Chech. cf. also \I-üħ-ig\i 'end' (with changing class prefixes). In Bacb. the root is present also in the compound \Ijoħ-koṭŏ,\i \Idoħ-koṭŏ\i 'face' and in adverbs \I-ujħ-ṭeꭓ\i (with changing class prefixes) 'face down', \Idujħrẽ\i 'at first' and \Ijuħal\i 'on the other side (of a river, ravine)'.     The same root served as stem in the derivate \I*ɦi-ri-n\i ( < \I*-uHi-ri-n\i) 'sharp' > Chech., Ing. \Iira,\i Bacb. \Iʕirĩ.\i
285|*babV (~-ā-)|917|grandfather|||babŏ|    Attested only in Bacb., but having obvious parallels in other EC languages.
286|*marš (~-ā-)|931|muzzle|marš|||    Isolated in Chech. (obl. base \Imarša-\i), thus the vowel length is not clear.
287|*c̣a-c̣ʡVm|934|eyebrow|c̣oc̣q̇am|c̣ac̣q̇am||
288|*mʡač-iḳ|261|tip (of smth.) bent upwards|mʕäčig|||    Isolated in Chech., but having probable external parallels.
289|*ʒʡok|935|beak|zʕok|zʕok|zok|    4th class in all languages. Obl. base \I*ʒʡak-ar-\i (cf. Chech. \Izʕakara-,\i Ing. with vowel levelling \Izʕokaro\i). Nakh > Osset. \Iʒɨx\i / \Iʒux\i, \Ic̣ux\i 'mouth' (see Abayev 1958, 408-409).
290|*b(ɦ)asV|937|1 southern slope of a hill 2 cheek|basē 1, besni 2|bas-ilg 2||    Both Chech. and Ing. have different suffixed forms.
291|*dō-le|940|gum (in mouth)|dȫla|dol||    3d class in Chech. and Ing. Cf. also Chech. Cheb. \Idwōle,\i Ved. \Idwēle,\i Khild. \Idwẹ̄lĕ\i etc.
292|*č̣aniḳ|942|chin|č̣enig|č̣ang|č̣aniḳ|    4th class in all languages. The root is extended by the diminutive *-iḳ.
293|*merc̣ (~-ē-,-ʒ)|943|hair in horse's tail|merz|merz||    6th class in Chech., 5th class in Ing. Cf. also Chech. Shar., Khild. \Imjerʒ.\i Original vowel length unclear.
294|*hoʔ ( ~ f-)|1602|bullet, projectile|hoʔ|||    Attested only in Chech. (obl. base \Ihöʔa-\i), but having probable external parallels. The meaning 'bullet' is, of course, secondary < 'arrow'.
295|*naqV (~-ā-)|951|palate; throat, pharynx|||naq(a)|    Isolated in Bacb., but having probable external parallels.
296|*ḳāms(s)ur|225|canine tooth|ḳomsar|ḳomsar||    4th class in Chech. and Ing. Cf. also Chech. Lev. \Iḳōmsur,\i \Iḳōmsar,\i Shar. \Iḳōncur\i (with secondary -c-).
297|*ṭēwi|180|1 crossbeam 2 bridge 3 collar-bone, clavicle|ṭaj 1,2|ṭĳ 2|ṭiw 2,3|    The PN paradigm \I*ṭēwi,\i obl. \I*ṭāwi-\i is clearly reflected in Ing. \Iṭĳ,\i \Iṭäwo;\i Chech. has generalized the vocalism of the obl. stem (\Iṭaj\i < \I*ṭāj(i\i) < \I*ṭāwi,\i obl. \Iṭē-\i < \I*ṭāji-\i < \I*ṭāwi-\i). For Bacb. cf. also Desheriyev's notation: \Iṭew.\i 3d class in all languages.     The root originally meant just 'stick' or 'pole', cf. the Chech. diminutive \Iṭe-rg-aš\i (pl. t.) 'drumstick', and Ing. dial. \Iṭi(j\i) 'penis'.
298|*ḳēč̣|957|1 plait 2 wool|ḳāžar 1|ḳež 1|ḳeč̣ 2|    4th class in all languages. PN paradigm: \I*ḳēč̣,\i \I*ḳāč̣-ar-\i (cf. Ing. \Iḳež,\i erg. \Iḳažaro\i); in Chech. the oblique stem became direct.
299|*čarꭓ (~-ā-)|958|carcass|čarꭓ|||    Obl. stem \I*čarꭓu-\i (Chech. \Ičorꭓa-\i).
300|*ʔēc̣u-ḳ (~-ʒ-,ɦ-)|966|1 core of a lash 2 island 3core(of a boil,abscess)|ȫzig 2,3|ezig 1||    4th class in both languages. The original meaning must have been simply 'core, centre'.
301|*kēre|269|belly, entrails|kīra|ker||    Cf. also Chech. Pharch. \Ikīr,\i Cheb. \Ikjēri.\i 5th class in Chech., 6th class in Ing.
302|*m(ɦ)uc̣(H)ar|967|snout, muzzle; trunk|muc̣ar|muc̣ar||    Some kind of medial cluster is indicated by Ing. dial. \Imuoʒʁər\i id. 4th class in both languages.
303|*nāna|272|mother|nāna|nana|nan|    Obl. stem \I*nāni-\i (cf. Chech. \Inēna-,\i Bacb. \Inani-\i); Ing., however, reflects \I*nānu-\i (Ing. pl. \Inona-š\i).
304|*pħars(s) (~-ā-)|970|arm|pħars|pħars|pħars|    Obl. base \I*pħarsi-\i (cf. Chech. \Ipħärsa-,\i (Uslar) \Ipħɛrsi-\i). Cf. also Chech. Shar., Khild. \Ipħarc.\i
305|*c̣an-ḳu|972|navel|c̣onga|c̣ong||    Cf. also Chech. It. \Ic̣ang.\i 3d class in Chech., 4th class in Ing. The form contains a suffix *-ḳu (probably a variant of the more usual diminutive *-iḳ).
306|*=ist|975|edge, end|=ist|=ist|bist|    Bacb. \Ibist\i in Matsiyev's notation (Kadagidze: \Ibisṭ\i). Vowel length unclear (because of the consonant cluster). One of the stems with changing class prefixes.
307|*čōrʁV (~-a-)|976|kennel, gutter; ravine|čorʁē|||    Attested only in Chech., thus the vocalic reconstruction (including the vowel length) not quite certain.
308|*b(ɦ)ārč|977|a wide seam on cloth|barč|barč||    The precise meaning is "a wide seam on cloth (for passing a lace etc.); the place for fitting a lace (in a bag)". Obl. base \I*b(ɦ)ārče-\i (cf. Chech. \Ibärča-\i). 6th class in Chech., 4th class in Ing.
309|*jōħ|249|large intestine|jöħ||ajħi|    PN paradigm: \I*jōħ,\i \I*ʔāħi-.\i In Bacb. the former oblique stem became direct; in Chech., vice versa, the direct base became oblique: \I*jōħi-.\i In its turn, the new oblique base influenced the vocalism of the direct one (\Ijöħ\i).
310|*nugV (~-ū-,-b-,-d-)|981|besom|nuj|nuv||    Since there is no Bacb. form, any voiced stop may be reconstructed for PN. 6th class in Chech. and Ing.
311|*q̇amʔar-iḳ|982|throat, larynx|q̇amq̇arg|q̇amarg||    4th class in Chech. and Ing. The stem contains a frequent PN diminutive suffix *-iḳ.
312|*ǯim|335|kidney|žim|žim|žĩ|    Obl. base \I*ǯamu-r-\i (cf. Ing. \Ižomar-\i) / \I*ǯima-\i (Chech. \Ižima-\i). 6th class in all languagess.
313|*čuħe|991|1 cheese whey 2 cheese brine|čüħa|čuħi||
314|*pħatV (~-ā-)|996|lung|||pħajtĭ|    Isolated in Bacb., but having reliable external parallels.
315|*bʡar(λ)V|270|liver sausage|bʕara / baʕar|bʕar||    6th class in both languages. Since there is no Bacb. parallel, it is impossible to establish whether PN had *-λ- here or not.
316|*liṭṭ-|1543|to filter|litt-|litt-|liṭṭ-|    The verb stem is both terminative and durative in all languages.
317|*n(ɦ)ōsta (~-ṭ-)|999|1 leg (from foot to knee) 2 shin, shank|nosta|nost||    PN paradigm \I*n(ɦ)ōsta\i, \I*n(ɦ)āstar-\i (cf. Chech. \Inastara-,\i Ing. \Inastaro\i). 4th class in Chech. and Ing.
318|*čaꭓ-um /*čaꭓ-čum|1001|cartilage, gristle|čoꭓčam|čočꭓam|čꭓamčꭓam|    A reduplicated stem. 4th class in Chech., Ing., 6th class in Bcb.
319|*pħā-ʁat|1004|distance between stretched hands|pħā-ʁat|pħa-ʁat||    A compound with \I*pħā-\i 'arm' (see under \I*pħō\i) as first component.
320|*muq̇|1010|hilt (of a dagger, sabre)|muq̇|muq̇|muq̇|    PN paradigm \I*muq̇,\i \I*maq̇ara-\i (cf. Chech. \Imaq̇ara-\i). 6th class in all languages.
321|*morλ|1011|1 armful 2 to embrace|mor 1|morh 1|morλ-bar 2|    PN paradigm \I*morλ,\i \I*marλV-\i (cf. the archaic adv. Chech. \Imara\i "into one's arms", Bacb. \Imajrλa d-oλar\i 'to embrace'; the present obl. base Chech. \Imora-,\i Ing. \Imorho\i is a result of secondary vowel levelling). 6th class in Chech. and Ing.
322|*ṭal-iḳ|181|finger|ṭelg|ṭelg|ṭarḳ|    The stem contains a diminutive *-iḳ. Bacb. \Iṭarḳ\i instead of \I*ṭalḳ\i on analogy with \Ilarḳ\i 'ear', \Ibʕarḳ\i 'eye'. 6th class in all languages.
323|*bišV|1015|a child's hand|biši|||    Attested only in Chech. with a possible Tsez. parallel.
324|*gāʒV (~-c̣-)|1017|part of leg (thigh+shin+foot)||gɔz||    Attested only in Ing., but with probable external parallels.
325|*=āss-|1020|empty, hollow|=ässa|=ässa|=asẽ|    Cf. also Chech. Cheb. \I=āssẽ,\i Ved. \I=ēssẽ\i etc. The pure stem \I*=āss-\i is contained in Chech. \I=ass-ō,\i Bacb. \I=as-dã\i 'to empty'.
326|*ꭓā|1021|side (of body), hip|ꭓa|ꭓa|ꭓa|    Obl. base \I*ꭓā-ni-\i (Chech. \Iꭓē-na-,\i Ing. \Iꭓäno\i). 6th class in Chech., 3d class in Ing., 8th class in Bacb.
327|*kars (~ -ā-)|1022|1 rope of horse's hair 2 rope of goat's wool|kars 1|kars 1|karsã 2|    4th class in all languages. There is not enough information to establish the PN vowel length.
328|*ʁōlu-ḳ|158|bone for playing dice|ʁulg|ʁolg||    The stem contains a usual diminutive suffix. 3d class in Chech., 4th class in Ing.
329|*māč̣V (~-ǯ-)|57|limb|mēžē|mäže||    A formation with a frequent *-VjV suffix. 4th class in both languages.
330|*ħaqV|1024|ankle, ankle-bone|ħaqolg|ħaqing||    4th class in both languages. Without suffix cf. Chech. Pharch. \Iħaqo\i id.
331|*ħāqu-m (~ *ħōqa-m)|265|knee-cap|ħōqam|||    Attested only in Chech., but with probable external parallels.
332|*ḳurV-m|1|bone for playing dice|ḳuram|||    Attested only in Chech., but having probable external parallels.
333|*garʒa (~-ā-,-c̣-)|3|noodles|garza|garza||    4th class in both languages.
334|*pħiṭ|1028|calf of leg|pħid|pħid||    Obl. base \I*pħiṭa-\i (Chech. \Ipħida-,\i Ing. \Ipħido\i). The word is homonymous with \I*pħiṭ\i 'frog' (q.v.) which is a secondary merger.
335|*ḳaru|12|coal|ḳora|ḳor|ḳor|    5th class in Chech., Ing., b in Bacb. Cf. also Shar. \Iḳoro,\i Khild. \Iḳoru,\i Cheb. \Iḳaru\i - proving the reconstruction with *-a-. The form \Iḳor\i in Bacb. is irregular (\I*ḳajru\i should be expected) and still has to be explained.
336|*neħ|206|1 skin 2 skin (for making soles)|neʕ|niħ|niħ|    Obl. stem \I*naħa-ra-\i (cf. Ing. \Inaħaro,\i Chech. with vowel levelling \Ineʕara-\i). 3d class in all languages.
337|*m(ɦ)il-(~*-ī-,-Ł-)|20|1 from cold, with cold (adv.) 2 to get cold|mil-la 1||mil-dar 2|    Vowel length and the precise quality of the lateral are hard to establish (the Bacb. stem is known only in Kadagidze's notation).
338|*barḳal (~ -a-)|37|1 lumps of dirt in animals' hair 2 bad,dirty wool|bargal 1||barḳal 2|
339|*m(ɦ)ēꭓV (~-ʕ-,-ā-)|1032|leather strip to be cut in threads; harness thread|mēꭓa|||    Attested only in Chech., but having probable external parallels.
340|*q-ēt-|22|to get (somewhere)|q-ēt-|q-et-||    The root is used only with the preverb *q-.
341|*kondV-r (~-a-)|339|1 crown of a tree; a k. of weed 2 savory|kondar 1|kondar 2|kondar 2|    Forms with the meaning 'weed, savory' may be loaned from Georgian (cf. Georg. \Ikondari\i); however, a reverse direction of borrowing is also possible.
342|*ḳāc̣e|25|puppy|ḳēza|ḳaza|ḳac̣(ĕ)|    Obl. base \Iḳāc̣i-\i (Chech. \Iḳēza-,\i Ing. \Iḳäzo\i). Cf. also Cheb. \Iḳāze,\i Khild. \Iḳēʒĕ,\i Ved. \Iḳēze\i etc. 3d class in all languages.
343|*(p)s(ɦ)ārV|50|long switch, long branch; wire|sāra|särg||    In Ing. - a form with the diminutive *-ḳ (cf. also Chech. (Usl.) \Isārag\i id.). 6th class in both languages. Since there is no Bacb. reflex, it is impossible to determine whether we deal with PN *s- or *ps-, and whether there was a medial laryngeal. External evidence is in favour of PN \I*psɦārV.\i
344|*ḳuč̣|56|1 forelock, tuft of hair 2 mountain top|ḳuž 1|ḳuž 1|ḳuč̣ 1,2|    Obl. base \I*ḳuč̣e-\i (cf. Chech. \Iḳüža-,\i Ing. \Iḳužo\i). 6th class in all languages. Cf. also Khild. \Iḳuǯ,\i Ing. (Imnaishvili) \Iḳuč:,\i Chech. \Iḳuž-al\i 'fringe, forelock'.
345|*kōč-Vr (~ *kāč-ur)|1037|bundle (of onions, garlic etc.)|kōčar|||    Attested only in Chech., but having probable external parallels.
346|*ꭓāl|1046|a piece of thread|ꭓal|||    Obl. base \I*ꭓāli-\i (Chech. \Iꭓēla-\i). Attested only in Chech., but having good external parallels.
347|*mobꭓV-r (~ -a-)|1040|thick hempen threads||mowꭓar||    Attested only in Ing., but having probable external parallels.
348|*ħāso|1042|1 golden threads 2 woollen threads|ħāsa|ħɔsa|ħas|    Obl. stem \I*ħāsi-\i (Chech. \Iħēsa-,\i Ing. \Iħäso\i). 6th class in all languages.
349|*ʔāꭓ-ni|1043|woollen thread, yarn|ēꭓang|äꭓing|ajꭓnĭ|    Bacb. reflects the form \I*ʔāꭓ-ni\i (with an old *-ni suffix); Chech. and Ing. reflect the further suffixation \I*ʔāꭓ-ni-ḳ\i (with diminutive *-ḳ). 3d class in Chech., Ing., 5th class in Bacb.
350|*pꭓā|1044|vein|pꭓa|pꭓa|pꭓa|    Obl. stem \I*pꭓā-ni-\i (Chech. \Ipꭓēna-,\i Ing. \Ipꭓäno\i). 6th class in all languages.
351|*samV-ḳ (~ -ā-)|1045|sausage made of a large intestine|samg|||    Attested only in Chech., but having probable external parallels.
352|*māli|1047|good deed, good (relig.)|mēla|mäl||    5th class in both languages.
353|*č̣ʡōr|1049|1 skin, envelope 2 shell, peel|č̣q̇or 1|č̣or 2|č̣ar 1|    3d class in Chech., 4th class in Ing., 5th class in Bacb. Chech. and Ing. point to an obl. stem \I*č̣ʡōru-\i (Chech. \Ič̣q̇ūra-,\i Ing. \Ič̣oro\i). However, there must have existed an obl. base with Ablaut \I*č̣ʡārV-\i reflected in Bacb. as the direct base.
354|*ʔān|53|rheumatic pain, rheumatism|ān|a|ã|    Obl. base \I*ʔāne-,\i cf. Chech. \Iēna-,\i Ing. \Iano,\i Bacb. \Iani-.\i 3d class in all languages.
355|*d(ɦ)o (~-ʕ-)|1055|ear-wax|do|||    Obl. base \Ido-na-.\i Attested only in Chech., but having probable external parallels.
356|*ʔirc̣V (~ʕ,ɦ,ī,-ʒ-)|195|stubbed ground; a sown forest clearing|irzū|||    The word is attested only in Chech. (-ū is a nominal suffix), thus there may be several variants of the PN reconstruction.
357|*ʔēʁ-|1058|1 to fight, quarrel 2 to be upset|ēʁ- 1|eʁ- 1|eʁ- 2|
358|*m(ɦ)arš|1057|snot|marš|meraž||    The word is homonymous (as a result of secondary contaminations): in Chech. with \Imarš\i 'muzzle',in Ing. - with \Imeraž\i 'nose' (PN different roots: \I*marš\i and \I*marλo\i respectively). This explains the apparent irregularity of correspondences.
359|*ħett (~-ē-,-ṭṭ)|1059|herpes, eczema|ħätt|ħett||    Obl. stem \I*ħatt-ar-\i (Chech. \Iħattara-,\i Ing. \Iħattaro\i). Vowel length unknown. 4th class in Chech. and Ing.
360|*pħač̣ (~-ǯ)|1060|horse's dung|pħaž|pħaž||    Obl. base \I*pħač̣u-\i (Chech. \Ipħoža-;\i Ing. with vowel levelling \Ipħažo\i). 6th class in Chech., 5th class in Ing.
361|*m(ɦ)āq̇V (~-ʕ-)|1063|snot, mucus from the nose|mēq̇-alg|||    An expressive suffixed form (with suffixes *-il+iḳ).
362|*m(ɦ)ōq|1064|rust|mēqa|muq||    The PN paradigm should be reconstructed as \I*m(ɦ)ōq\i ( > Ing. \Imuq\i), \I*m(ɦ)āqi-\i (the former obl. stem having superseded the direct one in Chech.). 4th class in both languages.
363|*stim|1065|gall|stim|sim|sem|    Obl. base \I*stima-\i (Chech. \Istima-,\i Ing. \Isimo\i); 5th class in Chech., 6th class in Ing.
364|*mār|68|husband|mar|mar|mar|    Obl. base \I*māre-\i (Chech. \Imēra-,\i Ing. \Imaro\i). Cf. also Pharch. \Imār\i id. More used in Chech. is the derivate form \Imajra\i ( < \I*mārV-ja\i) 'husband; brave, brave man'.
365|*ħāṭq̇a|1067|urine|ħaṭq̇a||ħajṭq̇ĭ|    Vowel length determined because of Bacb. dyphthongization (a short *a would not yield -aj- in this position). Obl. base \I*ħāṭq̇u-\i (Chech. \Iħoṭq̇a-,\i Bacb. \Iħaṭq̇u-\i). 3d class in both languages.
366|*b(ɦ)eṭ (~-ē-)|107|faeces||bɛd (dial.)||    Attested only in Ing., but having probable external parallels.
367|*bʕēꭓu-|1071|dirty|bȫꭓa|bʕeꭓa||
368|*j(ɦ)olk|1074|sediment after boiling butter|jök-aš|lok||    The Chech. form is a pluralis tantum. The PN -l- must be reconstructed to account for the exceptional correlation Chech. j- : Ing. l-.
369|*ḳiḳ|1075|1 bead 2 button 3 smallpox|ḳig 3 (Pkharch)|ḳig 2,3|ḳiḳ 1|    3d class in Ing., 6th class in Bacb.
370|*c̣VwVn (~ -b-)|1078|dungwash|c̣ūn|c̣un||    3d class in Chech., 4th class in Ing. We have to suppose a contraction to account for the Chech. vowel length (old long vowels are shortened in a closed syllable).
371|*far- (~ -ā-)|1081|sheep's dung||far-ast||    The Ing. word is a compound; the second component is most probably a distorted PN \I*lust\i 'dung, sheep's dung'.
372|*q̇anṭ-al (~ -ā-)|1083|snivel, mucus from the nose||q̇andal||    Attested only in Ing., but with probable external parallels.
373|*mʕuṭe|1084|1 dirt 2 dirt (on face, body, cloth)|moda 2|mʕad 2|mujṭĭ 1|    PN paradigm \I*mʕuṭe,\i obl. \I*mʕaṭV-;\i the obl. base superseded the direct one in Chech. (where \Imoda\i < \I*mʕaṭu-\i) and Ing. 4th class in Chech., Ing., 6th class in Bacb. Cf. also Bacb. \Imuṭo-rĕ(n\i) 'dirty'.
374|*ʁarʁV (~ -ā-)|1085|crumbs of bread||ʁarʁa||    Attested only in Ing., but having probable external parallels.
375|*naṭq̇u|1091|pus|noṭq̇a|nod|noṭq̇|    In Bacb. \Inoṭq̇\i in Kadagidze's notation; Desheriyev writes \Inaṭq̇\i (which is the more expected variant). Obl. base \I*naṭq̇-ar-,\i cf. Chech. \Inaṭq̇ara-,\i Ing. \Inadq̇aro\i (showing that the loss of -q̇ in the direct base is a recent phenomenon). Note that in Bacb. the plural \Inaṭq̇-ajrĭ\i means "tears" (cf. the meaning in all other EC languages). 4th class in all languages.
376|*tuj (~ -ū-)|1092|spit, spittle|tuj|tu-g|tuj|    In Ing. - a diminutive form (\I*tu(j)-ḳ\i). It is impossible to establish vowel length. 3d class in Chech., Ing., 5th class in Bacb.
377|*dāꭓo-ni|1096|cattle|däꭓni|dɔꭓan|daꭓnĕ|    3d class in all languages.
378|*gub (~ -ū-)|1097|1 hill, barrow 2 island|gū 1|guw 1|gub 2 (Schiefner)|    6th class in Chech. and Ing. The Bacb. form is quoted from Schiefner; Kadagidze has only Bacb. \Igub\i 'pool' which is obviously borrowed from Georg. \Igube\i 'pool, pond'.
379|*ħāꭓ|1098|mountain goat|ħeꭓ|ħaʁ|ħaꭓ|    The reason for voicing -ꭓ > -ʁ in Ing. is unclear. In Chech. the vowel -e- is due to analogy with the oblique base \Iħēꭓara-\i ( < \I*ħāꭓi-ri-\i). 3d class in Chech., 6th class in all languages.
380|*ʁala|1099|doe|ʁala|ʁala||    6th class in both languages.
381|*šo|1101|mountain goat|šo|||    The Chech. word is quoted from Карасаев-Мациев 1978, thus vowel length and paradigm are unknown.
382|*ħāl-ĳ|1104|cows (pl.)|ħēlī|ħälĳ||
383|*jētt|1106|cow|jett|jett|jett|    Obl. base \I*ʕātti-,\i cf. Chech. \Iätta-,\i Ing. erg. \Iʕatto,\i Bcb. \Iatti-.\i 6th class in Chech., Ing., 4th class in Bacb.
384|*ḳornV|1108|young (of an animal), nestling|ḳorni|ḳorig||    Cf. also Chech. (Uslar) \Iḳornaj.\i The Ing. form is probably a contraction of \I*ḳornaj-iḳ\i with elision of -n-.
