NUMBER|PROTO|PRNUM|MEANING|NAKH|NAKHNUM|AAND|AANDNUM|CEZ|CEZNUM|LAK|LAKNUM|DARG|DARGNUM|LEZG|LEZGNUM|KHIN|KHINNUM|ABAD|ABADNUM|COMMENT
1076|*sˊiɫɨ̄ (~ -ä-, -ō,-ǝ̆)|1098|dung of sheep||0|*šili|561||0|š:ulū|337||0|*ʔur-s:il (~-ä-,-l:)|655||0||0|    Reconstructed for the PEC level. Correspondences are regular.
1077|*buf̲V|0|dung||0|*buš:i|562||0||0||0|*p:uλ (~-o-,-λ:ʷ)|656||0||0|    An And.-Lezg. isogloss; attested only in two languages, thus not very reliable.
1078|*c̣ĂwnV|351|dirt, dungwash; urine|*c̣VwVn (~ -b-)|370||0|*cɨmɔ|430||0||0|*c̣Vm(a)|657||0|*c̣ʷV|296|    Correspondences are quite regular, but there is not enough information to reconstruct the vocalism (we can only say that the first vowel was short and back).
1079|*mVč̣wV (~ -c̣ˊ-)|0|dirt, dung||0|*muč̣a (~ -o)|563||0||0||0|*mVč̣ʷ(a) / *č̣ʷVm(a)|658||0||0|    An And.-Lezg. isogloss; satisfactory both phonetically and semantically.
1080|*=ilq̲̇wVn|0|to stick into; to sew||0|*=iq̇:ʷ(Vn)/*q̇:(ʷ)in-|564|*=a˜qʷ-|431||0||0|*ʔi(l)q̇ʷVn-|1040||0|*q̇ˊʷǝ (~qˊ:ʷǝ-)|716|    It may be hard to separate PL \I*wilq̇ʷina\i 'knitting needle' from PC \I*biq̇ʷVna\i and PA \I*biḳ:ʷVn\i id.: the explanation lies in a merger of two phonetically close EC roots - \I*=ilq̲̇wVn\i 'to sew' and \I*=iḳ̲wVn\i 'to spin, to knit' q. v. The common EC derivate \I*wiḳ̲wVnV\i (which should have given \I*wiḳʷVn(a)\i in PL) merged with PL \I*wilq̇ʷina\i (a derivate from the root \I*=ilq̲̇wVn\i). The EC-WC comparison see in Абдоков 1983, 162.
1081|*λ̲wirdɨ|765|manure; pus|*far- (~ -ā-)|371|*xʷVrdV|565|*λ:ar|432||0||0|*λ:ʷirt:|659||0||0|    Reconstructed for the PEC level. Correspondences are regular, except for the PTs vowel (\I*λɨr\i would be expected): this is most probably explained by the influence of semantically close PTs \I*sar\i 'faeces' and \I*tar\i 'dung'.
1082|*Hrĕmk̲wɨ̆ (~ -ĭ)|328|manure, faeces; dust||0|*rVk(ʷ)V|566|*rɔkʷe B|433||0|*dekʷ|322|*ruk:|660||0||0|    Reconstructed for the PEC level. We have reconstructed the structure \I*Hrĕmk̲wɨ̆,\i taking into account the relic nasalisation in Gunz.; if it is secondary, a reconstruction \I*rHĕk̲wɨ̆\i is also possible.     An obvious EC loan is Osset. \Iryg\i 'dust' (see Abayev 1973, 444; the suggested Indo-Iranian etymology of the Osset. word is absolutely unsecure).
1083|*q̲HōmVṭV|0|snivel, snot|*q̇anṭ-al (~ -ā-)|372|*χ:inṭV|567|*χ:ɨdɔ (~ ʁ-)|434||0|*qIʷat-ni|323|*qIomoṭ|661|χɨnṭ|133||0|    Reconstructed for the PEC level. An expressive root with several irregularities: the most severe one is PA *χ:- instead of expected *q:-. Other irregularities are mostly assimilations (in PN: *q̇- < *q- before *ṭ; in PD: *-t < *ṭ after *q-) or dissimilations (in PTs, where -ṭ- would be expected). All this is rather usual in a root with two stops (especially in an expressive one).
1084|*mʕV̆ṭV|0|dirt|*mʕuṭe|373|*maṭa (~ o)|568||0||0||0||0|mɨṭɨr|134||0|    Reconstructed for the PEC level. There is not enough evidence to make a secure reconstruction of vowels, but the root seems generally reliable.
1085|*GHɨ̆lG̲i (~ -e)|221|dirt, dung, faeces|*ʁarʁV (~ -ā-)|374|*q̇:a(n)q̇:ara (~ o)|569||0|q̇aIrq̇i|339|*q:ulq:i|324|*q:I[ɨ]lq:I-|662||0||0|    An expressive reduplicated root; but the correspondences are regular, and it may be safely reconstructed for PEC.
1086|*q̇ä̆rē|766|earth; dirt|*ʔā-q̇arV|815|*q̇VrV|1321||0|q̇iri|844|*raq̇I-|325|*q̇ära|663||0|*q̇ˊǝ|297|    The Darg. form is metathesized (and it is a recent metathesis, because old *r- > Darg. d-); otherwise correspondences are regular, and it seems safe to reconstruct the root for PNC.
1087|*q̇ā(w)q̇ā|305|dirt||0|*q̇aq̇a / *q̇ʷaq̇ʷa|570|*q̇ɨq̇V (~ -i-, - ˜-)|435||0||0|*q̇aq̇|664||0||0|    An expressive reduplicated root, partially contaminating with \I*GHɨ̆lG̲i\i q.v. Correspondences are regular, and the root should be reconstructed for PEC.
1088|*ǯ̲wä̆ṭV|0|dung, excrements||0|*č̣:ʷiṭi (~ *c̣:-)|571|*žinṭu (~ ž:-,-ɨ-)|436||0||0|*č:ʷäṭ(a) (~ -a-)|665||0||0|    Reconstructed for the PEC level. Some irregularities (weakening or deglottalisation of the first consonant) are conditioned by the root's structure (two stops) and expressive semantics.
1089|*gHănṭV|0|stack||0||0|*gɔṭV (~-o-,- ˜-)|437|č:anṭu|340||0|*k:aInṭij|666||0||0|    Reconstructed for the PEC level. Correspondences are regular.
1090|*ʁwerV|0|dung, excrements||0|*ʁʷara (~ o)|572||0||0|*duʁu|326|*ʁ(ʷ)er- / *reʁ(ʷ)|667||0||0|    Reconstructed for the PEC level. An expressive root with some violations of phonetic rules; in Darg. a metathesis (\Iduʁu\i < \I*ruʁu\i < \I*ʁʷVru\i).
1091|*nĕwq̇ŭ|162|tear; pus|*naṭq̇u|375|*moq̇o|573|*mɔq̇u A|438|maq̇|341|*nerʁʷ|327|*näwq:|668||0||0|    Reconstructed for the PEC level. The PN form \I*naṭq̇u\i probably reflects an original plural form (\I*naṭq̇u\i < \I*na(w)q̇-ṭu\i < \I*nĕwq̇-dV\i). In PL and Darg. there occurred (for expressive reasons or due to a rare cluster *wq̇ ? ) a strengthening of the word: they reflect a variant \I*nĕwq̲̇ŭ.\i The medial -r- in PD is obviously secondary, probably having penetrated there from an original plural form in *-r, being later substituted in PD by the *-bi-plural.     The old Ablaut \I*nĕwq̇ŭ\i / \I*nĭwq̇V̆-\i in this root has remained only in PGB (where the obl. base \I*mɨq̇a-\i < \I*nĭwq̇V̆-\i). Obl. bases like Arch. \Inibqi-\i or Tab. \Iniwq:u-\i in this case are ambiguous (in Arch. - because of the neutralisation of vowels in the first accentless syllable, in Tab. - because of the merger of *ä and *i).
1092|*twǝjV|767|spit, spittle|*tuj (~ -ū-)|376|*tʷo-, *tʷojV|574|*tʷi-|439||0|*tu|328|*tuj / *tutuj|669||0||0|    An expressive, but common EC root with quite regular correspondences. A reduplicated variant ( > PA \I*tʷotʷo,\i PL \I*tutuj\i) can also be reconstructed.
1093|*rHoxV|0|liquid secretion||0|*raλa (~ o, -ƛ-)|575||0|šaIra|342||0|*roIλ(ʷ)|670||0||0|    Reconstructed for the PEC level. The root is not widely spread, but phonetically and semantically reliable.
1094|*s̲HwinṭV|768|snuff, smell; snot||0|*s:ʷinṭV|576||0||0||0|*s:ʷiInṭ|672||0||0|    The word was widely borrowed from Av. into other languages of Daghestan - probably because in Av. it came to mean 'snuff' (an object of busy trade). However, in Av. and PL the forms are probably genuine (because of phonetic and semantic differences). It is possible that *-ṭV is originally a suffix here (see notes on the Av. form); in that case we can compare Hurr. \Išūnǝ\i 'breath, soul, self' (see Diakonoff-Starostin 1986, 32). [Cf. also Georg. \Ic̣winṭli\i 'snot' > Bacb. \Isinṭr\i id.?].
1095|*χ̲[ǝ]rV (~ *-l-)|0|ewe, ram||0|*χorV / *riχo|577|*ʁo(r)|441||0||0||0||0||0|    An Av.-And.-Tsez. isogloss. The PTs form contains a rare phoneme *ʁ- which in this case must be just a variant of PTs *χ (*ʁ- is reconstructed on basis of PTsKh \I*-ʁu\i present only in the compound \I*biƛ̣-ʁu;\i we may think of a secondary voicing in this position). There exists a chance of finding a Lezghian cognate: PL \I*χIap:,\i obl. \I*χIop:ɨ-,\i pl. \I*χIop:-Vr\i 'sheep, sheep-flock' (collect.). This would be possible if we suppose a metathesis \I*χIop:Vr\i < \I*χIor-p:V\i in early PL, with a reanalysis of the original plural suffix *-p:(V) as a part of the root.
1096|*rV̄xwV (~-x̲-)|422|cattle|*dāχo-ni|377|*rVxʷV|578||0||0||0||0||0|*raxʷǝ|299|    Correspondences are regular (although there are not enough data to make a precise reconstruction of vocalism).
1097|*gwǝ̄ṗV|769|group, heap|*gub (~ -ū-)|378||0|*guṗ|442||0||0|*ḳaṗal|674||0|*k:ʷǝpǝ|300|    Except secondary assimilations (typical for roots with two stops; PN \I*gub\i < \I*guṗ;\i PL \I*ḳaṗ-al\i < \I*k:aṗ-al\i) correspondences are quite regular. The comparison is quite satisfactory both phonetically and semantically.
1098|*ɦānx̲V (~ *ʕ-)|0|mountain goat; ram|*ħāχ|379|*ʔanλ:V|579|*ʔa˜λ:e|443||0||0||0||0||0|    Reconstructed for the PEC level. Correspondences are regular - except that we would rather expect *ǝ˜ or *i˜, not *a˜ in PTs (since PN has a long vowel here). Thus it is not excluded that the PTs form was borrowed from early PA.
1099|*Gwăɫā|966|doe, hornless goat|*ʁala|380|*ʁʷalV (~ -o-)|580|*ʁ:ʷel (~ -r)|444||0||0||0||0||0|    Reconstructed for the PEC level. Correspondences are regular.
1100|*čwĕnʔV (~ -ɦ-)|0|game, wild animal||0|*čonHi|581||0||0|*čʷeja|329||0||0|*čˊʷa / *ǯˊʷa|301|    Except for the secondary voicing in Ub., correspondences are quite regular, and the listed forms certainly go back to a common NC source.
1101|*šwĕmhV|1166|young goat or sheep|*šo (~-ō)|381|*ʔi-šomu|582|*š(:)ɔme (~ ž-)|445||0|*šam|330||0||0||0|    Reconstructed for the PEC level. The root may have denoted both a young wild or domestic goat/sheep.
1102|*q̇ōmkā|0|calf||0|*q̇inko|583||0|q̇unča|345|*q̇a(m)qa|331|*q̇o(m)ka|675||0||0|    Reconstructed for the PEC level. Correspondences are regular.
1103|*qHwōnV|0|hornless animal||0||0|*ʁ:ʷ[ǝ]nV|446||0||0|*χIon|676||0||0|    A Tsez-Lezg. isogloss. Phonetically quite plausible, but acceptable only if we suppose a PL semantic development "hornless animal" > "hornless (young) cow, calf" > "cow".
1104|*χHwōlV (~ *χwōlhV)|0|cattle, cows|*ħāl-ij|382||0|*ʁ:ʷǝrɔ|447||0||0||0||0||0|    A Nakh-Tsez. isogloss; both phonetically and semantically quite satisfactory.
1105|*q̇ɦwĕɫV̄ (~ *q̇wĕɫɦV̄)|0|large fem.domestic animal(cow,mare)||0|*q̇(ʷ)VlV|585||0|uIl|346|*q̇Iʷal|332||0||0||0|    Reconstructed for the PEC level. Since there are only Av., Lak. and Darg. reflexes, we can also reconstruct *-ɨ̆-, -ŏ- or -ä- in Inlaut.
1106|*jǝ̄mcō|59|bull, ox|*jētt|383|*ʔumco|586|*ʔo˜s: B|448|nic|347|*ʔunc|333|*jamc|677|lac|137|*c:ʷǝ|302|    One of the most common and widely accepted NC roots. See Trombetti 1923, Trubetzkoy 1930, 276, Яковлев 1941, Балкаров 1969, Шагиров 1977, Abdokov 1983.  Correspondences  are  fully regular (except only the initial l- in Khin., which has  probably appeared under the influence of \Ilix\i 'ox' and \Iläq\i 'calf'). We must note,  however,  that the usual Nakh material compared with this root is not PN \I*jētt\i 'cow', but PN \I*psṭu\i 'ox, bull' which can not be related to this root  phonetically (the reduction of the syllable *jǝ̄- can not be explained in any way) and goes back to another PNC root (\I*cˊwijo\i 'man, male' q.v.). On the other hand, PN  \I*jētt\i  is  a perfect phonetic match for \I*jǝ̄mcō\i (if we take into account the absolute regularity of the phonetic process *-mC- > *-tt- in PN).     The comparison of this root with PK \I*wacˊ-\i 'ram' (Климов 1965) is not very persuasive for semantic reasons. Perhaps, some traces of this root in Kartvelian (as a loanword, possibly from Tsez. languages) may be seen in Georg. dial. \Iaš,\i \Iiš,\i \Iišo\i 'addressing an ox, bull', \Iišia\i 'bull-calf'(a term of endearment) (see Kavtaradze 1972).
1107|*ŁürdV|0|a k. of horned animal||0|*ƛidir (?)|588|*L:ed A|449|gada|348|*gada|334|*ƛ:ert:(a)|678||0||0|    Reconstructed for the PEC level. Correspondences are normal (although the vowel *-ü-, as usual, raises some doubts), although PA has a quite unexpected *ƛ- (regularly *l- would be expected). This may be a dissimilation in voice; or, perhaps, other languages have undergone a secondary voicing *ƛ- > *Ł- before the next voiced *-d- - in this case we should reconstruct PEC *ƛürdV. [The Darg. and Lak. words for 'kid' should not be confused with a widely spread word for 'boy' in Lezghian languages - Lezg. \Igada,\i Tsakh. \Igade\i etc. - which is a loan from Azer. \Igädä\i 'boy; beggar' < Pers.].
1108|*ḳwărnV|770|young (of an animal)|*ḳornV|384|*ḳʷanHi (~-o-)|587|*q̇ʷenu A|450||0||0|*ḳʷarV|679|ḳuza|138||0|    Reconstructed for the PEC level. The root contains a rare cluster of two resonants (it is not excluded that *-nV here is an old suffix). The uvular reflex in PTs (*q̇ʷ-) must be explained by PTs pharyngealization (although its source is not quite clear). All other correspondences are regular, and the root seems quite reliable.     If we assume that *-nV is a suffix here, the root \I*ḳwărV\i could be linked with another Av.-And. derivate, \I*ḳʷVr-tV\i 'young donkey' (Av. \Iḳert,\i Chad. \Iḳert,\i Cham. Gig. \Iḳorti,\i Bagv. Tlo. \Iḳortu;\i Av. > Arch. \IḳeIrt,\i Bezht. \Iḳerṭ,\i Gunz. \Iḳert\i).
1109|*wHilcˊV|0|calf||0|*milča|589|*bi˜š:e A|451|baIrč|349||0|*wilč(a)|680||0||0|    Reconstructed for the PEC level. Correspondences are regular.
1110|*χ̲ōlʔV (~ -ʡ-)|771|male (animal or human)||0|*χ:irHV|590|*χ:ɔr A (~-l)|452||0||0|*χ:Iol|681||0|*χʷǝ|303|    The comparison is quite plausible phonetically and semantically. The only problem is the vowel -o- in PTsKh ( < PTs *-ɔ-); however, the word is attested only in Khvarsh. and Inkh., and thus a reconstruction of PTs *ɨ or *ǝ is also not absolutely excluded (a regular reflex would be PTs \I*χ:ɨr\i).     See Abdokov 1983, 123.
1111|*qHarč̣V|0|heifer, calf||0|*ʁadVč̣a|591||0|quIrč̣u|350||0|*χIVrč̣-|682||0|*č(ǝ)q̇a|304|   In PA *ʁ- is a result of assimilation (\I*ʁadač̣a\i < \I*qadač̣a\i). The root should be distinguished from a similar \I*GačV\i q.v. (because in Lak. there exists an opposition \Iq:aIča\i - \IquIrč̣u\i).     The EC-WC comparison is acceptable if we assume a metathesis in one of the subgroups - which is a rather usual phenomenon in NC roots (especially those containing two stops).     Other etymologies of the WC form (comparison with Georg. \Ideḳeuli\i 'heifer' in Rogava 1958 or with Tat. \Iičke\i 'goat' in Shagirov 2) seem to us less acceptable, both for phonetic and semantic reasons.
1112|*GačV (~ -ǝ-)|0|calf, bull-calf||0||0||0|q:aIča|351|*q:ača|335||0|q:ič:-ež|139||0|    Reconstructed for the PEC level. The root is mostly spread in the Eastern area. In some of the Darg. dialects and in Khin. there occurred an assimilation č > č: after q:.
1113|*Hc̣ˊwɨ̄lV̄ / *Hlɨ̄c̣ˊwV̄|1032|heifer|*ʕāsse|385|*č̣ora|592||0||0||0|*luč̣a|683||0||0|    Reconstructed for the PEC level. Except for the metathesis (usual for the HCVCV structure) correspondences are regular.
1114|*c̣̲ü̆hnV̄|0|goat|*c̣in (~ -ī-)|386|*c̣:inHV, *c̣:inHa-ƛ:u|594|*can|453||0||0|*c̣eh|684|c̣o-l|142|*zˊʷǝ|306|    The original meaning of the root may have been 'young goat', 'kid' (preserved in PWC; shifted to 'young small cattle' > 'young sheep' in PN; shifted to 'goat in general' in the majority of EC languages). Phonetic correspondences are regular.     This root is not preserved in Lak, being superseded by \Ic̣uku\i < PEC \I*ʒĭkV̆\i 'kid'. It is interesting to note, however, that in the Khosr. dialect the plural form from \Ic̣uku\i is \Ic̣u-rt:u,\i where the root \I*c̣̲ü̆hnV̄\i may be preserved (as \Ic̣u-\i); the lit. Lak has already a new form \Ic̣uk-ri.\i         There is some evidence pointing to a PEC oblique stem \I*c̣̲ü̆hnV̄-rV-\i (cf. Akhv. \Ic̣:ir(i\i), PL \I*c̣eh-rV-,\i perhaps also Lak. \Ic̣u-r-\i in the plur. Khosr. \Ic̣u-r-t:u\i).     Abdokov (1983, 118) compares the WC root with PEC \I*ƛ̣̲äɦɫǝ̄\i 'lamb', which is  impossible for phonetic reasons. The same author (1983, 124) compares the EC  forms with Kab. \Ic̣āqʷa\i 'antelope' (which he explains as a compound: \Ic̣a\i + \Iqʷa\i  'goat' + 'pig'). We were unable to find this exact form in dictionaries; only  in Nogma 217 there is a word ц̂ак"h [ = /c̣āq:a/] 'a k. of antelope, джейран',  which is interesting (see Turchaninov's notes ibid., as well as Abayev 1979,  58-59 on Osset. \Isäʁ\i 'goat' = Old Ind. \Ichāga-,\i IE \I*sk'ago-\i), but isolated and  has obviously nothing to do with EC \I*c̣ü̆hnV̄.\i
1115|*ʒ̲ĭkV̆ / *k̲ĭʒV̆ (~ -ä̆-)|1031|goat, kid||0|*c̣:iḳi-r / *c̣iḳi-r|595|*ciḳǝ (~ -ɨ-)|454|c̣uku|353||0||0||0|*kVc̣ǝ (~ kˊ-,-c̣ˊ-)|307|    Lak. \Ic̣uku\i is assimilated from \I*c̣iku;\i on the partial reflection in Lak. of another root, PNC \I*c̣̲ü̆hnV̄\i see above. The second consonant, which should have been reflected as *-k- in Av.-And.-Tsez. languages, became early assimilated to the reflex of initial *ʒ (*c̣: in Proto-Av.-And.-Tsez, > *c in PTs). Assimilations and metatheses are quite usual in roots of this type (containing two or more stops), thus the unity of all listed forms does not raise any doubts.
1116|*ʡējʒˊwē|1029|goat, she-goat|*ʔābst (~ɦ-,-ṭ)|387||0||0||0|*ʕeč:a|337||0||0|*ačˊ:ʷa|308|    The comparison seems quite plausible both phonetically and semantically. Medial *-j- is postulated to account for the development *-ʒˊ- > *-st- in PN, while *-w- is reflected as *-b- in PN and as labialisation in PWC.
1117|*cˊ̲īmV|0|young goat, goat||0|*č:imV|596||0||0||0||0||0|*pčˊ:VmV / *pčˊ:VnV|309|    The EC-WC comparison is quite plausible phonetically and semantically; its only drawback is the root's very sparse representation in the EC area. See Abdokov 1983, 116 (Av. : WC, with admixture of many unrelated forms). However, all  other etymologies of the WC material (comparison with Cham. \Ičala\i 'goat' [Rogava 1956, 75], with PEC \I*c̣̲ü̆hnV̄\i 'goat' [Balkarov 1964, 97-98],  with Iranian  (Avest.  \Ibūza-,\i Pers. \Ibuz\i 'he-goat') [Shagirov 1, 85]) are  improbable for phonetic reasons.
1118|*q̇HŏcV|0|kid, hornless goat||0||0|*q̇ɔs:V|455||0|*q̇Iaca|338|*χ:Iac̣|685||0||0|    Reconstructed for the PEC level. The PL root must belong here, but with a very specific metathesis (of friction): \I*χ:Iac̣\i < \I**q̇Ias\i (which would be the normally expected PL form).
1119|*dVrq̇wV|772|he-goat||0|*dVq̇(ʷ)V-n|597|*ṭɨq̇ʷV A|456||0||0||0||0||0|    This root is probably reflected also in HU: Hurr. \Itaɣǝ\i 'man, male' (see Diakonoff-Starostin 1986, 26). There is not enough information to reconstruct the vocalism. *-r- is obligatory in the reconstruction to account for the preservation of uvular *-q̇ʷ- ( > Av. -ʕ-) in Inlaut; without a previous liquid *-q̇ʷ- regularly yields -ḳ-.
1120|*ṭūgV̄|1035|he-goat||0|*ṭuka|598|*ṭig̥1̇a|457||0||0||0||0|*t:ak:a- ( ~ -kˊ:-)|704|    Correspondences are regular, and the etymology seems quite reliable. See  Abdokov 1983, 117 (EC : Kab.).     One feels tempted to compare this root with PEC \I*dHogwV\i 'donkey, ass'  (q.v.), spread in the Lak-Darg-Lezg. area (all the forms could be united  under a single protoform \I*ṭHōgwV,\i assuming some metatheses and possibly interdialectal loans); however, there still remain semantic and phonetic difficulties, and the question is still open.
1121|*wVdVrV|0|child, young one|*bader (~-ā-)|388||0|*bɨdurV (~-id-,-lV)|458||0||0|*wot:ura (~-o-)|687||0||0|    Reconstructed for the PEC level. Correspondences are regular, but there is not enough data to reconstruct vowels (the PN and Tsez vowels can go back to a variety of protoforms, and the Lezg. data in this case are not reliable, because in a long word like this vocalic assimilations were possible in the first syllable).     The word is probably an old (common EC) Indo-Iranian loan (IE \I*u̲etero-\i 'a one-year old animal', see Starostin 1988, 113).
1122|*b[a]c̣V|1030|kid, young goat||0||0||0|buχca|355||0|*p:ac̣-|98|bac̣ɨz|143||0|    The root is not widely spread and not very reliable; the Lak. form may belong here if \Ibuχca\i < \I*bVc̣-χV\i (although the component or suffix -χV is not clear).
1123|*farnē|665|horse, mare||0|*xʷVnV|600|*χar-am (?)|459||0||0|*χʷar(a)|689||0|*xʷara (~ f-)|312|    The etymology seems satisfactory both phonetically and semantically. The root must have denoted a good horse, mare ('thoroughbred' in WC).
1124|*gwāʒˊē|234|mare; donkey||0||0|*šɨgʷǝ (~ š:-,-i-)|460||0|*k:ʷac:a|341||0||0|*k:ʷǝčˊ:ǝ /*čˊ:ǝk:ʷǝ|313|    A probable common NC etymon, denoting some domestic equid. (Trubetzkoy's  comparison - see Trubetzkoy 1930, 277 - of EC forms with PAK \I*bzǝ\i 'female'  should be rejected for phonetic reasons).
1125|*gwä̆lV (~ -ɫ-)|0|horse|*gile|389||0|*gurV (~-o-,-L-)|461||0||0||0||0||0|    A Nakh-Tsez isogloss; borrowing is excluded (for phonetic reasons), thus the PEC reconstruction is probable. We must note also the existence in PN of another similar root: Chech., Ing. \Igowr\i 'horse'. This could be a loan from PTs \I*gurV,\i and thus an etymologic doublet with PN \I*gile.\i
1126|*ʡwerV|0|look, sight|*bʡar|390|*ħarV (~ -o-)|601||0|=uru-gʷa-|358|*ħer|342|*ʔwVr-|890||0||0|    Cf. also Hurr. \Ifūr-\i ( < HU \I*wūr-\i) 'to look, see', see Diakonoff-Starostin 1986, 64. An archaic root; not widely represented, probably because in most languages it merged with \I*ʡwĭlʔi\i 'eye'.
1127|*ʔǟlGi (~ -e)|0|side; hip|*ʔāʁo-b|391||0|*ʔɔʁ: (~-ɔ˜-,-ʁ)|392||0|*ʔelq:i|233||0||0||0|    Reconstructed for the PEC level. Correspondences are regular.
1128|*ɦimV|0|ass, donkey||0|*hamV|602|*ʕɔm(V)-q̇V|462||0|*Hemχa|344|*ʡimala / *ʡilama|690||0||0|    The pure root is reflected only in Av. and some Andian languages. All other languages reflect either a derivate (with a productive suffix *-lV), or some old compounds with unclear second components (PC *-q̇V, PA *-(ro)χi, PD *-χa). Correspondences of the first part are quite regular (note the specific development *ha- in PA and *ʕɔ- in PC - reflecting a secondary labialisation \I*ɦʷimV-\i < \I*ɦimV-\i), and it seems worth reconstructing for PEC.         We must note the resemblance of PEC \I*ɦimV\i with Semitic (cf., e.g., Arab. \Iħimār\i 'ass, donkey'). The Arabic form was probably directly borrowed only in one language (cf. Kar. Tok. \Iħamar\i which stands apart from all other Andian forms), but it may be an old Wanderwort common to both East Caucasian and Semitic languages.
1129|*dHogwā (~ -ǝ̆)|0|donkey, ass||0||0||0|t:uk:u|359|*t:aIk:ʷa|345|*dagij (~ t:-)|691||0||0|    The root is specific for Eastern Dagestan; see notes to PEC \I*ṭūgV.\i (Its remnant in the Western area may be a very aberrant phonetically And. \Itoḳiš:i\i "young donkey"\I\i).
1130|*ɦVlč̣V (~-c̣ˊ-)|0|child, young one||0||0|*ʔi˜č̣e-r|463|uIrč̣|360||0||0||0||0|    A Tsez-Lak. isogloss, thus there is not enough information to reconstruct the PEC vocalism.
1131|*sˊ̲änV[k]wV|0|young (of animals)||0|*s:inkʷV|603||0||0|*ḳamš:a|346|*š(:)änV[ḳ]ʷ-|692|šunḳor|145||0|    An expressive root with metatheses (PD \I*ḳamš:a\i < \I*š:amḳa\i) and irregular changes; quality of the medial velar consonant is hard to establish.    Although very distorted, the root may belong to the set of early Indo-Iranian loanwords in EC: cf. Osset. \Isänɨkk\i 'kid' < Indo-Iran. *sčanika-, cf. Bel. \Išanikh,\i \Išinik\i 'kid', Yagn. \Isanča\i etc.  (see Abayev 1979, 71-72).
1132|*q̇Hwanč̣̲V|0|young (of donkey)||0|*[q̇ʷ]anč̣:al|604|*ḳ[ǝ˜]č̣V|464||0||0|*q̇Iʷanč̣:|693||0||0|    Reconstructed for the PEC level. In spite of various irregular changes (typical for an expressive root with two stops), the initial phonetic shape can be more or less securely rebuilt (semantically there are no problems). Initial velar in PTs may be explained by the influence of another root (reflected in Inkh. as \Iḳuč̣e\i 'puppy'); a possible explanation of the velar in some Andian languages see above.
1133|*kăwčǝ̄ (~ -ǝ-)|0|bitch||0|*kučV|606|*kača|465|kuča|362|*kuč|348|*kač|694|kač|146||0|    The word is very similar in different subbranches, and some interlingual borrowings may have had happened (some of the certain borrowings were mentioned above). It is not excluded, that the Av. dialectal forms are borrowed from Lak., and that the Khin. form is borrowed from the Shakhdagh languages. However, the Tsezian and Lezghian forms can not be borrowed from any external source.     The root is close phonetically and semantically (and thus reveals a tendency to contaminate) with PEC \I*gwăǯē\i 'dog, bitch'. However, they are opposed in several languages and must be kept apart.
1134|*čǝrbV / *bǝrčV (~ cˊ)|139|a k. of dog||0|*čiba (~ -o)|607||0||0||0|*p:arč-|695||0||0|    Except for the metathesis in Tab. (which is not an unfrequent phenomenon), correspondences are quite regular. However, the Tab. form is isolated within Lezghian and quoted from Khaidakov 1973, which makes the comparison with PA much less reliable.
1135|*ḳwɨmc̣̲(w)ā|0|puppy||0|*ḳʷinc̣:i|608|*ḳucV A|466|kanc̣a|363||0|*ḳonc̣ol / *ḳorc̣ol|696||0||0|    Reconstructed for the PEC level. The root should be distinguished from a similar \I*kīc̣ɨ̄\i 'puppy' q.v. (although some contaminations are possible).
1136|*kwɨrč̣Ĕ (~ -c̣ˊ-)|177|young (of animals, birds)||0||0|*ḳuč̣V (~ -o-)|467|karč̣|364||0|*kurč̣|697||0|*kʷǝč̣ˊǝ|316|    The comparison is quite plausible both phonetically and semantically. In Inkh. the initial ḳ- is a result of assimilation ( < *k-), as is clearly seen from other evidence (the same process happened in Ud. and Abkh.).
1137|*gǟtu(jV) / *gǟṭu(jV)|0|cat|*ḳōṭi|393|*gitu / *gidu|610|*ḳiṭu|468|č:itu|365|*k:ata|349|*k:ätuj (/-a-,-ij)|698||0|*kˊ:atˊǝ(wǝ) /-ṭ-|318|    Phonetic analysis of the reflexes shows that both EC and WC languages reflect two initial variants (with voiceless *-t- and with glottalized *-ṭ-), and it is hard to decide which is the original one. All other correspondences are surprisingly regular (if we separate all the secondary interlingual borrowings).     The etymon is, of course a Wanderwort (cf. Kartv. \I*ḳaṭu,\i late Latin \Icattus,\i Slav. \I*kotъ\i, Osset. \Igädɨ\i, see Abayev 1958, 510, etc.). Klimov (1967, 380-381) tried to explain its presence in the Caucasian languages as a loan from Armenian; but the word no doubt existed already at least in PWC and in sub-protolanguages like PL and PA which makes this theory impossible.     Even if the word is borrowed from some external source, the borrowing occurred so early that we think it justified to include the word into the common NC wordstock.
1138|*mHarGVwV|773|tom-cat||0||0|*maʁ:ur- (~-χ-)|469|q:urmaw|366||0|*marq:Iaw|699||0||0|    An expressive root, liable to metatheses and irregular transformation. Seems, however, to be genuine. (In a funny way, Musayev lists a Darg. word from the Muir. dialect: \Iq̇urmaIw\i 'mouse' (sic!)).
1139|*ʕwĕnVq̇wē|0|hen||0|*HinḳʷV|611||0|aInaḳi|367|*ʕarq̇Iʷa|350||0||0||0|    Reconstructed for the PEC level. The original form was trisyllabic (as is clearly seen from Lak. and Av. dialectal evidence). The medial vowel was lost in Akhv. and in PD (where *-n- regularly > -r- in a cluster with uvular).
