NUMBER|PROTO|PRNUM|MEANING|AVA|AVC|AND|AKV|CHM|TND|KRT|BTL|BGV|GDB|COMMENT
787|*ƛ̣:iru|1348|bridge|ƛ̣:o|ƛ̣o|ƛ̣:iru|ƛ̣:ira|ƛ̣:ē|ƛ̣:eru|ƛ̣:eru|ƛ̣:iri|ƛ̣:er|ƛ̣:iru|    Akhv. paradigm B~C (gen. \Iƛ̣:o-dúl;\i but Chad. A: \Iƛ̣ó-dul,\i \Iƛ̣ója-l\i). Cf. also Cham. Gig. \Iƛ̣:iru.\i
788|*q̇:unHV|1350|eye-lid||||q̇:ũ / q̇:uni (Ratl.)|||||||    Attested only in Akhv., but having possible external parallels.
789|*q̇:ʷindV|1356|wall|q̇:ed|q̇e|q̇:en|q̇:ẽda|q̇:unna|q̇:ena|q̇:ĩ|q̇:inda|q̇:in|q̇:ũji|    Av. paradigm C (\Iq̇:adá-l,\i \Iq̇:áda-l\i). Cf. also Akhv. Tlan., Ratl. \Iq̇:enda,\i Tseg. \Iq̇:inda,\i Cham. Gig. \Iq̇:unna,\i God. Zib. \Iq̇:ʷãji,\i Kar. Tok. \Iq̇:in.\i
790|*hanq̇:ʷV|1354|1 house 2 dug-out, hut|ruq̇: 1|roq̇ 1|haq̇:u 1||hãq̇:ʷ 1|haq̇:ʷa 2||hanq̇:u||hanq̇:u|    Av. paradigm B (loc. \Iruq̇:ó-b,\i pl. \Iruq̇:-zál;\i Chad. \Iroq̇ó-l,\i ruq̇-žál). Cf. also Cham. Gig. \Ihanq̇:u\i 'house', \Ihanq̇:a-za\i '(house) floor'. Tind. > Inkh. \Ihãq̇ʷa\i 'hut, dug-out'. Note that for Proto-Av.-And. we should reconstruct \I*hranq̇:ʷa\i with a *hr-cluster (cf. the same type of development in \I*himc̣:u\i (\I**hrimc̣:u\i) q.v.).
791|*č̣ʷV-|1357|1 to go to ruin 2 to scatter about|č̣ú-nt- 1||||č̣e-d- 2|č̣ē- 2|||||    The Av. form has an expressive suffix. With another suffix cf. Cham. Gig. \Ič̣i-b-\i 'to throw out, scatter about'. The root is more widely spread within the derivate \I*č̣ʷa(r)-dV\i: cf. Av. \Ič̣ʷad,\i \Ič̣ʷadan,\i Chad. \Ič̣urdan,\i And. \Ič̣adil\i (Khaidakov), Akhv. \Ič̣ʷãda,\i Kar. \Ič̣ʷade,\i Anch. \Ič̣ʷare,\i Tok. \Ič̣odi\i 'ruins'. The Av. forms were borrowed in Tsez. languages: Tsez., Gin. \Ič̣ʷad,\i Gunz. \Ič̣odan,\i Bezht. Tlad., Khosh. \Ič̣ödän.\i
792|*c̣a(ʔV) ( ~ -o-)|1358|house, household|c̣á-ra-ki||č̣a-ri-ko||||||||    Both the Av. and North. Akhv. form reflect the oblique base \Ic̣ari-\i ( ~ -o-) from a noun, preserved in Akhv. Tlan.: \Ič̣a\i 'household'; cf. also the Av. compounds \Iq̇:aji-c̣á\i 'house belongings' (\Iq̇:aji\i 'thing(s)), \Ic̣a-rʕa\i 'vessels, plates and dishes' (\Iraʕ\i 'pitcher'). The latter compound was borrowed in Cham. (Gig.) as \Ic̣araʕi,\i and in Bezht. (Khosh.) as \Ic̣araʔ\i (reflecting an earlier Av. form, without reduction).
793|*kaʔu|1359|gate|kawú|kawú|kawu|kō|kaw||kaw|||ḱawu|    Av. paradigm B (gen. Chad. \Ikawú-l\i / \Ikawú-dul,\i pl. /Uslar/ \Ikawá-bi\i). All Andian forms can be, in fact, more or less recent loanwords from Avar; a certain loanword is Tind. \Ikawu\i (with k- instead of regular ḱ-). Also borrowed from Av. are Tsezian forms: Tsez., Gin., Inkh., Gunz. \Ikawu,\i Bezht. \Ikaw\i 'gate'.
794|*riħV|1360|1 door, door-pass 2 entrance|ráhu 1|||rihi 2 (Tseg.)|jeh 1,2|riha 1|||||    Av. paradigm A (\Iráh-dul,\i \Iráha-bi\i). Cf. also Cham. Gig. \Irehi\i 'door, shed above the entrance'.
795|*holq̇:ʷV ( ~ ħ-)|1361|1 cover, lid 2 palate 3 to cover, thatch|heq̇:el 1 (Keg.)|||||haq̇:ʷ- 3||||harq̇:in 2 (Zib.)|    Cf. also Av. Unt., Shul. \Ieq̇:el,\i Andal. \Iheq̇:el/eq̇:el\i 'cover, lid' (all dialectal forms are cited from Mikailov 1959).     More widely spread is PA \I*ƛ̣olq̇:ʷV\i 'roof', which is an obvious compound \I*ƛ̣a\i 'up, above' (q.v.) + \I*holq̇:ʷV:\i cf. Av. \Iṭoq̇:ó\i (par. B: \Iṭoq̇:ó-dul,\i \Iṭoq̇:á-bi\i) 'shed', Kuyad. \Ioq̇:o\i id., Chad. \Iṭóq̇i\i 'roof'; And. (Leksika) \Iloq̇:u,\i Akhv. \Iƛ̣aq̇:o\i (Tseg. \Iṭoq̇:o,\i Tlan. \Iƛ̣oq̇:o\i) 'shed', Cham. (Leksika) aq̇:ʷa 'lid, cover', Kar. \Iƛ̣alq̇:ʷa\i (Archo. \Ialq̇:ʷa,\i Chab. \Iṭalq̇:ʷa,\i Tok. \Iaq̇:ʷa\i) 'shed', God. \Ilaq̇:ur\i 'lid, cover'. Several Tsezian forms meaning "lid, cover" (Gin. \Iƛ̣eq̇ʷi,\i Bezht. Tlad., Khosh. \Iƛ̣äq̇e,\i Gunz. \Iƛ̣oq̇e\i) are probably borrowed from Andian languages (in Bezht. there exists thus an etymological doublet: \Iƛ̣äq̇e\i 'lid, cover' - \Iƛ̣oq\i 'roof').
796|*ꭓ:inV|1362|1 jamb, door-post 2 board|ꭓ:en 1||ꭓ:in 2||||||||    Av. paradigm A or C (pl. \Iꭓ:ún-dul\i).
797|*ƛ̣anꭓʷa ( ~ o)|1366|ruins||||ƛ̣aꭓa (Ratl.)|aꭓʷa|aꭓa|||||    Cf. also Cham. Gig. \Iaꭓa,\i Akhv. Tseg. \Iṭaꭓo,\i Tlan. \Iṭanꭓa\i (Magomedbekova writes: \Itaꭓo,\i \Itanꭓa,\i which is obviously a misspelling instead of ṭ-).
798|*=iḳVn|1368|to bend|s-uḳ-|=uḳn-||=iḳun-|=eḳʷn-|=iḳ́ĩ-|=aḳan-|||=iḳĩ-|    Lit. Avar for an unclear reason has lost the -n-conjugation (still preserved in the Chad. dialect).     Cf. also Cham. Gig. \I=ač̣n-\i 'to bend' and derivates: PA \I*=iḳVn-\i 'curved, bent' (Akhv. \I=ĩḳa-da,\i Cham. \I=ič̣anna,\i Gig. \I=ač̣a-m,\i Tind. \I=iḳ́ã-b,\i Kar. Tok. \Imeḳ́a-b\i); Av. \Iboḳón,\i Chad. \Ibuḳún,\i PA \I*bi(r)ḳun\i 'corner' (And. \Ibiḳun,\i Akhv. \Imeḳu,\i Tlan. \Iberḳen,\i Ratl. \Iberḳʷen,\i Cham. \Ibeḳũ,\i Kar. \Ibuḳun,\i Tok. \Iboḳun,\i God. \Ibiḳun\i). Av. \Iboḳon\i > Cham. Gig. \Iboḳon,\i Gunz. \Iboḳon\i 'corner'; Av. \Isuḳ-\i 'to bend' > Tind. \Isuḳ-ĳ-,\i Kar. \Isuḳ-\i id.
799|*biƛ̣a ( ~ -o)|1369|1 corner 2 edge, tip||||baƛ̣a 2|bela 1|bela 1|||||    Cf. also Cham. Gig. \Ibela\i id.
800|*c̣:umV-|1370|sharp, pointed|||||ṣũḳu-b||c̣:umo-b||||    The root is also used as verbal: \Ic̣:um-aλa\i 'to sharpen'. The Cham. form contains a suffix and goes back to \I*c̣:um-ḳV-.\i
801|*c̣inHu|1523|1 arrow 2 bow|||c̣iwu 2|č̣ĩwo / č̣ĩho 1|c̣ĩw 1|c̣ĩhu 1|c̣ĳun (Tok.) 1||c̣i (Leksika) 1||    The word for 'fork' in some Andian languages is derived from the same root: \I*c̣inHu-b\i or \I*c̣inHu-r\i > \I*c̣imHu-r\i ("arrow-like"): cf. Tind. \Ic̣inob,\i Akhv. \Ič̣ume\i (Tseg., Tlan. \Ič̣umer,\i Ratl. \Ič̣umeri\i), And. \Ic̣umur\i 'fork'.
802|*muc̣:V ( ~ *mVc̣:ʷV)|695|top (of mountain, head)|||||muṣ||||||    Attested only in Cham., but having probable external parallels.
803|*c̣:ibir|1372|edge||||c̣:ebe|||c̣:iber (Anch.)||||    Cf. also Akhv. Ratl. \Ic̣:eber\i 'edge', Kar. Tok. \Ic̣:ebir\i 'piece of bread'.
804|*ʔa(n)q:V|1373|hearth, fireplace|||aq:i|ãq:elo (Tseg.)|aq:u (Gig.)|aq:u|aq:u|||aq:u|    The Akhv. form is a former locative ("in the fireplace", cf. God. \Iaq:u-la\i id.).
805|*bV(r)ḳʷo-lV /-nV|1375|1 stairs 2 ladder|||barḳʷol 1||beḳʷana 1,2|beḳʷana 1|||||    Cf. also Cham. Gig. (Bok.) \Ibeḳʷana\i 'funeral stretcher', (MSU) 'wooden ladder'.
806|*č̣iḳ(ʷ)a|1377|stairs|||||č̣eḳa||||||    Attested only in Cham., but having probable Lezghian parallels.
807|*hinc̣:u|1379|door|nuc̣:á|nuc̣á|hinc̣:u|ĩc̣:o|hĩṣʷ|hinc:u|hinc̣:u|hinc̣:u|hũc̣:|hinc:u|    Av. paradigm B (\Inuc̣:í-l,\i \Inuc̣:-bí\i). Metathesis (\Inuc̣:a\i < \I*ʔunc̣:a\i) is regular in Avar.
808|*miƛ̣:V|1380|1 door hinge 2 door|neƛ̣: 1|||||||||miƛ̣:al 2 (Leksika)|    Av. paradigm C or A (pl. \Inúƛ̣:-dul\i).
809|*č̣iḳ:ʷV-|312|small, short (in height)|||||č̣iḳ:u-b||||||    Attested only in Cham., but having possible external parallels.
810|*riḳV|783|1 key 2 lock|||reḳul 1,2|riḳa-ƛ:i 1,2|jiḳul 1,2|riḳ́a 1|reḳul 1|reḳul|reḳul|reḳul|    Cf. also Akhv. Ratl. \Iriḳan-ƛ:i,\i Cham. Gig. \Irič̣an,\i Kar. Arch. \Ireḳun.\i All Andian languages (except Tindi) reflect either a form with an *-n-suffix, or a compound \I*riḳV-ḳul\i (with contraction); for its second part cf. Av. \Iḳul\i 'key' (q.v.). Tind. > Inkh. \Iriḳa\i 'key'.
811|*giliwkV|1383|balance||||||||||gilewka|    Isolated in God., but having probable external parallels.
812|*ḳulV|1385|1 key 2 lock|ḳul 1|ḳoló 1|||||ḳula-laꭓa 2||||    Av. paradigm B (pl. \Iḳulá-l;\i but Chad. C: \Iḳilí-l,\i \Iḳúla-l\i). Kar. has a compound; for its second component see \I*raꭓa.\i
813|*gʷandV ( ~ -o-)|1387|pit|gʷend|gʷand||gʷandi|gann|ǵandu|ganda||||    Av. paradigm C (\Igʷandí-l,\i \Igʷénda-l;\i but Chad. C: \Igʷandú-l,\i \Igʷandá-l\i). Cf. also Akhv. Tlan., Ratl. \Igabda\i 'pit', Cham. Gad. \Igannu,\i Gig. \Iganna\i 'hollow (of a tree), Kar. Rats. \Igʷande,\i Tok. \Igabda\i 'pit'. The Andian form was borrowed in Tsezian languages: Tsez. \Igʷandi\i / \Igʷando,\i Gin. \Igangʷi,\i Inkh. \IgaIndu,\i Bezht. gand (borrowing is proved by the preservation of -n-, which would otherwise yield nasalisation), and in Arch. \Igundi\i 'pit'.
814|*gʷVnta ( ~ -o)|1388|1 pit 2 hollow (of a tree)|gʷadár 2|||gatta (Tseg.) 1|gunta 1||||||    Av. paradigm B or C (gen. \Igʷadrí-l\i); -d- obviously under the influence of \Igʷend\i 'pit' q.v. (note that there also exists Av. \Igórdo\i 'window; hole' with an absolutely obscure Chad. parallel: \Igórsu\i). Despite similarity, the root should be distinguished from PA \I*gʷandV\i q.v. (there is an opposition in Av. and Cham. between these two roots). [For Av. Chad. \Igórsu\i cf. perhaps Ag. Bursh. \Igʷaršin\i 'window' - an equally isolated form].
815|*dʷVngV|1389|pit|donḳó||dungil||||dʷange (Masht.)|||dunǵa|    The Av. word is taken from Uslar (paradigm C: loc. \Idonḳní-we,\i pl. \Idónḳal\i). Within Andian the word appears to be a metathesized variant of \I*gʷandV\i 'pit' (q.v.), but the Av. opposition \Igʷend\i - \Idonḳó\i proves that this is not the case.
816|*hingʷVr|1390|1 window 2 hole, burrow|||ingur 1 (Tsertsvadze)|ĩgo 1|inn 2,1|hingʷar 1|hingʷar 1|||hingur 1|    Cf. also Akhv. Tseg., Tlan. \Iingo,\i Ratl. \Iũgor,\i Cham. Gig. \Ihingar,\i Kar. Tok.  \Ihingun\i (erg. \Ihingura-d\i) 'window'.
817|*ḳVrč̣V ( ~ -c̣-)|1391|1 hole 2 vulva||kórč̣u 1||ḳač̣o 2 (Tseg.)|||||||    Cf. also Av. Ants. (Mikailov 1959) \Ikurč̣u\i 'hole'. Paradigm A in Chad. (\Ikórč̣u-l,\i \Ikórč̣a-l\i).
818|*ʔVrV|1392|ditch|or||||||||||    Av. paradigm A or C (pl. \Ióra-l\i).
819|*riṭʷV|1396|shallow, sand-bar|||||ruṭi-l (Gig.)||||||    Cf. also Cham. Gad. \Ijiṭʷi\i id. Attested only in Cham., but having probable external parallels.
820|*himƛ̣u|1397|bottom|ṭínu|ṭínu|hilmu|miƛ̣i-do|hilʷ|hinlu|himʔu (Tok.)||hilʷ|hinlu|    Av. paradigm C (\Iṭiná-lzul,\i \Iṭína-bi;\i but Chad. A: gen. \Iṭínu-l\i). Cf. also Av. Gid. (Gudava) \Iƛ̣ino,\i And. (Gudava) \Ihinƛ̣u,\i Akhv. Ratl. \Imiƛ̣o,\i Tseg., Tlan. \Imiṭu\i (the North. form \Imiƛ̣ido\i is originally locative), Cham. Gig. \Ihinnu,\i God. Zib. \Ihilmu.\i Akhv. \Imiƛ̣o\i is an obvious metathesis < \I*ʔimƛ̣o;\i in Av. one would rather expect \I*ʔinṭu\i (or \I*niṭu\i); the form \Iṭinu\i is a result of metathesis (or an exceptional preservation of the archaic consonant order).
821|*ʔaꭓin ( ~ -o-,-q-)|320|1 log 2 ceiling beam (lengthwise) 3threshing shaft|bal-áhin 3||||aꭓim (Gig.) 2|aꭓin 2|ahimo 1||ahim 1|aꭓimu 1|    The Av. word has a precise meaning: "shaft fastened to the threshing boards"; the first part of the compound goes back to PEC \I*w-VŁV\i 'threshing board' (q.v.) (cf. also Kuyad. \Ibol-bo\i 'threshing board'). Accent paradigm B ~ C (\Ibaláha-dul,\i \Ibaláha-bi\i). Cf. also Kar. Anch. \Iãꭓib\i 'log' - which shows that forms in -m(V) actually go back to the PA plural \I*ʔaꭓin-bV.\i
822|*HʷVbi|1398|post, pole; stem|ħubí|ħubí|||||||||    Av. paradigm B (\Iħubó-l,\i \Iħubá-l;\i Chad. \Iħubú-l,\i \Iħubá-l\i). Cf. also Av. Ants. (Mikailov 1959) \Iħubi\i 'a high rock, cliff'.
823|*ħuma|1399|1 stalk, stem 2 post, prop 3 thick stick, log|máħu 1||huma 1,2|huma 2,3|huma 1,2|huma 1,2|huma 1,2|||huma 1,2|    Av. paradigm C (\Imaħá-lzul,\i \Imáħa-bi\i) is probably secondary, due to contamination with \Imáħu\i 'leg, foot' (q.v.). Cf. also Akhv. Tseg., Ratl. \Ihoma,\i Kar. Tok. \Ihuma\i 'log'.
824|*q̇urč̣V ( ~ *q̇ʷi-)|1400|1 small stick, stalk 2 fork|ʕuč̣ 1,2|ʕuč̣ 1|||||||ʕurč̣ (Gudava) 1||    Av. paradigm B (\Iʕuč̣ó-l,\i \Iʕuč̣á-l,\i Chad. \Iʕoč̣ó-l,\i \Iʕač̣á-l\i).
825|*ḳ:imor/*ḳ:irom (~a)|1401|stone roller (for rolling roofs)||||ḳ:eme|ṣeran-ṭʷ|ḱ:iram|ḳ:imer||ḳ́:irʁam|giramu|    Cf. also Akhv. Tlan. \Iḳ:eq̇ul,\i Ratl. \Iḳ:amaq̇ul\i 'roller handles' ( = North. \Iḳ:eme-q̇ori\i id.); Cham. Gig. \Ic̣:iram,\i Kar. Anch. \Iḳ:eram,\i Tok. \Iḳ:iram\i 'roller'. -ʁ- in Bagv. is unclear; Cham. (U.-Gakv.) has an expressive suffix -ṭʷ. God. has voiced g- because of the influence of PA \I*gir-\i 'round, to roll' (q.v.).     Old Tind. > Inkh. \Iḳeran\i id.
826|*č̣VlV|1402|log, beam|č̣álu|č̣álu|||||||||    Av. paradigm A (\Ič̣álu-dul,\i \Ič̣ála-bi\i); but Chad. B (\Ič̣ulú-l,\i \Ič̣ul-bí\i).
827|*ḳaru ( ~ -o-)|1403|log||||ḳaru (Ratl.)|č̣aw|ḳ́aru|ḳaru||||    Cf. also Cham. Gig. \Ič̣aru\i (Bokarev: \Ic̣aru\i) id.
828|*gVrV-lV|1404|rolling-pin, beater|gerélo||||||||||    Gen. \Igerélo-dul.\i
829|*HVnsV|1405|stick, staff|ʕansá||||||||||    Av. paradigm B (\Iʕansí-l,\i \Iʕuns-bí\i). Phonetically close Andian and Tsezian forms (Tind. \Iansa,\i Tsez. \Iansa,\i Kar., Cham., Akhv. \Iʕansa\i) are obviously borrowed from Avar.
830|*λ:arV ( ~ -o-)|341|breeze|||||||||||    [THE CARD IS LOST - CAN NOT FIND THE SOURCE FORMS. I HAVE CHECKED AND., AKHV., CHAM., TIND. AND BOTL. - IT'S NOWHERE THERE; MUST BE IN KAR. OR BAGV. OR GOD.]!!!!
831|*q̇ʷirV|1410|1 board 2 pole|ʕer 2|ʕir 2||q̇ori 1|||||||    Av. paradigm C (\Iʕoró-l,\i \Iʕúr-dul;\i Chad. \Iʕoró-l,\i \Iʕír-dal\i). Cf. also Akhv. Tlan. \Iq̇oro,\i Tseg. \Ioro\i 'board'. Av. > Akhv. \Iʕeri\i 'pole'.
832|*hanḳʷo|1411|1 nail 2 linchpin 3stick,wooden nail;hammer handle|ʕanḳʷá 1,2||hanḳʷo/hamḳʷo 1|ãḳʷa 3|hãḳa 1|hanḳʷa 1|hanḳʷa 1|hanḳʷa 1|hanḳʷa 1|hanḳʷa 1|    Av. paradigm B ~ C (gen. \Iʕanḳʷá-dul\i). The Andian root was borrowed by some Tsezian languages: Inkh. \Iãḳʷa\i 'nail, wedge', Tsez. \Ioḳo,\i Gin. \Iaḳʷe\i 'nail'.
833|*ʔVpVlV|1412|lid, cover|epel (Andal.)||||||||||    Cited from Микаилов 1959; the same form in Av. Shul.
834|*ƛ̣:i(r)č̣o|1413|1 log 2 pole(s) for planking ceiling, thin log|||ƛ̣:erč̣o 1|ƛ̣:eč̣a 1|ƛ̣:eč̣a (Gig.) 2||č̣erƛ̣:a (Tok.) 1||||    Cf. also Akhv. Tseg., Tlan. \Iƛ̣:eč̣e,\i Ratl. \Iac̣:eƛ̣:en\i (with the same metathesis as in Kar., and with assimilation *č̣ > *č̣: > c̣:) 'log'.
835|*ḳanṭa ( ~ o)|1414|stick|||||č̣anṭa|ḳ́anṭa|ḳanṭa||||    Old Tind. > Inkh. \Iḳanṭa\i 'stick'. Not quite clear is And. \IGanṭa\i 'stick' (why G-?).
836|*ƛ̣abV ( ~ -o-)|1415|1 stone 2 mill-stone, whetstone 3 plate, slab|ƛ̣eb (Ants.) 1|ṭeb 2|||abul (Bokarev) 3|aba 3|||||    Chad. paradigm B (\Iṭobó-l,\i \Iṭabá-l\i). Cf. also other Antsukh dialectal forms: \Iṭeb,\i \Iṭob\i (all cited from Микаилов 1959); Cham. Gig. \Iabul,\i Gad. \Ilabul\i 'stone plate, slab'.
837|*ʁoʔV ( ~ -a-)|1417|foundation, groundwork|||||ʁaj||||||    Isolated in Cham. (cf. also Gad., Gig. \Iʁaj\i), but having probable external parallels.
838|*ƛ̣alV|362|1 rock, rocky plateau 2 layer 3 lid 4 (paper) leaf|ṭálu 1, ṭalá 2|ṭalá 3|lala 3|ƛ̣ala 3||ala 3,4|ƛ̣ala 4||||    Av. \Iṭalú\i has paradigm C (\Iṭalú-l,\i \Iṭála-bi\i); \Iṭalá\i - paradigm B (\Iṭalá-dul,\i \Iṭul-bí;\i Chad. \Iṭoló-l\i / \Iṭilí-l,\i \Iṭalá-l\i / \Iṭulá-l\i). Av. \Iṭalá\i has several meanings: "layer; bee-hive; chimney; floor, tier" (cf. also Kuyad. \Iala\i 'chimney' pointing to *ƛ̣ in Proto-Avar). The whole variety of meanings in Avar and Andian languages must be explained by the original semantics "flat stone, stone layer".
839|*c̣:aba ( ~ o)|1418|big stone||||c̣:aba|||||||    Attested only in Akhv. (cf. also Tseg., Ratl. \Ic̣:aba\i), but having probable external parallels.
840|*ʔunka(~ʔinkʷa,-o,m)|324|1 name of a vermin, harmful insect 2 beetle|núka 1|||ʕunka 2|||||||    Av. has a usual metathesis in Anlaut (\Inuka\i < \I*ʔunka\i).
841|*q̇:atʷV ( ~ -o-)|1419|1 lid, cover 2 to cut, chop|q̇oṭ- 2|q̇uṭ- 2|||q̇:atʷ 1||q̇:ʷaṭa (Leksika) 1||||    Cf. also Cham. Gig. \Iq̇:atu\i 'lid, cover'. The original meaning is 'chopped block' - cf. the external evidence and the Avar verb (obviously denominative - cf. the similar usage of \I*q̇aṭ\i in Lezghian languages).
842|*ʔiꭓʷVn-|1420|to grind|ꭓ:ené-|ꭓen-|ʔiꭓʷo-qi-|||ꭓʷan-|||||    The And. form reflects "stem I" (with a not quite clear suffix or lexical component -qi-); Av. and Tind. reflect "stem II" (note the correspondence Av. ꭓ:(ʷ) : And. ꭓ(ʷ) typical for reflexes of the EC *ꭓ(w) in tense words).     There are several archaic derivates:     1) PA \I*ꭓʷobu\i (\I*ʔiꭓʷobu\i) 'mill': Av. \Ihobó\i (\Ihabí-l,\i \Ihabá-l,\i Chad. \Ihubí-l,\i \Ihabá-l\i); And. \Iiꭓʷob;\i Akhv. \Iꭓʷaba;\i Cham. \Iꭓʷab\i (Gig. \Iꭓobu\i); Tind. \Iꭓʷabu;\i Kar. \Iꭓabu\i (Anch. \Iꭓʷaba,\i Tok. \Ihobu\i); Botl. \Iꭓʷabu;\i Bagv. \Ihʷab\i (Tlis. \Iꭓʷab\i); God. \Iꭓʷabu.\i Note that Av. here reveals a h-reflex (old dialectal variation of ꭓ: and *ꭓ > h).         2) PA \I*ꭓʷor-\i (oblique base in the archaic paradigm of \I*ꭓʷobu\i): Akhv. Tlan. plur. \Iꭓel-ar,\i Kar. Anch. plur. \Iꭓʷar-e,\i Bagv. (obl. stem) \Ihʷar-.\i     Also derived from this root is Av. \Iꭓ:árab\i 'meal, flour' (it could be united with PA \I*ꭓʷor-,\i but the meaning and external evidence show that these are two different derivates).
843|*kʷirV|1421|1 trough, gutter 2 a k. of jar|||koru 2|koro 1|kū̃ 1|koru 1|kore 1||||    Cf. also Kar. Anch., Cham. Gig. \Ikoru\i id.
844|*tarV ( ~ -o-)|1422|ditch||||||λ:en-tar|||||    A compound with \Iλ:en-\i 'water'. The root \I-tar\i is isolated within Andian, but has probable external parallels.
845|*č̣:iḳ(:)V-rV|1423|spoon|č̣:iḳáro (dial.)||||||||||
846|*ʔors:Vn ( ~ -a-)|1426|crib, manger|rus:ún|||ãs:a|as:a-ƛ:||||||    Av. paradigm C (\Irus:ná-l,\i \Irús:na-l\i). Cf. also Akhv. Tlan., Tseg. \Ias:en,\i Ratl. \Iars:en,\i Cham. Gig. \Ias:i-ƛ:a\i (Cham. reflects a locative form).
847|*ṭonHV ( ~ -a-)|1427|spring||||ṭãji (Tseg.)|||||||    Attested only in Akhv., but having probable external parallels.
848|*nV(r)q:ʷV|1428|cave, cavern|noq:ó|noqó|||||||||    Av. paradigm C (\Inoq:ó-dul,\i \Inóq:a-l;\i but Chad. B: \Inoqó-l,\i \Inoqó-jal\i). Av. (dial.) > Gin. \Inoqi\i 'cavern'.
849|*ƛ̣ʷibV(-r)|1429|1 shed, barn 2 section of a granary 3 calf-stall|ṭi 2|ṭʷi 3||ƛ̣uhur (Ratl.) 1||ubar 1|||||    Av. paradigm unknown. Cf. also Akhv. Tseg. \Iṭobor,\i Tlan. \Iṭor\i 'shed'. The Proto-Av. form \I*ƛ̣ʷi\i is either a contraction of \I*ƛ̣ʷibi,\i or (which is more probable) a result of reinterpreting *-bV as a plural affix. Tind. > Inkh. \Iuber\i 'shed' (a late loan, after *ƛ̣- > 0- in Tindi).
850|*cVʁVrV|1431|corn-bin, barn|caʁúr||||||||||    Paradigm C (\Icaʁrí-l,\i \Icáʁra-l\i).
851|*kʷili|1432|an open enclosure (for sheep)|lol|||kolo|kʷel|koli|koli (Tok.)||||    Av. paradigm B ~ C (gen. \Ilolí-l\i). Cf. also Cham. Gig. \Ikoli\i id. The correspondence Av. l- : PA *kʷ- points to a lateral *Łʷ in Proto-Av.-And.
852|*čalV ( ~ -o-)|1433|1 fence, wattle-fence 2 enclosure 3 enclosure for milking sheep|čalí 1,2|||||čali 3|||||    Av. paradigm B (\Ičoló-l,\i \Ičalá-l\i). For the Tindi word  borrowing from Av. is not excluded. Tind. > Inkh. \Ičali\i 'enclosure for milking sheep'.
853|*bVžV-nV|1435|corn-bin, granary|bežén||||||||||
854|*birʁʷa ( ~ -o)|1436|shed, penthouse||||beʁʷa|||beʁʷa (Tok.)|beʁuj|||    Cf. also Akhv. Tlan. \Iborʁo,\i Tseg. \Iberʁa\i id.
855|*ʔiꭓ:i-l (~ƛ̣-,q̇-)|1437|shed, hayloft|||||eꭓ:il|eꭓ:al|||||    Cf. also Cham. Gig. \Ieꭓ:il.\i
856|*ʔa(n)q̇i ( ~ -o-)|1438|soup, broth|háʕu|ʕáʕu||q̇ā|ā|ā||||aji|    Av. paradigm C (gen. \Ihaʕ-dál,\i cf. also Chad. gen. \Iʕu-dúl\i). Cf. also Cham. Gig. \Iaj\i id. The Akhv. form is a metathesis: \Iq̇ā\i < \Iq̇aʔV\i < \Iʔaq̇V.\i
857|*mic̣:a-|1440|sweet|||mic̣:a|mic̣:a-da|miṣa-b|mic:a-b|mic̣:a-b|mic̣:a|mic̣:a-b|mic:a|    Cf. also Cham. Gig. \Imic̣:a-b;\i Akhv. \Imic̣:a\i 'alcoholic beverage (beer)'. Avaro-Andian languages also reflect the old derivate \I*hwmĭʒ̲ū\i > PA \I*hunc̣:i\i 'honey': Av. \Ihoc̣:ó\i (\Ihac̣:ú-l\i), Chad. \Ihoc̣ó\i (\Ihoc̣ó-l\i / \Ihic̣í-l\i); And. \Ihunc̣:i;\i Akhv. \Iũc̣:i;\i Cham. \Ihũṣ,\i Gig. \Ihunc̣:i;\i Tind. \Ihunc:i;\i Kar. \Ihunc̣:e;\i Botl. \Ihunc̣:i;\i Bagv. \Ihũc̣:;\i God. \Ihunc:i.\i
858|*ḳonča|1441|onion|||ḳonča|||ḳ́anča|ḳanča|||ḳ́anči|    An aberrant form is attested in Cham.: Gig. \Ianči\i 'onion'. Since the original meaning of the root was probably "a bundle (of onions, garlics)", it may have contaminated with Cham. \Ianč\i 'mane' (q.v.).
859|*xʷamV ( ~ -o-)|1445|internal fat|||||||xʷajmo|šamu|ꭓʷam (Leksika)|šamu|    Cf. also Kar. Anch. \Ixʷamu.\i Botl. š- is irregular (x- would be expected), so a loan from God. is not excluded.
860|*ʁʷVmV|361|pan||||miꭓ:i-ʁʷama (R)|||||||    A compound with \Imiꭓ:i\i 'iron', cf. also Tseg. \Imiꭓ:il ʁoma \iid. Attested only in Akhv., but having probable external parallels.
861|*rVxwV|1446|milk|rax|rax|||||||||    Av. paradigm A (gen. \Iráx-dal\i) (but Chad. B~C: gen. \Irax-dúl\i).
862|*š:imHu|1447|milk|||š:iwu|s:ō|s:ī̃w|š:ū|š:iw|š:ĩʔu, š:iʔũ|š:ū|š:ĩwu|    Cf. also And. (Gudava) \Iš:imu,\i Akhv. Tseg. \Is:in,\i Tlan. \Is:jo,\i Cham. Gig. \Is:ĩw,\i Bagv. Kvan. \Iš:i.\i
863|*ꭓan(H)V ( ~ q-)|1448|cheese|ħan|ħan|||||||||    Av. paradigm A (gen. \Iħáni-l;\i but Chad. \Iħaní-l\i).
