"NUMBER","PROTO","PRNUM","MEANING","CEZ","GIN","KHV","INH","BZT","GNZ","COMMENT"
521,"*ʁ:ib(a) / *biʁ:(a)",151,"1 foundation 2 stake, wooden peg","ʁIab (Radzhibov)",,"ʁeb (Radzhibov)","ʁib 2","biʁa 1","biʁa 1","    PTsKh \I*ʁ[i]b;\i PGB \I*biʁa.\i"
522,"*z:ɨZV",1244,"thorn, prick",,,,,,"zɨza (Nakh.)","    Attested only in Gunz., but having good external parallels."
523,"*koč",1037,"bush, shrub",,,,,"köč (Tlad.)","koč","    PGB \I*koč\i (cf. also Bezht. Khosh. \Iküč\i id.)."
524,"*ž:agV",1245,"1 raspberry 2 a thorny bush",,,,,"žagi ordo 1 (Khosh.)","žagi 2","    PGB \I*žagi\i (Bezht. \Iordo\i 'berry')."
525,"*bɔrV (-ə-,-l-)",1247,"thorn",,,,"boru",,,"    Isolated in Inkh., but with a probable Lak. parallel."
526,"*ṭɨṭV B",1248,"1 thorn, prick 2 thistle, thorny bush","ṭiṭori 1","ṭeṭu 2","ṭaṭu (Radzhibov)","ṭoṭu 2","ṭiṭo 2","ṭɨṭu 1,2","    PTsKh \I*ṭəṭu\i (cf. also Gin. \Iṭeṭe-ra\i 'thorn' = Tsez. \Iṭiṭori\i); PGB \I*ṭɨṭu.\i"
527,"*birḳi",1249,"burdock",,,,,"bīḳi","birḳi-li","    PGB \I*birḳi.\i Cf. also Bezht. Khosh. \Ibirḳi,\i \Ibirḳali,\i Tlad. \Ibirḳili.\i"
528,"*q̇eq̇-",165,"wide, broad",,,,,"q̇eq̇ĳo (Khosh)","q̇eq̇q̇u (Nakh)","    PGB \I*q̇eq̇-ĳu\i (cf. also Bezht. Tlad. \Iq̇eq̇q̇ö\i). Bokarev has Gunz. \Iq̇əq̇u,\i which must be a misrecording."
529,"*c̣ic̣- (~ -ɨ-)",1251,"to plane, hew","c̣ec̣-","c̣oc̣-",,,,,"   PTsKh \I*c̣ic̣ʷ-\i (~-ü-)."
530,"*ƛiꭓ: ( ~ -ʁ)",1252,"chip, shaving",,,,,"ƛiꭓ","ƛiꭓa","    PGB \I*ƛiꭓ\i (Gunz. \Iƛiꭓa\i reflects the oblique base, cf. Bezht. Khosh. \Iƛiꭓ,\i \Iƛiꭓa-\i)."
531,"*c̣iꭓ: ( ~ -ɨ-, -ʁ)",1253,"chip, small piece of wood",,,,,"c̣iꭓ (Khosh.)",,"    Isolated in Bezht., but having probable external parallels."
532,"*bɨʁ:V- ( ~ -i-,-ꭓ-)",1255,"asp",,,,,"biʁola (Khosh.)",,"    Attested only in Bezht., but having reliable external parallels."
533,"*mihe A",1256,"birch","mej","mĳ","mĩhi-s (gen.)","mihe","miʔe","mihe-s (gen.)","    PTsKh \I*mihe\i (cf. also Tsez. Sh., Kid. \Ime\i), PGB \I*mihe\i (cf. also Bezht. Khosh., Tlad. \Imĳe\i)."
534,"*ʔɔrƛVmV",1257,"1 big log  2 wooden cornice","oƛermu 2",,"oƛermu 1 (Radzhibov)","orƛomu 1",,,"    PTsKh \I*ʔoRƛVmu\i (\I/*ʔoƛVRmu\i)."
535,"*nɔqʷV / *mɔqʷV",1259,"1 oak-tree, acorn 2 alder-tree","noqi 2 (Isakov)","noqe 2 (Isakov)","muqu-rḳa 1","muqu-rḳa 1","naqo (Khosh.) 2","nɔqe 2 (Isakov)","    PTsKh \I*noqu\i / \I*moqu-;\i PGB \I*nɔqʷe.\i"
536,"*ʁ:ɔd A",1260,"linden, lime-tree","ʁoId","ʁod","ʁoda (Radzhibov)","ʁodo","had","hɔdɔ-s ꭓõꭓe","    PTsKh \I*ʁod(ə)\i (Bokarev and Lomtadze note pharyngealization in Tsez., Gin. and Inkh., but in the MSU recordings no pharyngealization is present); PGB \I*hɔd.\i"
537,"*ʔɔ̃cə B",1262,"willow","ici (Radzhibov)",,"ĩca (Radzhibov)","ẽco","ãco (Tlad.)","ɔ̃̃cə (Nakh.)","    PTsKh \I*ʔẽcə;\i PGB \I*ʔɔ̃cə\i (cf. also Bezht. Khosh. \Iaco.\i"
538,"*heƛe A",169,"nut, walnut","hiƛo-ri","hiƛa-ʁru","ħeƛe",,"heƛe","heƛe","    PTsKh \I*heƛe\i (cf. also Tsez. \Ihiƛi\i ""nut core""); PGB \I*heƛe.\i The forms: Tsez. \Ihiƛori,\i Gin. \Ihiƛaʁru\i (cf. also Bezht. Khosh. \Iheƛarʁo\i ""nut"") reflect a PTs compound with a not quite clear second part."
539,"*q̇uq̇V-lV ( ~ -r-)",185,"1 nut, walnut 2 small stone",,"q̇aq̇ali 2",,"q̇Iuq̇Ile 1",,,"    PTsKh \I*q̇[u]q̇a-Re\i (with vowel assimilation in Gin.)."
540,"*ḳɔ̃ḳV",1264,"fruit stone",,,,,"ḳäḳä (Khosh.)","ḳɔ̃ḳi","    PGB \I*ḳɔ̃ḳV.\i The root should be distinguished from PGB \I*ḳaḳa\i 'drop' (although they regularly merged in Bezht., they are clearly distinguished in Gunz.)."
541,"*ʔaḳ ( ~ *ħ-)",1266,"1 seed; fruit-stone 2 dough","aḳ 1","aḳ 1",,"aḳ 2",,,"    PTsKh \I*ʔaḳ.\i Semantic development: ""seed, grain > flour > dough""."
542,"*ʔẽš: A",1267,"apple","heneš","iši / ʕiši","hĩjoš","ẽš","ẽš (Tlad.)","ẽš","    PTsKh \I*ʔẽš;\i PGB \I*ʔẽš\i (cf. also Bezht. Khosh. \Ies\i). The aberrant Tsez. and Khvarsh. forms (\Iheneš\i and \Ihĩjoš\i) go back to a PTsKh compound \I*hĩ+ʔẽš\i (""pear""+""apple"", see PTs \I*hĩ\i 'pear')."
543,"*ʔiꭓo",191,"shepherd","aħo","eꭓo","iho","iho",,,"    PTsKh \I*ʔiꭓ1o.\i"
544,"*hĩ",1268,"pear",,,,,"hĩ (Khaidakov)","hĩ","    PGB \I*hĩ;\i on the reflexes of this root in PTsKh (in the compound \I*hĩ-ʔẽš\i) see under \I*ʔẽš:\i 'apple'."
545,"*ḳiḳVrV ( ~ -l-)",1271,"damson","ḳiḳili","ḳiḳili","ḳiḳaraḳu (Radzhibov)","ḳiḳaraḳu",,,"    The Tsez. and Gin. form may be borrowed from some Av. dialect (cf. Av. Unt. \Iḳalḳuli\i 'damson'), but this is less probable for the Khvarsh. and Inkh. form (which is probably genuine)."
546,"*ʔɔꭓ ( ~ *ħ-)",1274,"grape",,,"oh","oh",,,"    PTsKh *ʔoꭓ̥1̇ (~ -h)."
547,"*ḳɔd",1275,"1 bush, shrub 2 bunch of grapes","ḳod 1","ḳod 2",,,,,"    PTsKh \I*ḳod.\i Not quite clear is the relationship between this stem and PTs \I*ḳodV\i 'grape' (Tsez., Gin. \Iḳudi,\i Gunz., Bezht. \Iḳodo\i)."
548,"*kušV ( ~ -ũ-,-š:-)",1277,"peach","kušuħi","kušoħi",,,,,"    PTsKh \I*kušVI-hi\i ( ~ -ũ-,-ĩ). The word is a compound; for the second part cf. possibly PTs \I*hĩ\i 'pear'."
549,"*ƛ̣(ɔ)",2234,"locative suffix (series Super)","-ƛ̣(o)","-ƛ̣o","-ƛ̣o","-ƛ̣o","-ƛ̣a","-ƛ̣(o)","    PTsKh \I*-ƛ̣o;\i PGB \I*ƛ̣ɔ.\i Cf. also PTs \I*ƛ̣V-\i as an adverbial stem: PTsKh \I*ƛ̣ə-Rə\i (Tsez. \Iƛ̣iri,\i Gin. \Iƛ̣ere,\i Inkh. \Iƛ̣olo\i), PGB \I*ƛ̣o-do\i (Bezht., Gunz. \Iƛ̣odo\i) 'up, above'."
550,"*zɨn(u) B",1278,"barberry","zin","zenu",,"zon","sino (Khosh.)","sɨnu","    PTsKh \I*zən(u);\i PGB \I*sɨnu.\i"
551,"*q̇ʷVni",2193,"pine tar",,"q̇Ione",,,,,"    Attested only in Ginukh, but having possible external parallels."
552,"*žumal ( ~ š-, š:-)",1281,"bushes, shrubs",,,,,,"šumal","    Attested only in Gunz., but having probable external parallels."
553,"*kɔ̃j B",538,"1 bilberry 2 raspberry 3 berry","ko 2","kī 1,3",,,,"kãj 3","    Cf. also Tsez. (Bokarev) \IkoI\i 'berry'. PTsKh \I*köI\i ( ~ \I*kö̃I\i)."
554,"*Lẽ ( ~ *λ:-)",557,"strawberry",,,,,"λẽ",,"    Cf. also Bezht. Tlad. \Iλe\i 'berry'."
555,"*ʔãsa",1285,"rowan","asa","ase","ãsa",,"ãza","ãza","    PTsKh \I*ʔãsa;\i PGB \I*ʔãza\i."
556,"*ʔõƛ̣u B",1286,"sweetbrier","ʕiƛ̣u-q̇a","iƛ̣u / ʕiƛ̣u","ĩƛ̣u (Radzhibov)","ẽƛ̣u","õƛ̣o","ə̃ƛ̣u","    PTsKh \I*ʔẽƛ̣u\i ( ~ -ö̃-); PGB \I*ʔə̃ƛ̣u\i (cf. also Bezht. Khosh. \Ioƛ̣o\i). The PGB vocalism is not quite regular (one would rather expect \I*ʔõƛ̣u\i)."
557,"*muq̇V B",1289,"1 a sp. of barley (голозерный) 2 grain, cereals","maIw 1 (Kid.)",,,,"müq̇o 2","muq̇e 2","    PGB \I*muq̇ə\i (cf. also Bezht. Tlad., Khosh. \Imüq̇e\i 'grain; a sp. of barley (голозерный ячмень)'). The Tsez. form can go back to PTsKh \I*müIq̇V.\i"
558,"*qɨ",1290,"wheat",,,,,"qibo (Khosh.)","qɨbə","    PGB \I*qɨ-bə,\i where -bə is most probably the old plural marker."
559,"*ħaṭu",1291,"1 wheat 2 flour 3 a k. of grass","aṭ 1,2","aṭ 1,2","aṭ 2","aṭ 1,2","haṭo 3","haṭu 2","    PTsKh \I*ʔaṭ,\i PGB \I*haṭu\i (cf. also Bezht. Khosh. \Ihäṭĳo\i 'flour'). The variation of meanings is characteristic: ""a k. of grass"" (*'wild cereal') / ""wheat"" / ""flour""."
560,"*ʔõꭓ ( ~ -ʁ:)",1292,"barley",,,,,"õʁ (Tlad.)","oh","    PGB \I*ʔõʁ.\i In Bezht. (prop.) Madieva lists \Iõꭓ\i 'barley' (probably a faulty recording)."
561,"*q̇orV ( ~ -u-,-l-)",1293,"dry weeds",,,"q̇uri","q̇uri",,,"   PTsKh \I*q̇uri.\i"
562,"*=əṭ- / *ṭəṭ-",217,"1 to break (intr.) 2 to hew, chop 3 to throw 4 broken piece","ṭiṭ- 1 (Radzhibov), ṭiṭu 4","=eṭ- 1","=iṭ- 1,2 (radzhibov)",,"ṭoṭ- 2,3 (Tlad)","ṭəṭ- 2,3","    PTsKh \I*=[ə]ṭ-\i / \I*ṭəṭ-;\i PGB \I*ṭəṭ-\i (a reduplicated form; without reduplication cf. Bezht. Tlad., Khosh. \I=öṭ-\i 'to dig')."
563,"*qečV",1295,"corn, grain","qiči","qiči","qeč (Radzhibov)","qeče",,,"    PTsKh \I*qeče.\i"
564,"*č̣e (~ẽ)",1296,"a sp. of barley (голозерный ячмень)",,,,,"č̣e",,"    Attested only in Bezht., but having probable Andian parallels."
565,"*č̣oq̇Vn",1297,"rye",,,,,"č̣öq̇in (Khosh.)","č̣oq̇on","    PGB \I*č̣oq̇Vn.\i"
566,"*susV B",1298,"oats","sesru (Khaidakov)",,,,"suz (Khosh.)",,"    The reconstruction \I*susV\i is tentative; historically we should expect a PTs form like \I*zus:V,\i which could have undergone different assimilations ( a) > \I*s:us:V\i > Tsez. \Ises-;\i b) > \I*zuzV\i > Bezht. \Isuz\i). Unless data from other Tsez. languages will be discovered, the reconstruction will remain somewhat uncertain."
567,"*ṭɨgʷV A",1299,"millet","ṭewo","ṭugo / ṭegʷe","ṭegʷe",,"ṭugo","ṭugo","    PTsKh \I*ṭɨgʷV;\i PGB \I*ṭugo.\i"
568,"*miꭓV",1301,"roasted grain","maħu","mihi","mihe (Radzhibov)","mihe",,,"    PTsKh \I*miꭓ̥1̇V.\i"
569,"*ƛ̣[ə]ra",220,"ear (of corn)",,"ƛ̣ila",,,"ƛ̣öwa","ƛ̣əra (Nakh.)","    PGB \I*ƛ̣əra.\i Some recordings are problematic: Bokarev had recorded Bezht. Tlad. \Iƛ̣era\i and Gunz. \Iƛ̣era;\i all MSU recordings, however, are in accordance with Madieva's Bezht. \Iƛ̣öwa\i (cf. Bezht. Tlad., Khosh. \Iƛ̣ora,\i Gunz. Nakh. \Iƛ̣əra\i)."
570,"*bɨƛ̣V ( ~ -e-,-ə-)",1303,"spadix","biIƛ̣o (Imnaishvili)","beƛ̣o",,,,,"    PTsKh \I*bəƛ̣o.\i"
571,"*ʔãƛ̣Vl",1304,"pod","aƛ̣iru","aƛ̣a",,"ãƛ̣er","ãƛ̣alo","ãƛ̣al","    PTsKh \I*ʔãƛ̣VR;\i PGB \I*ʔãƛ̣al(u).\i"
572,"*qama ( ~ ɔ)",1306,"straw",,,,,"qämä",,"    Cf. also Bezht. Khosh. \Iqämä\i 'stalk'. Isolated in Bezht., but having probable external parallels."
573,"*ƛa",1309,"awn","ƛaʁa",,,"ƛaʁa","ƛä (Khosh.)","ƛa (Nakh.)","    PTsKh \I*ƛa-ʁa\i (meaning of the component -ʁa unclear); PGB \I*ƛa.\i"
574,"*diʔi ( ~ -ɨ-)",1310,"flower",,,,,"diʔi",,"    Isolated in Bezht., with a probable parallel in Avar."
575,"*gãga",1311,"flower","gagali","gagali","gangi (Radzhibov)",,,,"    PTsKh \I*gãgV\i / \I*gãga-le\i (cf. also Bokarev's Gin. recording: \Igaga\i 'flower')."
576,"*c̣ic̣i",1284,"flower",,,,"c̣ic̣i",,,"    An expressive root, attested only in Inkh., but having probable external parallels."
577,"*haḳ ( ~ ħ-)",1312,"1 tops (of plants) 2 flower",,,,,"haḳ (Khosh.) 1","haḳ 2","    PGB \I*haḳ.\i"
578,"*rɨꭓ:ə ( ~ -i-,-ʁ-)",1314,"grass",,,,,"hiꭓo",,"    Bezht. \Ihiꭓo\i < \Ijiꭓo\i (with a parasitic h-), cf. Bezht. Tlad. \Iriꭓo\i 'grass'."
579,"*bəꭓ:",1315,"1 grass 2 hay","biꭓ 2","beꭓ 1,2","baꭓ 1,2","boꭓ 1,2","boꭓ 1,2","bəꭓ 1,2","    PTsKh \I*bəꭓ;\i PGB \I*bəꭓ.\i Cf. also Bezht. Tlad. \Iboꭓala-ukos\i 'yellow' (""hay-coloured"")."
580,"*ʔü̃č̣VrV",1318,"weed","eč̣uri","oč̣ili","ič̣ila (Radzhibov)","ãč̣e","ic̣owa","ĩč̣ur (Gunz)","    PTsKh \I*ʔü̃č̣VRe\i (but the Inkh. reflex is irregular: -ĩ- would be expected); PGB \I*ʔĩč̣ur(a\i) (cf. also Bezht. Tlad. \Iič̣erö\i). The PTs vocalic reconstruction is not very certain."
581,"*mič A",1320,"nettle","meča / meIča","meča","mič (Radzhibov)","mič","mic","mič","    PTsKh \I*mič\i (Tsez., Gin. \Imiča\i is originally the oblique base, cf. Inkh. \Imiča-\i); PGB \I*mič\i (cf. also Bezht. Tlad. \Imič\i). Obl. base \I*miča-\i (cf. Inkh. \Imiča-,\i Bezht. \Imica-,\i Gunz. \Imiča-\i)."
582,"*muq ( ~ -o-)",1322,"mint",,,,"muIq",,,"    Attested only in Inkh., but having probable external parallels."
583,"*zobo (~ zʷɨ-)",1324,"ramson","zu",,"zu (Radzhibov)","zũ","sobo (Tlad.)","so (Gunz.)","    PTsKh \I*zu\i (nasalisation in Inkh. is probably secondary); PGB \I*sobo.\i The Gunz. form \Iso\i is a result of reinterpreting -bo as oblique base marker (the paradigm in Gunz. is \Iso,\i \Isobo-s\i). Still earlier the same process (\I*zubV\i reinterpreted as \Izu\i + -bV) must have happened in PTsKh."
584,"*ꭓ:alV ( ~ ʁ-)",1337,"1 thorn, weed 2 goose-foot",,,,,"ꭓalo 1 (Khosh.)","ꭓali 2","    PGB \I*ꭓalV.\i"
585,"*ʔõšV B (~-ɔ-,-š:-)",1329,"grass","oš","üšü (Lomtadze)","iš","ĩš",,,"    PTsKh \I*ʔö̃š(u\i)."
586,"*miša-ꭓu ( ~ -ɨ-)",1326,"mint","mešaħu","mečaħu",,,,,"    PTsKh \I*mišaꭓ̥1̇u\i (-č- in Gin. is irregular, probably under influence of \I*mič(a)\i 'nettle' q.v.)."
587,"*c̣aʔ(a)",1339,"1 bow","c̣eru-c̣a","c̣eru-c̣a",,,"c̣aʔa (Tlad.)","c̣aʔa","    PTsKh \I*c̣ɨRu-c̣a\i ( ~ \I*c̣üRu-\i); PGB \I*c̣aʔa\i (cf. also Bezht. Khosh. \Ic̣aʔ\i). In the PTsKh compound (which has an exact match in PGB: \I*c̣ulu-c̣aʔa\i > Bezht. \Ic̣uluc̣a,\i Gunz. Nakh. \Ic̣uluc̣aʔa\i 'bow') the first component goes back to PTs \I*c̣ulu\i B 'arrow' q.v."
588,"*ʔeč̣",1340,"a k. of reed (рогоз)",,,,,"ʕeč̣ (Tlad.)",,"    Cf. also Bezht. Khosh. \Iec̣\i id."
589,"*q̇ĳV",1341,"1 weed 2 straw",,,,"q̇ĳa 1","q̇i (Khosh.) 2",,"    Cf. also Bezht. Tlad. \Iq̇i\i ( < PGB \I*q̇ĳ\i) id."
590,"*qʷɨn B",1344,"farmstead","qun","qʷen","qʷan (Radzhibov)","qon","qun (Khosh.)","qun (Gunz.)","    PTsKh \I*qʷən;\i PGB \I*qun.\i"
591,"*ʔɔqru",1347,"1 cave, cavern 2 trap, pitfall","boc̣-aqu 2","oqru 1","oqru 1 (Radzhibov)",,,,"    PTsKh \I*ʔɔqru\i (with metathesis < \I*qɔru,\i or < \I*ʔɔ-qVru\i with a laryngeal prefixation). The Tsez. word is a compound with \Iboc̣i\i 'wolf', lit. 'wolf-hole' (cf. the meaning of Av. \Iq̇:or\i)."
592,"*ƛũ B",1348,"1 bridge, stairs 2 funeral stretcher","ƛe 1",,,,"ƛõ 2",,"    Tsez. obl. base \Iƛero-.\i"
593,"*ṭɨrə A",180,"bridge, stairs",,,"ṭero","ṭɨro","ṭĳo","ṭɨrə","    PTsKh \I*ṭɨRə;\i PGB \I*ṭɨrə\i (cf. also Bezht. Tlad., Khosh. \Iṭiro\i)."
594,"*ƛɨmu (~-i-,-ə-,-e-)",1349,"bridge, stairs",,"ƛemo",,,,,"    Attested only in Gin., but having good external parallels."
595,"*=ič-",280,"1 to peel, take off skin 2 to skin",,,,,"=ič- 1 (tlad.)","=iče-l- 2","    Cf. also Bezht. Tlad., Khosh. \I=iče-l-\i 'to skin' (a causative form = Gunz. \I=iče-l-\i). PGB \I*=ič-.\i"
596,"*mɔče A",1353,"place; ground; field","moči","moči",,,"mače","mɔče","    PTsKh \I*moče,\i PGB \I*mɔče\i (cf. also Bezht. Tlad., Khosh. \Imäče\i). The PTs oblique stem can be reconstructed as \I*mičV-\i > PTsKh \I*mičV-\i (Tsez. /Bokarev/ \Imeče-,\i /Imnaishvili/ \Imečo-\i), PGB \I*mičV-\i (Gunz. \Imičo-,\i Bezht. Tlad. /Bokarev/ \Imiča-\i)."
597,"*ʔãq ( ~ *ħ-)",1354,"house",,,"ãq","ãq",,,"    PTsKh \I*ʔãq.\i"
598,"*q̇aj",1355,"1 hut 2 pack, load",,"q̇aj 1","q̇aj (Radzhibov)","q̇aj 2","q̇aj (Khosh.) 1",,"    PTsKh \I*q̇aj\i (the difference of meanings is explained by the original meaning ""thing, possession(s)""). Cf. also Bezht. Tlad. \Iq̇aj\i 'hut'."
599,"*qoqo",1351,"house",,,,,,"qoqo","    Attested only in Gunz., but having possible external parallels."
600,"*qɨd ( ~ -e-,-ə-)",1356,"wall","qido",,"qad","qod",,,"    PTsKh \I*qəd(o\i)."
601,"*ƛ̣oq ( ~ -ə-)",1361,"roof",,,,,"ƛ̣oq",,"    Attested only in Bezht., but having probable external parallels."
602,"*ꭓ:[ɨ]na",1362,"ceiling",,,"ꭓano (Radzhibov)","ꭓɨna",,,"   PTsKh \I*ꭓ[ɨ]nV.\i"
603,"*ƛuꭓ:",1363,"1 ceiling 2 on the ceiling","ƛeꭓe-ƛ 2","ƛeꭓe-ƛ 2",,,"ƛuꭓ 1 (Khosh.)",,"    PTsKh \I*ƛɨꭓə-\i ( ~ -i-, -ə-) is reflecting the old oblique base (with Ablaut) \I*ƛɨꭓ:ə-\i (cf. also Tsez. \Iƛeꭓu\i 'thin log').         There exists also a PTs variant \I*ƛuꭓ(u),\i reflected in Gin. \Iƛuhu\i 'beam' and PGB \I*ƛuʁ\i (\I*ƛũʁ\i) > Bezht. Tlad. \Iƛuʁ\i 'ceiling', Gunz. \Iƛũhi\i 'on the ceiling'. It is interesting to note Avar forms: Av. \Iƛ:uʁúr,\i Chad. \Iƛuhur\i 'planking (for the ceiling)' - which in this case are probably old borrowings from the neighbouring Tsez languages (genuine relationship is excluded for phonetic reasons)."
604,"*rə̃s:u",1365,"1 wall 2 edge of an earthen roof",,"lašu 2",,,"jõso 1","nəsu 1","    PGB \I*rə̃su\i (cf. also Bezht. Khosh., Tlad. \Iroso\i). The Gin. form probably belongs here, but the vowel is irregular (-e- would be expected)."
605,"*ƛ̣eꭓʷ- ( ~ -ꭓ:ʷ-)",1366,"cobble-stone",,"ƛ̣iꭓʷin",,,,,"    Attested only in Gin., but having probable Andian parallels."
606,"*buƛ̣V",1369,"corner",,,,,"buƛ̣o",,"    Isolated in Bezht. (cf. also Tlad., Khosh. \Ibuƛ̣o\i), but having probable external parallels."
607,"*cɨme ( ~ -i-)",1370,"corner (inner)","cemi","cemi",,,,,"    PTsKh \I*cɨme\i ( ~ -i-)."
608,"*č̣emV",1371,"1 corner, angle (outer) 2 corner","č̣imu 1","č̣imu 1","č̣imi (Radzhibov)","č̣eme 2",,,"    PTsKh \I*č̣emV.\i"
609,"*micu ( ~ -ɨ-)",695,"corner, tip (of boots)",,,,,"mico",,"    Attested only in Bezht., but with probable external parallels."
610,"*ʔãꭓ:V",1373,"hearth","aꭓa (Radzhibov)",,,,"ãꭓo (Tlad.)",,"    Cf. also Khosh. \Iaꭓa-c̣o\i id. (a compound with \Ic̣o\i 'fire')."
611,"*-ɨ̃q̇V-",309,"bitter","meq̇aw","meq̇aju","meq̇q̇u","mɨq̇a-gu","n-iq̇aro (Tlad.)","naq̇aru","    PTsKh \I*mɨq̇a-;\i PGB \I*-ɨ̃q̇a-ru\i (with vowel assimilation in Gunz.). The initial nasal in PTsKh and Gunz. is a reflex of original class markers nasalised under the influence of the nasalised vowel (the changing nasalised class prefixes are still preserved in Bezht.)."
612,"*ʔãc(u)",1379,"door","ac","ac / ʕac","ac (Khaidakov)","ãc","ãc","ə̃cu","    PTsKh \I*ʔãc\i (cf. also Tsez. (Imnaishvili) \Iac\i / \Iʕac\i); PGB \I*ʔãcu\i (not quite clear is ə̃ in Gunz.)."
613,"*č̣eḳʷ-",1381,"hooked, curved","č̣igʷa-si (Radzhibov)",,"č̣egʷa-na (Radzhibov)",,"č̣eḳ-dĳö (Tlad.)","č̣eḳ-du","    PTsKh \I*č̣egʷ-\i (with dissimilation); PGB \I*č̣eḳ-\i (with an adjective suffixation). The aberrant Inkh. \Ič̣uḳ\i 'door hook' can not correspond phonetically to PGB \I*č̣eḳ-\i and is most probably a Nakh loanword."
614,"*lɔs ( ~r-, -s:)",113,"bolt, bar",,,,"los",,,"    Attested only in Inkh., but having probable external parallels (if we assume a rather usual semantic development 'metal, iron' > 'bolt')."
615,"*ꭓʷẽš:u A",1382,"bar, bolt, door-bolt","ħišuni","ꭓišu",,,"ʁeso","ʁõši","    PTsKh \I*ꭓ̥1̇ešu\i ( ~ -ö-,-Ṽ-); PGB \I*ʁö̃š[u]\i (cf. also Bezht. Khosh. \Iʁeso\i). There exists also a denominal verb: Tsez. \Iħiš-,\i Bezht. Tlad. \Iʁöš-,\i Khosh. \Iʁeš-\i / \Iʁes-\i 'to lock'."
616,"*ṭɨpV",1384,"a small barrel",,,,,,"ṭɨpi","    Attested only in Gunz., but having probable external parallels."
617,"*rig̥1̇a B",1386,"1 key 2 curved opener, key","reka 1",,"leka 1","lɨka 2","jiga 1","riga 1","    PTsKh \I*Rɨka\i (cf. also Inkh. in Bokarev's recording: \Irɨka\i 'key'); PGB \I*riga\i (cf. also Bezht. Tlad., Khosh. \Iriga\i)."
618,"*ʔãkV ( ~ ħ-,-g1-)",1390,"1 window 2 hole","aki 1","aki 1","ãki 1","ãka 1,2",,,"    PTsKh \I*ʔãkV.\i"
619,"*ḳoč̣(o) B",1391,"1 hole, burrow 2 window","ḳič̣ (Radzhibov)",,,,"ḳöč̣ö 2 (Tlad.)","ḳoč̣ 1","    PGB \I*ḳoč̣(o).\i"
620,"*=eꭓV",1395,"1 bottom 2 knees","waħu 1 (Kid.)",,,,"beʁe 2",,"    One of the roots with former class prefixes (w- in Tsez., b- in Bezht.); cf. also Bezht. Khosh., Tlad. \Ibeʁ\i 'groin'. The meaning 'knees, groin' is obviously secondary ( < *'lower part of body').     In Tsez. the word is also used as an adverb ('below'), and is sometimes provided with the locative ending -ƛ: \Iwaħ-ƛ\i > \IwaIƛ.\i Probably the same root (with initial reduction) was used in PTsKh to denote 'behind': PTsKh \I*ꭓ̥1̇[e]-zV-\i (Tsez. \Iꭓizäz,\i Gin. \Ihezo-\i); cf. an analogous reduction in PA \I*ꭓi-\i > Tind. \Iꭓe-ri\i 'behind'."
621,"*roṭV ( ~ j-,-ə-)",1396,"hole in the wall",,,,,"joṭo",,"    Attested only in Bezht., but having probable external parallels."
622,"*ʔõƛ̣u B",1397,"bottom","ʕeƛ̣u / ʕiƛ̣u","iƛ̣u","ĩƛ̣u","ẽƛ̣u","õƛ̣o","ə̃ƛ̣u","    PTsKh \I*ʔö̃ƛ̣u;\i PGB \I*ʔə̃ƛ̣u.\i The reflex *ə̃ in PGB is irregular (*õ would be expected)."
623,"*həbV ( ~ -e-,-ɨ-)",1398,"stick","hibo","hebo",,,,,"    PTsKh \I*həbo.\i"
624,"*ħem A",1399,"pier, bearing pillar","im, (Kid.) ʕim","im","im (Radzhibov)","em","hem","hem","    PTsKh \I*ʔem,\i PGB \I*hem.\i"
625,"*q̇ʷVč̣(a)",1400,"1 small stick 2 prop (of a balcony) 3 beam","q̇Iʷač̣a 2","ʁuč̣ 1",,,"q̇äč̣ä (Khosh.) 3","q̇ač̣a 3","    PTsKh \I*q̇ʷVč̣(a\i); PGB \I*q̇ač̣a.\i In Gin. there occurred a dissimilation (ʁ- < q̇-); the vowel is hard to reconstruct because of Tsez pharyngealisation. Perhaps we should relate here also PGB \I*q̇ač̣a-l\i 'knitting needle' (Bezht. Khosh., Tlad. \Iq̇äč̣äl,\i Gunz. \Iq̇ač̣al\i): cf. a similar development in PEC \I*č̣ħwɨ̆łū\i 'beam' > PD \I*č̣ala\i 'stick, fork; knitting needle'."
626,"*muḳru",1401,"stone prop, pier",,,,,"muḳro (Khosh.)",,"    Attested only in Bezht., but having probable external parallels."
627,"*č̣elu",1402,"cross-beam",,,,,,"č̣elu","    Attested only in Gunz., but having good external parallels."
628,"*gerV (~ə,ɨ,ɔ,-l-)",1404,"1 pole 2 log","giri 1","giri 2","giri (Radzhibov)",,,,"    PTsKh \I*g[e]Re\i (possibly also *-ɨ-,-ə- - if Gin., Khvarsh. \Igiri\i < \I*geri\i by assimilation)."
629,"*ʔãza-r ( ~ -z:-)",1405,"log",,,,,,"ãzar","    Attested only in Gunz., but having probable external parallels."
630,"*r[e]c̣u ( ~ l-)",1407,"1 wedge 2 beam","ric̣u 1","ric̣u 1","rac̣u-c̣an (Radzhibov)","rac̣u-c̣an 2",,,"    PTsKh \I*R[e]c̣u;\i the second part of the Khvarsh. and Inkh. compound is not quite clear."
631,"*ražV (~ž:,š,-ɔ-)",1408,"log",,,,,"jažo",,"    Attested only in Bezht., but having possible external parallels."
