NUMBER|PROTO|PRNUM|MEANING|LZG|TAB|AGU|RUT|CAK|KRZ|BUD|ARC|UDI|COMMENT
889|*ḳa(l)č̣(a)|1391|1 clitoris 2 penis (of a boy)|||||ḳač̣ani 1 (Mishl.)|||ḳač̣a 2||    4th class in both languages. Medial *-l- is suggested by external parallels, but must have been lost both in Arch. and Tsakh.
890|*ʔwVr-|1126|to glance, peep; to visit||||||||hara-kes||    An archaic stem - isolated in Arch., but having good external parallels. An old derivate is also Arch. \Ihara-k-ut\i 'window'.
891|*ʔuʔul / *ʔuʔul-t:|1392|1 hole 2 window||ulž 1,2|uʔul 1|||||||    Cf. also Tab. Düb. \Iuldu\i 'window, hole' (lit. \Iulž\i reflects \I*ʔuld\i with a palatalisation before the front vowel of the oblique base); Ag. Fit. \Iulud\i 'burrow', Burk. \Iul-am\i 'cavern'.
892|*ʔVnc̣ʷ(a)|1379|window||unč̣̌||||||||    Isolated in Tab., but having probable external parallels.
893|*λ:ana ( ~ λ-)|1393|bottom|||||xane|||||    The root is isolated in Tsakh. (cf. also Gelm. \Ixanä;\i its precise  meaning is 'bottom (as seen from below)', as opposed to \Iḳan\i 'bottom (as seen from above)'), with a probable Lak. parallel.
894|*ʔIaꭓ:ʷ(a) ( ~ -ꭓʷ-)|1395|foundation||||||||jaꭓʷ||    Isolated in Arch., but having probable external parallels.
895|*lerṭʷ ( ~ -ä-)|1396|foundation||šib-riṭ|šeb-reṭ (Fit.)|||||||    Both Tab. and Ag. reflect a compound \I*λ:ep:ɨ-lerṭʷ\i (with \I*λ:ep:\i 'foundation' as the first component). Cf. also Tab. Düb. \Išarwaṭa\i (with metathesis < \Išaw-raṭa\i) and especially Khür. \Iš:aw-luṭ\i 'foundation', preserving the original l- and pointing directly to PL \I*lerṭʷ\i (in other dialects l- > r- under the influence of *-r-).
896|*ƛ̣an|1397|bottom|ḳan|ḳan|ḳen|q̇an|ḳan|q̇än|q̇an|ḳan||    Cf. also Tsakh. Gelm. \Iq̇an.\i Obl. base \I*ƛ̣anɨ-\i (cf. Lezg. \Iḳani-,\i Tab. \Iḳana-,\i Ag. \Iḳeni-,\i Rut. \Iq̇aná-,\i Tsakh. \Iḳanɨ-\i). 4th class in all class-distinguishing languages.     See Лексика 1971, 184; Талибов 1960a, 300; Гигинейшвили 1977, 103.
897|*q̇ʷerč ( ~ q̇o-,q̇u-)|1400|bough; cudgel, log||q̇urč||||||||    Attested only in Tab. (therefore, the vocalic reconstruction is rather uncertain), but having probable external parallels.
898|*č̣ul ( ~ -o-,-l:)|1402|1 ceiling beam 2 thin log 3 planking poles|č̣ul 1|č̣ul 1|č̣il 2|č̣il 2 (Ikhr.)|č̣il 3|||||    Cf. also Ag. Bursh. \Ič̣il\i 'beam; thin log', Tsakh. Gelm. \Ič̣il\i 'beam'. Obl. base \I*č̣ulɨ-\i (cf. Gelm. \Ič̣ili-\i). With reduplication cf. Ag. \Ič̣uluč̣\i 'knitting needle' (for the semantics cf. Dargwa).     It is not impossible to derive from this root Arch. \Ič̣ele\i 'stone': cf. the semantic development in Lak. (lit. "beam, girder" - Khosr. "stone girder").
899|*ḳara|1403|1 rolling pin 2 battledore, roller 3 stick|ḳar 1|ḳar 2|ḳar 3|ḳar 3||||||    Obl. stem \I*ḳarä-\i (cf. Tab. \Iḳari-,\i Rut. \Iḳara-\i). 4th class in Rut. In Lezg. there also exists a word \Iḳaras\i (Khl. \Iḳaras\i) 'wood, firewood'; one wonders, if it is not a compound of \I*ḳara\i + \I*ʔIʷes:\i 'wood, firewood' (q.v.).
900|*k:or(a) ( ~ -ɨ-)|1404|pole|||||||||gor, gorgor|    Isolated within Lezghian, but having probable external parallels.
901|*räs:(a)|1405|stick, staff|||res|||räs|rəz|||    Obl. stem unknown. 4th class in Kryz. and Bud.
902|*t:uq̇- (~d,-o-,-Vq̇ʷ)|1406|1 pole, small beam 2 beam;stone for fastening roof||duq̇an 1|duq̇ur 2|||||||    The root contains different suffixes (*-Vn in Tab., *-Vr in Ag.).
903|*c̣ura ( / *ruc̣a)|1407|1 vertical lock; bracelet 2 woman's adorned belt||c̣ur 1|||c̣ura 2|||||    The original meaning is probably "wedge serving as a lock" (with a secondary development > "bracelet, adorned belt"). 3d class in Tsakh. The Tab. Kand. dialect has actually two words: \Ic̣ur\i 'vertical door-lock; bracelet; loop of the lock' and \Iruc̣\i 'lock with a hook'. Since there are no reasons to suppose two originally different roots, one of these two words is obviously a result of interdialectal borrowing.
904|*lač:(a)|1408|slab||||laǯ||||||    Attested only in Rut., with possible parallels in Darg. and Tsezian.
905|*ḳäḳ(a)|1409|thin log, billet||gaḳul||ḳäʔ||||||    Cf. also Tab. Kand., Düb. \Iḳaḳul.\i Tab. has a suffix, belonging originally to the oblique stem (cf. Rut. \Iḳäʔäl-\i). Final -ʔ in Rut. is a result of dissimilation (cf. similarly \Iḳäʔ\i 'top' < PL \I*ḳäḳʷ\i). 4th class in Rut.
906|*q̇ula|1410|1 board 2 shelf 3 lid, cover 4 small plank|q̇ul 1|q̇ul 1,2|q̇ul 3|q̇ul 1|q̇uwa 1|q̇ul 4|q̇ul 4|q̇ul 1||    Cf. also Tab. Düb. \Iq̇ul\i 'board, lid', Rut. \Iq̇ula-dɨ\i 'shelf for dishes'. The precise meaning in Kryz is "small plank for darning"; in Bud. - "last (for stretching woolen socks)". The obl. stem \I*q̇ulä-,\i besides Tsakh., is revealed in the Rut. form \Iq̇ula-dɨ\i (quoted above).     See Бокаpев 1961, 64; Лексика 1971, 171; Гигинейшвили 1977, 69, 103.
907|*q̇ʷin(a)|1411|1 peg 2 nail||q̇um 1|q̇ʷin 2 (Ars.)|||||||    Cf. also Tab. Düb. q̇um 'nail'. The Ag. form is cited from Shaumyan (who lists also Bursh. q̇in 'nail').
908|*ḳalṭV- ( ~ -r-)|1414|pole|||||||ḳərṭənə|||    Attested only in Bud. (a suffixed form in *-naj), but having probable external parallels.
909|*qIän ( ~ -a-)|1417|rock layer||||qIan (Shin.)||||||    Attested only in Rut., but having probable external parallels.
910|*ƛ̣Vl- ( ~ ḳ-)|362|stone for fastening the roof|||ḳele-ħan (Bursh.)|||||||    Attested only in Bursh., but having probable external parallels.
911|*c̣ʷep:V-|1418|1 hard 2 thick (of a flat object)|||c̣up:e-f||c̣oba-n|||||    Cf. also Bursh. \Ic̣ube-r,\i Burk. \Ic̣up:e-f,\i Fit. \Ic̣ep:i-t\i / \Ic̣ebbi-t\i (the latter form showing that the stem actually consists of the root c̣eb- + suffixed -b-).
912|*q̇aṭ|1419|1 piece, chopped block 2 small beam 3 remnant|q̇aṭ 1|q̇aṭ 1|q̇aṭ 1 (Bursh.)|q̇aṭ 1 (Shin.)|q̇aṭ 2|q̇äṭ 3|q̇aṭ 1|||    Obl. base \I*q̇aṭɨ-\i (cf. Tsakh. \Iq̇aṭɨ-\i). In Lezg. cf. also the verb \Iq̇aṭu-z\i 'to guess, to reason' (*'to put pieces together'). The stem is widely used in compound verbs: cf. Rut. \Iq̇aṭ haʔas\i 'to break', Tab. \Iq̇aṭ aṗuz\i 'to cut, chop', Ag. \Iq̇aṭ aq̇as\i 'to cut, chop, break'.
913|*reꭓ:Iʷa|1420|1 mill 2 to grind|reʁʷ 1|raʁI-in 1|raX̀ 1|ruꭓI 1|joꭓ:Ia 1|räħä-ǯ 2|s-orʕu 2|deꭓIʷ 1|b-erꭓ-sun 2|    The nominal root \I*reꭓ:Iʷa\i (which is itself an archaic verbal derivate, see below) is present in all languages except Shakhdagh and Udi and belongs to the 4th class in all class-distinguishing languages. Cf. also Lezg. Khl. \IräꭓIʷ\i 'mill', Tab. Kand. \IraʁI\i / \IraʁIin,\i Düb. \IraʁIa,\i Ag. Fit. \IraꭓIʷ,\i Tp. \Iraʕ\i id., Kryz. \Iräħä-ǯ,\i Bud. \Iraħa-ǯ\i 'meal, flour';  in Arch. the root contains -ꭓI:ʷ-, cf. the conjunctional form \IdeꭓI:u\i 'and the mill-stone' and the secondary derivate \IduꭓI:a-t\i 'mill'.     The original verbal root is not preserved as such in PL; instead, a secondary denominal stem \I*reꭓ:Iʷa-\i was used. Besides the listed Kryz., Bud. and Ud. forms cf.: Lezg. \Ireʁʷe-z,\i Tab. \Ira-ʁI-uz\i (Düb. \Ira-ʁI-us\i), Ag. \IruX̀-as\i (Bursh. \IurX̀a-s\i), Rut. \I-u-ruꭓIʷa-s,\i Tsakh. \Igi-ꭓ:Iʷar-es,\i Arch. \Ide-ꭓI:a-s\i (dur. \IderꭓI:u-r\i). The verb belongs to the weak verbal class.  Lezghian languages preserve also two other archaic derivates from the same verbal root:     1) PL \I*ꭓ:Iur\i / \I*ꭓ:Iuj\i 'meal, flour': Lezg. \Iʁür\i (Khl. \Iꭓür\i), Tab. \IꭓIu\i (Düb. \IꭓIuj\i), Ag. \IX̀ur\i (Fit. \IꭓIur,\i Tp. \Iʕur,\i Burk. \IraX̀u\i < \I*X̀aruj\i), Rut. \IꭓIur,\i Tsakh. \IꭓIu\i (\IꭓIujɨ-\i), Ud. \Iꭓari.\i The word belongs to the 3d class in Rut. and Tsakh.         2) PL \I*ꭓ:Iuw(a)\i 'mill': Kryz. \Iħuw,\i Bud. \Iħuw\i / \Iʕuw\i (4th class in Kryz., but 3d class in Bud.).     See Бокаpев 1961, 68; Лексика 1971, 174-175, 205; Гигинейшвили 1977, 121; Магометов 1966, 342.
914|*k:ʷar(a)|1421|a big jar (for carrying water)|k:ʷar|gʷar|gʷar|||||||    Cf. also Lezg. Khl. \Ik:ʷar,\i Tab. Düb. \Igar\i id. Obl. base \I*k:ʷara-\i or \I*k:ʷarä-,\i cf. Tab. \Igʷara-,\i Ag. \Igʷara-.\i Since the external parallels of this word mean 'gutter', it would be tempting to relate here also Arch. \Igʷarč:i\i 'mill kennel, funnel'; there is, however, no *-č:-suffix in Lezghian, and this problem remains open.
915|*lat|1422|1 stone trough for watering cattle 2 spring|lat 1|lat 2||lat 1 (Khniukh.)|lat 1 (Tsakh.)|||||    Cf. also Tab. Kand. \Ilat\i 'stone trough'. Obl. base \I*lata-,\i cf. Tab., Lezg. \Ilata-\i (the Tsakh. Tsakh. oblique base \Ilatɨ-\i is secondary). 3d class in Rut. and Tsakh.
916|*č̣aq̇ʷ ( ~ -ä-)|1423|1 wooden jar 2 spoon; wooden shovel for winnowing||č̣aq̇a 1 (Düb.)|č̣aq̇ 1 (Tp.)|||||č̣aq̇ʷ 2||    4th class in Arch. Obl. base unknown. There exists also a Lezg. (Khl.) form \Ič̣uꭓ-ar\i 'gutter, kennel': it can go back to the same root with a reflection of deglottalised *q ( > PL *-ꭓ-). Semantically (and formally) cf. Bezht. \Ičüꭓrö\i 'gutter' (see above).
917|*š:int(a)|1424|cradle||šint (Düb.)|šint (Bursh.)|||||||    For PL *š:- cf. Tab. Khür. \Iš:int.\i
918|*ḳʷVr-|1425|gutter, trough||ḳuram||||||||    With metathesis cf. also Tab. Düb. \Iḳunnur\i ( < \I*ḳurun\i / \I*ḳurum\i). Attested only in Tab., but with probable external parallels.
919|*wɨrs:ɨn (~ʔʷ-,-s-)|1426|gutter, trough||||wɨsɨn||||||    Cf. other dialectal forms: Khnov. \Iwɨsɨl,\i Shin. \Iwɨrsɨn.\i Attested only in Rut., but having probable external parallels.
920|*ṭona|1427|feeding-trough, manger|ṭun|ṭun||ṭɨn (Khniukh.)|ṭɨna (Mishl.)|ṭɨn|ṭun|ṭono||    Obl. stem \I*ṭonä-\i (besides the Tsakh. form cf. also Lezg., Tab. \Iṭuna-,\i Rut. \Iṭɨna-\i). 4th class in Arch., but 3d class in all other class-distinguishing languages.
921|*rɨqʷ / *ʔɨrqʷ (~ u)|1428|1 hole, burrow 2 cave, cavern||urq 1||raꭓan 1|wuqna 2|||||    The Rut. and Tsakh. forms have a *-nV-suffix (which can either reflect the former oblique stem, or - through metathesis - the original root resonant).
922|*s:el(a) (~-ä-,-l:-)|1430|stall, cattle-shed|||sal|||||||    Cf. also Ag. Bursh. \Is:el\i id. Attested only on Ag., but having probable external parallels.
923|*ƛ:ʷel(a)|1432|yard, place in front of the house||||||||ƛoli||    Isolated in Arch., but having probable external parallels.
924|*čal /*ʔar-čal (~l:)|1433|1 fence 2 enclosure for milking sheep||arčil 1||čal 2 (Ikhr.)|||||čal 1|    Cf. also Tab. Düb. \Iarčal\i 'fence'. The Tab. form contains a prefixed *ʔVr- (the meaning of which is not clear).
925|*ʔac̣:ar ( ~ hI-)|1434|enclosure, pen||at:ur||ad:ar (Mükhr.)||||||    The Tab. and Rut. reflexes clearly point to PL *-c̣:-, and the word is very probably related with PN \I*ʒʡāra;\i thus we must think that Darg. Chir. \IʕaIrt:are\i (whence Arch. \IaIt:əra\i) 'enclosure' is borrowed from Tab. (or Agul) already after the change *-c̣:- > -t:-.
926|*ʡa(r)ꭓ(:)- (~ʔʷ-)|1437|ruin(s)|||||||ʕaꭓu|||    Attested only in Bud., but having probable external parallels.
927|*λar|545|1 cave,cavity 2 earthenware stove for baking bread|xar 2|xar 1|xar 2|xar 2|xar 2|||||    Cf. also Tab. Ulz. \Ixar\i 'cave', Ag. Bursh. \Ixar\i 'stove' (both forms pointing to PL *λ-). Obl. base \I*xora-\i (cf. Lezg. \Ixra-,\i Ag. \Ixura-,\i Tab. with vowel levelling \Ixara-\i). 3d class in Rut.
928|*riq̇|1438|1 soup, broth 2 puree, thick soup||riq̇i (Düb.) 1|riq̇ 1|rɨq̇ 1|jɨq̇ 1|||diq̇ 1|iIjaʁI 2|    Cf. also Tsakh. Gelm. \Ijiq̇,\i Arch. erg. \Idiq̇i.\i Obl. base \I*riq̇ɨ-\i (Ag. \Iriq̇i-,\i Rut. \Irɨq̇ɨ-,\i Tsakh. \Ijɨq̇ɨ-,\i Gelm. \Ijiq̇ɨ-\i). 3d class in Rut., Tsakh., 4th class in Arch.     See Лексика 1971, 202; Талибов 1980, 265.
929|*λamλ(a)|1439|1 mould 2 liquid 3 soup,skilly 4 damp 5 to drizzle|xax 1|xax 1||||xäx 2|xixi 3|lamλ 4|ꭓoꭓo-pesun 5|    Arch. \Ilamλ\i < \I*λamλ\i by dissimilation. Oblique stem unclear. 3d class in Kryz and Bud.
930|*ʔic̣:ɨ- (/*mic̣:ɨ-)|1440|sweet|werc̣i|ic:i|it:e-f|id-dɨ|ut:u-n|||ic̣|muč:Ia|    Cf. also Lezg. Khl. \Iwerc:i,\i Rut. Ikhr. \Iit:ɨ-d,\i Tsakh. Tsakh. \Iütu-n,\i Arch. -c̣:- in forms like \Iic̣:ēnu-t\i 'everything sweet'. The Ud. form with m- is probably an archaism (cf. the external evidence); other languages have modified the stem on analogy with \I*ʔimc̣:\i 'honey' - which itself is an old derivate from the adjectival stem. The two stems have actively contaminated also in Lezgian - where \Iwerc̣i\i 'sweet' obtained the Anlaut on analogy with \Iwirt\i 'honey', while the noun \Iwirt\i got its -r- from the adjectival stem (regularly we would expect in Lezg.: \I*irc:i\i (or \Ierc:i\i) 'sweet' (with a typical adjectival -r- < \I*ʔic̣:V-rV-\i) and \I*wit\i 'honey'.         The word for 'honey' (PL \I*ʔimc̣:\i) has following reflexes: Lezg. \Iwirt\i (\Iwirṭe-di-\i), Khl. \Iürt\i (\Iürt:e-di-\i); Tab. \Ijič:̌\i (\Ijič:̌u-\i), Ag. \Iit:ʷ\i (\Iit:ʷa-\i), Bursh. \Ijit:ʷ\i (\Ijit:ʷa-\i ), Rut. \Iit\i (\Iitɨ-\i with secondary analogy instead of \I*it:ɨ-\i); Tsakh. \Iut\i (\Iut:e-\i), Gelm. \Iitʷ\i (\Iit:u-\i); Kryz. \Ijit;\i Bud. \Ijit;\i Ud. \Iuč:I.\i     See Бокаpев 1961, 71; Лексика 1971, 205; Гигинейшвили 1977, 72, 106.
931|*ḳunč̣(a)|1441|1 bunch, bundle 2 sheaf|ḳunč̣ 1|||||gunč̣ 2|kunǯ-al 2|||    The root reveals as-/dissimilations of laryngeal features, rather typical for roots containing more than one stop.
932|*š(:)erš:(a)|1443|garlic||šarš||||||||    Cf. also Düb. \Išerže\i (pointing to PL *-š:-). Attested only in Tab., but having probable external parallels.
933|*t:alc̣:|1444|1 butter 2 fat|düd-ʁʷer 1|darc: 2|darc: 2 (Fit.)|dad-ʁIʷar 1||||||    Cf. also Lezg. Akht. \It:üd-ʁʷer,\i Khl. \Iṭʷed-ʁʷaIr\i (labialisation in the Lezg. reflex is secondary, due to the labialising influence of ʁʷ). The Lezg. and Rut. forms are compounds with PL \I*ꭓ:IarV\i 'butter' q.v., and thus go back to \I*t:alc̣[u]-ꭓI:ar;\i the first component corresponds to Tab. and Ag. \Idarc:\i perfectly well. Medial *-l- is reconstructed on basis of Tab./Ag. forms (original *-r- would remain in Lezg. and Rut.).
934|*λ(:)VmV-|1445|internal fat, fat crease|||||xɨmɨl'|||||    Attested only in Tsakh., with possible Andian parallels.
935|*jiλʷa-l|1446|butter|||ifal|juxlad-ꭓIarad||||||    The Rut. form belongs to the Shinaz dialect (cited from Ibragimov 1978); it is a compound with \IꭓIarad\i 'butter'. Cf. also Rut. Ikhr. (ibid.) \Ijiflad-ꭓIarad,\i Ag. Bursh. \Iifal\i 'butter'.
936|*ꭓIan:a|1448|whey||||ꭓIada-ꭓIul|arꭓIane|||||    The Rut. word is a compound (for the second part, \I-ꭓIul,\i cf. perhaps PL \I*ꭓIul\i 'fat' q.v.?). The Tsakh. form has a prefixed *ʔVr- (whose meaning is unclear, as in a number of other PL etyma).
937|*näIƛ̣:|1449|1 milk 2 buttermilk|nek 1|nik: 1|nek: 1|näk 1|ńak 1|||naIƛ̣: 1|naq: 2|    Cf. also Lezg. erg. \Ineḳe-di,\i Rut. Ikhr. \Inek,\i obl. \Ineg:i-di-.\i Most languages reflect only consonantal oblique stems (in *-t:V, *-rV or *-nV; Arch. \IneIƛ̣:i-\i is not informative for the PL reconstruction); however, we can reconstruct the PL Ablaut *ä/i, reflected in the Tsakh. paradigm \Ińak,\i \Inik-ne-.\i In Udi the pure root means 'buttermilk, whey'; the meaning 'milk' is rendered by a compound \Imuč:Ia-naq:\i (lit. 'sweet whey').     See Бокаpев 1961, 59; Гигинейшвили 1977, 110.
938|*(ʔi)c̣:ur-|1451|to suck; to strain, filter||||||||c̣ur-bos 1|c:oro 2|    An Arch.-Ud. isogloss, therefore the first syllable is reconstructed only because of general considerations of the verbal root structure.     An archaic derivate is Arch. \Ic̣urəla\i 'neck of zourna (flute)' < PL \I*c̣:urVl(a\i) (this noun originally meant 'filter, sieve', as seen from external evidence).
939|*meħ|1452|1 sour clotted milk 2 whey 3 wet|meh 1|meh 2|maħ 2|mehi-d 3 (Ikhr.)||meʕ 2|meħ / meʕ 2|meI 2||    Cf. also Tab. Düb. \ImahI,\i Ag. Burk. \Imäħ\i 'whey', Rut. Shin. \Iməh-dɨ\i 'wet'. Obl. base not quite clear (Tab. \Imehu-,\i but Ag. \Imaħa-\i). 4th class in all languages.     See Лексика 1971, 207.
940|*ʔäc̣ʷV|1454|1 raw 2 sour 3 to be fermented|ic̣i 1|uč̣̌ru 2|ruc̣ar 2||||||aje-sun 3|    The root normally does not have class prefixes, thus the Ag. form with r- is probably secondary (the same with Tab. Düb. \Irič̣̌ri\i id.). In Ud. cf. also \IaIjiI-n\i 'ferment, yeast'.
941|*ḳam(a) ( ~ ƛ̣-)|1455|1 butter 2 sour cream||ḳamu 1|ḳum 2|||||||    Cf. also Ag. Bursh. \Iḳam\i 'sour cream'. The Tab. form reflects a *-j-suffix (\I*ḳamVj\i). -u- in Ag. (Rich.) probably reflects the old oblique base vocalism in the paradigm \I*ḳam(a\i), \I*ḳomV-\i (cf. Ag. \Iḳuma-\i), later transferred to the direct base.
942|*č̣:äIm|1456|butter|č̣em|č:im|č:aIm|čam (Khnov.)||čem|||č:äin|    Cf. also Lezg. Khl. \Ič:em,\i Tab. Düb. \IǯaIm,\i Ag. Burk. \Ič:aIm,\i Fit. \Ič:em.\i Obl. base \I*č:äImɨ-\i (cf. Lezg. Khl. \Ič:emi-,\i Ag. \Ič:aIma-\i). 4th class in Kryz.     See Хайдаков 1973, 251; Талибов 1980, 271.
943|*ʔitʷar-|1458|1 to ferment,turn sour 2 to curdle|arut-iz 2|ut-uz 1|ruta-s 2||||ʕ-at-ar 1|tar-as 2||    Cf. also Arch. \Itʷa-s\i 'to fade, wither' (Arch. \Itar-as\i < \I*tʷar-as;\i \Itʷa-s\i is a back-building from the original durative \I*tʷar,\i where -r belonged to the root - thus an originally single paradigm was split into two with an overlapping durative form).     In Lezg. and Ag. there occurred a metathesis; cf. also the derivate Lezg. \Iaruta\i 'curdled milk', Ag. (Bursh.) \Iarutaj\i 'curds' < \I*ʔVtʷar-aj.\i
944|*warta|1459|1 top 2 wheel set on the spindle top 3 reel, spool|wat 3||wart 1,2 (Bursh.)|||||||    Cf. Lezg. erg. \Iwat-uni-;\i for the oblique base cf. Ag. \Iwarti-.\i
945|*nis:a(j)|1460|cheese|nisi / nasu|nis|nis|nisä|nis:e|nisi (/nissi)|nusu|||    Cf. also Tab. Düb. \Inis:i,\i Ag. Bursh. \Inis:\i (like Tsakh. \Inis:e,\i pointing to PL *-s:-). The Kryz form with -ss- is interesting, because Kryz has lost the opposition of tense/weak fricatives; this may be a loanword from Lezg. (before this opposition was lost in Lezg. as well). Most forms reflect a PL suffixed form \I*nis:aj\i (or else \I*nis:ʷäj\i - to account for vowel labialisation in Lezg. and Bud.); Tab. and Ag. (possibly also Tsakh.), however, reflect a suffixless form \I*nis:a\i (cf. also the Ag. obl. stem \Inisa-\i). The word belongs to the 4th class in all class-distinguishing languages.     See Бокаpев 1961, 59; Лексика 1971, 209; Гигинейшвили 1977, 119.
946|*ꭓ:IarV|1461|butter|ʁeri|||ꭓIara-d|||ħarə-ǯ|||    4th class in Rut. and Bud. All forms are suffixed (with *-Vj in Lezg., *-Vt: in Rut. and Bud.).
947|*ku(r)ka (~kV(r)kʷa)|354|cake, bread|||||kuka|||||    Attested only in Tsakh., with possible external parallels.
948|*ƛ̣un:|1462|1 malt 2 flour|q̇ut 1 (dial.)|||||||ḳun 2||    Cf. Arch. erg. \Iḳunné.\i 4th class in Arch.
949|*wɨnƛ̣ / *wɨnƛ̣ɨj|375|malt|iḳi|mič̣i|miḳi|q̇e|ḳɨ||ḳem-er|boḳ||    Cf. also Lezg. Khl. \Iḳiʔ.\i The initial syllable with a labial is preserved in Tab., Ag., Arch. and Bud. (where \Iḳem-er\i is a metathesis < \I*meḳ-er\i /an originally plural form/); it also left a trace in lit. Lezg. (where \Iiḳi\i < \I*jiḳi\i < \I*wɨnƛ̣ɨj\i). Loss of *mV- in Rut. and Tsakh. is a rare phenomen (unlike Lezg., where it is regular); in this case it may have been favoured by the analogy with another root, PL \I*ƛ̣un:\i 'malt, flour' q.v.
950|*q̇Iʷerč̣(a) (~o,-l-)|1464|roasted grain|||q̇Iurč̣ (Bursh.)|||||||    Attested only in Bursh., with a possible Tsez. parallel.
951|*s:iw|1465|oat flour|saw|su|musu|su|su|suw||||    Cf. also Lezg. Khl. \Isaw,\i Ag. Bursh. \Imus:u\i (pl. \Imus:uw-ur\i). Ag. \Imus:u\i < \I*mi-s:iw\i with a secondary *mi- (none of the other languages has any trace of it), obviously under the influence of the semantically close \Imiḳi\i < \I*mɨƛ̣ɨj\i (\I*wɨnƛ̣ɨj\i) 'malt'. The obl. base can be reconstructed as \I*s:iwɨ-,\i cf. Lezg. \Isawu-,\i Rut. \Isuji-\i ( < \I*siwɨ-\i).     See Талибов 1980, 314.
952|*č̣aṭ|1466|1 bread (made from millet flour) 2 stuffed cookie|č̣aṭ 1|||č̣ad 1||č̣eṭ 2|č̣aṭ 2|||    3d class in Kryz. and Bud. Obl. stem unknown. In Rut. there occurred a dissimilation in glottalisation.
953|*gimgʷV-lV / -rV|1467|1 cake, cookie 2 flour made of roasted wheat|||k:uk:alaj 1|gugalaj 1|gurguma 2|||gamgi||    The Arch. word has a specific meaning: "drink made of malt" (with the original meaning being 'malt, malt flour'). The Tsakh. form, in view of external evidence, is best explained as a metathesis < \I*gumgura\i < \I*gimgʷV-raj\i (Ag., Rut. < \I*gimgʷV-laj\i). In all these forms the expressive suffix *-j is present.
954|*lojc: / *jolc:|1468|1 clay (for plastering walls) 2 white|luʒ (Nüt.) 1|lurz 1|luz 1|lɨz 1||luzu (Al.) 2|luzu 1|||    Cf. also Tab. Khan. \Ijülʒ\i 'clay' (demonstrating the original *j; the lit. form \Ilurz\i (as well as Ag. Bursh. \Ilurz\i) is obviously a development < \I*lolc:\i < \I*lojc:\i with assimilation); Rut. \Ilɨzɨ-d\i 'dough'. The Kryz. word is a result of contamination with PL \I*lac:V-\i 'white' (q.v.), reflected as \Iläzi\i in Kryz proper. The closely related Budukh language makes a clear distinction between \Iləzu\i 'white' and \Iluzu\i 'clay'.
955|*mak:al(a)|1469|roasted grain||||magal (Khnov.)||||||    Attested only in Rut., but having probable external parallels.
956|*ʡul (~ʡʷi-,-o-,-l:)|1470|bread||ül|ʡül (Bursh.)|||||||    Cf. also Tab. Düb. \Iül\i id.
957|*ḳuḳV-|1471|1 cake, cookie 2 a k. of fancy bread|||ḳaḳuc̣aj  (Fit.) 1|||ḳuḳ 1|ḳuḳ 1|ḳurḳuni 2|k:ok:oli 1|    3d class in Arch., 4th class in Kryz. and Bud. The medial -r- in Arch. is probably secondary (\Iḳurḳuni\i must be an expressive modification of a form like \I*ḳuḳuri\i), because other languages do not reflect any medial liquid.
958|*s:ʷem|1472|1 straw 2 ear and stalk of mown corn, bread|sam 1|š̌um 1|s:um (Bursh.) 1|sum 1|som (Mishl.) 1|sum 1|sum 1||šIum 2|    Obl. stem not clear. 4th class in all class-distinguishing languages. See Бокаpев 1961, 59; Лексика 1971, 176; Гигинейшвили 1977, 71; Талибов 1980, 271.
959|*k:orc ( ~ -ɨ-)|1473|1 cake, cookie 2 dumpling||||gɨrc 1|gɨrc 2|||||    4th class in both languages. Obl. base \I*k:orcɨ-\i (Rut., Tsakh. \Igɨrcɨ-\i).
960|*č̣aʔ (~-e-,-h,-ʡ,-ħ)|1296|roasted grain||||||č̣eʕ||||    Attested only in Kryz., but having probable external parallels.
961|*ꭓɨnḳ|391|dumpling (khinkal)|ꭓinḳ|ꭓinḳ|ꭓinḳ (Bursh.)|ꭓinḳ-ar|ꭓinḳ-ar|||qonḳ||    3d class in Rut., but 4th class in Arch. and Tsakh. Besides the Archi form with q- there is a number of other dialectal forms with a uvular affricate: Ag. \Iq̇ʷaḳi,\i Rut. \Iqinḳĳ-bɨr,\i Tsakh. \Iq̇ɨnḳ-al,\i which is all rather strange (all external parallels point to a PEC fricative).
962|*mäIt:|392|treacle, syrup|med|med||||mäṭ||||    Cf. also Tab. Düb. \ImaIj,\i Khan. \Imer\i id. 4th class in Kryz. Unclear is the glottalisation *-t: > -ṭ in Kryz. The obl. base can be reconstructed as \I*mäIt:ɨ-\i or \I*mäIt:e-\i (cf. Lezg. \Imet:i-\i). Some Lezg. form was the source of Azer. \Imät\i 'sediment, treacle'.
963|*ꭓIana|1475|an intoxicating liquor||||ꭓIan|wɨꭓIna|||||    Cf. also Tsakh. Gelm. \IwɨꭓIɨna,\i (Tsakh.) \IwuꭓIana.\i 4th class in Rut. and Tsakh. The Tsakh. word contains a prefix wu- , probably < *ru- (or *ʔur(V)-).
