NUMBER|PROTO|PRNUM|MEANING|DRG|CHR|COMMENT
354|*s:inka|1146|bear|sinka|s:ika|    Cf. also Tsud. \Is:inka,\i Ur. \Isinka,\i Kub. \Is:ika.\i
355|*bec̣|1147|wolf|bec̣|bec̣|    Cf. also Ur., Kub. \Ibic̣,\i Kad., Tsud. \Ibec̣\i etc.
356|*k:urt:a|1148|fox|gurda|k:urt:a|    Cf. also Ur. \Igurda,\i Kub. \Ik:ūt:a,\i Tsud. \Ik:urt:a.\i
357|*ʁIʷari|1152|hare|ʕaIra|ʁIura|    Cf. also Ur. \IʕʷaIri,\i Kait. \IʁIʷari,\i Kub. \IʁIʷā,\i Tsud. \Iʕuri.\i
358|*murs:|566|mountain goat||murs:|
359|*xʷinta|1196|doe|hinta||    Cf. also Ur. hinta, Kub. xʷinta, Kait. šʷenta 'roe'.
360|*žaq̇a|1160|pig, boar||žaq̇a|    Cf. also Muir., Gapsh., Kait., Kub., Kharb., Tsud. \Ižaq̇a.\i
361|*t:uk:V- (~ *d-,-g-)|1166|badger|dug-aIq̇||    Cf. also \Idugeli-bug\i id. (a compound with PEC \I*bHVrgV\i q.v. in the second part). Ak. \IdugaIq̇\i is also probably a compound, but the second component is not clear.
362|*terɣʷa|1167|weasel|tarha|tergʷa|    Cf. also Ur. \Itarhʷa,\i Tsud. \Itarhʷa,\i Sirg. \Itargʷa\i id.
363|*qaIša (~ -š:-)|1161|badger|qaIša||
364|*ꭓ:Iarc̣|1168|1 marten 2 squirrel|ꭓaIrc̣ 1|ꭓ:Iarc̣ 2|    Cf. also Tsud., Sirg., Kait. \IꭓaIrc̣.\i
365|*waca|1172|mouse|waca|waca|
366|*=ix:(ʷ)-|108|to go; to flow|=ix-||    Cf. Ur. \I=ix-\i / \I=irx-\i (0 conjugation) id.
367|*q̇aIt:-(mVk:a)|1174|hedgehog|q̇aIdga|q̇Iabk:a|    Cf. also Kub. \Iq̇inṭq̇a.\i The Darg. dialectal forms represent an original compound \I*q̇aIt:-mVk:a;\i the meaning of the second part is obscure, but the whole compound is exactly parallel to Lezgian forms like Tab. (Düb.) \Iq̇Iurdu-maga,\i Ag. (Shaumyan) \Iq̇ürdmag\i 'hedgehog'.
368|*š:aḳaḳ-|492|quail||š:aḳaḳi|
369|*č(ʷ)aṭa|178|swallow|čaṭa||    Cf. also Ur. \Ičuṭa,\i Gapsh. \Iʕar-čiṭu,\i Kharb. \Ičaṭa\i id. The Chir. form \Ižat:a\i is quite aberrant phonetically (probably for expressive reasons).
370|*buruš:|1175|bed|buruš|buruš:|    Cf. also Ur. \Iburuš,\i Kub. loc. \Ibūš:a-na.\i
371|*š:i|1176|village|ši|š:e|    Cf. also Ur., Kad. \Iši,\i Kub. \Iš:e,\i Kait., Tsud. \Iš:i\i etc.
372|*kur|1177|pit|kur||    Cf. Ur., Tsud. \Ikur\i id.
373|*muq̇(a)|1178|nest|puq̇a|muq̇|    The initial p- in Ak. is quite enigmatic, but the word is hard to separate from Chir. \Imuq̇,\i Ur. \Imuq̇a\i 'nest'. The Ak. word means also 'pit', and is borrowed in Lak. \Ipuq̇a\i 'shanty, hovel'.
374|*qali|1179|house, room|qali|qale|    Cf. also Ur. \Iqali,\i Kub. \Iqal\i etc. Cf. also the derived words for 'roof': Ak. \Iqalč,\i Chir. \Iqalʁ.\i
375|*megʷ(a)|1180|1 nest 2 stool|muga (Kub.) 1|megʷal 2|    Cf. also Kait. \Imeg\i 'nest'.
376|*mus:a|1181|1 place 2 floor|musa 1|mus:a 2|    Cf. also Ur. \Imusa,\i Kub., Kait. \Imus:a\i 'place'.
377|*waIwaIc|1183|hawk||waIwaIc|
378|*q̇(ʷ)aIʁu|118|rook|q̇aIʁu (Ur.)||
379|*q:ulq:a|1186|crow||q:ulq:a|
380|*q:Iana|1187|crow|q:aIna|q:ulq:a-q:Iana|    Cf. also Chir. \Ic̣at:ar-q:Iana\i 'jackdaw' (lit. 'black \Iq:Iana'\i); Ur. \Iq:Iana,\i Kub. \Iq:ina,\i Tsud. \Iq:Iana,\i Kad. \IʁIana\i et al. 'crow'.
381|*ḳanV-ri|1189|quail|ḳanari||    Cf. also Ur. \Iḳanni\i id.
382|*waIrq:-|1191|magpie|waIq:laIq:i|warq:Ia|    A root with strong onomatopoeic distortions; however, having probable external parallels.
383|*k:ek:ʷa-|1193|cuckoo|gegut|k:ik:up|    Darg. dialects reflect a basic form \I*k:ek:ʷa-\i with various expressive suffixes: cf. Kub. \Ik:ʷak:ʷa,\i Ur. \Igigug,\i Tsud. \Ik:uk:uk,\i Kait. \Ik:uk:up.\i
384|*baba-j|114|mother||babaj|    In this shape the word is attested only in the Chirag dialect; other dialects reflect PD \I*ʔaba\i 'mother' (standing apart from other EC forms: the PEC root \I*ʔŏbV̄-jV\i q.v. usually means 'father').
385|*lanxʷa|1194|pigeon|laha|nexʷa|    Cf. also Ur. \Ilawha,\i Muir. \Ilahʷa,\i Kait. \Ilaxʷa,\i Kub. \Inaxʷa.\i Initial n- in Chir. and Kub. clearly points to original medial nasalisation in this root.
386|*ṭuma|1196|owl|ṭuma|ṭuma|    Cf. also Ur., Kub., Tsud. etc. \Iṭuma.\i
387|*wat:wat:i (~ d)|1199|hoopoe|wadwadi||
388|*s:uIl(Vn)-|1200|wild turkey||s:uIllinṭ|    Attested only in Chir.; -ṭ is a common expressive suffix.
389|*q̇ʷanq̇ / *q̇ʷarq̇|1203|1 heron, bustard 2 crane|q̇anq̇ 1|q̇arq̇ 2|    Cf. also Tsud. \Iq̇ʷanq̇\i 'heron', Ur. \Iq̇unq̇\i 'crane'. The literary (Ak.) word for 'crane' is \Iq:urʁ,\i which may be an expressive variant of the same root.
390|*ʁIaṭa|1205|frog||ʁIaṭa|    Cf. also Sirg., Ur., Tsud. \IʕaIṭa,\i Kub. \Iħiṭa.\i
391|*š:ilṭa|1208|lizard|šuršuṭan|š:aṭa|    An expressive root with some irregular changes. Cf. also Kub. \Iš:iṭa,\i Kharb. \Iš:ilṭa\i (the most archaic form).
392|*q̇i|624|nit|q̇i||    Cf. also Kharb., Tsud. \Iq̇i.\i
393|*širV (~ š:-)|1209|worm, helminth|širi (Kait.)||    Cf. also Kub. \IšiwaIj\i id.
394|*ħit:u- (~ -d-)|1211|leech|ħidu-žan||
395|*ħumc:|1213|gadfly|ħunz, ħumuz||
396|*ħʷarʔ|1215|mosquito|ħur||    Cf. also Ur. \Iħarʔ,\i Ak. (in Musayev's record) \Iħerʔ.\i
397|*ʕems:|1216|moth|ʕems||    Cf. also Ur. \Iims\i id.
398|*s:ub|124|male, man|sub||    Cf. also Kait. \Isuw\i id.
399|*ṭenṭ / *ṭanṭ|1218|fly|ṭenṭ|ṭeṭ|    Cf. also Ur. \Iṭanṭ,\i Kub. \Iṭaṭ,\i Tsud. \Iṭenṭ.\i
400|*q̇iḳʷ|1222|moth||q̇iḳʷ|    Cf. also Kharb. \Iq̇ik\i (probably, an incorrect recording instead of \I*q̇iḳ\i) id.
401|*q:ulq̇i|131|roasted grain||q:ulq̇e|
402|*zimizala|1224|ant|imiʔala|zimizal|    Cf. also Ur. \Iimiʔala,\i Kub. \Idindala,\i Tsud. \Izimizala,\i Kait. \Izimzar\i (with another suffix).
403|*mirqʷi|1229|bee|mirqi|murqe|    Cf. also Ur., Tsud. \Imirqi,\i Kub. \Imūqe.\i
404|*ḳaḳa-ri|1232|tick|ḳaḳari|ḳaḳare|
405|*c̣ic̣im-|1233|butterfly|c̣ic̣im-kala||
406|*c̣erc̣|1234|cricket, locust, grasshopper|c̣erc̣||    Cf. also Ur. \Ic̣irc̣,\i Tsud. \Ic̣erc̣\i 'grasshopper, locust'.
407|*ꭓ:ʷiri|250|lime-tree|ꭓur|ꭓ:ire|    Cf. also Tsud. \Iꭓ:ur,\i Ur. \Iꭓur,\i Kub. \Iꭓĳ\i etc. Chir. \Iꭓ:ʷar\i 'log' may reflect an old Ablaut variant (cf. the situation in Lezghian languages), but also may be a Lezg. loanword.
408|*ʔaq-|142|high|aq-si||    Cf. also Ur. \Iaq,\i Kharb., Tsud. \Iaq-se\i 'high, tall'. Cf. also the root \Iaq-\i in the compound (Ak.) \Iaq-biʔes\i 'to rise', and as a verbal root: Ak. \Iaq-es,\i Ur. \IaIq-\i / \Iiq-\i 'to cross, pass over' (cf. the semantic development in Av.-And.).
409|*dex:ʷ|1240|log, beam|dex||    Cf. also Tsud. \Idexʷ,\i Ur. \Idix\i 'beam', Kub. \Idixʷ\i 'cross-beam'.
410|*c:a(n)c:i|1244|thorn, prick|zanzi|c:ac:e|    Cf. also Ur. \Iʒanʒi,\i Kub. \Ic:ac:e,\i Kharb. \Ic:anc:i\i id.
411|*=umc̣-|160|to search|umc̣-es||
412|*=aʔ-/=iʔ-|162|to reach|=aʔ-||    Cf. also Ur. \I=aʔ-/=iʔ-\i id.
413|*=uxʷ-|163|to speak, to say, to talk||=uxʷ-|
414|*-aʕu-|165|wide|b-aʕu-si||
415|*=uc̣-|1251|to plane, hew|=uc̣- (Kub.)||    Cf. also the derived PD \I*ʔuc̣a-la\i 'chip, sliver': Ak., Ur., Chir. \Iuc̣ala.\i
416|*c:eꭓ:eni|1253|beam, cross-beam|zeꭓni||    Cf. also Ur. \Iʒiꭓini,\i Kub. \Ic:iꭓ:in.\i
417|*maqʷ|1254|birch|maq|maqʷ|    Cf. also Gapsh. \Imaq\i id. Some Lak. dialectal forms (Kul., Vikhl. \Imaq,\i see Khaidakov 1966) are most probably borrowed from Dargwa.
418|*mik:ʷ|1258|oak-tree, acorn|mig||    Cf. also Ur. \Imig,\i Kub. \Imikʷ\i (pl. \Imik:ʷe\i).
419|*maħa-r|503|a sort of barley|maħaIr||
420|*q̇Iʷaq̇I|185|grain|q̇aIq̇||    Cf. also Ur. \Iq̇aIq̇,\i Mek. \Iq̇ʷaIq̇.\i
421|*qix:ʷ|1265|nut, walnut||qix:ʷ|    Cf. also Kub. \Iqixʷ\i (pl. \Iqix:ʷe\i), Tsud. \Iqixʷ,\i Sirg. \Iqix.\i There exists also a PD form \I*ꭓiɣʷ\i (Ak., Ur. \Iꭓiw\i), which is probably an assimilation < \I*qiɣʷ\i (reflecting either a contamination or an old compound of the root \I*qix:ʷ\i with another root, going back to PEC \I*ʔwǟrƛ̣̲V\i q.v.).
422|*ʔanḳi|1266|wheat|anḳi|ač̣e|    Cf. also Ur. \Ianḳi,\i Kub. \Iač̣e,\i Tsud. \Ianč̣i.\i
423|*hinc|1267|apple|ʕinc|ʕinc|    Cf. also Kub. \Ihinze,\i Ur. \Iʕinc,\i Sirg., Kait. \Ihinci,\i Tsud. \Ihinc.\i
424|*=iꭓ:I-|191|to guard||=iꭓ:I-|    The Chir. dialect also has \I-a(l\i)ꭓ:- 'to feed', which may be related (through vowel Ablaut). An archaic variant (with variation *x:/*ꭓ:) may be Chir. \Iʕaš:e\i 'herdsman' ( < PD \I*ħax:i\i).
425|*qIar|1269|1 pear 2 pear/apple (a generic name)|qaIr 1|qIar 2|    Cf. also Ur., Tsud. \IqIar,\i Kub. \Iqī\i (loc. pl. \Iqū-ba-d\i) 'pear'. An interesting form (suggesting a possibility of labialisation in PD) is Mek. \IqIʷar\i (MSU recording) id.
426|*q̇urč|1272|peach|q̇urč||    Cf. also Ur. \Iq̇urč\i id.
427|*ʔanq|1274|1 garden 2 fruit(s)|anq 1|aq 2|    Cf. also Ur. \Ianq\i 'garden'.
428|*k:imirsi|1277|quince|gimirhi||    Cf. also Ur. \Igimirʔa,\i Kait. \Ič:imisi,\i Kub. \Ič:imite\i id.
429|*ʔi-ḳ|2234|that (above the speaker)|iḳ|iḳ|    Cf. also Chir. \Iḳa-ʕ\i "this, that (above the speaker)".
430|*mura|1279|hay|mura|mura|    Cf. also Kub. \Imā,\i Ur., Kad., Kait., Kharb., Tsud. \Imura\i id.
431|*č:unab|1281|cornel|žunab||    Cf. also Kait. \Ič:imbe\i (plur. tant.), Tsud. \Ič:unab.\i Chir. \Ižunaw\i is obviously a loan (either from another Darg. dialect, or from Lak.).
432|*mVmVrV|1283|raspberry||mimre|
433|*ʒiʒV ( ~ -e-)|1284|blackberry|ziza- (Kub.)||    Musayev cites the word in the locative form \Iziza-l.\i Since PD *ʒ usually gives Kub. s, the form may be a loanword (cf. Lezghian forms below).
434|*nuq̇-un|1289|1 flour from young sprouts 2 flour|nuq̇un 1|nuq̇un 2|    Cf. also Kub. \Inuq̇un\i 'flour from young sprouts'.
435|*beṭu (*beṭʷi)|1291|dough|beṭu||    Cf. also Ur. \Ibiṭu\i 'flour, dough', Kait., Sirg. \Ibeṭu\i 'flour'.
436|*niqIa|1292|oats|niqaI||    Cf. also Ur., Kub. \IniqaI\i id.
437|*q̇ar|1293|grass|q̇ar|q̇ar|    Cf. also Ur., Tsud. \Iq̇ar,\i Kub. \Iq̇aj\i id.
438|*-arṭ-|217|to cut, to cut out|=arṭ-/=irṭ-(Ur)||    Cf. also Kub. \I=ēṭ-\i / \I=uṭ-.\i
439|*q:Iʷač:|1295|bread||q:Iuč:|
440|*c̣alq̇Ii|1297|oats||c̣alq̇Ie|
441|*s:u(l)s:ul|1298|rye|susul|s:us:ul|    Cf. also Kait., Kharb. \Is:us:ul,\i Ur. \Isusul,\i Kad. \Isursur\i 'rye'.
442|*muqi|1301|barley|muqi|muqe|    Cf. also Ur. \Imuqi,\i Kub. \Imuqe.\i
443|*beḳ|1303|ear (of corn)||beḳ|    Cf. also Kait. \Ibeḳ\i id. The root within Darg. had merged with \Ibeḳ\i 'head' (which may have been favoured by the same process in modern Lezghian languages, see PEC \I*ƛ̣[ɨ̆]lĭ\i), but the Tsez. parallels show that this is a secondary process.
444|*luk:i ( ~ -g-)|1305|ear (of corn)|lugi||    Cf. also Mek., Ur. \Ilugi\i id.
445|*q̇um|1306|fruit stone|q̇um||
446|*ʔudar|1308|grain||udar|    Cf. also Kait., Kub. \Iudar.\i
447|*=acVn / =alc-|254|to plough|=alc-es||    Cf. also Ur. \I=acVn\i / \I=alc-\i 'to plough'.
448|*ḳa|150|foliage|ḳa-ri||    A plural form from PD \I*ḳa\i 'leaf', reflected in Ur., Kub. \Iḳa.\i
449|*k:a|1309|awn|ga-ri||    Cf. also Ur. \Igari\i id. -ri is originally the plural suffix (cf. Ur. \Iḳari\i 'leaf' < \I*ḳa-ri\i 'foliage' etc.).
450|*ħurt:a|1316|henbane|ħorda||
451|*hIatu-ri|1317|ramson|ʕaIt-uri||
452|*(=arc̣-) / =irc̣-|1318|to weed|=irc̣-es||    Only the Ak. durative \I=irc̣-\i is attested. Cf. also the old derivate PD \I*ʔarc̣i\i 'weed' > Ur. \Iarc̣i,\i Kub. \Iāc̣e.\i
453|*mic:(i)|1320|nettle|niz|muc:e|    Cf. also Ur. \Iniz,\i Kub. \Imic,\i Kharb., Sirg. \Imic:e.\i
454|*miɣa ( ~ -ʔ-)|1321|barberry|miʔa||    Cf. also Ak. \Imusi-miʔa\i 'sorrel', Ur. \Imiʔa\i 'barberry', Kad. \Imiʔa\i 'nettle'.
455|*rurs:i|243|girl|rursi|rus:e|    Cf. also Ur. \Irursi,\i Kait. \Irirs:i,\i Kub. \Ijūs:e,\i Tsud. \Irurs:i\i id.
456|*s:aṗ|1324|ramson||s:aṗs:aṗ|    The Chir. form is reduplicated.
457|*ħa(n)ši ( ~ ʕ-)|1329|caraway||ʕaše|
458|*š:aIm-|1326|mint|šumeri|š:aImul|    The root is provided with frequent suffixes (-ri and -l).
459|*heq̇ul(i)|724|burdock|haq̇ule|ħeq̇ul|
460|*ʕamqa|1336|weed||amqIa|
461|*q̇eħa|1341|radish, beetroot|q̇eħe||    Cf. also Kub. \Iq̇ā,\i Ur. \Iq̇aħa\i 'turnip', Tsud. \Iq̇eħe\i 'beetroot'.
462|*max:i|1345|farmstead|maxi||    Cf. also Ur. \Imaxi,\i Kait. \Imax:i,\i Kub. \Imaš:e,\i Sirg. \Imaš:i,\i Kharb. \Imax:i.\i
463|*=ikVn- / =ilk-|278|to say|=ikVn- (Ur.)||    Ur. \I=ikVn-\i / \I=ilk-.\i The verb is also used as auxiliary (a frequent feature in Daghestan languages, cf. Arch. \Ibos\i 'to say' used in the same way etc.).
464|*k:imi, *k:im-bi|1349|bridge|gumi|č:ime|    Cf. also Ur. \Iɣubi,\i Kub. \Ič:imi,\i Tsud. \Ik:ubi.\i The form with *-bi, reflected in several dialects is the old plural.
465|*mez|1353|place|mer||
466|*hanq:i|1354|hearth|anq:i|haq:a|    Cf. also Ur. \Ianq:i,\i Kub. \Iaq:e\i id; the latest MSU Chir. recording is \Iaq:a.\i
467|*q̇aq̇a|1351|1 ravine 2 street|q̇aq̇a 1,2|q̇aq̇a 2|    Cf. also Kait., Kub. \Iq̇aq̇a\i 'street'.
468|*ɣaꭓ:a|1363|shed|jaꭓa|iꭓ:a|    Cf. also Ur. \Ijaꭓa\i 'kennel'.
469|*qar|1364|1 lid, cover; ceiling 2 top|qar 2|qar 1,2|    Cf. also Ur. \Iqar,\i Kait. \Iqar\i 'lid, cover'.
470|*lac|1365|wall|lac|lac|    Cf. also Tsud. \Ilac,\i Kub. \Ilas.\i
471|*q:Iamc:i|956|corner|q:aImzi||
472|*muza|695|corner|muda (Kub.)||    On Ak. \Imuza\i 'corner' see under PD \I*muc:i.\i
473|*ʔurḳ-|1374|deep||urḳ-ze|
474|*q:at:a|1376|step (of stairs)||q:at:a|
475|*k:anc:i|1378|ladder|ganzi||    Cf. also Ur. \Iganʒi,\i Tsud. \Ik:anc:i,\i Kharb. \Ik:anc:i\i 'ladder', Mek. \Iganʒi\i 'funeral stretcher'.
476|*q̇u-d-q̇u-|309|bitter|q̇udq̇u-si||    Cf. also Ur. \Iq̇uṭq̇u,\i Kharb. \Iq̇udq̇u-se\i id.
477|*ʔunc:a|1379|door|unza|unc:a|    Cf. also Ur. \Iunʒa,\i Kub. \Iuc:a.\i
478|*gilagʷ|1383|key||gilaw|
479|*ʔula|1392|window|ula (Gapsh.)||    The word is used in \Iurq̇lu ula\i 'window' (for the first part cf. Ak. \Iulq̇laj\i 'window').
480|*x:ar|1394|bottom, lower part|xar|x:ar|    Cf. also Ur. \Ixar\i id., \Ixa-\i (preverb) 'downwards'; Chir. compound \Ix:ar-qil\i 'foundation'.
481|*luṭi|1396|bottom; hoof|luṭi||    Cf. also Ur., Tsud. \Iluṭi,\i Kub. \Iluṭe\i id.
482|*ʕumu-l ( ~ h-)|1399|bar, bolt|ʕumul||
483|*muk:ur(i)|1401|stone roller (for roofs)|muk:ur (Kait.)||    Cf. also Tsud. \Imuk:uri\i id.
484|*duc:a|460|forest, wood|duc:a (Kub.)||
485|*č̣ala|1402|1 lot 2 fork, knitting needle|č̣ala 1|č̣ala 2|    The original meaning is "stick", cf. Ur. \Ič̣ala\i 'stake', Kub. \Ič̣ala\i 'fork'.
486|*duḳ(i)|1406|log, beam|duḳi|duḳ|    Cf. also Tsud. \Iduḳ,\i Kad., Mek. \Iduḳi.\i
487|*dežV-la|1408|beam||dežla|
488|*ḳVḳ-am|1409|wood, fire-wood||ḳaḳam|
489|*ʔur-q̇uli|1410|board|urq̇uli|urq̇ule|    Cf. also Ur. \Iurq̇uli,\i Kub. \Iuq̇ul,\i Tsud. \Iurq̇ula,\i Kait. \Iurq̇ul.\i
490|*ʁIam-bul|1411|nail|ʕaIbul|ʁIamul|    Cf. also Ur. \Iʕʷabul,\i Kub. \IʁIumul.\i
491|*hIena|1417|stone plate, boulder|ʕena|ħana|    Cf. also Kub. \Ihana,\i Ur. \Iʕina,\i Tsud. \Iħena,\i Sirg. \Iħäna,\i Kait. \Ihana\i id.
492|*ʔurꭓ:ʷab|1420|1 mill-stone 2 mill|urꭓam 1|urꭓ:ʷab 1,2|    Cf. also Kait. \Iurꭓ:aw,\i Kub. \Iūꭓ:ab\i 'mill', Tsud. \Iurꭓ:ab\i 'mill-stone'. The Darg. dialects have preserved only a nominal derivate; the deriving verb ('to grind') was lost.
493|*ḳuc̣ul|1423|spoon|ḳuc̣ul|ḳuc̣ul|    Cf. also Ur., Kub. \Iḳuc̣ul\i id.
494|*š:in[t:]V|1424|gutter, kennel|šindi-r|š:anṭu|    -ṭ- in Chir. is not clear.
495|*ḳʷarV|1425|big earthenware vessel|ḳuri||    Cf. also Ur., Muir., Tsud., Sirg. \Iḳʷara,\i Kub. \Iḳʷa\i id. The Ak. form is somewhat irregular: it probably goes back to a suffixed form \I*ḳʷarVj\i with secondary narrowing of the first vowel.
496|*ṭ(ʷ)eni|1427|feeding-trough|ṭeni||    Cf. also Ur., Kub. \Iṭini,\i Tsud. \Iṭeni,\i Muir. \Iṭuni\i id. (the last form pointing to a probable labialisation in PD).
497|*ʔiniq:|1428|cave, cavern|iniq:||    Cf. also Ur. \Iʕiniq:\i (with an unclear ʕ-), Tsud. \Iiniq,\i Muir. \Iiniq:.\i
498|*c̣up:i|1418|big pan, trivet|c̣ubi||    Cf. also Muir., Tsud., Sirg. \Ic̣up:i,\i Kub. \Ic̣ip:e.\i
499|*čaIli|1433|fence|čaIli||
500|*=uꭓ:(Vn)-|334|to burn (intr.)|=uꭓ-es||
501|*nerʁ|1438|soup, broth|nerʁ|nerʁ|    Cf. also Ur. \Inirʁ,\i Tsud. \Inerʁ,\i Kub. \Inēʁ\i id.
502|*x:amx:a|1439|foam|xamxa||    Cf. also Sirg. \Ix:umx:a,\i Ur. \Ixamxa,\i Kub., Tsud. \Ix:amx:a\i id.
503|*muzi-|1440|sweet|muri-si|mizi-ze|    Cf. also Ur. \Imurʔi,\i Kait. \Imuzi-,\i Kub. \Imidi-,\i Tsud. \Imizu-.\i The derivate \I*hwmĭʒ̲ū\i 'honey' is reflected in PD as \I*waza\i > Ak. \Iwarʔa,\i Chir. \Iwaza,\i Ur. \Iwarʔa,\i Kub. \Iwada,\i Tsud. \Iwaza.\i
504|*š:erš:i|1443|onion, garlic|širši (Ur.)||    The word has an unexpected voiced ž in several dialects: Ak. \Ižerši,\i Kait. \Išerži,\i Kub. \Iš:ejže.\i It is possible that these forms are actually borrowed from Tabasaran: cf. forms like Düb. \Išerže\i 'garlic' (which is a regular reflex of \I*šerš:\i).
505|*ʁuma ( ~ *ʁʷama)|361|big stone||ʁuma|
506|*daki ( ~ t:-)|1446|fat (n.)|daki||
507|*niɣ|1449|milk|niʔ|nig / niɣ|    Cf. also Ur. \Iniʔ,\i Kub., Tsud. \Inig\i id.
508|*=erzVr- ( / =urz-)|1451|to sift||=erz- / =urz-|    Cf. also Ur. \I=irhVr-\i / \I=urh-\i id. A PD derivate is \I*zula\i ( < \I*zurV-la\i) 'sieve' > Ak. \Iula,\i Chir., Tsud., Sirg., Kait. \Izula.\i
509|*meħ / *neħ|1452|whey|neħ|māI|    Cf. also Kad. \Ineħ,\i Kait. \Inaʕ,\i Kub. \Inihe,\i Kharb. \Inih,\i Tsud. \Imeħ\i id. The same root functions also as a verb: Ur. \I=amħVr-\i / \I=umħ-\i 'to wet, become wet, soak'.
510|*ḳema|1455|1 butter 2 sour cream|ḳema 1|ḳume 2|    Cf. also Ur. \Iḳima,\i Muir. \Ič̣ima\i 'butter'.
511|*=ert- (/rut-)|1458|to curdle, coagulate|=ert-|=ert-/ rut-|    Cf. also Ur. \I=irt-\i / \Iut-\i id., and a derivate: Ak. \Iberta\i 'clot, jelly' ( = Av. \Ibetá\i 'sour milk').
512|*burt|1459|cream, sour cream|burt||    Cf. Ur. \Iburt,\i Kub. \Ibūt\i id.
513|*nus:i(ja)|1460|cheese|nusi|nis:ĳa|    Cf. also Ur. \Inusĳa,\i Kub. \Inis:a,\i Tsud. \Inus:e\i id.
514|*gʷer ( ~ *k:ʷ-)|379|to roll|ger -iḳes||    A compound verb; cf. also Ur. \Igʷir duqis\i 'to roll'. In Ak. cf. also \Igera\i 'lump, clot', \Iguru\i 'ball, sphere'.
515|*ḳiʔa|1462|malt|ḳiʔa|č̣ĳa|    Cf. also Ur. \Iḳiʔa,\i Tsud. \Ič̣ĳa,\i Muir. \Ič̣e\i id.
516|*čut:ʷi|1466|cake|čudu||    Cf. also Ur. \Ičudu,\i Muir., Sirg., Kait. \Ičut:u\i id.
517|*gemgV / *gergV|1467|1 round bread 2 dough|gerg 1|gamga 2|
518|*ħul-ek:a|1470|a ring-shaped cake, roll|ħulega||
519|*s:uma|1472|straw|suma|ars:am|    Cf. also Ur., Muir. \Isuma,\i Tsud. \Is:uma,\i Asht. \Ius:im\i id. The Chir. and Asht. forms go back to a form \I*ʔar-s:um(a\i) (\I*ʔar-s:ʷem(a\i)) with a characteristic prefix *ʔVr- (typical for collective nouns).
520|*k:urc:|1473|dumpling||k:urc:|    The form is attested only in Chir.; however, from one of the Darg. dialects it was borrowed in Lak. (Arak., cited from Хайдаков 1966) \Ik:urc:ari\i 'dumplings stuffed with curds' (the form in -ari is typically Darghian).
521|*q̇Iʷa|386|1 grain 2 roasted grain|q̇ʷaI (Tsud.) 2|q̇Iʷa 1|    Cf. also Kait. \Iq̇ʷaI\i 'roasted grain'.
522|*k:urt:i|400|1 shirt 2 dress|gurdi 2 (Muir.)|k:urt:e 1|    Cf. also Kait. \Ik:urt:i\i 'shirt'.
523|*qʷaIr|1478|horse-cloth||quIr|    A probable loan from Darg. is Tab. Düb. \IqIur-ar\i 'pack-saddle', isolated within Lezg. (if it originally meant "horse-cloth").
524|*q̇Iar(V)|1479|top of boot|q̇aIrmi||    Cf. also Sirg. \Iq̇aIduri\i id. Both forms are former plurals (\I*q̇aIr(V)-mi\i, \I*q̇aIr(V)-t:i\i).
525|*qariḳʷ|1480|sheepskin coat||qariḳʷ|
526|*=it-|404|to beat|=it-es|=it-|    Cf. also Ur. \I=it-\i 'to beat'.
527|*=irḳ-|405|to drive, urge|=irḳ-/=urḳ (Ur)||
528|*ʔirɣi|1482|1 sash, girdle 2 rope, string|iri 1|arɣe 2|    Cf. also Kub. \Iīže\i 'sash, girdle'.
529|*c:anc:i|1486|buckle|zanzi-bul|c:ac:e|    Ak. \Izanzi-bul\i = Chir. \Ic:ac:i-p:ul\i 'belt' (the second component is PD \I*p:ul\i 'loop').
530|*q̇Iʷarṭ|1487|1 pod 2 sheath|q̇Iarṭ 1|q̇Iarṭale 2|    Chir. \Iq̇Iarṭale\i goes back to PD \I*q̇Iʷarṭa-lV\i 'sheath': cf. also Ak. \Iq̇Iarṭala,\i Ur. \Iq̇Iʷarṭala\i id.
531|*ḳič̣|1489|hook; buckle|ḳič̣||    Cf. also Ur. \Iḳič̣\i 'hook; button', Kub. \Ič̣ič̣\i id, Kharb. \Ič̣ič̣\i 'button', Tsud.,  Sirg. \Iḳič̣,\i Muir., Kait. \Ič̣ič̣\i 'hook'.
532|*ḳanṭi-|413|soft|ḳanṭi-si|ḳanṭi-ze|    Cf. also Ur. \Iḳanṭi-\i id.
533|*kabc:|415|skin|kabc||    Cf. also Kub. \Ikabc\i (pl. \Ikubc:e,\i which allows to reconstruct tense *c: for PD).
534|*=iḳʷ-|422|to set on fire||=iḳʷ-/=irḳʷ-|
535|*ʔarg|1500|spindle and its parts||arɣ|    The correspondence of Chir. \Iarɣ\i to Ak. \Iar\i 'handle' et al. (see PD \I*ʔarɣ\i) is due to a secondary merger of two historically different roots (see \I*ʕülƛ̣̲wɨ̆\i).
536|*kʷi-leꭓ:a|1501|bracelet|kuleꭓa|qilaꭓ:ʷa|    The Chir. form reflects assimilation (\Iqilaꭓ:ʷa\i < \I*kʷilaꭓ:a\i); cf. also Ur., Kub., Muir. \Ikuliꭓa\i id.
537|*d-uka|432|right|duka (Kait.)||
538|*q̇aIm|1503|dish, basin|q̇aIm||
539|*ṭams:|1504|carpet||ṭams:|
540|*ɣuta|1507|chair|uta||    Cf. also Mek. \Iuta,\i Kub. \Iguta\i id.
