"NUMBER","PROTO","PRNUM","MEANING","ABK","ABA","ADG","KAB","UBK","COMMENT"
 396,"*q́IʷV",1292,"1 millet 2 barley","á-χʷʒ 1","qʷʒə 2","ħa 2","ħa 2","χʷa 2","    PAK \I*qʷə-ʒ́ə\i (a compound with \I*-ʒ́V\i 'grain'; cf. also Bz. \Iá-χʷʒ́\i); PAK \I*ħa.\i The correspondence PAT *qʷ : PAK *ħ : Ub. χʷ points to PWC *q́Iʷ."
 397,"*c̣V", 223,"to lay eggs","a-c̣a-rá","c̣a-ra","č̣́a-c̣ə-n","č̣a-c̣ə-n","","    PAT \I*c̣a\i (cf. also Bzyb forms recorded by Marr: \Iá-d-c̣a-ra\i 'to heap, put on top', \Iá-c-c̣a-ra\i 'to add'); PAK \I*ḳa-c̣ə-\i (*ḳa 'egg'). The original meaning of the root is 'to put' (or 'to give'): cf. with other preverbs: Abkh. \Iá-kʷ-c̣a-ra,\i Abaz. (\Ijə\i)-kʷ-c̣a-ra 'to put'; PAK \I*na-c̣a-\i "to put an eye [ = Russ. положить глаз] > to envy, to aspire" (Ad., Kab. \Inac̣a-n\i).     §    AK \I*nac̣a-\i > Ub. \Inac̣ə́-\i 'to wait, hope'."
 398,"*zʷa", 254,"1 to harrow 2 to plough","","žʷžʷa-ra 1","ź̌a-n 2","va-n 2","zʷa- 2","    PAK \I*zʷa-;\i Ub. 1 p. \Ia-sə́-zʷa-n.\i Despite Shagirov 1,106 the AK verb has nothing to do with \I*c:ʷə\i 'ox'."
 399,"*ḳaḳa-č́ə",1311,"flower","a-ḳaḳ��́","","","","","    This expressive stem is attested only in Abkh., but has some EC parallels."
 400,"*χʷə ( ~ *χ́ʷ,*χIʷ)",1315,"1 grass 2 meadow grass","","ħʷ-ra 1","","χʷə-n 2","","    The root formally coincides with PWC \I*χIʷV\i 'to graze' (q.v.); this is probably secondary."
 401,"*pəč̣́a",1318,"to weed","","","ṗč̣́a-","ṗṣ́a-","","    PAK \I*ṗč̣́a-.\i The root is unknown outside the AK area (Klimov's comparison with Abkh. \Ia-bc̣a-ra\i 'to mow' /see Klimov 1967, 299/ should be abandoned for phonetic reasons). Other etymological attempts (see Shagirov 2, 53 with literature) had also been unsuccessful."
 402,"*ṭa", 241,"1 few, a little 2 less, smaller","","","ṭaḳʷ 1","ṭaḳʷ 1","ṭa 2","    PAK \I*ṭá-ḳʷə\i (a compound with an unclear second component; however, it is highly likely that the first part = Ub. \Iṭa\i). AK \Iṭaḳʷ\i > Ub. \Iṭaḳʷ,\i Abaz. \Iṭaḳʷ\i 'few, a little'."
 403,"*mVGə ( ~ *-ɣ-)",1322,"1 thorn 2 a k. of thorny bush","á-mʁ 1","mʁə 1","","","maʁə́ʁ-məʒ́ə 2","    PAT \I*məɣə.\i The Ub. reflex is partially reduplicated (\Imaʁə́ʁ-;\i \Iməʒ́ə\i means 'thorn'). The correspondence PAT *ɣ : Ub. ʁ points to PWC *G or *ɣ."
 404,"*b-ǯ́ə(-nə)",1328,"onion","a-ǯ́əmš́ə́","ǯ́əmš́ə","bž́ənə","bźən","žʷamλə́","    The pure stem (with an old suffix *-nə) is present in PAK \I*bž́ənə́.\i Ub. and PAT (and PAK with the meaning 'garlic') reflect old compounds \I*bǯ́ənə-pəλ́ə\i 'red onion' ( = "onion") and \I*bǯ́ə(nə)-λʷə\i 'white onion' ( = "garlic") with the following reflexes:     §    a) \I*bǯ́ənə-pəλ́ə\i > PAT \I*ǯ́ən(ə)-pəš́ə\i > \I*ǯ́əməš́ə\i (Abkh. \Ia-ǯ́əmš́ə́,\i Abaz. \Iǯ́əmš́ə\i); Ub. \I*žʷan(ə)-pəλ́ə\i > \Ižʷamλə;\i §    b) \I*bǯ́ə(nə)-λʷə\i > PAT \I*ǯ́ə-šə\i > (with assimilation) \I*ǯəšə\i (Abkh. \Ia-ǯə́š,\i Abaz. \Iǯəš\i); Ub. \I*žʷa-sʷa\i > (with assimilation) \Ižʷášʷa;\i PAK \I*bž́ənə́-xʷə\i (Ad. \Ibž́ənəf,\i Kab. \Ibźənəxʷ\i). §    See Rogava 1956, 16-17, 77-78. §    Although it was obviously a folk etymology, already in PWC the root of these compounds was associated with PWC \I*bǯ́V\i 'to fry' (q.v.). Since in Ub. the PWC verb \I*bǯ́V\i was superseded by a reflex of \I*źʷV\i 'to roast' (q.v.) > Ub. \Ižʷa-,\i \I*bǯ́V-\i was changed to \Ižʷa-\i also in the name of onion/garlic (which explains the irregular reflex žʷ instead of expected *ǯ́-). §    Not quite clear is the status of the syllable *-nə in PWC. Shagirov (1,91) tries to explain it as an instrumental morpheme, thus treating PAK \I*bž́ənə́\i as 'smth. to be fried'. However, this *-nə is certainly absent in the Ub. and PAT word for 'garlic' (Ub. \Ižʷášʷa,\i PAT \I*ǯəšə\i), and may have been originally just an optional connecting morpheme (possibly an original obl. base marker)."
 405,"*x́ʷa",2233,"in favour of, for (smth.) (preverb)","","","fa-","xʷa-","χ́a-","    PAK \I*xʷa-.\i"
 406,"*p-q̇��̣́a",1330,"reed, cane","","","","","ṗq̇áč̣́a","    Attested only in Ub., but having possible external parallels."
 407,"*mV",1331,"smell","","","ma","ma","mə-sá","    PAK \I*ma;\i Ub. def. \Iá-msa.\i The Ub. word is a compound with an unclear second component -sa."
 408,"*wəc:ə ( ~ -ć:-)", 433,"grass","","","wəcə","wəʒ","","    PAK \I*wəc:ə́.\i"
 409,"*ḱalV",1343,"hut","a-ḱála","ḱala","č́aL","čəL","","    PAT \I*ḱala\i (cf. also Bzyb. \Ia-ḱál\i); PAK \I*kVLə.\i Despite Klimov 1968, 294 there are no reasons to consider the AT form an AK loan. WC > Svan. \Iköl,\i \Ikel\i id. (see Klimov ibid.)."
 410,"*ʁ́Iʷəna",1344,"house","a-ʕʷnə́","ʕʷna","wəna","wəna","","    PAT \I*ʕʷənV;\i PAK \I*wəná.\i It is impossible to compare Ub. \Iʁʷənə\i 'tree' - both for semantic and phonetic reasons (within the correspondence PAT *ʕʷ : PAK *w < PWC *ʁ́Iʷ we would expect w- in Ub.). Unacceptable is Kuipers' attempt (Kuipers 1960) to regard the PAK form as a compound."
 411,"*ʁʷa",1347,"hole, burrow","á-ʕʷa-ra","ʕʷa-ra","ʁʷə","ʁʷa","ʁʷa","    PAT \I*ʕʷa-ra\i (a building with a productive suffix -ra; without it cf. Abkh. \Ia-gʷa-ʕʷa\i 'hollow (of a tree)'); PAK \I*ʁʷV.\i"
 412,"*ʁ́IʷV(n)da",1356,"fence","ā́nda","","","","wədʷá","    Abkh. \Iā́nda\i goes back to PAT \I*ʕanəda\i < \I*ʁ́Ianəda\i with delabialisation; Ub. \Iwədʷá\i presupposes PWC \I*ʁ́Iʷə(n)dʷa\i. We should probably reconstruct a compromising \I*ʁ́IʷV(n)da\i with labialising/delabialising assimilations in Ub. and Abkh."
 413,"*ć:əwV / *c:ʷəjV",1358,"1 village, settlement 2 house, room","á-cu-ta","","","","cʷəjá","    PAT \I*ćəwə\i (cf. Bzyb. \Iá-ću\i 'village'). The relationship between the Abkh. and Ub. forms is very probable, although we have to suppose a metathesis of labialisation and palatalisation (\I*ć:əwV\i / \I*c:ʷəjV\i)."
 414,"*sV ( ~ *šV)", 283,"to dream, slumber","a-č̌a-r-sə́s-ra","čʷa-səs-ra","","","-sa-","    PAT \I*səsə\i ( ~ \I*śəśə\i - the Bzyb. form is unknown). In the first part of the compound - PAT \I*cʷa\i 'dream' (q.v.); cf. also other compounds in Abkh.: \Ia-χə-r-səs-ra\i 'to slumber' (perhaps the non-reduplicated form can be extracted from \Ia-χə-r-q̇ʷə-s-ra\i id.). Ub. 1p. s. \Isə-sá-n.\i"
 415,"*kawə",1359,"fence","","","č́aw","čaw, čow","","    PAK \I*káwə.\i In Ad. the word also means 'farmstead'; in Kab. it is now rather archaic and means also 'small fortress'."
 416,"*b-ʁ́a",1361,"1 top, upper part 2 to thatch","","","bʁa- 2","bʁa- 2","bʁ́a 1","    PAK \I*bʁa-.\i In Adygh cf. perhaps also the noun \I*bʁa\i 'breast, chest' (*'the top part'). See Shagirov 1, 79, 80."
 417,"*(p-)ć̣a",1372,"1 sharp 2 pointed 3 edge, end; nose","á-c̣ar 1","c̣ara 1","pā-ṗc̣ 2","pā-ṗc̣a 2","fa-ć̣á 3","    PAT \I*ć̣a-rV\i 'sharp' (cf. also Bzyb. \Iá-ć̣ar\i); the same root (without the suffix) is present in PAT \I*pə-nə-ć̣a\i 'nose' (q.v.) - a compound, except for the linking morpheme *-nə-, identical to Ub. \Ifa-ć̣á\i and PAK \I*pá-ṗc̣a\i (the first component see under *pʷV). §    The PAT \I*pənəć̣a\i 'nose' is compared (by Shagirov 1972, Abdokov 1973) with Kab. \Ipanc̣əv\i 'tip of the nose'. Absence of this form in Ad., however, speaks rather in favour of this form's being borrowed from Abaz. (Ashkh.) \Ipənc̣əžʷ\i 'nostril(s)' - which can be probably analyzed as \Ipənc̣a\i 'nose' + \I-žʷ\i 'expressive suffix'. This seems to us more probable than Shagirov's (1977) analysis of \Ipənc̣əv\i as \Ipə\i 'nose' + \Ic̣əv\i 'beetle' (?).     The WC compound form \I*pʷV(nə)-ć̣a\i spread also to the neighbour languages: Georg. \Iṗinčwi,\i Arm. \Iṗinǯ\i / \Iṗinč\i 'nostril', Osset. \Ifɨnʒ\i / \Ifɨnʒ(ä\i) 'nose, tip' (see Abayev 1958; Abayev lists also Megr. \Iṗiǯi\i 'mouth' - which, according to Klimov 1963, does not belong here and descends from PK *ṗir- 'edge'. On the contrary, Klimov (1963) considers the Armenian form to be a megrelism which is hardly possible; he does not list the Georgian form)."
 418,"*q̇́Ia / *q̇́Iaq̇́IV", 309,"sweet","á-χā","qaʕa","ʡā-s.ʷə","ʡa-f.","q̇aq̇ə́","    PAT \I*qaʕa\i (cf. also Bzyb. \Iá-χā\i); PAK \I*ʡa-c̣ʷə́.\i The PAT and Ub. forms are reduplicated (note that PAT \I*qaʕa\i reflects an early dissimilation \I*q̇́Iaq̇́IV-\i > \I*q́Iaq̇́IV-\i).     §    See Balkarov 1967, 115 (PAK - Ub.). The PAK form is a compound with \I*c̣ʷə\i 'good' q.v.; the first part, however, (despite Dumézil 1963 and Shagirov 2, 158) has certainly nothing to do with \I*ʡa\i 'hand' (as well as q̇a- in Ub. \Iq̇aq̇ə́\i)."
 419,"*təpə",1384,"hut","a-tə́p","təp","","","","    PAT \I*təpə\i (the word also means 'place' in general)."
 420,"*ləḳʷə",1385,"bolt, bar","a-lə́ḳʷ","","","","","    The word is attested only in Abkh., but has probable EC parallels."
 421,"*gʷədə ( ~ǵʷ-,-dʷ-)",1387,"vulva","","","gʷədə","gʷəd","","    PAK \I*gʷədə́.\i"
 422,"*x(ʷ)a",1394,"1 bottom 2 behind, anus","","","xa 1, pxa 2","pxa 2","pš́a 2","    PAK \I*xa\i / \I*pxa.\i"
 423,"*ƛ̣V",1397,"1 bottom, lower part 2 under (preverb)","á-c̣a 1","c̣-ʕʷa 1","č̣́a- 2","ṣ́a- 2","-ć̣a 1","    PAT \I*c̣V\i (cf. also Bzyb. \Iá-c̣\i 'bottom); PAK \I*č̣́a-;\i in Ub. the morpheme is used in compounds: \Iba-ć̣á\i 'lower part', \Iša-ć̣á\i 'pillow' (\Iša\i 'head'). §    The correspondence PAK *č̣́ : PAT *c̣ : Ub. ć̣ points to the PWC lateral *ƛ̣. In PAK, however, there exists also a separate root \I*č̣a\i 'bottom' (Ad. \Ič̣a,\i Kab. \Iṣ́a\i) - which can reflect a variant with labialisation \I*ƛ̣ʷV\i (perhaps reflecting an early PWC metathesised variant \I*Hnŏƛ̣ŭ\i)."
 424,"*bawə ( ~ p:-)",1398,"cattle-shed","a-bóra,-bówra","bora","","bow","","    PAT \I*bawə-ra\i (with a common suffix -ra). Abkh. > Megr. \Iaboura,\i \Iabuura\i 'cattle-shed'; Kab. > Balk. \Ibau\i id. See Shagirov 1, 101 (despite Klimov's opinion, quoted ibid., the Abkh. word - since it is clearly related to Kab. \Ibow\i - has nothing to do with Slav. \Iобор(а\i))."
 425,"*t:(ʷ)aq:a ( ~ -q̇-)",1406,"stump, block","","","tāq:a","dāq:a","","    PAK \I*t:aq:á.\i"
 426,"*c̣ʷə",1407,"1 spit, thick needle 2 bolt; plug, spigot","a-č̣̌ə́ 1","č̣ʷə 2","","","","    PAT \I*c̣ʷə.\i Abdokov (1983, 133) compares also Kab. \Ijanc̣\i 'long pole, stick'  (with possibly the same first component as in \Ijan-ṭər\i 'log'), which is  somewhat dubious (at any rate, we would expect -ṣʷ in Kab., and the reason  for delabialisation is not clear)."
 427,"*Gʷə",1410,"1 board 2 post, pole 3 stake","a-ʁʷə́ 1","ʁʷə 1","pč́a-ʁʷə 3","bža-ʁʷ 3","ʁʷə 2","    PAT \I*ɣʷə;\i PAK \I*p:č́:a-ʁʷə́\i (where the first part is probably the same as PAK \I*p:č́:ə\i 'lance', see Bagov 1968). Abdokov (1983, 127) compares the AK and  Ub. forms not with AA \I*ɣʷə,\i but with AA \I*-ʕʷanə\i in \I*c̣ʷə-ʕʷanə\i 'stake' - which,  in our opinion, should be rather derived from PWC \I*q̇́ʷənV\i 'peg, stake' (q.v.)."
 428,"*q̇́ʷənV / *nəq̇́ʷV",1411,"1 stake 2 nail","a-č̣̌ʕʷán 1","č̣ʷʕʷan 1","ʡʷən 2","ʡʷəna 2","nəq̇́ə́ 2","    PAT \I*c̣ʷə-ʕʷanə\i (for the first part see \I*c̣ʷə\i 'pointed stick'); PAK \I*ʡʷə́na;\i Ub. def. \Ia-nə́q̇́.\i The correspondence PAT *ʕʷ : PAK *ʡʷ : Ub. q̇́ is regular and points to PWC *q̇́ʷ."
 429,"*Łʷa-ga-",1420,"to grind","á-laga-ra","laga-ra","ħāǯ́a-n","ħaža-n","","    PAT \I*laga-;\i PAK \I*ħaga-\i (intrans.; the transitive form is \I*ħagə-\i > Ad. \Iħāǯ́ə-n,\i Kab. \Iħažə-n\i).     See Deeters 1931, 290; 1963, 39; Shagirov 2, 117."
 430,"*č́(ʷ)aq̇ʷV",1423,"1 wooden scoop with a handle 2 basin, tureen","a-č́aq̇ʷá 1","","","","čaq̇ʷə́ 2","    Cf. also Abkh. Bzyb. \Ia-č́aq̇ʷə́\i 'wooden scoop'. Abkh. č́ points to *č́-, but Ub. č - rather to *č́ʷ. This is probably explained by a secondary labialising assimilation in the prehistory of Ub."
 431,"*sʷanədə",1424,"barrel","","","","fandə-ra","śʷandə-r","    PAK \I*sʷandə́-ra.\i Similar forms in Abkh. and Abaz. (Abkh. \Ia-š̌əndə́q̇ʷra\i 'trunk', Abaz. \Išʷəndəq̇ʷara\i id.) may represent a merger of the genuine root and the Turkic loanword (cf. Kypch. \Isunduq\i etc.)."
 432,"*c̣ə-", 332,"ice","a-c̣ā́","cħa-šʷə","","","","    PAT \I*c̣ə-ʕa\i / \I*c̣ə-ħa\i (with secondary deglottalisation in Abaz.)."
 433,"*ba[q:I]V",1436,"1 shed, cattle-shed 2 fortress, castle","a-bā́ 2","","","baq 1","","    The Abkh. form presupposes PAT \I*baʕa\i (\I*bəʕa\i), where -ʕ- < PWC *-q:I-. In Kab. one would rather expect -q: and not -q (a regular PAK match for PAT \I*baʕa\i would be \I*baq:V\i). This form must have indeed existed and is reflected in the Abaz. loan from Kabardian - \Ibaq̇\i 'cattle-shed' (where q̇ is a regular Abaz. substitute for Kab. q: in loanwords). The reason for weakening -q: > -q in modern Kabardian is not quite clear. From the semantic point of view the correlation "cattle-shed" : "fortress" is not surprising, because it is known that towers/fortresses were used for keeping cattle. §    Armenian \Ibak\i 'sheep-fold, enclosure' is probably of Caucasian origin, see Acharyan 1, 907 (although it may be borrowed also from Georg. \Ibaḳi\i 'fence, enclosure' - which, for phonetic reasons, can not be compared with WC forms - despite Kuipers 1960, 83, Shagirov 1, 73)."
 434,"*χ́(ʷ)a",1437,"stall","","","","","χ́a","    Isolated in Ub., but having possible EC parallels."
 435,"*ć̣ə", 356,"salty","a-c̣ā́","c̣ʕa","","","","    PAT \I*ć̣ə-ʕa\i (cf. also Bzyb. \Ia-ć̣ā́\i); *-ʕa is a frequent adjectival suffix."
 436,"*λ́əna", 511,"bird's fat","","","λəna","λəna","","    PAK \I*λəná.\i"
 437,"*ƛə",1446,"milk","á-χ-š","χšə","š́a","ša","","    PAT \I*xə\i in several compounds: \I*xə-šə\i 'milk' (lit. 'white \Ixə';\i besides the listed forms cf. also Bz. \Iá-xš\i); \I*xə-zə\i 'whey' (lit. 'strained \Ixə'\i) > Abkh. \Iá-χaz,\i Bz. \Iá-xəz,\i Abaz. \Iχzə;\i cf. also Abkh. Bz. \Ia-x-raʒ́á-ga\i 'milk filter', Abaz. \Iχə-rč̣ʷə\i 'sour milk' etc. §    PAK \I*č́a\i 'milk'. §    See Shagirov 2, 137. The seemingly obvious relationship of PAK \I*č́a\i and Ub. \Ič́a\i 'milk' is actually somewhat more complicated. A regular Ubykh reflex of PWC \I*ƛə\i would be \Iš́a;\i that is why the Ub. \Ič́a\i matches not this root, but rather PAT \I*č́ə\i 'udder' (q.v.). The meaning of Ub. \Ič́a\i could have been influenced by Adygh forms. Abdokov (1983, 134-135) prefers to reconstruct WC \I*č́a\i while comparing PAK \I*č́a\i 'milk' with Abaz. (Ashkh.) \Ič́ata,\i Abkh. \Ia-χ-č̣́át\i 'sour  cream, cream' ( = PAK \I*č́ata\i > Ad. \Iš́āta,\i Kab. \Išāta\i id.)., cf. also Ub. \Ič́ātá\i  id. It is, however, most probable that all AT forms and the Ub. form are later loanwords from Adygh (see Shagirov 2, 136 with literature). §    PAT \I*xə-šə\i 'milk' is an exact match for PAK \I*č́ə-xʷə\i ( > Kab. \Išxʷə;\i also  with metathesis \I*č́xəwə\i > Ad. \Iš́xəwə\i) 'sour milk', going back to a PWC  compound \I*ƛə-λʷə\i 'white milk' (see Shagirov 2, 140); which is why Abdokov's  separate comparison of PAK \I*-xʷə\i in this compound with Av. \Irax\i is unacceptable."
 438,"*č́ə",1447,"1 udder 2 milk","á-č́-rəgʷ 1","č́ə 1","","","č́a 2","    PAT \I*č́ə\i (the Abkh. form is a compound with -gʷə 'middle, heart' and a connecting morpheme -rə-). Some comments on the Ub. form see also under \I*ƛə.\i"
 439,"*Pc̣V",1454,"1 to go sour, to curdle (of milk) 2 raw","","","ṗc̣a-n","ṗc̣a-n","","    PAK \I*ṗc̣a.\i The WC etymology of Shagirov (2,50-51: comparison with Ub. \Ib��ə-\i 'to become thick') seems dubious for both semantic and phonetic reasons. Since the EC counterpart of the root means both 'sour' and 'raw' (a natural and frequent semantic correlation), it seems possible to compare also (with a secondary loss of initial labial) PAK \I*c̣ə-ná\i (Ad., Kab. \Ic̣əna\i) 'raw' (also borrowed in Ub.: \Ic̣əna\i id., see Shagirov 2, 126)."
 440,"*tʷa",1458,"pus","a-tʷá","čʷa-bʕa","","wa-ta-ps","","    PAT \I*tʷa;\i the Kab. word is a compound with \I-ps(ə)\i 'water, liquid'."
 441,"*ḳ́ʷa", 370,"suffix of Nomina Agentis","","","-ḳʷ(a)","-ḳʷa","-ḳ́a","    PAK \I*-ḳʷa,\i cf., e.g., Ad. \ILaž́ā-ḳʷ\i 'worker' (\ILaž́a-n\i 'to work'), Kab. \Iwəsā-ḳʷa\i 'poet' (\Iwəsa\i 'poem'). In Ub. cf. e.g. \Ifawā́-ḳ́a\i 'wrestler' (\Ifawə́\i 'wrestle') etc."
 442,"*(a)š́ʷə",1460,"cheese","áš̌","ašʷə","","","","    PAT \I*ašʷə\i (cf. also Bzyb. \Iáš̌\i)."
 443,"*k:́ʷərə (~ k:)", 379,"1 ring 2 wreath 3 to roll","a-gʷərgʷə́n 2","gʷərgʷər 1","č́ara-zə- 3","ǯara-zə- 3","","    PAT (reduplicated) \I*gʷərəgʷərə;\i PAK *ḱ:ara- (with secondary delabialisation)."
 444,"*məǵalə (~bə̃,ḱ:)",1469,"bread made of millet flour","a-mǵál","mǵal","","","","    PAT \I*məǵalə.\i"
 445,"*λʷə", 428,"1 millet 2 bread","a-šə́ 1","šə-r-ʒa 1","fə-ʁʷa 1","xʷə 1","sʷə́-bIa 2","    PAT \I*šə\i (the Abaz. form goes back to a compound with PAT \I*ʒ́V\i 'grain', with the auxiliary linking morpheme -rə-, lit. 'millet grain'). PAK \I*xʷə\i (Ad. \Ifə-ʁʷa\i means literally 'yellow millet'; cf. also Ad. \Ifə-gʷ\i = Kab. \Ixʷə-gʷ\i < \I*xʷə́-gʷə\i 'pounded millet'). In Ub. cf. also \Isʷə-pə́\i 'flour' (the meaning of the second components -bIa, -pə is not quite clear). §    The correspondence PAT *š : PAK *xʷ : Ub. sʷ points unambiguosly to PWC *λʷ. All other comparison attempts within WC (PAK \I*xʷə\i : Ub. \Iχʷa\i 'millet, grain' - see Mészáros 1934, 386; PAT \I*šə\i : PAK \I*m��́ə\i - see Shakryl 1968, 53, 98; PAK \I*xʷə\i : PAT \I*qʷə-ʒ́ə\i 'pounded millet' - see Rogava 1956, 121) are unacceptable and unnecessary. Ad. \Ifəgʷ\i > Osset. (Dig.) \Ifagä\i 'pounded millet' (see Shagirov 2, 108)."
 446,"*ḳʷaḳʷa-rə",1471,"cake, cookie (made of dough)","a-ḳʷaḳʷár","","","","","    Attested only in Abkh., but with probable external parallels."
 447,"*ḳ́��̣ʷə",1476,"1 shirt 2 quilted jacket 3 ancient women's dress","a-ḳ́��̣ 1","","č̣́��̣́ə 3","č̣aṣ́ 2","","    PAK \I*ḳ́��̣́ə́.\i The formal coincidence of the root with PWC \I*ḳ́��̣ʷə\i 'short' is probably fortuitous (cf. the external data). Despite Shagirov 2, 134 the Abkh. form is not a loan from Adygh (the meaning is different, and in the case of borrowing we would expect Abkh. č̣́, not č̣)."
 448,"*χa",1478,"1 to weave 2 to knit","a-ħa-rá 1","-ħa-ra 1","χa-n 2","χa-n 2","χa- 2","    PAT \I*ħa\i (in Abaz. the root is used only with preverbs); PAK \I*χa-\i (also \I*χə-\i > Ad., Kab. \Iχə-n\i id.); Ub. \Ia-s-χá-n.\i See Mészáros 1934, 384, Shagirov 2, 109; the alternative comparison of PAK \I*χə-\i with PAT \I*xaxa-\i 'to spin' is unacceptable for phonetic reasons."
 449,"*ḳasə", 699,"shawl, kerchief","a-ḳasə́","ḳasə","","","","    PAT \I*ḳasə\i (cf. also Bzyb. \Ia-ḳasə́\i)."
 450,"*c:ʷa", 409,"to talk","a-č̌á-ž̌a-ra","čʷa-žʷa-ra","","","","    PAT \I*c:ʷa-zʷa-\i (a compound with PAT \I*azʷa\i 'word, speech' q.v.)."
 451,"*zarəza ( ~ ź, ž)",1486,"hook","a-zarzá","","","","","    Attested only in Abkh., with probable EC parallels."
 452,"*ḳʷərə",1499,"1 to roll 2 to fall, roll down 3 to slip","á-ḳʷər-ra 1","","wə-ḳʷara-jə-n 2","wə-ḳʷərə-jə-n 2","ḳʷərə́- 3","    PAK \I*ḳʷərə-\i / \I*ḳʷara-;\i Ub. \Ia-s-ḳʷərə́-n.\i"
 453,"*pəla / *pəra", 430,"1 mane 2 shaggy","á-bra 1","bra 1","pəLāc/bəLāc 2","baLāca 2","","    PAT \I*bəra;\i cf. also with *p-: \I*pərə-cʷə\i id. > Abkh. \Ia-prə́-kʷč̌\i / \Ia-pə́r-č̌kʷ\i (Bzyb. \Ia-prə́xʷč̌\i / \Iá-prəkʷč̌\i), Abaz. \Iprəčʷ\i (the second part in Abkh. has contaminated with \Iá-kʷč̌\i / \Iá-č̌kʷ\i 'top'). PAK \I*bəLá-ca\i / \I*pəLá-ca\i (Ad. reflects also a variant with -r-: Ad. \Ipərāc\i / \Ibərāc\i 'shaggy'). §    WC languages reflect numerous variants with variation p/b and r/l. If Osset. \Ibarc\i / \Ibarcä\i 'mane' really goes back to Proto-Iran. \I*barša-\i (see Abayev 1, 237; doubts are raised by Osset. -c-), then the forms PAK \I*bəráca\i and PAT \I*pərəcʷə\i should be regarded as Alanisms; otherwise the direction of loan should be reversed and the WC forms analysed on WC ground (cf. PAT \I*bəra\i and PWC \I*cə\i / \I*cʷə\i 'hair'). §    Abdokov (1983, 73) compares the WC forms with PEC \I*balV\i 'wool' (q.v.),  which seems phonetically less probable. He also cites Chech. \I=älla\i 'hairy' -  which is in reality a participle of \I=āl-\i 'to grow' and does not belong here at  all."
 454,"*q:əźa (~q́:-,-z-)",1506,"coverlet, blanket","a-χə́za","qəza","","","","    PAT \I*qəza\i (cf. also Bzyb. \Ia-χə́za\i)."
 455,"*q:V", 443,"1 to suffice 2 large, big","á-z-χa-ra 1","na-qa-ra 1","-qə 2","-q: 2","","    PAT \I*qa\i (used only with preverbs) 'to suffice, be enough'; cf. also Abkh. \Iá-mč́-χa-ra\i 'sufficient strength'. In PAK the root is used only in compounds: Ad. \Inəba-q,\i Kab. \Inəba-q:\i 'pot-bellied', Ad. ca-mə-q, Kab. ʒa-mə-q: 'with large teeth' (see Kuipers 1975, 64). The semantic correlation "sufficient" : "large, big" is quite common."
 456,"*ḳata",1509,"net","á-ḳata","ḳata","","","","PAT \I*ḳata\i (cf. also Bzyb. \Iá-ḳat\i)."
 457,"*bəsə ( ~ p-,-š-)", 446,"evening","","","","","zʷa-psə́","    A compound with \Izʷa-\i 'sky'. Attested only in Ubykh, but having probable Nakh parallels."
 458,"*Gəba ( ~ -p:-)",1515,"boat, vessel","á-ʁba","ʁba","","","ʁəbá","    PAT \I*ɣəba;\i Ub. def. \Iá-ʁba.\i"
 459,"*χIa(n)ƛə (~ -ƛ́-)",1522,"1 shovel 2 scoop","","","","ħanš / ħaš 2","χIaš́ 1","    Kab. \Iħaš\i is used in the compound \Ipχa-ħaš\i 'wooden scoop' (Old Kab. > Abaz. \Ipχ����́\i). For PWC it is possible to reconstruct initial *χI- or *χ́I-, medial *ƛ (if Kab. š < PAK *č) or *ƛ́ (if Kab. š < PAK *č́). See Shagirov 2, 23."
 460,"*ć:ə",1523,"1 bow 2 arrow","a-χə́-c 1","χri-χəc 1,2","","","","    PAT \I*xə-ćə\i (cf. also Bzyb. \Ia-xə́ć\i 'bow', Ashkh. \Iχəc\i 'arrow'). This compound, actually meaning "arrow+bow", is an exact parallel of EC forms like Akhv. Ratl. \Iλar-č̣ĳõ\i 'bow and arrow' etc. (see under \I*λĂl(H)V\i)."
 461,"*pəsV",1524,"fir-tree","á-psa","","psajə","psej","psə-ʁʷənə́","    PAT \I*pəsa\i (cf. also Bzyb. \Iá-psa\i / \Ia-psá,\i perhaps [with rather strange semantics] Abaz. \Ipsa-qʷa\i 'willow'); PAK \I*psa-jə́\i (with a usual "tree"-suffix -jə). In Ub. cf. also \Ipsə-s\i "fir-wood". See Shagirov 2, 15 with literature."
 462,"*śa ( ~ š-)",1526,"1 sabre 2 knife","á-sa 1","","sa 1","sa 2","","    PAT \I*śa\i (cf. Bzyb. \Iá-śa\i); PAK \I*sa.\i Dirr has also recorded Ub. \Isa\i 'sabre' which is most probably an Abkh. or Ad. word. The correspondence PAT *ś : PAK *s points to PWC *ś or *š. Shagirov's linking this root with PWC \I*śV\i 'to beat, hit' is most probably faulty."
 463,"*b-sV (/*b-zV)",1529,"to cut, cut out","a-sa-rá","sa-ra","bzə-n","bzə-n","bzə-","    PAT \I*sa-\i (cf. also Bzyb. \Ia-sa-rá\i); PAK \I*bzə-.\i As pointed out by Shagirov (1,96) Ub. \Ibzə-\i may be borrowed from Ad. In that case it would be possible to compare instead Ub. \Isʷa-\i (\Ia-s-sʷá-n\i) 'to cut, clip', reconstructing PWC \I*(b)-sV\i (with secondary labialisation in Ubykh)."
