"NUMBER","PROTO","PRNUM","MEANING","SUN","TUL","KAL","LIM","LIMNUM","DUM","DUMNUM","KUL","KULNUM","YAM","YAMNUM","NOTES"
 222,"*jà(k)",1414,"tickle","","\Ija-siki\i  (AS  \Ija-cike\i), \Ija-m\i tickle, feeling of being tickled","\Ijo-n\i \Ilünä\i be ticklish","\Ijokmā\i (\Ijogu\i) tickle",2043,"",   0,"\Ijama\i",1431,"",   0,""
 223,"*jem / *jep(s)",   0,"become worn out","","","\Ijemnä\i (\Ijemu\i) to wear out, be weak from sickness; \Ieps-\i  be worn down  (of plough tip, of a man's fortune)","",   0,"",   0,"",   0,"",   0,""
 224,"*ŕìbV",   0,"bamboo","","\Iliw\i (AS \Ilibu\i)","\Ithep-rip\i (\Ithep\i bamboo basket)","",   0,"",   0,"",   0,"",   0,"For the 2d part cf. *Pa 'bamboo'."
 225,"*ŕét", 764,"eight","","\Ilet\i","\I'ri\i","\Ijet-chi\i",2075,"",   0,"\Iretci\i",1090,"",   0,"In L. cf. also  \Ije-jet\i 88, \Ijethik\i 81, \Ijetuk\i 86, \Ijenu\i 87 etc. Toba 89 *ret ̲i."
 226,"*ŕíp",   0,"jar, vessel","","\Ilip\i pot, jar","'rip vessel","",   0,"",   0,"\Ilipi\i", 747,"",   0,""
 227,"*ŕìŋ",   0,"lie, deceive, praise","","\Ilu\i lying,  deceit","\Irunä\i (\Iriŋu\i) praise, flatter","iŋ-lɛkmaʔ 'lie, deceive'", 458,"",   0,"",   0,"",   0,""
 228,"*ŕép (//*ŕém)", 763,"stand","\I'rap-ca\i","\Ijem-,\i \Ijep-\i stand up, \Ijepa\i high","\I'remnä\i (\I'remŋɔ\i) stand, \I'reppä\i high","\Ijepmā\i (\Ijewe\i) stand, \Ikĳembā\i tall",2071,"\Irepnɨ\i", 984,"\Iremma\i; \Irepa\i tall, high",1348,"\Ijemma\i 'to set upright', 'to erect', je:pma 'to stand'",1889,"Toba 96 *rap, 97 *repä."
 229,"*lə",1674,"speech, word","\Ilō\i","\Ilɔ\i","","",   0,"",   0,"\Ilɔma\i 'tell, order'", 755,"\Ilo:ma,\i \Ilu:ma\i 'to say to smb.'; -lo 'marker of reported speech'", 741,""
 230,"*sə̀ ( ~ *sà)",1583,"antelope, deer","","\Iso\i sambhar deer","","\Isā\i hunting, \Iik-cā\i snow deer, \Iik-sā\i snow deer, \Itāŋ-sā\i  spotted deer",   0,"",   0,"\Isajɔ\i 'musk-deer', \Isɔ̄\i 'wild animal'",1144,"",   0,""
 231,"*sìŋ",1227,"ask","","","\Isunä\i (\Isiŋu\i) ask, interrogate","\Isindomā\i ask",1481,"\Isiŋnɨ\i",1121,"",   0,"",   0,""
 232,"*sur",   0,"bee","\Isurbu\i","\Iśör\i  (Toba: 'sör)","\Isür\i","",   0,"",   0,"\Isuwer\i",1239,"\Isaʔwa\i 'a k. of bee, wasp', suima 'a k. of bug'",1343,"One can not exclude a reconstruction \I*su(b)ru,\i cf. \I*su\i wasp. Toba *suwer."
 233,"*seŋ",1512,"kidney, liver","","","","\Iseŋ\i kidney",   0,"",   0,"",   0,"",   0,"Cf. also \I*sä̀ʔpók\i  (\I<*sèŋ-ʔpók\i ?) bladder > Kal. \Isäphu\i, Tul. \Isāpu,\i \Isapu \i(Toba 87 *säphu)\I;\i L \Isāpɔk\i stomach."
 234,"*sär",   0,"boil","","\Isör-\i boil dry, become dry, be ill","\Isärnä\i (\Isäru\i)","",   0,"",   0,"",   0,"",   0,""
 235,"*sóm",   0,"breath","\Isō̃ sō̃ 'pa-ca\i to pant (= K \I'som\i \Ibhwɔrnä\i)","\Isam\i life","\Iśom\i  breath, life; \Iswɔ-prop\i 'lungs'","\Isom\I 'lungs'; \Isōmmaʔ,\i \I-sōnd-/-sōn-\i",1586,"\Isōm\i",1166,"\Isəm\i 'lung', \Isɔ̄m\i 'breath'",1167,"\Isom\i 'lungs', so:ʔma 'breath' (cf. also so:ʔmi 'fart')",1467,"Toba 88 *sVm 'breath', 92 *som 'life', *swa(p) 'lungs'. Perhaps 2 roots?"
 236,"*sä̀m",1503,"breath, spirit","","\Isam\i breath, steam, sound","\Isäm\i steam, vapour, essence, \Isämnä\i (\Isämu\i) to steam","\Isām\i song, air, spirit",1424,"\Isam\i",1046,"\Icham\i 'song'", 158,"\Isem\i in sem-ǯa-ma 'be frightened', sem-lu-ma song etc.",1374,""
 237,"*sùl",   0,"bury","","\Isül-\i bury (in earth, deep in jungle, in pile of chaff), \Isülüm\i  grave","\Isalam\i  grave, tomb","",   0,"",   0,"",   0,"",   0,""
 238,"*sàm",   0,"caterpillar","\Isō̃pu\i","","\Isambermä\i  (see \I*ber\i k. of insect)","",   0,"",   0,"\Isumburma\i",1228,"",   0,""
 239,"*sə̀m",   0,"chaff (fine)","","\Isɛsöm\i, \Isɔsöm\i","swɔm","",   0,"",   0,"",   0,"",   0,""
 240,"*sèŋ",1225,"clean up","","\Isɛŋ-\i clean up, tidy","\Isenä\i (\Iseŋä\i) clean up, \Iseŋpä\i clean, holy","\Iiseŋbā\i pure, \Isāŋla\i  clean",   0,"",   0,"\Isaŋsaŋpa\i 'clean'",1141,"",   0,""
 241,"*sèl",1567,"clean, wash","","\Isal-\i (instead of an expected \I*sel-\i) sift, remove foreign or superfluous matter from; (Toba) \Isöl-\i 'wash'","\Iselnä\i (\Iselu\i) clean (grain and vegetables)","\Iwā-sīmā\i  (\I-sīru\i) wash",   0,"",   0,"\Iselma\i 'scrape' (?)",1148,"\Ise:ma\i 'to clean'",1395,"Toba 98 *siC-. Perhaps 2 roots: cf. also Yamphu si:ma 'to sieve'."
 242,"*s[ù]r",   0,"wash","","\Isöl-\i (-l under the influence of \Isal-\i q.v.?)  wash (body)","\Isarnä\i (\Isuru\i)","",   0,"\Isirnɨ\i",1127,"",   0,"",   0,"Cf. also  \Isör-\i grope, stroke, \Isöra\i sieve."
 243,"*sò(ŋ)",1538,"cough","","\Isöki,\i \Isökhe\i","\Isöki\i  cough","\Isuŋmā\i (\Isuŋu\i) to cough",1652,"",   0,"",   0,"",   0,"Toba 88 *soki."
 244,"*si",1508,"die","","\Isi-\i die, \Isitpu\i corpse","\Iśispö\I corpse","\Isīmā\i (\Iśjā\i) die, \Isisi\i death, \Ikusiwet\i dead, \Ikesibā\i mortal",1541,"",   0,"\Isima\i",1181,"\Isi:ma\i",1449,"Toba 89 *si-."
 245,"*sèm (*sèm-məŋ)",1237,"dream","","\Isema\i (aug. for \Iŋīma\i dream)","\Isemö\i","\Isepmāŋ\i dream",1499,"\Isjemma\i",1193,"\Isēmɔ̄\i",1157,"\Isemmaŋ\i",1381,"Toba 89 *semö. One can also not exclude \I*sèn-məŋ\i (see \I*sènV\i night)."
 246,"*sä̀ŋ(-s)",2709,"dry","\Isōsŋo\i dry, \Isō-ca\i to dry  (itr.)","\Isa(t\i)- become dry, dry up (of voice)","","\Iseŋmā\i (\Iseŋkhu\i) to dry, \Iseŋseŋkelobā\i dried",   0,"",   0,"",   0,"",   0,""
 247,"*síp  (-s)",   0,"dry up","","\Isip-\i   dry up, of cow's milk, of voice), boil dry","\Iśamnü\i  (\Iśaptu\i) dry up, evaporate","\Isommā\i (\Isopsu\i) dry", 185,"",   0,"\Isimma\i",1185,"",   0,"Cf. also L \Icɔpmanābā\i dry?"
 248,"*sèn-d[ut]",1497,"fingernail","","\Isendü\i","","\Isendī\i",1495,"\Isjendi\i",1192,"\Isen\i",1150,"\Isemdumma\i",1373,"Toba 90 *sendü."
 249,"*sə̀",1543,"flesh, meat","\Iśe\i","\Isö\i meat, flesh, \Isō\i muscles, strength","\Isö\i","\Isā\i meat (but also \Iśā\i flesh)",1398,"\Isu\i",1173,"\Isa\i",1118,"\Isa\i",1294,"Toba 92 *sö."
 250,"*s[ù]l",   0,"foot, trace","","\Isül\i track, trace, footprint","\Isäl\i foot, leg","sɛʔ- in sɛʔbəŋba 'thigh'",1487,"\I-sul\i in \Iphip-sul\i 'thigh'", 943,"",   0,"\Ise:-\i in se:bräk 'thigh'",1391,""
 251,"*sit",2713,"fruit, bear fruit","\Iśit-ca\i bear fruit, \Ima-śi-ca\i  become fruitless, \Isannä\i  (\Isidu\i) bear fruit","\Isit-\i give fruit","","\Ise\i fruit",1466,"\Isīnɨ\i 'bear fruit'",1135,"\Ise\i 'fruit', \Isema\i 'bear fruit'",1146,"",   0,""
 252,"*sə̀(-t)",   0,"give,  do smth. for smo.","","","\Isönä\i (\Isɔŋɔ\i) do smth for smo . (benefactive verb stem), \Isat-\i give; do smth. for smo .","",   0,"",   0,"",   0,"",   0,""
 253,"*sə̀m",1198,"hair","\Icā̃\i hair, fur (c- is unclear; cf. also \Igir-sowā\i body hair)","\Isem\i hair, \Isöm\i fur, animal's hair, hair on human skin, skin (of potato), pod","\Isɔm\i  hair, fur, feather","\I-sāŋ\i in \Imik-sāŋ\i eyelashes, \Ilɔpsāŋbā\i  hair in armpits", 842,"\Isəm\i",1097,"\Itɔ̄səm\i 'hair of head'",1297,"",   0,"Toba 91 *sem."
 254,"*sat(-s)",1188,"heal (wound), recover","\Isā-ca\i","\Isəs-\i cured, get well, stop (of rain)","\Iśannä\i (\Iśatu\i) treat (by shaman)","",   0,"",   0,"",   0,"",   0,""
 255,"*sə̀k",   0,"hunger","","","\Iso\i","\Isāka\i (\I=sāk?\i)",1468,"\Isōʔwa\i",1162,"\Isaka\i 'hungry'; \Isī-sɔwa\i 'famine'",1121,"\Isak\i",1297,"In L. cf. also \Isak-maʔ\i 'be difficult', \Isakmɛndza\i 'famished'."
 256,"*sV̀ksV-/ *sV̀kcV-",   0,"k. of insect","","\Isaksabiw\i dragonfly, \Isəksiŋel\i variety of cricket, \Isikcembā,\i \Isikcowā\i ant.","\Isɔksɔkhlep\i praying mantis  (cf. also \Isököpä\i a brown grasshopper)","",   0,"",   0,"\Isəkəppa\i 'grasshopper'",1162,"\Isäkkäʔlemma\i 'a sp. of cricket'",1354,""
 257,"*sèl",1541,"iron","","\Isel\i","\Isel\i","",   0,"",   0,"\Isel\i",1147,"",   0,"Toba 91 *sel."
 258,"*sus (-ts)",   0,"itch","\Irak-su-ca\i","\Isüs\i-","\Isünä\i (\Isü\i)","\Isɔpmā\i (n.)",1583,"",   0,"\Isəma\i",1168,"",   0,""
 259,"*sòroli",   0,"jackal","","\Isörli\i, \Iserlo\i","\Isoroli\i","",   0,"",   0,"",   0,"",   0,"Toba 91 *soroli."
 260,"*sù(k)mV",   0,"jungle","","\Isokmo\i jungle","\Isümändu\i desolate place","",   0,"\Isāʔlɨ\i ?",1062,"",   0,"",   0,""
 261,"*sét",1495,"kill","\I'sajk-ca\i","\Iset-\i","\I'sennä\i (\I'settu\i)","\Isɛpmā/sepmā\i (\Iseru\i) kill, extinguish, \Ikeseppā\i  murderer",1497,"\Isetnɨ\i",1089,"\Iseima\i",1156,"\Iseʔma\i",1390,"Toba 91 *set-."
 262,"*se-, *sen",1506,"learn, see","\I'śē̃-si-ca\i learn, practice","\Isi(n\i)- teach (inf.), \Isīsi-\i learn","\Isejnä\i (\Isendu\i) see, look at, watch","",   0,"\Isjennɨ\i",1194,"\Isa-gɔ\i 'mind' (?), \Isaniwa\i 'intelligence', \Isima\i 'feel'",1119,"\Isämma\i 'choose, prefer'; sima 'feel'",1358,"Toba 92 *cesi. Cf. also *chè- (originally probably the same root)."
 263,"*sót",   0,"lose (be defeated)","","\Isȫ(t\i)-","\I'swɔnnä\i (\I'swɔjŋɔ\i)","",   0,"",   0,"",   0,"",   0,""
 264,"*sèr",1554,"louse","","\Iser\i","\Iser\i","\Isi\i",1511,"\Isēr\i",1093,"\Isi\i",1174,"",   0,"Toba 92 *ser."
 265,"*sək",1489,"breathe, breath","","","","\Isɔkma\i",1594,"\Isōʔmkaʔhim\i",1161,"",   0,"",   0,""
 266,"*sə̀r",1500,"many","","\Iser-\i be numerous","\Iswɔrnä\i (\Iswɔrŋɔ\i) get crowded (cf. also \I'tu-sär\i  100)","",   0,"",   0,"",   0,"",   0,""
 267,"*ʔc[ì]",1228,"marrow","","","\Isö\i (under the influence of \Isö\i meat)","\Isī\i, \Isesi\i",1057,"\Itāk-ci\i",1203,"\Ichi\i", 190,"",   0,"For the first part in Dumi cf. Kulung \Itɔkci\i 'brain'."
 268,"*sù(p)pel",   0,"midge","","\Isüpel\i gnat","\Isapal\i","sāpsēʔ 'blood-sucking tick'",1465,"",   0,"\Isūpel\i 'small black fly'",1240,"",   0,"Cf. \I*sù\i 'wasp, bee'."
 269,"*sùm, *sùm-khra",   0,"mortar","","\Isüŋkhra\i (AS \Isümkhra\i) wooden mortar","\Isamkhrɔ\i large mortar","\Iluŋ-sum\i grinding mill",1637,"\Isɨŋkhoʔ,\i \Isam-phep\i",1144,"",   0,"\Isummak\i",1493,"Toba 93 *sVmkhra. Cf. *ʔcúm."
 270,"*sä̀kce(r)wV / -te(r)wV",   0,"a k. of mushroom","\Isakterwa\i var. of fibrous edible fungus","\Isakacew\i an edible fungus","","",   0,"",   0,"",   0,"\Isäʔna\i 'a sp. of mushroom'",1367,""
 271,"*si[n]",   0,"neck","\Iśur\i (\I<*si-ur\i)","","","\Isitlā\i",1533,"",   0,"",   0,"",   0,""
 272,"*sə́",1487,"nerve, thread","\I'śele\i thread","\Isōrip\i tendons, veins, \Isale\i  id.","\I'söri\i nerve, tube (in the 2d part - \I*rì\i rope q.v.), \Isöle\i (CSDF 'söle) id.","\Isei\i sinew",   0,"\Isūle\i",1190,"\Isɔuri\i 'vein', \Isɔwa\i 'vital force that resides in the vein'",1211,"",   0,"Toba 97 *sole."
 273,"*sènV",1209,"night","","\Isintha,\i \Isiŋtha\i","\Isene\i","\Isen\i",1494,"\Isīna\i",1133,"\Isēpa\i",1158,"\Isenda\i",1382,"Toba 93 *si ̲̲-."
 274,"*sìm",   0,"get numb","","\Isim-\i go numb (of limb in a cramped position)","\Isamnä\i (T \Isamdu\i) get numb","",   0,"",   0,"",   0,"",   0,""
 275,"*sìl",   0,"release","","\Isel-\i undo, rip up (seam), release (ritual prohibition), \Iselsi-\i take leave","\Isalsi-nä\i disappear","",   0,"\Isɨlnɨ\i 'hide, conceal'",1137,"\Isulma\i",1227,"",   0,""
 276,"*sə̀rə",   0,"husked rice","\Iséri\i uncooked rise","\Isor\i husked rice","\Isör\i husked grain, rice","\Isjā\i rice",1667,"sura",1189,"\Isēri\i",1159,"\Isĳa\i", 276,"Toba *sör. "meat rice"? - cf. *sə̀, *rə̀ and *sèrV."
 277,"*sèrV",   0,"k. of grain, rice","","\Isər\i panicum  italicum","\Isereme\i lentil","\I-seru\i in \Icā-seru\i stable rice (?)",   0,"",   0,"",   0,"",   0,"Cf. *sə̀rə."
 278,"*sóp",   0,"satisfy (eating)","","\Isüp\i- eat clean, scrape out, to eat last fragments of food","\I'swɔmnä\i (\I'swɔmŋɔ\i)","",   0,"",   0,"\Isamma\i",1136,"\Isa:pma\i",1346,""
 279,"*sV̀k-c\L1\lə̀",2661,"seed","","\Isēsi\i pip, seed of fruit, lentil, bean","\Isɔs\i testicle, \Isɔs-rus\i fruit","\Isakca\i pulse, lentils",1414,"",   0,"\Isisi\i 'testicles, seeds'",1192,"\Ima:-sik\i 'lentils'", 784,"Toba 90 *sasi. For the Yamphu form cf. Limbu kumakla sakca 'black lentils'."
 280,"*sòn",1594,"shorten","","","\Iswɔjnä\i (\Iswɔndu\i) make short or small, abbreviate; \Isöt\i-  bring down, shorten","",   0,"",   0,"\Isəima\i",1161,"",   0,""
 281,"*sV̀(k)",2689,"skin, bark","","","\Isɔ-\i   in \Isɔkɔ\i  skin, bark, leather","\Iseu,\i \Iseho\i hide",1551,"\Isəkkə\i",1095,"\Isɔkɔwar\i",1200,"",   0,"Toba 95 *sVgraw- (?). Occurs only within *sV̀-qhák."
 282,"*sV̀l",   0,"smooth","\Isilsil\i","","\Isölä-mim\i","",   0,"",   0,"",   0,"",   0,""
 283,"*sur",1573,"squeeze","","\Isür-\i press (as wood into basket), squeeze","","\Isomā\i (sorā) to knead",1592,"",   0,"",   0,"",   0,""
 284,"*saŋ",1498,"star, ray","","\I?sorluŋ\i (if < \I*saŋ-lur\i) (cf. also \I-suŋ\i in \Inep-suŋ\i  sun) [Toba 96: \Iswar\i]","\Isɔŋ-\i  in \Isɔŋgɔr\i star","\Isāŋ\i  ray, \I-se\i  in \Ikhese\i star",2140,"",   0,"\Isɔŋ-\i in \Isɔŋger\i 'star'",1204,"\Isaŋ-\i in saŋge 'star'",1322,"A difficult case. T \Isor-\i and L \I-se\i may also reflect a root *sər, cf. also T  \Isor-pikiche\i 'star'. On the other hand, T \Isor\i may be < *soʔor < \I*saŋqar\i ( = Kal. sɔŋgɔr)."
 285,"*sík",   0,"string (beads)","","\Isək-\i thread (e.g. necklace)","\I'sunä\i (\I'sigu\i)","",   0,"\Isiknɨ\i",1111,"",   0,"",   0,""
 286,"*s[á]k",   0,"take, select","","\Isok-\i pay, take","\I'sɔnä\i (\I'sɔgu\i) select smth.","\Isɛkmā\i (-gu) choose, \Iseŋmā\i (\Isegu\i)  select",1474,"",   0,"\Isɔ̄ma\i",1220,"",   0,""
 287,"*säp / *sä̀m",1611,"thin","\Isap-śo\i thin (density)","\Isamsamja\i thin (of people)","","",   0,"",   0,"",   0,"\Isopma\i 'to weigh little' (?)",1474,""
 288,"*súm",1536,"three","\I'sā̃\i","\I'su,\i \Isüm\i","\I'sam-\i in \I'samne\i 3 days ahead (cf. also \Iɔ-sɔm-kane\i 3 days ago); the form \I'sukpu\i 'three' is not quite clear.","\Isumsi\i",1648,"\Isukli\i \I?;\i cf. also \Isɨmdinna\i",1176,"\Isupci\i",1231,"\Isumǯi\i",1491,"Toba 97 *su ̲̲pchi."
 289,"*sík-ba",1230,"tiger, leopard","","\I'saw\i (\I<*sakwa\i \I<*sək-ba\i)","\I'sɔ\i (\I<*súk\i \I<*síkwV\i \I<*síkbV\i) tiger","\Isigebā\i lion",   0,"",   0,"",   0,"\Isi:gumba\i 'fox'",1442,""
 290,"*sìŋ",1513,"tree","\Iśī\i wood","\Isəŋ\i wood, tree","\Isaŋ\i tree, firewood","\Isiŋ-buŋ\i tree (in comp. \I-siŋ\i)",1544,"\Isɨ\i",1136,"\Isiŋ\i 'firewood', \Isī-chɔ\i 'tree'",1186,"\Isiŋ\i 'firewood', siŋbu 'tree'",1417,"Toba 98 *s ̲ŋ."
 291,"*sàŋ",   0,"grass","","","\Isɔŋ\i herb, weed, grass","\Isuŋ\i grass",   0,"",   0,"\Isɔ̄ŋ\i 'weeds, tufts of grass'",1224,"",   0,"Toba 98 *saŋ."
 292,"*sóp",1571,"wash","","\Isöp-\i wash (clothes)","\I'swɔmnä\i (\I'swɔptu\i)","",   0,"",   0,"\Isəmcima,\i \Isəmma\i",1170,"",   0,""
 293,"*sù",1531,"wasp","","\Isu,\i \Isū\i large queen wasp","\Isöbä\i large black wasp, \Isöprɔ\i a small bee (\I<*sü-?\i)","khē-sūmaʔ, khē-suʔmaʔ",2217,"",   0,"",   0,"\Isuama\i 'bee'",1482,"Cf. \I*sur\i bee."
 294,"*s[e]n-",   0,"whistle","","\Isajla\i  (see *lə)","\Isibrɔ\i","",   0,"",   0,"",   0,"",   0,""
 295,"*supi-",1595,"secret, whisper","","\Isüpilɔ\i whisper","","\Isibi\i secret, \Isibilām\i secretly",   0,"",   0,"\Isupi\i",1232,"",   0,""
 296,"*su",1530,"who","\I'su\i","\Isü\i","\Isü\i (CSDF \I'sü\i)","\Iā-sāt\i (\I?<*ā-su-āt\i)",   0,"",   0,"\Ias-\i",  10,"\Iasa:\i",  50,""
 297,"*sék",1222,"winnow, shake out, splutter","","\Isɛk-\i, \Isɔk-\i","\I'senä\i (\I'sehtu\i)","\IsaNmaʔ\i",1442,"",   0,"\Isāma\i",1145,"",   0,"Toba 99 *sek-."
 298,"*si (?)",   0,"mouth","\Iśō\i (< \I*si\i + X ?)","\Isi\i mouth, beak","","",   0,"",   0,"",   0,"",   0,""
 299,"*ʒhék",1562,"cut, break","","\Iʒhɛk-\i cut notch","\I'ʒhenä\i (\I'ʒhegu\i) scratch (a tree)","\Icekmā\i (\Icegepe\i) to break", 134,"",   0,"",   0,"\Icäkma\i", 132,""
 300,"*ʒhuk(s)",   0,"jump, jump down","\Iʒūk-ca\i to perch, alight","\Iʒuks-,\i \Iʒhuks-\i jump","\I'ʒhunä\i (\I'ʒhuŋɔ\i) jump down, land (airplane); run away","",   0,"",   0,"\Iǯūma\i", 508,"",   0,"Toba 95 *jhuk-."
 301,"*ʒhèŋ",   0,"last, endure","","\Iʒē(t\i)- last, endure, survive","\Iʒhenä\i","",   0,"",   0,"\Icīma\i", 129,"",   0,""
 302,"*ʒhòr  ( / ʔc-)",1589,"leak, ooze, drop","","\Iʒör-\i ooze out, leak, \Icör\i- filter","\Iʒhwɔrnä\i (\Iʒhwɔr\i) to drop down (of water)","\Isɔ̄mmaʔ,\i \I-sɔ̄r-/-sɔ̄n-\i",1615,"",   0,"",   0,"",   0,""
 303,"*ʒhòŋ",   0,"plough","","\Iʒo(t\i)-, \Iʒho(t\i)-","\Iʒhonä\i (\Iʒhoŋu\i)","",   0,"",   0,"\Iǯɔ̄ma\i", 502,"",   0,"Toba 94 *jhoC-."
 304,"*ʒhèrem",   0,"rib","\Iʒēri\i","\Iʒērem\i, \Iʒhērem\i","\Iʒherem\i","",   0,"",   0,"",   0,"",   0,""
 305,"*ʒhàp",   0,"right (правый)","","\Iʒöp-\i be beatiful, nice, \Iʒöp,\i \Iʒö\i right (as opposed to left)","\Iʒhap\i","\Icupehāŋ,\i \Icukwā\i right", 214,"",   0,"\Icupa\i", 145,"",   0,"Toba 94 *jhep."
 306,"*ʒhìp",   0,"rot","","\Iʒhips-\i rot, become smelly","\Iʒhamnä\i (\Iʒhap\i) ferment, decay (of food), \Iʒhappä\i rotten","",   0,"",   0,"",   0,"",   0,""
 307,"*ʒhít",   0,"soak, moisten","\Iʒit-ca\i become wet","\Iʒit-,\i \Iʒhit-\i  make wet, moisten; sow (rice or eleusine  seeds in seeding bed)","\I'ʒhannä\i (\I'ʒhattu\i) soak (laundry, seeds)","\Iwā-cetmā\i  (\I-cettu\i) to pour water",   0,"\Iʒitnɨ,\i \Iʒītnɨ\i", 236,"",   0,"",   0,""
 308,"*ʒhùr (/ʔc-)",1590,"sour","\Igjur-śo\i (\I=/ʒur-śo/?\i or < Tib.?)","\Iʒhür-\i be sour (also \Iʒüʒür\i variety of bitter fruit)","\Iʒharpä\i (also \Iʒuʒur\i)","\Ike-sū-pā\i, \Isut,\i \Isūt\i sour",1671,"\Icɨrnɨ\i",1400,"\Iǯuǯurpa\i \Iadj.,\i \Iǯur-ma\i v.", 504,"\Isi:ma\i 'to be sour', su:ma 'to be spicy'",1448,"Toba 96 *jur."
 309,"*ʒhút",   0,"to warm","","\Iʒüt\i- use (sun) to warm (usually oneself)","\I'ʒhannä\i (\I'ʒhattu\i) to warm (at the fire)","",   0,"",   0,"\Iǯuima\i", 503,"",   0,""
 310,"*ʒhùŋ",1576,"wind","","\Iʒu\i wind, breeze, cold","\Iʒhuŋ\i wind, air, cold","\Icuŋ\i cold (n.)", 208,"\Iʒuʔu\i", 243,"\Icuŋ\i (n.), \Icū-ma\i (v.)", 143,"\Icuŋ\i", 201,"Toba 99 *jhuŋ."
 311,"*ʒo (?/*ʒə)",1614,"eat","\I'ʒa-ca\i","\Iʒāsikpa\i in \Igrūsikpa\i \Iʒāsikpa\i  one who cooks and eats selfishly by himself","\Iʒönä\i (\Iʒɔŋɔ\i)","\Icāmā\i (\Icŏca\i) to dine, \Icɔmɔpimɔ\i to feed", 109,"\Iʒunɨ\i 'eat', \Iʒɨnɨ\i 'be edible'", 245,"\Icama\i",  93,"\Ica:ma\i", 125,"Toba 89 *co-."
 312,"*ʒä",   0,"grain","","","\Iʒä\i","\Icā\i  crop, meal, food",   0,"\Iʒā\i", 223,"ǯa", 483,"",   0,"Toba 94 *jäm (adding Tul. ʒam 'cooked rice'?)"
 313,"*ʒə́",   0,"graze","\I'ʒo-ca\i","\Iʒa(t\i)-","","\Icā-merāmmā\i",   0,"",   0,"",   0,"",   0,""
 314,"*ʒàŋ",   0,"peacock","","\Iʒɔ\i","\Iʒãwwa\i (\I*ʒàŋ\i + \I*wa\i bird q.v.)","",   0,"",   0,"\Iǯɔwa\i", 500,"",   0,""
 315,"*ʒ(h)ák",   0,"shine","","\Iʒhɔk-\i glitter","\I'ʒɔnä\i (\I'ʒɔktu\i) make white, \I'ʒɔhpä\i shining  white","",   0,"",   0,"",   0,"",   0,""
 316,"*ʒè(k)s",   0,"speak, sound","","\Iʒes-\i speak, sound","\Iʒenä\i (\Iʒeŋɔ\i) speak, make a sound","\Icekmā\i (\Icektu\i) make hear, \Iceŋmā\i (\Icekkhu\i) talk", 135,"\Iʒēnɨ\i", 232,"\Ichɔ̄ma\i 'call' (?)", 214,"",   0,"Toba 96 *jes-."
 317,"*ʒìʒi",   0,"sweet","\Iʒiʒi\i","\Iʒiʒiwa\i (also \Iʒiʒin,\i \Iʒiʒi\i \Ilüpa\i)","","\Iʒiʒi\i (sic!) calm, peaceful",   0,"",   0,"",   0,"",   0,""
 318,"*chùl",   0,"anger","","\Ichöl\i (AS \Ichöla\i) affectation","\Ichalnä\i (\Ichalŋɔ\i) dissatisfy","",   0,"\Icili\i",1372,"\Ichuli\i", 221,"\Isi:tca:ma\i",1454,"Cf. *cìl."
 319,"*chə̀(k)-pu (-bu)",   0,"bug","","\Ichə̄wə\i  bug","\Ichup\i bedbug","\Isigipa\i bug",1523,"\Icɨʔɨbɨ\i",1389,"\Ichīpa\i", 201,"",   0,"Cf. *ʔcu-kik-pä."
 320,"*chè-(-n, -s)",2727,"know","","\Ichē(n/t\i)- recognise, chose, \Iches-\i  take heed, wake up, be intelligent","\Icheynä\i (\Ichendu\i) know (a person, a way), \Ichepä\i  smart, clever","",   0,"\Icennɨ,\i \Icɨknɨ\i",1351,"\Icheima\i 'know', \Ichepɔwa,\i \Ichemɔwa\i 'smart'", 173,"\Iseʔma\i 'choose'",1389,"Cf. also *sen, *cèn."
 321,"*[ch]ik",1231,"cold, damp","sīksi, \Isīk-so\i damp","\Ichək-\i be cold (of food, or natural objects)","\I'chunä\i (\I'chiktä\i) to have become cold, \I'chakpä\i  cold (with a not quite clear vowel), \I'chakpä\i wet (= cold)","cīkmaʔ, -cīkt-/-cīk-", 167,"",   0,"\Ichikchilikpa\i \Iadj.,\i \Ichīma\i v.", 200,"\Icäk\i 'wet'", 129,""
 322,"*chòm(-s)",   0,"dance","","\Ichöms-\i dance, hover","\Ichwɔmnä\i (\Ichwɔŋɔ\i)","",   0,"\Icəmnɨ\i",1360,"châm- (Toba 89)",   0,"\Isimmama\i (?)",1416,"Toba 89 *chems-."
 323,"*[ch]èm",   0,"platform","","\Ichem\i ceremonial enclosure, hunter's rough shetter, tree platform","\Ichem\i platform for storing grain stalks","",   0,"\Icem\i",1343,"\Icemcemmas\i 'sole of the foot'?", 105,"\Icim\i", 157,""
 324,"*chù",2769,"far","","\Ichüppa\i, \Ichüp\i (but \Ichübat\i) far off, distant","\Ichüpä\i","",   0,"",   0,"\Ichuburi\i", 216,"",   0,"Toba 89 *chuburi."
 325,"*chúl (~ s-, -o-, -s)",   0,"feel (by touch)","'sul-ca","","","\Isumā\i (\Isusu\i) touch",1635,"",   0,"",   0,"",   0,""
 326,"*cho(-t)",1207,"grease, fat","","\Ichödöwa\i animal fat, \Ichöchöja\i rich (as food containing much ghee)","\Ichodowe\i grease","\Isesɔt\i fat (n.)",1579,"",   0,"\Ichɔdɔwa\i", 203,"\Isasik\i 'fat', sasok 'entrails'",1340,"Toba 91 *chödowe."
