"NUMBER","PROTO","PRNUM","PSPEECH","MEANING","NEPALI","DERCOMM","COMMENTS"
 776,"ne",   0,"adv.","then (prosodic particle often left untranslated)","","","cf.  Nep. \X0ta\x."
 777,"neksebɨm",   0,"n.coll.","the Newaris, the Newari nation, the Newari tribe","","","cf.  \X0neksɨm.\x"
 778,"neksɨm",   0,"n.","Newari"," Nevārī",""," cf.  \X0neksebɨm.\x"
 779,"neksɨmbɨ",   0,"adj.","Newari.","","",""
 780,"nenɨ",   0,"vt-1 ne","put, place","","","(with \Igu\i 'clothes') get dressed, put on clothes; \IGu\i \Ine!\i Put on some clothes! (Nep. \ILugā\i \Ioḍ!\i ); cf.  \X0leńsinɨ.\x"
 781,"nəmnɨ", 500,"a) vi-3 num-nəm b) vt-3 num-nəm","a) 1) smell, be odiferous or aromatic 2) tsa:ʔi:kpa nəmnɨ smell bad, emit a stench, reek 3) tsa:nam nəmnɨ smell good, emit an aroma or fragrance","a) gahnāunu b) sũghnu.","","a) 2) cf.  \X0namnɨ\x \X0vi-1\x"
 782,"nərəNkho",   0,"n.","shin"," pāʔsulā.","[also attested in Sasarkā ]",""
 783,"nərəNkho-sa:lu",   0,"","","",""," vide  \X0nərəN-sa:lu.\x"
 784,"nərəN-sa:lu",   0,"n.","shinbone, tibia"," pāʔsulā","[nərəN shin + sa:lu bone]"," also \InərəNkho-sa:lu,\i \Inərkam-sa:lu;\i cf.  \X0pheləp-sa:lu,\x \X0tsep-sa:lu.\x"
 785,"nərkam-sa:lu",   0,"","","",""," vide  \X0nərəN-sa:lu.\x"
 786,"nim",   0,"","","",""," vide  \X0nimpho.\x"
 787,"nimpho, nim", 767,"n.","human milk","","","cf.  \X0amlalim,\x \X0dɨdhɨkwam.\x"
 788,"Nina:mbɨ",   0,"n.","sun, the sun-god"," surje, ghām, sūrya-bhagavān.","[< na:m 'sun']",""
 789,"nini", 482,"n.","paternal aunt, older or younger than father","","","cf.  \X0pusaim,\x \X0phopho\x \X0(1),\x \X0te:te:\x \X0(1).\x"
 790,"niN", 787,"n.","fear, awe","","","[< Tibeto-Burman *s-niN 'heart, mind' (Benedict 1972: 79)]; cf.  \X0lɨknɨ.\x"
 791,"NiNdza:",   0,"n.","annual Dumi harvest offering to the ancestor gods led by the naksö-kɨbi"," pitrö bujhāunu","[< Tibeto-Burman *s-niN 'heart, mind' (Benedict 1972: 79) + dza: 'cooked rice']"," cf.  \X0se:r\x \X0opnɨ\x  n. + \X0vt-3.\x"
 792,"nɨ",  61,"n.","name","","","cf.  \X0moʔo,\x \X0wa:tnsinɨ\x \X0(2).\x"
 793,"nɨ",   0,"n.","mind","","","cf.  \X0ri:nɨ\x \X0vi-1,\x \X0tsa:mnɨ\x \X0vi-1\x \X0(2).\x"
 794,"nɨ",   0,"num.","two, the two of them, both","","","cf.  \X0sakbo.\x"
 795,"nɨ-sa:nɨ",   0,"n.","consciousness, awareness","","[nɨ 'mind' + sa:nɨ 'intelligence']","cf.  \X0nɨ,\x \X0sa:nɨ.\x"
 796,"nɨnɨ", 486,"vi-4 no:-nu-nɨ","be good, be alright, be fine","","[> tsanɨkpa ]","cf.  \X0tsa:\x \X0nɨnɨ\x \X0vi-4\x"
 797,"nɨri",   0,"n.","a disincarnate hoNsa which is returning to be reincarnated; a person's reincarnation.","","",""
 798,"noktibhu",   0,"n.","the tree Ficus nemoralis"," dudhilo.","[-bhu 'tree']",""
 799,"nono",   0,"n.","mother's younger sister","","","cf.  \X0kiki,\x \X0kira,\x \X0phopho\x \X0(2),\x \X0te:te:m\x \X0(1).\x"
 800,"nosə, nosəm", 769,"n.","muscle, muscles","","","cf.  Limbu \X0neksa.\x"
 801,"nosəm",   0,"","","",""," vide  \X0nosə.\x"
 802,"no:me",   0,"n.","vide \X0delme.\x","","[no:- < nɨnɨ vi-4 'be good' + me fem.sf.]",""
 803,"no:the",   0,"n.","favour, kindness, assistance, service"," upakār, bhalāi","[no:- < nɨnɨ vi-4 'be good']"," cf.  \X0mɨnnɨ\x \X0vt-7\x \X0(6).\x"
 804,"nu", 494,"n.","nose"," nāk.","[also attested in Sasarkā ]",""
 805,"nu-dɨlə",   0,"n.","nostril.","","[nu 'nose' + dɨlə 'cleft, opening']",""
 806,"nukhil",   0,"n.","snot, mucus"," sin%gān","[nu 'nose' + khil 'shit']"," cf.  \X0mikkhi:m,\x \X0Nitso-siʔi.\x"
 807,"Nukhil",   0,"dhyəknɨ  n.","a two-day ritual performed by the shaman for any members of the community who have attained an age which is past child bearing age. In this ritual, the nukhil snot', a metaphor for fecund bodily effluents, is said to be sealed off or plugged up. After this ritual, the person or persons for whom the ritual has been performed formally enter the ranks of the respected elderly citizenry. The Nukhil dhyəknɨ ritual is the culmination of the four-year ritual cycle of the Na:ghɨ and is performed immediately following the end of the four-day Tsomdam festival. It is during Nukhil dhyəknɨ ceremony that one receives one's Moʔo  or 'Eternal Name'","","[nukhil 'snot' + dhyəknɨ 'seal off, plug']","cf.  \X0Dibudam,\x \X0Moʔo,\x \X0Na:ghɨ,\x \X0nɨ\x \X0wa:tnsinɨ,\x \X0Ti:dam,\x \X0Tsi:dam,\x \X0Tsomdam.\x"
 808,"nukhil-gotɨr",   0,"n.","type of bamboo; the shoots are slimy and emerge in a way reminiscent of snot, whence the name"," siŋgāne māliŋgo.","[nukhil 'snot']","probably a Nepali calque"
 809,"nulɨ", 485,"adv.","daytime, in the daytime"," diũso",""," cf.  \X0bɨknɨ,\x \X0nulɨ-peʔe,\x \X0si:na,\x \X0so:mna.\x"
 810,"nulɨ-peʔe",   0,"adv.","in the middle of the day, halfway through the day, at noon, in broad daylight","","[nulɨ 'daytime' + peʔe 'half']","also: \Inulɨ-tɨk-peʔe-bi\i (day-one-half-LOC);\i cf.  \X0si:na-peʔe.\x"
 811,"nur",   0,"","","",""," vide  \X0nurɨ.\x"
 812,"nurɨ", 819,"n.","forest leopard or panther, Panthera pardus, or snow leopard, Panthera uncia"," bāgh",""," cf.  \X0kartɨkpu,\x \X0sa:ʔlɨm,\x \X0tsaptsɨ.\x"
 813,"nurɨ-tsutsu",   0,"n.","respectful term for grandfather.","","[nurɨ 'leopard' + tsutsu 'grandfather']",""
 814,"nutso:",   0,"n.","tip of the nose.","","[nu 'nose' + tso: 'tip']",""
 815,"Na:l",   0,"n.","spinach"," sāg",""," cf.  \X0go:nəm.\x"
 816,"Na:lkö",   0,"n.","spinach tarkārī"," sāg-ko tarkārī.","[Na:l 'spinach' + kö 'cooked vegetables']",""
 817,"Na:ńsɨnɨ", 449,"vr.erg.","sit down"," basnu.","",""
 818,"Na:yɨ",  85,"n.","face (of a woman); dainty, comely, unblemished or beautiful face (of a man or a woman); countenance, visage"," anuhār",""," cf.  \X0ko:phu.\x"
 819,"Na:yɨ-syennɨ",   0,"n.","mirror"," ainā, darpan5.","[Na:yɨ 'countenance' + syennɨ 'look at']",""
 820,"Na:yɨ-ko:phu",   0,"n.","face, countenance, visage"," anuhār.","[Na:yɨ 'countenance' + ko:phu 'face']",""
 821,"Nə",   0,"emphatic particle highlighting preceding element or syntactic constituent.","","","",""
 822,"Nə́si",   0,"n.","friend, companion"," sāthī.","",""
 823,"Nilo:", 439,"n.","tooth, fang"," dāʔt.","[also attested in Sasarkā ]",""
 824,"Nitso", 447,"n.","ear"," kān.","[also attested in Sasarkā, allofam of Nyi:nɨ 'hear']",""
 825,"Nitso-siʔi",   0,"n.","earwax"," kān-ko maina","[Nitso 'ear' + siʔi 'dregs']"," cf.  \X0mikkhi:m,\x \X0nukhil.\x"
 826,"Nitsotso:",   0,"n.","earlobe.","","[Nitso 'ear' + tso: 'tip']",""
 827,"Nɨ",  83,"n.","fish"," māchā.","",""
 828,"Nɨ-kɨrnɨ",   0,"n.","a pɨktsɨm or bamboo wicker creel used for carrying fish","","[Nɨ 'fish' + kɨrnɨ 'carry']","cf.  \X0pɨktsɨm.\x"
 829,"-Nka",   0,"sf.","(affixed to a vowel-final verb or clause) then, well then","","","\IAkhusta-Nka?\i Well, will you go then?"
 830,"No",  84,"num.","five.","","",""
 831,"Noknɨ",  90,"vi-3 Nukh/Nuk-Nok","cry, weep: Nep. runu.","","",""
 832,"Nyéləksi", 393,"n.","banana"," kerā",""," cf.  \X0yamlɨbhu.\x"
 833,"Nyepnɨ", 871,"vt-2a Nyept/Nyep-Nyiph/Nyip","sow"," charnu",""," cf.  \X0letnɨ\x \X0vt-2a.\x"
 834,"Nyetnɨ", 446,"vi-3 Nyi:ts/Nyi:s-Nyet","1) hurt, ache; fester (of a wound); 2) be ailing, be in poor health.","","",""
 835,"Nyetnɨ",   0,"imp.vt-3 Nyi:ts/Nyi:s-Nyet","(with non-referential third singular agent agreement and patient agreement with the person experiencing the pain) ache, hurt.","","",""
 836,"Nyi:nɨ", 448,"vi-1 Nyi:","hear, not be deaf.","","",""
 837,"Nyi:nɨ", 448,"vt-1 Nyi:","hear, listen to","","[allofam of Nitso 'ear']","\Ieyi:nɨ\i takes only third singular patient; English I heard you' translates as \IAna\i \Iaʔa:tsɨm\i \INyi:Nu\i I heard what you said' (Nep. \ITimīle\i \Iboleko\i \Isunẽ);\i \IAntsiʔa\i \Iadzi:yɨm\i \Iboʔo\i \IaNyi:?\i Did you hear what we were talking about? ; \IANyi:tɨ\i \Iye:\i \IaNyi:tɨnə\i \Iye:?\i Do you hear or don't you?"
 838,"Nyi:rnɨ",   0,"vt-1 Nyi:r","finish, complete (terminative pseudoaspectivizer with an infinitive)","","","vide  6.3.12; \X0ɨtnɨ\x \X0Nyi:rɨ\x He finished roasting it (Nep. \X0Polnu\x \X0sakyo),\x \X0Dzunɨ\x \X0Nyi:rni\x \X0Theyp\x finished eating (Nep. \X0Khānu\x \X0sake\x)."
 839,"Nyi:sdzɨnɨ",   0,"vi-3 Nyi:ts/Nyi:s-Nyet + vi-4 dzo:-dzɨ-dzuy/dzu","be ill, suffer, experience pain, be ailing"," duḥkhī rahanu.","[duratively aspectivized Nyetnɨ vi-3 'hurt']","\Ieyeʔkdzɨkta\i We are ailing"
 840,"okto",   0,"n.","medicine, ointment"," davāī, okhatī, auṣadhī.","",""
 841,"oNnɨ", 603,"vi-3 uN-oN","enter"," pasnu.","",""
 842,"oplɨtnɨ",   0,"vt-2a oplɨd/oplɨt-oplɨts/oplɨs","(with non-referential third singular patient agreement) bounce incessantly, propel oneself by bouncing (e.g. of mulu 'hail'); prance about, hop repeatedly (e.g. as a form of locomotion of insects)"," uchiṭṭi hĩḍnu","[frolicsomely aspectivized opnɨ 'bounce, pop, prance, hop']"," cf.  \X0mɨlɨtnɨ\x \X0vt-2a.\x"
 843,"opnɨ",  17,"vt-3 uph/up-op","1) toss, cast (esp. ya:lɨ 'a net')","1) jāl hānnu","","\ISe:r\i \Iuphini\i They performed the ceremony of \IniNdza:\i  (lit. They tossed the lice); cf.  \X0niNdza:.\x"
 844,"opnɨ",  17,"vt-2a opt/op-oph/op","a) make spark, cause to spark, strike (flint); b) (with non-referential third singular agent agreement and patient agreement with sole nominal argument) 1) bounce (of mulu 'hail'); prance about, hop (e.g. of insects); pop, pop into the air (of muluswasi 'maize' being popped); 2) catch fire, spark, start to blaze","1) uchiṭṭinu; 2) jhulkinu.","[dir. < opnɨ vt-3 'toss']","2) - \INa:m\i \Ioptɨ\i  The sun has started to shine."
 845,"o:-",   0,"pf.; (first person singular possessive prefix)","my.","","",""
 846,"o:tsyep",   0,"n.","bed, mattress.","","[< Nep. ochyān ]",""
 847,"pa", 692,"","","",""," vide  \X0papa.\x"
 848,"pahudam",   0,"n.","the Hindu prayer service or pūjā in honour of the dog (Nep. kukur-pūjā or kukur-tihār) celebrated on the the second day of the five-day Tihār (Yampañcak) festival, i.e. on the fourteenth day of the dark half of the month of Kārtik on which occasion the dogs are held in reverence and fed","","[< dam 'prayer, sacrifice']","[attested in Sasarkā only] cf.  \X0bulɨdam,\x \X0tsuwamdam.\x"
 849,"pakhɨr",   0,"n.","upper arm (from shoulder to elbow).","","[< khɨr 'hand']",""
 850,"papa", 847,"n.","father","","","cf.  \X0pu.\x"
 851,"páraksibhu",   0,"n.","the tree Litsea cubebe or Litsea citrata (listed in some botanical sources as Zanthoxylum oxyphyllum or Lindera neesiana)"," silṭīmur.","[< -bhu 'tree']",""
 852,"Paratɨ",   0,"n.myth.","one of the two avian escorts who took Na:ye:m from earth to the planet Venus, Ruwabhu","","","the other one was \ITsimtso;\i \ITsimtso\i and \IParatɨ\i are noisy crested birds of the species known in \IDumi\i as \Itúkhisɨ\i  (q.v.), probably \IGarrulax\i \Ileucolophus.\i"
 853,"parɨ",   0,"n.myth.","primordial undifferentiated foam (Nep. phīʔj ) and vapour that rose up as a froth from the primordial sea atop which it condensed into land and stone to form the continents; the parɨ also rose up as a vapour into the heavens where it persists as ether; substance, matter, ether.","","",""
 854,"parɨbɨ",   0,"","","",""," vide  \X0parɨ.\x"
 855,"parɨ-tsuʔu",   0,"n.","newborn infant sacrificed in olden times to the gods of Creation.","","[parɨ 'primordial foam' + tsuʔu 'child']",""
 856,"parkirma",   0,"n.adj.fem.","third born (offspring or sibling)","","[in Sasarkā only]","cf.  \X0parkirmi,\x \X0wakirma.\x"
 857,"parkirmi",   0,"n.fem.","(of a married female) third born (offspring or sibling)","","[in Sasarkā only]","cf.  \X0parkirma,\x \X0wakirmi.\x"
 858,"parkɨ",   0,"n.adj.masc.","third born (offspring or sibling)","","[in Sasarkā only]","cf.  \X0parkɨse,\x \X0wakɨ.\x"
 859,"parkɨse",   0,"n.masc.","third born son","","[in Sasarkā only]","cf.  \X0parkɨ,\x \X0wakɨse.\x"
 860,"pawöm", 697,"n.","chicken","","","cf.  \X0pawömmu,\x \X0pawömpu.\x"
 861,"pawömmu",   0,"n.","hen","","[pawöm- 'chicken' + -mu fem.sf.]","cf.  \X0pawömpu,\x \X0phu,\x \X0phupu.\x"
 862,"pawömpu",   0,"n.","cockerel, cock, rooster","","[pawöm- 'chicken' + -pu masc.sf., cf. tsaNgɨrpu]","cf.  \X0pawömmu,\x \X0phu,\x \X0phupu.\x"
 863,"pawömti:",   0,"n.","chicken's egg.","","[pawöm 'chicken' + ti: 'egg']",""
 864,"payadanilu",   0,"n.","one of the three stones comprising the sɨptɨlu (q.v.), the stone situated nearest to the wall","","[attested in Sasarkā only]","vide  \X0birmelu,\x \X0danilu.\x"
 865,"pa:bu",   0,"n.","small bamboo species Dendrocalamus strictus"," māle bāʔs.","[< -bu bamboo sf.]",""
 866,"pa:kha", 703,"adv.","outside"," bāhira.","",""
 867,"pa:lkokti",   0,"n.","sweet potato"," sutunī","[also attested in Sasarkā ]"," cf.  \X0ba:rbati,\x \X0ki:.\x"
 868,"pa:nɨ",   0,"vi-3 pəts/pəs-pa","allative aspectivizer for intransitive verbs","","","vide  6.3.1."
 869,"pa:nɨ",   0,"vt-4 pad/pət-pəts/pəs-pə","allative aspectivizer for transitive verbs","","","vide  6.3.1."
 870,"pa:nte:l",   0,"n.","courtyard, farmyard"," āʔgan.","[also attested in Sasarkā ]",""
 871,"pa:rko:ti",   0,"adv.","(said of way of sitting) lotus sit, indian style, cross-legged.","","",""
 872,"pa:tnɨ", 711,"vt-2a pa:t-pa:ts/pa:s","1) wrap, spool (e.g., su:le thread), bandage, wrap up; 2) join together, patch, mend"," (dhāgo ) gāʔsnu",""," cf.  \X0pənnɨ\x \X0vt-2a.\x"
 873,"pe:tnɨ", 705,"vt-4 pi:d/pi:t-pi:ts/pi:s-pe:t","pick (fruits, flowers), pick up"," ṭīpnu",""," cf.  \X0sɨNnɨ.\x"
 874,"peʔe",   0,"n.adv.","half"," ādhā.","",""
 875,"pəndhi",   0,"n.","axe, hatchet"," bancaro, bãcoro.","",""
 876,"pənnɨ", 711,"vt-2a pənd/pən-pənts/pəns","spin toʔo 'yarn', make su:le 'thread' out of khoʔsi 'cotton' with a wa:tntsi 'spindle and whorl'"," dhāgo nikālnu, dhāgo banāunu","","\ISu:le-po\i \Itoʔo\i \Ipənnɨ\i to spin the yarn for (lit. 'of the') thread; \ISu:le\i \Iwa:tntsi-ʔa\i \Ipəntɨm\i She's spinning yarn for thread with a spindle and whorl; cf.  \X0pa:tnɨ\x \X0vt-2a,\x \X0pɨnɨ\x \X0vt-6a,\x \X0toʔo,\x \X0wa:tnsti.\x"
 877,"pətnɨ", 666,"vt-2a pət-pəts/pəs","(with non-referential third singular agent agreement) 1) flower, bloom (of flowers); 2) (with mori 'foetus, embryo') be pregnant, mori pətɨm pregnant (Nep. garbha bhaeko ); 3) (of mori-puma 'embryo-flower' or mitsɨm-puma 'woman-flower') menstruate, be in menstruation.","","","\IPuma\i \Ipətɨ\i The flower has begun to bloom"
 878,"Pəyɨpsɨ",   0,"n.myth.","the first man to emerge from the womb of Na:ye:m.","","",""
 879,"piksilu",   0,"n.","ankle.","","",""
 880,"piĺliksɨ",   0,"n.","the tree Choerospondias axillaris"," lapsī","[< sɨ 'wood']"," cf.  \X0piĺti:psɨ.\x"
 881,"pilnɨ",   0,"vt-1 pil","1) hug (not as a sign of affection but whilst wrestling); 2) squeeze an udder whilst milking, milk (a cow or buffalo)","","","1) \ILuphukə\i \Ipilu\i I grabbed him and held him in my grip (embrace); cf.  \X0ləpa\x \X0tseḿsinɨ\x vr. (2); 2) \X0Bhiʔi-po\x \X0madhɨm\x \X0pilta\x He's milking the cow."
 882,"piĺti:psɨ",   0,"n.","the tree Choerospondias axillaris"," lapsī","[in Sasarkā only; < sɨ 'wood']"," cf.  \X0pilliksɨ.\x"
 883,"piNgo",   0,"n.","the wooden, bamboo or wood-and-bamboo ferris wheel made by Kiranti peoples during a period of shamanist celebrations which coincide with the Hindu feast of Das!aĩ, from the seventh to the tenth day of the light half of the month of Ās!vin","","[< Nep. pin% 'ferris wheel game']","these ferris wheels are propelled by the more stalwart lads in the community from positions beneath the wheel and along the two vertical supporting beams; cf.  \X0tsemmɨtnɨ.\x"
 884,"pipi",   0,"n.","grandmother (either paternal or maternal; male or female speaking)"," hajur-āmā.","",""
 885,"piṕmsinɨ",   0,"n.","sheath, scabbard"," dāp.","[vr. < pipnɨ vt-2a 'stick into lengthwise']",""
 886,"pipnɨ",   0,"vt-2a pipt/pip-piph/pip","pierce, stick lengthwise into, thrust (any long object) into, drive into"," siurinu.","",""
 887,"pipsunɨ",   0,"vt-2a pipt/pip-piph/pip + vt-6a sa-suy/su-sɨ-so","thrust, drive or stick into lengthwise"," siuri paṭhāunu.","[dimittively aspectivized pipnɨ 'stick into lengthwise']",""
 888,"piptunɨ",   0,"vt-2a pipt/pip-piph/pip + vt-6a ta-tuy/tu-tɨ-to","position or get into place by thrusting in lengthwise"," siuri rākhnu.","[ponently aspectivized pipnɨ 'stick into lengthwise']",""
 889,"pitnɨ", 684,"vt-2a pid/pit-pits/pis","bring (on a level plane)"," terso lyāunu","[dir. < pi:nɨ 'come (on a level plane)']"," cf.  \X0ho:tnɨ\x \X0vt-4,\x \X0khotnɨ\x \X0vt-2a,\x \X0liʔpitnɨ\x \X0vt-2a,\x \X0ta:nnɨ\x \X0vt-5a.\x"
 890,"pitti",   0,"n.","period of time.","","",""
 891,"pi:ʔkhi:m",   0,"n.","fart.","","[pi:? < pi:nɨ vi-1 'fart' + khi:m 'spittle']",""
 892,"pi:nɨ", 687,"vi-1 pi:y/pi:","come (along a horizontal plane)"," terso āunu.","","cf.  \X0hu:nɨ\x \X0vi-2,\x \X0khoNnɨ\x \X0vi-3,\x \X0ta:tnɨ\x \X0vi-3\x"
 893,"pi:nɨ", 691,"vi-1 pi:y/pi:","fart"," pādnu.","",""
 894,"pi:pnɨ",   0,"vi-1 pi:ph/pi:p","1) topple over, fall, be felled 2) -sa:yɨ pi:pnɨ (elevated style) pass away, die"," dhalnu","","1) cf.  \X0ɨnnɨ,\x \X0tha:Nnɨ,\x \X0thi:nɨ.\x 2) \X0ɨsa:yɨ\x \X0pi:phɨm\x lit. his soul toppled (Nep. \X0usko\x \X0śir\x \X0ḍhaleko\x\X0).\x"
 895,"pi:sibhu",   0,"n.","the tree Castanopsis indica"," aule kaṭus, ḍhālne kaṭus","[< -bhu 'tree']"," cf.  \X0dibusi,\x \X0isilimbhu.\x"
 896,"pi:sim",   0,"n.","1) man past child bearing age  2) a potato plant which does not produce potatoes","1) buḍho 2) Nep. ālū napalāune.","","1) cf.  \X0pi:simme;\x \X0so:lə\x"
 897,"pi:simme",   0,"n.","woman past child bearing age"," buḍhī","[-me fem.sf.]"," cf.  \X0pi:sim,\x \X0so:ləme.\x"
 898,"pɨʔɨ", 681,"n.","ashes","","","cf.  \X0ka:yɨ.\x"
 899,"pɨknɨ",   0,"vt-2a pɨkt/pɨk-pɨkh/pɨk","heap up, pile up"," thupārnu.","",""
 900,"pɨkNde:nɨ",   0,"vt-4 pɨkdit-pɨkdits/pɨkdis-pɨkdet","heap up, pile up, gather in a heap"," thupāri hālnu","[< pɨknɨ 'pile up']"," cf.  \X0bi:de:nɨ,\x \X0sokde:nɨ.\x"
 901,"pɨktsɨm",   0,"n.","creel, bamboo wicker fishpot for trapping and carrying fish (Eastern Nep. maulā ), cylindrical in shape and with an involuted cone-shaped mouth at one end which permits the fish to swim into the creel when submersed but makes it unlikely that they will swim out again","","","cf.  \X0khoksɨm,\x \X0Nɨ-kɨrnɨ.\x"
 902,"pɨm",   0,"n.","clod, wadd, orb, lump, ball"," ḍallo.","[< pɨknɨ 'pile up', pɨmsinɨ 'curl up into a ball']",""
 903,"pɨmsinɨ",   0,"vr.non-erg.","curl oneself up into a ball; to assume foetal position.","","",""
 904,"pɨnɨ", 700,"vt-6a pa-pu/puy-pɨ-po","weave, manufacture by weaving","","","cf.  \X0bhoknɨ\x \X0vt-2a\x \X0(2),\x \X0toʔo,\x \X0thɨri.\x"
 905,"pɨnnɨ",   0,"vt-2b pɨnd/pɨn-pɨnts/pɨs","pound (e.g. sura 'paddy'), esp. with a pɨnkɨk, tholɨ, sɨNkhoʔ, sɨpo or samphep and rɨtsɨlu"," kuṭnu.","",""
 906,"pɨnkɨk",   0,"n.","a see-saw shaped rice thrasher consisting of a long wooden lever pivoting on a short horizontal axle protruding from a wooden post or pylon above a stone floor. A mound-shaped stone is affixed to the underside of the lever at one end, and the lever is depressed by foot at the opposite end and released so as to lift the pounding stone and allow it to come down repeatedly on to the paddy placed in a depression in the stone floor"," ḍhikī.","[< pɨnnɨ vt-2b 'pound']","The \Ipɨnkɨk,\i like the \Idzagúyɨk\i (q.v.), are believed by the Dumi to have originally been inventions of the ancient cannibalistic Rākṣas"
 907,"pɨpnɨ", 755,"vt-2a pɨpt/pɨp-pɨph/pɨp","squeeze, wring (patient agreement with the wrung out fluid, e.g. ɨmma 'millet beer' from tsampɨ 'fermented millet' or kaNkɨ 'water' from wet clothes, not with the the object or substance from which it is wrung out)"," nicornu",""," cf.  \X0ri:pnɨ\x \X0vt-2a.\x"
 908,"pɨkhɨ", 717,"n.","clay, earth, soil, ground.","","",""
 909,"pɨkhɨ",   0,"koknɨ  n.","spade","","[pɨkhɨ 'soil' + koknɨ 'dig']","cf.  \X0kokda.\x"
 910,"pɨkhɨ-tel",   0,"n.","kerosene.","","[< Nep. calque maṭṭī-tel, lit. 'clay-oil']",""
 911,"pɨs",   0,"adv.","a little bit, some","","","\IA-Nitso\i \Ipɨs\i \Isa:tsɨm\i Your ear has gotten a little clogged up."
 912,"-po",   0,"genitive sf.","e.g. mesi-po su buffalo meat.","","",""
 913,"poʔo", 698,"n.","pig, swine"," sun%gur.","[also attested in Sasarkā ]",""
 914,"poʔosu",   0,"n.","pork","","[poʔo 'pig' + su 'meat']","\Isuŋgur-ko\i \Imāsu.\i"
 915,"poko",   0,"","","",""," vide  \X0aselma-poko.\x"
 916,"poksim",   0,"n.","millet, after it has been fermented and the millet beer has been squeezed out of it, used as fodder for the swine"," chokrā",""," cf.  \X0ɨmma,\x \X0tsampɨ.\x"
 917,"poksö",   0,"n.","piglet.","","[< poʔo 'pig']",""
 918,"potnɨ", 723,"vt-2a pot-puts/pus","1) trade, exchange, switch 2a) (with non-referential third singular agent agreement) change 2b) (non-referential third singular agent agreement and patient agreement with mintə 'thoughts' or minnɨ 'thinking') change one's mind 3) so:m potnɨ (so:m 'breath') breathe","1) sāṭnu; 3) sās baṭali garnu","","2a) \IPotta\i It will change (Nep. \Ibadalincha);\i 2b)  \IO:mintə\i \Ipotɨ\i I changed my mind (Nep. \Imero\i \Isocāī\i \Ibadaliyo\i \I);\i \Iɨminnɨ\i \Ipotɨ\i He's changed his opinion [on the matter] (Nep. \IUsko\i vicār \Ibadaliyo);\i cf.  \X0thɨtnɨ\x \X0vt-2a\x \X0(2),\x \X0li:tnɨ\x \X0vt-4\x \X0(2).\x"
 919,"puma", 730,"n.","flower"," phūl.","",""
 920,"pu",   0,"n.","father","","","cf.  \X0papa.\x"
 921,"pusaim",   0,"n.","husband of paternal aunt","","","cf. \X0nini.\x"
 922,"pu:sta",   0,"n.","a generation (both as a collective reference to all the members of a generation or age-group as well as a measure of time).","","",""
 923,"pyernɨ", 688,"vt-2a pyerd/pyer-pi:r","pinch with tweezers"," cyāpnu.","",""
 924,"pyəknɨ", 683,"vt-2a pyəkt/pyək-pyəkh/pyək","braid, plait (e.g. do:səm, do: 'hair')","","","cf.  \X0ri:pnɨ\x \X0vt-2\x \X0(1).\x"
 925,"pye:l",   0,"n.","vermiform appendix.","","",""
 926,"phapoʔo", 770,"n.","bamboo culm sheath, which are shed as the bamboo plant grows, often covered with pigmented glass hairs"," bāʔs paṭyāʔs, bāʔsko khapiṭā","[< *pha 'bamboo'; cf. Limbu pha 'bamboo', phahok 'bamboo culm sheath', phanOk 'bamboo shoot']"," cf.  \X0kopsɨ,\x \X0mɨr.\x"
 927,"pha:knɨ", 759,"vt-1 pha:kh/pha:k","1) scrape, scrape around, rub off of, rub or scrape against (takes avian agent (silpuʔa ), like chicken or wild fowl (jãgalī carāharū ) that scrape about with their feet 2) (with as agent kɨbi 'shaman' and as patient sam 'soul'","1) kharsinu","","1) cf.  \X0kha:rnɨ\x \X0vt-1,\x \X0phɨnnɨ\x \X0vt-2a;\x \X02)\x cf. \X0sikhi:mri-mikkhi:mri.\x"
 928,"pha:kNsinɨ",   0,"vr.erg. [< pha:knɨ vt-1 (2)","q.v.] (with sam 'soul', said of mourners observing purifying rituals) to become cleansed with the tears of mourning, to cleanse one's soul after the death of a loved one through the observance of the mourning rituals.","","",""
 929,"pha:r", 752,"n.","base, fundament, foundation, bottom"," phed",""," cf.  \X0tso:,\x \X0tsupla.\x"
 930,"pha:r",   0,"n.","snare"," pāso.","",""
 931,"pha:sule:m", 693,"n.","feather, quill","","","cf.  \X0səm.\x"
 932,"phéləp", 686,"n.","thigh","","","cf.  \X0phipsul.\x"
 933,"phéləpsu",   0,"n.","thigh muscle.","","[pheləp 'thigh' + su 'flesh']",""
 934,"phéləp-sa:lu",   0,"n.","thighbone, femur","","[phéləp 'thigh' + sa:lu 'bone']","cf.  \X0nərəN-sa:lu,\x \X0tsep-sa:lu.\x"
 935,"phe:ri",   0,"adv.","again.","","[< Nep. pherī ]",""
 936,"phə́lembhu",   0,"n.","the oak species Quercus glauca and lamellosa"," phalāʔṭ.","[?< Nep. phalāʔṭ + -bhu 'tree']",""
 937,"phəlnɨ",   0,"vt-3 phul-phəl","spread out, move about (e.g. biskun with one's hands on a māndro )"," calāunu",""," cf.  \X0tsotnɨ\x \X0vt-2a.\x"
 938,"phiNnɨ", 749,"vt-2a phiN-phiNs","1) send something to someone (patient agreement with the recipient, not with object sent); 2) send someone somewhere (patient agreement with person sent)"," paṭhāunu.","",""
