"NUMBER","PROTO","PRNUM","MEANING","CHIN","CHINNUM","TIB","BURM","KACH","LUSH","LEPCHA","KIR","KIRNUM","STLSNUM","COMMENTS"
1504,"*sēŋ", 873,"grease","腥 \I*sēŋ(s\i) grainy grease, grease.",3166,"","","","\Ithaŋ\i (\Ithan\i) be greasy, be oily.","","*sen-", 927,   0,""
1505,"*sēŋ",   0,"smell, smell of raw meat","腥 \I*sēŋ(h\i) raw meat; rank smell.",3165,"","\Isaŋh\i to emit a pleasant odor.","\Isiŋ\H1\h\i smell, scent; (H) \Iusiŋ\i id.","\Ithāŋ\i (\Ithān\i) have a smell or odour like raw flesh.","","",   0,   0,"Trung \Ičiŋ\H1\h\i to stink. Ben. 85; Mat. 181. \I\H\h\i? Cf. also Tib. \Iśaŋs\i (resp.) nose."
1506,"*siə(H)",  99,"know, think","思 \I*sə\i to think.",1224,"\Iśes\i to know, perceive.","\Isiʔ\i to know, LB \I*sajx\i.","\Iši\H2\h\i news, tidings.","\Ithei\i (\Itheiʔ\i)  can, may; be able; KC \I*theiʔ\i.","ší see","\I*se-, *sen\i", 262,1014,"PG *śèC; BG: Garo \Imasi\i, Dimasa \Imathi~ mithi\i, Bodo \Imiti;\i Trung \Isɔ\H1\h;\i Kham \Isə̀res;\i Kanauri \Iśīs-\i; Sh. 52; Ben. 46; Mat 181."
1507,"[*si(j)]",1234,"comb, rake","",   0,"","","\Ipəsi\H3\h\i comb, \Iməsit\H2\h\i to comb, to rake.","","","",   0,   0,"Mikir \Iiŋthi\i; Ao \Iməsə\i; Rawang \Iəsi\i. Ben. 118."
1508,"*sĭj(H) (? / ś-)", 710,"die","死 \I*sĳʔ\i die, death.", 409,"\Iśi,\i \Iãćhi\i to die, \Igśin\i a dead man.","\Isĳ\i  to die, LB \I*śĳ\i.","\Isi\H1\h\i to die, expire.","\Ithi\i (\Ithiʔ\i) to die, be dead, KC \I*thi\i.","","\I*si\i", 244,1211,"\i PG \I*śi\i; BG: Dimasa \Ithi\i, Garo \Isi-\i; Bodo \Itəy;\i Kanauri \Iśī-\i; Rgyarung \I-śis\i; Moshang \Iti,\i Namsangia \Iri;\i Rawang \Iśi\i, Trung \Iči\H2\h;\i Miri \Iśi\i; Magari \Iśi\i.  Simon 19; Sh. 52, 124, 436; Ben. 55; Mat. 168."
1509,"*sĭkʷ",   0,"sew, embroider","繡 \I*sikʷs\i embroider.",4729,"\Igsog\i to sew together.","","","","","",   0,   0,""
1510,"*sił",   0,"voice, sound","",   0,"\Igsil\i to toll, sound, ring.","","\Iniŋsen\H3\h\i, \Insen\H3\h\i the voice.","","","",   0,   0,""
1511,"*sĭn / *sĭŋ", 411,"new","新 \I*sin\i new, renew.",3008,"\Igśin\i good, fine (cf. also gsiŋ-ma 'a place overgrown with young grass')","\Isać\i new, LB \I*[ś]ikx\i.","","","","",   0,1264,""
1512,"*sĭn", 345,"liver","辛 \I*sin\i bitter, pungent.", 705,"\Imćhin\i the liver.","\Isańh\i the liver, LB \I*[s]iŋh\i.","\Iməsin\H2\h\i the liver; heart.","\Ithin\i the liver, the heart, KC \I*m-thin\i.","","\I*seŋ\i", 233,1016,"Kanauri \Iśinʔ\i; Rgyarung \I-bśi\i; Mikir \Iiŋthin\i; Rawang\I phəśin\i, Trung \Ipə-čin\H1\h\i the liver; Magari \Imi-sin;\i Chepang \Isinh;\i Kham \IseN\HL\h.\i Sh. 52; Ben. 55; Mat. 181; Coblin 44."
1513,"*sĭŋ", 368,"tree, wood","薪 \I*sin\i firewood.",4549,"\Iśiŋ\i tree.","\Isać\i tree, LB \I*siŋx\i (\I/*sik\i).","","\Ithiŋ\i tree, wood, KC \I*thiŋ\i.","\Ikă-ceŋ\i a tree","\I*sìŋ\i", 290,1036,"PG \I*sìn\i tree, wood; Kham \IsìN\i; Kanauri \Iśiŋ\i; Rgyarung \Iśiŋ\i-; Miri \Iö-śiŋ\i; Magari \Iśiŋ\i; Vayu \Isiŋ\i; Bahing \Isiŋ\i; Rawang \Iśiŋ\i ~ \Ithiŋ\i, Trung \Ičiŋ\H1\h.\i Ben. 55; Peiros-Starostin 213."
1514,"*s[ĭ]t", 895,"whistle, rustle","瑟 \I*srit\i rustling of the wind.",3086,"\Isid\i to whistle.","\Isut\i to blow (of wind).","","","","",   0, 101,"The Burm. form can be related to \X0*suăt\x q.v. Cf. Manipuri nuŋ-sit 'wind'."
1515,"*so (~-ew, -aw)", 871,"rancid, rotten","",   0,"","\Isəwh\i be incipiently putrid, be stale, rancid.","\Icu\H2\h\i be stale, rancid (cf. also (H) \Iməšu\i mould, mildew).","\Ithu\i the fluid which comes from a corpse or any decomposing flesh.","","",   0,   0,"Mikir \Ithu\i rotten, BG: Garo \Iso\i rot, decay; Dimasa \Ithau\i id. Ben. 54; Mat. 182."
1516,"*som / *sop ( ~ ch-)",   0,"empty","",   0,"\Isob,\i \Igsob\i hull, void, empty.","","\Isom\H3\h\i be empty, as an egg-shell, (H) \Insom\i.","","","",   0,   0,""
1517,"*sōm ( ~ ś-)",   0,"voice, noise","",   0,"","\Iəsam\i voice.","","\Ithōm\i sound, noise, voice.","","",   0, 873,"Cf. Serdukpen nu-sum, Bugun ha-sam 'wind'."
1518,"*sōr", 336,"garlic, onion","蒜 \I*sōrs\i garlic.",3601,"","\Iswan\i onion, LB \I*[s]wan\i.","","","","",   0,   0,"Sh. 54; Luce 55."
1519,"*suăt", 607,"snow","雪 \I*sot\i snow.",2414,"\Isad\i frost, cold air, cold.","","","","","",   0,   0,""
1520,"*sɨāk",   0,"search","索 \I*sāk\i search, demand; ransack.",1804,"","","\Igəsok\H2\h\i to search, (H) \Isok\i id.","","","*suk 'be able, look for an opportunity'", 894,   0,"Cf. Austric: PAA *sa:k / *cɔ:k 'look for', Tai zak 'ask'."
1521,"*sreŋ(H)", 334,"a k. of small animal (weasel, squirrel, mongoose)","鼪 \I*sreŋ\i weasel.",7938,"\Isre-moŋ\i weasel.","\Ihraṇ́ʔ \isquirrel\I \i","(H) \Isinlen\i a sp. of Indian mongoose.","","","",   0,   0,"Mikir \Iiŋren\i mongoose. Ben. 79."
1522,"*srə̆k",1013,"shame","色 \I*srək\i colour; countenance, looks; beauty.", 448,"\Iśags\i joke, jest, fun.","\Ihrak\i be ashamed, LB \I*srakx\i.","","","","",   0,   0,"Bunan śrag; Mikir \Itherak\i; Rawang \Isəra\i; Magari \Ikha-rak.\i Sh.43, 139; Ben. 34, 106."
1523,"*sre",   0,"strain off, riddle","釃 \I*sre\i, \I*sreʔ,\i \I*sra\i to strain off wine.",8390,"","","","\Ihri\i (\Ihrik\i) to riddle, screen.","","",   0,   0,""
1524,"*sreŋ ( ~ ś(r)-)",   0,"a k. of musical instrument","笙 \I*srē̆ŋ\i reed organ.",2272,"\Igśaŋ\i a musical instrument.","","","","","",   0,   0,""
1525,"*srĭk",   0,"louse","蝨 \I*srit\i louse.",3970,"\Iśig\i louse.","","\Iciʔ\H3\h\i the head-louse.","\Ihrik\i a louse, KC \I*hrik\i.","\Iśak\i","*s-rik", 952,1250,"Yamphu \Isik\i; PG \I*śé̀t\i louse; BG: Rabha khrɨk; Moshang \Ithik\i; Rawang \Iśi\i, Trung \Ičĭʔ\H1\h;\i Kanauri \Irik\i, Thebor \Isi\i, Bunan \Iśrig\i; Miri \Itəik\i; Chepang \Isryak;\i Magari \Isik.\i Simon 26, Sh. 436; Ben. 107; Peiros-Starostin 218. Cf. PAN *siksik 'search for lice'."
1526,"[*(s)ru]",   0,"mother's sister","",   0,"\Isru\i mother's sister.","","","","","",   0,   0,"Kanauri, Chamba Lahuli \Iru\i father-in-law. Ben. 108."
1527,"*s(r)ŭk (~-uak)",   0,"gather, bind together","縮 \I*sruk\i to bind together; to collect.",4514,"\Isog\i, \Isogs\i, \Ibsog\i, \Igsog\i (p. (\Ib\i)\Isags,\i f. \Ibsag,\i i. \Isogs, bsag\i) to gather, heap up.","","","","","",   0,   0,""
1528,"*s(r)ɨ̄mH ( ~ ś-)",   0,"touch, stroke","摻 \I*srə̄mʔ\i to grasp; to touch tenderly.",3438,"","\Isumh (sap) \ito stroke.","","","","",   0,   0,"Luce 46."
1529,"*səw",   0,"wake","",   0,"bso wake, guard (n.)","","\Isu\H2\h\i be awake.","\Itho\i to wake up, wake, to rise; KC \I*tho\i.","","",   0,   0,"Ao \Imeso\i; Dimasa \Imasau\i. Sh. 52, Ben. 66."
1530,"*su ( ~ -əw, -iw)",  23,"who, interrogative pronoun","",   0,"\Isu\i who?","\Iəsu\i who, LB \I*su\i","","","šu who, what","\I*su\i", 296,1181,"PG \I*su\i who; Kham \Isū̀\i; Kanauri \Isu\i. Sh. 135; Luce 35."
1531,"*səw ( ~ ś-)", 359,"fly (n.)","",   0,"","","(H) \Isu\i be infested, as with flies.","\Itho\î a fly, house-fly.","","\I*sù\i", 293,   0,""
1532,"*sɨā",  37,"live, breathe","蘇 \I*sā\i revive.",5019,"\Iãcho\i (p., i. \Isos\i) to live, \Igson\i to live, be alive; \Igso\i nourish; bring up, rear","","","\Itho\i (\Ithōk\i) to breathe, respire.","","",   0,   0,"PG \I*so(n\i) to live; Yamphu \Isa:-ma\i to breathe. STEDT 144-145 (*g-sow 'rear (child)', 'bear (child)') includes Tib. gso-ba, as well as Ao Naga so 'give birth', Lolo-Burmese [*šu], as well as forms from Damu, Milang, Sangtam, Yimchungrü, Muya and Trung; note that there may be some interaction with *śū 'grandchild' q.v."
1533,"*suak ( ~ z-, ś-)",   0,"rapid, swift","速 \I*sōk\i rapid, quick.",2381,"","\Iswak\i be swift, rapid.","","","","",   0,   0,"Trung \Idžɔʔ\H1\h\i be quick. Cf. PAA *cVk 'quick' (Peiros 1998, 226)."
1534,"*sŭk ( ~ -o-)", 641,"morning","夙 \I*suk\i early morning; 宿 \I*suk\i to stay overnight.", 358,"","\Isauk-kra\i Venus, LB \I*sokx\i morning (Matisoff 1972: 55).","","","","",   0, 256,"Coblin 109-110. Here perhaps Nung *su, Sichuan *šV 'night'."
1535,"*sōłH (~ʒ-,-ū-)",   0,"basket","匴 \I*sōnʔ\i basket.",7389,"","","","\Ithūl\i a k. of basket.","","",   0,   0,""
1536,"*sɨ̄m", 157,"three","三 \I*sə̄m\i three.",  20,"\Isum,\i \Igsum\i three.","\Isumh\i three, LB \I*sumx\i.","\Iməsum\H1\h\i three.","\Ithum\i three, KC \I*k-in-thum\i.","\Isam\i three","\I*súm\i", 288,   0," PG \I*sòm\i; BG: Dimasa \Igă-thām\i, Garo \Igi-thom\i; Moshang \Ia-tūm\i; Namsangia \I-ram\i; Kanauri \Iśum\i; Rgyarung \I-sam\i; Kham \Isom\HL\h-lo\i. Simon 23; Sh. 52, 125, 436; Ben. 94; Mat. 181."
1537,"*suŋ ( ~ ch-)",   0,"smell","",   0,"\Ibsuŋ\i smell, esp. sweet scent.","","(H) \Isuŋ\i smell, scent.","","","",   0,   0,"Ben. 85. Cf. Austric: PAA *cVŋ 'smell', PAN *e(n)juŋ 'nose' + (Usher) Daic /Ong Be zoŋ, suŋ 'nose'."
1538,"*su(t)",   0,"cough","",   0,"\Isud\i to cough.","","","","","\I*sò(ŋ\i)", 243,   0,"BG: Garo \Igusu,\i Dim. \Igusu;\i Magari \Isu\i. Ben. 101."
1539,"*sV̆ŋH (~ʒ-)",   0,"lift, raise","竦 \I*soŋʔ\i to lift up, raise.",6498,"\Iseŋ\i to lift up, to raise.","","","","","",   0,   0,""
1540,"*sVr (?)",   0,"thread","線 *s[a]rs thread.",3933,"\Isran-bu\i thread, yarn.","","","","","",   0,   0,"Luce 61. Hsieh-sheng and the Sino-Viet. form tuyến suggest rather an OCh. form like *sors, which would normally yield MCh. \Isjwèn,\i in which case loss of labialisation in MCh would be secondary. On the other hand, the Sino-Viet. form can go back to a dialectal MCh. \Isjwèn\i with secondary labialisation on analogy with 泉 (MCh ʒjwen, q.v.). The choice between OCh. *sars and *sors is thus not quite clear. Cf. Austric: PAA *sVr 'to thread', PAN *SuRSuR."
1541,"*sɨ̄r(H)", 145,"yellow, bright (metal)","銑 \I*sə̄rʔ\i bright and well-polished metal.",3682,"\Igser\i gold, \Iser\i yellow.","\Ihrwĳ\i  gold, LB \I*sruj\i.","","\Ithīr\i iron, KC \I*m?-thīr\i.","","\I*sèl\i", 257,1093,"Mikir \Iser\i gold; BG: Garo \Isil\i, Dimasa \Iser\i; Rawang \Isä\i; Bahing \Isyāl\i; Digaro \Isi\i; Trung \Iser\H1\h.\i Sh. 406, 442, 192; Ben. 80."
1542,"*śa",   0,"lemon","",   0,"","","","KC \I*śa\i.","\Ika-če\i a spec. of the lemon","",   0,   0,"Mara \I-śa\i; Dimasa \I-sa\i; Sh. 52."
1543,"*śa",   0,"meat, flesh","",   0,"\Iśa\i  meat, flesh, \I bśa\i (p. \Ibśas\i)  to kill (animal for food), \I(g)śan\i  butcher, slaughterer.","\Isah\i meat, LB \I*šax\i.","\Išan\H2\h\i flesh.","\Isa\i an animal, a beast; flesh, meat, KC \I*śa\i.","","\I*sə̀\i", 249,1149,"PG \I*ś[a]\i; Rawang \Iśa\i, Trung \Iča\H1\h,\i \Ičə\H3\h-wa\H1\h;\i Kanauri \Iśyā\i; Rgyarung. \Iśa-po\i; Bahing \Isye\i; Newari \Isa\i; Digaro \Iśá\i (N); Chepang \Imo-śa\i. Sh. 52, 123, 188; Ben. 46; Mat 181. Cf. PAN *isiʔ, *hesi 'flesh'."
1544,"[*śa]", 877,"sing","",   0,"","","","\Isa\i (\Isak\i) to sing, to chant (as song or hymn), KC \I*śa\i (?).","","",   0,   0,"Dimasa \Iră-dźa\i to sing; Midzhu \Izai ~ dzai\i. Sh. 52, 185. Sh. 52, 185."
1545,"*śVj", 793,"shoot, flash","",   0,"","","\Igəšoi\H3\h\i to fly, as sparks; to flash, as lightning; to shoot, as an arrow.","\Isai\i to shoot with a pellet.","\Iǯă,\i \Iǯá\i to fix arrow on the string, to prepare to fire off","",   0,   0,""
1546,"[*śaj ~ ch-]",   0,"elephant","",   0,"","","","\Isai\i elephant, KC \I*-k-sai\i.","","",   0,   0,"Newari  \Iki-si\i. Sh. 159."
1547,"*śə̄k",   0,"right, just","塞 \I*sə̄k\i sincere, just, true.",2938,"\Igśags\i right, justice.","","","","","",   0,   0,""
1548,"*[ś]ăl (~-ł)",   0,"war, captive of war","",   0,"","","(H) \Iməǯan\i war.","\Isal\i a captive taken in war.","","",   0,   0,""
1549,"*śal (~-ə-, -ł)", 335,"sharp edge, sharp stone","",   0,"\Iśal\i a flint, sharp-edged stone.","","\Iniŋšan\H2\h\i, \Inšan\H2\h\i, \Inša\H3\h\i the edge of a blade.","","","",   0,   0,""
1550,"*śăł",   0,"crystal","",   0,"\Iśel\i crystal, glass.","","","\Ithal\i a crystal (of saltpetre etc.).","","",   0,   0,""
1551,"[*śam]",   0,"iron","",   0,"","\Isam\i iron, LB \I*šam\i.","","","","",   0,   0,"Rawang \Iśam\i, Trung \Ičăm\H2\h\i iron; Rgyarung \Iśom\i. Ben. 53."
1552,"*[ś]ăn",   0,"evil, instigate","",   0,"","","(H) \Ikəčan\i  to instigate, incite to evil deeds.","\Isan\i  to offer oneself to another for illegal gratification, or for the crime.","","",   0,   0,""
1553,"*śanH",   0,"different, distinct","",   0,"\Iśan\i difference, distinction.","\Isanʔ\i be sepatated, isolated.","","","","",   0,   0,""
1554,"*śar", 615,"louse","",   0,"","\Isanh\i louse, LB \I*śanx\i.","","","","\I*sèr\i", 264, 969,"Kham \Iśàr\i; Rgyarung \Isar\i, Karen *hsVn. Ben. 53."
1555,"*śat",   0,"strength","",   0,"\Iśed\i strength, force.","LB \I*šatx\i strength.","","","","",   0,   0,""
1556,"*ś[a]w",   0,"melt, boil","消 \I*saw\i melt, dissolve.",1707,"","","","\Iso\i boil.","","",   0,   0,"Rawang \Iəsu\i boil, \Ithisu\i boiling water; Lakher śaeu boil; Meithei əsau heat. Sh. 55; Ben. 63 (cf. \X<0.1170>*cu\x)."
1557,"*śĕ-", 347,"this, that","斯 \I*se\i this.",2572,"","\Isań\i this, that.","\Išiŋ\H2\h\i thus or this; \Iši\H1\h\i he, she, it\i.","","","",   0,  94,"Mat. 168. Cf. also \X0*ś[ua]\x 'other'."
1558,"*śaj (~-e-)",   0,"wormwood","",   0,"","","\Iləši\H1\h\i wormwood.","\Isai\i wormwood.","","",   0,   0,""
1559,"*śəl", 983,"a k. of foliage tree","",   0,"\Iśol\i\i a sp. of willow, \Igśol\i poplar-tree.","","","\Ithal\i a sp. of oak.","","",   0,   0,""
1560,"*śə̄r",   0,"front, sunrise / sunset","先 \I*sə̄r\i before, 西 \I*sə̄r\i West.", 317,"\Iśar\i east, \Iśar-ba\i rise (of the sun etc.).","","","","","",   0,   0,"PG \I*śVr\i; Rawang \Inam-sarr\i sunrise; Trung \Ičar\H1\h.\i Sh. 403; Ben. 28. Cf. also Burm. \Ihrĳʔ\i before, front, \Iəhrĳʔ\i east."
1561,"*śe (~ ch-)",   0,"every, all","斯 \I*ses\i completely, 悉 \I*sit\i all, completely.",2574,"","\Isi\i every.","","\Ise\i fully, completely.","","",   0, 785,"Cf. Kanauri tseī , Konyak ə-sey, Sema Naga kun-tsɨ 'all', Chokri Naga kɨmɨ-tɨ 'full', Nung (Rourou) tćiæ.35  'all', Sichuan *C-sV 'full'; ? also Burm. \Ićĳʔ\i complete, uniform; Tib. thams-ćad 'all' ( < *śa-t ?)."
1562,"*śēk",   0,"cleave, split","析 \I*sēk\i cleave, split.", 961,"\Iãćheg\i (p. \Ibśags,\i f. \Ibśag,\i i. \Iśog\i  to break, to split, \Igśog\i / \Ibśog\i (p. \Igśags,\i \Ibśags,\i f. \Igśag,\i \Ibśag,\i i. \Igśog\i)  to cleave, to split, to tear.","","","KC \I*śeʔ \i'bite'","","\I*ʒhék\i", 299, 962,"Simon 10. See also \X0*chīkʷ.\x Here perhaps several TB words for 'bite': Mĳu-Geman săk, Apatani àsɨ, Aka sik-ha-. Cf. Austric: PAA *ciek 'divide', PAN *biseqak, *bisak 'split' (see Peiros 1998, 221)."
1563,"*śak",   0,"go, go away","",   0,"\Igśegs\i (resp.) to go, go away, to come.","\Isak\i to descend (of gods, etc.).","","","","",   0,1045,"Luce 68. Cf. also OCh. 舄 \I*siak\i shoe, slipper ( < 'footprint'?; semantically cf. \X0*ćek\x)."
1564,"*śVm",   0,"make, prepare","",   0,"\Iśom\i to prepare, make ready, arrange.","","","\Isiam\i to make, to construct, to form, to create, to appoint.","","",   0,   0,""
1565,"*śer",   0,"compare, resemble","",   0,"\Iśer\i to compare, to confront.","","(H) \Išan\i to resemble.","\Isiar\i copy, resemblance.","","",   0,   0,""
1566,"*śikʷ",   0,"severe, violent","肅 \I*sikʷ\i grave, reverent, solemn, severe; eager, swift.",2742,"\Iśugs\i power, energy.","","(?) \Iǯaʔ\i\H2\h\i be hard, solid, (H) \Iaǯa\i forcibly.","\Isok\i violently, hard, with force, roughly.","","",   0,   0,""
1567,"*śiə̄lH",1067,"wash","洗 \I*sə̄rʔ / *sə̄jʔ\i wash.",1312,"\Ibsil\i to wash [instead of \I*bśil\i under the influence of \Ibsil\i to cool, \Isel\i to clean], \Ibśal\i to wash, rinse.","","\Išin\H3\h\i, \Igəšin\H2\h\i to wash.","\Isil\i to wash, KC \I*r-sil\i.","","\I*sèl\i", 241,   0,"PG \I*śal(a\i) rinse; Mikir \Iiŋthi\i; Newari \Isil-e\i; Rawang \Ithi\i \Izal\i bathe; Trung \Idžăl\H1\h.\i Sh. 161, 409; Ben. 173."
1568,"*śojH",   0,"swing, brandish","",   0,"","\Iswajʔ\i to brandish, swing.","\Idiŋšoi\H3\h\i to flourish or brandish, as a sword before the face of someone.","","","",   0,   0,""
1569,"*śōjH",   0,"small","瑣 \I*sōjʔ\i small, fragment.",3509,"","","(H) \Išoi\i small, weak.","","","",   0,   0,""
1570,"*[ć]ōŋ",   0,"shrivel, contract","",   0,"ćhuŋ small","LB *CVŋ short","(H) \Ičoŋ\i be puckered or funnel-like.","\Isōŋ\i (\Isōn\i) to shrivel, shrivel up, to contract.","","Kaling mɔ-soŋpɛ short", 978, 326,"Cf. also Naga *sVŋ small, Tujia coŋ, Bodo *suʔŋ, Nusu ʒ́oŋ, Sichuan *CVN, Jiarong kə-kčən short, Aka *saŋ thin."
1571,"*śV̆p",   0,"squeeze, wring","",   0,"","\Isip\i to compress, crowd, cram.","\Išup\H2\h\i to wring, squeeze.","\Isop\i to wash clothes, etc. by squeezing and repeatedly dashing them upon anything.","","\I*sóp\i", 292,   0,""
1572,"*[ś]Vr",   0,"care for","",   0,"","","\Iməǯan\H3\h\i to care for, look after.","\Isor\i  to tend, care for.","","",   0,   0,""
1573,"*[ś]ūr (~-ō-)", 817,"strain, squeeze","",   0,"\Ibźur\i to strain, filter.","","","\Isōr\i , KC \I*sōr\i to wring, to squeeze.","","\I*sur\i", 283,   0,"PG \I*ć[o]r\HL\h\i squeeze (juice); Kanauri tsŭr- to milk, Bunan \Itśhur\i; Rgyarung \I-stsor-\i. Sh. 54; Ben. 47. Cf. (with a possible confusion) *ćer. STEDT 230-231 *tšur ~ *tšir."
1574,"*śVŋ",   0,"a big number","",   0,"","\Isauŋh\i 10000.","","\Isaŋ\i 1000.","","",   0,   0,""
1575,"*ś(r)ām",   0,"cut, mow","芟 \I*srām\i to mow, sickle.",1063,"","","","\Isām\i to cut down (as weeds), mow down.","","",   0,   0,""
1576,"*ś(r)ɨăŋ",   0,"cold, frost","霜 \I*sraŋ\i hoar-frost.",4636,"","(?) \Ićhauŋh\i the cold season.","\Iniŋšuŋ\H1\h,\i \Inšuŋ\H1\h, kəšuŋ\H1\h\i cold.","","","\I*ʒhùŋ\i", 310,1130,"Trung \Idzəŋ\H2\h\i cold (weather), \Idzə̆ŋ\H1\h\i winter; Mĳu coŋ, Taraong ʒoŋ, Konyak (Yogli) hraŋ-suŋ, Ao Naga *saŋ, Sichuan *ʒ́VN 'cold', Kham žũh id. Mat. 180."
1577,"*ś(r)ōk",   0,"suck, drink","欶 \I*srōk\i suck, inhale.",6181,"","\Isauk\i to drink, smoke, LB \I*šukx\i drink.","","","","",   0, 119,"Coblin 144. STEDT 240-242 *s(y)ok 'drink, suck, smoke' (adding Mikir cho-sòk- 'suck', Chepang syuŋʔ-sa, Bantawa soN, rGyarong ka-mə-sćok); one should also add Naga *sak, Nung *šVu 'drink'."
1578,"*ś(r)ot",   0,"rub, scrape","刷 \I*srō̆t\i scrape clear, brush.", 762,"\Iśud\i (p., f. \Ibśud\i) to rub, to get scratched.","","\Iəšot\H3\h\i to graze, touch lightly, (H) \Iǯot\i.","","","",   0,   0,"Sh. 71; Luce 51. Cf. PAN *suat 'comb'. The *-t may be suffixed: cf. OC 搔 *sū 'scratch', 掃 *sūʔ 'to sweep, brush', Tib. śu, bśu 'to skin, peel off the skin'."
1579,"*ś(r)uał", 342,"assault, take by force","篡 \I*chrōns\i take by force, usurp ( < *t-srōns ?).",4235,"","","\Igəšun\H3\h\i to coerce, extort, take by force, (H) \Iməšun\i to snatch.","\Isual\i bad, naughty, wicked, sinful; to criminally assault (a woman); be in trouble to others through ill health; to sufficiently poison (a pool).","","",   0,   0,""
1580,"*śū", 659,"grandchild","孫 \I*sūn\i (? \I*swə̄n\i) grandson, granddaughter.",1588,"","","\Išu\H4\h\i grandchild, (H) also \Ikəšu\i.","KC \I*su\i grandchild.","\Izon\i grandchild (?)","",   0,   0,"BG: Dimasa \Isu\i, Bodo \Isou;\i Mikir \Isu;\i Meithei su. Ben. 27,, Ben. 158."
1581,"*[ś]əw",   0,"strike","",   0,"\Igźu\i to strike, to lash.","","","\Isoʔ\i to pound, to ram down, to strike and fall upon.","","",   0,   0,""
1582,"*ś[ua]",   0,"that, other","胥 \I*sa\i mutually, each other; 相 \I*saŋ\i id.",1411,"\Iśos\i the other.","\Isu\i he, she, it (cf. also \Isəwʔ\i this; saŋʔ to fit, correspond).","","\Iso\i that, that yonder.","","",   0,   0,"Cf. also Lush. \Iču\i that, which, who; \X0*śĕ-\x 'this, that'."
1583,"*ś(u)a", 696,"deer","",   0,"\Iśa,\i \Iśwa\i a hart, a stag.","\Isah\i animal (in compounds).","\Išan\i a deer.","\Isa\i animal.","","\I*sə̀\i", 230,   0,"Newari \Isa\i; Midzhu \Iśa\i mithan; Abor \Iśo\i cow; Digaro \Iśá\i (N); Chepang  \Imo-śa\i. Sh. 188; Ben. 46. The root is hardly distinguishable from *śa meat, flesh; the Tib. form, however, suggests a possibility of original difference."
1584,"*śuał (~-l)",   0,"have fits, convulsions","",   0,"","","(H) \Ikəšan\i to suffer, as from spasmodic fits or convulsion.","\Isual\i to have a fit, \iconvulsions.","","",   0,   0,""
1585,"*śun (~-o-)",   0,"move, shake off","",   0,"","","(H) \Iəšun\i\i to shake off or down.","\Ison\i to move or shift from one place to another.","","",   0,   0,""
1586,"*śŭH ( ~ ch-)",   0,"wash","糔 \I*s̲uʔ\i wash, 溲 \I*s̲ruʔ\i moisten, wash, soak.",7480,"","","","\Isu\i (\Isūk\i) to wash (as clothes, head).","","",   0,   0,"Cf. Austric: PAA *suah 'wet, dip in', PAN *hisuq 'clean, wash, scrub, scour', *besaq 'wet, wash'"
1587,"*śūm", 961,"take hold of; fist, a fist-measure","",   0,"","","\Išum\H\i1\h to take hold of, \Iginšum\H\i3\h to embrace, \Iləšum\H\i3\h a hold","\Isūm\i to catch hold of with closed fist; to withhold, hold back; a measurement equal to twice the length of the closed fist.","","",   0,   0,"Cf. \X0*cūm.\x"
1588,"*śor (?*śɨr)",   0,"rough","",   0,"\Igśor,\i \Igśer\i rough, bristly, shaggy.","","","\Ithur\i be rough, \Ither\i be rough, be covered with thorns etc.","\Ikă-šer\i a hedgehog","",   0,   0,""
1589,"*śor", 953,"flow, pour","",   0,"\Iãćhor\i (p. \Iśor\i) escape; flow out; run over; come out; go over.","\Iswan\i to pour out, spill, shed.","\Išon\H1\h\i to flow, as tears, sweat.","","\Ičhór\i the pouring of water","\I*ʒhòr  ( / ʔc-)\i", 302,   0,"Trung \Ičɔr\H2\h\i to leak; BG: Dimasa\I di-sor\i flow, Garo \Isol-aŋ\i id. Ben. 56. Cf. OCh. 潸 \I*srān\i, \I*srānʔ\i tears flowing (a suffixed form?)."
1590,"*śūr", 818,"sour","酸 \I*sōr\i sour.",3670,"\Iskjur\i sour (? < *g-śur, cf. the Rgyarung form below).","","","\Ithūr\i be acid, sour, KC \I*thūr\i.","\Ičór\i to be sour, to be acid","\I*ʒhùr\i", 308,   0,"Tsangla \Itśur;\i Kanauri \Isur-,\i Lepcha \Itśór;\i Rgyarung \Ikətśyur\i; Midzhu \Isal\i (M), \Itśuŕ\i (K); Bahing \Idzyur\i. Sh. 52, 181; Ben. 23. Cf. PAA *ʒVr 'sour'."
1591,"*śōrH",   0,"count, measure","算 \I*sōrʔ\i, \I*sōrs\i (\I ~ -nʔ\i, \I-ns\i) to count, counting tally; reckon, take into acount.",3545,"\Iśor\i to measure, \Igśor\i to count, to measure.","","\Ison\H1\h\i to calculate.","","","",   0,   0,"Gong 68."
1592,"*[ś]Vl (~-ł)",   0,"a k. of horned animal","",   0,"\Iźol\i yak-bull.","","","\Isial\i the domesticated gayal or mithan.","","",   0,   0,""
1593,"*śV̄m",   0,"wish","",   0,"\Iãćhum(s\i) to wish, to long for.","","","\Isām\i to express one's wishes.","","",   0,   0,""
1594,"*[ś]Vn (?)",   0,"young","",   0,"\Igźon\i young.","\Ićwanʔ \idiminish, decrease (?)","","\Isēn\i be young, be an infant.","","*sòn", 280, 323,"Cf. also: Serdukpen acan-du, Hmar chin 'small'."
