"NUMBER","PROTO","PRNUM","MEANING","CHE","ING","BCB","COMMENT"
466,"*ʯa",191,"guard, protection","ʯa","ʯa","","    For the short vowel cf. Chech. dat. \Iʯa-na\i etc. 3d class in both languages."
467,"*qr",1269,"1 pear 2 apple","qor 1","qor 1","qor 2","    6th class in Chech. and Bacb., 5th class in Ing. Obl. stem \I*qru-\i (cf. Chech. \Iqra-,\i Ing. \Iqoro\i)."
468,"*ʡ",1270,"apple","ʕa","ʕa","","    Obl. base \I*ʡe-\i 'apple' (Chech. \Iʕa-\i), \I*ʡu-\i 'apple-tree' (Chech. \Iʕa-\i). 6th class in Chech., 5th class in Ing. Cf. also Akk. \Iʡ,\i Ing. (in Imnaishvili's notation) \Iʡ.\i"
469,"*ḳatV-r (-o-,--)",1275,"bush, shrub","","ḳotar","","    Attested only in Ing., but having probable external parallels. Nakh > Osset. \Iḳtr\i / \Iḳotar\i 'bush', see Abayev 1958, 643."
470,"*ṭum",1276,"marrow; kernel (of a fruit, nut)","ṭum","ṭum","ṭum","    4th class in all languages. Obl. base \I*ṭam-or-,\i cf. Chech. \Iṭamar-,\i Ing. \Iṭomar-.\i"
471,"*kamiʒ/*kamis(/-mus)",1277,"grape","kems","koms","kaniz","    4th class in all languages. Variation *ʒ/*s reflects two old PEC variants (present also in other languages). The Chech. and Bacb. forms reflect a vocalic variant \I*kamis\i (\I*kamiʒ\i), but Ing. \Ikoms\i presupposes a form \I*kamus.\i"
472,"*stm",1280,"fruit","stom","som","som","    Obl. base \I*stme-\i (cf. Chech. \Istma-\i). 5th class in all languages."
473,"*ʡolVm (  -a-)",1281,"small bushes, shrubs","ʕolam","","","    Attested only in Chech., but having probable external parallels."
474,"*mor- (  -u-, -V-)",1283,"guelder rose, snowball-tree","mrg","","","    The Chech. form goes back to a suffixed form with diminutive *-iḳ."
475,"*ʒaʒV / *ʒʒV",1284,"1 blossom 2 flower","zaza 1, zzig 2","ziza 2","","    An expressive root; the variants \Izaza\i and \Izzi-g\i in Chech. hardly should be kept separate."
476,"*(ʔa)stVw",1285,"cornel","stow","esti","","    Chech. has reduced the first weak syllable, preserved in Ing. (\Iesti\i < \I*ʔastVw\i)."
477,"*“arVmV-",1279,"sweetbrier","“armik","“andar","","    The forms are quoted from the Ing.-Chech.-Russ. dictionary. The Russ-Chech-Ing. and the Russ.-Chech. dictionaries list Chech. \I“rmak\i 'sweetbrier', and the Chech-Russ. dictionary - Chech. \I“rmak\i 'root-crop'. These all are obviously dialectal variants."
478,"*“anḳ-al (  -ḳ-)",1286,"sweetbrier","","","“anḳal","    It is possible that Chech. \Iel-“am‰\i 'hawthorn' goes back to the same root (with irregular deglottalisation: we would expect \I*“an-\i)."
479,"*nlʯ-in",212,"thin, sparse","nilʯa","nlʯa","netʯi~","    Cf. also Chech. Lev. \Injelʯi~,\i Khild. \Inʯi,\i Akk. \Injerʯa.\i The pure root may be observed in Chech. \Inilʯ-dan\i 'make thin, sparse', Bacb. \Inetʯ-dar\i id."
480,"*boṭ",1291,"dough","bod","bod","boṭ","    Obl. base \I*baṭi-,\i cf. Chech. \Ibeda-,\i Ing. \Ibedo,\i Bacb. pl. \Ibaṭa-.\i 5th class in Chech., 6th class in Ing. and Bacb. A derivate in Ing. is \Ibod-ig\i 'grass' (cf. the variation "cereal / flour" in other EC languages)."
481,"*ʔarV (  --)",1293,"wild hemp","","eri","","    Attested only in Ing., but having possible external parallels."
482,"*ʯ-ṭ- / *ʯ-ṭ-",217,"to be torn, break","ʯd- / ʯd-","ʯad-","ʯeṭ-","    PN Ablaut * / * (but cf. also Bacb. term. \Iʯiṭ-\i). Cf. also Chech. \Iʯd-,\i \Iʯd-\i 'to cut'. Historically *ʯ- is a preverb."
483,"*ʡa(gV)b (  --)",1294,"1 millet 2 groats","ʕow","ʕow","","    4th class in both languages. Since there is no Bacb. parallel, the reconstruction is rather tentative (\I*ʡagVb,\i corresponding to Av. \Iogob\i etc., is the most probable choice)."
484,"*ss",1298,"a sort of rye","sos","","","    Obl. base \I*ssa-\i (  \I*ssu-\i), cf. Chech. \Issa-.\i"
485,"*duḳa",1299,"1 rice 2 groats","duga 1,2","duga","","    3d class in both languages."
486,"*psa (  -)",1300,"barley","","","psa","    Attested only in Bacb., but having probable external parallels."
487,"*mq",1301,"1 barley 2 baked bread","muq 1","muq 1, mq 2","majqi 2","    PN paradigm: \I*mq,\i obl. \I*mqi-\i (cf. Chech. \Imuq,\i \Imqa-,\i Ing. \Imuq,\i \Imqo,\i Cheb. \Imuq,\i \Imqi-\i). 6th class in Ing. and Chech. The oblique stem \I*mqi\i used as direct ("barley's, stemming from barley") is used in the meaning "bread" in Ing. and Bacb."
488,"*l(ɦ)ṭ (  -ʕ-)",1302,"waste of corn (corn lost during transportation)","lod","","","    Obl. base \Ilda-.\i Attested only in Chech., but having probable external parallels."
489,"*gVg",1307,"seed, grain","","gi","","    Attested only in Ing., thus a variety of PN reconstructions is possible; we choose medial *-g- because of external evidence."
490,"*ʔsor (  -ss-)",1318,"weed; weeding","sar","ɔsar","","    3d class in Chech. and Ing."
491,"*jl",1319,"hay","jol","jol","jol","    Obl. base \I*ʔli-\i (cf. Chech. \Ila-,\i Ing. \Ilo,\i Bacb. \Iali-\i). 4th class in all languages."
492,"*n(ɦ)iṭṭ (  --)",1320,"nettle","nitt","nitt","niṭṭ","    Obl. base \I*n(ɦ)iṭṭe-\i (Chech. \Initta-,\i Ing. \Initto\i). 5th class in Chech., Ing., 6th class in Bacb. External evidence demands some laryngeal in this root; *nɦ- should be reflected as nʕ- in Bacb., but such a combination does not exist before front vowels. We may thus think that the PN form was actually \I*nɦiṭṭ,\i but the laryngeal was lost in all modern languages."
493,"*maʁVl-ṭ",1322,"cockle, weed","merʁad","maʁaldi","","    4th class in Chech., but 3d class in Ing. The vowel's shortness is indicated by Chech. -e- (a long *-- in this position would yield --). In Chech. there occurred a metathesis (\I*maʁVlṭ\i > \I*malʁVṭ\i with a subsequent change -l- > -r-).     Nakh > Osset. \Imɣlda\i 'cockle, weed' (Abayev 1973, 83)."
494,"*dcV (  --)",243,"paternal aunt","dca","","","    Within Chech. \Idca\i is opposed to \Inca\i 'maternal aunt' (cf. \Ida\i 'father' and \Inana\i 'mother'). Both terms, however, have different EC etymologies, and the analogy with 'father' and 'mother' (which influenced there meaning) must be secondary."
495,"*ṗV",1324,"a k. of ramson","bu / p","p","","    All forms are quoted from Алироев 1975 (also listed there are Kist. \Ip\i and Cheb. \Iopu\i) and their dialectal attribution is not quite clear (that is why there are problems with vocalic reconstruction). The precise meaning of the root is "ramson with broad leaves and stronger smell and taste"."
496,"*owV (  --, --)",1325,"a k. of ramson","u (  )","","","    The Chech. word is cited from the Russ.-Chech. dictionary, thus vowel length is unclear."
497,"*sṭim (  --)",1326,"1 wormwood, absinth 2 hellebore","stim-urʯa 2","","sṭim 1","    Forms are quoted from Алироев 1975, 159, 161. The component -urʯa in Chech. is unclear."
498,"*sVbVr-(-g-,-d-,-w-)",1327,"a k. of marsh plant","sr-am","","","    Attested only in Chech., thus a variety of PN reconstructions is possible."
499,"*jV (  *ju)",1329,"a k. of odorous weed","ja","","","    Attested only in Chech. (and should be distinguished from \Ija\i 'wormwood, absinth' < Pers. \Ijawon\i), but having probable external parallels."
500,"*bʡast (  -ʕ-,--)",1330,"name of a mountain weed","","","bʕst (Matsiyev)","    Attested only in Batsb., but having possible external parallels."
501,"*m(ɦ)o“",1331,"cry, moan","mo“","mu“","","    6th class in both languages. Obl. base \I*ma“e-r-\i (cf. Chech. \Im“ara-,\i Ing. \Ima“aro\i)."
502,"*m(ɦ)u-(ʕ,,,o,)",1333,"plantain","mg","","","    A diminutive form (in *-iḳ). Since only the Chech. form is attested, the PN reconstruction is rather tentative (several possibilities are available)."
503,"*i",1334,"1 ergot, spur 2 a k. of weed (волчье лыко)","i 1","i 2","","    Obl. stem \I*iV-\i (cf. Chech. \Iia-\i). 5th class in both languages."
504,"*im",1335,"1 a plant with an edible root (купырь лесной)","im","im","im","    Obl. base \I*ima-\i (Chech. \Iima-,\i Ing. \Iimo\i). The word is glossed: in Chech. "купырь лесной (со съедобным корнем)"; in Ing. "свинушка (зонтичное растение)"; in Bacb. by Desheriyev "свинуха (растение)", by Kadagidze "купырь". 5th class in Chech., Ing., 6th class in Bacb."
505,"*“q-ur-",1336,"burdock","“qurg","","","    The Chech. form is a diminutive < \I*“q-ur-iḳ.\i Attested only in Chech., but having probable external parallels."
506,"*ʯl",1337,"stalk (of grass)","ʯal","","","    Obl. base \I*ʯli-,\i cf. Chech. \Iʯla-;\i cf. also the diminutive \Iʯlig\i 'blade (of grass)'. Attested only in Chech., but having probable external parallels."
507,"*a-ḳ (  --)",1339,"arrow","","","aḳ","    The stem includes a diminutive *-ḳ (\I*aḳ\i < \I*aH-Vḳ\i). Attested only in Bacb., but having reliable external parallels."
508,"*ʔer",1340,"reed, cane","erz","","","    Obl. base \I*ʔera-\i (Chech. \Ierza-\i). Cf. also Lev. \Iʔjerz,\i It. \Iʔjerʒa\i id."
509,"*p“",1344,"village","p“a","","p“e","    Obl. stem \I*p“na-\i (cf. Chech. \Ip“na-\i); its vocalism has influenced the Chech. direct stem. 4th class in Chech., 6th class in Bacb."
510,"*or-Vḳ (  --)",1347,"burrow","","org","","    Attested only in Ing. (with a frequent diminutive *-Vḳ), but having probable external parallels. Nakh > Osset. \Iqorɣ\i / \Iɣorɣ\i 'pit' (Abayev 1973, 311)."
511,"*lmV-j",1349,"stairs, ladder","lmi","lɔmi","","    6th class in both languages. The Bacb. word for 'stairs, ladder' is \Ilaṗ;\i historically it is rather a reflection of PN \I*laṗa\i 'shed, penthouse' (q.v.) with a semantic contamination of two roots in Bacb."
512,"*n(ɦ)aʁV-r",1350,"1 lid, cover (of a box, chest) 2 eye-lid","neʁar 1","noʁar 1,2","","    3d class in both languages."
513,"*mott",1353,"1 bed 2 place","mott 1","mott 1","mott 1,2","    Obl. base \I*matti-,\i cf. Chech. \Imetta-,\i Ing. \Imetto.\i Cf. also the derived form \I*matt-iḳ\i > Chech. \Imettig,\i Ing. \Imottig\i (with vowel levelling) 'place'."
514,"*(p)sl",1357,"pile, heap","sal","","","    Obl. base \Isla-.\i Attested only in Chech., but having probable external parallels."
515,"*",1358,"house, room","a","a","a","    Obl. base \I*-ni-,\i cf. Chech. \Ina-,\i Ing. \Ieno.\i 3d class in all languages."
516,"*kaw",1359,"gate","kow","kow","","    Obl. base \I*kawi-na-\i (cf. Chech. \Ikewna-\i). 3d class in both languages."
517,"*a“",293,"1 fumes, stink, stuffy air 2 heat","a“ 1","a“ 2","","    Obl. base \I*a“o-,\i cf. Chech. \Io“a-,\i Ing. \Ia“o.\i 4th class in both languages."
518,"*=aḳ-",1368,"to fold, make pleats","=ag-","","","    Cf. also Chech. \Inog,\i obl. \Inoga-\i 'corner, bend' (an old derivate < \I*w-VnḳV\i = PA \I*bi(r)ḳun\i)."
519,"*m",1370,"trunk","om","","","    Obl. base \Ima-\i ( < \I*mi-\i). Attested only in Chech., but having probable external parallels."
520,"*sn",963,"corner, border, edge","sa","sa","-sa~","    Obl. base \I*snV-,\i cf. Chech. \Isna-,\i Ing. \Isno.\i 6th class in both languages. In Bacb. the root is preserved within the compound \Inʕajʔ-sa~\i 'external door' (for the first part see \I*nɦeʔ\i 'door')."
521,"*ɦoṗ (  --)",1372,"edge (of weapon); top","","","ʕoṗ","    Attested only in Bacb., but having probable external parallels."
522,"*ḳa‰ (  --)",722,"foot, leg (a slighting expression)","","","ḳa‰","    Isolated in Bacb., but having good external parallels."
523,"*ḳɦḳ",1374,"pit","ḳag","ḳɔg","ḳʕoḳ","    The obl. stem \I*ḳɦḳu-\i ( > Chech. \Iḳga-,\i Ing. \Iḳɔgo\i) influenced the direct base both in Chech. and Ing. (otherwise one would expect \Iḳog\i in both languages). 6th class in all languages.     The same root is present in the PN derivate \I*ḳɦḳ-ru-n\i 'deep' > Chech. \Iḳorga\i (with preservation of the suffixless stem in \Iḳarg-dan\i 'to deepen'), Ing. \Iḳɔrga,\i Bacb. (with vowel levelling) \Iḳʕoḳru~.\i"
524,"*a“e-n",309,"bitter","“a","a“a","a“e~","    The pure stem \I*a“-\i is reflected in Chech. \Ia“-dan,\i Bacb. \Ia“-dar\i 'to make smth. bitter'."
525,"*dʕʁu",783,"1 key 2 lock","dʁa 1,2","dʕɔʁa 1","","    3d class in both languages. Cf. also Shar. \Idʁu,\i Cheb. \Idʁu,\i Akk. \Idʕʁ~\i etc. Cf. also Osset. \Idɣl\i 'key' (from some early derivate, not preserved in modern languages), see Abayev 1958, 351."
526,"*uḳ",1381,"1 door hook 2 ring,chain-link 3 drinking horn,-let","ug 1,2","ug 1,2","uḳ 3","    Cf. also Pharch. \Iug\i 'door hook'. Obl. base \I*aḳ-ar-\i is seen in Chech. \Iagara-.\i 4th class in Chech. and Ing., 5th class in Bacb. As seen from the various meanings, the basic semantics of the root is 'a hooked or curved object'."
527,"*dab(V) (  --,-w-)",1384,"a woven basket (for corn or for fishing)","d","dɔ","","    Cf. also Akk. \Idaw(a\i) id. 6th class in both languages."
528,"*gte (  *gtu)",1388,"anus","gta","","","    Taken from the Russian-Chechen dictionary."
529,"*ʔanga-laj ( -ḳ-)",1390,"glass","angali","","","    Isolated in Chech., but having possible external parallels (if "glass" <  "window")."
530,"*ʡur(-iḳ)",1392,"hole","ʕrg","ʕurg","ʕr (Matsiyev)","    3d class in Chech., Ing., 4th class in Bacb. The Chech.-Ing. form contains a diminutive *-iḳ."
531,"*pʯo (  -)",1394,"bottom","","pʯo","","    Isolated in Ing., but having probable external parallels."
532,"*ʔa“u",1395,"1 downwards 2 lower part","o“a- 1","ʕo- 1","a“o 2","    Ing. \Iʕo-\i < \I*ʔo“-\i with a secondary transfer of the emphatic laryngeal into Anlaut. In Chech. and Ing. the root is basically used as a preverb (it is also used as such in Bacb.); but cf. also Chech. \Io“ara\i 'lower', \Io“an\i '(place of) descent'."
533,"*larṭ (  --)",1396,"foundation","lard","lard","","    4th class in both languages."
534,"*bʡab (  -w)",1398,"tower","bʕow","wʕow","","    Obl. base \I*bʕawi-na-\i (Chech. \Ibʕwna-,\i Ing. \Iwʕowno\i). 4th class in both languages."
535,"*maʡa-r, *mʡ-ra",1399,"1 fork 2 fishing-rod 3 hook","maʕar,mʕra 1,2","mʕara 2,3","","    6th class in both languages. The form \Imʕra\i is obviously a contraction < \I*maʕara.\i"
536,"*ʁo",1400,"stick","ʁa","ʁa / ʁa","ʁo","    The PN paradigm can be reconstructed as \I*ʁo,\i \I*ʁau-\i (in Chech. and Ing. the oblique base superseded the direct one); for the obl. \I*ʁau-\i cf. Chech. \Iʁoa-.\i Cf. also Chech. Lev. \Iʁa,\i Ing. (Imnaishvili) \Iʁa‰:\i 'stick'. 4th class in all languages."
537,"*ar-iḳ(en)",1402,"1 transverse, ceiling beam 2 short stick","erg 1","arga 1","arḳe~ 2","    The root contains a usual diminutive suffix (*-iḳ); Bacb. and Ing. reflect a secondary derivate in *-en. 3d class in Chech. and Bacb., 4th class in Ing."
538,"*gra",1404,"1 a piece of cloven log 2 block","gra","gar","","    3d class in both languages."
539,"*duV",1406,"log, beam","du","","","    Attested only in Chech., but having probable external parallels."
540,"*ur (  --)",1407,"arrow","","","ur","    Isolated in Bacb., but having probable external parallels."
541,"*ʔu",1410,"1 board 2 wooden floor","u 1","uj 2","","    The Ing. form is actually a former plural (\I*ʔu-bi\i 'boards'). The original oblique stem \I*ʔulV-\i is seen in the Ing. derivate \Iul-g\i 'small board, plank' (both in Ing. and Chech. it was superseded by a more recent \I*ʔu-ne-,\i cf. Chech. \Ina-,\i Ing. \Iujno\i). 3d class in Chech. and Ing."
542,"*laṗa",1415,"shed; peak of cap","laba","laba","","    4th class in both languages."
543,"*ʔa“-",1420,"to grind","a“-","a“-","a“-","    A terminative verbal stem with no class markers. There are two archaic derivates:     1) PN \I*“r\i (obl. \I*“ri-,\i sometimes passing to dir.) "mill": Chech. \I“er\i (\I“ra-\i) 'mill' (cf. also \Ika-“ar\i 'hand-mill', \I“ar-ʯ\i 'miller'); Ing. \I“ajra\i (erg. \I“ro\i) 'mill' (cf. also \Ikel-“ar\i 'hand-mill'); Bacb. \I“ajri,\i \I“ajra\i 'mill'. 4th class in all languages.     2) PN \I*“ru\i 'meal, flour': Ing. \I“ɔr,\i Bacb. \I“ajru,\i \I“ajri\i (3d class in Ing., 4th class in Bacb.)."
544,"*ḳebu ( --,-w-)",1429,"granary","","ḳe","","    6th class in Chech., 3d class in Ing. Obl. base \I*ḳebu-na-\i (Chech. \Ina-,\i Ing. \Iḳeno\i). Cf. also Lev. \I,\i Cheb. \Iwa~.\i"
545,"*c(V)ʁar (  -ʯ-)",1431,"penthouse","cʯar","","","    Attested only in Chech., but having probable external parallels."
546,"*ʒʡra",1434,"1 wattle-fence 2 wattle","zʕra 1","zʕar 1","zar 2","    4th class in Chech., 3d class in Ing., 5th class in Bacb."
547,"*baV-l (-o-,--)",1435,"stall, horse-stall","boal","","","    Attested only in Chech., but having probable external parallels."
548,"*Vr-ḳḳi",332,"thaw","eḳega (ICR)","erḳga","","    A compound noun; the first part probably goes back to the EC root for 'ice, turn to ice'. The second part is not quite clear (cf. PN \I*ḳḳi\i 'coals, live coals'?)."
549,"*ʯra",545,"1 tree-hollow 2 grain-tub made of a hollowed trunk","ʯra","ʯara","","    4th class in both languages."
550,"*ma-ri-n",1440,"sweet","merza","merza","mari~","    Cf. also Bacb. \Imaar-dar\i ( = Chech. \Imarz-dan\i)  'to sweeten'; Chech. Cheb. \Imarzi~,\i Shar. \Imerʒi~\i etc. 'sweet'.     A derivate of the same stem is PN \I*mo\i (obl. base \I*mai-\i) 'honey': Chech. \Imoz\i (\Imeza-\i), Ing. \Imoz\i / \Imoʒ\i (\Imezo\i), Bacb. \Imo\i (\Imai-\i) (3d class in all languages). A regular reflex of the old PEC derivate \I*hwmiʒ_\i would be PN \I*ʡoṭṭ\i (\I*ʡaṭṭ\i), so it is obvious that the nominal stem was rebuilt on the analogy with the adjective 'sweet'."
551,"*ḳoncV- (  --)",1441,"garlic","ḳoncerg","","","    The Chech. form is taken from Карасаев-Мациев 1978, where it is qualified as 'archaic dialectal'."
552,"*ʯʯ",1442,"onion","ʯoʯ","ʯoʯ","","    Obl. base \I*ʯʯa-\i (Chech. \Iʯʯa-\i)."
553,"*r‰",1443,"sedge","a‰","ar","","    The reconstruction is highly tentative, because the Chech. and Ing. forms correspond badly to each other. It is not clear why Chech. lost -r-, and why in Ing. -‰ > -. 4th class in both languages."
554,"*dtti-n",1444,"butter","dtta","dtta","datte~","    3d class in all languages. Final *-n (historically a suffix) is reflected in the Bacb. nasalisation and in the Chech. obl. stem (\Idttana-\i)."
555,"*im",1447,"udder","in","im","i~","    Obl. base \I*ima-\i / \I*am-ar-\i (cf. Chech. \Iina-,\i Ing. \Iamaro;\i the variant \I*amar-\i is probably more archaic and demonstrates the PN Ablaut). 6th class in all languages."
556,"*nalʯ[o]",1449,"butter","nalʯa","nalʯa","","    Obl. base \I*nalʯe-\i (Chech. \Inelʯa-,\i Ing. \Inalʯo\i). For final *-o cf. Chech. Shar. \Inolʯo\i (but Cheb. \Inalʯa\i points rather to *-a). 5th class in Chech., 6th class in Ing."
557,"*ʔ- / *ʔb-",1451,"1 to milk 2 to pull; to sip, to smoke","z-a","oz-a","o-ar","    For the durative \I*ʔ-b--\i cf. Chech. \Iz-a,\i Ing. \Iuwz-a,\i Bacb. \Ieb-ar\i / \Ieṗ-ar.\i"
558,"*ʡm",1452,"lake, pond, pool","ʕam","ʕam","ʕam","    Obl. base \I*ʡme-/*ʡmo-\i (Chech. \Iʕma-/\i (Uslar) \Iʕmi-,\i Ing. \Iʕamo\i). 6th class in all languages."
559,"*r",1453,"buttermilk","ar","ar","ar","    Obl. base \I*re-\i (Chech. \Ira-,\i Ing. \Iaro\i). Cf. also Chech. Pharch. \Ir\i id. 3d class in Chech. and Ing., 5th class in Bacb."
560,"*ṭune",1454,"1 dampness, moistness 2 raw, damp, moist","ṭna 2","ṭuna-l 1","ṭwi~ 1","    The pure stem is preserved in Bacb. (cf. also Chech. \Iṭun-dan\i 'to moisten' = Bacb. \Iṭwin-od-dar\i); the Chech. adjective goes back to \I*ṭune-n\i (cf. in Uslar's recording \Iṭni;\i cf. also Cheb. \Iṭuni~,\i Shar. \Iṭujni~,\i Khild. \Iṭwini~\i etc.)."
561,"*ma-ru",1456,"whey, buttermilk","morza","morz","maro","    Cf. also Chech. Cheb. \Imarzu,\i Khild. \Imorʒu,\i It. \Imorʒu,\i Shar. \Imorʒo,\i Ing. (Imnaishvili) \Imworc:.\i 3d class in all languages."
562,"*ʔaʯḳV",369,"summer","ʯk","aʯka","ʯḳo","    Short vowel reconstructed because of reduction in Bacbi. Ing. \Iaʯka\i = Chech. \Iʯka\i 'in summer' (Chech. \Iʯk\i is a suffixed form).         The meaning "summer" is obviously secondary. The older meaning 'year' is still preserved in the PN compound \I*sṭ-ʯḳu\i 'last year' > Chech. \Istoʯka,\i Ing. \Isɔʯk,\i Bacb. \Isṭauʯḳu\i (for the etymology of the first part see PEC \I*swajV\i)."
563,"*lo (  -)",1457,"yeast, leaven","","lo","","    Attested only in Ing., but having probable external parallels."
564,"*=at-",1458,"to curdle, coagulate","=at-","=at-","l-at-",""
565,"*b(ɦ)art",1459,"1 lips, mouth 2 kiss","bart","bart","","    Obl. base \I*barte-\i (Chech. \Iberta-,\i Ing. \Ibarto\i). Traces of the original meaning "top" can be seen in derivates: PN \I*bart-iḳ\i "mouth (of a sack or vessel); top (of a boot)" (Chech., Ing. \Ibertig\i); \I*barte-l\i (adv.) "face down" (Chech. \Ibertal,\i Ing. \Ibartal\i)."
566,"*noV / *moV (--)",374,"1 green, unripe 2 to grow overripe","no-dala 2","moa 1","","    The Chech. compound verb means actually "to stop (\Id-la\i) being unripe)" = "to grow ripe, overripe"; cf. the equivalent Ing. \Imo-dala\i "to become foul, rotten"."
567,"*gorV-mV (-u-,-V-)",379,"a wheel for hitching the plough","gurma","","","    Attested only in Chech., but having probable external parallels."
568,"*ḳVwV (ḳ-,-b-)",1462,"porridge made of chopped corn","","ḳo","","    Attested only in Ing., thus the PN reconstruction is tentative (several different protoforms are possible)."
569,"*l-ṭ-",1693,"to trickle, drip","ld-","","","    The verb \Ild-\i is attested only in Chech. The same root (with a usual Ablaut *a/*) can be perhaps discovered in PN \I*k-aṭ-\i 'to mourn, bemoan' (Chech., Ing. \Ikad-,\i Bacb. \Ikaṭ-\i) - if the original meaning is 'to pour, drop (tears)'.     A reduplicated stem \I*ṭaṭ-am\i 'drop' is reflected in Chech. \Iṭadam,\i Ing. \Iṭadam.\i"
570,"*kdu (-b-,-g-)",1463,"malt","ko","","","    The Chech. word is taken from Карасаев-Мациев 1978; vowel length and correspondences in other Nakh languages are unknown, thus the PN reconstruction is provisional (\I*kdu\i is one of several possibilities)."
571,"*cu",1465,"1 oat flour 2 flour made from roasted corn","cu","cu","cu","    For short *u cf. Chech. dat. \Icu-na.\i 5/6th class in Chech., 5th class in Ing., 6th class in Bacb."
572,"*‰uṭa",1466,"flat cake stuffed with force-meat","‰uda","","",""
573,"*lujsṭ",1468,"1 sheep's dung 2 thick, dense","lst 1, lsta 2","lista 2","jupsṭi~ 2","    The noun \I*lujsṭ\i must have meant 'thick, clayish substance' (whence 'dung' in Chech.). The Bacb. form is interesting, because it demonstrates the original *-j- which had been shifted to Anlaut (\I*lujsṭi-n\i > \I*ljuwsṭi-n\i > \Ijupsṭi~\i); another trace of PN *-j- here is the Chech. vowel -- in the direct stem \Ilst.\i     Abayev (1973, 57-58) considers the Nakh adjective to be borrowed from Osset. \Ilɨst(g\i) / \Ilist(g\i) 'small, thin'. This is hardly the case because of the non-trivial phonetic structure of the Nakh root (the semantic side also raises doubts)."
574,"*ʔol-eḳ (  ɦ-)",1470,"cake, cookie","lg","olg","","    The word contains a common Nakh diminutive suffix."
575,"*kurʒi (--,-e)",1473,"a k. of dumplings","krza","","","    Attested only in Chech., but having probable external parallels."
576,"*ura",1474,"milk","ura","ura","ur","    4th class in all languages."
577,"*niʯa",1475,"a sour fermented drink, home-brewed beer","niʯa","niʯ","","    3d class in Chech., 5th class in Ing."
578,"*kati-r / -b",400,"1 fur-coat, sheepskin coat 2 upper clothes","ketar 1","ketar 1","katib 2","    4th class in Chech., Ing., 3d class in Bacb. Cf. also Chech. Cheb. \Ikatir,\i Shar., Ved. \Iketir.\i"
579,"*k‰",1476,"shirt","ko‰","ko‰","","    Obl. base \I*k‰u-,\i cf. Chech. \Ik‰a-,\i Ing. ko‰o. 4th class in both languages."
580,"*=iḳ-",405,"to lead, to drive","=ig-","=ig-","=iḳ-",""
581,"*doʯḳV (  --)",1482,"belt, girdle","dʯka","ṭeʯkar","duʯḳa~","    3d class in all languages. The vocalism is somewhat unclear (in particular, Bacb. -u- is unclear); ṭ- in Ing. is a result of early assimilation (\I*doʯḳV-\i > \I*ṭoʯḳV-\i). The word has a *-n-suffix in Bacb. and a -r-suffix in Ing. (reflecting the oblique base, cf. Chech. \Idʯkara-\i). Cf. also Chech. Cheb. \Idjeʯku,\i Khild. \Iṭjoʯku\i etc."
582,"*muʔVl (  -o-,-V-)",1485,"a spindle-thread twisted into one strand","","muʔal","","    Attested only in Ing., with a possible Lak. parallel."
583,"*asṭo",1486,"1 copper, brass 2 red copper","asta","asta","asṭ","    3d class in all languages. Cf. also Cheb., Shar. osto (pointing to *-o in PN)."
584,"*kel-iḳ (  --)",1489,"stick with a hook; hook, gaff","kalg","koolg","","    4th class in Chech., 6th class in Ing. In the Russ.-Chech. dictionary the  Chech. word is glossed as \Ikoalg;\i in the Russ.-Chech.-Ing. dictionary - as  \Ikoolg.\i     The word has an *-l-suffix (with a following diminutive). The suffixless  stem is probably reflexed in Chech. \Iḳa\i 'hinge, door-hinge' (with an  assimilation ḳ- < k-, as in some other EC languages)."
585,"*ḳṭi-n",413,"soft","ḳda","ḳda","ḳaṭe~","    Cf. also Cheb. \Iḳde~,\i Akk. \Iḳda~\i etc. The pure stem is preserved in Chech. \Iḳad-dan,\i Bacb. \Iḳaṭ-dar\i 'to soften'."
586,"*ṭʡV-",1491,"chain","ṭ","","","    Attested only in Chech., thus there are several possible PN reconstructions (with *-j-,-w-,-b-,-d-,-g-)."
587,"*ho (  -ʒ)",1493,"ring, hoop","hoz","","","    Attested only in Chech.; Ing. \Iʁoz\i id. is quite a different root (see PEC \I*GVnVa\i)."
588,"*ʡṭɦ",1494,"bow, spring; catapult","ʕad","ʕad","ʕaṭ","    Obl. base \I*ʡṭɦo-,\i cf. Chech. \Iʕda-,\i Ing. \Iʕado.\i 3d class in Chech., Ing., 5th class in Bacb. Nakh > Av. \Iʕaṭ\i 'string, bow-string'."
589,"*m‰Vj",1497,"1 footwear 2 shoe","m‰a 1","m‰i 2","","    4th class in both languages. Cf. also Ing. (in Imnaishvili's notation) \Im‰ij\i 'shoe'."
590,"*ʡg(V)",1500,"1 woof, cross thread 2 threads for hand-made cloth","","ʕ 1","ʕag 2 (Desheriyev)",""
591,"*ʁant (  --)",1507,"1 chair 2 bench","ʁant 1,2","ʁand 1","","    Cf. also Cheb., Shar. \Iʁanit\i 'chair' (with secondary -i-). Final -d in Ing. is not clear. 3d class in both languages."
592,"*kṭ",1509,"cup, pot","kad","kad","","    Cf. also Ing. (in Imnaishvili's notation) \Ikt:.\i 6th class in both languages. Obl. base \I*kṭe-\i (Chech. \Ikda-,\i Ing. \Ikado\i)."
593,"*kaṭo",1514,"1 scoop 2 big wooden ladle","‰ada 1","koda 1","kaṭo 2","    Cf. also Khild. \Ikodo,\i Lev. \I‰ada\i id. 6th class in all languages."
