NUMBER|PROTO|MEANING|PRNUM|GOT|ONORD|NORW|OSWED|SWED|ODAN|DAN|OENGL|MENGL|ENGL|OFRIS|EASTFRIS|OSAX|MDUTCH|DUTCH|OLFRANK|MLG|LG|OHG|MHG|HG|NOTES
1062|*xlī́xan-/*xlīgán- vb.|report, let know|1592||||||||hlīgan `to give a reputation for (wisdom); attribute to', hlisa `reputatie, fame'|||hlīa `melden, bekennen'|||līen, be-līen, līhen `sagen, melden'|belĳden `melden, bekennen'||līen `belĳden, bekennen, meedelen'|||||
1063|*xlífan- vb.; *xliftu-z|steal|1593|hlifan st. `steal'; hliftu-s m. (u) `thief'|||||||||||||||||||||
1064|*xlankia-z, *xlunkia-z, *xlanka-, *xlankiōn|crooking; hip, waist|1594||hlekk-r `Kette, Ring', hlükk-r `Krümmung'|lekk `Ring einer Kette', lekkja `Fesel'|länk|||länke|hlence `lied oder Ring in einer Kette'; hlanc `schlank, dünn''|||||||||||(h)lanca `Hüfte, Lende' (um 800); ir-(h)lenken `verrenken' (12.Jh.), ūʒ-(h)lenken `aufschnallen' (um 900)|lanke st./wk. 'hüfte, lende, weiche'; lɛnke 'biegsam'; lɛnken, md. lɛngen wk. 'biegen, wenden, richten'|lenken; Gelenk|
1065|*xlanda-n|urine|1595||hland n. `Harn'|land|land||||hland n. `Harn'||dial. lant||||||||||||
1066|*sniúsan- vb. , *xniúsan- vb.; *xnuzḗn, *snuzḗn|snore|1599||hnjōsa st. `niesen, blasen'; hnöri, hneri, hneyri m. `Niesen, Schneuzen, Rotz'|njosa vb.; snör `Rotz'||nysa vb.||nüse vb.|hnor `het niezen'; hnora `Niesen'|snēsen, nēsen|sneeze|||hnios-wurt `Nieswurz'|niesen|niezen||nēsen||(h)niosan (10.Jh.)|niusen, niesen wk. 'versuchen, erproben'|niesen|
1067|*fniúsian- vb., *fnū́san- vb., *fnús=; *fnuzḗn|snore|1600||fnǖsa wk. `schnauben'|dial. fnüsa `kichern'||fnüsa `prusten'||fnüse `schnauben'|fnēosan `keuchen, schnauben'; fnora m. `das Nieren'||||||fniesen|fniezen|||||phnūsen wk. 'schnauben, schnoppern, ohrenblasen; niesen', phnust st. m. 'unterdrücktes lachen'||
1068|*xwōstēn, -ōn; *xwōstōn- vb.|caugh|1608||hōsti m. `Husten'; hōsta wk. `husten'|hoste; hosta vb.||hosta sbs., vb.||hoste vb.|hwōsta m.; hwōstan||||||hoest(e) m., f.; hoesten|hoest m.; hoesten||hōst(e) m.; hōsten||huosto m., huosta f. (9.Jh.); huosta f.; huostōn (9.Jh.)|huoste wk. m. 'husten'|Husten m., husten|
1069|*xwīlō(n); *xwīlēn-, -ōn- vb.|while; rest|1613|hʷīla f. (ō) `while, time'; *hʷīlan wk. `cease'|hvīla f. `Ruhestätte, Bett'; hvīla vb. `ruhen, ruhen lassen'|kvila sbs., vb.||vila sbs., vb.||hvile sbs., vb.|hwīl `Weile, Zeit'||while|hwīle; hwīla vb.||hwīla, hwīl|wīle `tĳd, uur, tĳdsuur'|wĳl, wĳlw f.; verwĳlen||wīle||(h)wīla (8.Jh.), (h)wīl `Zeit(raum), Zeitpunkt, Stunde'; hwīlōn vb.|wīl(e) st./wk. f. 'weile, zeit, zeitpunkt, raum, stunde'|Weile|
1070|*xwata-, *xwatō, *xwatōn- vb.; *xwētan- vb., *xwatjan-, *xwētVn- vb.; *xwassa-, *xwōta-n, -ō, *xwōtia-|sharp, sharpen|2752|*ga-hʷatjan wk. `entice, mislead'; hʷassaba adv. `sgarply'; *hʷōta f. `threat', *hʷōtjan, *ga-hʷōtjan wk. `threaten'|hvat-r `rasch, feurig', hvɔt f. `Aufreizung', hvata wk. `anreizen, sich eilen'; hvāta vb. `stossen, stechen', ONorw hvāta, hōta; hvetja wk. `anreizen, wetzen'; hvass `scharf'; hōt n. `Drohung'|kvat adj.; kvot `Schärfung'; kvetja vb.; kvass; hot|hȫta `Löcher für Zaunpfähle in den Boden treiben'; Run. 3 pl.`prs. conj. hwatin ?|höta vb.; dial. hvättja vb.; dial. vater; vass; hot||dial. hväde vb.|hwät `scharf, schnell, mutig', hwettan `anreizen, wetzen'; hwäs(s) `scharf'; for-hwātan||whet||WFris hotsje `scherpen'|hwat- `schnell, mutig'; hwass `scharf'; for-hwātan `verfluchen'; hōti `feindlich'|wetten; wate n., f.? `snede van een wapen'|wetten; dial. waat `snede van een wapen'||wetten `wetzen'||(h)waʒ `scharf, heftig' (8.Jh.); (h)wezzen `schärfen, schleifen' (8.Jh.); (h)was `scharf'; (h)wāʒan `jmdn. angehen, verstossen, (Vögel) vertreiben, (ver)scheuchen' (9.Jh.), (h)wazzan|was (-ss-), wasse, wɛsse; wahs, wɛhse 'schneidend, scharf'; wɛtzen wk. 'schärfen, schleifen, wetzen'|wetzen|
1071|*xwēmōn-, *xwēmōn|swallow|1618||NIsl hvōma `verschlucken, verschlingen', hvōma f. `Speiseröte, SChlund'||||||||||||||||||||
1072|*filgō|rim (of a wheel)|1621||||||||felg, felge f.||felly, felloe|||felga|velghe f.|velg f.||velge||felga (um 800)|vëlge st./wk. f. 'radfelge'|Felge f.|
1073|*falgṓ, *falgí-z; *falgián-|field|1622|||||||falg, fälg `geploegde akker'|fealh, fealg; felch, felg `Brachfeld'; fealgian `ein Brachfeld umpflügen'||fallow||falge `Brachfeld'; Fris falig, WFris felling `omgeworpen aarde door het ploegen'||valge `bouwland, akker'|valg f. `bouwland, akker'||valge f. `omploegen van braakland, omgeploegd braakland'; valgen|falg(e) `ploegen geploegd land', felge `leergehaald rovveveld'|felgen `umpflügen' (12.Jh.)|valgen, vɛlgen wk. 'umackern, umgraben'|bair. falg `Brachfeld'; falgen, felgen `ein Brachfeld umpflügen', dial. felge `Brachfeld'|
1074|*skársa-n, *skársiōn, *skúrsia-n|dwarf|1624||skars, skass n. `Troll, Trollweib', skürsi, sküssi n. `Schreckgestalt', skersa, skessa f. `Trollweib'||||||||||||||||||||
1075|*kwistian- vb., *kwistiō|destroy, press, torment|1627|kʷistjan wk. `destroy, subject to torment', fra-, us-kʷistjan `id.', *fra-kʷistnan wk. `perish, be destroyed'||||||dial. qvista `press'|||||||te quiste gaen `te gronde gaan'; quisten `spillen, verspillen; te loor gaan'|kwistig; verkwisten||quist st. f. `torment'; quisten `vernietigen, verkwisten'||quist st. f. `torment' ; ar-, firquisten `verderben (tr.)'|||
1076|*kōpian- vb., *kapēn- vb.|gaze, observe|1629||kōpa `angaffen, stieren, glotzen'|kopa vb.||dial. kopa vb.||kope vb.|cēpan `beobachten, ausschauen nach, sorgen für, schützen', capian `aufblicken'||keep||||capen||up-capen `eminere'|kapēn `gaffen, schauen'||kapfēn `schauen, spähen, ūfkepfen `aufschauen'|kapfen, kaffen, gaffen wk. 'schauen, bes. verwundert schauen, gaffen'||
1077|*gōda-, *gadan-, -ōn- vb.|good|1630|gōϑ-s, gōd-s (a) `good, kind, beautiful'; { gadiliŋgs 'Vetter'|gōδ-r `gut'; Run. Norw godagas|god||god||god|gōd||good|gōd 'gut'; gada 'vereinigen', gadia 'dass.; passend machen, befrieden, bestätigen'||gōd 'gut'; gegada 'Genosse, Gatte'; gaduling 'Verwandter'|goet|goed|guot|||guot (8.Jh.)|guot 'tüchtig, brav, gut usw.'|gut|
1078|*gadōn- vb., *gad=|hold together|1631|gadiliŋg-s m. (a) `cousin'|||||||ge-gada `gezel'; gädeling `stamgenoot'||together|gadia `vereinigen'||gi-gado `gelĳke'; gaduling `stamgenoot'|gade; (ghe)gade `genoot, gelĳke, echtgenoot'; gaden `bevallen, passen, zich bekommeren om, verenigen'|gade m., v.||gaden `bevallen, pasen', refl. `zich paren'||gi-gat `zugehörig' (um 1000), gatōn 'vereinigen, schicklich zusammenkommen, sich passlich fügen, gleichkommen', gatulinc 'Verwandter'|gat(e) sw. m. 'genosse; der einem gleich ist oder es ihm gleich tut; gatte'; gaten wk. 'zusammensamenkomen'|Gatte m., Gatter, Gitter|
1079|*gana-n|shout, yawn|1632||gan n. `Gähnen, Schrei, Lärm'; gana wk. `gähnen, gaffen, glotzen'|gan n. `Schlund, Rachen'; gana `den Hals ausrecken'||gan f. `Schlund, Rachen', gan n. `Kiemen, Kopf und Eingeweide kleiner Fische'; dial. gana `gaffen'|||ganian|||||||||jānen `gähnen'|||||
1080|*kank=|scold|1633||||||||canc, gecanc `Spott, Hohn, Tadel', cancettan `spotten'||||||||||||||
1081|*klak=, *klagēn-, *klagōn- vb.|shout|1635||klaka wk. `zwitschern, gackern'||||||clacu `Kampgetöse, Geschrei'||clack `klappern, rasseln, plaudern'|klagia; klagi, klage||klagon; klaga|clāghen; clāghe|klagen||klāge; klāgen|klak `Knall Geräusch von Schlagen'|{ klagēn }, klagōn `Schmerz, Leid oder Weh ausdrücken, betrauern, sich beklagen, gerichtliche Klage erheben', klaga `Wehgeschrei, Totenklage, Not, Leid, Gerichtsklage' (9.Jh.)|klac (-ck-) st. m. 'riss, spalt; knall, krach; klecks, fleck'; klagen wk. 'einen schmerz, ein leid od. weh ausdrücken, sich klagend klagend gebärden'|klagen, Klage f.|
1082|*kĳ=, *kīnan- vb., *kīϑ=, *kīmēn, *kīϑl=, *kinō etc., *kailō(n), *kailia-n|sprout, shoot|1638|*kīnan irreg. st. `sprout', *us-kīnan `grow from'', ptc. pl. nom. sg. n. us-kĳanata `grown up'|kīl-l m. `schmale Bucht, langer Seearm'; NIsl kīl-l `id.; Keil'; keili n. `Keil zur Stütze des Mastes im Mastfisch'; keila f. `schmaler Seearm, Felskluft; Brachsen'|kīle m. `Keil'; kil `lange, schmale Bucht'; keila `schmaler Wasserlauf'||||dial. kin `spleet'; kil `Tiefe zwischen Sandbänken'|cīnan `bersten, offenstehen'; cīϑ `Keim, junger Trieb'; cēon, cīun `branchia'; cinu f. `reet, spleet', cīnan `opengaan'||||kille `natuurlĳke waterloop'|kīmo `Keim'; kīth `Keim, junger Trieb'; kio `branchia'; kīn `kiem', kīnan `keimen'; kīth `Spross, Keim'|kieme, kĳme `kiem'; kēne f. `reet, spleet, barst''; kest m., n., keeste f. `pit, merg', dial. `kiem, uitspruitsel'; kille f. `kil, rivierbedding, geul tussen zandbalken'|kiem f.; keen f. `kloof, spleet, scheur, kerf'; kil f.; kēl `schmale Meerbucht'|kīmo|kīl `Keil'; kīnen||kīnan `keimen, hervorspriessen, hervorbringen' (9.Jh., irkīnan `aufkeimen' 8.Jh.); kīmo `Keim, Same, Gewächs' (8.Jh.); fruma-kīdi `erster Trieb'; kīl `Keil' (9.Jh.); kīd (10.Jh.) `Spross, Schössling';|kīl st. m. 'keil; zeltpflock', kīlen wk. 'keilen'; kīm(e) wk./st. m. 'keim, pflanzenkeim; korn'; kīnen, kīmen st. 'sich spalten; keimen, auswachsen, wachsen'; kīdel st. m. 'Keil', kīde, kīt st. n. 'schössling, spross'|Keim m., keimen; Keil m.; dial. keidel m. `Keil', Keid `Spross, Schössling'|
1083|*tit- / *tut-|teat|334||||||||titt 'Brustwarze, Kuhzitze'||teat|||||||||tutta, tuta 'Brustwarze'|zitze|Zitze|
1084|*gĳan-; *giwō, *giwiϑō, *gīnan- vb., *ginōn- vb.; *gīra-z, *gir(i)a-, *gīmōn, *gaimēn, *gaima-z etc.|yawn, open mouth, opening|1641|fɛhu-gīrō f. (n) `avarice'|gjā f. `Schlucht, Kluft'; gina wk., gīna st. `gähnen, schnappen nach'; gin n. `Rachen'; gīma f. `Spalte, Öffnung', geimi `Meeresschlund'; geimi n. `Meer'; NIsl geim-ur `grosser leerer Raum'|gima `Öffnung, Einschnitt ins Fleisch'; gina `gaffen'; gin `kleine Öffnung'; dial. gjo, jo; dial. geiska; dial. gīr m. `Begierde, Leidenschaft'||dial. gima f., gimman n. `Öffnung im Backofen'|||gīwian, giowian `verlangen, fordern'; giscian `schluchzen'; (tō-)gīnan st. V. `klaffen, gähnen'; ginian, geonian `weit offen sein'; gin n. `Schlund'; gānian `gähnen'||yawn|||ginon; fehu-girī wk. f. `greed'; giritha st. f.|ghēwen|geeuwen||gēnen||gīēn `gähnen'; ana-giwēn `inhiare', gēwōn `den Mund aufsperren, gähnen'; gīri `begierig'; ginēn (8.Jh.), ginōn (um 900) `den Mund aufsperen, gähnen'; geinōn `gähnen' (9.Jh.); girī wk. f., giridī, girida st. f. `greed'|gewen, giwen wk. 'das maul aufreisen, gähnen'; giude, göude, gūde st. f. 'geräuschvolle freude, jubel; verschwendung'; gischen wk. `schluchzen'; ginen, genen, ginnen wk. 'das maul aufsperren, gähnen'; gir, ger adj. 'begehrend, verlangend'|gähnen; schweiz. gīm `Öffnung' (gieren < )|
1085|*gīgan-, *gingian- vb., *gingiēn|wish, desire|1642|*fɛhu-gīgan wk. `desire', ga-gīgan wk. `gain'|? geige wk. `seitwärts abweichen'|? dial. geige `hin und her schwanken', dial. geigla, geigra, geina `schief gehen', dial. giga, gigla, gigra `lose stehen, wackeln'|||||? for-gǟgan `abweichen, überschreiten'|||gēia `Busse zahlen'||||||||gingēn wk. `nach etwas verlangen', gingo wk. m. `das Verlangen'|ginge wk. m., st. f. 'verlangen'; gīgen st., wk. 'geigen'|geigen `sich hin- und herbewegen'|
1086|*kitilōn- vb.|kittle|0||kitla wk. `kitzeln'|kitla||kittla||kildre|citelian||dial. to kittle|||kitilōn|kittelen|kittelen||kettelen||kizzilōn (8.Jh.)|kitzeln wk. 'kitzeln'|kitzeln; Kitzel m.|
1087|*kutilōn- vb.|kittle|1645|||||||||||||||||||obd. kuzzilōn (10.Jh.); kuzzil (10.Jh.)|kützeln wk. 'kitzeln'|(älter) Kützel `Kitzel'|
1088|*gīd=|wish, long for|1646||||||||gītsian `verlangen, begehren'|||||||||||gīt `Gierigkeit, Habgier, Geiz' (9.JH.)|gīt st. m., gīte st. f. 'gierigkeit, habgier, geiz',  { gīze st. f. `greed' }; gīten, gīt(e)sen wk. `gierig, habgierig sein'|Geiz m., Geize|
1089|*gīsnan-, *gaisian-, *gaist=, *gaisk=|fear, be afraid|1647|*us-gīsnan wk. `be astonished'; *us-gaisjan wk. `frighten'|geiska-full-r `voll Schrecken', NIsl geiski `Schrecken'||||||gǟstan `in Schrecken versetzen'||aghast, ghastly||||||||||||
1090|*gaista-z; *gaistian-|ghost|1648||||||||gāst, gǟst; gǟstan `erschrecken (tr.)||ghost; aghast, ghastly|gāst||gēst|gheest|geest m.||gēst||geist `= lat. spiritus' (8.Jh.)|geist st. m. 'geist'|Geist m.|
1091|*giutan- vb.; *giut=; *guti-z; *giusa-|pour|1650|*giutan st. `pour'|gjōta st. `giessen'; NIsl got|dial. gjota vb.; gota `eingeschnittene Rinne, rinnenförmiger inschnitt in de Landschaft', got `uitgegoten kuit'|giuta `ussform'|gjuta vb.||gyde vb.|gēotan `giessen, fliessen, schütten, werfen'; gyte `Guss, Fluss, Flut'; guttas innoδas `receptacula viscerum'||gut|giāta `giessen, fliessen, schütten, werfen'; gete m. `het gieten'||giotan `giessen, fliessen, schütten, werfen'; 3) gota `canalis'|ghieten; gōte, goyte, goete (=gōte) f. `het gieten; afvoerbuis, goot, riool, greppel'|gieten; goot f. `Gosse, Rinne', dial. geut||gēten; gȫte f. `het gieten; goot, afvoerkanaal'|gēte `niedrige Wasserstrahle'|gioʒan `giessen, einschmelzen, vermischen' (8.Jh.); gioʒo `fliesssendes Wasser'; guʒ m. `het gieten' (9./10.Jh.), guʒen `libare'|gieʒen st. 'giessen, in metall giessen'; guʒ (-ʒʒ-) st. m. 'guss, erguss; triebkraft'|giessen, Gosse f., Guss m.|
1092|*gautian- vb.|kill|1651||||||||gēatan, āgēatan `verletzen, verwunden, töten'||||||||||||||
1093|*gaupanō, *gaupōn; *gapsōn, *gipsōn|handful|2907||gaupn f. `hohle Hand'|gaupn, dial. gaukn, gaufn; dial. gaupa `hohle Hand'||göpen, gutn. gaukn `hohle Hand'; jord-gubbe `artenerdbeere'|göben, gjöven, gjävn `Handvoll', dial. gjöve|(ält.) gubbe `Kehlkopf, Brust'|gēap `krumm, schlau, verschlangen'|||||||{ gaps `die beiden Hände voll }||gepse, gespe, göpse `die beiden Hände voll'|(stland) gubbe `kleiner Heuhaufen'|goufana `hohle Hand'|goufe sw. f. 'die hohle hand', { gouf `hohle Hand' }|{ Gäpse `die beiden Hände voll' }|
1094|*gumpa-z, *kumpa-z, *kamp=|buttocks|357||gump-r m. `Hinterbacke, Steiss'; kump-r m. 'Klumpen'|gump `Steiss'; dial. kump  'Klumpen, Kloss, halbkugelförmige Erhöhung am Erdboden', kamp '(rundlicher) Stein, Bergknollen, Stumpf von Stöcken'||gump `Steiss'||gump `Steiss'|||||||||||||||
1095|*kiúsan-; *kuzṓn-, -ḗn-, *kuzá-n, *kuzján-; *kustu-z, *kusti-z|choose|1654|*kiusan st. `test'; *kustu-s m. (u) `test', *ga-kust-s f. (i) `test'|kjōsa st. `wählen, wünschen; abmachen, zaubern'; kör n. `Wahl'; kost-r m. `Wahl; Bedingung; Mittel; Entschluss; Zufall; Eigenschaft'|kjosa vb.; kor; kost||tjusa vb.; kor `Wahl'|küse vb.; kɔr; kost||ceosan; cyre m.; cyst m.||choose|kiāsa, ziāsa vb.; kere m., f. `keus, vrĳe verkiesing'; kest f. `met onderling goedvinden vastgestelde wet'||kiosan `schmecken, prüfen, wählen'; kuri m. `keus'|kiesen `ondervinden, lĳden, onderzoeken, kiezen'; be-cōren `proeven, ondervinden, verleiden, kwelen'; cōre, cuere, coire m., f. `keus, handvest, statsverordening', cōse, keuse; cust m., f. `verliezing, wens'|kiezen; bekoren; keur f.; keus f.; kust f.: te kust en te keur|be-coren `op de proef stellen'|kēsen; be-kōren `onderzoeken, verleiden, aandringen'; kȫr(e), kür(e) m., f. `= MHG'||kiosan `sehen, wahrnehmen, prüfend betrachten, erwägen, erkennen, aus-, erwählen'' (8.Jh.); bi-korōn, -korēn `proeven, op de proef stellen'; kuri f. (9.Jh.) `Erwägung, Beratung, Auswahl'; kust f. `keus, taxatie, deugdelĳkheid'|kür(e) st. f., md. kur(e), kor(e), kör(e) m., f. `Prüfung, Erwägung, prüfende Wahl, Stimmrecht, Beschluss, Bestimmung, Strafe, Art und Weise'; kiesen st. prüfen, versuchen, wählen'|Kür f., (älter) Kür, Kur f. `prüfende Erwägung, Entscheidung, Wahl'; erkiesen, küren, Kurfürst|
1096|*gaga-, *gaga-z, *gagōn- vb., *gēgjan- vb. etc.|wind, bend|1655||gǟgja-st wk. `sich ausstrecken; mit dem Blick hinschielen'; gag-hals adj. `mit zurückgebogenem Hals'; NIsl gaga wk. `rückwärts biegen'; NIsl gag-ur `nach innen gebogen, schief gedreht'|gag `rückwartsgegebogen', gag-hals `zurückgebogener Hals'; gaga `rückwärts biegen', gaga seg `das Kinn hoch tragen'; gagra, gagla `mit gestrecktem Halse und gehobenem Kinn gaffen'||dial. gager `unüberlegt'|||||||||||||||gagen, gageren wk. 'sich hin und her wiegen, zappeln'|dial. gagen, gagern, gageln `die Beine spreizen, unfest stehen'|
1097|*gata-n|hole|1657||gat n. `Loch, Öffnung'|gat `Loch, Falz'|||||geat n. `Tor'||gate|jet n. `Loch, Öffnung'||gat `Loch'||||gat `Loch; anus'|kate-gat `Katzenloch'||||
1098|*kundí-z, *kundá-/kúnϑa-, *kundá-z, *kindá-n, *kunja-n, *kunjō, *kuninga-z, *kuna-z, *kundiá-n; *kanjan-, *knōdí-z|race, generation, etc.|1659|kindins m. (a) `governor'; *knōϑ-s (-d-) f. `race'; kuni n. (ja) `race, generation'; ɛrϑa-kund-s `of earthly decent'|kund-r `Sohn'; -kund-r `abstammend von' (troll-kundr etc.); kunn-r `verwandt'; kind f. `Geschlecht; Kind, Stamm'; konung-r m. `König'; kon-r m. `Sohn, Mann' (poet.); kün n. `Geschlecht, Familie'; kündi n. `Geschlecht, Art'; kenna wk. `gebären'|kind; kün|Run. ragina ku[n]do|dial. kind; konung; kön|kind; kunung, konung|kön|heofon-kund; cynd, gecynd `Art, Natur, igenschaft, Ursprung, Nachkomme'; cyne- `königlich'; cyning, cyng; cyn; cennan `gebären'||kind; king; ken|kind; kining, kening, kinig, kenig||kind `Kind'; kuning m.; kunni|kint; cōninc, cueninc; conne, cunne n., f. `geslacht, afkomst, sekse, soort'|kind n., koning m., kunne f.|kint; cuning, cunig; kunni|||kind `Kind, Sohn, Nachkomme, junger Mann, Knabe, Zögling' (8.Jh.); knōt, knuot `Geschlecht'; kunni `Geschlecht'; kuning (8.Jh.), { kunig }; -kund|kint (-d-) st. n. 'kind, sohn (/m.) od. tochter'; künic, künec (/künc), md. kunic, kunig, kuninc, konig, kong, kung, koning 'könig'|Kind n., König m.|
1099|*kunnan- vb.; *kanjan- vb.; *knḗwa-; *kōnia-, *kunsti-z, *kúnϑa-, *kundī́, etc.|know, be able|1660|kunnan (kann; kunnum; kunϑa) prt.-prs. `know'; kannjan wk. `make known'; kunϑ-s (a) `known'; kunϑi n. (a) `knowledge'; CrimGot acc. sg. knauen tag `bonus dies'|knā-r `stark, tüchtig'; kȫn-n `klug, tüchtig'; kunna (kann) prt.-prs. `kennen, wisen; gönnen; können; zürnen'; kunn-r, kuδ-r `bekannt, kundig'; kenna wk. `bekannt machen, wahrnehmen, geniessen'|kjön adj.; kunna vb.; kunn adj.; kjenna vb.||kan vb.; känna vb.; dial. kjön(n) adj.; kunna vb.||kjön adj.; kunne vb.; kjende vb.|cennan `benachrichtigen, erklären, zuschreiben'; cnāwan (cnēow) `erkennen'; cēne `kühn, dreist'; cunnan (can(n)); cūϑ||know, kin, uncouth, can|kunna vb.; kost `kennis'; kūth; kēde `kondschap, verkondigung'; kanna, kena `erkennen, onderzoeken'||kunnan; kunst `kundigheid, wĳsheid'; kūth; ant-kennian `herkennen, erkennen'; kunst|connen, cunnen, cōnen `keknnen, weten, kunnen'; const, cunst, conste, cunste f. `kunde, vak, kennis, bekwaamheid, behendigheid, handwerk, wĳsheid, kracht'; cont `bekend'; conde, cunde f. `bekendheid, kennis, vertrouwelĳke omgang, kondschap, getuigenis'; kennen `kennen, herkennen, weten, oordelen, verklaren, getuigen, erkennen, belĳden'|kunnen; kond; kunde f.; kunst f., kennen|kund; kennan `kennen'|kunde `kennis, bekendheid'; kennen `kennen, weten, uitspraak doen, erkennen', künnen, kȫnen, können; kunt adj.; kunst||kunnan (kann) (8.Jh.) `geistig vermögen, wissen, kennen, verstehen; imstande sein, vermögen'; kennen (9..Jh., bi-, ir-kennan 8.Jh.); ir-, bi-, int-knāan `erkennen'; ur-knāt`Erkennis'; kund (9.Jh.) `kund, bekannt'; kunst (9.Jh.) `Kunst, Kenntnis, Weisheit'; beknuodilen `vernehmbar werden', einknuadil `insignis'; kuoni `kühn, kampflustig'; un-kundī `onkunde'|kunnen, künnen an. v. 'geistig vermögen, wissen, kennen, verstehn; können, imstande sein'; kennen wk. '(er)kennen'; kunt (-d-) adj.; kunst st. f. 'das wissen, die kenntnis, weisheit; kunstfertigkeit; kunst; erleuchtung des innern, ekstase'; kunt (-d-) 'kennen gelernt, bekannt geworden, kund'|können, kennen, kund, Kunst f.|
1100|*knidán- vb., *knu[d]ōn- vb.|press|1661||{ knoδa }|||knɔda vb.|||cnedan st.||knead|||knean|cnēden st.|kneden||knēden||knetan st. (9.Jh.)|knëten st. 'kneten'|kneten|
1101|*knappa-, *knappian- vb., *knappa-z|narrow, short|1662||knapp-r `krapp, von kurzen Wellen'; kneppa wk. `klemmen, kneifen'; knapp-r m. `Knopf'|knapp `enge, kurz, knapp'; kneppa vb.; knapp `Knopf'||knapp adj.; dial. knäpp; dial. knapp `Knopf'||knap `kärglich, spärlich'; knap `Knopf'|cnäp `Spitze, Kopf, Spange'|||knapp `Hügel; Absatz am Schuh'||||{ knap `eng anschliessend; spärlich; schnell; klug' }||knapp `gering, kurz, sparsam, hurtig'; knapp `Hügel; Absatz am Schuh'|||||Also various 'knobs'.
1102|*knī́fa-z, *knī[f]ō; *knīpan-, *knippōn-; *xnīpōn- vb., *xnipōn- vb.|knife, squeeze, pinch|1663||ben-kneif f. `Spiess', NIsl kneif `grosser Angehaken'; knīf-r m. `Messer'; hnīpa st. `den Kopf hängen; missmütig sein'|kniv; dial. knīpa `kneifen'; dial. nipen `schüchtern'||kniv||kniv|hnipian `den Kopf hängen lassen, sich neigen, missmutig, schläfrig sein'||||Fris kniif||cniif, cnief `lang, punting mes, ponjaard'; Kil. knĳpen; cnippen `knippen, in het nauw brengen'|knĳf n. `knipmes'; knĳpen; pnippen||knīf `Messer'; knippen `mit den Augen zwinkern'; knīpen; knippen `knipogen'|knippen `schneiden'; knipperig `karg, sparsam'|||[ kneifen zu MLG gebildet ], [ Kniff ]; dial. kneif `Messer'; kneipf `id.'|
1103|*knūwian- vb., *knū́wēn|crush, press|1664||knǖja (prt. knīδa, knūδa) wk. `klemmen, prügeln, schlagen'; knūi m. `Knochel'|knua vb.; knue, knuve||knoga `geizig sein'; dial. knoa `mit den Fingerknöcheln drücken'; knoge||kno(e)|cnūwian `im Mörser zerstossen'||||knōjen `drücken'||cnauen `zermahlen, zermalmen'|knoeien `pfuschen'|||||||
1104|*knukōn- vb., *knukēn, -ōn, *kniuka-z, *kniukōn|beat, press|1665||knoka wk. `schlagen, prügeln'|knoka `pressen, drücken'||dial. knɔka vb.||knuge `drücken, klemmen'|cnocian, cnucian `an eine Tür klipfen, im Mörser stossen'||knock||||||||||knochen wk. `mit der Faust schlagen, knuffen'||
1105|*knu[ϑ]an- vb., *knu[ϑ]ōn- vb., *knutian- vb., *knūtōn, *knūta-z, *knutēn, *knutta-z, *knuttēn; *knuϑēn etc.|knit|1666||knoδa wk. `kneten'; knūta f. `Knochenkopf; Knöchel zum Spielen'; knūt-r m. `Knoten'|knut|knodha st.|knɔda vb.; knuta sbs.; knut; dial. knott `kleines Tier'||knude sbs.|cnyttan `stricken, knüpfen'; cnotta `Knoten'||knit, knot|knutte `Knorren'|||cnoet `Knüttel, Klumpen', cnote `Knorren'; cnodde `Knopf, Knoten'; cnutten 'knoten, festmachen'|{ knot `Knäuel', knuttel Ballen gedrehtes Tau'; knoedel `Mehlklumpen }||knütten `stricken, knüpfen'||knoto 'geflochtener Riemen' (8.Jh.); knodo `id.' (9.Jh.), 'Fingerknöchel' (11.Jh.)|knote, knode wk. m. 'knoten, schlinge'; knützen wk. `quetschen, knuffen'; knotze wk. f. 'knorre'|Knoten m.; bair. knauzen `zusammendrücken'; Knüttel, Knödel|
1106|*knaufa-z, *knaupa-z, *knū[f]a-z, *knuppV-|lump, clod|1667||knǖfill m. `kurzes, eben herausgekommenes Horn'; kneyfa `drücken'; knüpr, knüpri n. `Klumpen'|dial. knūv m. `runde Spitze einer Masse'||dial. knūv m. `runde Spitze einer Masse'; knopp|||cnoppa|||knāp|a knūfe `Klotz, Klumpen, Knorren'; knūfen `stossen, pauffen'||cnop; cnoppe|knop||knovel `Knoten, Knöchel'; knoppe, knuppe 'Knoten, Bündel, Knospe'; knōp||knoph 'Knoren, Knüttel, Knopf' (9.Jh.); knouf|knopf st. m. 'knopf, knorre an bäumen, steinen; kugel; knoten, schlinge'; knübel st. m. 'knöchel am finger', pl. 'finger, faust'|Knopf m.|
1107|*knagan-, *gnagan-, *gnagōn- vb.|gnaw|1669||gnaga (gnagaδi; gnaginn) `nagen'|gnaga vb.||gnaga vb.||gnave vb.|gnagan||gnaw|||knagan (11.Jh.), gnagan|cnāghen st./wk.|knagen||gnāgen, knāgen||gnagan (9.Jh.), { knagan }, nagan (11.Jh.), binagan (9.Jh.) st.|nagen st. 'nagen, bezernagen, abnagen'|nagen|
