"NUMBER","PROTO","MEANING","PRNUM","OLITH","LITH","LETT","OPRUS","NOTES"
   952,"*ǯeĩd- vb. tr., *ǯeĩd-r-a- c., *ǯaĩd-a- c., *ǯeĩd-jā̂ f., *ǯaid-ī̂- (AC 2?), -ē̂- vb.","puddle (clay), form out (of clay)",  1922,"","žiẽsti (žiẽdžia, žiẽdē) `aus Ton usw. formen; Töpfe aus Lehm bilden', dial. žiẽzdra-s 'Schmierherd'; žaĩda-s 'Ofen, Herd', žaĩsti-s 'Feuerstelle (z. B. in der Küche, im Ofen)'; židinī̃-s 'Herd, Feuerstelle, Aschengrube, Kamin, Brennpunkt', prieži(e)dà 'Vorderseite des Ofens'; židuika, židuika-s 'Milchtopf'","zìest (-žu, -du) 'schmieren; etw. Dickflüssiges aufstreichen; einen Ofen mit Lehm verschmieren', zìeža\H2\h 'Schmierfink'; zaîdît, zaidêt 'schmieren'","siduko 'Siebtopf' V. 353; seydis 'Wand' V. 198",""
   953,"*dū̂-l-ia- (1) c., *dū̂-l-jā̂ (1) f., *dul̂- vb. inch.; *dwā̃-l-a- c., *dwel̂- vb. inch., *dū̂-m-a- (1) c., *dū̂-m-a- adj., *du-j-ā̂ f., *dū̂- vb. intr.","smoke",  1927,"","dū́li-s, dū́lia `Nebel, Dunst, Baummoder zum Beräuchern der Bienen'; dùlti 'morsch, wurmstichig werden, vermodern, verwittern, von Kräfter kommen'; dvō̃la-s 'schwerer Geruch, Gestank', dvélti 'die Luft verderben'; pl. dū́mai `Rauch, Qualm'; dū́ma- `dunkel-, schwarzbraun (vom Rindvieh)'; dujà `Stäubchen, feiner Regen, Nebel, Staubregen, feinstes Mehl, Dunst'; dùiti (dų̃ja, dùjō) 'verrückt werden, Verstand verlieren, benebelt werden, schimmelig, kamig werden, sich mit Nebel, Fliegenschmutz bedecken'","dũlãjs, dũle, dũlẽjs, dũlis `Räuchermasse zum Forttreiben der Bienen; eine aus Lumpen und Stroh gemachte, räuchernde Fackel zum Forttreiben der Bienen; am einem Ende gespaltenes und Glimmendes Stück Eschen- od. Ebereschenholz, Art von Fackel, Lunte'; dũlêt (-ēju), dūl̨ât 'mit dem dūlājs räuchern, um die Bienen fortzutreiben, usw.'; pl. dũmi 'Rauch, Qualm'; dũms `dunkelrot, dunkelrau', dūmals, dũmal̨š `rauchfarbig, dunkelgrau; dunkelbraun, schwarzbraun'; dũmal̨a, dũmala 'dunkel-, schwarzbraune Kuh, rote Kuh mit braunem Kopfe'; dumjš, dums 'dunkelbraun, fahl'","dumis Voc. 39 'Rauch'",""
   954,"*dwā̃k- (*dwak-ja-) vb., *dwā̃k-a- c., *dwā̃k-ā̂ f., -ia- c., *dwak-a- c., -ā̂ f., *dū̃k-a- c.","breath, smell",  1929,"","dvō̃ka-s, dvōkà, dvō̃ki-s 'Gestank', dvãka-s 'Atem, Geruch, Gestank, verdorbene Luft', dvō̃kti (dvō̃kia/dvãkia, dvō̃kē) 'einen ekligen Geruch verbreiten, stinken', dvē̃kti-s '(schwer) atmen, keuchen'; dū̃ka-s 'Hauch, Atem, Gestank'","dvaka 'übler Geruch'","",""
   955,"*dwan-a- c, *dwan-ā̂ f.","dust",  1932,"","","dvans, dvana, dvanums `Dunst, Dampf'","",""
   956,"*dwē̃s- (*dwes-ja-) vb., *dwes-el-jā̂ f., *dwas-jā̂ f., *dwas-a- c., *dwas-n-ā̂ f., *daũs-ā̂ f., *dus-a- c., *dūs-ō̂- vb., *dus- vb. intr.; *dū̂s-jā̂ (1)","breathe; breath, spirit",  1934,"","dvē̃sti (dvẽsia, dvē̃sē) `den Geist aushauchen, (von Tiere) verenden, krepieren', dvasià `Geist, Atem', dvãsa-s 'Geist', caus. dvasìnti, dvēsìnti 'verhungern lassen, Hungers sterben lassen', dvasnà 'Krepieren, Ende, Tod; Aas, körperlich heruntergekommenes Geschöpf', dvasḗti 'schal werden (vom Bier)'; pl. daũsōs 'Land der Seligen, Paradies'; dvō̃gzti (dvō̃zgia, -gē) 'brennen, stechen'; dùsa-s `Atembeschwerde, Atemnot, Asthma, Dunst, Seufzer, Schlag, Apoplexie', dūsúoti 'atmen'; dùsti (dū̃sta/dial. duñsa, dùsō) `ausser Atem kommen, ersticken, erlöschen, ausgehen (vom Feuer)', caus. dùsinti; dūšià 'Seele, Empfindung, Herz'","dvèst/dvest (dvèšu/dvešu, dvèsu/dvesu) 'hauchen, atmen; hauchen, leise sprechen; schwer atmen, keuchen, stöhnen' [in Drsth. und Ruj. dvest 'schwer atmen' und dvèst 'hauchen']; dvẽsele 'Atem; Seele; lebendes Wesen'; dvaša `Hauch, Atem, Odem; lebendes Wesen (bibl.); Dampf, Dunst'; dusa 'Ruhe, Schlummer, Schlaf', dust (-šu, -su), dusêt (-u, -ēju) 'keuchen, atmen; schlummern, ruhen; schimmeln'; dusmas pl., dusma, dusme `Zorn, Groll'; dũša 'leibliches und selisches Befinden'","nādewisin 'Seufzen' Ench. 57, 7; dūsi 'Seele'",""
   957,"*daũg-a- adj., *daũg-ia- c.","many",  1935,"","daũg, daugi(a) `viel', daũgi-s 'Vielheit'","daũdz, daudzi 'viel'","",""
   958,"*deg- (*deg-a-) vb. tr./intr., *dē̃g-ia- c., *deg-es-ia- c., *dag-a- c., *dag-ia- c., *dag-u- adj., *dag-l-ā̂ f., *dag-l-ia- c., *dag-l-u- c., *deg-l-a-, *dag-l-a- adj., *dag-[a]- m., *deg-ut-a- c., *deg-ō-t-a- c.","burn",  1937,"","dègti (dẽga) `(intr.) brennen, (tr.) anzünden, in Brand stecken'; dē̃gi-s 'Brandmal', pl. degesiaĩ, degē̃siai, degèsis 'Augustmonat', dãga-s, dagà '(Sommer)hitze, schwüle Ernte', dagī̃-s 'Distel', dagù- 'entzündlich, brennbar, brennend, bissig, ätzend, jähzornig, feurig'; degla-, dãgla- 'schwarzgescheckt (von Schweinen)'; degùta-s 'Teer'","degt 'brennen (tr., intr.)', dagla (dęgla), daglis (deglis) 'Birkling, Birkenschwamm und der aus diesem bereitete Feuerschwamm, Zunder', daglus 'Brandflecken'; dęgls 'brandfleckig, feuerfarbig'; dęguts, dęguots 'Birkenteer'","dagis 'Sommer' Voc. 13, dagoaugis Voc. 638 'somirlatte (= Spross, wie er in einem Sommer wächst)'",""
   959,"*deb-īk-a- adj., *dab-l-a-, -ia- adj.","big",  1938,"","","dabl̨š 'stark, üppig', dàbls `schlank, stark'","debīkan `gross'",""
   960,"*dum̂- vb. tr., *dum̂-s-l-iā̃ (1) f.","blow, swell",  1939,"","dùmti (dùmia) `blasen, wehen, schnuppern', dial. dùmšlē `Falte, schwache, aufgeblasene Stelle in Gewebe, Buckel'","","dumsle `Harnblase' V. 134",""
   961,"*dōb-a- -ia- adj., *dō*dōb-a- -ia- adj., *dōb- vb., *dōb-ā̂ (1/2) f., -iā̃ f., *dōb-ā̂ (1/2) f., -iā̃ f.","hollow out",  1940,"","dúobti 'aushöhlen, (einen Weg) ausfahren', duobà 'Höhlung im Baumstamm', duobē̃ 'Grube, Loch', žem. dúoba 'Getreidedarre, Wohngebäude'","dùobt (-bju, -bu) 'aushöhlen, schrapen'; duôbjš, dùobjš, duôbs, dùobs\H2\h 'tief, dumpf', duôbs, dùobs\H2\h 'hohl'","",""
   962,"*dang-ā̂ f.","bog, marsh",  1941,"","","","","Kuron. > Lett dañga `kotige Pfütze, weiches morastiges Land, durch Fahren entstandene Gruft', pl. dàngas\H2\h 'schräge Schleuderstelle auf dem Winterwege, unebene Stelle, von drei Seiten mit Morast oder Wasser umgebenes Stück Land'"
   963,"*drag-ia- c., *drag-iā̃ f.","sediment",  1942,"","drãgēs pl. `was sich beim Kochen des Stintszwecks Trankgewinnung am Boden absetzt, Dragges; Hefe'","dradži pl. `Überbleibsel vom geschmolzenen Fett'","dragios pl. `Hefe' Voc. 386",""
   964,"*dir̃ǯ-a- c, *dir̃ǯ- vb. intr., *der̂ǯ-jā̂, *dir̂ǯ-jā̂ f., *dirǯ-tl-a- adj.","strengthen; belt",  1944,"","dir̃ža-s `Riemen', dir̃žti (-žta, -žō) 'zäh, hart, unzerbrechlich werden'","dir̂ža 'lederner Gürtel; Gürtel, Riemen', derža (der̃ža N.-Peb.) 'Frondienst; schwere Arbeit; Fronarbeiter; Standhafter' + 'kurze Peitsche, dereb Stiel aus einem Ziegen- oder Hasenfusse besteht Setzen; grosse Peitsche, Zi geunerpeitsche; Schürzenband'","dīrstlan `stattlich' Ench. 73, 10",""
   965,"*eit-l-u- adj.","agile",  1947,"","eiklù-, dial. aiklù- 'flink, behende'","","",""
   966,"*dir̂b- (*dir̂b-a-) vb., *dar̂b-a- (2) c.","work",  1949,"","dìrbti (dìrba) `arbeiten', dárba-s `Arbeit, Tat, Werk'","dar̂bs 'Arbeit, Werk, Tat', { dial. dirbt 'arbeiten'}","",""
   967,"*driñs- (*dreñs-a-) vb., *drañs-ā̂ f., *drañs-u- adj.; *dir[s]-a- adj.","adroit, daring",  1950,"","drį̃sti (drę̃sa/drį̃sta, drį̃sō) `wagen', drąsà `Dreistigkeit', drąsù- 'mutig, keck'","drùošs, druoss `mutig, dreist; zuverlässig, sicher, gesichert'","dyrsos gyntos 'fromman (= tüchtiger, zapferer Mensch)' Grunau 80",""
   968,"*dal̃g-iā̃ f., -ia- c., *dilg-u- adj., *dil̂g-iā̃ f., *dil̂g- vb. intr.","sharp, sharp obj.",  1951,"","dal̃gē, dal̃gi-s 'Sense, Schwanzfeder des Hahnes'; dilgù- `stechend, brennend', dìlgē `Nessel, Brennessel', dìlgti `von Nesseln verbrannt werden'","dalgs 'Sense'","doalgis Voc. 546 `Sense'",""
   969,"*ǯwel̃g- vb. tr., *ǯwil̂g-ē̂- (ǯwil̂g-a-), *ǯwal̃g-a-, *ǯwal̂g-a- c., *ǯwalg-u- adj.","look, shine",  1952,"","žvel̃gti (-ia, -ē) `(wonach) blicken, hinschauen', žvilgḗti (žvìlga) 'glänzen, flimmern', žvalgī́ti `mehrfach umherblicken, Ausschau halten; auskundschaften', žval̃ga-s/žválga-s 'Späher, Kundschafter; Besichtiger, wer von seiten der Braut vor der Jochzeit den Hof des Bräutigams besichtigt', žvalgù- 'umsichtig, genau beobachtend'","zvildzêt (-u, -ẽju) `leuchten, flimmern, von einer schnellen Bewegung gesagt'","",""
   970,"*del̃b- vb. trans., *dal̂b-ā̂ (1), *del̂b-n-ā̂ (1) f., *dal̂b-a- (1) c., *dil̂b-ia- c., *dul̂b-a- (1) adj., *dulb-t-a- n., *del̂b-a- (1) m.","hollowing tool",  1953,"","dálba, délna 'Hebel, Hebeisen, Brechsteigen, plumper Mensch, Faulpelz'; dìlbi-s; del̃bti 'die Augen niederschlagen', dùlbi-s 'ungeschickter, nicht finkert Mensch'","dal̃ba, dal̃bs, dalbe, dal̃bis 'Stamm des Baumes; Fischerstange zum Scheuchen der Fische; Stange zu Stossen, Rudern, Anhalten der Böte; Stange zum Undrehen von Balken und zum Verbinden von Fudern; Stange, womit das Korn in der Riege gelockert wird, damit es von der Wärme durchdrungen werden könnte; Ofenkrücke; zweizinkige Gabel zum Aufladen der Garben; Gartengabel; langer Stiel einer Harke od. Gabel' + 'Höhlung, die durch das Ausfaulen des Markes im Baume entstanden ist' + 'unachtsamer Mensch'; dulburis, dul̃burs 'Stotterer, Polterer, Radebrecher; zerstreuter Mensch', dùlbs\H2\h 'dumm'; delbis 'zweizinkige Gabel zum Gartengeben', dęlbs 'Oberarm', pl. dęl̃bi 'Stangen zum Tragen'","dalptan `Durchschlag, spitzes Werkzeug, und damit Löcher zu schlagen' Voc. 456",""
   971,"*dun-d-ē̂- vb., *dun̂-d-in̂- vb., *dūn-ā- vb., *dun-ē̂- vb., *dun-jā̂ f.","thunder",  1956,"","dundḗti `dröhnen', caus. dùndinti; duñgzti (dų̃zgia, dų̃zgē) 'hohl dröhnen, brausen', dial. dunzgḗti 'dröhnen', dial. (Niemi-Sab., #348) sudūnō upela, dūnō 'es dröhnte das Flüsschen, es drōhnte'","dunêt (-u, -ẽju) 'dumpf tönen, brausen, tosen, dröhnen', dun̨a 'Getöse'","",""
   972,"*drē̂ǯ- vb. tr., *dreñǯ- vb. tr.","scratch",  1960,"","drḗžti (-ia), drę̃žti (-ia) `reissen, abnutzen'","","",""
   973,"*drē̃b- (*dreb-ja-) vb. tr., *drib- vb. intr., *drāb-l-ia- c., *drab-n-ù- adj., *dreb-ul-ia- c.; *drim̃b- vb. tr., *dram̂b-l-ia- (1) c., *drem̃b-l-ia- c.,","ruined, weak, flabby, etc.",  1965,"","drē̃bti (drẽbia, drē̃bē) `etw. Dickfüssiges werfen, so dass es spritzt', drìbti (drim̃ba, drìbō) `in Flocken niederfallen, hinplumpsen, schlaff, schlapp werden, zusammenklappen', drō̃bli-s 'schlackeriges Wetter', drabnù- 'drückend, schwül, abgespannt, schlaff'|| dramblī̃-s, dremblī̃-s 'Dickbauch, Schnerbauch, plumpes, schwerfälliges Geschöpf', drim̃bti (-ia, -ē) 'unter die Füsse treten, zerstampfen'","drę̃bulis 'Schlackenwetter', pl. drę̄bul̨i 'grosse, feuchte Schneeflocken' || dram̃blis 'Vielfrass, Grossesser'","",""
   974,"*pis- (*pis-a-) vb. tr., *paĩs-ī̂- vb., *peĩs-t-ā̂ f., peĩs-t-a- c.,","pound, thresh",  1966,"","paisī́ti (paĩsō) 'die Grannen abschlagen, enthülsen'; piestà (acc. piẽstą), ostlit. piẽsta-s 'Stampfe, Stampfmühle, Mörser', pìsti 'coire cum femina'","pàisît 'Flachs brechen; Flachs schwingen; schütteln, prügeln'; pìesta, piests 'Geschirr, darin gestampft wird; hölzener Mörser; Mörserkeule, Stampfe'","",""
   975,"*paus-t-a- adj.","wild",  1967,"","","","pausto f. `wild'",""
   976,"*peĩč- vb. tr., *paĩč-a-, *peĩč-a- c., *peĩč-ā̂ f., *paĩč-in̂- vb.","draw a black line; write",  1973,"","piẽšti (-ia, -ē) `mit Kohle Linien ziehen, (schwarze Muster) zeichnen, mit Zeichnungen ausschmücken verzieren', caus. piẽšinti; paĩša-s, piẽša-s `Russ-, Schmutzfleck; Kleckser, Schmierer, Sudler, paišà 'Staub-, Russbrand', paĩšinti 'berussen, usw.'","","peisāton 'geschrieben', 3 sg. prs. peisāi `schreibt'",""
   977,"*paĩk-a- adj., *paĩk- vb. inch., *paĩk-in̂-, *paîk-in̂- vb., *pik-t-a- adj., *pīk- (Lith CIRC ~ Lett CIRC/AC, 1) vb. intr., *paik-a- c., *paik- vb. inch., *peîk- (1) vb. intr.","easy, fool, deceiving",  1975,"","paĩka- `dumm, töricht, albern, einfach, eingesinnig, halsstarrich', paĩkti (-sta, -ō) `verdummen', paĩkinti 'dumm machen, verdummen', páikinti 'jmd. einen Dummkopf schelten, verhätscheln, verzärteln, verwöhnen, verziehen'; pìkta- `böse', pī̃kti (-sta) `zürnen, böse, zornig sein'; pigù-, pìga- 'leicht, einfach, wohlfeil, billig'","paiki pl. 'Scherze', izpaikt 'sich verwöhnen', paîkt\H2\h 'verzärtelt, verhätschelt werden', peĩkt (peĩkstu, peĩku) 'sich verwöhnen', pikts 'böse, scharf, verbissen, heftig', pîkt (-kstu, -ku), pìkt\H2\h 'zornig, böse werden'","paikemmai 'wir trügen', popaikā 'er betrüge', 1 pl. aupackēmai Ench. 26, 33 'abdringen'",""
   978,"*peû- (1) vb. tr., *peû-t-uw-a- (1) c., *pǖ̂-tl-a- č., *peû-jā̂ f. (1), *peũ-jā̂ f.","mow, cut",  1977,"","piáuti (-ja/-na, piṓvē) 'schneiden, mähen, ernten, belästigen, quälen, peinigen, beissen, zerreissen', piáutuva-s 'Sichel', piū̃vi-s 'Schnitt', piū́kla-s `Säge'","pl̨aũt (pl̨aũju/-nu, pl̨ãvu) 'mähen, ernten', pl̨aũja, pl̨àuja 'Ernte'","",""
   979,"*pō̃č- / *pō̂č- (2) vb. tr.","adorn, clean",  1980,"","puõšti (-iu, -ē) `schmücken, putzen', púošti KZ. LII, 253 'ds.'","pùost, puôst Gr.-Buschhof, Neuenb. (-šu, -su) `schmücken, putzen'","",""
   980,"*peč- vb. tr., *pač-jā̂- vb.","shear, pluck",  1981,"","pèšti `zupfen, rupfen, ausreissen, ausziehen, abreissen, pflücken, (Haare) raufen', frequ. pašiṓti","pestiês (-šuôs, -suôs) 'über einen mit Worten herfallen; Anlass zum Streit suchen'","",""
   981,"*kep- (*kep-a-) vb., *kep- vb. intr.","bake",  1983,"","kèpti (kèpa, kẽpē) 'backen, braten; gebacken, gebraten werden'; kèpti (kem̃pa, kẽpō) 'gebacken, gebraten werden; gerinnen (vom Blute)'; caus. kẽpinti","cept (cępu/dial. cepju, cepu) tr., intr. `backen, braten'","pektis `Ofenschauel'",""
   982,"*pet- vb. intr.","emaciate",  1986,"","pèsti (peñta, pẽtō) 'sich erschöpfen, abmatten'","","",""
   983,"*pen-a- c., *pen-ē̂- vb.","food, feed",  1987,"","pẽna-s 'Nahrung, Futter, Kost', pl. penaĩ 'Gift', penḗti 'mästern, füttern, nähren'","penêt 'verwöhnen'","",""
   984,"*praũs- vb. tr., *praûs-l-ā̂-; *spraûs-l-ā̂- (1) vb.","wash",  1990,"","praũsti (-sia, -sē) '(das Gesicht, den Körper, ein Kind) waschen', praustuvē̃, praustùvē 'Waschgeschirr, -becken'","praušl̨ât, praũslât, -uôt 'leise, verstohlen lachen', praûsluôt\H2\h 'prusten'; spraũslât, spràuslât, sprausluôt, spraûšl̨uôt\H2\h tr., intr. 'prutzen, spritzen'","",""
   985,"*pir̃k- (*per̃k-a-) vb. tr., *prek-iā̃ (1?) f.","buy",  1995,"prekē "?" Daukša Post. 51\L3\l\L4\l","pir̃kti (per̃ka) `kaufen'; prẽkē, prekē̃ 'Handel, Kauf(preis)', Ware'; prekià 'Kaufpreis' ME II: 384","pìrkt (pę̄̀rku/pìrkju\H2\h, pìrku/pìrcu) 'kaufen'; prece 'Ware; Freierei'","",""
   986,"*pir̃č- (*per̃č-a-) vb. tr., *pir̃č-l-ia- m., -iā̃ f., *prač-ī̂- vb.","ask, ask in marriage",  2000,"","pir̃šti (per̃ša, pir̃šō) `jmd. ein Mädchen zufreien, für jmd. um die Hand eines Mädchens anhalten'; prašī́ti `bitten, fordern, verlangen', dial. 'fragen'","pir̂slis\H2\h, f. pir̂sle\H2\h 'Freiwerber(in), der das Brautpaar zum Pastor begleitet'; prasît (-u [/-ĩju], -ĩju) tr., intr. 'fragen, bitten; fordern; bitten, laden, rinladen, auffordern; verlangen (intr.)'","",""
   987,"*pir̂č-i-, -ia- c.","breast, chest",  2001,"","pìršīs, pìršiai pl. 'Brust des Pferdes; weibliche Brust'","","",""
   988,"*pir̂d- (*per̂d-a-) (2) vb.","fart",  2004,"","pérsti (pérdžia, pérdē) 'furzen'","pir̂st (pęr̂du/*per̂žu, pir̂du) 'furzen, stänkern'","",""
   989,"*par̃p- vb. intr., *pur̃p- vb. intr., *pur̂p-ē̂- (2) vb., *pur̂p-ul-ia- (1) c.","swell",  2005,"","par̃pti (-sta, -ō) `aufdunsen', párpeli-s 'Mehlkloss, Knödel';  pur̃pti `anschwellen, aufgedunsen werden'","pur̂pêt 'morsch, mürbe werden, im Innern verfaulen', pur̃pul̨i, pur̂pul̨i\H2\h pl. 'Nasenschleim', pùrpas\H2\h pl. 'Ausfluss aus der Nase'","",""
   990,"*per̃s-l-ā̂, *par̃s-l-ā̂ f., *purs-l-ā̂ f., *pur̃s-l-a- c","bubble, foam, small swelling",  2006,"","purslà `aufgespritztes Wasserbläschen; Geifer, Schwätzer', pl. pur̃slōs 'Gischt, Schaum, Spritzwasser, Geifer'; pur̃slas, pl. pur̃slai/purslaĩ = purslà, pur̃slōs; purzlà 'wen durch Verschütten, Verspritzen verunreinigt; beschmutzte, schmutzige Person'","pā̀rsla, (/ pãrsla), pę̄̀rsla 'Flocke von Schnee, Eisnadel in der Luft, Flocke von Asche; Flocke von Wolle'","",""
   991,"*pil̂- (*pil-a-) vb. tr., *pil̂- (2) vb. intr.; *pil̂-t-uw-a- c., *pil-ē̂- vb., *pil̂-d-ī̂- (1) vb.","pour, drip",  2008,"","pìlti (pìla/dial. pìlia, pÍlē) `giessen, (aus)schütten, (aus)füllen', pìltuva-s/piltùva-s `Trichter, Schöpfeimer, Giesskanne'; (?) pil̃vas 'Bauch' ("Ausgefülltes"); peldḗti 'schwimmen'","pil̂t\H2\h (pil̂stu\H2\h, pilu) Dond. intr. 'tröpfen', pilêt (-u, -ẽju) intr. `tröpfeln', pilêt (-ẽju) tr. 'träufeln, Tropfen machen, tropfenweise giessen'; peldēt 'schwimmen'","",""
   992,"*pil̂-n-a- (1) adj.; *pil̂-d-ī̂- (1) vb.","fill",  2012,"","pìlna- `voll'","pil̃ns 'voll'; pil̃dît (-u, -ĩju) 'füllen, voll machen; ausfüllen, erfüllen'; [? pilt (prs. pilstu) 'voll werden' U; nach U. kommt es aber "höchstens" in der III p. prs. in der Zusammensetzung mit pie- vor <...> das aber zu pilt II <`tröpfeln'> gehören könnte]","pilnan 'ganz' Ench. 45, 27, imp. 2 pl. erpilninaiti 'erfüllet!'",""
   993,"*bezd-ē̂- (*bezd-a-) vb.","discharge wind",  2014,"","bezdḗti (bẽzda) `furzen, fisten', bìzda-s `Arsch', bìzdinti 'die Hände auf dem Arsch zusammenlegend einhergehen, mit Hervorstecktem Hinternherumgehen'","bezdêt (-u, -ẽju) 'fisten'","",""
   994,"*pō̃-t-ā̂- f., *pō- vb.","drink, beverage",  2019,"","puotà `Trink-, Zechgelage, (Fest)gelage, Gastmahl'","","poūis m. `das Trinken'; puietti 'ihr trinkt', imp. poieiti (pogeitti, puieyti) 'trinket', poūt, pūton (poūton), poutwei `trinken', pogeys 'trinkt' Grinau 14; poadamynan Elbinder Voc. 695 'süsse Milch'",""
   995,"*peĩ-m-ō̃ (-en-) m.","herdsman",  2020,"","piemuõ `Hirt(enknabe)'","","",""
   996,"*pī̂- vb. intr., *pī̂-d-ī̂- vb., *peî-n-a- (1) c., *peî-n-ā̂ (1) f; *paj-a- c.","have milk (about a cow); milk; feed",  2022,"","pī́ti (pī̃ja/pī̃na, pìjō) 'melk werden, Milch bekommen (von Kühen), feucht und weich werden (vom Erdboden)', papìjusi kárvē 'beim Melken die Milch nicht mehr zurückhaltende Kuh', caus. pī́dīti kárvę 'das Euter einer Kuh zum Milchgeben reizen, bzw. beim Melken abwarten, bis die Kuh die Milch herunterlässt'; píena-s 'Milch'; pl. pajaĩ 'Bienenbrot, Bienenharz, Stopfwachs'","piẽns 'Milch'; piẽnas N.-Peb. "молока, молочай; спайнвй шов (в дереве)' Spr.","",""
   997,"*pauš-k-ul-iā̃ f., *pa=paũš-k-a-, *=paus-k-a- c., *puš-k-a-, *pū̃š-k-a-, -ul-a- c., *pūs-n-ā̂- vb., *pus-l-iā̃ f., *pū̃s-l-iā̃ f., -ia- c., *pus-n-i- (2) c.","swell",  2025,"","pauškulē̃ 'Haut-, Gesichtbläschen, Finne, Pickel', pãpauška-s, -ska-s 'Schwiele, Wasserblase auf der Hand', pùška-s, pū̃ška-s, pùškula-s 'Haut-, Gesichtsbläschen, Finne, Pickel, Brandblase', pūsnṓti 'anfächeln, leich wehen', puslē̃ 'Blase, empfindliche Person'; pusnì-s (gen. -iẽs), dial. (Dusetos) pùsni-s 'Schneewehe, zusammengedrehte Schneemasse, Schneesturm, -gestöber'; dial. pl. puškai 'Tannenzweig'","pùslis 'Blase; Urinblase'; pusks 'Büschel, Troddel', pušk̨is, pušks 'Blumenstrauss, Bänderstrauss; Schmuck'","",""
   998,"*pū̂- (1) vb. intr., *pū̃-j-a- adj., *pū̂-l-ia- c., *peû-l-a-/*peũ-l-a- c., *puw-u- adj.","rot",  2026,"","pū́ti (pū̃va/pū̃na/pū́sta, pùva) `faulen, modern, verwesen, vereitern, verfallen, faul im Bett liegen', pū̃ja- 'verfault', pl. pū́liai `Eiter', piáula -s, piaũla-s 'verfaultes, morsches Holz', pū́tra 'etwas Angefaultes, körperlich verfallene Person', puvù- 'faulbar, verweslich'","pũt (pũstu, puvu) 'faulen, modern; lange schlafen, faulenzen'; pũznis 'Fauliges, Eiterndes; Lagerstätte eines Tieres'","",""
   999,"*plak- (*plak-a-) vb. tr., *plak-t-a- c., *plak-t-uw-iā̃ f., -a- c., *plāk-ia- c.","beat, lash, switch",  2032,"","plàkti (plãka, plãkē) `(mit der Rute, einem Strick, einem Riemen) schlagen, peitschen, geisseln, schlagen (in allgeminem), prügeln, klopfen, branden, wogen', plãkta-s 'grosser, schwerer Hammer, Ladestock'; plaktùva-s, plaktuvē̃ 'Schlegel, Schläger, Klopfer, usw.'; plō̃ki-s `Schlag, Streich'","","",""
  1000,"*plaû- vb. intr., *plu-t-a- c., *plō̂-s-t-a- (2) c., *plō-d-a- c., *plaw-in-ā̂- , *plew-in-ā̂- vb., *plū̂d- vb. intr., *plū̂- (/ *plū̃-) vb. intr., *plud-ē̂- vb., *plud-a-, -in-ia- c., *plaû-s-t-a- c.","flow, overflow",  2033,"","plū́sti (-sta, -dō) 'strömen, fluten, in grosser Menge fliessen, schwatzen, plappern'; plū́ti/dial. plū̃ti (plū̃na, plùvō) 'übervoll sein, überfliessen, auseinanderfliessen'; pláusta-s 'Fähre, Bretterbebrückung, Bretterboden auf dem Wasser'; plúosta-s 'dass.'; { pláuti, -ja `schwimmen' }","pluts 'Floss, Prahm', pluôsts `Floss, Holzfloss'; pluoste 'Fähre, Flossfähre, Prahm', pluods, pluoda, pluôde\H2\h 'Flottholz, Schwimmer am Netz';  plavinât, plevinât 'wellenförmig bewegen, flattern machen, (die Flügel) bewegen'; pludēt, pluduôt 'strömen; (obenauf) schwimmwn, geschwemmt werden', pludi pl. `Flotthölzer, Schwimmhölzer an Netzen; auf der Oberfläche des Wassers schwimmende Seitenbretter eines Blockbootes'","","Cf. 1001, 1002."
  1001,"*plaû- vb. tr., *plaû-d- (2) vb. tr.","wash, pour",  2034,"","pláuti (pláuja/pláuna, plṓvē) `spülen, schwenken, auswaschen, schlämmen'; { plū́ti-s `offene Stelle im Eise' }; pláusti (pláudžia,  -dē) `spülen, waschen'","plaûst (-žu, -du) `ausgiessen, nass machen (namentlich durch Wasser); ausschwatzen, kund machen'","","Obviously same root as *plaû- 'flow'."
  1002,"*plaũk- vb. tr., *plaũk-t-a- c., *plaũk-s-m-a- c., *plauk-a- c.","swim, float",  2033,"","plaũkti (-ia, -ē) `schwimmen, durch die Luft dahunfahren, dahinschwimmen, getragen werden, (herbei)strömen, scharenweisw kommen'; plaũkta-s, plaũksma-s 'Bretterboden auf dem Wasser, Floss, Furt, Waschbank'","plauks 'Wischtuch, Scheuerlappen'","","A suffixed variant of *plaû- (however, with unexplained metatony)."
  1003,"*plē̂č- (2) vb. tr., *plēč-ā̂ f.","peel, tear",  2037,"","plḗšti (-ia, -ē) `reissen, zerren, abrupfen, zum Zurspringen bringen , rauben, plündern, usw.'; plēšà 'abgerissener Holz- oder Rinderstreifen, Span, (Dach)schindel, Bastfaser'","plêst (-šu, -su) 'reissen, raufen; spleissen; schinden; einen Neubruch zum erstenmal pflügen'","",""
  1004,"*pul̂- (*pō̂l-a-) vb. intr., *pul-ti- c., *pal- vb.","fall",  2041,"","pùlti (púola/žem. pul̃na, apipúnla, púolō/púolē) `fallen'; pultì -s 'Sichdrängen, Andrang'","pult (puolu, pulu) (älter) `fallen'","aupallai `findet', pl. m. ptc. prt. act. aupallusis",""
  1005,"*brañg-t-a- c.","",  2046,"","brañ(k)ta-s `Strangholz am Pferdegespann, Ortscheit, Holzscheit, das den Sсhweinen um den Hals gebunden wird'","","",""
  1006,"*blē̂- (2) vb.","bleat",  2048,"","","blêt (-êju) `blöken, meckern'","",""
