"NUMBER","PROTO","PRNUM","MEANING","RUSMEAN","REFERNUM","HITT","IND","AVEST","IRAN","ARM","GREEK","SLAV","SLAVNUM","BALT","BALTNUM","GERM","GERMNUM","LAT","ITAL","CELT","ALB","TOKH","REFER","COMMENT"
1458,"*wlAis-k-",   0,"twig, rod","прутик, розга",   0,"","vleṣká-, bleṣká- m. `snare, noose'","","","","","*lēska `Styraxbaum'; *lēsā́",  7189,"",     0,"? *wliz-já- vb.",   971,"","","OIr flesc `Rute' (< *wliskā)","","","WP I 298 f",""
1459,"*(e)wlēr-",   0,"belt","ремень",   0,"","","","","lar `Strick, Schnurr (zum Fesseln, Binden, Fangen, Würgen)'","pl. éu̯lēra n., dor. (Epich.) pl. áu̯lēra n. `Zügel'","",     0,"",     0,"",     0,"lōrum, -ī n. `Riemen'","","","","","WP I 298 f",""
1460,"*walk-, -g-",   0,"to twist","крутить, валять",   0,"","valgati `to spring, bounce, leap', saṃ-valgate `to wallow, roll', abhi-valg- `to bubble up', valgā f. `bridle, rain'; (?) valgú- 'handsome, attracting' (*'moving')","","","","","",     0,"*wal̂g-a- (1) c.",   713,"*walk-a- n., *wilk-a- vb., *walk-a- vb.; *wilg-á- vb., *walg-á- vb., *walg-ia- vb.",   972,"valgus, -a `säbelbeinig'","","","","","WP I 298 f",""
1461,"*(a)welk-",   0,"to drag","волочь",2134,"","","aipi-, frā-varək- `ziehen, schleppen'","","","ep. acc. sg., pl. ō̂lk-a n., att. álok-s `Furche', ion., Pind. âu̯lak-s, EM ō̂lak-s `id.', pl. ólok-es  (~ ṓ-) `áulakes' (Hes.)","*velkǭ, *velktī; *volkъ",  2180,"*wil̃k- (*wel̃k-a-) vb. tr., *wil̂k-ā̂- (1) vb.",   714,"",     0,"","","","","","WP I 306",""
1462,"*(a)wes- <PIH *H->",1339,"to dwell, to be","жить (wohnen), быть",   0,"hwis- / hwes- (I) 'leben' (Tischler 264ff); husk- (I) 'warten' (Tischler 316 with doubt)","vásati, ptc. uṣita- `to dwell, live, remain, abide'; vasatí- f., vāsá- m. `staying, remaining'","vaŋhaiti `wohnt'","","goy `ist, existiert, ist vorhanden', goy (i-St.) `seiend, Sein, Gut, Habe'","aéskō, aéskonto, ep. aor. ā́esa nǘkta `zubringen die Nacht'","",     0,"",     0,"*wís-a-/*wiz-á- vb., *wis-t-i- c., *waz-ṓ- vb., *wēz-í- adj.",   973,"","","*westi-: OIr feiss `Bleiben, Rasten', *wosto-: foss `Bleiben, Ruhe'; *woseti: foaid `nächtigt, bringt die Nacht zu'","","A wṣe, B yṣīye (PT *w'äsi-) 'night' (Adams 521); B wäs- 'dwell, abide' (597)","WP I 306 f",""
1463,"*wes-",   0,"to eat","жрать",2185,"wesi- c. 'Weide, Viehweide', wesĳa- (wisĳa-) 'weiden', westara- c. 'Hirt' (Friedrich 253)","{ anuvāvase `hat aufgezehrt', vástoḥ `vor dem Fressen' }","vāstra- `Fresse, Maul'","","","","",     0,"",     0,"*wís-a- vb., *wiz-ṓ- vb., *was-tl=, *wiz-n-í- c., *wis-t-i- c.",   974,"vescor, vescī (~ -ē-) `sich nähren; geniessen'","","*wewos-: MIr do-feotar `sie assen'; feis `Essen', Cymr gwēst `Schmaus'","","A wäsri 'grassy field, lawn', ? B wasso 'kuśa-grass' (Adams 585)","WP I 307 f",""
1464,"*wetsel-",   0,"merry","веселый",   0,"","vatsala- `kind, loving, tender'","","","","","*veselъ(jь)",  1909,"",     0,"",     0,"","","","","","WP I 307 f (differently in Pok. and Vasmer)",""
1465,"*wes- <PIH *w->", 900,"to dress","одевать(ся)",2188,"was(s)-, wes(s)- (I), wassĳa-, wessĳa- (I) 'bekleiden, anziehen' (Friedrich 248)","váste `to put on, wear'; vásana- n. `cloth, dress'; vásman- n. `cover, garment'; vastra- n. `cloth, dress, garment'","vastē `to put on, wear', vaŋhaiti `kleidet sich, zieht an', vaŋhana- n. `Gewand', vastra- n. `Kleidung'","","*wesnu-: z-genum `ziehe mich an', z-gest (tu-St.) `Kleidung'","hénnümi, ion. hẹ̄́nümi, aor. hés(s)a `kleiden', med. `sich kleiden'; ésthos n. `Kleidung'; esthǟ́s, gen. -ǟ̂tos `id.'; heanó-s `weibliche Gewand'; ion., att. hẹ̄̂ma, dor. wē̂ma, lesb. wémma `id.'; hīmátio-n `Kleid, Mantel'","",     0,"",     0,"*wís-ja-/wiz-já- vb., *was-t-il-a- n., *wis-tr-ō f., *was-t-i- c., *waz-jōn- f., *waz-já- n., m., *wiz-ṓ f., *was-t-iō f.",   975,"vestis, -is f. `Kleid, Gewand'","","","veš `ich kleide an', višem `kleide mich an'","A, B wäs- 'be dressed, get dressed' (Adams 597)","WP I 309",""
1466,"*weit-, *wyet- (-th-)",   0,"to shake","трясти, шатать",2205,"","vyáthate `to tremble, waver, go astray, come to naught', vithurá- `staggering, tottering'","","","","","",     0,"",     0,"*wíϑ-ō- vb.",   976,"","","","","","WP I 318",""
1467,"*wrāg-",   0,"to beat, to hit","бить",2215,"","","","","","rhǟ́ssō, att. rhǟ́ttō `schlagen, niederschmettern, stossen, stampfen', intr. `losschlagen, losstürzen', kata-rrǟ́ktǟ-s `herabstürzend, abschüssig', m. `Wasserfall; Fallgatter, Enterbrücke'; kata-rrǟktḗr herabstürzend (von einem Vogel)'","*rāzъ, *rāzī́tī", 11304,"",     0,"",     0,"","","","","","WP I 318 f",""
1468,"*wrēig'-",   0,"to pierce, to cut through","пробивать, прорезать",2217,"","","","","ergic-uchanem `rhḗgnǖmi'","rhḗgnǖmi, rhḗssō (att. -ttō), aor. rē̂ksai̯, pf. med. érrēgmai̯, act. érrōga, aor. pass. rhagē̂nai̯, rēkhthē̂nai̯ `(zer)reissen, (zer)brechen, zersprengen'; rhē̂ksi-s, lesb. (alk.) wrēksi-s f. `das Durchbrechen, Bruch', rhḗktǟ-s m. `der Zerreisser', rhē̂gma n. `Riss, Spalte', *rhṓk-s, pl. acc. rhō̂gas  `Riss, enger Gang', dia-rrōgǟ́ f. `Spalte, Zwischenraum', rhōgmǟ́ f. `Bruch, Riss', rhōgmó-s, rhōkhmó-s m., pl. rhōkhmái̯ f. `Riss, Spalte', rhēgmī́n, gen. -ī̂nos `Wogenbruch, Brandung', rhēgmó-s `Riss, Spalte, Brach', wrēgaléo- <trēgaléon> `dierrōgóta' (Hes.), áu̯rēkto- `ungebrochen' (Hdn.); ion. rhagḗ `Riss, Spalte'; rhágdǟn `reissend, heftig, ungestüm'; rhagǟ́ f. `Riss, Ritze, Spalte, Kluft', rhágdǟn `reissend, heftig, ungestüm'; rhágos n. `Lumpen, Fetzen'","*rḗzjǭ, *rḗzātī; *rēzъ; *rьznǭtī", 11527,"*rē̂ǯ- (-ja-) vb. tr., *rē̂ǯ-ī̂- vb., *rō̂ǯ-a- c. (2), *rō̂ǯ-t-a- c.; *reîǯ- vb. tr., *rī̂ǯ- vb. intr. (2), *raîǯ-iā̃ f. (2)",   715,"",     0,"","","","","? A wärk-, B wārk- (PT *wärk-) 'shear' (Adams 587 differently)","WP I 319",""
1469,"*wreg-",   0,"to drive","гнать(ся)",   0,"","vrájati `to go, walk, wander, move'","","","","","",     0,"",     0,"*wrik-a- vb., *wrak-a- m., *wrak-ō f., *wrak-ja- vb., *wrēk-ī(n-) f.; *wrēk-i- adj., *wrēk-a- vb., *wrēk-ia- vb., *wrēk-ō f.; *wruk-a- m.; *wrix-t-ō f., *wrix-t-a- m.",   977,"urgeō, -ēre, ursī `drängen, bedrängen, pressen'","","","","A wark, B werke (PT *werke) 'chase, hunt, hunting' (Adams 609)","WP I 319 f",""
1470,"*kām- / -ē-",   0,"to long for, to wish","стремиться, желать", 800,"","kā́ma- m. `wish, desire, love'; kāmayati, pqpf. med. cakamāná- `to wish, desire, love'; kamara- `desirous, lustrous' (L.), kamana- id.","kāma- m. `Verlangen, Wunsch'","OPers kāma- m. `Verlangen, Wunsch'","","","",     0,"*kā̂m-ē̂- (1) vb., *kam-ar-ā̂ f.",   716,"*xēm-id-ō- vb., *xēm-ia- vb.",   978,"","","","","? B kāñm- 'to play' (Adams 150)","WP I 325 f",""
1471,"*ken-", 970,"to like, to love","нравиться, любить",   0,"","kanati, pf. cakāna, aor. akāniṣam, caniṣṭám `to be satisfied, pleased'; cánas- n. `delight, satisfaction'","čakana `befriedigt sein, Gefallen finden'; činman- n. `Begehren, trachten'","","","","",     0,"",     0,"",     0,"","","MIr cin, gen. cena `Liebe, Zuneigung'","","","WP I 324 f",""
1472,"*(s)kAy-",   0,"hot, to heat","горячий, нагревать(ся)",   0,"","","","","","","",     0,"*kaĩ-t- vb. intr., *kaî-t-r-ā̂ f., *kaî-t-ē̂- vb., *kaĩ-t-ē̂- vb., *kaî-t-iā̃ f. (1) , *skaĩt-(s)t-ī̂- vb., *kai-t-ī- vb.",   717,"*xaj-iz- n., *xī-t-ōn- f., -an- m., *xai-t-a- adj., *xai-t-ō(n-) f.; *xi-t-jōn- f., *xit-ja- m.; *xaj=; *xai-t-iϑ-ō(n-) f.",   979,"","","","","","WP I 326",""
1473,"*ait-", 333,"fate, sentence","судьба, приговор",  26,"","","aēta- 'der gebührende Teil (Strafe, dual. Schuld und Strafe)'","","","âi̯sa f. `Anteil, Lebenslos, Geschick, Gebuhr';  ái̯sio- `günstig, gebührend, billig'; dí-ai̯ta f. `Leben(sweise), Lebensunterhalt, Diät, Aufenthaltsort, Wohnzimmer'; hom. gen. ísǟs ( от *íssa); lesb. aor. íssasthai `избирать по жребию' (Hes.); ôi̯to-s `Menschengeschick, (unglücklliches) Schicksal'","",     0,"",     0,"",     0,"","Osk aeteis `partis', (a)íttiúm `portionum'","","","","WP I 2",""
1474,"*k(ʷ)Aik'-",   0,"to rub, to scratch","тереть, чесать", 815,"","kéśa- 'Haupthaar'?","","","","","*cḗstā", 16088,"*kaîš- (*1) vb. tr., *kaîš-t-uw-iā̃ f., *kaiš-n-[ia]- m.",   718,"",     0,"","","","","","WP I 329 f",""
1475,"*kowə-",1418,"to beat, to hew, to forge","бить, рубить, ковать", 856,"","kuṣáti, kuṣṇāti 'to tear, pull' ('kill' in some modern languages)","fra-kušaiti `erschlägt, tötet'","NPers kuštan `töten'","","","*kūtī, *kòvǭ; *kovātī, *kū̀jǭ; *kɨ̄jь; *kūznь etc.; *kъznь",  5725,"*kaû- (2) vb. tr., *kāw-ā̂ f., *kū̂-j-ā̂ (1) f., *kū̂-j-ia- c.",   719,"*xaww-á- vb., *xaww-á- m., -ṓ f.",   980,"cūdo, -ere, cūdī, cūsum `schlagen, klopfen, stampfen; prägen'; incūs, -dis f. `Amboss'; caudex, cōdex `Baumstamm, Klotz; zu Schreibtafeln gespaltenes Holz, Notizbuch'","","OIr cuad, i. cogad `schlachten, kämpfen' in O'Dav. Gl.","","A ko-, B kau- (PT *kau-) `töten' (Adams 208); A kot-, B kaut- (PT *kaut-) 'split off, break, chop, crush' (Adams 210); A koṣt- 'hit, beat'","WP I 330 f",""
1476,"*kewə-",1417,"to shout","кричать",   0,"","káuti, kavīti, kavate, kuvate, kū̆nāti `to sound, cry', intens. kokūyate","","","","kōkǘō, aor. kōkǘsai̯ `jammern, wehklagen', kōkǖtó-s m. , kṓkǖma `das Jammern, Wehklage'","*kovā́tī `куковать', *kūjātī, *kāvātī",  6628,"",     0,"*xiuw-il-ō- vb.",   981,"","","","","","WP I 331 f",""
1477,"*kAukʷ-",   0,"to shout","кричать (розно)",   0,"","","","","","","*kūkātī, *kūkotātī",  6618,"*kaũk- vb. tr., *kaũk-es-ia- c., *kaũk-s-m-a- c., *kaûk-ā̂ (1) f.",   720,"? *xíuf-a-/*xiub-á- vb.",   982,"","","","","B kuk- 'call out, shout' (Adams 180)","WP I 331 f",""
1478,"*kak- (Indoir. *k'ak-)",   0,"to help, to reach","помогать etc.", 824,"","śaknoti, ptc. śaktá- `to be powerfule, able'; śáktí- f. `power, might', śakrá- `strong, mighty', śagmá- `id. or helpful'; śacī f. `rendering of help, assistance, Hilfe', śā́ka- m. `power, might, help', śāká- m. `helpful, helper'; śā́kman- n. `power, help', śākvará- `mighty, powerful, strong'","","","","","*kāčītī (> Bulg кача, качвам 'erheben, den Preis steigern, hängen', Skr ókačiti 'anstreifen', zákačiti 'anhaken')",     0,"*kak- vb. intr., *kak-ē̂-, -in̂- vb.",   721,"*xag-á- adj., *xag-á- m., *xag-á- vb., *xag-ṓ- vb., *xōg-á- adj., *xōg-í- adj., *xax-t-u- c.",   983,"","","","","","WP I 333 f","Cf. also: Av čagəd- (mit rafəδrəm) `Hilfe gewährend', čagəman- n. `Geschenk', čagvah- `bietend, gewährend'"
1479,"*k'āk-",   0,"to jump","прыгать",   0,"","","","","","kǟkíō `hervorquellen, -sprudeln', kǟkī́s, -ī̂dos f. `hervorquellende Flüssigkeit'","",     0,"*čā̂k- (*čā̂k-a-) (2) vb., *čōk-[ia]- m.; *čō̂k-ā- vb.; *čak-u- adj.",   722,"",     0,"","","","","","WP I 334 f",""
1480,"*kāk-",   0,"cacare","cacare", 821,"","","","","khagor `Mist'","kakkáō `cacare', kákkǟ f. `Menschenkott'","*kā́kā, *kā́kātī",  4864,"",     0,"",     0,"cacāre `scheissen'","","MIr caccaim `caco', cacc `Kot', Cymr cach, Corn caugh, Bret cac'h 'Kot'","","","WP I 336",""
1481,"*kakk- (kh-, -kkh-)",   0,"to laugh","смеяться",1079,"","kakhati `laugh' (L. also kakkhati, khakkhati)","","","xaxankh `cachinnus'","kakházdō, kakkházdō, kaŋkházdō, aor. kakhásai̯ `laut lachen'","*xoxotъ, *xoxotātī", 15900,"",     0,"*kaxx-it-ja-/*gakk-it-ja- vb.",   985,"cachinnus, -ī m. `schallendes Gelächter', cachinnāre `hell auflachen'","","","","","WP I 336",""
1482,"*pēimen-, *bh- ??",   0,"girl","девушка",   0,"","","","","","","",     0,"",     0,"*faim-ōn- f., *faimin-jō f.",  1888,"fēmina, -ae f. 'Frau'","","","","","[Different in WP and Pok.]",""
1483,"*k'ad-", 432,"to fall","падать", 804,"","śad-, pf. śaśāda, ft. śatsyati `to fall, fall off or out'","","","chacnum `fallen'","","",     0,"",     0,"",     0,"cadō, -ere, cecidī, cāsūrus `fallen, sinken'","Osk anṭkaḍun `occidionem ?'","MIr casar `Hagel; Blitz'; Cymr cesair `Schlossen'; Corn keser, Bret kasarc'h `Hagel'","","","WP I 339 f",""
1484,"*k'ad-",1129,"to be distinguished","выделяться качествами", 805,"","pf. śāśadúḥ, ptc. śāśadāna- `to distinguish oneself, be eminent or superior'","","","","ep., poet. pf. kékasmai̯, plqpf. (e)kekásto, ptc. { kekasméno- }, ptc. kekadméno- (Pind.)`sich auszeichnen, übertreffen, sich rüsten'; kret. kádmo-s (~ -os n.) `dórü, lóphos, aspís' (Hes.)","",     0,"",     0,"",     0,"","","","","","WP I 340",""
1485,"*kad-",1997,"to injure, to harm","вредить", 802,"","kadana- n.`destruction, killing, slaughter'; cakāda kadanam `to kill or hurt'","","","","hom. kekadṓn `beraubend', ft. kekadḗsei̯ `er wird berauben', aor. kekadē̂sai̯ `вредить etc. (`blápsai, kakō̂sai, phéisasthai, sterē̂sai', Hes.); hüpò ... kekádonto `sie wichen zurück' Hom.), ekekǟ́dei̯ (Konjektur) `hüpe<ke>khōrḗkei' (Hes.), { apokadéō = asthenéō Hes.; kǟ́dō `verletze, schädige' }","",     0,"",     0,"",     0,"calamitās, -tis f. `Schaden; Hagelschlag, Kornbrand, Misswachs; Unheil, Verderben'; incolumis, -e `unversehrt, heil'; cadamitās (Mar. Victorin. gr. VI 8:15) = calamitās","","","","","WP I 341",""
1486,"*kənod- (kh-)",   0,"to bite","кусать",   0,"","khā́dati `to chew, bite, eat', khādana- m. `tooth'","","NPers xāyīdan `essen, kauen'","xacanem `beisse, pungo'","knṓdōn, -ontos m. `Schwert', pl. `Zähne am Schwert od. am Jagdspiess, Schwerthaken', pl. `die den Schwertgriff gegen die Klinge abgrenzenden Zähne oder Haken'; knṓdāk-s, -ākos `Zapfe, Achse', knṓdalo-n n. `wildes od. schädliches Tier'; 3 sg. knadálletai̯ `чешется' (Hes.)","*kǭsъ, *kǭsātī, -ī́tī; *kǭ̃dъkъ (Pol kądek `Bissen, Stück, Brocken')",  6815,"*kan̂d- (*kan̂d-a-) (2) vb. tr.",   723,"",     0,"","","","","","WP I 341","Very probably derived from *k(')nē- 'scratch, scrape'."
1487,"*kā̆dh-",1165,"cap, helmet","шапка, шлем", 803,"","","","","","","",     0,"",     0,"*xōd-a- m.; *xatt-u- c.; *xatt-iōn- f.; ? *xad-r=; *xōd-ō f., *xōd-ē- vb.",   989,"cassis, -idis f. `Helm aus Metall'","","Cymr caddu `sorgen für'","","","WP I 341 f","[Most probably two different roots]"
1488,"*kap-", 593,"to take, to seize, to catch","брать, хватать, ловить",   0,"","? capayati 'knead, pound' (L.; whence Sinh. hapa-, Shn. čap- 'bite' etc.)","","Ishk. qap de-, Munj. nəɣō- (*ni-kap-) 'bite'","","","*xopītī, *xāpītī, *xāpātī; *xābītī; *xǭpātī (> ChSl chąpati 'fassen, ergreifen')", 15598,"*kap=, *kamp- vb. tr.",   724,"*xab-á-, *xab-ḗ- vb.; *xab-já-/*xáf-ja- vb., *xab-ṓ(n-) f.; *xaf-t-a-, *xaft-u- n.; *xaft-ia- n.; *xaf-sk-ō- vb., *xab-ī́g=/*xab-úg=, *xē[f]-ia-",   990,"capiō, capere, cēpī, captum `fassen, (er)greifen, nehmen',  captus, -a `Dienerin, Sklavin'","","Gaul Moeni-captus; OIr cacht `Dienerin, Sklavin', MIr cachtaim `nehme gefangen', Cymr caeth `Sklave', OCorn caid `captivus', Bret keaz `unglücklich, arm'","kap `ergreife, fasse'","","WP I 342 f",""
1489,"*ghab-, *ghabh- / -e-", 593,"to take, to give, to move","брать, хватать", 605,"","gábhasti- m. 'arm, hand'","","Tal. gav, Shug. ɣəv 'mouth' (*gābya-)","","","*gābātī, *gābnǭti",     0,"*gab-u- adj., *gab-an-ā̂ f.,, -al-a- c.; *gāb-u- adj., *gō̃b- vb. tr., *gē̂b- vb. tr.",   725,"*gib-a- vb., *gab-ī(n-) f., *gab-īg-a- adj., *gab-ug-a- adj.; *gēb-i- adj.; *gēb-ō(n-) f.; *gib-ō f.; *gif-t-i- c.",   992,"habeo, -ēre, -uī, -itum `halten, haben', habitāre `wohnen, bewohnen';  habēna `Haltriemen, Zügel'","Osk haf<íar> `habeātur', hafiest `habēbit', pf. conj. hipit, fut. ex. hipust `habuerit'; Umbr habe `habet', habia `habeat', habitu, habetu `habētō', haburent `cēperint', habiest `habēbit', neiřhabas `nē adhibeant', hahtu `capitō', subahtu `dēpōnitō', eitipes `dēcrēvērunt'","OIrl gaibim `nehme, ertgreife, halte etc.', gabāl f. `das Nehmen'; Cymr gafael `das Halten, Festhalten'; cafael, caffel `erlangen, bekommen, finden'; Corn cavel `erlangen, bekommen, finden'; OBret an-gabol `defaut de prise de possession'; Bret kaout `erlangen, bekommen, finden', kafout `haben'","","","WP I 342 f",""
1490,"*kamp-",1166,"crooked; to bend","кривой; сгибать(ся)",   0,"","kampate `to tremble, shake'; kumpa- `crooked-armed' (L.)","","","","kámptō, aor. kámpsai̯, pass. kamphthē̂nai̯, pf. pass. kekámphthai̯ `biegen, beugen, krümmen', kampǟ́ `Biegung', peri-kámptǟ-s `tergiversator (Gloss.), kampǘlo- `gebogen, krumm'","",     0,"*kam̃p-a-, -ia- c., *kam̂p-ā̂ f., *kum̂p-ā̂ f., kum̃p-a- adj.",   726,"*xámf-a- adj.",   316,"campus, -ī m. `Feld, Blachfeld, Ebene, freier Platz'","","","","","WP I 350 f",""
1491,"*kēp-", 696,"slanting, diametrical","косой, поперечный",   0,"","cāpa- m., n. `bow, arc', capalá- `shaking, trembling, unsteady'","","NPers čap `link'","","","*čāpātī, *čāpītī, -bītī", 16230,"*kap-an-ā̂-, *kap-ur-n-ā̂-, *kep-ur-nā̂-, *kap-ar-ō̂-, *kap-ur-ō̂- vb.",   727,"",     0,"","","","","","WP I 349 f",""
1492,"*kana-",1389,"sing","петь",   0,"","","","","","kanakhǟ́ f. `Geräusch, Schall, Getöse, Gerassel', kanakhéō, -ízdō `schallen, tönen, rasseln, krachen', ǟi-kanós `Hahn'","",     0,"*kan-tl-ia- c., -iā̃ (*kan̂- 1 ?) f.",   728,"",     0,"canō, -ere, cecinī, cantum `singen, ertōnen, spielen'","Umbr kanetu `canito', procanurent `praecinuerint', ařkani `*accinium, cantus flaminis'","*kan=, *kantlo-: OIr canim `ich singe', MIr cētal n. `Gesang', Cymr canu `singen'; cvathl f. `Gesang'; Bret cana `singen'; kentel f. `lec̨on'","","","WP I 351",""
1493,"*kand- / *kend-",1381,"to burn brightly, to shine","ярко гореть, сиять", 836,"","candati `to shine, be bright', candrá- (in comp. ścandrá-) `glittering, shining; m. moon', candana- m., n. `sandal wood'","","","","kándaro-s `уголь' (Hes.)","",     0,"",     0,"",     0,"accendō, -ere, -dī, -sum, incendō, -e re, -dī, -sum `an-, entzünden, anfachen'; candeo, -ēre, -uī `glänzen, schimmern, hellglühen', candidus, -a `blendend weiss, heiter strahlend, lauter', candēla f. `Kerze, Wachsschnur', candor m. `weisser Glanz, Helle'","","Cymr cann `weiss, hell'; OBret cant `canus'; MBret cann `Vollmond'","geg. hąnɛ, tosk. hɛnɛ `Mond'","","WP I 352",""
1494,"*kar(w)-", 630,"to offend, to punish","обижать, наказывать", 845,"kurur 'enmity, enemy'","","","","","kárnǟ f. `ущерб' (Hes.), au̯tó-karno- `au̯tozdḗmios' (Hes.)","*korъ; *korī́tī; *kā́rā, *kārātī",  6099,"*kar̂- (2) vb. tr.",   729,"*xarw-i- adj., *xarw-ia- vb.",   994,"carināre `höhnen, spotten'","","OIrl caire `Tadel', OCymr cared `nequitiae'; Cymr caredd, Corn cara, MBret carez `Tadel'","","","WP I 353",""
1495,"*kar[a]-, *kr[ā]-", 174,"to shout; praise","кричать", 846,"","carkarti, aor. ákārīt `to mention, praise, speak highly of'; carkr̥tí- f. `praising, glory', karkarí-, karkarī́- f. `a k. of lute', kīrtí- f. `mention, speech, report'; kārú- m. `one who sings or praises, poet'","","","","karkái̯rō `erdröhnen ?' (Hom., Hes.); kǟ́rǖk-s m. `Herold, Bote; Trompetenschnecke'","*krāsā",  6372,"*kerd- (-ja-) vb. tr., *kird-ī̂- vb., *kar̃d-a- c., *kard-u- adj.",   730,"*xar-ē- vb., *xar-ō- vb., *xar-m-ia- vb.; *xrṓ-ϑ-īg-a- adj., *xrṓϑ-ia- m., *xrṓ-ϑr-a- m., *xrō-m-a- m.",   995,"carmen, -minis n. `Lied, Rezitation' (?)","","","","","WP I 353","Lat may be < *kanəmen-."
1496,"*(s)kars-", 798,"to scrape, to scratch","скрести, чесать(ся)", 849,"","kaṣati `to rub, scratch, scrape', kaṣāya- `astringent'","","","","","*kórstā",  6180,"*kar̃š- vb. tr.",   731,"*xars-k-a- adj., *xars-t-i- adj.; *skirz-á- vb., *skarz-ṓ- vb., *skurz-ṓ- vb., *skurs-t-ī(n-) f.",   996,"carrō (Gl. carriō), -ere `(Wolle) krämpeln', carmen `eiserner Wollkamm'; ? carduus, -ī m. `Distel; wilde Artischoke'","","","","","WP I 355 f",""
1497,"*k'[ē]s-", 854,"to show, to lead","указывать, руководить", 851,"","śā́ste, śāsti `to correct, censure, control, teach', ptc. aor. śiṣánt- `teaching', ptc. śiṣṭá- `taught, controlled, shown'; śāstar- `chastiser, punisher'; śāstrá- n. `order, command; treatise'","sāsti `heisst, lehrt'; sāstar- `Gebieter, Machthaber, Fürst'","","sast `Schelte, Vorwurf, Drohung, Strenge, Autorität', sastem `schelte, drohe, schärfe ein, gebiete', sastik `heftig'","","",     0,"",     0,"",     0,"","","","","","WP I 358",""
1498,"*k'ey-",   0,"to lie","лежать",   0,"ki- `liegen' (Tischler 568 f)","śéte, śayate, -ti `to lie, lie down, rest'; śayā́, śayyā f. `bed, couch'","saēte `liegt'","Wakh. nə-səy-, Sak. śśä- 'lie'","","kêi̯mai̯, 3 pl. kéatai̯ (att. kêi̯ntai̯) `liegen, sich befinden, stattfinden'; desid. (ft.) kéi̯ō, kei̯émen, kéi̯ontes, hom. iter. (pare)-késketo; kói̯tǟ f. `Lager, Bett, Ehebett, Nest, Parzelle, Kiste', kôi̯to-s m. `Lager, Bett, Schlaf', koi̯máō `zur Ruhe legen, zu Bett bringen, einschläfern'","",     0,"? *čeĩ- vb.",   732,"*xī-[ϑ]-a- n., *xī-[ϑ]-ia- n.",   997,"cūnae pl. f. `Wiege, Nest', pl. cūnābula n. `Wiegenbett, Nest'","","","","","WP I 358 f","The Lith. meaning can be perhaps explained from *'get into' < 'lie down into' (?)."
1499,"*k'ey-",   0,"to like","любить",   0,"? kaena-, gaena-, gaina- c. 'Verwandter, Verschwägerter' (Tischler 459)","śéva- `deer, precious', śivá- `auspicious, gracious, favourable'","","","sēr `Neigung, Liebe', sirem `ich liebe'","","",     0,"",     0,"",     0,"","","OIr cōim, cōem 'lieb', OCymr cum, Cymr cu `lieb'","","","WP I 358 f",""
1500,"*keyə-, *keyə-w-", 631,"to set in motion","приводить в движение", 864,"ki-s- 'werden, geschehen; gemacht werden' (Tischler 585 f)","cyávate, part. cyutá- `to move to and fro; go away, retire', cyāutná- m. `animating, promoting'","šyaōϑnan. `Tun, Handeln, Wirken', šyaōman- n. `Tat, Werk'","OPers uṣiyavam `marschierte'; Afg. rā-ʒ-, Oss. är-cäw-, Sak. tsv- 'come', Afg. ʒ-, Oss. cäw- 'go'","čhu `Aufbruch', čhvem `ich breche auf, reise ab', aor. čhogay `ich ging'","kíō, ptz. kiṓn `sich in Bewegung setzen, (weg)gehen'; ipf. met-ekíathe, -thon `folgte(n) nach, auf-, besuchte(n)', { kíato };  kīnéō `in Bewegung setzen, vertreiben, schütteln', kīnéomai̯, kī́nümai̯ `sich bewegen'; kíndak-s, pl. acc. kíndakas = eukínētos (Hes.), ono-kíndios, -kíndas `Eselstreiber' || séu̯ō, -omai̯, med., aor. séu̯ato, esséu̯ato, act. éssu̯a, sêu̯a, pf. éssümai̯, essǘmeno-, 3 pl. sesǘantai̯, va. epí-ssüto- `einstürmen, herandrängen, eilen, sich beeilen, jagen', act. `(ver)jagen, hetzen, antreiben'; *ssowéomai̯ > att sọ̄̂mai̯, pl. sọ̄̂ntai̯, dor. soṓmǟn, sō̂mai̯ (Hes.), pf. ptc. essoēménon (Hes.), act. ipf. sóei̯ { `bewege mich rasch oder heftig' }, { Bacchyl. sǘei̯ `treibt' }; hom. lao-ssóo-s `die Völker zum Kampfe antreibend'; au̯tó-ssüto- `aus eigenem Antrieb', lao-ssóo- `die Mannen antreibend'; sọ̄̂-s m. `(schnelle, aufwärts gerichteee) Bewegung'; ? att. teu̯máomai̯ `errichten, bauen', teu̯tázdō, -omai̯ `sich anhaltend mit etw. beschäftigen, andauernd betreiben'","*kɨ̄vātī",     0,"",     0,"",     0,"ciō, cīre, cīvī, citum (aber accītus); cieō, ciēre `in Bewegung setzen, erregen, herbeirufen, aufrufen, herforbringen'; citus, -a `rasch, schnell', sollicitus `in völliger Bewegung, stark be unruhigt, besorgt', citō `schnell', citāre `in schnelle Bewegung setzen, vorladen'; cillō, -ere `hin und her bewegen'; cēveō, -ēre, cēvī `wackeln'; cūnctus ( < con-ci-tus) `gesamt, sämtlich; ganz, vollständig, alle'","","","","B śä- 'to set in motion; direct' (Adams 628)","WP I 361 f",""
1501,"*k'īgh-",   0,"to move quickly","быстро двигаться", 870,"","śīghrá- `quick, speedy, swift'","","","","","*sīgātī", 12561,"",     0,"*xīg-ia- vb.",   998,"","","","","","WP I 361 f",""
